ev	site	shw	seg	pdg	verdict	final_owner	kept	len_cm	site_ang	dist_cm	ang15	ang60	ao
176502	pass3_cluster_map	109119	148260	11	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
176502	pass3_cluster_map	109119	109296	11	UNL	109119	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
281567	pass3_cone	95227	34045	13	UNL	95227	1	0.31	4.41	64.68	3.69	4.41	5.0
281567	pass3_cone	95227	35046	13	UNL	95227	1	0.41	24.27	33.41	26.28	24.27	5.0
281567	pass3_cone	95227	37048	2212	UNL	95227	1	0.85	4.8	81.34	6.58	4.01	5.0
281567	pass3_cone	95227	38049	13	UNL	95227	1	0.34	5.68	72.48	7.59	4.86	5.0
281567	pass3_cone	95227	40051	13	UNL	95227	1	0.57	4.0	34.86	4.99	4.24	5.0
281567	pass3_cone	95227	41052	13	UNL	95227	1	0.36	22.95	41.9	25.13	22.18	5.0
281567	pass3_cone	95227	42053	13	UNL	95227	1	0.79	7.07	44.74	6.3	8.17	5.0
281567	pass3_cone	95227	43054	11	UNL	95227	1	1.63	6.82	70.07	8.96	5.4	5.0
281567	pass3_cone	95227	44055	13	UNL	95227	1	0.44	27.7	54.95	29.84	26.27	5.0
281567	pass3_cone	95227	49060	13	UNL	95227	1	0.47	29.12	63.16	30.98	26.71	5.0
281567	pass3_cone	95227	70081	13	UNL	95227	1	0.14	26.18	69.79	26.42	26.44	5.0
281567	pass3_cone	95227	73084	11	UNL	95227	1	0.76	28.02	54.86	28.26	28.26	5.0
281567	pass3_cone	95227	77088	13	UNL	95227	1	0.23	25.06	52.32	25.93	23.24	5.0
281567	pass3_cone	95225	79090	2212	UNL	95225	1	3.97	17.85	40.46	17.85	19.31	0.0
281567	pass3_cone	95227	80091	11	UNL	95227	1	4.7	7.26	108.99	9.33	3.9	5.0
281567	pass3_cone	95129	82101	2212	UNL	95129	1	1.0	8.0	14.17	8.0	8.0	5.0
281567	pass3_cone	95227	84103	13	UNL	95227	1	0.56	13.08	53.21	12.17	13.25	5.0
281567	pass3_cone	95227	100197	11	UNL	95227	1	2.73	7.89	88.98	9.85	4.58	5.0
281567	pass3_cone	95227	100198	13	UNL	95227	1	3.16	7.6	90.32	9.58	4.33	5.0
281567	pass3_cone	95227	103212	2212	UNL	95227	1	0.81	2.23	41.43	4.11	1.25	5.0
282909	pass3_cone	4084	4005	11	NOLAB	4084	1	6.65	4.52	25.93	4.52	8.27	0.0
282909	pass3_cone	4084	39031	2212	NOLAB	4084	1	0.95	23.91	46.93	23.91	21.18	0.0
282909	pass3_cone	4084	40032	13	NOLAB	4084	1	0.33	16.36	41.72	16.36	17.39	0.0
282909	pass3_cone	4084	41033	13	NOLAB	4084	1	0.38	22.67	61.55	22.67	19.55	0.0
282909	pass3_cone	4084	78075	11	NOLAB	4084	1	1.33	2.12	33.42	2.12	5.68	0.0
282909	pass3_cone	4084	79076	13	NOLAB	4084	1	0.2	9.83	35.0	9.83	7.26	0.0
396222	pass3_cone	9059	9065	11	UNL	9084	0	8.34	7.98	29.52	7.98	4.05	0.0
396222	pass3_cone	9059	9069	11	UNL	9084	0	9.07	13.12	38.45	13.12	7.19	0.0
396222	pass3_cone	9059	9070	11	UNL	9084	0	7.91	10.31	38.76	10.31	1.38	0.0
396222	pass3_cone	9059	9074	13	UNL	9084	0	5.95	9.34	74.93	9.34	2.44	0.0
396222	pass3_cone	9059	9076	2212	UNL	9084	0	4.29	9.34	74.93	9.34	2.44	0.0
396222	pass3_cone	9059	9080	211	UNL	9084	0	24.0	9.57	52.82	9.57	1.87	0.0
396222	pass3_cone	9059	9085	211	UNL	9084	0	10.93	22.37	31.44	22.37	24.98	0.0
396222	pass3_cone	9059	9086	2212	UNL	9084	0	5.13	22.37	31.44	22.37	20.08	0.0
396222	pass3_cone	9059	9089	11	UNL	9084	0	3.01	11.58	38.92	11.58	8.25	0.0
396222	pass3_cone	9059	9094	11	UNL	9084	0	8.69	10.74	41.39	10.74	6.0	0.0
396222	pass3_cone	9059	9095	11	UNL	9084	0	4.9	8.09	48.72	8.09	2.58	0.0
396222	pass3_cone	9059	9096	11	UNL	9084	0	13.44	24.68	20.09	24.68	23.23	0.0
396222	pass3_cone	9059	9098	2212	UNL	9084	0	17.03	20.49	31.31	20.49	15.34	0.0
396222	pass3_cone	9059	17101	13	UNL	9059	1	36.04	11.85	75.45	11.85	15.89	0.0
396222	pass3_cone	9059	30106	13	UNL	9059	1	2.94	5.36	25.11	5.36	14.09	0.0
396222	pass3_cone	9059	33109	13	UNL	9059	1	0.39	7.6	28.75	7.6	15.57	0.0
396222	pass3_cone	9059	59135	13	UNL	9059	1	0.51	22.23	65.69	22.23	30.91	0.0
396222	pass3_cone	9059	80156	13	UNL	9059	1	0.6	9.36	101.75	9.36	3.92	0.0
396222	pass3_cone	9059	81157	13	UNL	9059	1	0.18	10.66	92.99	10.66	6.47	0.0
396222	pass3_cone	9059	83159	13	UNL	9059	1	0.38	4.62	78.33	4.62	5.54	0.0
396222	pass3_cone	9059	84160	13	UNL	9059	1	0.39	2.59	75.32	2.59	6.49	0.0
396222	pass3_cone	9059	85161	13	UNL	9059	1	0.83	9.54	77.74	9.54	14.75	0.0
396222	pass3_cone	9059	91167	13	UNL	9059	1	0.31	20.05	55.03	20.05	24.48	0.0
396222	pass3_cone	9059	93169	13	UNL	9059	1	0.33	18.28	50.0	18.28	22.67	0.0
396222	pass3_cone	9059	105187	11	UNL	9059	1	2.36	10.16	74.14	10.16	4.3	0.0
396222	pass3_cone	9059	112196	11	UNL	9059	1	5.22	23.2	29.68	23.2	25.39	0.0
396222	pass3_cone	9059	112198	11	UNL	9059	1	1.16	24.2	30.55	24.2	24.2	0.0
396222	pass3_cone	9059	112204	11	UNL	9059	1	15.6	11.88	25.79	11.88	10.19	0.0
396222	pass3_cone	9059	112205	11	UNL	9059	1	4.17	24.2	30.55	24.2	22.87	0.0
396222	pass3_cone	9059	115222	13	UNL	9059	1	8.78	18.52	50.99	18.52	18.74	0.0
396222	pass3_cone	9059	115224	11	UNL	9059	1	3.35	20.3	59.08	20.3	18.41	0.0
396222	pass3_cone	9059	117236	11	UNL	9059	1	4.82	19.41	60.8	19.41	14.29	0.0
396222	pass3_cone	9059	117237	11	UNL	9059	1	13.5	10.87	45.56	10.87	4.34	0.0
396222	pass3_cone	9059	117238	11	UNL	9059	1	7.72	16.55	54.32	16.55	11.02	0.0
396222	pass3_cone	9059	117239	11	UNL	9059	1	7.06	16.55	54.32	16.55	10.37	0.0
396222	pass3_cone	9059	117240	13	UNL	9059	1	10.13	11.82	45.21	11.82	4.71	0.0
396222	pass3_cone	9059	118241	11	UNL	9059	1	14.6	13.89	58.4	13.89	7.0	0.0
396222	pass3_cone	9059	119244	11	UNL	9059	1	11.09	21.13	49.81	21.13	17.06	0.0
396222	pass3_cone	9059	132328	2212	UNL	9059	1	3.09	22.96	45.43	22.96	21.26	0.0
396222	pass3_cone	9059	134335	13	UNL	9059	1	0.33	10.54	86.31	10.54	19.55	0.0
396222	pass3_cone	9059	137338	2212	UNL	9059	1	0.42	15.12	67.19	15.12	24.27	0.0
396222	pass3_cone	9059	9340	211	UNL	9084	0	1.64	9.34	74.93	9.34	12.13	0.0
396222	pass3_cone	9059	9342	13	UNL	9084	0	1.0	11.72	36.89	11.72	14.13	0.0
396222	pass3_cone	9059	9345	0	UNL	9084	0	3.9	12.42	37.45	12.42	15.26	0.0
396222	pass3_cluster_map	9059	9010	11	UNL	9084	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9013	11	UNL	9084	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9015	11	UNL	9084	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9019	11	UNL	9084	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9023	11	UNL	9084	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9024	11	UNL	9084	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9025	11	UNL	9084	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9056	11	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9066	11	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9068	11	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9072	11	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9073	11	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9082	11	UNL	9084	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	112203	11	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	112208	11	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	112209	11	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	112210	11	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9343	0	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
396222	pass3_cluster_map	9059	9344	0	UNL	9059	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cone	23037	23022	211	UNL	23037	1	36.41	9.14	34.93	12.57	9.16	5.0
415278	pass3_cone	23012	23032	11	UNL	23012	1	11.65	21.2	24.18	21.2	26.4	0.0
415278	pass3_cone	23012	23033	11	UNL	23012	1	11.54	14.57	32.72	14.57	7.12	0.0
415278	pass3_cone	23037	23040	11	UNL	23037	1	8.07	17.83	38.27	21.29	17.26	5.0
415278	pass3_cone	23012	23042	11	UNL	23012	1	3.25	17.24	43.78	17.24	5.24	0.0
415278	pass3_cone	23037	23044	11	UNL	23037	1	2.77	4.29	62.59	6.73	3.58	5.0
415278	pass3_cone	23037	23047	13	UNL	23037	1	56.33	10.53	37.09	14.03	8.08	5.0
415278	pass3_cone	23012	23049	2212	UNL	23012	1	11.8	14.57	32.72	14.57	4.27	0.0
415278	pass3_cone	23012	24059	11	UNL	23012	1	5.3	19.75	64.91	19.75	19.21	0.0
415278	pass3_cone	23012	24072	13	UNL	23012	1	22.13	21.36	65.61	21.36	21.71	0.0
415278	pass3_cone	23012	24073	11	UNL	23012	1	4.08	21.49	61.67	21.49	21.88	0.0
415278	pass3_cone	23012	24082	211	UNL	23012	1	3.56	19.75	64.91	19.75	19.21	0.0
415278	pass3_cone	23037	55085	13	UNL	23037	1	0.89	5.36	67.24	4.1	7.15	5.0
415278	pass3_cone	23037	56088	11	UNL	23037	1	13.3	23.9	63.79	27.64	20.58	5.0
415278	pass3_cone	23037	56089	2212	UNL	23037	1	14.0	28.57	55.17	32.36	25.3	5.0
415278	pass3_cone	23037	56091	11	UNL	23037	1	7.9	26.62	36.97	30.42	22.34	5.0
415278	pass3_cone	23037	56094	11	UNL	23037	1	6.74	25.78	68.28	29.55	20.57	5.0
415278	pass3_cone	23037	56095	11	UNL	23037	1	15.6	26.62	36.97	30.42	21.45	5.0
415278	pass3_cone	23037	56096	11	UNL	23037	1	14.26	25.94	51.07	29.73	19.11	5.0
415278	pass3_cone	23037	56098	11	UNL	23037	1	6.22	23.95	65.87	27.77	16.14	5.0
415278	pass3_cone	23037	56099	0	UNL	23037	1	14.29	20.64	47.49	24.38	12.71	5.0
415278	pass3_cone	23037	56100	11	UNL	23037	1	24.57	14.57	59.51	18.32	5.92	5.0
415278	pass3_cone	23037	56101	11	UNL	23037	1	3.48	14.57	59.51	18.32	5.87	5.0
415278	pass3_cone	23012	57102	13	UNL	23012	1	0.46	24.13	66.55	24.13	11.59	0.0
415278	pass3_cone	23037	58103	11	UNL	23037	1	1.39	7.96	69.21	10.83	9.06	5.0
415278	pass3_cone	23012	59104	2212	UNL	23012	1	0.45	12.44	63.31	12.44	6.86	0.0
415278	pass3_cone	23012	60105	13	UNL	23012	1	1.1	15.87	32.83	15.87	12.85	0.0
415278	pass3_cone	23037	61106	13	UNL	23037	1	0.7	19.91	31.65	19.69	24.75	5.0
415278	pass3_cone	23012	62107	11	UNL	23012	1	2.9	21.98	58.94	21.98	8.65	0.0
415278	pass3_cone	23012	63108	11	UNL	23012	1	3.93	7.73	36.18	7.73	10.37	0.0
415278	pass3_cone	23037	65114	13	UNL	23037	1	1.56	14.73	55.55	18.57	6.66	5.0
415278	pass3_cone	23037	66115	11	UNL	23037	1	0.78	3.6	63.11	6.15	9.13	5.0
415278	pass3_cone	23037	67117	11	UNL	23037	1	4.47	15.1	70.15	16.29	17.83	5.0
415278	pass3_cone	23012	69124	11	UNL	23012	1	4.89	15.03	56.46	15.03	2.39	0.0
415278	pass3_cone	23012	69125	11	UNL	23012	1	9.81	17.72	48.69	17.72	4.41	0.0
415278	pass3_cone	23037	72128	13	UNL	23037	1	7.03	18.17	86.92	21.97	9.36	5.0
415278	pass3_cone	23037	73129	11	UNL	23037	1	3.3	22.64	79.89	26.48	14.07	5.0
415278	pass3_cone	23037	74130	11	UNL	23037	1	0.75	19.37	96.65	23.04	10.56	5.0
415278	pass3_cone	23037	77133	13	UNL	96152	0	0.38	11.9	170.01	15.72	3.29	5.0
415278	pass3_cone	23037	79135	13	UNL	23037	1	0.37	23.93	58.86	25.54	20.13	5.0
415278	pass3_cone	23037	82138	13	UNL	23037	1	0.33	5.27	84.29	7.47	7.38	5.0
415278	pass3_cone	23037	86142	11	UNL	23037	1	0.9	17.41	81.79	19.69	17.05	5.0
415278	pass3_cone	23012	87143	13	UNL	23012	1	0.66	10.68	65.57	10.68	4.12	0.0
415278	pass3_cone	23037	90146	13	UNL	23037	1	0.31	9.79	93.81	12.21	11.26	5.0
415278	pass3_cone	23037	91147	13	UNL	23037	1	0.34	7.65	88.43	9.04	12.38	5.0
415278	pass3_cone	23037	92148	11	UNL	23037	1	1.9	9.1	84.67	8.98	15.48	5.0
415278	pass3_cone	23037	93149	11	UNL	23037	1	3.15	19.69	64.38	23.42	12.79	5.0
415278	pass3_cone	23037	95151	2212	UNL	23037	1	0.32	18.82	54.73	20.38	20.17	5.0
415278	pass3_cone	23037	96152	11	UNL	96152	0	3.83	10.63	154.65	13.99	3.69	5.0
415278	pass3_cone	23012	98154	11	UNL	23012	1	4.18	19.29	77.82	19.29	7.22	0.0
415278	pass3_cone	23012	101166	13	UNL	23012	1	3.6	18.15	77.75	18.15	4.26	0.0
415278	pass3_cone	23012	101167	11	UNL	23012	1	3.74	20.55	75.31	20.55	6.67	0.0
415278	pass3_cone	23012	106183	11	UNL	23012	1	2.48	23.68	74.0	23.68	22.6	0.0
415278	pass3_cone	23037	23194	211	UNL	23037	1	1.54	1.83	64.0	5.45	7.17	5.0
415278	pass3_cone	23012	23195	0	UNL	23012	1	4.53	17.24	43.78	17.24	3.65	0.0
415278	pass3_cluster_map	23012	24057	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24058	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24065	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24066	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24067	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24068	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24069	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24070	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24074	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24075	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24076	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24078	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24079	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24080	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23012	24081	11	UNL	23012	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23037	56092	13	UNL	23037	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
415278	pass3_cluster_map	23037	56097	11	UNL	23037	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
54332	pass3_cluster_map	16014	16015	11	UNL	16014	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
54332	pass3_cluster_map	16014	16016	11	UNL	16014	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
54332	pass3_cluster_map	16014	16017	11	UNL	16014	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
54332	pass3_cluster_map	16014	16018	11	UNL	16014	1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
76346	pass3_cone	14058	37027	2212	IN	37027	0	0.23	6.77	61.27	6.77	6.77	0.0
76346	pass3_cone	14058	38028	2212	IN	37027	0	0.34	5.56	83.1	5.56	5.56	0.0
76346	pass3_cone	14059	48037	11	UNL	14059	1	16.21	22.14	16.58	25.18	22.14	5.0
