# doc pr/138 sec 5.1 -- conversion gap vs wrong vertex, rad=5 cm
event	node	owner	positive	fired	vgap_cm	void_frac	occ_other
96383	14005	SPLIT2	1	1	0.00	0.0000	1.0000
96383	14007	KEEP	0	0	0.84	0.0000	1.0000
98844	6013	SPLIT2	1	1	0.00	0.0000	1.0000
98844	70063	KEEP	0	0	40.97	0.6333	0.9333
99782	61032	KEEP	0	0	23.77	0.6333	0.8333
99782	64035	KEEP	0	0	14.75	0.1000	0.8333
99838	58038	KEEP	0	0	3.09	0.0000	1.0000
100222	67054	KEEP	0	0	142.84	0.9000	0.9000
100222	75062	KEEP	0	0	142.79	0.7000	0.7000
105946	55063	KEEP	0	0	8.07	0.0000	0.9000
116962	21070	TRIM	0	0	0.00	0.0000	1.0000
122660	9110	KEEP	0	0	0.00	0.0000	1.0000
122660	9111	SPLIT2	1	1	0.00	0.0000	0.5000
122660	53070	KEEP	0	0	85.28	0.0667	0.0667
131357	12014	KEEP	0	0	0.00	0.0000	1.0000
138009	12088	KEEP	0	0	0.00	0.0000	1.0000
142421	108104	SPLIT2	1	0	7.20	0.0000	1.0000
165157	9000	KEEP	0	1	13.38	0.5000	0.8667
166870	85045	KEEP	0	0	10.89	0.0000	0.7333
167612	100074	KEEP	0	0	195.56	1.0000	1.0000
167612	101086	KEEP	0	0	190.78	1.0000	1.0000
168432	22006	KEEP	0	0	25.10	0.4333	0.7667
169356	67030	SPLIT2	1	1	33.68	0.7000	0.8667
170098	78064	KEEP	0	0	18.13	0.0000	0.7333
170761	8026	SPLIT2	1	1	0.00	0.4667	0.8333
171729	9005	KEEP	0	0	0.00	0.0000	1.0000
172230	5027	KEEP	0	0	0.00	0.0000	1.0000
172942	4002	TRIM	0	0	0.00	0.0000	1.0000
173093	12007	KEEP	0	0	38.54	0.6667	0.9333
173495	26021	KEEP	0	0	270.22	1.0000	1.0000
174771	15018	KEEP	0	0	2.45	0.0000	1.0000
174771	87065	KEEP	0	1	95.82	0.4333	0.4667
174771	91075	SPLIT3	1	1	24.19	0.5667	0.7333
176502	20005	KEEP	0	0	192.99	0.0000	0.0000
176502	23030	SPLIT3	1	0	15.03	0.0000	0.8333
176502	109119	SPLIT3	1	1	0.00	0.3333	1.0000
176502	109299	KEEP	0	0	0.00	0.0000	1.0000
176533	11035	KEEP	0	0	0.00	0.0000	1.0000
176986	67048	KEEP	0	0	7.22	0.0000	0.7333
179048	17012	KEEP	0	0	0.00	0.0000	1.0000
179611	10001	TRIM	0	0	0.00	0.0000	1.0000
180801	15082	KEEP	0	0	0.00	0.0000	1.0000
180801	112061	KEEP	0	0	40.29	0.3333	0.3333
181050	15005	SPLIT2	1	0	29.97	0.0000	0.1667
196649	11113	KEEP	0	0	0.00	0.0000	1.0000
256587	11301	KEEP	0	0	0.00	0.0000	1.0000
259542	88060	KEEP	0	0	71.07	0.9667	0.9667
268784	13027	KEEP	0	0	0.00	0.0000	1.0000
269774	13237	SPLIT2	1	1	27.39	0.3667	0.9333
275011	11037	KEEP	0	0	0.00	0.0000	1.0000
278420	61027	KEEP	0	1	31.62	0.9333	0.9333
280972	79136	SPLIT2	1	1	18.05	0.1000	0.7667
281165	16006	KEEP	0	0	0.00	0.0000	1.0000
281485	87078	SPLIT3	1	0	17.40	0.3667	0.8000
281485	89095	SPLIT2	1	1	20.03	0.6000	0.8000
281485	91112	KEEP	0	0	20.72	0.5333	0.8000
281567	9025	SPLIT2	1	0	8.91	0.0000	0.8667
281567	99193	KEEP	0	0	10.73	0.2667	0.8000
281639	23001	KEEP	0	0	7.61	0.0000	0.9000
281639	91023	KEEP	0	0	6.54	0.0000	1.0000
281781	89069	SPLIT3	1	1	14.62	0.4000	0.9333
282271	6063	KEEP	0	0	0.00	0.0000	1.0000
282909	4084	KEEP	0	0	0.00	0.0000	1.0000
282909	75060	KEEP	0	0	21.84	0.1000	0.6000
283515	24014	KEEP	0	0	44.34	0.9333	0.9333
284200	6013	SPLIT2	1	1	19.50	0.4000	0.8333
285443	49035	KEEP	0	0	12.98	0.1333	0.8667
285567	8107	KEEP	0	0	0.00	0.0000	1.0000
286655	19006	KEEP	0	0	27.88	0.5000	0.8000
286681	3012	KEEP	0	0	46.88	0.0000	0.1000
287654	12003	KEEP	0	0	52.27	0.3000	0.3000
287830	21042	SPLIT2	1	1	74.84	0.9000	0.9000
292005	46017	KEEP	0	0	24.10	0.6333	0.9000
292643	25015	SPLIT2	1	1	46.84	0.7000	0.7000
293149	4001	SPLIT2	1	0	0.00	0.3667	1.0000
293536	15027	TRIM	0	0	0.00	0.0000	1.0000
294174	16004	SPLIT2	1	1	231.66	0.6333	0.6333
294174	71067	SPLIT2	1	1	108.08	0.7667	0.7667
314838	110088	SPLIT2	1	1	12.36	0.1000	0.8333
317939	26001	KEEP	0	0	0.00	0.0000	1.0000
317939	30022	KEEP	0	0	12.04	0.0333	0.8667
318769	31026	KEEP	0	1	38.18	0.9000	0.9000
318769	143101	KEEP	0	1	43.43	0.9333	0.9333
321169	16055	SPLIT3	1	0	0.00	0.0000	1.0000
321767	45019	KEEP	0	0	19.58	0.6667	0.7333
342199	25109	KEEP	0	0	81.34	0.7333	0.7333
342199	74101	KEEP	0	0	57.17	0.9333	0.9333
348691	49046	KEEP	0	0	7.91	0.0000	0.9333
350354	18092	SPLIT2	1	1	0.00	0.0000	1.0000
359980	75089	KEEP	0	0	24.52	0.5333	0.7667
386948	16002	KEEP	0	0	57.22	0.9000	0.9000
386948	91060	KEEP	0	0	49.11	0.9333	0.9333
390182	4008	KEEP	0	0	3.19	0.0000	1.0000
392901	127030	KEEP	0	0	34.79	0.1333	0.6667
393212	6009	SPLIT2	1	1	26.08	0.3667	0.8333
393505	63025	KEEP	0	1	58.33	0.9667	0.9667
394167	11009	KEEP	0	0	0.00	0.0000	1.0000
396037	69026	KEEP	0	1	17.69	0.6333	0.7667
396222	9059	SPLIT4+	1	1	0.00	0.4000	1.0000
396222	9084	SPLIT3	1	0	18.27	0.4000	0.6000
396222	97175	KEEP	0	0	42.78	0.3000	0.4000
399052	64067	KEEP	0	0	39.05	0.2667	0.4333
406125	8059	KEEP	0	0	0.00	0.0000	1.0000
406125	38021	SPLIT2	1	1	3.35	0.7000	1.0000
407918	17010	KEEP	0	0	14.68	0.2000	0.8667
408304	9039	KEEP	0	0	0.00	0.0000	1.0000
408678	14003	KEEP	0	0	0.00	0.0000	1.0000
410008	20001	KEEP	0	0	172.47	1.0000	1.0000
410008	98035	KEEP	0	0	168.24	1.0000	1.0000
412242	14007	KEEP	0	0	3.69	0.0000	1.0000
412242	60050	KEEP	0	0	28.84	0.0000	0.4000
412242	64054	KEEP	0	0	52.61	0.0000	0.1333
415278	23012	SPLIT3	1	1	0.00	0.5667	1.0000
415278	23037	SPLIT4+	1	1	0.00	0.3333	1.0000
415278	83139	SPLIT2	1	1	96.41	0.3333	0.3333
444187	19082	KEEP	0	0	0.00	0.0000	0.5000
463565	109073	KEEP	0	0	71.85	0.0000	0.0333
463565	114086	KEEP	0	0	60.21	0.0000	0.0000
463565	115088	KEEP	0	0	62.67	0.0333	0.1333
475096	19014	KEEP	0	0	80.08	0.9333	0.9333
486687	103067	KEEP	0	0	27.74	0.2000	0.7333
486907	24002	TRIM	0	0	27.21	0.5667	0.9000
487853	13000	SPLIT2	1	1	3.94	0.0000	1.0000
499577	13009	TRIM	0	0	0.00	0.2667	1.0000
506746	21056	KEEP	0	0	0.00	0.0000	1.0000
506746	21067	KEEP	0	0	17.46	0.0000	0.1000
521075	18007	KEEP	0	0	6.61	0.0000	1.0000
