event	arm	seg	pdg	len_cm	med_dqdx_mip	cur	cur_nseg	cur_len_cm	owner	divert	pair_dis_cm	front_dis_cm	body_dis_cm	snap_dis_cm	angle_v1	angle_v2	tier	trk	seg_mark	marked_shower	verdict	label_tag
21073	work-pr123r1-dbgA2-ncpi0	54047	11	7.12	0.563	60081	31	153.3	60081	0	43.6	31.46	12.63	18.7	15.01	15.88	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	56048	11	6.33	0.447	60081	32	160.4	60081	0	36.29	24.99	7.17	13.11	18.41	20.25	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	59050	11	2.14	0.735	60081	33	166.7	60081	0	33.34	20.93	5.69	8.17	13.82	14.43	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	61082	11	4.9	2.011	60081	34	168.8	60081	0	43.34	31.21	6.05	20.62	8.74	9.87	1	0	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	67112	11	6.24	1.815	60081	35	173.7	60081	0	36.23	23.17	10.61	10.61	14.75	14.74	1	0	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	68117	11	6.39	0.641	60081	36	180.0	60081	0	57.57	45.61	1.94	32.89	16.75	17.6	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	41034	13	0.29	0.95	63100	3	14.7	63100	0	64.28	38.48	31.42	31.42	8.33	14.23	1	1				emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	44037	13	0.37	1.271	63100	4	14.9	63100	0	47.9	21.6	14.47	14.47	1.51	2.53	1	1				emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	53046	13	0.34	1.172	63100	5	15.3	63100	0	74.52	50.14	31.98	42.6	18.26	27.53	1	1				emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	62096	11	3.8	1.063	63100	6	15.7	63100	0	63.82	37.87	4.5	30.75	8.62	13.92	1	1				emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	62098	11	10.85	1.062	63100	7	19.5	63100	0	55.2	28.92	8.07	21.83	4.72	6.89	1	1				emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	57049	11	15.87	0.646	31023	2	4.3	31023	0	46.35	11.5	9.07	9.07	24.93	19.81	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	64109	13	3.77	0.997	31023	3	20.1	31023	0	79.54	44.77	23.33	42.33	22.75	19.74	1	1	TARGET	60081		emscan-0827
21073	work-pr123r1-dbgA2-ncpi0	65110	13	0.92	1.08	16019	2	8.9	16019	0	65.2	8.22	2.6	2.6	6.25	3.47	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	9010	13	16.84	2.059	67048	2	16.1	67048	0	49.55	28.47	28.47	28.47	22.85	29.05	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	9013	11	9.29	0.64	67048	3	33.0	67048	0	49.55	28.47	0.0	28.47	22.85	29.05	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	43024	13	0.83	0.896	67048	4	42.3	67048	0	61.55	40.33	5.59	40.33	24.21	29.12	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	61042	11	5.66	0.755	67048	5	43.1	67048	0	67.91	45.98	11.23	45.98	19.94	23.5	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	65046	11	4.73	1.095	67048	6	48.8	67048	0	48.02	26.58	15.61	26.58	17.91	24.92	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	81058	11	10.94	1.015	67048	7	53.5	67048	0	64.65	42.86	4.21	42.86	21.72	25.58	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	81059	11	4.87	0.666	67048	8	64.4	67048	0	64.65	42.86	0.0	42.86	21.72	25.58	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	81060	11	5.13	0.686	67048	9	69.3	67048	0	61.05	39.32	0.0	39.32	21.62	25.76	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	40021	11	0.98	1.205	9008	2	17.7	9008	0	47.73	20.5	17.68	17.68	11.82	18.12	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	41022	11	2.28	1.792	9008	3	18.7	9008	0	107.75	79.02	60.2	77.36	4.51	5.42	3	0				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	44025	11	0.83	1.845	9008	4	20.9	9008	0	79.17	50.49	27.91	48.74	4.86	6.32	1	0				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	45026	2212	0.44	2.475	9008	5	21.8	9008	0	78.62	50.03	2.16	48.19	5.86	7.57	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	48029	13	0.47	0.401	9008	6	22.2	9008	0	116.86	88.05	8.02	86.58	3.19	3.75	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	49030	13	0.55	1.148	9008	7	22.7	9008	0	110.06	81.18	11.34	80.04	2.34	2.7	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	50031	13	0.51	0.585	9008	8	23.2	9008	0	76.16	47.42	3.21	45.76	3.95	5.26	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	51032	11	1.49	1.551	9008	9	23.7	9008	0	85.03	56.25	5.7	54.67	3.45	4.43	1	0				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	52033	2212	1.08	2.435	9008	10	25.2	67048	1	110.23	82.23	13.81	80.09	11.56	13.59	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	54035	13	0.2	0.824	9008	10	25.2	67048	1	121.87	94.0	20.74	91.74	12.62	14.6	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	55036	13	0.28	1.021	9008	10	25.2	9008	0	100.08	71.79	18.67	70.2	9.71	11.67	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	56037	11	0.65	0.351	9008	11	25.5	9008	0	100.62	72.15	10.54	70.25	7.64	9.26	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	57038	13	0.16	0.394	9008	12	26.1	9008	0	94.58	66.12	6.35	64.16	7.58	9.32	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	58039	2212	0.57	1.679	9008	13	26.3	67048	1	88.78	60.48	10.59	58.76	8.96	10.95	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	60041	13	2.16	1.228	9008	13	26.3	9008	0	91.33	62.61	14.75	61.99	5.98	7.02	1	1				emscan-0827
