evt	sample	label_source	carried	d_p100base	d_base	d_nofitx	d_pre103	d_trad	d_dlonly	d_ma4	d_topo3	d_topk10
76866	mcp2k	human	1	19.960	19.960	19.960	19.960	19.960	18.330	19.960	19.960	19.960
76888	mcp2k	ai-scanner	1	0.000	0.000	0.057	0.000	0.000	0.000	0.000	0.000	0.000
76998	mcp2k	ai-scanner	1	0.000	0.000	0.000	0.000	0.000	52.744	144.547	144.547	0.000
77702	mcp2k	human	1	0.000	0.000	0.186	0.000	0.000	0.000	0.000	0.000	0.000
77846	mcp2k	ai-scanner	1	0.000	0.000	0.179	0.000	0.000	0.000	0.000	0.000	0.000
78242	mcp2k	ai-scanner	1	0.000	0.000	0.174	0.000	0.000	0.000	0.000	0.000	0.000
81597	nuecc	human	1	0.000	0.000	0.104	0.000	49.679	0.000	0.000	0.000	0.000
84229	ncpi0	human	1	98.631	98.631	0.239	98.631	0.000	98.631	98.631	98.631	98.631
90135	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	12.741	222.498	0.000	0.000
92904	mcp2k	human	1	25.825	25.825	25.825	25.825	25.825	282.444	25.825	25.825	25.825
93696	mcp2k	ai-scanner	1	0.000	0.000	0.233	0.000	3.640	0.000	0.000	0.000	0.000
94224	mcp2k	ai-scanner	1	0.000	0.000	0.158	0.000	0.000	0.000	0.000	0.000	0.000
94546	mcp2k	human	1	4.481	4.481	0.110	4.481	4.481	4.481	4.481	4.481	4.481
95170	mcp2k	human	1	68.706	68.706	68.769	68.706	66.170	68.706	68.706	68.706	68.706
96306	mcp2k	ai-scanner	1	0.000	0.000	0.046	0.000	3.964	0.000	0.000	0.000	0.000
98294	mcp2k	human	1	1.091	1.091	0.000	1.091	0.000	1.091	1.091	1.091	1.091
99232	mcp2k	ai-scanner	1	0.000	0.000	0.261	0.000	0.000	0.000	0.000	0.000	0.000
100222	mcp2k	human	1	0.000	0.000	0.293	0.000	37.297	0.000	0.000	0.000	0.000
102841	mcp2k	ai-scanner	1	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000
103952	mcp2k	ai-scanner	1	33.606	33.606	0.541	33.606	162.867	33.606	33.606	33.606	33.606
105140	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	58.820	0.000	0.000	0.000
105426	mcp2k	ai-scanner	1	0.000	0.000	0.465	0.000	0.000	0.000	0.000	0.000	0.000
122660	nuecc	human	1	5.676	5.676	0.267	5.676	0.594	5.676	5.676	5.676	5.676
157281	mcp2k	human	1	0.000	0.000	0.457	0.000	0.000	0.000	200.017	0.000	0.000
166804	mcp1k	human	1	24.615	24.615	23.928	24.615	24.615	316.500	24.615	24.615	24.615
166870	mcp1k	human	1	2.593	2.593	4.814	2.593	2.593	8.691	10.483	2.593	2.593
169152	mcp2k	human	1	68.975	68.975	68.732	68.975	87.992	68.975	68.975	68.975	68.975
169356	mcp1k	human	1	0.000	0.000	0.717	0.000	0.000	0.000	0.000	0.000	0.000
169488	mcp1k	human	1	0.000	0.000	0.000	0.000	0.990	0.000	0.000	0.000	0.000
169724	mcp2k	human	1	0.000	0.000	28.406	0.000	0.000	10.756	10.756	0.000	0.000
169774	mcp1k	human	1	12.127	12.127	12.127	12.127	12.127	36.882	12.127	12.127	12.127
169824	mcp1k	human	1	0.000	0.000	0.108	0.000	0.000	0.000	0.000	0.000	0.000
170098	mcp2k	ai-scanner	1	0.000	0.000	0.941	0.000	0.000	0.000	0.000	0.000	0.000
170274	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	23.881	11.334	11.334	0.000
170814	mcp1k	human	1	0.000	0.000	0.036	0.000	0.000	42.068	45.380	0.000	0.000
171866	mcp2k	ai-scanner	1	0.000	0.000	0.666	0.000	0.000	0.000	0.000	0.000	0.000
172617	mcp2k	ai-scanner	1	0.000	0.000	0.832	0.000	0.000	0.000	0.000	0.000	0.000
173058	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	115.877	0.000	0.000	0.000
174576	mcp1k	human	1	0.000	0.000	0.471	0.000	0.000	22.563	21.420	0.000	0.000
174771	mcp2k	ai-scanner	1	1.968	0.000	0.752	1.968	4.753	0.000	0.000	0.000	0.000
175094	mcp2k	ai-scanner	1	0.000	0.000	0.200	0.000	0.000	234.729	108.425	0.000	0.000
175814	mcp2k	ai-scanner	1	0.000	0.000	0.109	0.000	0.000	0.000	0.000	0.000	0.000
176150	mcp2k	human	1	0.000	0.000	0.000	0.000	2.597	0.000	0.000	0.000	0.000
177149	mcp2k	ai-scanner	1	0.000	0.000	0.405	0.000	0.000	0.000	0.000	0.000	0.000
178535	mcp2k	human	1	15.148	15.148	15.148	15.148	15.148	15.148	15.148	15.148	15.148
178570	mcp2k	ai-scanner	1	0.000	0.000	0.939	0.000	0.000	0.000	0.000	0.000	0.000
179054	mcp2k	ai-scanner	1	0.000	0.000	0.156	0.000	0.000	0.000	0.000	0.000	0.000
179246	mcp2k	human	1	31.909	31.909	31.909	31.909	0.000	31.909	31.909	31.909	31.909
240636	mcp2k	human	1	0.000	0.000	0.388	0.000	0.000	0.000	0.000	0.000	0.000
242726	mcp2k	ai-scanner	1	0.000	0.000	0.245	0.000	0.000	0.000	0.000	0.000	0.000
256587	nuecc	human	1	0.000	0.000	0.161	0.000	0.000	0.000	0.000	0.000	0.000
278046	mcp1k	human	1	15.290	14.510	11.005	15.290	8.101	14.510	14.510	14.510	14.510
278509	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	142.022	82.616	0.000	0.000
279190	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	121.146	0.000	0.000	0.000
279643	mcp1k	human	1	0.000	0.000	0.154	0.000	0.000	18.088	0.000	0.000	0.000
280017	mcp1k	human	1	0.000	0.000	0.787	0.000	0.000	0.000	0.000	0.000	0.000
280774	mcp1k	human	1	38.293	38.293	37.955	38.293	38.293	38.293	38.293	38.293	38.293
281505	mcp1k	human	1	0.000	0.000	0.297	0.000	0.000	33.773	10.014	0.000	0.000
281507	mcp1k	human	1	0.000	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000
281527	mcp1k	human	1	0.000	0.000	0.356	0.000	0.000	228.882	153.161	0.000	0.000
281727	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	467.624	0.000	0.000	0.000
282204	mcp1k	human	1	0.000	0.000	0.668	0.000	0.000	0.000	0.000	0.000	0.000
282217	mcp1k	human	1	0.000	0.000	0.353	0.000	0.000	0.000	0.000	0.000	0.000
282385	mcp1k	human	1	7.809	7.809	0.293	7.809	0.430	7.809	7.809	7.809	7.809
282459	mcp1k	human	1	0.000	0.000	0.131	0.000	0.000	0.000	0.000	0.000	0.000
282666	mcp1k	human	1	0.000	0.000	0.130	0.000	0.000	0.000	0.000	0.000	0.000
282899	mcp1k	human	1	128.325	128.325	128.325	128.325	2.426	128.325	128.325	128.325	128.325
283040	mcp1k	human	1	0.000	0.000	0.254	0.000	0.000	0.000	0.000	0.000	0.000
283091	mcp1k	human	1	0.000	0.000	0.259	0.000	0.000	409.029	7.275	0.000	0.000
283463	mcp1k	human	1	2.018	2.018	8.172	2.018	2.018	174.794	2.018	2.018	2.018
283568	mcp2k	ai-scanner	1	0.000	0.000	0.314	0.000	58.100	0.000	0.000	0.000	0.000
283849	mcp2k	human	1	0.000	0.000	0.222	0.000	5.597	0.000	0.000	0.000	0.000
284145	mcp1k	human	1	0.000	0.000	5.128	0.000	2.190	0.000	0.000	0.000	0.000
284200	mcp1k	human	1	0.000	0.000	0.239	0.000	0.000	0.000	0.000	0.000	0.000
284769	mcp1k	human	1	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000
284794	mcp1k	human	1	0.341	0.000	0.773	0.210	4.398	0.000	0.000	0.000	0.000
284866	mcp2k	human	1	0.000	0.000	0.977	0.000	0.000	0.000	0.000	0.000	0.000
285366	mcp1k	human	1	66.922	66.922	66.922	66.922	66.922	32.911	66.922	66.922	66.922
285665	mcp1k	human	1	89.346	89.346	89.096	89.346	1.140	89.346	89.346	89.346	89.346
286180	mcp1k	human	1	0.000	0.000	0.423	0.000	0.000	56.435	32.602	0.000	0.000
286241	mcp1k	human	1	0.000	0.000	0.176	0.000	0.000	0.000	0.000	0.000	0.000
286296	mcp2k	human	1	18.061	18.061	0.000	18.061	18.061	364.671	18.061	18.061	18.061
286400	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
286489	mcp2k	ai-scanner	1	0.000	0.000	0.234	0.000	0.000	0.000	0.000	0.000	0.000
286527	mcp1k	human	1	0.000	0.000	0.171	0.000	3.171	0.000	0.000	0.000	0.000
286655	mcp1k	human	1	27.879	27.879	27.879	27.879	27.879	76.102	13.728	27.879	27.879
287249	mcp1k	human	1	0.000	0.000	0.110	0.000	0.000	140.363	135.146	0.000	0.000
287374	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	30.149	0.000	0.000	0.000
287638	mcp2k	human	1	108.816	108.816	109.051	108.816	108.816	102.264	108.816	108.816	108.816
287770	mcp2k	ai-scanner	1	0.000	0.000	0.748	0.000	0.000	0.000	0.000	0.000	0.000
288358	mcp1k	human	1	0.000	0.000	0.267	0.000	0.000	12.634	11.353	11.353	0.000
288639	mcp1k	human	1	0.000	0.000	0.145	0.000	0.000	0.000	0.000	0.000	0.000
289246	mcp2k	ai-scanner	1	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000
289464	mcp2k	ai-scanner	1	0.000	0.000	0.555	0.000	0.000	0.000	0.000	0.000	0.000
289559	mcp1k	human	1	0.000	0.000	0.840	0.000	0.000	0.000	0.000	0.000	0.000
289862	mcp2k	human	1	14.520	14.520	14.520	14.520	14.520	7.838	0.000	14.520	14.520
290729	mcp1k	human	1	0.000	0.000	0.122	0.000	0.000	0.000	0.000	0.000	0.000
292406	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	86.823	45.571	0.000	0.000
292643	mcp1k	human	1	0.000	0.000	0.231	0.000	0.000	173.511	0.000	0.000	0.000
293149	mcp1k	human	1	23.771	23.771	24.806	23.771	23.771	26.111	26.111	23.771	23.771
314507	mcp1k	human	1	67.089	67.089	67.089	67.089	67.089	59.587	59.587	67.089	67.089
316025	mcp1k	human	1	0.289	0.000	0.438	0.289	0.000	0.000	0.000	0.000	0.000
316311	mcp1k	human	1	0.000	0.000	0.393	0.000	0.000	0.000	0.000	0.000	0.000
319871	mcp2k	ai-scanner	1	0.000	0.000	0.591	0.000	0.000	0.000	0.000	0.000	0.000
320485	mcp2k	ai-scanner	1	0.000	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000
321235	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
321741	mcp2k	ai-scanner	1	0.000	0.000	0.000	0.000	0.221	0.000	0.000	0.000	0.000
321789	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	19.410	0.000	0.000	0.000
321937	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	309.344	103.253	0.000	0.000
323171	mcp2k	human	1	0.000	0.000	0.365	0.000	0.000	22.355	159.463	0.000	0.000
346623	mcp1k	human	1	0.000	0.000	0.452	0.000	0.000	295.421	0.000	0.000	0.000
347824	mcp2k	human	1	0.000	0.000	0.764	0.000	3.754	0.000	0.000	0.000	0.000
347890	mcp2k	human	1	30.529	30.529	0.579	30.529	30.529	18.484	30.529	30.529	30.529
348682	mcp2k	ai-scanner	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
348713	mcp1k	human	1	90.216	90.216	0.000	90.216	90.216	90.216	90.216	90.216	90.216
348845	mcp1k	human	1	0.000	0.000	0.471	0.000	0.000	0.000	0.000	0.000	0.000
349087	mcp1k	human	1	2.704	2.704	0.076	2.704	2.704	2.704	2.704	2.704	2.704
350186	nuecc	human	1	0.000	0.000	0.239	0.000	37.583	0.000	0.000	0.000	0.000
350935	mcp1k	human	1	0.000	0.000	0.691	0.000	95.178	0.000	0.000	0.000	0.000
352796	mcp2k	ai-scanner	1	0.000	0.000	0.280	0.000	0.000	0.000	0.000	0.000	0.000
389379	mcp2k	human	1	155.594	155.594	155.594	155.594	0.000	155.594	155.594	155.594	155.594
389538	nuecc	human	1	213.467	213.467	0.304	213.467	0.331	213.467	213.467	213.467	213.467
390634	mcp2k	human	1	0.000	0.000	0.144	0.000	0.000	181.364	130.169	130.169	0.000
390864	mcp1k	human	1	173.799	173.799	93.114	173.799	173.799	110.472	93.589	173.799	173.799
391899	mcp2k	ai-scanner	1	0.000	0.000	0.522	0.000	0.000	422.968	87.613	0.000	0.000
392327	mcp2k	ai-scanner	1	0.000	0.000	0.118	0.000	0.000	0.000	0.000	0.000	0.000
392552	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	237.172	0.000	0.000
393935	mcp2k	ai-scanner	1	0.000	0.000	0.000	0.000	0.000	0.000	287.990	0.000	0.000
394796	mcp1k	human	1	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000
395443	mcp2k	ai-scanner	1	0.000	0.000	0.348	0.000	55.871	0.000	0.000	0.000	0.000
395654	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	197.232	0.000	0.000
395837	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	213.018	213.018	0.000	0.000
395870	mcp2k	ai-scanner	1	0.000	0.000	0.353	0.000	0.000	0.000	0.000	0.000	0.000
396037	mcp2k	human	1	33.738	33.738	33.738	33.738	33.738	33.738	33.738	33.738	33.738
396091	mcp2k	human	1	0.000	0.000	0.600	0.000	0.000	0.000	0.000	0.000	0.000
396420	mcp2k	human	1	0.000	0.000	0.611	0.000	0.000	0.000	0.000	0.000	0.000
396805	mcp2k	ai-scanner	1	0.000	0.000	0.291	0.000	0.000	0.000	0.000	0.000	0.000
396829	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	121.894	121.894	0.000	0.000
397487	mcp2k	human	1	5.819	5.819	5.819	5.819	5.819	10.178	0.000	5.819	5.819
397542	mcp2k	human	1	0.000	0.000	2.290	0.000	0.000	0.000	0.000	0.000	0.000
399118	mcp1k	human	1	11.007	11.007	11.007	11.007	11.007	11.007	98.883	11.007	11.007
399998	mcp1k	human	1	0.000	0.000	0.509	0.000	0.000	29.122	29.122	0.000	0.000
400636	mcp1k	human	1	0.000	0.000	0.190	0.000	0.000	0.000	0.000	0.000	0.000
401516	mcp1k	human	1	0.000	0.000	0.614	0.000	0.000	0.000	0.000	0.000	0.000
401626	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	48.465	26.683	0.000	0.000
405432	mcp1k	human	1	0.000	0.000	0.217	0.000	0.000	0.000	0.000	0.000	0.000
405740	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	10.962	0.000	0.000	0.000
406125	mcp2k	human	1	0.000	0.000	0.690	0.000	0.000	0.000	0.000	0.000	0.000
406631	mcp2k	human	1	0.000	0.000	205.510	0.000	0.000	394.901	238.345	0.000	0.000
408534	mcp1k	human	1	131.717	131.717	131.717	131.717	131.717	131.717	5.990	131.717	131.717
409514	mcp2k	human	1	0.000	0.000	2.408	0.000	0.000	0.000	0.000	0.000	0.000
409624	mcp2k	human	1	0.000	0.000	0.037	0.000	0.000	48.312	0.000	0.000	0.000
410698	mcp2k	ai-scanner	1	0.000	0.000	0.579	0.000	0.000	0.000	0.000	0.000	0.000
414240	mcp2k	human	1	0.000	0.000	21.608	0.000	0.000	101.358	0.000	0.000	0.000
444187	nuecc	human	1	0.000	0.000	0.070	0.000	0.000	0.000	0.000	0.000	0.000
473952	mcp2k	human	1	1.593	1.593	0.289	1.593	1.593	1.593	1.593	1.593	1.593
474612	mcp2k	human	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
477142	mcp2k	human	1	67.510	67.510	67.948	67.510	67.510	18.865	3.410	3.410	67.510
478088	mcp2k	ai-scanner	1	0.420	0.000	0.667	0.420	0.000	0.000	0.000	0.000	0.000
478220	mcp2k	ai-scanner	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
479650	mcp2k	human	1	25.862	25.862	3.795	25.862	25.862	70.014	25.862	25.862	25.862
480728	mcp2k	ai-scanner	1	0.000	0.000	0.731	0.000	0.000	31.965	0.000	0.000	0.000
489330	nuecc	human	1	0.000	0.000	0.269	0.000	26.799	26.799	0.000	0.000	0.000
490977	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	34.780	34.780	0.000	0.000
491483	mcp1k	human	1	0.000	0.000	4.537	0.000	0.000	0.000	0.000	0.000	0.000
492649	mcp1k	human	1	0.000	0.000	0.000	0.000	0.000	54.558	0.000	0.000	0.000
497311	mcp2k	human	1	145.665	145.665	191.811	145.665	79.380	145.665	145.665	145.665	145.665
498851	mcp2k	ai-scanner	1	0.000	0.000	0.258	0.000	0.000	0.000	0.000	0.000	0.000
