ev	sat	near	gap	sat_pdg	sat_E	sat_len	sat_conn	sat_track	pio	near_E	marks
292643	103024	18010	8.78	11	0.27	1.3	2	0	0	216.4	unl
292643	104025	105026	7.52	11	8.67	2.3	2	0	0	65.0	unl
292643	115038	18010	22.68	11	5.14	1.1	2	0	0	216.4	unl
292643	98019	18010	25.1	11	4.08	0.7	3	0	0	216.4	unl
292643	102023	18010	5.32	11	1.64	0.3	3	0	0	216.4	unl
292643	114037	18010	31.26	11	2.66	0.8	3	0	0	216.4	unl
293149	25004	4001	11.57	11	0.2	0.3	3	0	0	278.7	unl
293149	33012	4001	5.03	11	5.9	2.3	3	0	0	278.7	in
293149	35014	4001	6.06	2212	3.41	0.4	3	1	0	278.7	unl
293149	36015	4001	7.63	11	1.83	0.5	3	0	0	278.7	unl
293149	37016	4001	29.09	11	2.99	0.5	3	0	0	278.7	unl
293149	39018	4001	14.48	11	0.22	0.4	3	0	0	278.7	unl
293149	40019	4001	20.25	11	0.74	0.4	3	0	0	278.7	unl
313781	39007	9012	29.27	11	1.16	0.1	3	0	0	102.7	unl
313781	40008	9012	19.5	11	2.53	0.4	3	0	0	102.7	unl
313781	41009	9012	13.02	11	2.2	0.4	3	0	0	102.7	unl
317939	110047	30022	4.03	11	6.72	1.3	2	0	0	417.9	unl
321767	42013	45019	24.52	11	7.04	5.3	2	0	0	228.2	unl
321767	41012	45019	13.31	11	1.73	1.6	2	0	0	228.2	unl
321767	48034	45019	8.1	11	3.37	0.9	3	0	0	228.2	unl
347085	30016	72066	18.53	11	1.65	0.4	3	0	0	268.1	unl
347085	31017	72066	9.8	11	1.67	0.3	3	0	0	268.1	in
347085	33019	72066	36.33	11	1.13	1.2	3	0	0	268.1	unl
347085	34020	68035	19.16	11	1.46	0.3	3	0	0	41.7	unl
347085	36022	68035	17.49	11	1.88	0.3	3	0	0	41.7	unl
347085	42028	72066	28.17	2212	8.7	1.4	3	1	0	268.1	unl
347085	71058	72066	3.83	11	3.66	2.3	3	0	0	268.1	unl
348471	33013	38018	11.4	11	1.87	0.1	3	0	0	20.2	unl
348471	31011	38018	39.07	13	7.49	3.4	4	1	0	20.2	unl
348691	9014	50073	3.5	11	1.79	1.6	1	0	0	107.7	unl
348691	9100	50073	4.49	11	3.1	2.7	1	0	0	107.7	unl
348691	33030	50073	9.6	11	3.96	0.7	3	0	0	107.7	unl
348691	34031	49046	18.61	11	1.28	0.2	3	0	0	319.7	unl
348691	36033	52089	37.97	11	1.22	0.8	3	0	0	157.7	unl
348691	40037	49046	35.98	11	1.48	0.4	3	0	0	319.7	unl
348691	41038	49046	34.65	11	1.24	0.5	3	0	0	319.7	unl
348691	54093	52089	36.54	11	4.23	0.8	3	0	0	157.7	unl
348691	60099	49046	8.47	11	2.02	0.2	3	0	0	319.7	unl
349549	34034	12092	4.97	2212	1.8	0.2	3	1	0	224.9	unl
349549	35035	12092	9.57	11	1.91	1.3	3	0	0	224.9	unl
349549	36036	12092	6.27	11	1.61	0.7	3	0	0	224.9	unl
349549	38038	12092	20.81	11	1.11	0.2	3	0	0	224.9	unl
349549	41041	12092	25.73	11	1.17	0.3	3	0	0	224.9	unl
349549	44044	12092	36.61	11	2.61	0.2	3	0	0	224.9	unl
349549	56052	19032	8.97	11	3.7	0.8	3	0	0	436.7	unl
349549	62076	19032	16.6	11	1.53	0.3	3	0	0	436.7	unl
349549	64078	19032	39.67	11	0.93	0.3	3	0	0	436.7	unl
349549	67081	19032	32.31	2212	3.73	0.4	4	1	0	436.7	unl
350121	31042	2011	29.48	11	6.36	1.7	2	0	0	309.1	unl
350121	24027	2011	33.21	11	3.6	1.1	2	0	0	309.1	unl
350121	26029	28031	28.87	11	7.7	1.6	2	0	0	30.2	unl
350121	20023	28031	39.36	11	9.09	1.5	2	0	0	30.2	unl
350121	14017	28031	21.03	11	4.82	0.7	3	0	0	30.2	unl
350121	16019	28031	11.09	11	2.24	0.4	3	0	0	30.2	unl
350121	17020	2011	3.65	11	3.03	0.6	3	0	0	309.1	unl
350121	22025	2011	12.96	11	4.99	0.9	3	0	0	309.1	unl
350121	23026	2011	29.44	11	2.58	0.5	3	0	0	309.1	unl
350121	25028	28031	20.07	11	2.06	0.4	3	0	0	30.2	unl
350121	27030	2011	18.65	2212	7.86	1.5	3	1	0	309.1	unl
350121	30041	2011	20.65	11	2.6	0.7	3	0	0	309.1	unl
350121	32043	28031	21.54	2212	4.96	0.7	3	1	0	30.2	unl
350121	33044	28031	25.46	2212	3.34	0.2	3	1	0	30.2	unl
386442	22012	16008	21.85	11	1.6	0.8	3	0	0	236.3	unl
386442	40014	16008	38.56	11	0.42	0.3	3	0	0	236.3	unl
386442	41015	16008	8.36	11	2.81	0.4	3	0	0	236.3	unl
386442	43017	16008	13.01	11	1.31	0.3	3	0	0	236.3	unl
386442	44018	16008	16.69	11	2.36	0.5	3	0	0	236.3	unl
386442	45019	16008	21.17	2212	3.99	0.3	3	1	0	236.3	unl
386442	46020	16008	15.57	11	1.18	0.3	3	0	0	236.3	unl
386442	47021	16008	22.72	11	0.9	1.2	3	0	0	236.3	unl
386442	50024	16008	36.8	11	1.02	0.3	3	0	0	236.3	unl
386442	67029	16008	30.46	11	2.4	0.2	3	0	0	236.3	unl
386948	62018	92076	3.84	11	1.82	0.7	3	0	0	544.9	unl
386948	64020	92076	39.64	11	2.97	0.5	3	0	0	544.9	unl
386948	66022	91060	24.25	11	0.94	0.9	3	0	0	433.0	unl
386948	68024	92076	25.24	11	1.57	0.7	3	0	0	544.9	unl
386948	73029	91060	37.94	11	1.75	1.5	3	0	0	433.0	unl
386948	74030	92076	8.13	11	1.51	0.3	3	0	0	544.9	unl
386948	75031	92076	15.83	11	1.66	0.4	3	0	0	544.9	unl
390182	33017	4008	34.45	11	1.69	0.3	3	0	0	130.4	unl
390182	39023	4008	24.67	11	1.33	0.1	3	0	0	130.4	unl
393212	52033	6009	26.86	11	7.25	1.6	2	0	0	295.7	unl
393212	44025	6009	24.87	2212	5.16	0.5	3	1	0	295.7	unl
393212	48029	6009	30.62	11	0.22	0.3	3	0	0	295.7	unl
393212	49030	6009	7.48	11	1.31	0.3	3	0	0	295.7	unl
393212	53034	6009	31.01	11	1.38	0.6	3	0	0	295.7	unl
399118	28019	60031	12.42	11	0.53	0.1	3	0	0	55.5	unl
399118	55025	15009	37.52	11	1.33	0.4	3	0	0	130.5	unl
399118	56026	15009	19.63	11	2.3	0.2	3	0	0	130.5	unl
399118	57027	15009	39.53	11	2.97	0.7	3	0	0	130.5	unl
401450	80088	23018	4.46	11	3.54	1.0	2	0	0	1155.6	unl
401450	55064	25060	35.36	11	0.75	0.3	3	0	0	206.7	unl
401450	69077	23018	26.94	2212	5.28	0.5	3	1	0	1155.6	unl
401450	70078	23018	13.61	11	1.24	0.4	3	0	0	1155.6	unl
401450	72080	23018	21.51	2212	4.52	0.4	3	1	0	1155.6	unl
401450	73081	23018	9.76	11	7.46	0.7	3	0	0	1155.6	unl
401450	74082	23018	10.34	11	0.61	0.5	3	0	0	1155.6	unl
401450	78086	23018	27.91	2212	4.68	0.8	3	1	0	1155.6	unl
401450	81089	86094	27.72	11	0.55	0.3	3	0	0	41.8	unl
401450	84092	23018	29.08	11	2.01	0.2	3	0	0	1155.6	unl
401450	89102	25060	9.79	11	1.71	1.6	3	0	0	206.7	unl
401450	90103	25060	34.19	211	0.02	0.0	3	1	0	206.7	unl
401450	91104	25060	35.93	11	0.91	0.3	3	0	0	206.7	unl
401450	94107	93106	20.29	11	0.99	1.8	4	0	0	34.5	unl
407918	35013	17010	27.8	11	1.27	0.4	3	0	0	174.8	unl
407918	36014	17010	23.81	11	0.4	0.4	3	0	0	174.8	unl
407918	45015	17010	27.4	11	2.13	0.3	3	0	0	174.8	unl
407918	52022	17010	33.51	11	3.99	0.9	3	0	0	174.8	unl
407918	54024	17010	12.91	11	3.72	0.5	3	0	0	174.8	unl
410008	99039	98035	0.0	11	5.79	6.7	3	0	0	143.2	unl
410008	84012	20001	34.43	11	1.74	0.5	4	0	0	113.8	unl
410008	89017	20001	22.71	11	1.38	0.3	4	0	0	113.8	unl
410008	90018	98035	9.69	11	1.66	0.3	4	0	0	143.2	unl
410008	93021	98035	8.07	11	1.81	0.9	4	0	0	143.2	unl
486247	7003	7001	0.0	11	7.67	3.1	1	0	0	20.5	unl
486687	73014	103067	39.23	11	1.69	0.2	3	0	0	244.8	unl
486687	74015	89041	30.17	2212	2.14	0.2	3	1	0	53.7	unl
486687	77018	103067	37.12	11	1.8	0.3	3	0	0	244.8	unl
486687	80021	89041	31.25	11	0.91	0.1	3	0	0	53.7	unl
486687	82023	103067	24.57	11	0.17	0.1	3	0	0	244.8	unl
486687	83024	103067	10.2	11	1.94	0.8	3	0	0	244.8	unl
486687	84025	103067	39.16	11	0.26	1.0	3	0	0	244.8	unl
486687	102065	103067	27.65	11	1.48	0.8	3	0	0	244.8	unl
486907	88045	24002	28.89	11	1.18	0.3	3	0	0	166.4	unl
486907	92049	22004	23.49	11	1.46	0.3	3	0	0	454.3	unl
486907	94051	24002	17.1	11	2.83	0.4	3	0	0	166.4	unl
487853	28004	13000	22.76	11	2.69	0.4	3	0	0	145.1	unl
487853	29005	13000	24.71	11	1.14	0.2	3	0	0	145.1	unl
487853	30006	13000	14.58	11	0.9	0.3	3	0	0	145.1	unl
487853	31007	13000	10.91	11	0.46	0.4	3	0	0	145.1	unl
487853	32008	13000	15.9	11	2.1	0.8	3	0	0	145.1	unl
487853	33009	13000	4.47	11	1.68	0.7	3	0	0	145.1	unl
487853	46012	13000	5.19	11	1.34	0.8	3	0	0	145.1	unl
487853	47013	13000	2.38	2212	3.11	2.1	3	1	0	145.1	unl
54341	76018	101041	38.9	2212	6.91	1.5	3	1	0	242.5	unl
54341	77019	101041	26.6	11	1.28	0.6	3	0	0	242.5	in
54341	78020	18008	25.18	11	0.39	0.4	3	0	0	33.4	unl
54341	81023	101041	18.75	11	1.35	0.3	3	0	0	242.5	unl
54341	82024	101041	9.17	11	0.53	0.2	3	0	0	242.5	unl
54341	100039	101041	5.4	11	0.69	0.2	3	0	0	242.5	unl
56243	35008	69032	22.5	2212	4.22	0.4	3	1	0	120.1	unl
56243	48021	69032	24.04	11	0.98	0.2	3	0	0	120.1	unl
56243	49022	69032	30.67	11	1.27	0.1	3	0	0	120.1	unl
56243	50023	69032	9.94	11	2.07	0.3	3	0	0	120.1	unl
56243	51024	69032	13.37	11	1.03	0.4	3	0	0	120.1	unl
56243	52025	69032	18.04	11	2.64	0.2	3	0	0	120.1	unl
56243	53026	69032	28.0	11	0.58	0.5	3	0	0	120.1	unl
58755	97019	30003	3.2	11	1.7	0.1	3	0	0	120.8	unl
59085	29010	3007	5.26	11	1.1	0.1	3	0	0	100.0	unl
64409	36043	8022	26.33	11	2.4	0.6	3	0	0	801.3	unl
64409	41048	60090	31.19	11	1.38	0.9	3	0	0	103.8	unl
64409	46053	8022	29.95	11	0.59	0.5	3	0	0	801.3	unl
64409	47054	8022	29.5	11	1.66	0.4	3	0	0	801.3	unl
64409	52059	8022	20.26	11	1.08	1.0	3	0	0	801.3	unl
64409	53060	8022	23.09	11	0.98	0.3	3	0	0	801.3	unl
65053	140016	139020	24.26	11	0.1	2.4	2	0	0	113.7	unl
65053	26003	139020	23.2	11	1.08	0.1	3	0	0	113.7	unl
67394	55029	58035	38.45	11	1.05	2.1	2	0	0	178.0	unl
67394	41015	58035	34.5	11	9.98	2.4	3	0	0	178.0	unl
67394	43017	58035	33.82	2212	3.8	0.4	3	1	0	178.0	unl
67394	44018	58035	27.88	11	0.83	0.2	3	0	0	178.0	unl
67394	47021	58035	35.45	11	1.32	0.2	3	0	0	178.0	unl
67394	52026	58035	22.01	2212	3.89	0.3	3	1	0	178.0	unl
67394	53027	58035	30.22	11	2.43	0.8	3	0	0	178.0	unl
71178	59014	66021	32.19	11	7.65	2.3	3	0	0	30.1	unl
71178	61016	66021	6.74	11	1.14	0.4	3	0	0	30.1	unl
71178	62017	66021	24.66	11	3.23	0.3	3	0	0	30.1	unl
71178	63018	66021	29.47	11	0.66	0.4	3	0	0	30.1	unl
71178	67022	66021	13.34	11	3.56	0.5	3	0	0	30.1	unl
71178	82035	80039	1.43	11	0.65	3.2	3	0	0	63.1	unl
100135	39012	14025	22.51	2212	1.49	0.3	3	1	0	122.2	unl
100135	43016	14025	5.68	11	1.3	0.4	3	0	0	122.2	unl
100135	47020	14025	11.11	2212	2.52	0.1	3	1	0	122.2	unl
100222	78065	113236	23.2	11	8.55	2.5	2	0	0	2498.2	unl
100222	56043	75062	18.39	11	1.28	0.3	3	0	0	109.5	unl
100222	59046	75062	27.52	11	9.52	0.7	3	0	0	109.5	unl
100222	65052	67054	2.4	11	4.04	0.9	3	0	0	38.6	unl
100222	66053	67054	5.67	11	1.49	0.6	3	0	0	38.6	unl
100222	68055	113236	9.18	11	7.23	1.8	3	0	0	2498.2	unl
100222	69056	113236	12.84	11	2.47	0.6	3	0	0	2498.2	unl
100222	72059	113236	33.11	11	0.49	0.7	3	0	0	2498.2	unl
100222	74061	113236	18.99	11	1.3	0.7	3	0	0	2498.2	unl
100222	76063	113236	4.55	11	3.35	0.6	3	0	0	2498.2	unl
100222	80067	113236	38.2	11	3.12	1.3	3	0	0	2498.2	unl
103798	57012	89037	29.61	11	1.88	0.3	3	0	0	97.6	unl
103798	58013	89037	31.71	2212	3.37	0.4	3	1	0	97.6	unl
103798	60015	89037	31.71	2212	2.52	0.3	3	1	0	97.6	unl
103798	61016	89037	37.17	11	1.6	0.3	3	0	0	97.6	unl
103798	62017	89037	27.82	11	0.97	0.6	3	0	0	97.6	unl
103798	64019	89037	28.05	11	1.49	0.1	3	0	0	97.6	unl
103798	65020	89037	17.91	11	1.4	0.4	3	0	0	97.6	unl
103798	72027	92061	25.89	11	1.77	0.3	3	0	0	133.0	unl
103798	73028	89037	26.97	11	3.86	0.7	3	0	0	97.6	unl
103798	77032	89037	20.01	11	0.9	0.4	3	0	0	97.6	unl
167612	96063	27016	6.16	11	0.33	2.0	2	0	0	200.4	unl
167612	90055	27016	3.66	11	7.22	2.0	2	0	0	200.4	unl
167612	89054	27016	4.0	11	1.13	1.2	3	0	0	200.4	unl
167612	92059	27016	2.99	11	5.76	0.3	3	0	0	200.4	unl
167612	93060	88047	22.2	11	0.86	0.2	3	0	0	34.9	unl
167612	95062	88047	8.68	2212	0.82	1.6	3	1	0	34.9	unl
167612	97064	27016	9.45	11	1.99	0.4	3	0	0	200.4	unl
170098	55010	78064	8.3	11	2.14	1.1	2	0	0	269.7	unl
170098	62017	78064	29.73	11	7.71	2.1	2	0	0	269.7	unl
170098	51006	78064	32.01	11	7.18	1.6	2	0	0	269.7	unl
170098	60015	78064	17.24	11	4.83	0.6	3	0	0	269.7	unl
170098	79065	78064	5.81	11	4.89	0.6	3	0	0	269.7	unl
170761	43046	8026	7.07	11	0.62	1.3	2	0	0	334.8	unl
170761	28031	8026	27.99	11	2.55	0.3	3	0	0	334.8	unl
170761	30033	8026	17.24	11	1.52	0.4	3	0	0	334.8	unl
170761	33036	8026	27.28	11	3.18	0.5	3	0	0	334.8	unl
170761	37040	8049	4.13	11	1.46	0.3	3	0	0	60.1	unl
171143	50014	8032	32.43	11	3.19	0.2	3	0	0	262.1	unl
171729	19011	24018	14.87	11	0.27	0.3	3	0	0	39.8	unl
171729	21013	9005	23.29	11	1.46	0.3	3	0	0	117.2	unl
171729	23015	9005	16.96	11	1.87	0.4	3	0	0	117.2	unl
173495	93015	22009	4.18	2212	3.69	0.6	3	1	0	32.9	unl
173495	98018	26021	14.2	2212	2.9	0.3	3	1	0	105.2	unl
173819	32034	14028	11.3	11	8.46	2.4	2	0	0	301.9	unl
173819	39039	14028	36.7	11	6.25	1.6	2	0	0	301.9	unl
174771	54038	85085	20.72	11	1.27	2.9	2	0	0	101.7	unl
174771	55039	85085	36.43	11	0.61	0.6	3	0	0	101.7	unl
174771	56040	15011	10.4	11	0.31	0.3	3	0	0	25.9	unl
174771	57041	15011	15.43	11	0.54	0.4	3	0	0	25.9	unl
174771	58042	87065	20.53	11	2.37	0.5	3	0	0	59.7	unl
174771	73046	85085	39.57	2212	3.12	0.4	3	1	0	101.7	unl
174771	76049	85085	17.84	11	2.15	0.4	3	0	0	101.7	unl
174771	78051	88068	22.73	11	1.88	0.3	3	0	0	35.9	unl
174771	79052	88068	39.66	11	0.9	0.6	3	0	0	35.9	unl
174771	82055	88068	20.72	11	0.62	0.2	3	0	0	35.9	unl
176533	29044	11035	30.17	11	0.21	0.3	3	0	0	106.3	unl
176533	33048	11032	17.84	2212	0.77	0.0	3	1	0	562.4	unl
176533	35050	11032	28.22	11	1.87	0.6	3	0	0	562.4	unl
176533	47062	11032	22.61	11	1.88	0.9	3	0	0	562.4	unl
176533	52067	11032	14.47	11	1.65	0.3	3	0	0	562.4	unl
176533	55070	11032	24.9	11	1.35	0.2	3	0	0	562.4	unl
176533	57072	11035	20.84	11	2.76	0.4	3	0	0	106.3	unl
179048	114016	17003	14.89	11	0.21	0.4	3	0	0	33.8	unl
179369	110046	111047	5.41	11	5.49	5.7	2	0	0	35.4	unl
179369	105041	108044	16.95	11	5.07	1.7	2	0	0	216.4	unl
179369	75011	91027	20.68	11	4.98	1.1	2	0	0	22.4	unl
179369	77013	91027	26.44	11	4.36	1.4	2	0	0	22.4	unl
179369	72008	108044	25.26	11	1.09	0.3	3	0	0	216.4	unl
179369	73009	91027	18.18	11	1.96	0.5	3	0	0	22.4	unl
179369	78014	91027	19.84	11	3.92	0.8	3	0	0	22.4	unl
179369	79015	91027	39.62	2212	2.09	0.3	3	1	0	22.4	unl
179369	80016	91027	29.99	11	1.78	0.5	3	0	0	22.4	unl
179369	82018	91027	21.51	11	1.94	0.7	3	0	0	22.4	unl
179369	83019	91027	34.55	11	1.09	0.9	3	0	0	22.4	unl
179369	84020	91027	23.29	11	3.09	0.3	3	0	0	22.4	unl
179369	85021	91027	19.95	11	1.44	0.9	3	0	0	22.4	unl
179369	86022	91027	26.38	11	0.36	0.2	3	0	0	22.4	unl
179369	87023	91027	28.54	11	1.77	0.3	3	0	0	22.4	unl
179369	92028	91027	36.16	11	2.96	0.7	3	0	0	22.4	unl
179369	93029	91027	16.84	2212	5.86	0.5	3	1	0	22.4	unl
179369	106042	111047	9.37	11	1.39	0.3	3	0	0	35.4	unl
179369	109045	108044	28.84	11	1.26	0.3	3	0	0	216.4	unl
179611	38006	10001	14.3	11	2.67	0.4	3	0	0	256.0	unl
179611	40008	10001	16.51	11	2.48	0.8	3	0	0	256.0	unl
179611	68011	10001	33.57	11	2.3	0.2	3	0	0	256.0	unl
179611	72015	10001	9.0	11	2.09	0.5	3	0	0	256.0	unl
181050	55015	70052	7.2	11	0.23	0.5	3	0	0	53.4	unl
181050	57017	68031	5.18	11	1.32	0.4	3	0	0	75.4	unl
181050	59019	15006	27.1	11	1.06	0.3	3	0	0	204.9	unl
181050	60020	15006	23.27	11	1.25	0.1	3	0	0	204.9	unl
242726	53014	62021	35.72	11	1.23	0.4	3	0	0	67.8	unl
242726	61019	62021	3.28	2212	2.84	0.5	3	1	0	67.8	unl
275011	40012	58032	27.43	11	4.18	1.5	2	0	0	21.3	unl
275011	46018	11037	24.89	11	0.04	1.6	2	0	0	107.6	unl
275011	41013	56030	9.89	11	1.0	0.1	3	0	0	45.8	unl
275011	42014	11037	17.11	11	1.49	0.3	3	0	0	107.6	unl
275011	44016	11037	23.54	11	2.01	0.2	3	0	0	107.6	unl
275011	45017	11037	14.22	11	2.04	0.7	3	0	0	107.6	unl
275011	61035	11037	23.68	11	0.35	3.7	3	0	0	107.6	unl
280159	46037	95114	8.79	11	3.07	3.1	2	0	0	129.6	unl
280159	47038	12119	13.71	11	6.24	1.7	2	0	0	451.7	unl
280159	23014	12119	26.91	11	4.03	0.7	3	0	0	451.7	unl
280159	25016	12119	30.73	11	1.57	0.1	3	0	0	451.7	unl
280159	26017	12119	11.24	11	3.0	1.0	3	0	0	451.7	unl
280159	27018	12119	10.01	11	1.07	0.5	3	0	0	451.7	unl
280159	29020	12119	33.25	2212	4.18	0.3	3	1	0	451.7	unl
280159	33024	91099	12.82	11	0.48	0.7	3	0	0	21.1	unl
280159	36027	12119	38.07	11	1.23	0.6	3	0	0	451.7	unl
280159	37028	12119	26.81	11	0.71	0.2	3	0	0	451.7	unl
280159	38029	12119	36.05	11	1.86	0.9	3	0	0	451.7	unl
280159	39030	24015	37.21	11	1.67	0.5	3	0	0	78.1	unl
280159	40031	91099	23.9	11	1.02	0.3	3	0	0	21.1	unl
280159	41032	95114	18.13	11	2.76	0.5	3	0	0	129.6	unl
280159	42033	24015	24.68	11	0.81	0.7	3	0	0	78.1	unl
280159	43034	12119	10.54	2212	3.53	0.4	3	1	0	451.7	unl
280159	44035	12119	18.52	11	1.04	0.3	3	0	0	451.7	unl
280159	48039	12119	27.79	11	0.17	0.3	3	0	0	451.7	unl
280159	57042	12119	8.07	11	3.0	0.5	3	0	0	451.7	unl
280159	82043	12119	6.71	11	0.78	0.4	3	0	0	451.7	unl
280159	93101	95114	6.89	11	1.1	0.7	3	0	0	129.6	unl
280159	94102	95114	5.5	11	4.87	1.2	3	0	0	129.6	unl
281325	19008	40024	24.28	11	0.06	0.5	3	0	0	51.4	unl
281325	21010	40024	17.41	11	3.06	0.3	3	0	0	51.4	unl
281325	23012	42039	39.25	11	1.01	0.4	3	0	0	95.0	unl
281325	24013	42039	10.52	11	2.85	0.6	3	0	0	95.0	unl
281325	25014	42039	17.78	2212	7.51	0.8	3	1	0	95.0	unl
281325	26015	42039	35.48	11	1.68	0.4	3	0	0	95.0	unl
281325	28017	42039	18.69	11	2.38	0.5	3	0	0	95.0	in
281325	29018	42039	27.07	11	1.31	0.3	3	0	0	95.0	in
281325	30019	42039	12.22	11	5.85	3.7	3	0	0	95.0	in
281325	31020	40024	39.25	11	6.25	1.3	3	0	0	51.4	unl
281325	32021	42039	16.37	11	8.53	0.6	3	0	0	95.0	in
281325	33022	42039	7.73	11	2.87	0.7	3	0	0	95.0	in
281325	43040	42039	14.65	11	2.16	3.2	3	0	0	95.0	in
282271	6004	6063	2.76	11	4.27	3.0	1	0	0	115.1	in
282271	33020	6063	13.98	11	2.61	0.3	3	0	0	115.1	unl
282271	41028	23019	16.86	11	1.08	0.2	3	0	0	99.6	unl
282271	43030	6063	11.74	11	0.87	0.7	3	0	0	115.1	unl
