evt	call	j	k	nedge	Lmin	Lmax	Tmax	npmin	angle	gw	wdeadX	dis	dens	dvtx	pair	verdict	conf	rule
288287	0	2	3	1	114.59	135.59	14.13	1554	9.0	1	0	0.87	315	123.5	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
288287	0	3	4	1	0.00	114.59	1.19	1	-1.0	1	0	0.79	143	238.8	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
288287	1	0	1	1	1.97	2.33	0.29	9	5.6	0	8	3.27	21	21.7	SEP	good	low	R4 residual, committed good
288639	0	1	2	1	57.68	81.88	1.81	473	89.3	1	0	1.98	405	2.1	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
288745	1	0	1	1	0.94	1.27	0.48	16	74.5	1	0	1.55	33	179.2	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
290052	0	0	1	1	10.98	85.22	3.54	85	82.4	0	0	1.55	351	2.1	SEP	bad	high	R2 long-track break, no W gap
290729	0	0	1	1	9.37	110.50	2.54	112	87.6	0	0	1.51	246	110.5	SEP	bad	high	R2 long-track break, no W gap
290729	0	1	2	1	0.35	110.50	2.54	2	36.9	1	1	1.13	255	79.1	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
291499	1	0	1	1	0.63	0.94	0.19	6	0.0	1	0	1.59	14	324.9	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
292005	0	0	1	1	1.28	50.00	3.76	12	87.7	1	0	1.21	336	10.3	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
292005	0	1	2	1	50.00	117.20	3.76	681	2.9	0	0	0.69	362	47.3	dir	bad	high	R2 long-track break, no W gap
292027	0	0	3	1	1.67	6.74	1.51	19	89.6	0	0	1.05	363	54.7	SEP	good	low	R4 residual, committed good
292027	0	0	4	1	0.98	6.74	1.51	7	59.8	1	0	1.29	274	58.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
292027	0	2	5	1	1.29	16.58	1.26	12	75.1	1	0	1.68	426	48.5	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
292027	0	3	4	1	0.98	1.67	0.52	7	45.1	1	0	3.80	307	56.9	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
292384	1	0	1	1	0.35	1.87	0.47	4	8.5	0	0	1.20	28	102.6	SEP	good	low	R4 residual, committed good
292643	0	2	3	1	15.46	54.24	3.17	205	49.8	0	6	0.97	772	1.6	dir	bad	high	R2 long-track break, no W gap
292643	1	0	1	1	1.11	15.00	1.24	12	55.6	1	0	2.49	256	39.3	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
314507	0	0	3	1	1.53	38.39	1.98	14	89.2	1	0	2.43	302	104.4	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
314507	0	1	3	1	1.74	38.39	1.98	10	32.3	1	0	3.55	194	64.5	via 2	good	high	R3 W-plane gap (robust plane sees a hole)
314507	0	1	5	1	1.74	13.97	0.41	10	36.1	1	0	1.67	169	60.4	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
314507	0	2	4	1	1.91	20.09	0.42	20	35.6	1	0	0.98	110	19.2	via 2	good	high	R3 W-plane gap (robust plane sees a hole)
315167	0	4	6	1	0.63	148.41	10.46	6	81.5	0	0	1.53	189	25.1	SEP	good	low	R4 residual, committed good
315167	0	5	6	1	1.83	148.41	10.46	16	40.2	0	0	0.90	1079	18.1	dir	good	low	R4 residual, committed good
315497	0	0	2	1	2.00	49.58	1.34	30	10.0	0	6	2.34	224	6.4	SEP	bad	high	R2d dead-W band
315849	0	0	1	1	9.34	62.77	0.73	85	51.2	0	0	1.39	213	63.4	SEP	bad	high	R2 long-track break, no W gap
316003	0	0	1	1	12.19	31.96	0.82	67	2.6	0	0	1.35	381	21.7	SEP	bad	high	R2 long-track break, no W gap
316025	0	0	1	1	10.20	71.97	1.89	302	89.3	0	0	1.71	426	72.2	SEP	bad	high	R2 long-track break, no W gap
316311	0	0	2	1	1.19	84.14	3.62	10	67.6	0	0	2.13	129	80.7	SEP	good	low	R4 residual, committed good
316311	0	1	2	1	0.00	1.19	0.37	1	-1.0	0	0	2.42	126	81.2	SEP	good	low	R4 residual, committed good
316553	0	0	1	2	110.84	143.77	1.25	1263	7.7	0	6	2.25	342	97.3	SEP	bad	high	R2 long-track break, no W gap
316553	0	0	2	1	11.65	110.84	0.79	47	1.4	0	3	3.31	336	100.8	SEP	good	low	R4 residual, committed good
316553	0	1	2	1	11.65	143.77	1.25	47	7.4	0	0	3.60	355	90.0	SEP	good	low	R4 residual, committed good
316729	1	0	1	1	0.94	1.07	0.41	9	15.9	0	0	0.85	22	277.0	dir	good	low	R4 residual, committed good
317741	0	0	1	1	1.47	8.70	0.69	17	76.7	1	0	0.60	117	0.8	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
317939	0	0	1	1	21.11	143.03	4.24	380	59.4	0	0	4.78	970	4.0	dir	bad	high	R2 long-track break, no W gap
317939	1	2	4	1	2.46	37.43	1.85	24	26.3	0	0	1.38	771	32.2	SEP	good	low	R4 residual, committed good
317939	1	3	4	1	0.63	37.43	1.85	6	60.1	1	0	1.97	284	52.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
317939	1	3	5	1	0.63	5.06	0.73	6	55.5	1	0	1.52	276	53.1	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
317939	1	4	5	1	5.06	37.43	1.85	66	30.7	1	0	1.99	277	53.1	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
317939	1	12	13	1	0.69	0.98	0.28	6	80.2	1	0	1.80	13	96.3	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
320667	1	0	1	1	1.92	19.04	1.07	18	64.0	0	0	1.11	243	152.3	SEP	good	low	R4 residual, committed good
321107	0	0	1	1	4.16	221.24	8.52	43	34.1	0	6	2.19	261	219.4	SEP	bad	high	R2d dead-W band
321173	0	1	2	1	1.12	24.23	0.96	12	70.8	0	0	0.79	219	148.3	dir	good	low	R4 residual, committed good
321173	0	2	3	1	24.23	123.99	1.46	393	6.7	0	0	0.75	464	123.6	dir	bad	high	R2 long-track break, no W gap
345633	0	0	5	1	97.04	100.30	10.94	1915	6.6	0	6	0.60	499	99.2	dir	bad	high	R2 long-track break, no W gap
347085	0	5	6	1	2.01	11.96	1.87	18	80.4	0	0	3.29	439	13.8	SEP	good	low	R4 residual, committed good
348471	0	0	1	1	28.71	55.41	3.88	906	16.5	1	0	2.27	1086	46.1	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
348471	0	0	2	1	51.44	55.41	3.88	472	69.5	0	0	1.66	314	8.2	SEP	bad	high	R2 long-track break, no W gap
348471	0	3	4	1	5.67	9.47	1.31	77	76.4	0	0	1.31	686	78.8	SEP	good	low	R4 residual, committed good
348691	0	0	1	1	53.86	351.61	4.67	1371	77.4	0	0	2.28	1128	4.6	SEP	bad	high	R2 long-track break, no W gap
348691	0	1	2	2	16.72	351.61	4.67	362	22.5	1	0	4.71	865	1.5	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
348691	0	4	5	1	4.75	8.24	1.66	52	40.7	0	0	0.97	218	55.9	dir	good	low	R4 residual, committed good
348713	0	0	1	1	33.71	88.61	1.75	656	55.1	0	0	1.11	343	0.6	SEP	bad	high	R2 long-track break, no W gap
349241	0	1	2	1	5.74	49.56	1.09	49	74.5	0	0	1.11	195	3.3	SEP	good	low	R4 residual, committed good
349461	0	1	2	1	9.36	182.06	7.17	27	22.5	0	0	2.11	644	177.2	SEP	good	low	R4 residual, committed good
349549	0	0	1	1	3.41	33.69	0.77	31	17.8	1	0	0.60	193	6.1	via 2	good	high	R3 W-plane gap (robust plane sees a hole)
349549	1	1	2	1	1.04	3.05	0.54	9	14.0	1	0	1.59	1572	125.7	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
349549	1	1	8	1	1.04	28.13	2.91	9	77.6	1	0	1.25	1579	124.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
349549	1	2	6	1	3.05	12.72	2.33	30	73.7	1	0	1.87	1441	128.3	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
349549	1	5	6	1	4.17	12.72	2.33	28	37.4	1	0	1.23	1412	128.3	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
349549	1	5	8	1	4.17	28.13	2.91	28	54.9	1	0	1.76	1485	126.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
349549	1	6	8	1	12.72	28.13	2.91	564	24.6	1	0	2.86	1400	128.2	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
349549	1	7	9	1	1.03	9.05	1.70	12	56.0	1	0	0.92	1216	131.0	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
349549	1	8	9	1	9.05	28.13	2.91	316	16.7	1	0	1.04	1349	121.4	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
349549	1	20	21	1	0.94	1.16	0.36	9	38.8	1	0	1.84	703	140.7	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
349945	0	0	1	1	11.57	178.12	2.23	257	70.2	0	0	0.92	883	2.0	dir	bad	high	R2 long-track break, no W gap
350297	0	0	1	2	37.23	195.47	2.14	349	1.8	0	6	1.09	248	1.6	SEP	bad	high	R2 long-track break, no W gap
386948	0	2	3	1	5.24	16.02	1.02	90	23.2	1	0	0.92	845	55.0	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
386948	0	8	9	1	1.71	24.81	1.91	12	42.2	0	0	1.21	740	49.7	SEP	good	low	R4 residual, committed good
388224	0	1	2	1	1.96	195.54	5.52	17	61.1	0	0	1.63	858	1.3	SEP	good	low	R4 residual, committed good
388224	0	2	3	1	1.40	195.54	5.52	12	15.2	1	0	0.87	739	6.7	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
388224	0	2	4	1	1.93	195.54	5.52	7	13.5	0	0	1.11	971	6.5	SEP	good	low	R4 residual, committed good
390864	0	0	1	1	1.14	174.27	1.88	14	44.0	1	0	1.29	453	73.1	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
392552	0	0	1	1	81.71	113.87	1.15	717	10.6	0	6	0.75	315	112.9	dir	bad	high	R2 long-track break, no W gap
393042	0	1	2	1	165.01	240.31	2.61	3693	6.8	0	0	0.82	746	162.8	dir	bad	high	R2 long-track break, no W gap
393212	0	0	1	1	5.76	28.52	1.62	87	60.1	0	0	1.97	646	51.1	SEP	good	low	R4 residual, committed good
394532	0	0	2	1	4.77	10.18	1.07	34	30.0	0	0	1.11	368	79.9	SEP	good	low	R4 residual, committed good
394532	0	1	2	1	8.55	10.18	1.07	143	31.7	1	0	0.94	368	88.4	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
394642	0	0	1	1	4.38	256.84	3.87	29	31.5	0	0	2.86	389	258.0	SEP	good	low	R4 residual, committed good
394642	0	1	2	1	57.81	256.84	3.87	1254	3.7	0	2	1.09	922	3.0	SEP	bad	high	R2 long-track break, no W gap
395610	0	0	1	2	56.37	118.40	0.91	513	5.1	0	6	1.86	277	122.5	SEP	bad	high	R2 long-track break, no W gap
395654	0	2	3	1	7.18	133.52	2.68	28	3.5	0	0	0.97	418	119.6	dir	good	low	R4 residual, committed good
399052	0	0	1	1	9.67	44.98	3.04	60	13.9	0	0	0.95	1318	43.4	dir	bad	high	R2 long-track break, no W gap
399118	0	0	1	1	2.42	148.54	1.01	4	63.5	0	0	1.40	327	66.0	via 2	good	low	R4 residual, committed good
399702	0	1	2	1	27.68	181.07	6.17	397	5.3	0	6	1.05	469	179.5	SEP	bad	high	R2 long-track break, no W gap
400054	0	0	1	1	1.00	2.14	0.37	11	46.2	1	0	0.97	36	11.4	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
400460	0	0	1	1	77.95	97.77	3.40	1615	7.7	0	5	1.13	709	15.5	SEP	bad	high	R2 long-track break, no W gap
400504	0	0	4	1	15.40	53.55	1.63	434	37.5	0	0	1.54	837	54.1	SEP	bad	high	R2 long-track break, no W gap
400504	0	3	4	1	2.08	53.55	1.63	3	10.5	0	1	1.21	742	49.7	SEP	good	low	R4 residual, committed good
400636	1	0	1	1	128.41	140.48	4.41	3306	2.9	0	0	1.35	965	1.5	SEP	bad	high	R2 long-track break, no W gap
401626	0	0	1	1	2.17	19.99	1.76	16	88.2	1	0	2.44	226	31.7	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
406796	1	0	1	1	1.34	2.01	0.40	15	55.9	1	0	0.69	31	90.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
407280	0	0	2	1	1.73	186.28	1.17	8	72.4	1	0	0.79	280	31.9	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
407280	0	0	3	1	1.73	26.93	0.61	8	66.1	1	0	1.08	275	30.6	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
407280	0	1	3	1	10.40	26.93	0.72	94	85.2	1	0	0.69	212	3.5	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
407280	0	2	3	2	26.93	186.28	1.17	234	6.5	1	0	1.83	277	31.1	SEP	bad	low	R2w thin collinear pair across a W gap
407280	0	2	4	2	103.18	186.28	1.17	1007	6.5	0	6	1.84	314	217.3	SEP	bad	high	R2 long-track break, no W gap
409546	0	0	1	1	2.77	15.83	0.72	45	53.9	0	0	1.11	166	3.0	SEP	good	low	R4 residual, committed good
409634	0	1	3	1	3.21	9.05	0.94	60	68.4	1	0	1.59	246	55.9	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
