event	shower	seg	angle_v1	angle_v2	pair_dis_cm	q	verdict	final_owner	seed
256587	57200	54197	10.0	74.8	84.2	51433.0	ADMITTED	57200	0
256587	66209	41184	5.2	82.2	88.8	0.0	REFUSED	50193	0
256587	66209	44187	2.1	61.9	104.2	0.0	REFUSED	50193	0
256587	66209	50193	11.5	63.8	97.2	0.0	REFUSED	50193	0
256587	66209	61204	12.3	86.1	88.4	0.0	REFUSED	50193	0
267597	63075	43055	10.0	82.3	100.1	0.0	REFUSED	43055	0
268784	78124	37060	21.4	66.3	38.6	26639.1	ADMITTED	78124	0
268784	78124	55078	20.0	63.0	50.1	0.0	REFUSED	55078	0
268784	78124	57080	15.3	31.5	48.9	0.0	REFUSED	58081	0
269774	13237	31043	11.7	40.6	38.1	109338.2	ADMITTED	13237	0
269774	13237	71083	20.1	37.4	57.3	130920.2	ADMITTED	13237	0
269774	13237	97193	17.9	31.6	61.3	488962.0	ADMITTED	13237	0
269774	13237	97195	18.1	35.9	53.0	482643.4	ADMITTED	13237	0
269774	13237	97197	17.7	51.0	39.2	905285.3	ADMITTED	13237	0
269774	13237	97199	18.1	35.9	53.0	91074.1	ADMITTED	13237	0
269774	13237	97200	17.9	35.0	54.6	613123.1	ADMITTED	13237	0
269774	13237	97201	17.9	39.9	47.4	508400.2	ADMITTED	13237	0
269774	42054	56068	9.9	64.5	102.3	0.0	REFUSED	56068	0
30504	63045	55037	20.1	38.9	27.3	112420.2	ADMITTED	63045	0
342199	69087	41041	17.1	31.8	15.2	61934.6	ADMITTED	69087	0
400474	82076	51054	19.4	67.3	37.0	71881.5	ADMITTED	82076	0
400474	82076	52055	17.3	65.5	42.0	56533.7	ADMITTED	82076	0
400474	82076	53056	21.4	51.2	56.2	28231.3	ADMITTED	82076	0
400474	82076	55058	20.9	38.6	47.2	90220.9	ADMITTED	82076	0
423981	54061	44051	24.9	35.6	37.8	0.0	REFUSED	12095	0
423981	54061	57064	21.9	31.7	42.0	0.0	REFUSED	12095	0
423981	54061	70077	21.9	31.0	43.2	0.0	REFUSED	12095	0
423981	55062	65072	18.0	76.8	60.9	0.0	REFUSED	65072	0
423981	96090	47054	0.5	76.0	66.2	0.0	REFUSED	12095	0
423981	96090	51058	7.2	38.9	79.2	0.0	REFUSED	12095	0
423981	96090	69076	12.9	70.0	69.9	0.0	REFUSED	12095	0
423981	96090	73080	5.3	83.8	65.9	0.0	REFUSED	12095	0
423981	50057	53060	10.7	35.4	114.0	0.0	REFUSED	12095	0
423981	66073	62069	11.2	67.9	82.6	0.0	REFUSED	59066	0
433451	92166	95169	24.4	75.6	36.7	0.0	REFUSED	95169	0
469665	68052	33008	8.5	56.2	86.3	0.0	REFUSED	33008	0
54095	85115	45081	16.4	50.9	48.3	61239.6	ADMITTED	85115	0
54095	85115	46082	21.3	45.1	71.2	80989.0	ADMITTED	85115	0
54095	85115	51087	22.3	53.1	59.4	0.0	REFUSED	17137	0
54095	85115	56092	22.6	53.0	36.3	17720.5	ADMITTED	85115	0
54095	85115	73109	11.1	72.8	35.2	51769.2	ADMITTED	85115	0
69314	28017	49038	13.9	70.7	61.7	0.0	REFUSED	3001	0
