event	n_vtx	n_vtx_cl0	n_seg	n_seg_cl0	mainv_cl	seg_cl_min	cl0_deg2	cl0_deg3p	cl0_touch_main	cl0_touch_ids	cl0_ids
174896	63	0	33	0	13	13	0	0	0	-	-
174928	19	0	11	0	9	9	0	0	0	-	-
174993	12	0	7	0	7	7	0	0	0	-	-
175016	14	0	7	0	19	19	0	0	0	-	-
175057	12	0	9	0	13	13	0	0	0	-	-
175094	36	0	19	0	5	4	0	0	0	-	-
175117	21	0	12	0	17	17	0	0	0	-	-
175808	21	0	11	0	18	18	0	0	0	-	-
175814	9	0	5	0	11	11	0	0	0	-	-
175893	33	0	19	0	11	11	0	0	0	-	-
175896	32	0	19	0	17	17	0	0	0	-	-
175952	23	0	15	0	10	10	0	0	0	-	-
175959	5	0	3	0	19	19	0	0	0	-	-
176150	6	0	3	0	51	8	0	0	0	-	-
176260	23	0	12	0	15	15	0	0	0	-	-
176502	262	0	165	0	109	20	0	0	0	-	-
176533	97	0	53	0	11	11	0	0	0	-	-
176707	14	0	7	0	18	18	0	0	0	-	-
176810	2	0	1	0	13	13	0	0	0	-	-
176948	17	0	9	0	20	20	0	0	0	-	-
176986	64	1	35	0	32	5	1	0	0	67	67
177068	26	0	15	0	5	5	0	0	0	-	-
177149	24	1	13	0	14	14	1	0	0	19	25
177178	7	0	4	0	18	18	0	0	0	-	-
177266	6	0	4	0	7	7	0	0	0	-	-
177360	8	0	4	0	1	1	0	0	0	-	-
177366	16	0	9	0	12	12	0	0	0	-	-
177455	16	0	8	0	16	16	0	0	0	-	-
177521	39	0	20	0	8	8	0	0	0	-	-
177536	17	0	10	0	85	17	0	0	0	-	-
177939	7	0	4	0	11	11	0	0	0	-	-
177961	6	0	4	0	11	11	0	0	0	-	-
178115	12	0	9	0	7	7	0	0	0	-	-
178225	23	0	12	0	9	9	0	0	0	-	-
178350	4	0	2	0	15	15	0	0	0	-	-
178388	13	0	7	0	6	6	0	0	0	-	-
178445	22	0	12	0	8	8	0	0	0	-	-
178535	6	0	3	0	2	2	0	0	0	-	-
178548	18	0	9	0	13	13	0	0	0	-	-
178570	24	0	13	0	19	19	0	0	0	-	-
178645	8	0	4	0	15	15	0	0	0	-	-
178841	21	0	11	0	12	12	0	0	0	-	-
275539	25	0	14	0	12	12	0	0	0	-	-
276836	25	0	14	0	11	11	0	0	0	-	-
276925	42	0	22	0	8	8	0	0	0	-	-
277123	20	0	10	0	8	8	0	0	0	-	-
277276	8	0	5	0	8	8	0	0	0	-	-
277298	21	0	13	0	17	17	0	0	0	-	-
278046	17	0	11	0	3	3	0	0	0	-	-
278420	71	0	39	0	18	18	0	0	0	-	-
278509	21	0	11	0	9	9	0	0	0	-	-
278640	8	0	5	0	17	17	0	0	0	-	-
278684	31	0	19	0	10	10	0	0	0	-	-
278785	21	0	11	0	5	5	0	0	0	-	-
278794	63	0	37	0	7	7	0	0	0	-	-
279190	10	0	5	0	17	17	0	0	0	-	-
279213	20	0	10	0	9	9	0	0	0	-	-
279256	20	0	12	0	15	15	0	0	0	-	-
279445	18	1	10	0	84	19	1	0	0	19	17
279537	10	0	6	0	7	7	0	0	0	-	-
279643	13	0	7	0	20	20	0	0	0	-	-
279955	8	0	4	0	16	16	0	0	0	-	-
279977	12	0	7	0	15	15	0	0	0	-	-
280017	29	0	15	0	8	8	0	0	0	-	-
280153	3	0	2	0	3	3	0	0	0	-	-
280159	119	0	74	0	13	13	0	0	0	-	-
280329	27	1	17	0	40	12	1	0	0	16	29
236192	12	0	6	0	10	10	0	0	0	-	-
236610	6	0	4	0	12	12	0	0	0	-	-
237292	48	1	27	0	10	10	1	0	0	70	51
237380	6	0	3	0	2	2	0	0	0	-	-
237446	5	0	3	0	12	12	0	0	0	-	-
237710	21	0	12	0	14	14	0	0	0	-	-
237798	20	0	11	0	13	13	0	0	0	-	-
239118	4	0	2	0	6	6	0	0	0	-	-
239404	8	0	5	0	22	22	0	0	0	-	-
240196	3	0	2	0	2	2	0	0	0	-	-
240372	23	0	14	0	16	16	0	0	0	-	-
240636	17	0	10	0	12	12	0	0	0	-	-
241626	9	0	5	0	13	13	0	0	0	-	-
242000	7	0	4	0	14	14	0	0	0	-	-
242022	20	0	10	0	16	16	0	0	0	-	-
242484	21	0	11	0	9	9	0	0	0	-	-
242550	16	0	10	0	14	14	0	0	0	-	-
242726	26	0	17	0	20	20	0	0	0	-	-
242748	8	0	5	0	10	10	0	0	0	-	-
242770	29	0	15	0	2	2	0	0	0	-	-
242814	24	0	14	0	10	10	0	0	0	-	-
243628	51	0	28	0	15	15	0	0	0	-	-
275011	39	0	22	0	11	11	0	0	0	-	-
275231	27	0	17	0	6	6	0	0	0	-	-
275385	14	0	7	0	19	19	0	0	0	-	-
281953	6	0	3	0	10	10	0	0	0	-	-
281985	11	0	6	0	17	17	0	0	0	-	-
282057	5	0	3	0	19	19	0	0	0	-	-
282067	15	0	8	0	14	14	0	0	0	-	-
282072	24	0	14	0	7	7	0	0	0	-	-
282204	12	0	8	0	4	4	0	0	0	-	-
282217	13	0	8	0	9	9	0	0	0	-	-
282231	7	0	4	0	19	19	0	0	0	-	-
282271	97	0	52	0	6	6	0	0	0	-	-
282385	15	0	10	0	11	11	0	0	0	-	-
282459	15	0	8	0	10	10	0	0	0	-	-
282491	9	0	5	0	18	18	0	0	0	-	-
282666	11	0	7	0	10	10	0	0	0	-	-
282737	12	0	7	0	21	21	0	0	0	-	-
282749	20	0	12	0	17	17	0	0	0	-	-
282837	23	0	12	0	2	2	0	0	0	-	-
282899	69	0	35	0	7	7	0	0	0	-	-
282909	94	0	61	0	4	4	0	0	0	-	-
282979	67	0	37	0	14	14	0	0	0	-	-
283009	29	0	18	0	23	23	0	0	0	-	-
283013	6	0	3	0	14	14	0	0	0	-	-
283035	8	0	4	0	32	31	0	0	0	-	-
283040	45	0	24	0	2	2	0	0	0	-	-
283091	9	0	6	0	24	24	0	0	0	-	-
283229	14	0	8	0	6	6	0	0	0	-	-
280351	19	0	10	0	10	10	0	0	0	-	-
280466	35	0	19	0	15	15	0	0	0	-	-
280598	31	0	18	0	15	15	0	0	0	-	-
280709	40	1	22	0	11	11	1	0	0	46	40
280752	25	0	13	0	13	13	0	0	0	-	-
280774	20	0	11	0	16	16	0	0	0	-	-
280819	12	0	6	0	14	14	0	0	0	-	-
280853	14	0	8	0	11	11	0	0	0	-	-
280945	14	0	7	0	5	5	0	0	0	-	-
280972	138	0	85	0	7	7	0	0	0	-	-
280994	10	0	5	0	18	18	0	0	0	-	-
281165	50	1	29	0	16	16	1	0	0	55	57
281214	40	0	24	0	60	15	0	0	0	-	-
281325	47	0	25	0	42	8	0	0	0	-	-
281337	4	0	2	0	28	28	0	0	0	-	-
281485	78	0	48	0	93	15	0	0	0	-	-
281505	17	0	9	0	18	18	0	0	0	-	-
281507	13	0	7	0	8	8	0	0	0	-	-
281527	7	0	4	0	14	14	0	0	0	-	-
281567	197	1	119	0	95	9	1	0	0	101	229
281595	10	0	7	0	20	20	0	0	0	-	-
281639	37	0	20	0	83	23	0	0	0	-	-
281727	28	0	14	0	10	10	0	0	0	-	-
281781	123	0	70	0	89	14	0	0	0	-	-
281837	48	0	28	0	63	13	0	0	0	-	-
283299	57	0	31	0	11	11	0	0	0	-	-
283463	46	0	25	0	14	14	0	0	0	-	-
283515	52	0	30	0	23	23	0	0	0	-	-
283525	12	0	6	0	41	17	0	0	0	-	-
283568	47	0	25	0	18	18	0	0	0	-	-
283590	22	0	12	0	7	7	0	0	0	-	-
283591	3	0	2	0	14	14	0	0	0	-	-
283595	40	0	20	0	12	12	0	0	0	-	-
283691	7	0	4	0	23	23	0	0	0	-	-
283713	72	0	40	0	17	17	0	0	0	-	-
283771	19	0	10	0	21	21	0	0	0	-	-
283833	32	0	17	0	11	11	0	0	0	-	-
283849	7	0	4	0	7	7	0	0	0	-	-
283905	2	0	1	0	4	4	0	0	0	-	-
283969	11	0	6	0	31	31	0	0	0	-	-
283991	8	0	5	0	15	15	0	0	0	-	-
284013	26	1	14	0	8	8	1	0	0	14	33
284047	2	0	1	0	5	5	0	0	0	-	-
284103	9	0	6	0	8	8	0	0	0	-	-
284145	33	0	20	0	11	11	0	0	0	-	-
284153	13	0	7	0	14	14	0	0	0	-	-
284200	45	0	27	0	31	6	0	0	0	-	-
284206	25	0	17	0	10	10	0	0	0	-	-
284211	15	0	8	0	14	14	0	0	0	-	-
284235	38	0	22	0	35	6	0	0	0	-	-
178865	6	0	3	0	2	2	0	0	0	-	-
178885	22	0	12	0	50	9	0	0	0	-	-
178907	9	0	5	0	9	9	0	0	0	-	-
178931	24	0	13	0	8	8	0	0	0	-	-
178966	0	0	0	0	-1	-1	0	0	0	-	-
179048	19	0	14	0	17	17	0	0	0	-	-
179054	30	0	17	0	22	19	0	0	0	-	-
179246	22	0	11	0	78	14	0	0	0	-	-
179303	28	0	14	0	13	13	0	0	0	-	-
179369	166	2	90	0	17	12	2	0	0	52,99	110,111
179604	17	0	11	0	11	11	0	0	0	-	-
179611	35	0	18	0	10	10	0	0	0	-	-
179752	21	0	12	0	15	15	0	0	0	-	-
179765	6	0	4	0	4	4	0	0	0	-	-
179840	4	0	2	0	27	26	0	0	0	-	-
179897	18	0	10	0	24	24	0	0	0	-	-
179912	19	0	10	0	1	1	0	0	0	-	-
180088	8	0	4	0	6	6	0	0	0	-	-
180117	11	0	7	0	12	12	0	0	0	-	-
180403	9	0	7	0	7	7	0	0	0	-	-
180544	27	0	15	0	10	10	0	0	0	-	-
180645	13	0	7	0	39	3	0	0	0	-	-
180698	20	0	11	0	11	11	0	0	0	-	-
181050	68	1	39	0	15	15	1	0	0	70	71
181094	0	0	0	0	-1	-1	0	0	0	-	-
284637	11	0	6	0	23	23	0	0	0	-	-
284657	15	0	9	0	5	5	0	0	0	-	-
284769	28	0	16	0	16	16	0	0	0	-	-
284791	39	0	21	0	4	4	0	0	0	-	-
284794	18	0	9	0	12	12	0	0	0	-	-
284866	5	0	3	0	16	16	0	0	0	-	-
285069	22	0	12	0	9	9	0	0	0	-	-
285253	27	0	14	0	24	23	0	0	0	-	-
285311	27	0	18	0	11	11	0	0	0	-	-
285350	11	0	6	0	18	18	0	0	0	-	-
285366	10	0	5	0	13	13	0	0	0	-	-
285443	50	0	29	0	7	7	0	0	0	-	-
285467	14	0	7	0	18	18	0	0	0	-	-
285531	8	0	5	0	15	15	0	0	0	-	-
285564	5	0	3	0	9	9	0	0	0	-	-
285652	0	0	0	0	-1	-1	0	0	0	-	-
285665	42	0	22	0	9	9	0	0	0	-	-
285680	14	0	9	0	39	13	0	0	0	-	-
285753	25	0	14	0	15	15	0	0	0	-	-
285929	7	0	5	0	13	13	0	0	0	-	-
285971	19	0	12	0	7	7	0	0	0	-	-
286076	32	0	16	0	39	12	0	0	0	-	-
286120	2	0	1	0	34	34	0	0	0	-	-
286177	7	0	4	0	10	10	0	0	0	-	-
286180	8	0	5	0	6	6	0	0	0	-	-
286191	21	0	11	0	7	7	0	0	0	-	-
286241	17	0	9	0	11	11	0	0	0	-	-
286268	22	0	11	0	11	11	0	0	0	-	-
286296	42	0	22	0	22	22	0	0	0	-	-
286353	11	0	7	0	9	9	0	0	0	-	-
286400	18	0	9	0	11	11	0	0	0	-	-
286489	12	0	7	0	13	13	0	0	0	-	-
286527	29	0	15	0	16	16	0	0	0	-	-
286655	45	0	28	0	79	19	0	0	0	-	-
286681	67	0	42	0	3	3	0	0	0	-	-
286818	10	0	6	0	5	5	0	0	0	-	-
286906	12	0	8	0	41	9	0	0	0	-	-
287007	50	0	27	0	21	18	0	0	0	-	-
287132	0	0	0	0	-1	-1	0	0	0	-	-
287211	40	0	23	0	10	10	0	0	0	-	-
287249	21	0	11	0	14	14	0	0	0	-	-
287332	12	0	6	0	22	18	0	0	0	-	-
287374	15	1	8	0	17	17	1	0	0	44	15
287431	4	0	2	0	-1	23	0	0	0	-	-
287464	41	0	21	0	8	8	0	0	0	-	-
287517	12	0	7	0	13	13	0	0	0	-	-
287555	31	0	18	0	18	18	0	0	0	-	-
287599	4	0	3	0	6	6	0	0	0	-	-
287621	19	1	12	0	6	6	1	0	0	23	25
287638	39	0	23	0	4	4	0	0	0	-	-
287654	30	0	19	0	12	12	0	0	0	-	-
287662	27	0	14	0	20	20	0	0	0	-	-
287770	9	0	5	0	20	20	0	0	0	-	-
287794	13	0	8	0	5	5	0	0	0	-	-
287825	27	0	14	0	5	5	0	0	0	-	-
287830	58	0	35	0	16	16	0	0	0	-	-
287926	26	0	14	0	21	21	0	0	0	-	-
288012	23	0	12	0	10	10	0	0	0	-	-
288067	5	0	3	0	7	7	0	0	0	-	-
288287	37	0	22	0	10	10	0	0	0	-	-
288327	39	2	23	0	22	20	2	0	0	38,58	37,38
288358	5	0	3	0	3	3	0	0	0	-	-
288639	23	0	12	0	8	8	0	0	0	-	-
288745	37	0	20	0	23	23	0	0	0	-	-
288859	26	0	15	0	9	9	0	0	0	-	-
288947	24	0	14	0	16	16	0	0	0	-	-
289141	0	0	0	0	-1	-1	0	0	0	-	-
289246	67	0	40	0	16	16	0	0	0	-	-
289251	14	0	10	0	12	12	0	0	0	-	-
289464	16	0	9	0	11	11	0	0	0	-	-
289508	40	0	25	0	17	17	0	0	0	-	-
289559	12	0	8	0	14	14	0	0	0	-	-
289832	6	0	3	0	10	10	0	0	0	-	-
289862	4	0	2	0	5	5	0	0	0	-	-
290052	29	0	16	0	8	8	0	0	0	-	-
316021	8	0	5	0	5	5	0	0	0	-	-
316025	47	0	25	0	16	16	0	0	0	-	-
316065	12	0	7	0	11	11	0	0	0	-	-
316197	6	0	3	0	17	17	0	0	0	-	-
316311	9	0	5	0	11	11	0	0	0	-	-
316553	13	0	8	0	11	11	0	0	0	-	-
316729	24	0	13	0	8	8	0	0	0	-	-
316811	36	0	19	0	8	8	0	0	0	-	-
316987	19	0	11	0	9	9	0	0	0	-	-
317077	26	0	13	0	14	14	0	0	0	-	-
317191	29	0	16	0	17	17	0	0	0	-	-
317341	0	0	0	0	-1	-1	0	0	0	-	-
317407	26	0	15	0	12	12	0	0	0	-	-
317539	26	0	13	0	19	19	0	0	0	-	-
317741	38	0	19	0	13	13	0	0	0	-	-
317911	5	0	4	0	25	25	0	0	0	-	-
317939	63	0	37	0	26	26	0	0	0	-	-
317957	4	0	2	0	10	10	0	0	0	-	-
318021	9	0	5	0	11	11	0	0	0	-	-
318049	0	0	0	0	-1	-1	0	0	0	-	-
318197	26	0	13	0	68	23	0	0	0	-	-
318549	4	0	2	0	4	4	0	0	0	-	-
318703	64	0	35	0	12	12	0	0	0	-	-
318731	19	0	10	0	1	1	0	0	0	-	-
318749	0	0	0	0	-1	-1	0	0	0	-	-
318769	127	0	68	0	31	19	0	0	0	-	-
318857	14	0	8	0	18	18	0	0	0	-	-
319039	22	0	12	0	20	20	0	0	0	-	-
319057	0	0	0	0	-1	-1	0	0	0	-	-
319275	9	0	5	0	17	17	0	0	0	-	-
319321	0	0	0	0	-1	-1	0	0	0	-	-
319475	47	0	25	0	20	18	0	0	0	-	-
319611	3	0	2	0	2	2	0	0	0	-	-
319871	19	0	10	0	29	29	0	0	0	-	-
319913	21	0	11	0	8	8	0	0	0	-	-
320029	11	0	6	0	24	24	0	0	0	-	-
320091	6	0	3	0	9	9	0	0	0	-	-
320289	33	0	17	0	19	19	0	0	0	-	-
320485	22	0	12	0	19	19	0	0	0	-	-
320575	23	0	12	0	5	5	0	0	0	-	-
320667	36	0	23	0	21	21	0	0	0	-	-
320865	23	0	12	0	13	13	0	0	0	-	-
320925	10	0	5	0	12	12	0	0	0	-	-
321015	46	0	27	0	16	16	0	0	0	-	-
321107	13	0	7	0	13	13	0	0	0	-	-
321169	48	0	27	0	16	16	0	0	0	-	-
321173	19	0	10	0	10	10	0	0	0	-	-
321235	11	0	8	0	11	11	0	0	0	-	-
321367	51	0	29	0	3	3	0	0	0	-	-
321371	24	0	15	0	27	18	0	0	0	-	-
290294	5	0	3	0	13	13	0	0	0	-	-
290542	7	0	4	0	6	6	0	0	0	-	-
290588	43	0	23	0	14	14	0	0	0	-	-
290654	22	0	12	0	28	23	0	0	0	-	-
290718	6	0	3	0	8	8	0	0	0	-	-
290729	10	0	7	0	12	12	0	0	0	-	-
291037	10	0	5	0	13	13	0	0	0	-	-
291064	8	0	4	0	14	14	0	0	0	-	-
291072	67	0	40	0	20	20	0	0	0	-	-
291262	14	0	8	0	18	18	0	0	0	-	-
291372	16	0	8	0	11	11	0	0	0	-	-
291499	14	0	7	0	12	12	0	0	0	-	-
291548	26	0	14	0	21	21	0	0	0	-	-
291570	6	0	3	0	17	17	0	0	0	-	-
291961	25	0	14	0	4	4	0	0	0	-	-
292005	38	0	21	0	18	18	0	0	0	-	-
292027	43	0	26	0	12	12	0	0	0	-	-
292370	7	0	4	0	17	17	0	0	0	-	-
292384	21	0	12	0	19	19	0	0	0	-	-
292406	14	0	7	0	6	6	0	0	0	-	-
292436	29	0	17	0	11	11	0	0	0	-	-
292524	58	0	38	0	9	9	0	0	0	-	-
292533	11	0	7	0	3	3	0	0	0	-	-
292568	44	0	25	0	9	9	0	0	0	-	-
292577	16	0	8	0	12	12	0	0	0	-	-
292643	46	0	25	0	18	18	0	0	0	-	-
292687	17	0	10	0	11	11	0	0	0	-	-
292722	18	0	11	0	10	10	0	0	0	-	-
292788	14	0	8	0	13	13	0	0	0	-	-
292797	0	0	0	0	-1	-1	0	0	0	-	-
292810	30	0	19	0	2	2	0	0	0	-	-
293149	45	1	26	0	4	4	1	0	0	52	45
293470	24	0	13	0	1	1	0	0	0	-	-
293536	20	0	11	0	17	17	0	0	0	-	-
293734	6	0	4	0	12	12	0	0	0	-	-
294174	76	0	44	0	16	16	0	0	0	-	-
294922	60	0	30	0	8	8	0	0	0	-	-
313781	13	0	7	0	9	9	0	0	0	-	-
313847	37	0	21	0	19	19	0	0	0	-	-
313979	3	0	2	0	12	12	0	0	0	-	-
314507	11	0	6	0	17	17	0	0	0	-	-
314705	23	0	12	0	3	3	0	0	0	-	-
315013	33	0	19	0	15	15	0	0	0	-	-
315167	37	0	21	0	8	8	0	0	0	-	-
315343	35	0	18	0	7	7	0	0	0	-	-
315497	21	0	11	0	14	14	0	0	0	-	-
315849	8	0	4	0	11	11	0	0	0	-	-
315871	17	0	10	0	18	18	0	0	0	-	-
315955	11	0	6	0	17	17	0	0	0	-	-
316003	16	0	8	0	16	16	0	0	0	-	-
