ev	shw	tag	G	nmem	n_out	n_in	n_unl	klass	gap_cm	q_comp	q_frac	len_sum	trk_pid	mdqdx	ang_body	members
142421	108104	emscan-0827	25.0	38	33	0	5	BAD	27.23	8075633.1	0.8102	127.0	1	0.92	17.1	43019;45021;46022;48024;49025;50026;59035;60036;61037;62038;65041;68044;70046;77053;78054;79055;80056;83059;102060;103061;104067;104069;104071;104072;104074;104075;105081;105082;105083;105084;106086;106087;107100;107101;110110;111117;111119;112120
463565	115088	emscan-0827	25.0	1	1	0	0	BAD	26.16	125008.9	0.0278	2.25	0	0.819	23.2	59051
122660	47050	emscan-0827	25.0	2	2	0	0	BAD	26.06	286111.0	0.1078	3.25	1	1.164	19.1	36038;39041
168596	14153	emscan-0827	25.0	1	0	1	0	COL	26.8	67826.3	0.0027	0.33	1	1.331	16.7	85107
423981	12095	emscan-0827	25.0	1	0	0	1	UNL	34.43	83883.6	0.0083	0.59	1	1.294	14.0	53060
423981	12095	emscan-0827	25.0	1	0	0	1	UNL	51.0	44135.1	0.0044	0.36	1	0.84	31.7	56063
423981	12095	emscan-0827	25.0	2	0	0	2	UNL	42.27	167165.7	0.0165	0.61	1	1.907	31.1	63070;64071
423981	12095	emscan-0827	25.0	1	0	0	1	UNL	25.98	32565.1	0.0032	0.92	0	0.393	32.5	67074
423981	12095	emscan-0827	30.0	1	0	0	1	UNL	30.57	83883.6	0.0083	0.59	1	1.294	12.3	53060
423981	12095	emscan-0827	30.0	1	0	0	1	UNL	31.14	44135.1	0.0044	0.36	1	0.84	30.2	56063
469665	68052	emscan-0827	25.0	2	2	0	0	BAD	30.67	44861.6	0.0594	1.0	1	0.404	7.0	35010;37012
469665	68052	emscan-0827	30.0	2	2	0	0	BAD	30.67	44861.6	0.0594	1.0	1	0.404	7.0	35010;37012
469665	15003	emscan-0827	25.0	13	0	3	10	COL	39.0	5135510.0	0.5513	78.4	1	1.002	7.4	64032;64039;65040;67049;67050;69062;69063;69064;69066;69067;69068;70069;71070
469665	15003	emscan-0827	30.0	13	0	3	10	COL	39.0	5135510.0	0.5513	78.4	1	1.002	7.4	64032;64039;65040;67049;67050;69062;69063;69064;69066;69067;69068;70069;71070
469665	15003	emscan-0827	35.0	13	0	3	10	COL	39.0	5135510.0	0.5513	78.4	1	1.002	7.4	64032;64039;65040;67049;67050;69062;69063;69064;69066;69067;69068;70069;71070
