event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
98704	3.043	3.09	0.06	toward	3.09	=	-2.33->-3.27	=
177939	2.813	6.96	4.31	toward	6.96	=	-0.63->-1.44	=
180645	2.684	0.00	2.68	ADVERSE	0.00	=	2.83->-1.00	=
97062	2.572	32.99	35.05	ADVERSE	32.99	=	0.38->0.12	=
409514	2.408	0.00	2.41	ADVERSE	0.00	=	-2.69->-1.73	=
397542	2.290	0.00	2.29	ADVERSE	0.00	=	-3.05->-1.52	=
318021	2.039	7.17	5.13	toward	7.17	=	-1.08->-1.51	=
75040	1.862	1.73	0.15	toward	1.73	=	4.22->1.86	0.0->1.0
242814	1.628	1.90	0.73	toward	1.90	-4.30->-15.00	0.98->0.40	=
409888	1.492	3.95	2.95	toward	3.95	=	=	=
473952	1.408	1.59	0.29	toward	1.59	=	1.25->-0.27	0.0->1.0
75316	1.218	8.45	9.67	ADVERSE	8.45	=	1.22->0.11	=
69666	1.185	2.91	4.06	ADVERSE	2.91	=	2.84->3.31	=
317407	1.127	1.62	0.61	toward	1.62	-15.00->-4.30	2.49->3.86	=
319475	1.121	0.00	1.12	ADVERSE	0.00	=	-0.12->-0.71	=
98294	1.091	1.09	0.00	toward	1.09	=	-1.73->0.72	=
73336	0.993	0.00	0.99	on	0.00	-4.30->-15.00	-0.22->0.59	=
236610	0.990	0.00	0.99	on	0.00	=	1.50->1.87	=
392891	0.979	0.00	0.98	on	0.00	=	3.82->3.71	=
284866	0.977	0.00	0.98	on	0.00	=	=	=
322861	0.972	0.00	0.97	on	0.00	=	2.92->2.58	=
406367	0.970	0.00	0.97	on	0.00	=	1.40->0.58	=
282909	0.947	10.61	9.66	toward	10.61	-3.09->0.95	-0.00->0.68	=
170098	0.941	0.00	0.94	on	0.00	=	2.54->2.97	=
178570	0.939	0.00	0.94	on	0.00	=	2.59->3.04	=
499577	0.884	0.00	0.88	on	0.00	-4.30->-15.00	4.05->2.81	=
287638	0.869	108.82	109.05	away	108.82	=	2.14->2.54	=
166006	0.863	0.00	0.86	on	0.00	=	4.25->4.23	=
395597	0.858	0.00	0.86	on	0.00	-4.30->-15.00	-0.56->-2.09	=
70472	0.854	3.81	4.60	away	3.81	=	0.63->1.04	=
58325	0.835	0.00	0.83	on	0.00	=	3.18->3.65	=
179604	0.832	0.00	0.83	on	0.00	=	=	=
172617	0.832	0.00	0.83	on	0.00	=	3.58->3.36	=
407534	0.832	0.00	0.83	on	0.00	=	2.15->1.34	=
53130	0.831	0.00	0.83	on	0.00	-4.30->-15.00	0.61->1.73	=
410680	0.817	0.00	0.82	on	0.00	=	2.30->0.71	=
72055	0.816	0.00	0.82	on	0.00	=	=	=
172177	0.815	1.17	0.57	toward	1.17	=	3.34->3.71	=
478638	0.798	0.00	0.80	on	0.00	=	1.97->3.02	=
391777	0.794	0.00	0.79	on	0.00	=	0.95->0.77	=
398181	0.792	0.00	0.79	on	0.00	=	3.04->2.78	=
98470	0.790	0.00	0.79	on	0.00	=	4.23->3.78	=
81420	0.778	0.00	0.78	on	0.00	=	2.15->1.43	=
293536	0.765	0.00	0.76	on	0.00	=	0.17->0.03	=
347824	0.764	0.00	0.76	on	0.00	-4.30->-15.00	3.12->2.58	=
174771	0.752	0.00	0.75	on	0.00	=	2.50->3.80	=
174352	0.751	0.00	0.75	on	0.00	=	2.08->2.86	=
287770	0.748	0.00	0.75	on	0.00	=	=	=
390391	0.735	0.00	0.73	on	0.00	=	3.55->3.42	=
480728	0.731	0.00	0.73	on	0.00	=	3.03->3.12	=
393538	0.725	0.00	0.73	on	0.00	=	=	=
104920	0.718	0.00	0.72	on	0.00	=	3.23->3.31	=
98353	0.715	0.00	0.72	on	0.00	=	-1.78->-1.70	=
56939	0.692	0.00	0.69	on	0.00	=	=	=
55542	0.690	0.00	0.69	on	0.00	=	2.34->2.72	=
406125	0.690	0.00	0.69	on	0.00	=	1.21->1.53	=
52759	0.685	0.00	0.68	on	0.00	=	-1.52->-1.98	=
414288	0.681	4.68	4.55	toward	4.68	=	-1.88->-1.63	=
495199	0.674	0.00	0.67	on	0.00	=	4.02->3.64	=
66278	0.672	0.00	0.67	on	0.00	=	-0.84->-0.87	=
77328	0.671	0.00	0.67	on	0.00	-4.30->-15.00	3.66->4.30	=
171143	0.668	0.00	0.67	on	0.00	-4.30->-15.00	3.00->3.12	=
478088	0.667	0.00	0.67	on	0.00	=	4.10->4.30	=
171866	0.666	0.00	0.67	on	0.00	=	1.01->1.20	=
69152	0.660	0.00	0.66	on	0.00	=	=	=
172344	0.648	0.00	0.65	on	0.00	-4.30->-15.00	3.14->3.13	=
67868	0.647	0.00	0.65	on	0.00	=	2.30->2.73	=
348594	0.633	0.00	0.63	on	0.00	-4.30->-15.00	1.19->1.15	=
76280	0.623	0.00	0.62	on	0.00	=	2.42->2.73	=
95405	0.620	0.00	0.62	on	0.00	=	2.99->3.13	=
280159	0.618	0.00	0.62	on	0.00	=	0.93->1.95	=
175117	0.615	0.00	0.61	on	0.00	=	0.91->0.91	=
396420	0.611	0.00	0.61	on	0.00	=	3.55->3.79	=
237446	0.607	0.00	0.61	on	0.00	=	3.67->2.73	=
103204	0.601	0.00	0.60	on	0.00	=	0.89->1.31	=
92992	0.600	0.00	0.60	on	0.00	=	-0.63->-1.47	=
396091	0.600	0.00	0.60	on	0.00	=	3.24->3.06	=
53793	0.598	0.00	0.60	on	0.00	=	3.85->4.04	=
502525	0.594	0.00	0.59	on	0.00	=	1.63->2.19	=
319871	0.591	0.00	0.59	on	0.00	=	2.21->3.09	=
408326	0.587	0.00	0.59	on	0.00	=	=	=
323369	0.586	235.74	235.15	toward	235.74	=	-0.39->-1.19	=
410698	0.579	0.00	0.58	on	0.00	=	3.71->3.45	=
292722	0.570	0.00	0.57	on	0.00	=	3.43->3.01	=
176948	0.558	0.00	0.56	on	0.00	=	-1.87->-1.77	=
289464	0.555	0.00	0.56	on	0.00	=	4.30->4.18	=
51219	0.548	0.00	0.55	on	0.00	=	3.24->3.30	=
292788	0.541	0.00	0.54	on	0.00	=	3.80->4.26	=
294174	0.539	0.00	0.54	on	0.00	=	3.93->4.30	=
169067	0.527	0.00	0.53	on	0.00	=	3.59->3.50	=
100245	0.526	0.00	0.53	on	0.00	=	1.27->0.93	=
391899	0.522	0.00	0.52	on	0.00	=	3.96->4.28	=
54508	0.521	0.00	0.52	on	0.00	=	-1.74->-2.05	=
98947	0.505	0.00	0.51	on	0.00	=	2.39->2.01	=
285680	0.503	0.00	0.50	on	0.00	=	0.96->0.25	=
70538	0.501	0.00	0.50	on	0.00	=	-0.07->-0.27	=
94293	0.500	0.00	0.50	on	0.00	=	4.19->3.47	=
175952	0.497	0.00	0.50	on	0.00	=	4.15->3.72	=
94942	0.497	3.28	3.43	away	3.28	=	=	=
237798	0.496	0.00	0.50	on	0.00	=	=	=
390216	0.490	0.00	0.49	on	0.00	=	3.13->4.30	=
323125	0.487	0.00	0.49	on	0.00	=	0.21->0.18	=
175057	0.486	0.00	0.49	on	0.00	=	=	=
177961	0.480	0.00	0.48	on	0.00	=	0.72->-1.08	=
177521	0.469	0.00	0.47	on	0.00	=	1.89->3.03	=
395089	0.468	0.00	0.47	on	0.00	=	0.82->1.16	=
477142	0.466	67.51	67.95	away	67.51	=	2.19->1.93	=
105426	0.465	0.00	0.47	on	0.00	=	1.15->0.64	=
73412	0.464	0.00	0.46	on	0.00	=	3.80->3.96	=
157281	0.457	0.00	0.46	on	0.00	=	4.05->4.09	=
285350	0.456	0.00	0.46	on	0.00	=	3.55->3.43	=
281985	0.455	0.00	0.46	on	0.00	=	2.25->2.26	=
177366	0.450	0.00	0.45	on	0.00	=	2.20->1.88	=
104304	0.449	0.00	0.45	on	0.00	=	1.93->2.05	=
497553	0.448	0.70	0.27	toward	0.70	=	0.15->-1.84	=
169793	0.446	0.00	0.45	on	0.00	=	2.56->3.16	=
355238	0.439	0.00	0.44	on	0.00	=	2.82->2.93	=
478594	0.433	0.00	0.43	on	0.00	=	-1.49->-1.50	=
407886	0.426	104.19	103.97	toward	104.19	=	-0.91->-1.00	=
396761	0.423	0.00	0.42	on	0.00	=	2.51->2.31	=
57742	0.422	0.00	0.42	on	0.00	=	2.42->2.47	=
94392	0.413	0.00	0.41	on	0.00	-4.30->-15.00	1.50->2.04	=
177149	0.405	0.00	0.41	on	0.00	=	-1.57->-1.41	=
388323	0.395	0.00	0.40	on	0.00	=	1.37->2.40	=
402077	0.392	0.00	0.39	on	0.00	-15.00->-2.71	2.12->1.92	=
321015	0.389	0.00	0.39	on	0.00	=	2.39->2.23	=
240636	0.388	0.00	0.39	on	0.00	=	3.88->3.59	=
51964	0.386	0.00	0.39	on	0.00	=	=	=
176533	0.385	0.00	0.38	on	0.00	=	-0.51->-0.11	=
77878	0.379	2.12	2.29	away	2.12	=	2.80->2.46	=
76059	0.376	0.00	0.38	on	0.00	=	2.54->2.63	=
395695	0.373	0.00	0.37	on	0.00	=	3.22->1.55	=
168448	0.372	0.00	0.37	on	0.00	=	0.78->0.71	=
240372	0.369	0.00	0.37	on	0.00	=	1.10->1.05	=
177266	0.369	0.00	0.37	on	0.00	=	-0.66->-0.56	=
52044	0.368	0.00	0.37	on	0.00	=	2.10->1.82	=
323171	0.365	0.00	0.37	on	0.00	=	1.62->2.14	=
316987	0.360	0.00	0.36	on	0.00	=	3.60->2.70	=
404189	0.359	0.00	0.36	on	0.00	=	=	=
48488	0.358	0.00	0.36	on	0.00	=	4.30->4.08	=
73688	0.354	57.61	57.61	away	57.61	=	2.80->0.92	=
70178	0.354	0.00	0.35	on	0.00	=	2.57->2.06	=
76250	0.354	0.00	0.35	on	0.00	=	3.87->3.88	=
395870	0.353	0.00	0.35	on	0.00	=	=	=
412396	0.353	0.00	0.35	on	0.00	=	4.30->3.48	=
58072	0.351	0.00	0.35	on	0.00	=	1.22->1.46	=
52693	0.348	0.00	0.35	on	0.00	=	-0.70->-0.83	=
395443	0.348	0.00	0.35	on	0.00	=	1.75->1.15	=
179611	0.346	0.00	0.35	on	0.00	=	1.64->1.32	=
397927	0.342	0.00	0.34	on	0.00	=	3.35->3.26	=
104216	0.340	0.00	0.34	on	0.00	=	1.32->1.53	=
179752	0.336	0.00	0.34	on	0.00	=	0.76->0.60	=
318703	0.335	0.00	0.34	on	0.00	-4.30->-15.00	=	=
101554	0.334	0.00	0.33	on	0.00	=	3.92->4.03	=
409906	0.319	4.18	4.43	away	4.18	=	3.20->3.27	=
95170	0.319	68.71	68.77	away	68.71	=	0.08->-1.18	=
93677	0.318	0.00	0.32	on	0.00	=	2.56->2.74	=
352202	0.316	0.00	0.32	on	0.00	=	-3.21->-3.06	=
283568	0.314	0.00	0.31	on	0.00	=	1.61->2.67	=
399303	0.313	0.00	0.31	on	0.00	=	=	=
161043	0.313	0.00	0.31	on	0.00	=	-0.90->-0.86	=
169152	0.312	68.98	68.73	toward	68.98	=	2.06->2.58	=
101675	0.312	0.00	0.31	on	0.00	=	1.33->1.93	=
480772	0.310	0.00	0.31	on	0.00	=	=	=
70912	0.309	0.00	0.31	on	0.00	=	4.30->3.68	=
321629	0.308	0.00	0.31	on	0.00	=	4.30->4.30	=
178885	0.307	0.00	0.31	on	0.00	=	2.49->2.87	1.0->0.0
395573	0.306	0.00	0.31	on	0.00	=	-0.09->-0.25	=
180117	0.305	0.00	0.31	on	0.00	=	=	=
93105	0.304	0.00	0.30	on	0.00	=	2.33->3.15	=
72742	0.298	0.00	0.30	on	0.00	=	3.14->2.36	=
71872	0.296	0.00	0.30	on	0.00	=	1.19->1.10	=
67898	0.293	0.00	0.29	on	0.00	=	3.29->3.33	=
100222	0.293	0.00	0.29	on	0.00	-1.49->-0.45	1.01->2.58	=
396805	0.291	0.00	0.29	on	0.00	=	2.90->2.68	=
67026	0.289	0.00	0.29	on	0.00	=	3.24->3.13	=
68308	0.288	0.00	0.29	on	0.00	=	3.68->3.87	=
352664	0.287	0.00	0.29	on	0.00	=	3.45->4.30	=
95412	0.287	0.00	0.29	on	0.00	=	2.33->2.33	=
47278	0.283	0.00	0.28	on	0.00	=	1.64->1.35	=
95690	0.281	0.00	0.28	on	0.00	=	4.07->4.08	=
352796	0.280	0.00	0.28	on	0.00	=	=	=
410566	0.279	0.00	0.28	on	0.00	=	1.50->0.43	=
47784	0.278	0.00	0.28	on	0.00	=	4.10->4.30	=
405201	0.273	0.00	0.27	on	0.00	=	3.49->3.87	=
91917	0.269	0.00	0.27	on	0.00	=	4.24->2.73	=
393089	0.264	0.00	0.26	on	0.00	=	2.44->2.59	=
70692	0.262	0.00	0.26	on	0.00	=	3.61->3.83	=
99232	0.261	0.00	0.26	on	0.00	=	2.56->3.53	=
293734	0.258	0.00	0.26	on	0.00	=	3.47->3.28	=
498851	0.258	0.00	0.26	on	0.00	=	2.42->2.35	=
91235	0.256	0.00	0.26	on	0.00	=	3.83->4.30	=
178388	0.252	0.00	0.25	on	0.00	=	2.51->1.94	=
75954	0.250	0.00	0.25	on	0.00	=	-0.59->0.41	=
242726	0.245	0.00	0.25	on	0.00	=	3.62->3.56	=
72170	0.245	0.00	0.24	on	0.00	=	3.39->3.12	=
92134	0.241	0.00	0.24	on	0.00	=	=	=
73698	0.236	0.00	0.24	on	0.00	=	2.73->1.96	=
286489	0.234	0.00	0.23	on	0.00	=	3.09->2.95	=
76038	0.233	0.00	0.23	on	0.00	=	=	=
173049	0.233	0.00	0.23	on	0.00	=	3.22->3.51	=
93696	0.233	0.00	0.23	on	0.00	=	2.17->2.38	=
105316	0.230	0.00	0.23	on	0.00	=	1.08->0.97	=
322181	0.228	0.00	0.23	on	0.00	=	3.14->2.25	=
92225	0.226	2.64	2.78	away	2.64	=	1.63->1.72	=
396355	0.225	0.00	0.23	on	0.00	=	3.06->2.88	=
283849	0.222	0.00	0.22	on	0.00	=	4.02->3.90	=
171729	0.221	0.00	0.22	on	0.00	=	2.67->2.50	=
67928	0.221	0.00	0.22	on	0.00	=	2.87->2.47	=
397401	0.217	0.00	0.22	on	0.00	-4.30->-15.00	2.77->3.58	=
72174	0.215	0.00	0.22	on	0.00	=	=	=
280351	0.209	0.00	0.21	on	0.00	=	3.13->2.90	=
392009	0.209	0.00	0.21	on	0.00	=	3.86->3.91	=
396927	0.208	0.00	0.21	on	0.00	=	0.72->1.20	=
52605	0.201	29.79	29.83	away	29.79	=	-2.90->-3.18	=
175094	0.200	0.00	0.20	on	0.00	=	4.30->4.07	=
242550	0.199	0.00	0.20	on	0.00	=	3.99->3.95	=
79491	0.198	0.00	0.20	on	0.00	=	3.35->3.40	=
392988	0.196	0.00	0.20	on	0.00	=	2.44->2.40	=
99716	0.193	0.00	0.19	on	0.00	=	=	=
397599	0.193	0.00	0.19	on	0.00	=	1.81->2.73	=
397005	0.193	0.00	0.19	on	0.00	=	2.98->3.18	=
391415	0.187	0.00	0.19	on	0.00	=	2.89->3.19	=
55322	0.187	0.00	0.19	on	0.00	=	0.94->3.34	=
55278	0.186	0.00	0.19	on	0.00	=	0.11->0.39	=
77702	0.186	0.00	0.19	on	0.00	=	=	=
103798	0.185	0.00	0.19	on	0.00	=	-0.44->-1.12	=
172850	0.180	0.00	0.18	on	0.00	=	2.48->2.62	=
162143	0.180	0.00	0.18	on	0.00	=	=	=
284206	0.179	0.00	0.18	on	0.00	0.42->4.30	1.03->-0.19	=
77846	0.179	0.00	0.18	on	0.00	=	4.30->3.96	=
99838	0.177	0.00	0.18	on	0.00	=	4.11->3.82	=
78242	0.174	0.00	0.17	on	0.00	=	3.98->4.30	=
58919	0.164	0.00	0.16	on	0.00	=	4.05->4.30	=
66900	0.161	0.00	0.16	on	0.00	=	2.35->2.76	=
400029	0.160	0.00	0.16	on	0.00	=	3.77->3.90	=
94224	0.158	0.00	0.16	on	0.00	=	1.25->1.26	=
169240	0.157	2.11	1.98	toward	2.11	=	3.83->3.76	=
179054	0.156	0.00	0.16	on	0.00	=	0.81->0.89	=
69936	0.156	0.00	0.16	on	0.00	=	1.04->0.89	1.0->0.0
398313	0.153	0.00	0.15	on	0.00	=	1.46->1.61	=
170365	0.152	0.00	0.15	on	0.00	=	3.81->3.72	=
51890	0.148	0.00	0.15	on	0.00	=	=	=
164475	0.147	0.00	0.15	on	0.00	=	3.54->3.10	=
390634	0.144	0.00	0.14	on	0.00	=	1.58->1.88	=
174661	0.143	0.00	0.14	on	0.00	=	3.53->3.65	=
72940	0.143	0.00	0.14	on	0.00	=	=	=
50182	0.143	0.00	0.14	on	0.00	=	3.72->3.68	=
280945	0.143	105.66	105.72	away	105.66	=	2.13->2.00	=
171352	0.141	0.00	0.14	on	0.00	=	3.13->3.26	=
170585	0.140	0.00	0.14	on	0.00	=	1.95->2.25	=
292568	0.137	0.00	0.14	on	0.00	=	2.74->2.59	=
98778	0.136	0.00	0.14	on	0.00	=	=	=
405927	0.135	5.94	5.88	toward	5.94	=	1.78->1.75	=
390370	0.134	0.00	0.13	on	0.00	=	4.20->3.85	=
402209	0.132	0.00	0.13	on	0.00	=	3.75->3.54	=
292370	0.132	0.00	0.13	on	0.00	=	3.83->3.88	=
90179	0.132	0.00	0.13	on	0.00	=	-1.72->-1.61	=
179897	0.128	0.00	0.13	on	0.00	=	=	=
95074	0.128	0.00	0.13	on	0.00	=	3.71->2.56	=
414200	0.125	0.00	0.13	on	0.00	=	3.88->4.11	=
171572	0.124	0.00	0.12	on	0.00	=	-0.42->-0.26	=
74336	0.123	0.00	0.12	on	0.00	=	-0.15->-0.70	=
393758	0.123	0.00	0.12	on	0.00	=	3.33->3.02	=
179765	0.121	0.00	0.12	on	0.00	=	2.32->-0.07	=
500149	0.120	0.00	0.12	on	0.00	=	3.32->3.48	=
502921	0.118	0.00	0.12	on	0.00	=	1.99->3.23	=
392327	0.118	0.00	0.12	on	0.00	=	2.91->2.71	=
72840	0.116	0.00	0.12	on	0.00	=	3.75->3.76	=
75377	0.114	0.00	0.11	on	0.00	=	=	=
389225	0.114	0.00	0.11	on	0.00	=	=	=
75135	0.111	0.00	0.11	on	0.00	=	3.91->3.29	=
322269	0.110	0.00	0.11	on	0.00	=	4.18->4.08	=
74380	0.110	0.00	0.11	on	0.00	=	2.31->2.43	=
397379	0.109	0.00	0.11	on	0.00	=	=	=
175814	0.109	0.00	0.11	on	0.00	=	=	=
474678	0.107	0.00	0.11	on	0.00	=	0.00->0.25	=
168209	0.106	0.00	0.11	on	0.00	=	3.60->3.71	=
57577	0.105	0.00	0.10	on	0.00	=	=	=
66652	0.105	0.00	0.10	on	0.00	=	3.22->3.93	=
499115	0.105	0.00	0.10	on	0.00	=	2.57->2.81	=
322907	0.095	0.00	0.10	on	0.00	=	3.89->3.89	=
100564	0.094	0.00	0.09	on	0.00	=	3.55->3.44	=
166050	0.093	0.00	0.09	on	0.00	=	-0.33->-0.38	=
177536	0.091	0.00	0.09	on	0.00	=	2.40->2.18	=
91367	0.088	0.00	0.09	on	0.00	=	3.86->3.80	=
403397	0.087	0.00	0.09	on	0.00	=	=	=
390810	0.087	0.00	0.09	on	0.00	=	1.82->1.14	=
347384	0.086	0.00	0.09	on	0.00	=	=	=
393485	0.081	0.00	0.08	on	0.00	=	=	=
315955	0.080	0.00	0.08	on	0.00	=	0.87->0.80	=
169658	0.079	0.00	0.08	on	0.00	=	4.21->4.30	=
400117	0.078	0.00	0.08	on	0.00	=	=	=
180698	0.075	0.00	0.07	on	0.00	=	-4.30->-2.82	=
283591	0.075	0.00	0.07	on	0.00	=	4.11->4.13	=
173108	0.071	0.00	0.07	on	0.00	=	2.15->2.18	=
320485	0.066	0.00	0.07	on	0.00	=	3.22->3.14	=
102841	0.059	0.00	0.06	on	0.00	=	2.81->2.78	=
351564	0.058	0.00	0.06	on	0.00	=	=	=
70186	0.057	0.00	0.06	on	0.00	=	4.30->4.15	=
76888	0.057	0.00	0.06	on	0.00	=	3.30->2.94	=
395012	0.056	0.00	0.06	on	0.00	=	2.38->2.47	=
74146	0.051	96.03	96.04	away	96.03	=	1.07->1.18	=
