setname	sample	event	labelsrc	gamma	e_lab	e_sh	ratio	e_sibs	nsibs	klass
98	ncpi0	314838	overlay	1	693.4	660.4	0.95	0.0	0	OK
98	ncpi0	314838	overlay	2	118.6	129.5	1.09	0.0	0	OK
98	nuecc48	342199	base	1	74.7	56.7	0.76	23.6	1	UNDER+SIBS
98	nuecc48	342199	base	2	126.7	64.2	0.51	57.6	1	UNDER+SIBS
98	mcp1k	347129	base	1	143.2	136.4	0.95	0.0	0	OK
98	mcp1k	347129	base	2	64.5	61.4	0.95	18.2	6	OK
98	ncpi0	359980	base	1	596.3	569.2	0.95	0.0	0	OK
98	ncpi0	359980	base	2	163.3	160.3	0.98	0.0	0	OK
98	mcp2k	396222	overlay	1	2857.4	2721.4	0.95	0.8	1	OK
98	mcp2k	396222	overlay	2	162.7	154.9	0.95	0.0	0	OK
98	mcp1k	399052	base	1	399.5	380.8	0.95	0.0	0	OK
98	mcp1k	399052	base	2	117.7	112.1	0.95	0.0	0	OK
98	mcp1k	409634	base	1	180.6	171.2	0.95	0.0	0	OK
98	mcp1k	409634	base	2	39.1	37.2	0.95	0.0	0	OK
98	mcp2k	415278	overlay	1	1301.5	1239.5	0.95	20.7	1	OK
98	mcp2k	415278	overlay	2	1149.1	1094.4	0.95	0.0	0	OK
98	ncpi0	506114	base	1	1715.0	1677.6	0.98	0.0	0	OK
98	ncpi0	506114	base	2	44.8	50.8	1.13	0.0	0	OK
98	ncpi0	506746	base	1	1038.2	995.7	0.96	0.0	0	OK
98	ncpi0	506746	base	2	78.3	113.0	1.44	43.7	1	OVER
141	mcp2k	52044	base	1	103.5	98.0	0.95	0.0	0	OK
141	mcp2k	52044	base	2	136.1	38.8	0.28	0.0	0	UNDER-nosibs
141	mcp1k	54341	base	1	341.1	281.1	0.82	0.0	0	OK
141	mcp1k	54341	base	2	47.6	23.7	0.5	0.0	0	UNDER-nosibs
141	mcp1k	56243	base	1	120.1	123.8	1.03	0.0	0	OK
141	mcp1k	56243	base	2	112.2	106.9	0.95	0.0	0	OK
141	mcp2k	57709	base	1	211.6	199.4	0.94	0.0	0	OK
141	mcp2k	57709	base	2	98.5	94.4	0.96	0.0	0	OK
141	mcp1k	71178	base	1	106.7	101.6	0.95	0.0	0	OK
141	mcp1k	71178	base	2	63.1	60.3	0.96	0.0	0	OK
141	mcp2k	71872	base	1	200.6	199.4	0.99	0.0	0	OK
141	mcp2k	71872	base	2	19.9	23.0	1.16	0.0	0	OK
141	mcp2k	74123	base	1	159.6	152.0	0.95	0.0	0	OK
141	mcp2k	74123	base	2	63.1	57.4	0.91	1.6	1	OK
141	mcp2k	91917	base	1	213.4	193.9	0.91	0.0	0	OK
