# doc pr/138 Phase A -- per-object scan result + features
event	node	stratum	proxy_cls	track_typed	owner_verdict	owner_conf	owner_nparts	agent_verdict	proposal_fired	half	valley_best	d2_best	frac_best	angle_best	valley	d2_over_d1	seed_frac	n_seed	angle	balance	gap_cm	gap_scaled	w_pull	sep_scaled	vgap_min	dedx15_min	n_2mip	r_ratio	q_ratio	m_pi0	nseg	npts	Q
98844	70063	S1+S2	MERGED	0	KEEP	high	1	KEEP	0	fit	1	0.4164	0.1912	9.287	1	0.4164	0.1912	3	19.71	0.01168	17.06	3.188	-0.5568	4.014	40.97	0.7491	0	2.19	0.8693	15.14	15	202	5.334e+06
99782	61032	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	0.6247	0.02301	0.0201	2	35.66	0.0201	70.37	15.98	2.272	4.07	23.77	1.865	1	0.6838	0.5002	5.269	6	33	1.031e+06
99782	64035	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0.09405	0.01891	3	27.19	0.03809	19.28	4.027	1.202	4.203	14.75	1.024	0	1.462	1.999	13.27	9	64	2.061e+06
99838	14004	S1	SINGLE	1	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	6.174	0.008512	0	0	-1.934	2.442	0	0.9068	0	nan	nan	7.869	6	795	2.67e+07
99838	58038	S3	SINGLE	0	KEEP	high	1		0	fit	1	0.7365	0.4109	18.13	1	0.7365	0.4109	3	20.33	0.4109	8.412	2.022	0.8512	1.754	3.092	0.8176	0	0.09134	0.06477	17.57	9	53	1.729e+06
100222	67054	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.3828	0.0934	5.651	1	0.3828	0.0934	2	3.694	0.4805	14.36	1.795	-0.841	1.26	142.8	0.928	1	1.66	0.03142	1.348	6	23	1.008e+06
100222	75062	S3	SINGLE	0	KEEP	high	1		0	fit	1	0.8537	0.3518	4.669	1	0.8537	0.3518	3	9.806	0.2198	0	0	2.12	3.475	142.8	0.6422	0	1.816	0.0619	7.21	14	90	1.985e+06
105946	55063	S2	MERGED	0	KEEP	high	1	KEEP	0	fit	1	0.5084	0.04175	12.99	1	0.5084	0.04175	4	68.65	0.002517	53.65	12.32	0.4558	7.144	8.068	0.6375	0	nan	nan	33.51	28	240	8.743e+06
116962	21070	S1	SINGLE	0	TRIM	high	1		0	fit	1	0.2734	0.07505	44.79	1	0.2734	0.07505	3	151.9	0.01909	18.68	4.725	-1.012	6.558	0	0.6682	0	0.3708	0.9399	28.95	5	67	2.425e+06
122660	9110	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.6494	0.2649	10.06	1	0.6494	0.2649	4	16.61	0.02282	2.874	0.582	2.139	2.818	0	1.418	0	0.4777	4.576	38.95	40	429	2.114e+07
122660	9111	S3	SINGLE	0	SPLIT2	high	2		1	fit	0.7216	0.6468	0.08003	23.62	1	0.3626	0.09109	4	58.78	0.09219	9.97	2.369	7.879	5.218	0	nan	0	0.4643	0.09428	29.16	6	42	1.993e+06
122660	53070	S1+S2	MERGED	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	3.711	0.4491	0	0	-1.286	0.9366	85.28	0.9021	0	1.817	0.06747	1.562	3	37	1.426e+06
122660	54071	S2	MERGED	1	KEEP	high	1	SPLIT2	0	fit	1	0.5789	0.2341	6.137	1	0.7868	0.3587	3	7.195	0.4263	8.205	1.276	0.2641	1.969	89.78	0.7217	1	2.093	0.2185	6.369	5	94	4.619e+06
131357	12014	S3	SINGLE	0	KEEP	high	1		0	holdout	1	0.733	0.1213	6.153	1	0.733	0.1213	4	47.72	0.006612	11.56	2.508	0.8394	6.422	0	0.7289	0	nan	nan	39.54	37	294	9.871e+06
138009	12088	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.4606	0.09226	13.21	1	0.4963	0.05264	4	101.6	0.007208	13.15	2.675	0.2593	14.94	0	0.6886	0	nan	nan	144.4	51	476	1.977e+07
142421	108104	S1+S2	MERGED	0	SPLIT2	high	2	SPLIT2	0	holdout	1	0.5536	0.1021	7.796	1	0.5536	0.1021	4	71.58	0.003108	28.61	5.573	0.8445	12.55	7.202	0.7774	0	nan	nan	77.97	47	388	1.589e+07
165157	9000	S2	MERGED	0	KEEP	high	1		1	holdout	0.638	0.6331	0.2589	78.52	0.638	0.6331	0.2589	4	60.51	0.473	6.334	1.355	4.918	8.381	13.38	0.406	0	1.967	1.171	94.52	8	103	3.129e+06
166870	85045	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	4.308	0.1661	7.236	1.684	-1.983	0.446	10.89	0.5746	0	1.053	0.3366	1.08	4	38	1.102e+06
167612	100074	S1+S2	MERGED	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	1.916	0.478	0	0	-1.645	0.7204	195.6	0.7081	0	0.9359	0.3735	1.426	6	42	1.473e+06
167612	101086	S2	MERGED	0	KEEP	high	1		0	fit	1	0.5421	0.267	4.338	1	0.5421	0.267	2	4.307	0.3008	4.162	0.4565	-0.4624	1.614	190.8	0.6742	0	0.9282	0.5342	1.161	7	61	2.107e+06
168432	22006	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	3.766	0.1422	0	0	-1.968	0.5189	25.1	1.587	1	2.836	1.144	5.532	3	64	3.683e+06
169356	67030	S3	SINGLE	0	SPLIT2	high	2		1	fit	0.03516	0.04342	0.03588	43.71	0.03516	0.04342	0.03588	2	43.12	0.03588	31.98	6.697	1.155	6.529	33.68	0.4354	0	nan	nan	11.26	7	51	1.592e+06
170098	78064	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.403	0.1084	9.093	1	0.403	0.1084	3	32.46	0.009089	17.24	3.372	-0.03147	5.941	18.13	0.6971	0	0.633	3.152	14.39	23	145	4.081e+06
170761	8026	S1	SINGLE	0	SPLIT2	high	2	KEEP	1	holdout	0.6453	0.934	0.3138	43.6	0.6453	0.934	0.3138	4	140.5	0.01403	27.28	6.097	5.009	13.36	0	1.606	1	nan	nan	71.28	9	157	6.095e+06
171729	9005	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.6032	0.03029	28.25	1	0.6032	0.03029	3	64.34	0.02029	23.29	6.105	0.8806	2.361	0	1.596	0	nan	nan	16.84	6	47	1.396e+06
172230	5027	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.4134	0.0988	8.515	1	0.4134	0.0988	4	27.49	0.01434	17.81	3.272	1.011	5.762	0	0.9716	0	nan	nan	78.09	67	552	1.936e+07
172942	4002	S3	SINGLE	0	TRIM	high	1		0	fit	1	0.8557	0.2553	11.09	1	0.8557	0.2553	4	123.3	0.005072	52.47	11.86	1.987	11.94	0	5.418	1	0.2906	3.393	43.7	8	132	5.885e+06
173093	12007	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0.2173	0.02982	2	7.659	0.049	4.667	0.9081	-1.112	1.437	38.54	1.89	1	nan	nan	6.012	15	119	3.491e+06
173495	26021	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0	0	1	1.275	0.2501	0	0	-1.922	0.5412	270.2	0.2646	0	nan	nan	1.071	5	51	1.726e+06
174771	15018	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.5435	0.3571	49.83	1	0.5435	0.3571	2	51.31	0.217	0	0	-0.3188	2.447	2.453	0.1157	0	0.3508	1.115	79.45	3	59	2.888e+06
174771	87065	S3	SINGLE	0	KEEP	high	1		1	holdout	0.008874	0.0471	0.04359	23.86	0.008874	0.0471	0.04359	2	23.93	0.04359	72.28	10.39	2.814	7.121	95.82	nan	0	10.88	0.4342	5.185	5	28	1.254e+06
174771	91075	S1+S2	MERGED	0	SPLIT3	high	3		1	holdout	0.4057	0.3792	0.1249	53.76	1	0.4779	0.2037	4	70.52	0.01248	29.82	6.686	3.138	8.102	24.19	0.7532	0	2.851	0.8969	16.91	9	106	2.59e+06
176502	20005	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	1.205	0.3114	0	0	-2.126	0.4534	193	1.174	1	3.68	0.06373	0.8285	3	36	2.481e+06
176502	23030	S3	SINGLE	0	SPLIT3	high	3		0	fit	1	0.6889	0.1417	6.61	1	0.6889	0.1417	4	24.64	0.00534	32.82	6.295	3.059	4.74	15.03	1.813	1	1.078	0.2888	20.85	43	353	1.124e+07
176502	109119	S2	MERGED	0	SPLIT3	high	3	SPLIT3	1	fit	0.5926	0.8506	0.3341	23.41	0.5926	0.8506	0.3341	4	29.71	0.1862	4.991	0.9795	7.07	5.406	0	0.642	0	0.9274	3.462	467.5	86	1201	3.893e+07
176502	109141	S2	MERGED	1	KEEP	high	1		0	fit	1	0.1331	0.04643	13.63	1	0.1331	0.04643	2	5.212	0.08747	0	0	-0.06439	1.226	11.15	0.7283	0	1.451	0.2785	5.32	6	311	1.084e+07
176502	109299	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	24.27	0.4136	9.711	2.379	-0.9527	1.845	0	0.8205	0	0.3336	0.03834	30.25	3	85	1.492e+06
176533	11035	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0.2487	0.01329	4	73.26	0.04106	20.84	5.388	3.003	3.197	0	1.317	0	0.2802	0.2095	24.19	4	38	1.681e+06
176986	67048	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.6895	0.3735	51.02	1	0.6895	0.3735	2	49.56	0.4449	0	0	1.655	2.209	7.218	0.3054	0	0.2383	0.8426	47.14	11	67	2.202e+06
179048	17012	S2	MERGED	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	2.476	0.1208	0	0	-2.351	0.2157	0	0.5446	0	nan	nan	1.364	4	72	2.48e+06
179611	10001	S1	SINGLE	0	TRIM	high	1		0	holdout	1	0	0	0	0.9519	0.02915	0.006195	4	113.9	0.02326	14.3	2.564	0.105	21.27	0	1.032	0	nan	nan	63.83	9	177	5.192e+06
180801	15082	S1+S2	MERGED	0	KEEP	high	1		0	holdout	1	0.2503	0.08293	25.72	1	0.4926	0.09291	4	35.87	0.01288	10.45	2.465	0.6451	3.417	0	0.5949	0	0.5167	0.5214	13.67	6	88	2.497e+06
180801	112061	S2	MERGED	0	KEEP	high	1		0	holdout	1	0.3488	0.06283	11.12	1	0.3488	0.06283	2	11.83	0.06283	8.348	1.731	-0.7241	1.883	40.29	1.76	1	0.9676	0.2225	3.705	3	24	1.066e+06
181050	15005	S2	MERGED	0	SPLIT2	high	2	SPLIT2	0	fit	1	0.3819	0.1862	14.18	1	0.3819	0.1862	3	15.82	0.187	6.889	1.476	0.2377	2.279	29.97	0.7037	0	nan	nan	12.22	11	95	2.391e+06
196649	11113	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.4373	0.03734	7.534	1	0.5126	0.1145	4	30.59	0.001214	27.13	5.233	-0.05146	5.789	0	1.634	1	nan	nan	27.55	55	705	2.405e+07
256587	11301	S1	SINGLE	0	KEEP	high	1	KEEP	0	holdout	1	0	0	0	1	0.04766	0.008953	4	140.9	0.001054	19.44	3.525	1.071	23.42	0	0.716	0	nan	nan	207.8	128	1414	4.848e+07
259542	88060	S1	SINGLE	0	KEEP	high	1		0	fit	0.9787	0.7042	0.3916	11.89	0.9787	0.7042	0.3916	2	12.61	0.3914	7.079	1.168	1.876	3.184	71.07	0.6965	0	1.019	0.3107	26.74	13	114	3.831e+06
268784	13027	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.7034	0.04751	7.194	1	0.7034	0.04751	4	12.37	0.0777	0	0	0.7452	1.864	0	1.134	0	nan	nan	56.6	48	389	1.536e+07
269774	13237	S1+S2	MERGED	0	SPLIT2	high	2	SPLIT2	1	fit	0.8566	0.6661	0.09548	24.01	1	0.7603	0.1615	4	18.28	0.2767	6.03	1.114	3.156	3.814	27.39	0.4886	0	1.161	0.9737	156.2	59	492	1.709e+07
275011	11037	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.07733	0.07434	48.48	1	0.1217	0.03169	4	119.8	0.03917	28.74	7.186	3.481	6.497	0	0.23	0	0.8563	1.491	36.87	9	79	1.812e+06
278420	18002	S2	MERGED	1	SPLIT2	high	2		0	fit	1	0	0	0	1	0	0	1	12.28	0.3199	5.917	1.421	-1.009	1.068	0	1.225	1	0.2839	0.8652	26.78	5	83	3.068e+06
278420	61027	S3	SINGLE	0	KEEP	high	1	SPLIT2	1	fit	0.2067	0.7799	0.3501	32.79	0.2067	0.7799	0.3501	4	30.28	0.4831	16.32	2.89	5.122	6.772	31.62	0.895	0	3.522	1.156	47.9	23	108	3.546e+06
280972	79136	S2	MERGED	0	SPLIT2	high	2		1	fit	0.7958	0.8109	0.3629	19.47	0.7958	0.8109	0.3629	4	20.28	0.3641	9.119	1.885	2.849	3.248	18.05	1.751	2	0.8713	1.608	120.5	35	325	1.157e+07
281165	16006	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0	0	1	6.061	0.06296	0	0	-2.262	1.149	0	0.7646	0	5.261	2.492	6.062	4	217	7.888e+06
281485	87078	S2	MERGED	0	SPLIT3	high	3		0	holdout	1	0.3984	0.03292	15.62	1	0.5879	0.318	4	40.19	0.00989	39.53	9.106	1.121	4.285	17.4	1.016	0	0.7191	1.198	10.16	12	101	2.819e+06
281485	89095	S2	MERGED	0	SPLIT2	high	2		1	holdout	0.9403	0.9515	0.4793	22.34	0.9403	0.9515	0.4793	2	23.12	0.4793	9.368	2.178	0.7468	2.394	20.03	0.6346	0	0.9489	0.558	13.23	8	49	1.573e+06
281485	91112	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0	0	1	5.143	0.2652	0	0	-2.027	0.5482	20.72	0.6346	0	0.9755	0.4188	1.023	5	38	1.181e+06
281567	9025	S3	SINGLE	0	SPLIT2	high	2		0	holdout	1	0.8385	0.4048	18.02	1	0.8385	0.4048	4	17.27	0.4134	3.118	0.7042	1.555	2.045	8.913	1.021	1	0.9958	1.841	90.03	34	284	1.104e+07
281567	99193	S3	SINGLE	0	KEEP	high	1		1	holdout	0.8029	0.838	0.0529	15.3	1	0.7325	0.2548	4	31.44	0.3466	0	0	4.492	3.702	10.73	0.4865	0	1.004	0.5433	100	27	212	5.996e+06
281639	23001	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0.05244	0.008454	2	45.91	0.008454	40.37	9.573	0.1722	4.196	7.605	1.557	0	0.6424	1.159	10.02	4	72	2.664e+06
281639	91023	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	0.5011	0.04266	0.02315	2	68.62	0.02318	31.59	6.906	2.744	8.704	6.54	0.7543	0	1.557	0.8626	23.26	12	86	2.298e+06
281781	89069	S3	SINGLE	0	SPLIT3	high	3		1	holdout	0.3293	0.8923	0.1292	30.67	1	0.659	0.1292	4	31.48	0.01944	11.61	2.322	7.181	5.464	14.62	0.5438	1	0.5458	3.882	31	19	186	6.855e+06
282271	6063	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.2894	0.115	48.12	1	0.5405	0.03017	4	154.1	0.07732	10.59	2.694	10.29	6.215	0	0.8028	1	0.2649	1.391	76.65	25	103	3.275e+06
282909	4084	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.3616	0.1027	20.36	1	0.3616	0.1027	3	53.02	0.01318	23.4	5.542	0.7576	4.84	0	0.2166	0	0.5284	0.5991	23.25	13	120	3.657e+06
282909	75060	S2	MERGED	0	KEEP	high	1	KEEP	0	holdout	1	0.3819	0.1112	11.11	1	0.3819	0.1112	4	29.68	0.006019	14.22	2.962	-0.2657	4.623	21.84	1.007	0	1.893	1.669	18.36	27	217	6.105e+06
283515	24014	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.6673	0.2567	8.512	1	0.6673	0.2567	4	16.58	0.1554	0	0	2.282	3.22	44.34	1.125	1	0.8463	2.736	24.01	13	137	4.041e+06
284200	6013	S1+S2	MERGED	0	SPLIT2	high	2		1	fit	0.4839	0.4928	0.2963	29.17	0.4839	0.4928	0.2963	4	29.24	0.3106	12.82	2.817	3.046	3.826	19.5	0.4132	0	nan	nan	58.21	15	116	4.172e+06
285443	49035	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.4243	0.08966	12.97	1	0.4306	0.005452	4	17.76	0.09049	7.356	1.636	-0.08328	2.235	12.98	0.6342	0	nan	nan	23.25	18	110	3.857e+06
285567	8107	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0	0	1	21.13	0.09369	4.998	1.304	-1.199	0.8764	0	0.8338	0	0.3394	1.305	10.14	4	37	1.606e+06
286655	19006	S3	SINGLE	0	KEEP	high	1		0	holdout	1	0.6833	0.3086	11.6	1	0.6833	0.3086	4	40.54	0.01432	36.68	7.282	2.133	7.104	27.88	1.933	1	1.464	1.395	18.06	11	145	4.128e+06
286681	3012	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0.3474	0.01025	4	42.59	0.01237	48.79	9.376	1.709	8.035	46.88	0.755	0	1.76	0.2966	8.892	5	51	2.504e+06
286681	72040	S1	SINGLE	1	KEEP	high	1		0	holdout	1	0.578	0.1759	25.63	1	0.9496	0.2933	4	20.44	0.2672	0	0	1.996	2.579	15.59	0.7052	1	0.5681	3.372	32.33	11	192	8.443e+06
287654	12003	S3	SINGLE	0	KEEP	high	1		0	fit	1	0.6752	0.2192	8.598	1	0.6752	0.2192	3	14.49	0.4255	3.313	0.6412	1.621	2.746	52.27	0.9613	1	0.6913	0.6722	14.96	7	53	1.874e+06
287830	21042	S3	SINGLE	0	SPLIT2	high	2		1	fit	0.001577	0.04542	0.03799	48.87	1	0.5053	0.1735	4	49.8	0.03799	59.91	10.26	5.794	11.54	74.84	0.6923	0	0.5181	1.083	19.61	7	69	2.501e+06
