class	event	id	cluster	pdg	score	length_cm	ke_mev	gap_cm	cand_end_cm	ref_end_cm	kink_deg	d_mainvtx_cm
B	96383	20012	20	11		0.4	0.2	322.55				
B	96383	21013	21	11		0.6	2.5	201.11				
B	96383	38016	38	11		0.4	3.1	78.69				
B	98844	13022	13	11		0.3	1.2	298.98				
B	98844	14023	14	11		0.5	0.4	368.72				
B	98844	15024	15	11		0.3	1.7	279.22				
B	98844	17026	17	11		0.3	0.3	307.79				
B	98844	74067	74	11		0.2	0.8	309.69				
B	99782	24008	24	11		0.3	1.0	408.80				
B	99782	25009	25	11		0.4	1.0	376.96				
B	99782	26010	26	11		0.4	1.2	316.11				
B	99838	18009	18	11		0.6	3.7	299.01				
B	99838	20011	20	11		0.3	1.2	192.90				
B	100135	22011	22	11		0.4	1.2	253.04				
B	100135	45018	45	11		0.8	0.0	78.02				
B	103798	24003	24	11		0.3	0.2	295.44				
B	103798	50005	50	11		0.9	7.5	71.81				
B	105074	23004	23	13		58.2	162.0	0.08				
B	105074	23005	23	13		82.9	215.1	0.07				
B	105074	29007	29	11		0.4	1.2	233.74				
B	105946	21003	21	2212		4.7	74.5	82.98				
B	105946	22004	22	11		0.3	0.6	425.77				
B	105946	23005	23	11		0.4	0.4	305.72				
B	105946	39013	39	11		2.0	12.2	64.20				
B	105946	57057	57	2212		0.9	60.3	113.26				
B	105946	58058	58	11		0.4	1.4	104.25				
B	105946	59059	59	2212		0.6	3.5	113.60				
B	105946	60060	60	11		0.3	1.0	303.16				
B	111412	25028	25	11		0.4	1.6	317.32				
B	114446	32001	32	11		0.3	0.2	295.46				
B	114446	33002	33	11		0.9	5.6	356.92				
B	122660	13022	13	11		0.5	3.4	217.29				
B	122660	14023	14	11		0.4	1.9	306.11				
B	122660	15024	15	11		0.4	1.6	288.34				
B	122660	16025	16	11		0.2	1.2	312.56				
B	122660	17026	17	11		0.5	1.7	302.69				
B	122660	63107	63	11		0.3	0.2	300.14				
B	131357	52037	52	13		0.5	1.9	95.23				
B	138009	18021	18	11		0.4	1.6	261.41				
B	142421	63039	63	11		0.3	2.3	79.76				
B	142421	66042	66	11		0.2	2.2	79.69				
B	163543	17048	17	11		0.7	4.7	334.39				
B	165157	12001	12	11		0.2	0.7	136.20				
B	165157	13002	13	11		0.5	3.4	133.22				
B	165157	14003	14	11		0.1	2.0	187.82				
B	165157	15004	15	11		0.4	1.6	316.34				
B	165157	17011	17	11		0.3	1.0	282.47				
B	165157	43016	43	13		1.1	3.9	80.41				
B	165157	49022	49	13		0.3	1.2	101.31				
B	167612	24003	24	11		0.6	1.2	84.38				
B	167612	25004	25	11		0.3	2.9	81.07				
B	167612	59023	59	11		0.3	0.8	279.02				
B	167612	60024	60	11		0.3	1.9	288.80				
B	167612	61025	61	11		0.7	5.0	271.16				
B	167612	62026	62	11		0.1	0.2	251.05				
B	167612	63027	63	11		0.4	1.7	242.67				
B	167612	64028	64	11		0.3	1.2	268.75				
B	167612	78029	78	11		0.3	1.2	109.38				
B	168432	40008	40	2212		0.7	3.4	47.10				
B	168596	21080	21	2212		0.5	2.9	421.99				
B	169626	23035	23	11		0.2	2.0	247.69				
B	169626	24036	24	2212		0.2	1.1	415.14				
B	170098	20005	20	11		0.3	0.5	288.84				
B	170761	14027	14	11		0.1	1.4	272.71				
B	170761	15028	15	11		0.4	1.7	176.20				
B	170761	16029	16	11		0.4	0.9	209.72				
B	170761	17030	17	2212		0.2	1.0	267.19				
B	170761	31034	31	11		3.2	1.7	75.01				
B	170761	39042	39	11		0.3	1.9	77.76				
B	170808	19005	19	11		1.2	2.6	278.46				
B	171572	21010	21	11		0.4	1.3	116.99				
B	171572	72011	72	11		1.0	3.9	141.88				
B	171572	73012	73	11		0.3	1.1	146.39				
B	171572	74013	74	11		0.5	0.7	129.68				
B	171729	14010	14	11		0.3	1.6	306.39				
B	171729	35023	35	11		0.4	0.5	299.28				
B	172266	20008	20	11		3.3	0.2	303.72				
B	172266	22010	22	11		0.3	1.4	178.43				
B	172266	23011	23	11		0.3	2.5	362.98				
B	172266	50024	50	11		0.3	1.1	176.44				
B	172266	51025	51	11		0.2	0.9	163.78				
B	172266	52026	52	11		0.4	2.1	371.38				
B	172266	53027	53	11		0.2	1.1	410.06				
B	173093	19018	19	11		0.3	0.8	294.75				
B	173819	22029	22	11		0.1	0.7	444.85				
B	173819	23030	23	11		0.3	0.1	248.42				
B	174637	12046	12	2212		2.4	17.1	250.52				
B	174637	13047	13	11		0.2	1.8	192.19				
B	174637	14048	14	11		0.3	1.4	270.22				
B	174637	28053	28	13		2.4	7.4	36.24				
B	174752	17001	17	11		0.9	3.7	483.70				
B	174752	49011	49	11		0.3	0.3	485.96				
B	174771	21020	21	11		0.3	0.5	349.06				
B	174771	24031	24	11		0.3	2.1	169.38				
B	174771	95079	95	11		0.3	1.1	183.76				
B	174771	96080	96	11		0.9	1.2	196.74				
B	175896	24004	24	11		0.7	2.9	249.98				
B	175896	25005	25	11		0.2	0.3	210.49				
B	175896	26006	26	11		0.2	0.9	308.58				
B	175896	67042	67	11		0.3	0.3	299.93				
B	176502	70033	70	13		0.7	2.8	55.28				
B	176502	83046	83	13		0.6	13.8	92.83				
B	176533	13036	13	11		0.4	1.8	100.21				
B	176533	14037	14	11		0.4	1.6	343.06				
B	176533	15038	15	11		0.3	1.0	420.77				
B	176533	16039	16	11		0.4	1.8	384.80				
B	176533	17040	17	11		0.2	1.3	297.32				
B	176533	18041	18	11		0.4	1.0	338.59				
B	176533	19042	19	11		0.3	0.2	321.82				
B	176533	20043	20	13		44.5	132.0	239.98				
B	176533	74081	74	11		0.4	1.9	389.98				
B	179048	17003	17	11		9.9	34.2	0.04				
B	179048	20014	20	2212		0.5	3.6	323.18				
B	179369	42014	42	11		1.0	1.8	48.13				
B	179369	60032	60	11		0.3	0.3	185.96				
B	179611	16003	16	11		0.3	1.6	103.51				
B	179611	17004	17	11		0.6	3.5	173.38				
B	179611	18005	18	2212		0.4	3.3	115.60				
B	179611	73016	73	11		0.4	2.9	178.07				
B	179611	74017	74	11		0.3	1.2	120.80				
B	179611	75018	75	11		0.9	1.5	148.82				
B	180801	21016	21	11		0.2	2.4	253.36				
B	180801	22017	22	11		0.4	4.9	249.59				
B	180801	23018	23	11		1.8	7.7	136.67				
B	180801	66028	66	11		1.4	0.9	38.77				
B	180801	115079	115	11		0.4	4.4	161.05				
B	196649	16078	16	11		0.1	1.2	250.93				
B	196649	17079	17	11		0.3	0.1	161.78				
B	219295	21072	21	11		0.1	1.6	165.64				
B	256587	16183	16	2212		0.8	21.9	220.52				
B	256587	133294	133	11		0.7	4.1	191.38				
B	259542	22021	22	11		0.7	4.8	302.11				
B	259542	23022	23	11		0.4	0.8	134.06				
B	267597	11039	11	11		0.9	0.3	205.49				
B	267597	12040	12	2212		0.6	3.3	297.63				
B	267597	32044	32	2212		0.6	4.0	72.25				
B	268784	19050	19	11		0.3	2.3	357.48				
B	269774	37049	37	13		3.8	8.4	145.81				
B	271851	26022	26	2212		0.7	9.1	207.68				
B	275011	15010	15	11		0.4	0.9	462.44				
B	277298	23014	23	11		0.3	0.4	287.03				
B	277298	24015	24	11		0.3	1.1	244.51				
B	278794	13003	13	11		0.3	1.5	254.83				
B	280159	18013	18	11		0.8	1.8	249.57				
B	280159	96115	96	11		0.5	0.7	254.20				
B	281325	12006	12	11		0.3	1.8	152.19				
B	281325	13007	13	11		0.3	0.8	293.59				
B	281325	41034	41	211		10.2	28.0	87.59				
B	281485	23039	23	11		0.5	1.2	168.33				
B	281485	24040	24	11		0.4	1.1	406.14				
B	281485	92114	92	11		0.2	4.3	168.39				
B	281567	14037	14	11		2.2	0.8	191.33				
B	281567	15038	15	11		0.4	2.1	214.14				
B	281567	65076	65	2212		1.9	7.3	81.76				
B	281639	27003	27	11		0.4	1.4	252.97				
B	281781	20009	20	11		0.4	0.3	203.31				
B	281781	21010	21	2212		0.5	3.3	138.65				
B	282271	20009	20	2212		0.2	1.3	154.33				
B	282271	53040	53	11		0.9	0.8	83.00				
B	282271	70057	70	11		0.7	1.6	85.98				
B	282271	71058	71	11		0.2	0.4	83.43				
B	282979	19009	19	2212		3.1	73.7	153.38				
B	282979	41018	41	13		27.9	193.4	66.78				
B	282979	56046	56	11		0.4	1.5	138.86				
B	282979	57047	57	11		0.2	2.1	179.49				
B	282979	58048	58	11		0.6	0.1	183.54				
B	283515	25016	25	11		0.3	1.0	378.48				
B	283515	26017	26	11		0.8	2.4	155.72				
B	283515	52018	52	11		0.3	3.8	80.90				
B	283515	78057	78	11		0.2	0.9	164.60				
B	283713	24014	24	11		0.3	0.2	230.75				
B	283713	25015	25	2212		0.5	3.4	161.39				
B	283713	44018	44	11		0.4	1.2	54.10				
B	283713	69053	69	11		0.4	2.4	164.66				
B	283713	70054	70	11		0.5	1.5	159.43				
B	283713	71055	71	11		0.3	0.9	180.67				
B	283713	72056	72	11		0.6	3.0	169.72				
B	284200	11015	11	11		0.7	1.1	377.29				
B	284200	12016	12	11		0.3	2.0	506.71				
B	284200	34041	34	11		0.2	0.7	516.19				
B	284206	16034	16	11		0.7	2.0	99.62				
B	284206	17035	17	11		0.4	0.8	80.62				
B	284206	18036	18	11		0.8	0.8	157.02				
B	285443	17001	17	11		0.2	2.8	102.94				
B	285443	18002	18	11		0.4	1.1	203.37				
B	285443	19003	19	11		0.3	1.6	329.68				
B	285443	20004	20	11		0.6	3.0	272.40				
B	285443	21005	21	11		0.3	0.3	140.74				
B	285443	22006	22	11		0.0	0.3	188.51				
B	285567	15047	15	211		0.0	0.2	329.09				
B	285567	16048	16	11		0.4	1.6	233.48				
B	285567	17049	17	2212		13.9	139.1	299.33				
B	285567	122097	122	11		0.4	2.0	229.15				
B	285567	123098	123	11		0.8	0.8	303.60				
B	286655	30010	30	11		0.6	2.5	252.50				
B	286681	34018	34	11		0.3	1.2	74.98				
B	287007	18004	18	11		0.3	0.6	517.84				
B	287007	19005	19	11		0.3	2.7	181.43				
B	287007	20006	20	11		0.1	0.8	214.63				
B	287007	22001	22	11		54.0	163.1	104.94				
B	287007	41013	41	2212		0.1	0.9	192.26				
B	287007	58030	58	11		2.7	15.1	115.13				
B	289246	22022	22	11		0.2	1.9	329.38				
B	289508	22017	22	11		0.7	2.8	397.07				
B	289508	23018	23	11		0.3	0.5	291.27				
B	289508	24019	24	11		1.0	3.6	287.21				
B	292005	24008	24	11		0.3	3.1	99.84				
B	292005	25009	25	11		0.4	2.2	112.87				
B	292005	45016	45	11		0.3	0.9	78.45				
B	292027	19008	19	11		0.5	1.6	281.22				
B	292027	20009	20	11		2.3	0.1	303.81				
B	292027	37015	37	2212		0.3	2.6	53.89				
B	292027	61044	61	11		0.6	1.3	299.44				
B	292027	62045	62	2212		0.4	3.8	313.01				
B	292027	63046	63	11		0.5	0.7	305.23				
B	293149	31010	31	13		2.0	6.4	68.61				
B	313781	19006	19	11		0.4	3.6	119.52				
B	314838	16020	16	11		0.3	1.1	101.15				
B	314838	87031	87	13		11.1	30.4	72.91				
B	314838	113094	113	11		1.6	1.8	85.17				
B	314838	115096	115	2212		0.3	1.5	100.82				
B	317939	31024	31	11		1.0	2.6	437.84				
B	318703	18033	18	2212		0.6	3.2	274.91				
B	318703	19034	19	11		0.3	2.0	346.87				
B	318703	20035	20	11		0.8	0.6	148.91				
B	318703	21036	21	11		0.1	1.6	270.75				
B	318703	23038	23	11		0.2	1.6	327.52				
B	318703	39042	39	2212		0.9	4.4	72.25				
B	318703	49048	49	11		1.0	3.6	79.99				
B	318703	51050	51	11		0.4	2.0	73.15				
B	318703	64064	64	11		0.4	1.2	99.84				
B	318703	65065	65	11		0.2	1.9	92.25				
B	318703	66066	66	11		0.2	1.4	326.40				
B	318769	30006	30	11		0.4	1.4	275.92				
B	318769	70042	70	11		0.1	1.4	154.80				
B	318769	71043	71	11		0.4	3.0	157.17				
B	318769	73045	73	11		0.6	3.5	152.04				
B	318769	80052	80	13		0.6	4.5	78.13				
B	318769	113062	113	11		5.9	44.0	2.59				
B	318769	119068	119	13		0.4	1.7	51.51				
B	321169	26025	26	11		0.4	1.4	290.50				
B	321367	9006	9	11		0.4	2.0	408.13				
B	321367	10007	10	11		0.3	1.1	317.43				
B	321367	11008	11	2212		0.4	7.4	225.31				
B	321367	13015	13	11		0.3	0.1	355.39				
B	321767	43014	43	11		0.2	2.1	72.40				
B	342199	24033	24	11		0.3	0.7	193.25				
B	347085	29015	29	11		0.6	1.8	74.98				
B	347129	21001	21	11		0.6	1.2	162.10				
B	347824	32015	32	11		0.3	2.1	237.40				
B	347824	85019	85	11		0.5	2.4	52.85				
B	348471	19007	19	11		0.3	2.4	339.34				
B	348471	31011	31	13		3.4	9.7	112.36				
B	348691	14016	14	11		0.3	1.9	367.77				
B	348691	28025	28	11		0.9	8.7	34.27				
B	348691	44041	44	11		0.3	0.2	44.35				
B	349549	18015	18	11		0.4	1.6	172.42				
B	349549	67081	67	2212		0.4	3.0	101.97				
B	350186	119042	119	11		9.3	36.5	79.77				
B	350354	22020	22	11		0.2	1.9	200.33				
B	350354	23021	23	2212		0.4	2.2	263.49				
B	350354	95080	95	11		0.9	2.3	276.59				
B	350354	96081	96	11		0.4	2.2	267.04				
B	359980	23053	23	2212		0.8	3.8	157.00				
B	386442	21011	21	11		0.4	1.2	264.64				
B	386442	64026	64	11		0.4	2.4	260.91				
B	386948	23017	23	11		0.2	0.5	404.16				
B	389538	75083	75	13		2.3	6.9	235.08				
B	390634	23024	23	11		0.0	1.4	80.51				
B	392901	128035	128	11		0.4	1.4	250.94				
B	393505	20016	20	11		0.4	2.7	252.49				
B	394167	14015	14	11		0.4	1.2	352.50				
B	394167	15016	15	11		0.4	1.4	347.96				
B	394167	16017	16	11		0.3	0.1	311.34				
B	394167	17018	17	11		0.3	0.4	480.12				
B	394167	18019	18	11		0.3	1.2	319.47				
B	394167	19020	19	11		0.3	0.2	174.44				
B	394167	47042	47	11		0.3	0.3	178.21				
B	395123	52004	52	2212		0.8	3.8	173.82				
B	395597	29010	29	11		0.3	0.6	78.15				
B	395870	23003	23	11		0.3	0.1	341.13				
B	395870	24004	24	11		1.0	3.6	215.08				
B	395870	40005	40	2212		0.6	3.3	51.33				
B	395870	41006	41	11		0.4	1.3	38.68				
B	395870	45010	45	11		0.3	0.5	62.36				
B	395870	51016	51	2212		0.7	20.0	80.40				
B	395870	52017	52	11		0.8	1.6	76.55				
B	395870	53018	53	2212		2.2	103.3	45.70				
B	395870	54019	54	11		0.4	2.3	40.74				
B	395870	55020	55	11		4.6	0.5	36.84				
B	395870	56021	56	11		0.3	1.3	49.59				
B	395870	57022	57	11		0.3	0.2	72.33				
B	395870	65046	65	11		0.4	1.2	193.20				
B	396037	22003	22	11		0.5	0.1	364.34				
B	396222	14099	14	11		0.6	2.3	95.63				
B	396222	15100	15	11		0.3	0.3	169.11				
B	396222	36112	36	13		0.3	0.8	43.20				
B	396222	79155	79	11		0.7	2.5	10.13				
B	396222	90166	90	13		8.4	26.3	13.74				
B	396222	135336	135	13		0.3	1.4	61.11				
B	396323	19015	19	11		0.5	0.6	367.15				
B	396323	20016	20	11		0.2	1.3	210.17				
B	396323	37017	37	11		0.6	2.8	130.48				
B	396323	38018	38	11		0.8	3.7	127.24				
B	396816	26015	26	2212		11.4	124.4	336.29				
B	396816	60033	60	11		0.4	0.5	323.80				
B	396816	61034	61	11		0.2	0.8	327.67				
B	397630	20012	20	11		0.3	1.2	326.64				
B	398191	29005	29	11		0.6	2.5	298.76				
B	398191	65008	65	11		0.0	0.7	79.96				
B	399052	56051	56	11		0.4	2.0	83.26				
B	400474	21039	21	11		0.1	1.8	260.40				
B	400504	12002	12	2212		0.1	0.8	341.52				
B	401450	57066	57	11		0.4	2.2	382.66				
B	401450	58067	58	11		0.4	3.0	158.29				
B	401450	94107	94	11		1.8	1.0	353.20				
B	403023	21004	21	11		0.2	1.2	114.34				
B	403023	22005	22	11		0.4	0.8	230.01				
B	403309	15001	15	11		0.4	0.5	446.56				
B	406125	15010	15	11		0.4	0.9	211.21				
B	406125	16011	16	11		0.4	0.8	150.21				
B	406125	17012	17	11		0.2	1.1	235.23				
B	407918	18011	18	11		0.2	0.9	267.99				
B	407918	46016	46	11		0.8	2.4	100.77				
B	408304	15009	15	11		0.6	3.0	346.27				
B	408304	16010	16	11		0.4	0.1	308.09				
B	408304	17011	17	11		1.2	7.8	424.33				
B	408304	18012	18	11		1.1	2.6	382.73				
B	408304	19013	19	11		0.2	1.4	108.15				
B	408304	20014	20	11		0.3	1.3	328.04				
B	408304	21015	21	11		0.6	0.2	327.65				
B	408304	22016	22	2212		0.5	3.5	150.10				
B	408304	31017	31	11		0.4	3.4	80.24				
B	408304	54032	54	11		0.2	0.4	152.71				
B	408678	23009	23	11		0.4	2.1	253.51				
B	408678	24010	24	2212		0.4	4.9	411.55				
B	408678	45020	45	11		0.8	4.3	76.74				
B	408678	63034	63	2212		0.3	2.7	411.55				
B	408678	64035	64	11		0.5	2.7	403.47				
B	409140	17007	17	11		2.7	6.3	77.90				
B	409140	46013	46	11		0.7	1.4	129.41				
B	409140	47014	47	11		0.3	1.3	121.71				
B	409140	48015	48	11		0.7	1.9	153.91				
B	410008	20001	20	11		27.8	113.8	157.20				
B	410008	83011	83	11		0.3	1.8	155.09				
B	410008	84012	84	11		0.5	1.7	144.32				
B	410008	85013	85	11		0.8	1.4	180.16				
B	410008	86014	86	2212		0.7	3.5	138.52				
B	410008	87015	87	2212		0.2	0.8	198.77				
B	410008	89017	89	11		0.3	1.4	171.60				
B	410008	90018	90	11		0.3	1.7	143.27				
B	410008	91019	91	11		0.1	1.7	173.50				
B	410008	92020	92	2212		4.2	70.6	183.28				
B	410008	93021	93	11		0.9	1.8	152.54				
B	410008	97022	97	11		3.6	10.1	149.96				
B	412242	24012	24	11		0.4	0.5	417.40				
B	412242	25013	25	11		0.4	1.1	457.04				
B	412242	26014	26	11		0.8	3.4	324.63				
B	412242	27015	27	2212		0.6	3.5	264.12				
B	412242	61051	61	11		0.8	1.7	316.94				
B	412242	62052	62	11		0.3	0.5	270.65				
B	415278	22050	22	11		20.7	10.9	183.37				
B	415278	53083	53	11		0.4	0.2	126.80				
B	415278	54084	54	11		0.7	2.5	170.70				
B	415278	96152	96	11		4.2	16.6	85.93				
B	415278	99156	99	11		13.7	68.9	65.18				
B	415278	110187	110	13		1.6	5.3	108.05				
B	423981	61068	61	13		0.4	1.7	31.69				
B	423981	64071	64	2212		0.6	8.6	31.84				
B	433451	54128	54	11		0.4	2.5	76.81				
B	433451	63137	63	2212		0.3	3.8	77.98				
B	437699	17033	17	11		0.3	1.5	175.51				
B	437699	18034	18	11		23.8	73.3	335.99				
B	437699	95055	95	13		0.5	2.3	28.99				
B	437699	103068	103	11		0.2	1.2	183.07				
B	444187	23071	23	11		0.5	3.9	87.31				
B	447477	18021	18	11		0.3	0.3	332.73				
B	447477	19022	19	11		0.4	1.6	462.81				
B	447477	78085	78	11		0.7	0.5	432.73				
B	463565	25034	25	11		0.3	1.7	138.76				
B	463565	26035	26	11		0.7	2.6	360.66				
B	463565	54046	54	11		0.3	2.2	129.92				
B	463565	116107	116	11		0.4	0.3	167.53				
B	469665	19006	19	11		0.2	0.8	275.51				
B	475096	27027	27	11		0.9	3.2	505.61				
B	475096	28028	28	11		0.3	2.6	488.09				
B	475096	29029	29	11		0.4	0.8	329.26				
B	475096	30030	30	11		0.8	6.3	465.74				
B	475778	28001	28	11		0.2	1.1	80.78				
B	486247	16004	16	11		0.4	2.0	218.82				
B	486247	17005	17	11		0.3	0.5	197.44				
B	486687	33010	33	11		0.4	2.8	306.39				
B	486907	62010	62	11		0.4	2.2	192.13				
B	486907	63011	63	11		1.6	2.1	197.38				
B	486907	64012	64	11		0.4	1.3	194.40				
B	486907	78021	78	13		0.3	1.7	100.62				
B	486907	90047	90	13		1.3	9.3	110.86				
B	486907	93050	93	13		0.4	1.8	81.40				
B	487853	17002	17	11		1.0	2.2	327.62				
B	487853	18003	18	11		0.2	0.6	192.16				
B	499423	20005	20	11		0.4	2.1	272.43				
B	499423	21006	21	11		0.5	7.1	327.14				
B	499423	22007	22	11		0.3	0.5	386.99				
B	499423	23008	23	11		0.2	1.0	349.33				
B	499577	19032	19	11		0.2	0.2	240.91				
B	506114	25047	25	2212		4.7	75.3	239.24				
B	506114	27049	27	11		0.3	0.6	267.10				
B	506746	20048	20	11		0.5	3.6	224.62				
B	521075	25022	25	11		0.5	1.9	320.46				
B	521075	26023	26	11		0.7	0.3	331.93				
B	521075	27024	27	11		0.4	1.9	208.85				
B	521075	28025	28	11		0.3	0.9	408.36				
