event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
291262	0.264	0.00	0.26	on	0.00	=	2.80->2.78	=
283691	0.262	0.00	0.26	on	0.00	=	=	=
283091	0.259	0.00	0.26	on	0.00	=	3.68->3.42	=
284637	0.255	0.00	0.25	on	0.00	=	1.70->1.33	=
283040	0.254	0.00	0.25	on	0.00	=	3.65->1.51	=
51051	0.252	0.00	0.25	on	0.00	=	4.03->4.22	=
488139	0.249	0.00	0.25	on	0.00	=	3.71->3.75	=
409964	0.246	0.00	0.25	on	0.00	=	=	=
315871	0.243	0.00	0.24	on	0.00	=	2.54->3.95	=
168526	0.242	0.00	0.24	on	0.00	-15.00->-4.30	3.72->3.65	=
395962	0.241	0.00	0.24	on	0.00	=	2.08->1.64	=
284200	0.239	0.00	0.24	on	0.00	=	0.22->0.27	=
174752	0.238	13.28	13.23	toward	13.28	=	-3.98->-3.61	1.0->0.0
287211	0.237	0.00	0.24	on	0.00	=	2.77->2.59	=
285531	0.236	0.00	0.24	on	0.00	=	3.67->4.25	=
72256	0.232	0.00	0.23	on	0.00	=	3.41->3.29	=
292643	0.231	0.00	0.23	on	0.00	=	3.19->3.21	=
66118	0.229	0.00	0.23	on	0.00	=	1.39->0.96	=
53427	0.229	0.00	0.23	on	0.00	=	3.46->3.46	=
280972	0.228	0.00	0.23	on	0.00	-2.30->-4.30	=	=
314705	0.228	0.00	0.23	on	0.00	=	-0.71->-1.62	=
350297	0.227	0.00	0.23	on	0.00	=	3.96->3.91	=
60933	0.227	0.00	0.23	on	0.00	=	3.82->3.86	=
285929	0.224	0.00	0.22	on	0.00	=	=	=
290294	0.222	0.00	0.22	on	0.00	=	2.70->2.52	=
283009	0.222	0.00	0.22	on	0.00	=	1.63->3.95	=
49951	0.218	0.00	0.22	on	0.00	-15.00->-4.30	2.40->2.13	=
405432	0.217	0.00	0.22	on	0.00	=	3.55->3.52	=
66712	0.213	0.00	0.21	on	0.00	=	3.55->2.01	=
280853	0.212	0.00	0.21	on	0.00	=	0.28->0.40	=
64409	0.212	0.00	0.21	on	0.00	4.30->4.13	0.09->0.03	=
167112	0.206	0.00	0.21	on	0.00	=	3.56->3.62	=
404244	0.205	0.00	0.21	on	0.00	=	1.58->1.58	=
68714	0.205	0.00	0.20	on	0.00	=	2.32->2.46	=
349241	0.199	0.00	0.20	on	0.00	=	2.17->2.03	=
56243	0.191	0.00	0.19	on	0.00	=	4.30->4.22	=
400636	0.190	0.00	0.19	on	0.00	=	4.13->4.22	=
388224	0.187	0.00	0.19	on	0.00	=	3.53->4.11	=
287830	0.181	0.00	0.18	on	0.00	=	0.75->0.74	=
283229	0.178	0.00	0.18	on	0.00	=	4.23->3.83	=
286241	0.176	0.00	0.18	on	0.00	=	=	=
55627	0.176	0.00	0.18	on	0.00	=	=	=
321371	0.175	0.00	0.17	on	0.00	=	1.40->3.20	=
286527	0.171	0.00	0.17	on	0.00	=	2.60->2.62	=
56211	0.163	6.19	6.22	away	6.19	=	-1.18->-1.63	=
285069	0.163	0.00	0.16	on	0.00	=	0.40->0.38	=
170808	0.157	0.00	0.16	on	0.00	=	2.20->1.93	=
394642	0.154	0.00	0.15	on	0.00	=	-2.71->-3.24	=
279643	0.154	0.00	0.15	on	0.00	=	-1.77->-0.58	=
349879	0.153	0.00	0.15	on	0.00	=	4.28->3.60	=
62721	0.150	0.00	0.15	on	0.00	=	-0.95->-1.58	=
71178	0.148	22.94	23.01	away	22.94	=	-3.42->-2.98	=
288639	0.145	0.00	0.14	on	0.00	=	2.97->2.67	=
173146	0.144	0.00	0.14	on	0.00	=	3.71->3.59	=
487303	0.142	0.00	0.14	on	0.00	=	4.29->4.30	=
401054	0.137	0.00	0.14	on	0.00	=	-1.46->-1.66	1.0->0.0
349461	0.133	0.00	0.13	on	0.00	=	2.92->3.51	=
282459	0.131	0.00	0.13	on	0.00	=	4.14->3.97	=
167684	0.131	0.00	0.13	on	0.00	=	-1.57->-2.55	=
59179	0.130	0.00	0.13	on	0.00	=	3.30->3.56	=
282666	0.130	0.00	0.13	on	0.00	=	3.67->3.54	=
60669	0.129	0.00	0.13	on	0.00	=	2.35->2.37	=
287825	0.128	0.00	0.13	on	0.00	=	3.06->3.27	=
393212	0.127	0.00	0.13	on	0.00	=	-1.33->-1.32	=
66646	0.126	0.00	0.13	on	0.00	=	2.53->2.54	=
290729	0.122	0.00	0.12	on	0.00	=	2.06->1.93	=
58321	0.122	0.00	0.12	on	0.00	=	3.48->3.89	=
55715	0.116	0.00	0.12	on	0.00	=	1.17->1.26	=
321173	0.115	22.40	22.40	away	22.40	=	3.01->3.11	=
62149	0.114	0.00	0.11	on	0.00	=	=	=
287249	0.110	0.00	0.11	on	0.00	=	3.16->3.07	=
170924	0.109	0.00	0.11	on	0.00	=	2.23->1.65	=
169824	0.108	0.00	0.11	on	0.00	=	=	=
290052	0.105	0.00	0.11	on	0.00	=	1.33->1.29	=
292384	0.098	0.00	0.10	on	0.00	=	=	=
389588	0.097	4.42	4.36	toward	4.42	=	-0.09->-1.13	=
284211	0.095	0.00	0.10	on	0.00	=	2.75->2.41	=
397722	0.094	0.00	0.09	on	0.00	=	2.99->3.08	=
281507	0.091	0.00	0.09	on	0.00	=	1.73->2.04	=
169598	0.089	0.00	0.09	on	0.00	=	-1.46->-1.74	=
54351	0.077	0.00	0.08	on	0.00	=	0.47->1.17	=
288947	0.076	0.00	0.08	on	0.00	=	2.79->2.75	=
169620	0.072	0.00	0.07	on	0.00	=	3.66->3.80	=
292687	0.060	0.00	0.06	on	0.00	=	3.81->4.13	=
400592	0.059	0.00	0.06	on	0.00	=	=	=
292027	0.052	0.00	0.05	on	0.00	=	=	=
