workdir	cluster	raw	stm	tf	nseg	win	cov	d50	ghost	gap50	drop
pr_evt138009	45	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	46	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	47	19	0	4	1	0	nan	nan	0.0	0.0	
pr_evt138009	48	27	0	5	1	1	nan	nan	0.0	0.0	
pr_evt138009	49	3	0	6	1	1	nan	nan	0.0	0.0	
pr_evt138009	50	45	0	14	2	2	nan	nan	0.0	0.2640543315304654	
pr_evt138009	51	73	0	11	1	1	nan	nan	0.0	0.5997790343117868	
pr_evt138009	52	46	0	11	1	1	nan	nan	0.0	0.5995386893270641	
pr_evt138009	53	68	0	8	1	1	nan	nan	0.0	0.29943046354705133	
pr_evt138009	54	52	0	9	1	1	nan	nan	0.0	0.5586374853158388	
pr_evt138009	55	29	0	6	1	1	nan	nan	0.0	0.0	
pr_evt138009	63	81	0	19	2	2	nan	nan	0.0	0.5035466314056759	
pr_evt138009	64	142	0	17	1	1	nan	nan	0.0	0.599730906323835	
pr_evt138009	65	24	0	6	1	1	nan	nan	0.0	0.0	
pr_evt138009	66	394	0	51	5	5	nan	nan	0.0	0.5936529373295613	
pr_evt138009	67	68	0	8	1	1	nan	nan	0.0	0.26661211994206374	
pr_evt138009	68	248	0	31	2	2	nan	nan	0.0	0.5996910537935386	
pr_evt138009	69	87	0	18	1	1	nan	nan	0.0	0.5997461462985798	
pr_evt163543	14	3493	0	355	13	13	nan	nan	0.0	0.5997440954273713	20/360
pr_evt163543	17	18	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	18	29	0	7	1	1	nan	nan	0.0	0.0	
pr_evt163543	27	25	0	7	1	1	nan	nan	0.0	0.0	
pr_evt163543	28	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	29	18	0	5	1	1	nan	nan	0.0	0.0	
pr_evt163543	30	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	31	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	32	21	0	5	1	1	nan	nan	0.0	0.0	
pr_evt163543	33	12	0	5	1	1	nan	nan	0.0	0.0	
pr_evt163543	34	90	0	9	1	1	nan	nan	0.0	0.5948331362659671	
pr_evt163543	35	10	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	36	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	37	13	0	5	1	1	nan	nan	0.0	0.0	
pr_evt163543	38	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	39	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	40	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	41	4	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	42	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	43	20	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	44	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	45	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	46	17	0	6	1	1	nan	nan	0.0	0.0	
pr_evt163543	47	17	0	5	1	1	nan	nan	0.0	0.0	
pr_evt163543	49	18	0	5	1	1	nan	nan	0.0	0.0	
pr_evt163543	50	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	51	18	0	5	1	1	nan	nan	0.0	0.0	
pr_evt163543	52	15	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	53	34	0	6	1	1	nan	nan	0.0	0.0	
pr_evt163543	54	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	55	15	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	56	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	57	18	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	58	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	59	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	60	36	0	5	1	1	nan	nan	0.0	0.0	
pr_evt163543	61	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	62	64	0	11	1	1	nan	nan	0.0	0.5995989076040842	
pr_evt163543	63	30	0	8	1	1	nan	nan	0.0	0.29995887218083306	
pr_evt163543	64	53	0	9	1	1	nan	nan	0.0	0.5994447430747943	
pr_evt163543	65	31	0	6	1	1	nan	nan	0.0	0.0	
pr_evt163543	66	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	67	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	68	136	0	35	3	3	nan	nan	0.0	0.5573201683054241	
pr_evt163543	69	22	0	5	1	1	nan	nan	0.0	0.0	
pr_evt163543	70	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt163543	71	139	0	25	4	3	nan	nan	0.0	0.0	
pr_evt163543	72	242	0	40	4	4	nan	nan	0.0	0.5993670617687659	
pr_evt163543	73	39	0	11	1	1	nan	nan	0.0	0.5268250753333523	
pr_evt163543	74	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	14	7423	0	621	32	31	nan	nan	0.0	0.5996407591216546	1/323
pr_evt168596	21	17	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	59	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	60	6	0	7	1	1	nan	nan	0.0	0.0	
pr_evt168596	62	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	63	13	0	9	1	1	nan	nan	0.0	0.6466680446720678	
pr_evt168596	64	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	65	14	0	5	1	1	nan	nan	0.0	0.0	
pr_evt168596	66	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	67	22	0	5	1	1	nan	nan	0.0	0.0	
pr_evt168596	68	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	69	41	0	7	1	1	nan	nan	0.0	0.0	
pr_evt168596	70	20	0	5	1	1	nan	nan	0.0	0.0	
pr_evt168596	71	23	0	5	1	1	nan	nan	0.0	0.0	
pr_evt168596	72	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	73	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	76	30	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	77	10	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	78	24	0	6	1	1	nan	nan	0.0	0.0	
pr_evt168596	79	16	0	5	1	1	nan	nan	0.0	0.0	
pr_evt168596	80	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	81	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	82	24	0	6	1	1	nan	nan	0.0	0.0	
pr_evt168596	83	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	84	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	85	18	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	86	5	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	87	7	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	88	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	89	18	0	5	1	1	nan	nan	0.0	0.0	
pr_evt168596	90	7	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	91	20	0	5	1	1	nan	nan	0.0	0.0	
pr_evt168596	92	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	93	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	94	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	95	17	0	7	1	1	nan	nan	0.0	0.0	
pr_evt168596	96	66	0	10	1	1	nan	nan	0.0	0.5993578980876182	
pr_evt168596	98	14	0	5	1	1	nan	nan	0.0	0.0	
pr_evt168596	120	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	121	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	122	10	0	8	1	1	nan	nan	0.0	0.29991772205057055	
pr_evt168596	123	30	0	6	1	1	nan	nan	0.0	0.0	
pr_evt168596	125	58	0	11	1	1	nan	nan	0.0	0.5059784679213131	
pr_evt168596	127	128	0	17	1	1	nan	nan	0.0	0.5993688430340528	
pr_evt168596	128	77	0	19	2	2	nan	nan	0.0	0.5993885551126179	
pr_evt168596	129	142	0	21	3	3	nan	nan	0.0	0.599443149931676	
pr_evt168596	130	16	0	11	1	1	nan	nan	0.36363636363636365	0.5722709934987021	
pr_evt168596	131	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt168596	132	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	5	4527	0	262	15	14	nan	nan	0.0	0.5999610154001678	
pr_evt172230	24	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	25	37	0	6	1	1	nan	nan	0.0	0.0	
pr_evt172230	26	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	27	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	28	44	0	5	1	1	nan	nan	0.0	0.0	
pr_evt172230	29	54	0	7	1	1	nan	nan	0.0	0.0	
pr_evt172230	30	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	31	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	32	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	33	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	34	45	0	8	1	1	nan	nan	0.0	0.2800562443510222	
pr_evt172230	35	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	36	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	37	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	38	7	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	39	20	0	5	1	1	nan	nan	0.0	0.0	
pr_evt172230	40	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	41	22	0	6	1	1	nan	nan	0.0	0.0	
pr_evt172230	42	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	43	17	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	44	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	45	31	0	5	1	1	nan	nan	0.0	0.0	
pr_evt172230	46	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	47	10	0	4	1	0	nan	nan	0.0	0.0	
