evt	cid	grp	npts	qfrac	plen	prms	maxd	dvtx	seg	ang	cls	sev	flag	f_m	f_em	f_trk	own_pdg	d_had	hadseg	d_a5	d_sec	xcd	xcn	hit54	a5	cen
280972	7	4	245	0.04616162818270915	19.210208098894835	0.6074797254562798	9.276740251295152	30.453110471181752	7040	60.45007819789473	EM-INT	0	0	1.0	1.0	1.0	11:245	7.7	75097	-1.0	10.4	37.7	0		a5(seg7040,d2.4,g6.36,b1.02,v0)	51.5,-159.0,117.6
280972	7	7	104	0.010415097458029007	18.123424694277187	0.4788745346297123	6.394442821700724	12.918768950639206	7040	2.7604824562217143	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	44.7	0		a5(seg7040,d4.5,g6.36,b1.02,v0)	50.7,-162.4,101.8
280972	7	8	61	0.012024218026554857	4.8664260475421415	0.47237003021622964	5.6582020677950355	29.53801464502988	7040	25.539490132148174	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	42.8	0		a5(seg7040,d3.9,g6.36,b1.02,v0)	49.0,-161.2,113.1
280972	7	10	43	0.006873703999388843	8.729589734525794	0.46309007546351816	3.821145993023558	4.754235618898167	7172	41.24715532945745	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	51.1	0		a5(seg7040,d4.4,g6.36,b1.02,v0)	45.4,-173.4,90.3
280972	7	5	21	0.00312332566472912	2.2917418125133127	0.18825920612753697	3.9728333164128666	46.0207616322242	7028	30.760035940001213	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	51.7	0		a5(seg7040,d7.9,g6.36,b1.02,v0)	58.5,-160.3,127.9
280972	7	9	8	0.0009934421583409681	2.514335946604889	0.14154016190708105	3.7267531713275823	9.572345685358412	7040	5.118489956249913	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	54.8	0		a5(seg7040,d3.5,g6.36,b1.02,v0)	48.6,-172.3,94.3
280972	7	3	6	0.0006683656352752082	1.3344625259019653	0.10001644838793164	4.79273556124268	41.38968981968817	7040	67.51148782648372	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	43.1	0		a5(seg7040,d4.1,g6.36,b1.02,v0)	53.3,-155.0,121.3
280972	7	1	4	0.0008330764008975084	1.6985243687170102	0.14081803396989975	7.388022363257991	41.427294881635696	7040	63.51003516034355	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	40.0	0		a5(seg7040,d6.8,g6.36,b1.02,v0)	50.0,-153.7,121.3
280972	7	0	3	0.00014469213018431358	0.4342005290478743	0.08154283309960367	3.4721730947635554	464.9462559417056	7172	50.414865567715886	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	163.6	0			-166.7,-132.0,495.0
280972	7	2	1	0.00016319974260899895	0.0	0.0	3.087171035106419	40.491247239990024	7040	76.80940207578	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	45.1	0		a5(seg7040,d3.1,g6.36,b1.02,v0)	52.7,-158.0,121.4
280994	18	1	69	0.036407711697058656	19.24154258939734	0.3631655908939995	6.1319951312766126	16.387918235090154	18001	4.743212107561321	TRK-COR	2	1	1.0	0.0	1.0	13:69	81.0	32002	-1.0	-1.0	111.7	0			-28.8,-162.8,55.7
280994	18	4	17	0.008798997474255308	9.344290290367711	0.3500035241608191	4.717730811523698	3.6292571429977136	18001	1.2656165263782344	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	111.4	0			-28.6,-148.5,40.2
280994	18	2	6	0.0007221547721240819	4.552129414735145	0.08125539773044231	3.5776994857030515	16.327418659420722	18001	3.419772195516108	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	109.5	0			-28.9,-153.1,51.2
