event	numu	nue	cosmict	enu	dvtx_cm
348845	1.718->1.692	=	=	698->557	0.0
349945	-0.921->2.339	=	=	293->564	0.1
350935	2.011->1.813	=	=	1232->1220	0.0
351749	-1.463->-2.503	=	=	164->152	0.4
352123	1.016->1.818	=	=	510->499	0.1
353223	-1.204->1.128	=	=	250->330	0.0
388224	2.911->2.998	-4.301->-15.000	=	582->734	0.0
390182	2.898->2.173	=	=	1194->1148	0.0
391260	2.219->3.001	=	=	591->564	0.0
393212	-1.254->-1.321	=	=	662->595	0.0
394532	-2.509->-1.454	=	=	347->232	0.0
394642	2.641->0.513	=	=	970->880	0.9
394796	2.266->2.182	=	=	855->852	0.3
395390	-0.719->-1.175	=	=	45->20	0.4
397480	-2.569->-1.832	=	=	266->125	0.2
398514	-2.507->-2.041	=	=	119->111	0.3
399328	-1.136->-1.804	=	=	123->90	0.0
400504	0.757->1.576	=	=	647->615	1.3
400592	=	=	=	805->802	0.0
405234	-0.803->0.263	=	1.0->0.0	474->315	0.1
405432	2.696->2.741	=	=	628->575	0.0
405674	=	=	=	667->662	0.0
407148	2.480->2.309	=	=	995->853	0.0
407918	1.631->1.746	=	=	723->577	0.0
409546	-1.047->-1.408	=	=	133->223	0.0
409942	-1.755->-1.752	=	=	675->656	0.0
411460	-1.651->-1.396	=	=	89->193	0.1
48367	1.991->1.293	=	=	1211->1071	0.9
490779	-1.311->-1.554	=	=	127->121	0.2
52657	1.108->1.179	=	=	430->413	0.3
52723	2.130->2.057	=	=	442->394	0.0
53713	-2.390->-1.465	=	=	144->131	0.4
55595	2.202->1.327	=	=	615->596	0.0
58607	0.150->-0.553	=	=	531->394	0.0
58717	-0.416->-0.526	=	=	219->215	0.0
59247	1.447->3.520	=	=	705->576	0.0
59261	-1.373->-1.153	=	=	655->513	0.0
59685	3.273->3.020	=	=	811->844	0.2
59753	-2.546->-2.021	=	0.0->1.0	139->133	0.8
59899	-1.525->-2.134	=	=	355->268	0.0
60669	1.184->1.165	=	=	497->355	0.0
61461	3.224->3.755	=	=	579->637	0.0
61843	-2.331->-2.013	-4.246->-4.301	=	431->526	0.1
62459	2.336->2.073	=	=	907->857	0.0
62561	-1.788->-1.178	=	0.0->1.0	121->135	0.1
62721	-1.506->-1.083	=	=	167->244	0.3
63163	3.033->2.537	=	=	748->594	0.0
63551	1.256->0.991	=	=	366->354	0.5
64409	-0.738->-0.691	=	=	1097->1095	0.0
64921	1.214->1.191	-4.301->-15.000	=	1072->1062	0.0
64959	-3.422->-2.633	=	=	543->402	0.8
66272	0.056->-1.178	-4.301->-15.000	=	222->282	0.0
66712	1.109->0.957	=	=	906->891	0.0
67394	1.498->0.096	-1.868->-0.421	=	591->1029	0.2
71640	2.874->2.754	=	=	789->772	0.1
72256	1.726->1.917	=	=	435->420	0.0
