==============================================================================
pr/130 item 4 -- q_miss mechanism census
==============================================================================

--- set 98  (adjudicated events removed) ---
kept q_miss total  4.1864e+07   over 142 segment(s) in 21 addressable row(s)
  REROOT       2 row(s)  6.5597e+06   15.7%   142421,409634
  DECLINED     1 seg(s)  1.6903e+06    4.0%
  SIBLING      8 seg(s)  1.2559e+06    3.0%
  SPLIT       43 seg(s)  1.2975e+07   31.0%
  STOLEN      90 seg(s)  1.9384e+07   46.3%
  ADMITTED     0 seg(s)  0.0000e+00    0.0%
  UNTOUCHED    0 seg(s)  0.0000e+00    0.0%
      SPLIT     same-cluster-as-reco 4/43 seg, 4.316e+06 of 1.297e+07
      STOLEN    same-cluster-as-reco 2/90 seg, 1.306e+06 of 1.938e+07
  donor location (pr/128 metric): of the 133 fragment seg / 3.236e+07
      in the MAIN CLUSTER            6 seg  5.6220e+06   17.4%
      holder conn=1                 7 seg  2.9881e+06    9.2%
      holder conn=2                65 seg  1.6067e+07   49.7%
      holder conn=3                40 seg  8.9335e+06   27.6%
      holder conn=4                14 seg  1.7857e+06    5.5%

--- set 141  (adjudicated events removed) ---
kept q_miss total  1.8005e+07   over 44 segment(s) in 22 addressable row(s)
  REROOT       2 row(s)  3.6468e+06   20.3%   52044,397630
  DECLINED     3 seg(s)  2.3450e+06   13.0%
  SIBLING      0 seg(s)  0.0000e+00    0.0%
  SPLIT       20 seg(s)  6.4082e+06   35.6%
  STOLEN      18 seg(s)  3.8757e+06   21.5%
  ADMITTED     0 seg(s)  0.0000e+00    0.0%
  UNTOUCHED    3 seg(s)  1.7297e+06    9.6%
      SPLIT     same-cluster-as-reco 5/20 seg, 2.717e+06 of 6.408e+06
      STOLEN    same-cluster-as-reco 2/18 seg, 1.541e+06 of 3.876e+06
      UNTOUCHED same-cluster-as-reco 3/3 seg, 1.730e+06 of 1.730e+06
  donor location (pr/128 metric): of the 41 fragment seg / 1.201e+07
      in the MAIN CLUSTER            6 seg  3.6144e+06   30.1%
      holder conn=1                 6 seg  2.8365e+06   23.6%
      holder conn=2                20 seg  5.9091e+06   49.2%
      holder conn=3                 4 seg  6.1138e+05    5.1%
      holder conn=4                 8 seg  9.2692e+05    7.7%
      holder conn=(none)              3 seg  1.7297e+06   14.4%

==============================================================================
per-segment detail (kept rows only, by charge)
==============================================================================
set  event    shower  matched  seg     cls                  q    len   pdg  cls# same main  conn held_by    sites
98   76346    14059   14059    42033   SPLIT        3.211e+05    3.1    11    42    0    0     3 42033      -
141  54341    101041  101041   34014   SPLIT        3.172e+05    2.9    11    34    0    0     2 34014      -
98   54332    16014   16017    98067   STOLEN       3.015e+05    3.6    11    98    0    0     2 97060      pass4_angle
141  181050   15006   15006    68031   SPLIT        2.996e+05    5.4    11    68    0    0     2 68031      -
98   173093   12007   12007    58029   STOLEN       2.976e+05    4.1    11    58    0    0     2 61040      pass4_angle
98   76346    14059   14059    14058   SPLIT        2.955e+05    6.3    11    14    1    1     1 14058      -
98   463565   13001   13001    114086  SPLIT        2.925e+05    4.6    11   114    0    0     3 114086     -
141  100135   14025   14025    14024   SPLIT        2.797e+05    7.1    11    14    1    1     1 14024      -
141  281325   42039   42039    41034   SPLIT        2.776e+05    4.3   211    41    0    0     4 41034      pass4_angle
141  181050   15006   15006    61021   SPLIT        2.722e+05    4.1    11    61    0    0     2 61021      -
98   463565   13001   13001    72064   STOLEN       2.718e+05    4.1    11    72    0    0 3,3,3,3 72064,109073,114086,115088 in_other_clusters_seg_cone
98   342199   74101   74101    25037   STOLEN       2.700e+05    3.7    11    25    0    0     2 25109      from_vertices
98   105946   55063   55063    53030   SPLIT        2.570e+05    9.2    11    53    0    0     2 53030      -
98   54332    16014   16017    97062   STOLEN       2.509e+05    6.2    11    97    0    0     2 97060      from_vertices
98   169626   53069   53069    42042   SPLIT        2.500e+05    3.3    11    42    0    0     2 42042      -
141  412242   14007   14007    50049   STOLEN       2.495e+05    3.5    11    50    0    0     2 64054      -
98   284235   74027   74027    38019   SPLIT        2.397e+05    3.6    11    38    0    0     2 38019      -
141  173495   26021   26021    97017   SPLIT        2.341e+05    2.9    11    97    0    0     3 97017      -
98   21073    60081   60081    64109   STOLEN       2.314e+05    3.8    13    64    0    0     2 31023      pass4_angle
98   54332    122091  122091   121084  SPLIT        2.261e+05    5.4    11   121    0    0     2 121084     -
98   463565   13001   13001    115102  STOLEN       2.257e+05    4.9    11   115    0    0     3 115088     in_other_clusters_A
98   281485   88090   88090    65044   SPLIT        2.218e+05    2.4    11    65    0    0     2 65044      -
98   122660   9110    9110     30032   STOLEN       2.201e+05    3.1    11    30    0    0     2 54071      pass4_angle
98   54332    16014   16017    97063   STOLEN       2.157e+05    4.1    11    97    0    0     2 97060      from_vertices
141  294174   71067   71067    64059   STOLEN       2.151e+05    6.7    11    64    0    0     2 64065      from_vertices
98   314838   110088  110088   109070  STOLEN       2.110e+05    5.3    11   109    0    0     4 87031      pass4_angle
98   105946   55063   55063    53031   STOLEN       2.106e+05    3.2    11    53    0    0     2 53030      from_vertices
98   54332    16014   16017    98068   STOLEN       2.091e+05    6.2    11    98    0    0     2 97060      pass4_angle
98   122660   9110    9110     36038   STOLEN       2.020e+05    2.8    13    36    0    0     3 47050      in_other_clusters_seg_cone
98   463565   13001   13001    75067   STOLEN       1.990e+05    3.7    11    75    0    0     3 115088     in_other_clusters_seg_cone
98   269774   97197   97197    67079   SIBLING      1.977e+05    1.9  2212    67    0    0     2 13237      pass4_angle
98   169626   53069   53069    39039   SPLIT        1.949e+05    2.9    11    39    0    0     3 39039      -
98   54332    122091  122091   76038   SPLIT        1.948e+05    2.7    11    76    0    0     2 76038      -
98   269774   97197   97197    19040   SPLIT        1.924e+05    3.0    11    19    0    0     3 19040      -
141  396037   69026   69026    65017   SPLIT        1.912e+05    4.3    11    65    0    0     3 65017      -
98   269774   97197   97197    68080   SIBLING      1.876e+05    0.6    13    68    0    0     2 13237      pass4_angle
98   281485   88090   88090    90105   STOLEN       1.875e+05    4.0    13    90    0    0     2 90104      from_vertices
98   463565   13001   13001    115101  STOLEN       1.850e+05   12.7    11   115    0    0     3 115088     in_other_clusters_A
98   463565   13001   13001    110075  STOLEN       1.832e+05    3.4    11   110    0    0     3 114086     in_other_clusters_seg_cone
98   21073    60081   60081    33026   STOLEN       1.803e+05    2.6    11    33    0    0     2 31023      pass4_proximity
141  91917    87053   87053    66021   SPLIT        1.718e+05    1.9    11    66    0    0     3 66021      -
98   463565   13001   13001    115090  STOLEN       1.714e+05    4.6    11   115    0    0     3 115088     in_other_clusters_A
98   444187   19079   19079    19039   STOLEN       1.714e+05    1.2    11    19    1    1     1 19082      in_main_cluster
141  282271   6063    6063     6004    SPLIT        1.660e+05    3.0    11     6    1    1     1 6004       -
141  54341    101041  101041   105047  STOLEN       1.642e+05    2.0  2212   105    0    0     2 34014      pass4_angle
141  287007   22001   22001    58030   SPLIT        1.620e+05    2.7    11    58    0    0     4 58030      -
98   105946   55063   55063    54032   SPLIT        1.520e+05    4.2    11    54    0    0     3 54032      -
98   463565   13001   13001    114084  STOLEN       1.517e+05    1.2    13   114    0    0     3 114086     in_other_clusters_A
141  289246   63034   63034    77063   SPLIT        1.502e+05    2.5    11    77    0    0     2 77063      -
98   76346    14059   14059    41032   STOLEN       1.465e+05    2.8    13    41    0    0     2 41031      from_vertices
98   105946   56056   56056    39013   SPLIT        1.428e+05    2.0    11    39    0    0     4 39013      pass4_angle
98   423981   12095   12095    64071   SPLIT        1.353e+05    0.2  2212    64    0    0     4 64071      pass4_angle
98   76346    14059   14059    41031   SPLIT        1.318e+05    2.9    11    41    0    0     2 41031      -
141  181050   15006   15006    68034   STOLEN       1.301e+05    5.6    13    68    0    0     2 68031      from_vertices
98   54332    16014   16017    97064   STOLEN       1.254e+05    3.3    11    97    0    0     2 97060      from_vertices
98   463565   13001   13001    59051   STOLEN       1.250e+05    2.2    11    59    0    0     3 115088     in_other_clusters_seg_cone
98   463565   13001   13001    112080  STOLEN       1.241e+05    1.4    13   112    0    0     3 114086     in_other_clusters_seg_cone
98   54332    122091  122091   81043   SPLIT        1.228e+05    1.3    11    81    0    0     2 81043      -
98   76346    14059   14059    34024   STOLEN       1.205e+05    1.2    13    34    0    0     2 41031      pass4_angle
141  98844    70063   70063    66043   STOLEN       1.199e+05    2.5    11    66    0    0     1 6013       -
98   54332    122091  122091   123099  STOLEN       1.196e+05    1.9    11   123    0    0     4 123098     pass4_angle
98   21073    60081   60081    64108   STOLEN       1.193e+05    1.4    11    64    0    0     2 31023      pass4_proximity
98   76346    14059   14059    39029   SPLIT        1.158e+05    0.8  2212    39    0    0     3 39029      -
98   21073    60081   60081    31024   STOLEN       1.081e+05    2.6    13    31    0    0     2 31023      from_vertices
98   54332    16014   16017    99069   STOLEN       9.583e+04    0.6  2212    99    0    0     2 97060      pass4_angle
141  181050   15006   15006    68032   STOLEN       9.066e+04    6.3    11    68    0    0     2 68031      from_vertices
98   54332    16014   16017    97060   SPLIT        8.983e+04    1.7    11    97    0    0     2 97060      -
141  181050   15006   15006    58018   STOLEN       8.928e+04    0.5  2212    58    0    0     2 68031      pass4_proximity
98   122660   9110    9110     39041   STOLEN       8.410e+04    0.5  2212    39    0    0     3 47050      in_other_clusters_seg_cone
98   21073    60081   60081    31023   SPLIT        8.408e+04    1.7    11    31    0    0     2 31023      -
98   54332    122091  122091   77039   SPLIT        8.293e+04    1.4    11    77    0    0     2 77039      -
98   76346    14059   14059    32022   STOLEN       8.120e+04    0.2  2212    32    0    0     3 42033      in_other_clusters_seg_cone
98   314838   110088  110088   87031   SPLIT        8.045e+04    1.2    13    87    0    0     4 87031      pass4_angle
98   76346    40030   49048    37027   SPLIT        7.892e+04    0.2  2212    37    0    0     3 37027      pass3_cone
98   269774   97197   97197    100213  SIBLING      7.740e+04    0.5  2212   100    0    0     2 13237      pass4_angle
98   347129   11000   11000    40033   STOLEN       7.583e+04    0.8    11    40    0    0     2 40032      from_vertices
98   173093   12007   12007    53024   STOLEN       7.526e+04    0.9    13    53    0    0     2 61040      pass4_angle
98   463565   13001   13001    73065   STOLEN       7.418e+04    1.0    11    73    0    0     3 115088     in_other_clusters_seg_cone
98   463565   13001   13001    115092  STOLEN       7.344e+04    3.4    11   115    0    0     3 115088     in_other_clusters_A
98   54332    16014   16017    129113  STOLEN       7.288e+04    0.7    13   129    0    0     2 97060      pass4_angle
98   76346    40030   49048    38028   SPLIT        6.954e+04    0.3  2212    38    0    0     4 38028      pass3_cone
98   76346    14059   14059    40030   STOLEN       6.602e+04    1.1    11    40    0    0     1 14058      -
98   342199   74101   74101    72098   STOLEN       6.508e+04    0.9    11    72    0    0     2 25109      -
98   314838   110088  110088   91035   STOLEN       6.397e+04    0.2  2212    91    0    0     4 87031      pass4_angle
98   76346    14059   14059    35025   STOLEN       6.365e+04    0.3  2212    35    0    0     2 41031      pass4_angle
141  181050   15006   15006    54014   STOLEN       5.895e+04    0.3    13    54    0    0     2 68031      pass4_angle_divert
98   314838   110088  110088   95039   STOLEN       5.857e+04    0.3    13    95    0    0     4 87031      pass4_angle
98   347129   11000   11000    39005   SPLIT        5.641e+04    0.7    11    39    0    0     3 39005      -
98   444187   19079   19079    61074   STOLEN       5.613e+04    1.1    11    61    0    0     1 19082      pass3_cone
98   314838   110088  110088   85029   STOLEN       5.393e+04    0.8    11    85    0    0     4 87031      pass4_angle
98   281485   88090   88090    62041   STOLEN       5.019e+04    0.3    11    62    0    0     2 90104      -
98   105946   56056   56056    50025   SIBLING      4.877e+04    0.7    11    50    0    0     2 55063      -
141  293149   4001    4001     30009   STOLEN       4.797e+04    1.1    13    30    0    0     4 31010      pass4_angle
98   314838   110088  110088   109071  STOLEN       4.637e+04    2.5    13   109    0    0     4 87031      pass4_angle
98   105946   55063   55063    35009   STOLEN       4.514e+04    0.5    13    35    0    0     2 53030      pass4_angle
98   463565   13001   13001    113081  STOLEN       4.281e+04    0.3    13   113    0    0   3,3 109073,114086 in_other_clusters_seg_cone
98   347129   11000   11000    43009   SPLIT        4.096e+04    0.3    11    43    0    0     3 43009      -
141  54341    101041  101041   104046  STOLEN       4.012e+04    0.4    13   104    0    0     2 34014      pass4_angle
98   463565   13001   13001    49041   STOLEN       3.906e+04    0.3    13    49    0    0     3 115088     in_other_clusters_seg_cone
98   463565   13001   13001    50042   STOLEN       3.889e+04    0.7    11    50    0    0     3 115088     in_other_clusters_seg_cone
98   314838   110088  110088   89033   STOLEN       3.866e+04    0.1    13    89    0    0     2 13010      pass4_angle
98   21073    60081   60081    34027   STOLEN       3.866e+04    0.6    11    34    0    0     2 31023      pass4_proximity
98   342199   74101   74101    25108   STOLEN       3.739e+04    4.8    11    25    0    0     2 25109      from_vertices
98   347129   11000   11000    41007   STOLEN       3.563e+04    0.2    13    41    0    0     2 40032      pass4_angle
98   54332    122091  122091   80042   SPLIT        3.525e+04    0.5    11    80    0    0     3 80042      -
141  293149   4001    4001     29008   STOLEN       3.282e+04    0.3    13    29    0    0     4 31010      pass4_angle
98   269774   97197   97197    109233  SIBLING      3.241e+04    0.1    11   109    0    0     2 13237      -
98   342199   74101   74101    73099   STOLEN       3.217e+04    0.3    11    73    0    0     2 25109      -
98   463565   13001   13001    115094  STOLEN       3.192e+04    3.2    11   115    0    0     3 115088     in_other_clusters_A
98   423981   12095   12095    63070   STOLEN       3.189e+04    0.4    13    63    0    0     4 64071      pass4_angle
98   347129   11000   11000    40032   SPLIT        3.063e+04    0.6    11    40    0    0     2 40032      -
98   54332    122091  122091   78040   STOLEN       2.874e+04    0.3    13    78    0    0     2 77039      pass4_angle
141  281325   42039   42039    27016   STOLEN       2.859e+04    0.6    13    27    0    0     4 41034      pass4_angle
141  293149   4001    4001     27006   STOLEN       2.844e+04    0.3    13    27    0    0     4 31010      pass4_angle
98   314838   110088  110088   83027   STOLEN       2.816e+04    0.6    13    83    0    0     4 87031      pass4_angle
98   463565   13001   13001    48040   STOLEN       2.771e+04    0.3    13    48    0    0     3 114086     in_other_clusters_seg_cone
98   469665   15003   15003    35010   STOLEN       2.692e+04    0.2    13    35    0    0     2 68052      pass4_angle
98   463565   13001   13001    51043   STOLEN       2.675e+04    0.4    13    51    0    0     3 115088     in_other_clusters_seg_cone
98   269774   97197   97197    108232  SIBLING      2.572e+04    0.4    11   108    0    0     2 13237      -
98   347129   11000   11000    42008   SPLIT        2.557e+04    0.2    11    42    0    0     3 42008      -
98   54332    122091  122091   79041   STOLEN       2.357e+04    0.3    13    79    0    0     2 77039      pass4_angle
98   469665   15003   15003    32007   STOLEN       2.312e+04    0.2    11    32    0    0     2 68052      -
98   347129   11000   11000    36002   SPLIT        2.300e+04    0.3    11    36    0    0     3 36002      -
141  293149   4001    4001     31010   SPLIT        2.189e+04    0.3    13    31    0    0     4 31010      pass4_angle
98   54332    122091  122091   92054   STOLEN       2.174e+04    0.3    13    92    0    0     2 77039      pass4_angle
98   469665   15003   15003    62074   STOLEN       2.131e+04    0.6    11    62    0    0     2 62073      from_vertices
98   314838   110088  110088   94038   STOLEN       2.078e+04    0.1    13    94    0    0     4 87031      pass4_angle
98   76346    14059   14059    36026   STOLEN       2.040e+04    0.4    11    36    0    0     2 41031      -
98   76346    14059   14059    33023   STOLEN       1.841e+04    0.2    11    33    0    0     1 14058      -
98   469665   15003   15003    37012   STOLEN       1.794e+04    0.8    13    37    0    0     2 68052      pass4_angle
98   347129   11000   11000    37003   SPLIT        1.639e+04    0.3    11    37    0    0     3 37003      -
98   347129   11000   11000    38004   SPLIT        1.620e+04    0.6    11    38    0    0     3 38004      -
98   342199   74101   74101    25109   SPLIT        1.513e+04    2.7    11    25    0    0     2 25109      -
98   169626   53069   53069    43043   STOLEN       1.459e+04    0.3    13    43    0    0     2 42042      pass4_angle
141  54341    96031   96031    77019   SPLIT        1.426e+04    0.6    11    77    0    0     3 77019      -

wrote /home/xqian/toolkit-dev/wcp-porting-img/sbnd/sbnd_xin/docs/pr/pr130-qmiss-census.tsv (203 rows, adjudicated included and flagged)
