kind	event	arm	id	cluster	pdg	length_cm	energy_mev	gap_cm
B	396037	work-pr125r1-flipS141-mcp2k	22003	22	11	0.5	0.1	-1.00
B	506746	work-pr125r1-flipS98-ncpi0	20048	20	11	0.5	3.6	-1.00
B	437699	work-pr125r1-flipS98-nuecc48	95055	95	13	0.5	2.3	-1.00
B	408678	work-pr125r1-flipS141-mcp2k	64035	64	11	0.5	2.7	-1.00
B	57709	work-pr125r1-flipS141-mcp2k	16003	16	11	0.5	1.0	-1.00
B	281485	work-pr125r1-flipS98-mcp1k	23039	23	11	0.5	1.2	-1.00
B	408304	work-pr125r1-flipS141-mcp2k	22016	22	2212	0.5	3.5	-1.00
B	396323	work-pr125r1-flipS141-mcp2k	19015	19	11	0.5	0.6	-1.00
B	98844	work-pr125r1-flipS141-mcp2k	14023	14	11	0.5	0.4	-1.00
B	171572	work-pr125r1-flipS141-mcp2k	74013	74	11	0.5	0.7	-1.00
B	292027	work-pr125r1-flipS141-mcp1k	63046	63	11	0.5	0.7	-1.00
B	280159	work-pr125r1-flipS141-mcp2k	96115	96	11	0.5	0.7	-1.00
B	64409	work-pr125r1-flipS141-mcp1k	11036	11	11	0.5	0.7	-1.00
B	58755	work-pr125r1-flipS141-mcp1k	31005	31	11	0.5	2.7	-1.00
B	521075	work-pr125r1-flipS98-ncpi0	25022	25	11	0.5	1.9	-1.00
B	94392	work-pr125r1-flipS141-mcp2k	13021	13	11	0.5	2.1	-1.00
B	283713	work-pr125r1-flipS141-mcp1k	25015	25	2212	0.5	3.4	-1.00
B	179048	work-pr125r1-flipS141-mcp2k	20014	20	2212	0.5	3.6	-1.00
B	180801	work-pr125r1-flipS98-ncpi0	115079	115	11	0.4	4.4	-1.00
B	10550	work-pr125r1-flipS98-nuecc48	17038	17	11	0.4	2.6	-1.00
B	318769	work-pr125r1-flipS141-mcp2k	71043	71	11	0.4	3.0	-1.00
B	401450	work-pr125r1-flipS141-mcp1k	57066	57	11	0.4	2.2	-1.00
B	54453	work-pr125r1-flipS141-mcp2k	36037	36	11	0.4	1.0	-1.00
B	318769	work-pr125r1-flipS141-mcp2k	30006	30	11	0.4	1.4	-1.00
B	486907	work-pr125r1-flipS141-mcp1k	93050	93	13	0.4	1.8	-1.00
B	447477	work-pr125r1-flipS98-nuecc48	19022	19	11	0.4	1.6	-1.00
B	321169	work-pr125r1-flipS141-mcp2k	26025	26	11	0.4	1.4	-1.00
B	408304	work-pr125r1-flipS141-mcp2k	16010	16	11	0.4	0.1	-1.00
B	403309	work-pr125r1-flipS141-mcp2k	15001	15	11	0.4	0.5	-1.00
B	96383	work-pr125r1-flipS141-mcp2k	38016	38	11	0.4	3.1	-1.00
B	167612	work-pr125r1-flipS141-mcp2k	63027	63	11	0.4	1.7	-1.00
B	292027	work-pr125r1-flipS141-mcp1k	62045	62	2212	0.4	3.8	-1.00
B	96383	work-pr125r1-flipS141-mcp2k	20012	20	11	0.4	0.2	-1.00
B	283713	work-pr125r1-flipS141-mcp1k	69053	69	11	0.4	2.4	-1.00
B	180801	work-pr125r1-flipS98-ncpi0	22017	22	11	0.4	4.9	-1.00
B	284206	work-pr125r1-flipS141-mcp2k	17035	17	11	0.4	0.8	-1.00
B	408678	work-pr125r1-flipS141-mcp2k	24010	24	2212	0.4	4.9	-1.00
B	18625	work-pr125r1-flipS98-ncpi0	51024	51	11	0.4	3.9	-1.00
B	415278	work-pr125r1-flipS98-mcp2k	53083	53	11	0.4	0.2	-1.00
B	393505	work-pr125r1-flipS141-mcp2k	20016	20	11	0.4	2.7	-1.00
B	386442	work-pr125r1-flipS141-mcp1k	21011	21	11	0.4	1.2	-1.00
B	394167	work-pr125r1-flipS141-mcp2k	15016	15	11	0.4	1.4	-1.00
B	281639	work-pr125r1-flipS98-mcp1k	27003	27	11	0.4	1.4	-1.00
B	394167	work-pr125r1-flipS141-mcp2k	14015	14	11	0.4	1.2	-1.00
B	176533	work-pr125r1-flipS141-mcp2k	13036	13	11	0.4	1.8	-1.00
B	349549	work-pr125r1-flipS141-mcp1k	18015	18	11	0.4	1.6	-1.00
B	406125	work-pr125r1-flipS141-mcp2k	15010	15	11	0.4	0.9	-1.00
B	386442	work-pr125r1-flipS141-mcp1k	64026	64	11	0.4	2.4	-1.00
B	285567	work-pr125r1-flipS98-ncpi0	16048	16	11	0.4	1.6	-1.00
B	176533	work-pr125r1-flipS141-mcp2k	14037	14	11	0.4	1.6	-1.00
B	176533	work-pr125r1-flipS141-mcp2k	16039	16	11	0.4	1.8	-1.00
B	318703	work-pr125r1-flipS141-mcp2k	64064	64	11	0.4	1.2	-1.00
B	395870	work-pr125r1-flipS141-mcp2k	54019	54	11	0.4	2.3	-1.00
B	176533	work-pr125r1-flipS141-mcp2k	18041	18	11	0.4	1.0	-1.00
B	74544	work-pr125r1-flipS98-nuecc48	16058	16	11	0.4	1.4	-1.00
B	138009	work-pr125r1-flipS98-nuecc48	18021	18	11	0.4	1.6	-1.00
B	281485	work-pr125r1-flipS98-mcp1k	24040	24	11	0.4	1.1	-1.00
B	350354	work-pr125r1-flipS141-mcp2k	23021	23	2212	0.4	2.2	-1.00
B	179611	work-pr125r1-flipS141-mcp2k	73016	73	11	0.4	2.9	-1.00
B	412242	work-pr125r1-flipS141-mcp2k	24012	24	11	0.4	0.5	-1.00
B	318769	work-pr125r1-flipS141-mcp2k	119068	119	13	0.4	1.7	-1.00
