arm	event	rcid	npts	n_inner	n_outer	angle_in_out_deg	imp_inner_cm	imp_outer_cm
work-pr51r6-flip50	56463	14002	100	8	22	1.75	0.060	0.102
work-pr51r6-flip50	56463	14005	279	7	23	3.07	0.182	0.316
work-pr51r6-flip50	57441	20000	171	8	22	0.47	0.088	0.074
work-pr51r6-flip50	57485	16006	79	8	22	11.59	0.075	0.985
work-pr51r6-flip50	57575	12002	358	8	22	1.54	0.064	0.186
work-pr51r6-flip50	57661	18027	22	8	13	3.27	0.187	0.154
work-pr51r6-flip50	57661	18028	187	8	22	0.96	0.581	0.612
work-pr51r6-flip50	57883	16004	38	8	22	3.83	0.489	0.529
work-pr51r6-flip50	57903	14001	55	8	35	74.27	0.316	5.071
work-pr51r6-flip50	57903	14007	98	8	27	44.15	0.818	3.033
work-pr51r6-flip50	58321	19003	86	7	22	3.09	0.077	0.301
work-pr51r6-flip50	58321	19004	246	9	22	3.33	0.306	0.522
work-pr51r6-flip50	58321	19005	49	8	22	4.43	0.249	0.252
work-pr51r6-flip50	58345	7001	82	8	23	1.32	0.158	0.225
work-pr51r6-flip50	58607	23006	20	8	11	22.76	0.204	1.910
work-pr51r6-flip50	58653	4000	156	7	22	4.66	0.205	0.095
work-pr51r6-flip50	58717	21001	29	8	19	15.49	0.083	1.321
work-pr51r6-flip50	59003	19000	530	8	23	3.58	0.270	0.340
work-pr51r6-flip50	59025	19005	205	7	21	3.74	0.119	0.430
work-pr51r6-flip50	59025	19007	176	8	22	5.52	0.479	0.127
work-pr51r6-flip50	59093	15005	190	7	22	3.40	0.167	0.583
work-pr51r6-flip50	59179	15003	246	7	22	0.88	0.024	0.083
work-pr51r6-flip50	59179	15006	39	8	22	1.44	0.006	0.112
work-pr51r6-flip50	59247	15009	262	8	20	6.12	0.105	0.571
work-pr51r6-flip50	59261	11008	142	7	22	3.50	0.226	0.230
work-pr51r6-flip50	59335	11003	113	8	22	10.19	0.415	0.389
work-pr51r6-flip50	59371	8001	171	7	22	5.08	0.248	0.145
work-pr51r6-flip50	59371	8004	42	8	23	1.17	0.448	0.639
work-pr51r6-flip50	59553	10004	116	8	22	4.87	0.051	0.439
work-pr51r6-flip50	59685	6005	173	8	22	1.02	0.239	0.334
