sample	evt	shower_id	start_seg	E	L	nmem	trk_len	trk_frac	trk_frac_sl	maxUnflag	conn
NCpi0	285567	8108	1	174.85252176535772	25.355823361629078	7	6.78	0.2674	0.0	1.74	1
NCpi0	314838	110070	0	765.9594316810675	219.88832330442946	26	10.85	0.0494	0.0	5.35	2
NCpi0	314838	13006	1	303.45626450811454	65.70809297931032	15	2.61	0.0397	0.0	23.9	2
NCpi0	359980	60073	1	193.07349737185777	38.34241981183214	7	2.31	0.0602	0.0	0.73	3
NCpi0	359980	75096	4	135.33003134122652	27.69623537886888	5	0.69	0.0251	0.0	1.0	3
NCpi0	359980	78100	5	109.96558667990367	21.444408007395527	11	12.25	0.5711	0.0	4.37	3
NCpi0	359980	21001	22	115.328028770189	29.970058614530252	4	0	0.0	0.0	0.0	3
NCpi0	37112	67049	0	103.04409721767033	22.31673326468073	3	0	0.0	0.0	9.9	2
NCpi0	37112	9008	1	775.271233914003	136.4352227248133	35	14.37	0.1053	0.0	17.46	2
NCpi0	37112	84079	14	225.83573590583802	33.46445231350877	3	0	0.0	0.0	16.4	1
NCpi0	399860	17110	0	1022.1915135092968	266.80971982097935	42	10.4	0.039	0.0	27.16	1
NCpi0	463565	13018	0	1031.501794546893	259.3450227139362	51	5.13	0.0198	0.0	13.97	1
NCpi0	506114	19016	0	1839.0892525016195	375.5479648033794	64	22.67	0.0604	0.0315	23.81	2
NCpi0	506746	69114	6	1057.073631509187	264.42970769083115	51	42.89	0.1622	0.0	12.44	2
NCpi0	506746	21050	16	101.71830480003356	19.691572908942554	6	1.32	0.0672	0.0	10.04	1
NCpi0	521075	18007	0	674.5074609240411	126.96744897318369	18	7.9	0.0622	0.0	27.74	2
NCpi0	56982	22111	2	336.99630965302043	60.98234896508366	7	0.98	0.016	0.0	0.0	1
NCpi0	56982	22113	3	194.82857015619172	30.211363155658063	5	4.04	0.1338	0.0	0.0	1
NCpi0	56982	22114	4	307.87541428693794	65.13449212071357	13	1.4	0.0214	0.0	3.33	1
NCpi0	56982	22022	7	139.81287554944797	11.130617777898575	3	0.88	0.079	0.0	0.0	1
NCpi0	71372	19020	1	1974.5613987921297	589.9894251651227	99	66.83	0.1133	0.067	21.09	2
NCpi0	84229	69125	0	1000.9663277308077	269.2634891149034	51	38.38	0.1426	0.0378	16.41	2
