ev	seg	pdg	verdict	kept	len_cm	mdqdx	p90dqdx	score	declined	key
42280	43090	13	UNL	1	2.04	0.75	0.937	100.0	0	0
42280	45092	2212	UNL	1	0.85	1.191	1.326	100.0	0	0
42280	46093	13	UNL	1	0.48	0.499	0.528	100.0	0	0
42280	48095	2212	UNL	1	0.16	1.606	1.725	100.0	0	0
42280	49096	13	UNL	1	0.33	0.721	0.854	100.0	0	0
42280	55105	2212	UNL	1	0.59	1.736	1.972	100.0	0	0
42280	98109	13	UNL	1	3.5	1.992	3.03	0.04074978455329005	0	0
42280	106117	13	UNL	1	0.38	0.904	0.967	100.0	0	0
46363	50097	13	UNL	1	0.94	1.004	1.196	100.0	0	0
46363	51098	2212	UNL	1	0.51	1.732	1.799	100.0	0	0
46363	53100	13	UNL	1	0.2	0.772	0.778	100.0	0	0
46363	54101	2212	UNL	1	0.23	1.85	2.029	100.0	0	0
46363	56103	13	UNL	1	0.54	1.017	1.047	100.0	0	0
46363	58105	2212	UNL	1	2.59	1.93	2.06	100.0	0	0
46363	64111	2212	UNL	1	0.51	1.153	1.366	100.0	0	0
46363	65112	13	UNL	1	2.39	0.86	0.876	100.0	0	0
46363	70117	13	UNL	1	0.86	0.983	1.156	100.0	0	0
46363	75126	2212	UNL	1	3.53	1.292	1.601	100.0	0	0
46363	79130	13	UNL	1	0.6	0.872	0.879	100.0	0	0
46363	83134	13	UNL	1	0.6	1.156	1.159	100.0	0	0
46363	89148	13	UNL	1	8.04	1.049	1.395	100.0	0	0
52044	43017	13	UNL	1	0.28	0.642	0.823	100.0	0	0
52044	50024	13	UNL	1	0.33	0.37	0.4	100.0	0	0
52605	52021	13	UNL	1	2.5	2.115	3.013	0.26641877531862307	0	0
52693	29008	13	OUT	1	34.26	0.906	1.269	0.4346035173590748	1	1
52693	56031	2212	UNL	1	4.84	1.579	2.489	100.0	0	1
52693	57032	13	UNL	1	0.88	0.827	0.848	100.0	0	1
54095	48084	13	UNL	0	0.99	1.021	1.263	100.0	0	0
54095	54090	13	UNL	0	0.73	0.534	0.55	100.0	0	0
54095	57093	13	UNL	0	0.24	0.173	0.192	100.0	0	0
54095	58094	13	UNL	0	0.8	0.825	0.923	100.0	0	0
54095	59095	13	UNL	0	0.58	0.65	0.693	100.0	0	0
54095	60096	13	UNL	0	1.04	0.843	1.134	100.0	0	0
54095	61097	2212	UNL	0	0.44	1.749	1.784	100.0	0	0
54095	62098	13	UNL	0	0.4	0.621	0.729	100.0	0	0
54095	67103	2212	UNL	0	0.74	1.253	1.313	100.0	0	0
54095	71107	13	UNL	0	2.15	0.537	0.715	100.0	0	0
54095	74110	13	UNL	0	0.34	0.835	0.956	100.0	0	0
54095	76112	13	UNL	0	1.31	1.006	1.206	100.0	0	0
54095	78114	13	UNL	0	0.76	1.034	1.097	100.0	0	0
54095	89119	13	UNL	0	3.19	1.242	1.302	100.0	0	0
54095	94131	13	UNL	0	0.35	0.619	0.642	100.0	0	0
54095	95132	13	UNL	0	7.53	1.218	1.44	100.0	0	0
54095	97134	13	UNL	0	0.37	0.645	0.736	100.0	0	0
56972	45018	13	UNL	1	0.88	0.49	0.497	100.0	0	0
56982	51050	13	UNL	0	1.74	1.711	2.611	0.38522302571511713	0	0
56982	53052	13	UNL	1	0.35	0.732	0.791	100.0	0	0
56982	54053	13	UNL	1	0.24	1.004	1.005	100.0	0	0
56982	55054	13	UNL	0	0.28	0.828	0.879	100.0	0	0
56982	56055	13	UNL	1	0.02	0.691	0.697	100.0	0	0
56982	58057	13	UNL	1	0.34	0.831	0.858	100.0	0	0
56982	60059	13	UNL	1	0.56	2.425	2.748	0.23955261930488436	0	0
56982	61060	13	UNL	1	0.47	1.036	1.209	100.0	0	0
56982	62061	13	UNL	1	0.42	1.174	1.232	100.0	0	0
56982	65064	2212	UNL	1	0.9	1.36	1.445	100.0	0	0
56982	68067	13	UNL	1	0.58	1.114	1.119	100.0	0	0
56982	89108	13	UNL	1	0.57	0.417	0.452	100.0	0	0
56982	90109	13	UNL	1	3.46	0.844	1.302	100.0	0	0
58006	40025	13	UNL	1	0.56	0.703	0.741	100.0	0	0
58006	57032	13	UNL	1	0.23	1.101	1.178	100.0	0	0
64409	37044	13	UNL	1	1.44	2.021	2.671	0.3214258077991085	0	0
64409	38045	13	UNL	1	0.33	0.595	0.705	100.0	0	0
64409	39046	13	UNL	1	0.31	0.69	0.722	100.0	0	0
64409	42049	13	UNL	1	0.44	0.434	0.456	100.0	0	0
64409	44051	13	UNL	1	0.18	0.646	0.703	100.0	0	0
64409	45052	13	UNL	1	1.65	1.146	1.266	100.0	0	0
64409	48055	13	UNL	1	0.34	0.812	0.909	100.0	0	0
64409	49056	13	UNL	1	0.37	0.74	0.911	100.0	0	0
64409	50057	13	UNL	1	0.36	0.797	0.853	100.0	0	0
64409	51058	13	UNL	1	0.33	1.065	1.112	100.0	0	0
64409	55075	13	UNL	1	2.14	0.54	0.594	100.0	0	0
64409	56076	13	UNL	1	0.6	1.021	1.226	100.0	0	0
64409	58082	13	UNL	1	1.36	0.882	1.099	100.0	0	0
69232	62018	13	UNL	1	0.46	0.766	0.885	100.0	0	0
69254	29012	13	UNL	0	0.36	0.555	0.555	100.0	0	0
69254	33016	13	UNL	1	2.83	0.959	1.509	100.0	0	0
69314	41030	13	UNL	1	0.27	0.478	0.524	100.0	0	0
69314	43032	13	UNL	1	0.3	0.427	0.462	100.0	0	0
74544	31060	13	UNL	1	1.12	1.204	1.433	100.0	0	0
74544	32061	13	UNL	1	0.87	1.037	1.089	100.0	0	0
74544	34063	13	UNL	1	0.81	1.051	1.074	100.0	0	0
74544	35064	13	UNL	1	0.95	1.046	1.079	100.0	0	0
74544	41070	13	UNL	1	0.25	1.052	1.093	100.0	0	0
74544	42071	13	UNL	1	0.6	0.871	0.953	100.0	0	0
74544	45080	13	UNL	1	2.78	1.418	2.875	0.44847364084674873	0	0
74544	55083	2212	UNL	1	0.13	1.526	1.53	100.0	0	0
76346	37027	2212	IN	0	0.23	1.739	1.745	100.0	0	0
76346	38028	2212	IN	0	0.34	1.353	1.449	100.0	0	0
76346	49044	211	IN	1	3.54	0.592	0.899	100.0	0	0
76346	49051	13	IN	1	14.07	1.145	1.886	100.0	0	0
76350	45039	13	UNL	1	0.56	0.793	0.827	100.0	0	0
76350	47041	13	UNL	1	1.2	0.945	1.181	100.0	0	0
76350	62056	13	UNL	1	2.48	0.966	1.161	100.0	0	0
76350	66060	13	UNL	1	0.54	0.338	0.405	100.0	0	0
76350	67061	13	UNL	1	0.32	0.385	0.446	100.0	0	0
76350	68062	13	UNL	1	1.76	0.937	1.326	100.0	0	0
76350	96080	2212	UNL	1	3.5	5.027	5.382	0.24766071414182417	0	0
77328	36012	2212	UNL	1	16.52	2.776	3.828	0.04759265016279156	1	1
81597	19040	211	UNL	1	0.9	0.353	0.371	100.0	0	0
81597	19102	211	UNL	1	1.7	0.856	1.797	1.838773110456468	0	0
81597	89051	13	UNL	1	0.59	1.267	1.282	100.0	0	0
81597	90052	13	UNL	1	0.22	0.416	0.485	100.0	0	0
81597	97059	13	UNL	1	1.04	0.904	0.982	100.0	0	0
81597	99061	2212	UNL	1	0.56	1.366	1.415	100.0	0	0
81597	108070	2212	UNL	1	0.22	1.249	1.378	100.0	0	0
81597	111073	13	UNL	1	3.55	1.626	2.821	0.38940975108209697	0	0
81597	112075	13	UNL	1	2.57	1.16	1.606	100.0	0	0
81597	112076	211	UNL	1	2.31	1.009	1.537	100.0	0	0
81597	119098	13	UNL	1	6.48	1.021	1.323	100.0	0	0
90055	97056	2212	UNL	1	0.47	1.445	1.45	100.0	0	0
90055	98057	13	UNL	1	0.17	1.216	1.255	100.0	0	0
90055	99058	13	UNL	1	0.16	0.835	1.014	100.0	0	0
90055	100059	2212	UNL	1	1.35	1.483	1.484	100.0	0	0
90055	127086	13	UNL	1	0.32	0.496	0.568	100.0	0	0
90055	136096	13	UNL	1	0.5	0.932	1.126	100.0	0	0
90055	137106	211	UNL	1	3.87	0.797	0.932	100.0	0	0
90055	137108	13	UNL	1	4.17	0.898	1.303	100.0	0	0
90055	140111	13	UNL	1	1.58	0.973	1.279	100.0	0	0
90055	142127	2212	UNL	1	0.43	1.244	1.682	100.0	0	0
90055	142129	13	UNL	1	8.61	0.887	1.225	100.0	0	0
94392	45029	13	OUT	1	29.75	0.815	1.156	100.0	1	1
94392	45030	13	OUT	1	46.85	1.08	1.84	0.09228865865145094	1	1
96383	37015	2212	UNL	1	0.43	1.299	1.368	100.0	0	0
96383	43021	2212	UNL	1	0.1	2.491	2.531	100.0	0	0
98844	50027	13	UNL	1	1.82	1.632	3.317	0.4410239511337005	0	0
98844	54031	2212	UNL	1	0.32	1.928	1.946	100.0	0	0
100135	42015	13	UNL	1	4.35	1.026	1.247	100.0	0	0
100222	79066	13	UNL	1	0.79	1.137	1.25	100.0	0	0
100222	81068	13	UNL	1	1.23	0.933	1.113	100.0	0	0
100222	114196	13	UNL	1	0.56	1.135	1.193	100.0	0	0
111412	55036	13	UNL	1	0.41	0.651	0.976	100.0	0	0
111412	59040	13	UNL	1	1.71	0.864	1.146	100.0	0	0
111412	62043	13	UNL	1	0.63	0.544	0.55	100.0	0	0
111412	63044	13	UNL	1	0.38	0.694	0.907	100.0	0	0
111412	67049	211	UNL	1	2.2	3.127	3.65	0.1840364293400603	0	0
111412	67050	13	UNL	1	4.26	0.4	1.42	100.0	0	0
116962	52026	13	UNL	1	0.48	0.777	0.788	100.0	0	0
116962	54028	13	UNL	1	0.2	1.043	1.048	100.0	0	0
116962	56032	13	UNL	1	3.03	0.902	1.042	100.0	0	0
116962	59040	13	UNL	1	1.11	0.694	1.327	100.0	0	0
116962	60041	13	UNL	1	0.3	0.831	0.981	100.0	0	0
116962	62043	2212	UNL	1	1.01	1.381	1.51	100.0	0	0
122660	25027	13	UNL	1	0.39	0.555	0.556	100.0	0	0
122660	26028	2212	UNL	1	0.39	1.14	1.409	100.0	0	0
122660	41043	13	UNL	1	0.26	0.249	0.251	100.0	0	0
122660	42044	2212	UNL	1	1.05	1.569	1.623	100.0	0	0
122660	43045	13	UNL	1	0.6	0.617	0.669	100.0	0	0
122660	44046	13	UNL	1	1.49	1.186	1.249	100.0	0	0
122660	57082	13	UNL	1	2.5	1.095	1.124	100.0	0	0
122660	57083	13	UNL	1	2.36	0.896	1.031	100.0	0	0
122660	57087	2212	UNL	1	2.94	3.075	3.939	0.2425641226472714	0	0
122660	57088	13	UNL	1	2.76	0.618	1.194	100.0	0	0
122660	64108	13	UNL	1	0.44	0.666	0.685	100.0	0	0
131357	51036	13	UNL	1	0.95	0.964	0.985	100.0	0	0
131357	52037	13	UNL	0	0.52	0.713	0.734	100.0	0	0
131357	56041	13	UNL	1	0.31	0.47	0.559	100.0	0	0
131357	57042	2212	UNL	1	0.29	1.971	1.983	100.0	0	0
131357	58043	13	UNL	1	0.27	0.886	0.982	100.0	0	0
131357	59044	13	UNL	1	0.63	0.862	0.888	100.0	0	0
131357	102047	13	UNL	1	2.57	0.922	0.947	100.0	0	0
131357	102054	211	UNL	1	1.71	0.895	1.099	100.0	0	0
131357	102056	13	UNL	1	5.58	0.79	1.009	100.0	0	0
131357	103058	13	UNL	1	2.92	0.361	0.368	100.0	0	0
131357	104059	13	UNL	1	2.38	1.058	1.385	100.0	0	0
131357	107064	13	UNL	1	3.38	0.507	0.559	100.0	0	0
131357	110067	2212	UNL	1	0.36	1.613	1.635	100.0	0	0
131357	111068	13	UNL	1	3.67	1.345	2.45	0.22766598393583518	0	0
131357	112069	13	UNL	1	0.73	2.41	2.932	0.2301202699770178	0	0
137238	7007	13	UNL	0	16.59	0.894	1.282	100.0	1	0
137238	44016	13	UNL	1	0.17	0.752	0.752	100.0	0	0
137238	45017	13	UNL	1	0.24	0.4	0.428	100.0	0	0
137238	46018	13	UNL	1	2.08	1.056	1.332	100.0	0	0
137238	47019	13	UNL	1	0.16	1.157	1.193	100.0	0	0
137238	49021	13	UNL	1	1.07	0.577	0.603	100.0	0	0
137238	145067	13	UNL	1	16.62	0.911	1.212	100.0	1	0
138009	37029	13	UNL	0	0.36	0.401	0.449	100.0	0	0
138009	38030	13	UNL	0	0.13	0.834	0.865	100.0	0	0
138009	42034	13	UNL	0	0.06	0.787	0.862	100.0	0	0
138009	43035	13	UNL	0	0.55	0.661	0.683	100.0	0	0
138009	44036	13	UNL	0	0.78	0.85	0.927	100.0	0	0
138009	45037	13	UNL	0	0.73	0.899	0.935	100.0	0	0
138009	46038	13	UNL	0	0.3	0.381	0.394	100.0	0	0
138009	47039	2212	UNL	0	0.85	1.577	1.618	100.0	0	0
138009	63055	13	UNL	0	6.43	1.422	2.551	0.30528027936467894	0	0
163543	27050	13	UNL	1	2.15	1.13	1.571	100.0	0	0
163543	28051	13	UNL	1	0.33	0.704	0.726	100.0	0	0
163543	29052	13	UNL	1	1.06	1.105	1.402	100.0	0	0
163543	30053	13	UNL	1	0.86	1.183	1.258	100.0	0	0
163543	31054	13	UNL	1	0.32	0.786	0.81	100.0	0	0
163543	32055	13	UNL	1	1.31	1.202	1.333	100.0	0	0
163543	35058	13	UNL	1	0.48	0.656	0.672	100.0	0	0
163543	36059	2212	UNL	1	0.01	2.119	2.128	100.0	0	0
163543	38061	13	UNL	1	0.27	0.408	0.464	100.0	0	0
163543	39062	13	UNL	1	0.31	0.578	0.662	100.0	0	0
163543	42065	13	UNL	1	0.21	0.595	0.6	100.0	0	0
163543	50073	13	UNL	1	0.57	0.692	0.864	100.0	0	0
163543	51074	13	UNL	1	1.07	0.699	0.768	100.0	0	0
163543	52075	13	UNL	1	0.53	0.961	1.178	100.0	0	0
163543	53076	2212	UNL	1	1.75	1.254	1.448	100.0	0	0
163543	54077	13	UNL	1	0.31	0.801	0.889	100.0	0	0
163543	56079	13	UNL	1	0.48	0.625	0.627	100.0	0	0
163543	59082	13	UNL	1	0.09	0.883	0.942	100.0	0	0
163543	66089	13	UNL	1	0.1	0.973	0.982	100.0	0	0
163543	67090	13	UNL	1	0.33	0.709	0.918	100.0	0	0
163543	70099	13	UNL	1	0.4	0.691	0.978	100.0	0	0
163543	72115	13	UNL	1	3.42	0.958	1.139	100.0	0	0
163543	74121	13	UNL	1	0.39	0.632	0.735	100.0	0	0
165157	43016	13	UNL	0	1.14	0.961	1.438	100.0	0	0
168432	40008	2212	OUT	0	0.66	1.266	1.307	100.0	0	0
168596	59081	13	UNL	1	0.33	0.49	0.513	100.0	0	0
168596	60082	13	IN	0	2.59	0.517	0.621	100.0	0	0
168596	62084	13	UNL	1	0.3	0.494	0.526	100.0	0	0
168596	64086	2212	IN	0	0.54	1.417	1.426	100.0	0	0
168596	67089	2212	IN	0	1.1	1.867	2.172	100.0	0	0
168596	77099	13	UNL	1	0.7	0.909	0.919	100.0	0	0
168596	80102	13	IN	0	0.16	0.524	0.572	100.0	0	0
168596	81103	13	UNL	1	0.36	1.023	1.101	100.0	0	0
168596	83105	13	UNL	1	0.74	1.1	1.186	100.0	0	0
168596	85107	2212	IN	0	0.33	1.331	1.473	100.0	0	0
168596	86108	13	UNL	1	0.42	0.442	0.474	100.0	0	0
168596	88110	2212	IN	0	0.8	1.515	1.601	100.0	0	0
168596	89111	13	UNL	1	1.08	0.834	0.977	100.0	0	0
168596	90112	13	IN	0	0.09	0.726	0.763	100.0	0	0
168596	92114	13	IN	0	0.32	1.022	1.137	100.0	0	0
168596	93115	13	UNL	1	0.43	0.325	0.343	100.0	0	0
168596	94116	13	IN	0	0.72	0.445	0.447	100.0	0	0
168596	120121	2212	UNL	1	0.35	1.302	1.35	100.0	0	0
168596	121122	13	UNL	1	0.35	0.816	0.886	100.0	0	0
168596	129139	13	UNL	1	2.88	0.552	1.522	100.0	0	0
168596	129143	13	UNL	1	2.72	0.948	1.312	100.0	0	0
168596	131145	2212	UNL	1	0.5	1.494	1.497	100.0	0	0
169626	54078	13	UNL	1	0.49	0.949	0.99	100.0	0	0
169626	55079	13	UNL	1	0.21	1.025	1.05	100.0	0	0
169626	56080	13	UNL	1	0.31	0.531	0.577	100.0	0	0
169626	57081	2212	UNL	1	0.38	1.005	1.28	100.0	0	0
169626	59083	13	UNL	1	0.33	0.338	0.343	100.0	0	0
170761	35038	13	UNL	1	0.27	0.885	0.918	100.0	0	0
170761	36039	13	UNL	1	0.31	0.545	0.615	100.0	0	0
170761	38041	13	UNL	1	0.25	0.667	0.694	100.0	0	0
170761	40043	13	UNL	1	0.71	0.541	0.554	100.0	0	0
170761	41044	13	UNL	1	0.7	1.023	1.077	100.0	0	0
171143	51015	2212	UNL	1	0.57	1.458	1.5	100.0	0	0
171143	56020	13	UNL	1	0.24	0.58	0.611	100.0	0	0
171143	70030	13	UNL	1	0.48	0.693	0.838	100.0	0	0
171729	20012	13	UNL	1	0.85	1.122	1.245	100.0	0	0
172230	24045	13	UNL	0	0.46	0.378	0.381	100.0	0	0
172230	26047	13	UNL	0	0.63	0.684	0.691	100.0	0	0
172230	27048	13	UNL	0	0.59	0.402	0.403	100.0	0	0
172230	29050	13	UNL	0	2.51	2.384	3.21	0.08449025594656022	0	0
172230	30051	13	UNL	0	0.16	0.967	0.975	100.0	0	0
172230	31052	13	UNL	0	0.36	0.387	0.401	100.0	0	0
172230	32053	13	UNL	0	0.37	0.635	0.641	100.0	0	0
172230	33054	13	UNL	0	0.3	1.121	1.166	100.0	0	0
172230	34055	13	UNL	0	2.92	1.04	1.3	100.0	0	0
172230	35056	13	UNL	0	0.34	0.46	0.489	100.0	0	0
172230	36057	13	UNL	0	0.31	0.754	0.763	100.0	0	0
172230	37058	13	UNL	0	0.47	0.536	0.677	100.0	0	0
172230	43064	2212	UNL	0	0.9	1.125	1.314	100.0	0	0
172230	45066	13	UNL	0	1.31	0.842	1.476	100.0	0	0
172230	46067	13	UNL	0	0.43	0.701	0.715	100.0	0	0
172230	47068	13	UNL	0	0.1	0.884	0.92	100.0	0	0
172230	51072	13	UNL	0	0.54	0.769	0.824	100.0	0	0
172230	54075	13	UNL	0	0.14	0.757	0.762	100.0	0	0
172230	66099	13	UNL	0	7.54	0.893	1.566	100.0	0	0
172230	67108	211	UNL	0	6.33	1.617	3.197	0.08782180164564116	0	0
172230	67109	13	UNL	0	6.52	1.004	1.597	100.0	0	0
172230	68116	13	UNL	0	3.61	0.625	0.863	100.0	0	0
173819	38038	2212	UNL	1	37.81	2.549	3.777	0.16952131006462787	1	1
174637	25050	13	UNL	0	0.24	0.99	1.054	100.0	0	0
174637	26051	13	UNL	0	0.34	0.699	0.751	100.0	0	0
174637	27052	13	UNL	0	0.4	0.746	0.775	100.0	0	0
174637	29054	2212	UNL	0	1.43	1.334	1.453	100.0	0	0
174637	30055	2212	UNL	0	0.57	1.406	1.741	100.0	0	0
174637	33058	13	UNL	0	0.56	1.25	1.283	100.0	0	0
174637	34059	13	UNL	0	0.41	0.375	0.398	100.0	0	0
174637	40066	13	UNL	0	2.97	2.095	3.21	0.11949600156452751	0	0
174637	41075	13	UNL	0	0.35	0.65	0.713	100.0	0	0
174637	42076	13	UNL	0	0.82	0.611	0.634	100.0	0	0
174637	43077	13	UNL	0	1.39	0.928	1.02	100.0	0	0
174637	46087	13	UNL	0	4.88	1.104	1.708	100.0	0	0
175896	66037	2212	OUT	1	5.57	2.025	2.385	100.0	0	0
175896	66041	2212	OUT	1	17.58	2.833	3.154	0.07091743122549056	1	0
176502	20001	2212	UNL	1	6.53	3.34	4.177	0.03941509064055894	0	0
176502	20005	13	UNL	1	5.19	2.494	3.097	0.1431884857192658	0	0
176502	71034	13	UNL	1	0.3	0.532	0.585	100.0	0	0
176502	76039	2212	UNL	1	0.36	1.358	1.441	100.0	0	0
176502	78041	13	UNL	1	0.49	0.529	0.596	100.0	0	0
176502	83046	13	UNL	1	0.55	3.537	3.84	0.16049872616642322	0	0
176502	84047	13	UNL	1	0.39	1.099	1.133	100.0	0	0
176502	90053	13	UNL	1	0.45	0.761	0.846	100.0	0	0
176502	92055	13	UNL	1	0.2	0.977	1.156	100.0	0	0
176502	95058	13	UNL	1	0.34	0.556	0.65	100.0	0	0
176502	98061	13	UNL	1	0.4	0.144	0.163	100.0	0	0
176502	104067	2212	UNL	1	2.92	2.533	2.662	100.0	0	0
176502	106069	13	UNL	1	2.31	1.863	2.248	0.309171507531683	0	0
176502	107070	13	UNL	1	0.58	0.535	0.583	100.0	0	0
176502	109123	13	UNL	1	28.04	0.917	1.209	0.6934214221653497	1	0
176502	131203	13	UNL	1	0.19	1.01	1.077	100.0	0	0
176502	144216	13	UNL	1	0.57	0.741	0.766	100.0	0	0
176502	153270	13	UNL	1	1.37	0.931	0.931	100.0	0	0
176502	169292	13	UNL	1	3.16	0.988	1.248	100.0	0	0
176533	30045	13	UNL	0	0.39	0.681	0.703	100.0	0	0
176533	34049	13	UNL	0	0.15	1.216	1.219	100.0	0	0
176533	36051	13	UNL	1	0.23	0.663	0.675	100.0	0	0
176533	37052	13	UNL	1	0.35	0.489	0.5	100.0	0	0
176533	39054	13	UNL	1	0.62	1.006	1.017	100.0	0	0
176533	42057	13	UNL	1	0.2	0.718	0.732	100.0	0	0
176533	43058	2212	UNL	1	0.58	1.454	1.572	100.0	0	0
176533	45060	13	UNL	1	0.46	0.529	0.593	100.0	0	0
176533	46061	13	UNL	1	0.61	0.224	0.245	100.0	0	0
176533	48063	13	UNL	1	0.38	0.621	0.663	100.0	0	0
176533	49064	13	UNL	1	0.38	0.783	0.881	100.0	0	0
176533	50065	13	UNL	1	0.19	0.819	0.855	100.0	0	0
176533	53068	13	UNL	1	0.17	0.868	0.882	100.0	0	0
176533	54069	13	UNL	1	0.48	0.494	0.505	100.0	0	0
176533	56071	2212	UNL	1	0.23	1.418	1.478	100.0	0	0
176533	70074	13	UNL	1	1.77	0.745	0.828	100.0	0	0
176533	71077	13	UNL	1	5.06	0.887	1.164	100.0	0	0
176533	72079	211	UNL	1	0.0	-1.0	-1.0	100.0	0	0
176533	73080	2212	UNL	1	0.35	1.143	1.309	100.0	0	0
180801	82044	13	UNL	1	0.76	1.161	1.176	100.0	0	0
196649	34080	13	UNL	1	0.2	0.481	0.494	100.0	0	0
196649	36082	13	UNL	1	0.34	0.659	0.669	100.0	0	0
196649	38084	2212	UNL	1	1.15	3.124	3.152	100.0	0	0
196649	41087	13	UNL	1	0.81	0.688	0.714	100.0	0	0
196649	42088	13	UNL	1	1.52	0.715	0.856	100.0	0	0
196649	45091	13	UNL	1	0.4	0.382	0.476	100.0	0	0
196649	47093	2212	UNL	1	3.05	2.759	2.842	100.0	0	0
196649	48094	13	UNL	1	1.54	0.822	0.885	100.0	0	0
196649	53099	13	UNL	1	2.6	1.649	2.531	0.2972859070895944	0	0
196649	67100	13	UNL	1	1.02	1.028	1.207	100.0	0	0
196649	68112	13	UNL	1	8.7	0.705	0.928	100.0	0	0
