event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra
171572	?	85025	85025	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	377378.8000	377378.8000	0	0	2		
173495	?	26021	26021	5	4	4	1	0	0.8000	1.0000	0.8644	1.0000	0.9273	1726242.5000	1492166.3000	234076.2000	0	0	97017	
174771	?	85085	85085	5	4	4	1	0	0.8000	1.0000	0.7847	1.0000	0.8794	2128634.9952	1670301.9000	458333.0952	0	0	85058	
175896	?	17044	17044	1	3	1	0	2	1.0000	0.3333	1.0000	0.1957	0.3274	859323.2000	4390215.2000	0	3530892.0000	0		66037,66041
179048	?	17012	17012	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	2479509.8000	2479509.8000	0	0	2		
179369	?	17002	-1	1	0	0	1	0	0.0000	-	0.0000	-	-	914888.7760	0	914888.7760	0	9	17002	
181050	?	15006	15006	20	13	13	7	0	0.6500	1.0000	0.6893	1.0000	0.8161	5689989.8000	3922001.1000	1767988.7000	0	3	54014,58018,61021,68031,68032,68034,69039	
278420	?	61027	61027	10	17	10	0	7	1.0000	0.5882	1.0000	0.7335	0.8462	1734497.5000	2364808.7000	0	630311.2000	0		67033,68034,69035,70036,73039,75041,78044
281325	?	42039	42039	11	2	2	9	0	0.1818	1.0000	0.6214	1.0000	0.7665	2830221.2000	1758568.9000	1071652.3000	0	3	27016,28017,29018,30019,32021,33022,41034,41036,43040	
282271	?	6063	6063	4	3	3	1	0	0.7500	1.0000	0.9355	1.0000	0.9667	2574647.0000	2408601.5000	166045.5000	0	0	6004	
282979	?	14003	14003	3	3	3	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	2043069.6000	2043069.6000	0	0	10		
283515	?	23009	-1	1	0	0	1	0	0.0000	-	0.0000	-	-	1964650.4875	0	1964650.4875	0	14	23009	
284206	?	10051	10051	4	1	1	3	0	0.2500	1.0000	0.3564	1.0000	0.5255	3528397.4000	1257601.8000	2270795.6000	0	0	10052,10054,10056	
286655	?	79023	19006	6	10	6	0	4	1.0000	0.6000	1.0000	0.6668	0.8001	2713441.7000	4069192.2000	0	1355750.5000	1		67016,69018,81062,82063
286681	?	3012	3012	1	1	1	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	2381985.5000	2381985.5000	0	0	1		
287007	?	22001	22001	4	3	3	1	0	0.7500	1.0000	0.9463	1.0000	0.9724	3013706.4000	2851746.1000	161960.3000	0	0	58030	
289246	?	63034	63034	25	23	23	2	0	0.9200	1.0000	0.8767	1.0000	0.9343	4195262.8000	3678078.8000	517184.0000	0	0	77063,77064	
291072	?	21023	21023	33	31	31	2	0	0.9394	1.0000	0.9781	1.0000	0.9889	9975738.7000	9757624.6000	218114.1000	0	0	72069,73070	
293149	?	4001	4001	14	10	9	5	1	0.6429	0.9000	0.9367	0.9800	0.9579	4691243.0000	4484025.2000	296969.7000	89751.9000	6	27006,29008,30009,31010,33012	32011
294174	?	71067	71067	9	7	7	2	0	0.7778	1.0000	0.7741	1.0000	0.8726	2816824.6000	2180393.9000	636430.7000	0	0	64059,64065	
318769	?	19003	19003	3	2	2	1	0	0.6667	1.0000	0.3886	1.0000	0.5597	4469602.9616	1737040.0000	2732562.9616	0	2	19005	
347085	?	72066	72066	17	15	15	2	0	0.8824	1.0000	0.9807	1.0000	0.9903	3671035.2000	3600331.8000	70703.4000	0	0	31017,41027	
347824	?	24112	107060	22	22	22	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	7175679.7000	7175679.7000	0	0	1		
348471	?	60026	60026	17	18	16	1	2	0.9412	0.8889	0.9343	0.8908	0.9120	6234013.2000	6538557.5000	409746.1000	714290.4000	3	38018	39019,63051
