setname	sample	event	labelsrc	origin	theta_deg	e1_prod	e2_prod	m_prod	R_prod	A_prod	mark_in1	mark_out1	mark_in2	mark_out2	d1_arm	d2_arm	m_marks	R_marks	in_window	in_window_marks	has_marks	accepted
98	ncpi0	259542	overlay	ncpi0	27.524	993.0	138.7	176.5	1.994	0.656	0	0	0	0	0.0	0.0	176.5	1.994	0	0	0	0
98	nuecc48	269774	base	nuecc	18.528	916.7	257.2	156.3	1.4	0.827	0	77.9	90.3	0	-77.9	90.3	173.8	1.415	1	0	1	0
98	mcp1k	278794	base	ncpi0	127.532	205.8	40.6	164.0	1.637	0.742	0	0	0	0	0.0	0.0	164.0	1.637	0	0	0	0
98	mcp2k	281165	base	ncpi0	80.853	165.9	81.9	151.2	1.19	0.941	0	0	0	0	0.0	0.0	151.2	1.19	1	1	0	1
98	mcp1k	281485	base	ncpi0	93.022	73.4	29.2	67.2	0.552	0.903	0	0	0	0	0.0	0.0	67.2	0.552	0	0	0	0
98	mcp1k	281639	base	ncpi0	51.627	150.8	147.4	129.8	0.962	1.0	0	0	0	0	0.0	0.0	129.8	0.962	1	1	0	1
98	mcp1k	284235	base	ncpi0	85.151	148.6	88.8	155.4	1.19	0.968	1.6	0	16.7	0	1.6	16.7	170.4	1.282	1	0	1	1
98	ncpi0	314838	overlay	ncpi0	26.32	693.4	118.6	130.6	1.37	0.706	0	0	0	0	0.0	0.0	130.6	1.37	1	1	0	1
98	nuecc48	342199	base	nuecc	103.576	59.6	67.4	99.6	0.739	0.998	0	0	59.3	0	0.0	59.3	136.5	1.084	0	1	1	0
98	mcp1k	347129	base	owner	86.033	143.2	64.5	131.1	1.05	0.926	0	0	0	0	0.0	0.0	131.1	1.05	1	1	0	0
98	ncpi0	359980	base	ncpi0	29.208	597.7	168.3	160.0	1.431	0.828	0	0	0	0	0.0	0.0	160.0	1.431	1	1	0	0
98	mcp2k	396222	overlay	ncpi0	37.992	2858.1	162.7	443.9	7.285	0.451	0	0	0	0	0.0	0.0	443.9	7.285	0	0	0	0
98	mcp1k	399052	base	ncpi0	43.029	399.9	117.7	159.1	1.406	0.838	0	0	0	0	0.0	0.0	159.1	1.406	1	1	0	1
98	mcp1k	409634	base	ncpi0	59.567	179.8	39.1	83.2	0.805	0.766	0	0	105.1	0	0.0	105.1	159.9	1.192	0	1	1	0
98	ncpi0	506114	base	ncpi0	33.32	1761.4	44.8	161.1	3.836	0.311	0	0	0	0	0.0	0.0	161.1	3.836	0	0	0	0
141	mcp1k	54341	base	other_em	46.528	244.7	23.7	60.2	0.785	0.567	98.6	0	23.9	0	147.2	46.6	131.1	1.352	0	1	1	0
141	mcp1k	56243	base	numucc_em	91.222	130.0	112.2	172.6	1.283	0.997	0	0	0	0	0.0	0.0	172.6	1.283	0	0	0	0
141	mcp2k	57709	base	other_em	68.15	195.1	98.5	155.3	1.219	0.944	0	0	0	0	0.0	0.0	155.3	1.219	1	1	0	1
141	mcp1k	71178	base	other_em	17.986	106.7	63.3	25.7	0.197	0.967	0	0	0	0	0.0	0.0	25.7	0.197	0	0	0	0
141	mcp2k	71872	base	numucc_em	106.506	200.6	19.9	101.1	1.309	0.573	0	0	0	0	0.0	0.0	101.1	1.309	1	1	0	0
141	mcp2k	74123	base	numucc_em	98.068	159.6	60.3	148.1	1.23	0.892	0	0	0	0	0.0	0.0	148.1	1.23	1	1	0	0
141	mcp2k	91917	base	numucc_em	81.462	191.9	54.5	133.5	1.191	0.83	11.7	0	0	0	11.7	0.0	137.5	1.248	1	1	1	1
141	mcp2k	99782	base	numucc_em	104.091	158.6	65.9	161.2	1.311	0.911	0	0	0	0	0.0	0.0	161.2	1.311	0	0	0	0
141	mcp2k	103798	base	other_em	38.159	134.8	104.0	77.4	0.578	0.992	0	0	0	0	0.0	0.0	77.4	0.578	0	0	0	0
141	mcp1k	168432	base	numucc_em	18.427	259.1	124.5	57.5	0.455	0.936	0	0	20.4	6.1	0.0	14.4	60.7	0.472	0	0	1	0
141	mcp2k	242726	base	numucc_em	98.572	116.1	67.8	134.5	1.033	0.965	0	0	0	0	0.0	0.0	134.5	1.033	1	1	0	1
141	mcp2k	280159	base	numucc_em	44.14	79.7	139.0	79.1	0.609	0.962	0	0	0	0	0.0	0.0	79.1	0.609	0	0	0	0
141	mcp1k	280972	overlay	numucc_em	17.141	625.6	127.3	84.1	0.831	0.75	0	0	0	0	0.0	0.0	84.1	0.831	0	0	0	0
141	mcp1k	283713	base	numucc_em	90.565	163.9	27.1	94.8	1.006	0.698	0	0	0	0	0.0	0.0	94.8	1.006	0	0	0	1
141	mcp1k	285443	base	numucc_em	104.434	282.2	37.1	161.7	1.87	0.641	0	0	0	0	0.0	0.0	161.7	1.87	0	0	0	0
141	mcp1k	286655	overlay	nuecc	67.783	236.7	201.3	243.5	1.81	0.997	0	0	0	0	0.0	0.0	243.5	1.81	0	0	0	0
141	mcp1k	292027	base	numucc_em	72.838	259.1	65.5	154.7	1.428	0.803	0	0	0	0	0.0	0.0	154.7	1.428	1	1	0	1
141	mcp2k	292524	base	numucc_em	61.313	305.3	40.5	113.4	1.307	0.643	0	0	0	0	0.0	0.0	113.4	1.307	1	1	0	1
141	mcp1k	348691	overlay	numucc_em	100.761	324.2	115.1	297.6	2.507	0.879	0	0	0	0	0.0	0.0	297.6	2.507	0	0	0	0
141	mcp2k	392901	overlay	other_em	55.964	196.6	106.1	135.5	1.052	0.954	0	0	0	0	0.0	0.0	135.5	1.052	1	1	0	0
141	mcp2k	397630	overlay	numucc_em	27.702	128.7	114.0	58.0	0.43	0.998	0	0	0	0	0.0	0.0	58.0	0.43	0	0	0	1
141	mcp1k	399118	base	numucc_em	113.043	143.5	56.2	149.8	1.234	0.899	0	0	0	0	0.0	0.0	149.8	1.234	1	1	0	1
141	mcp1k	400504	base	numucc_em	91.415	153.5	67.7	145.9	1.173	0.922	0	0	0	3.8	0.0	-3.8	141.8	1.153	1	1	1	1
141	mcp2k	403023	base	numucc_em	90.292	131.0	99.9	162.2	1.213	0.991	0	0	0	0	0.0	0.0	162.2	1.213	0	0	0	0
141	mcp1k	486907	overlay	other_em	37.597	457.7	154.9	171.6	1.463	0.869	0	0	0	0	0.0	0.0	171.6	1.463	0	0	0	0
141	mcp1k	489327	base	numucc_em	77.136	362.3	46.4	161.6	1.888	0.634	0	125.1	0	0	-125.1	0.0	130.8	1.31	0	1	1	1
141	mcp2k	499577	base	numucc_em	133.298	104.8	40.8	120.1	0.991	0.898	0	0	0	0	0.0	0.0	120.1	0.991	1	1	0	1
