event	truth	frac_wanted	keep_node	cand_node	conn1	conn2	mv1	mv2	len1	len2	gap	gap_exact	angle_fold	nstep	ngood	nbad	badrun	cont_frac	qmed	qfrac	dqdx_frag	dqdx_abs	t0_frag	t0_abs	walked	ax15_ang	ax100_ang	ax_d	jx15_ang	jx100_ang	jx_d
10550	DISTINCT	0.0	7036	19040	1	3	1	0	150.2	0.5	16.65	16.65	58.91	27	0	27	27	0.0	0.0	0.037	6552.0	3450.2	1.2	1.2	1	7.82	11.9	144.84	7.82	11.9	144.84
10550	DISTINCT	0.0	7036	27041	1	3	1	0	150.2	2.3	17.0	17.0	67.68	27	0	27	27	0.0	0.0	0.111	4786.8	4684.4	1.2	1.2	1	26.53	31.09	39.65	26.53	31.09	39.65
10550	DISTINCT	0.0	44058	40054	2	3	1	0	2.5	0.4	27.28	27.28	12.33	44	0	44	44	0.0	0.0	0.364	5894.6	3331.1	1.2	1.2	1	14.43	11.63	60.26	14.43	11.63	60.26
10550	DISTINCT	0.0	7036	44058	1	2	1	1	150.2	2.5	15.63	15.63	23.95	25	1	24	24	0.04	399.8	0.6	8473.5	10960.6	1.2	1.2	1	12.63	8.86	80.81	12.63	8.86	80.81
10550	DISTINCT	0.0	50075	44058	2	2	1	1	8.1	2.5	25.18	25.18	55.0	41	1	40	40	0.024	0.0	0.244	8473.5	5354.9	1.2	1.2	1	125.09	125.09	25.18	125.09	125.09	25.18
10550	DISTINCT	0.0	7036	45059	1	3	1	0	150.2	0.6	5.69	5.69	57.13	8	0	8	8	0.0	2357.2	0.625	5587.0	5056.9	1.2	1.2	1	13.44	9.14	89.39	13.44	9.14	89.39
10550	DISTINCT	0.0	44058	45059	2	3	1	0	2.5	0.6	18.39	18.39	65.62	30	0	30	30	0.0	0.0	0.333	5587.0	8473.5	1.2	1.2	1	86.87	106.27	18.58	86.87	106.27	18.58
10550	DISTINCT	0.0	46060	45059	3	3	0	0	0.9	0.6	3.84	3.84	89.77	5	1	4	4	0.2	0.0	0.2	5587.0	10377.6	1.2	1.2	1	36.37	36.37	4.93	30.57	30.57	4.62
10550	DISTINCT	0.0	50075	45059	2	3	1	0	8.1	0.6	9.57	9.57	77.59	15	0	15	15	0.0	1282.2	0.733	5587.0	5354.9	1.2	1.2	1	89.0	89.0	9.71	88.22	88.22	9.57
10550	DISTINCT	0.0	7036	46060	1	3	1	0	150.2	0.9	7.03	7.03	55.92	11	0	11	11	0.0	0.0	0.273	10377.6	5056.9	1.2	1.2	1	14.86	10.83	93.03	14.86	10.83	93.03
10550	DISTINCT	0.0	44058	46060	2	3	1	0	2.5	0.9	22.39	22.39	62.79	36	1	35	35	0.028	0.0	0.417	10377.6	8473.5	1.2	1.2	1	83.57	102.99	23.36	84.54	103.67	22.67
10550	DISTINCT	0.0	50075	46060	2	3	1	0	8.1	0.9	7.94	7.94	18.55	12	2	10	10	0.167	7599.2	1.0	10377.6	5354.9	1.2	1.2	1	61.21	61.21	9.54	61.21	61.21	9.54
10550	DISTINCT	0.0	7036	50075	1	2	1	1	150.2	8.1	9.49	5.46	11.91	8	2	6	6	0.25	0.0	0.25	5354.9	10037.3	1.2	1.2	1	15.28	12.3	86.52	15.52	12.62	93.74
18625	DISTINCT	0.0	17031	120024	2	3	1	0	31.3	0.3	22.32	22.32	53.97	36	0	36	36	0.0	0.0	0.333	3435.8	5061.1	1.8	1.8	1	128.97	128.97	24.14	128.97	128.97	24.14
18625	DISTINCT	0.0	121025	120024	3	3	0	0	0.8	0.3	24.54	24.54	27.49	40	2	38	37	0.05	394.3	0.5	3435.8	6095.9	1.8	1.8	1	84.95	84.95	24.6	84.95	84.95	24.6
18625	DISTINCT	0.0	127026	120024	3	3	0	0	0.9	0.3	18.48	18.48	57.25	30	0	30	30	0.0	0.0	0.233	3435.8	4117.9	1.8	1.8	1	59.87	59.87	18.9	59.87	59.87	18.9
18625	DISTINCT	0.0	129028	120024	2	3	1	0	1.4	0.3	22.63	22.63	68.33	37	0	37	37	0.0	0.0	0.405	3435.8	1154.8	1.8	1.8	1	49.21	49.21	23.5	49.21	49.21	23.5
18625	DISTINCT	0.0	17031	121025	2	3	1	0	31.3	0.8	0.16	0.16	50.41	0	0	0	0	1.0	-1.0	-1.0	6095.9	4174.8	1.8	1.8	1	84.49	84.49	0.88	18.78	18.78	0.58
18625	DISTINCT	0.0	127026	121025	3	3	0	0	0.9	0.8	6.53	6.53	72.18	10	3	7	7	0.3	5420.8	0.9	6095.9	4117.9	1.8	1.8	1	88.6	88.6	6.59	86.35	86.35	6.53
18625	DISTINCT	0.0	129028	121025	2	3	1	0	1.4	0.8	2.35	2.35	49.51	3	0	3	3	0.0	5379.6	1.0	6095.9	1154.8	1.8	1.8	1	73.4	73.4	2.45	73.4	73.4	2.45
18625	DISTINCT	0.0	17031	127026	2	3	1	0	31.3	0.9	3.71	3.71	80.57	5	0	5	5	0.0	2387.4	1.0	4117.9	5061.1	1.8	1.8	1	107.71	107.71	6.34	107.71	107.71	6.34
18625	DISTINCT	0.0	129028	127026	2	3	1	0	1.4	0.9	5.51	5.51	87.0	8	1	7	7	0.125	2814.5	0.625	4117.9	1154.8	1.8	1.8	1	33.9	33.9	6.87	30.35	30.35	6.66
18625	DISTINCT	0.0	17031	129028	2	2	1	1	31.3	1.4	1.93	1.93	75.28	2	1	1	1	0.5	10202.3	1.0	1154.8	4174.8	1.8	1.8	1	159.01	159.01	2.31	159.29	159.29	1.93
21073	UNKNOWN	0.0	31023	11008	2	1	1	1	28.5	20.1	27.74	27.74	46.11	45	3	42	42	0.067	2506.2	1.0	3837.8	4319.7	1.8	1.8	1	174.2	172.34	34.97	168.19	166.45	27.74
21073	DISTINCT	0.0	60081	11008	2	1	1	1	188.6	20.1	2.79	2.79	42.38	4	2	2	2	0.5	72312.8	1.0	4270.6	9497.4	1.8	1.8	1	172.47	179.85	3.38	118.24	113.97	2.94
21073	UNKNOWN	0.0	63100	11008	2	1	1	1	30.3	20.1	21.1	21.1	73.14	34	2	32	32	0.059	1629.5	0.794	3837.8	10406.4	1.8	1.8	1	177.32	176.76	26.33	162.72	167.46	21.1
21073	UNKNOWN	0.0	31023	28020	2	3	1	0	28.5	0.3	11.71	11.71	69.98	19	1	18	18	0.053	0.0	0.158	3675.8	3099.6	1.8	1.8	1	29.97	28.43	24.15	29.97	28.43	24.15
21073	UNKNOWN	0.0	50043	28020	2	3	0	0	4.2	0.3	23.57	23.57	40.19	38	0	38	38	0.0	571.5	0.526	3675.8	3562.7	1.8	1.8	1	151.93	151.93	23.75	151.93	151.93	23.75
21073	UNKNOWN	0.0	51044	28020	3	3	0	0	2.4	0.3	21.12	21.12	71.5	34	0	34	34	0.0	174.9	0.5	3675.8	4298.8	1.8	1.8	1	110.36	110.36	21.12	110.36	110.36	21.12
21073	UNKNOWN	0.0	52045	28020	3	3	0	0	0.4	0.3	9.86	9.86	10.77	15	0	15	15	0.0	0.0	0.2	3675.8	5749.9	1.8	1.8	1	58.22	58.22	10.04	58.22	58.22	10.04
21073	DISTINCT	0.0	60081	28020	2	3	1	0	188.6	0.3	18.12	18.12	53.35	29	0	29	29	0.0	0.0	0.207	3675.8	5981.2	1.8	1.8	1	26.66	32.22	53.8	26.66	32.22	53.8
21073	UNKNOWN	0.0	69118	28020	2	3	0	0	2.0	0.3	13.86	13.86	79.39	22	0	22	22	0.0	0.0	0.364	3675.8	9200.9	1.8	1.8	1	116.59	116.59	13.86	116.59	116.59	13.86
21073	MERGE	1.0	60081	31023	2	2	1	1	188.6	28.5	4.39	3.04	26.14	4	0	4	4	0.0	6542.2	1.0	3125.7	5720.7	1.8	1.8	1	28.38	35.59	32.17	27.1	34.26	34.55
21073	UNKNOWN	0.0	63100	31023	2	2	1	1	30.3	28.5	14.08	14.08	45.95	22	0	22	22	0.0	800.7	0.5	4319.7	2926.4	1.8	1.8	1	70.69	75.88	16.5	70.69	75.88	16.5
21073	UNKNOWN	0.0	28020	47040	3	3	0	0	0.3	0.2	25.68	25.68	60.41	42	1	41	41	0.024	177.0	0.524	4234.7	3675.8	1.8	1.8	1	147.79	147.79	25.68	147.79	147.79	25.68
21073	UNKNOWN	0.0	31023	47040	2	3	1	0	28.5	0.2	7.79	7.79	49.33	12	1	11	11	0.083	2824.8	0.75	4234.7	3318.1	1.8	1.8	1	73.57	75.22	10.56	73.57	75.22	10.56
21073	UNKNOWN	0.0	50043	47040	2	3	0	0	4.2	0.2	10.6	10.57	34.68	17	1	16	16	0.059	2076.7	0.941	4234.7	3562.7	1.8	1.8	1	66.66	66.66	11.13	66.66	66.66	11.13
21073	UNKNOWN	0.0	51044	47040	3	3	0	0	2.4	0.2	6.67	6.67	89.98	10	2	8	8	0.2	3179.9	0.8	4234.7	4298.8	1.8	1.8	1	111.79	111.79	6.67	111.79	111.79	6.67
21073	UNKNOWN	0.0	52045	47040	3	3	0	0	0.4	0.2	17.17	17.17	59.79	28	1	27	27	0.036	4213.1	0.893	4234.7	5749.9	1.8	1.8	1	161.24	161.24	17.17	161.24	161.24	17.17
21073	DISTINCT	0.0	60081	47040	2	3	1	0	188.6	0.2	9.51	9.51	44.11	15	0	15	15	0.0	6172.1	0.933	4234.7	5720.7	1.8	1.8	1	20.07	27.14	37.11	20.07	27.14	37.11
21073	UNKNOWN	0.0	63100	47040	2	3	1	0	30.3	0.2	14.52	14.52	75.12	23	1	22	22	0.043	363.8	0.522	4234.7	2926.4	1.8	1.8	1	52.83	56.77	18.49	52.81	56.73	18.34
21073	UNKNOWN	0.0	69118	47040	2	3	0	0	2.0	0.2	12.36	12.36	56.14	20	1	19	19	0.05	3086.8	0.8	4234.7	9200.9	1.8	1.8	1	68.47	68.47	12.95	68.47	68.47	12.95
21073	UNKNOWN	0.0	11008	50043	1	2	1	0	20.1	4.2	28.42	28.42	53.35	46	6	40	20	0.13	3707.8	0.891	3562.7	3837.8	1.8	1.8	1	39.03	39.03	36.46	42.22	42.22	34.32
21073	UNKNOWN	0.0	31023	50043	2	2	1	0	28.5	4.2	10.26	10.26	52.53	16	0	16	16	0.0	3223.0	1.0	3562.7	3125.7	1.8	1.8	1	92.89	92.83	11.02	91.14	91.14	10.76
21073	DISTINCT	0.0	60081	50043	2	2	1	0	188.6	4.2	4.71	4.71	45.27	7	1	6	6	0.143	3537.3	1.0	3562.7	4624.8	1.8	1.8	1	10.66	17.01	33.21	7.24	14.43	31.03
21073	UNKNOWN	0.0	63100	50043	2	2	1	0	30.3	4.2	19.09	19.09	86.19	31	1	30	28	0.032	745.0	0.516	3562.7	2926.4	1.8	1.8	1	82.03	86.31	22.27	84.82	88.71	20.09
21073	UNKNOWN	0.0	31023	51044	2	3	1	0	28.5	2.4	7.76	7.76	43.23	12	0	12	12	0.0	8442.1	1.0	4298.8	3318.1	1.8	1.8	1	58.09	59.12	13.73	58.09	59.12	13.73
21073	UNKNOWN	0.0	50043	51044	2	3	0	0	4.2	2.4	8.75	8.75	58.92	14	0	14	14	0.0	277.8	0.643	4298.8	3562.7	1.8	1.8	1	89.44	89.44	10.23	86.37	86.37	9.24
21073	DISTINCT	0.0	60081	51044	2	3	1	0	188.6	2.4	9.34	9.34	50.69	15	1	14	14	0.067	4833.1	0.933	4298.8	5720.7	1.8	1.8	1	13.58	20.94	41.33	13.58	20.94	41.33
21073	UNKNOWN	0.0	63100	51044	2	3	1	0	30.3	2.4	21.25	21.25	55.65	34	3	31	31	0.088	0.0	0.382	4298.8	2926.4	1.8	1.8	1	58.19	62.23	24.82	58.19	62.23	24.82
21073	UNKNOWN	0.0	31023	52045	2	3	1	0	28.5	0.4	6.71	6.71	69.07	10	1	9	9	0.1	0.0	0.4	5749.9	3099.6	1.8	1.8	1	32.53	31.0	14.14	32.53	31.0	14.14
21073	UNKNOWN	0.0	50043	52045	2	3	0	0	4.2	0.4	14.92	14.92	46.51	24	2	22	18	0.083	0.0	0.458	5749.9	3562.7	1.8	1.8	1	146.39	146.39	15.14	146.39	146.39	15.14
21073	UNKNOWN	0.0	51044	52045	3	3	0	0	2.4	0.4	14.11	14.11	82.23	23	0	23	23	0.0	157.9	0.522	5749.9	4298.8	1.8	1.8	1	115.89	115.89	14.11	115.89	115.89	14.11
21073	DISTINCT	0.0	60081	52045	2	3	1	0	188.6	0.4	8.35	8.35	60.4	13	0	13	13	0.0	0.0	0.462	5749.9	5981.2	1.8	1.8	1	26.19	32.34	44.26	26.19	32.34	44.26
21073	UNKNOWN	0.0	63100	52045	2	3	1	0	30.3	0.4	26.93	26.93	53.54	44	0	44	44	0.0	0.0	0.432	5749.9	2926.4	1.8	1.8	1	66.05	71.21	30.49	66.05	71.21	30.49
21073	UNKNOWN	0.0	69118	52045	2	3	0	0	2.0	0.4	9.09	9.09	69.82	14	0	14	14	0.0	782.1	0.643	5749.9	9200.9	1.8	1.8	1	99.97	99.97	9.09	99.97	99.97	9.09
21073	DISTINCT	0.0	60081	63100	2	2	1	1	188.6	30.3	10.9	10.9	38.37	17	0	17	17	0.0	774.2	0.765	2926.4	4033.9	1.8	1.8	1	44.83	51.31	24.09	41.51	48.19	29.37
21073	UNKNOWN	0.0	31023	69118	2	2	1	0	28.5	2.0	5.16	5.16	73.69	8	1	7	7	0.125	4733.5	0.75	9200.9	5235.8	1.8	1.8	1	26.42	27.15	15.99	22.65	23.79	15.33
21073	UNKNOWN	0.0	50043	69118	2	2	0	0	4.2	2.0	15.29	15.29	84.75	24	1	23	20	0.042	1494.8	0.75	9200.9	3562.7	1.8	1.8	1	117.94	117.94	15.75	117.94	117.94	15.75
21073	UNKNOWN	0.0	51044	69118	3	2	0	0	2.4	2.0	8.6	8.6	36.39	13	0	13	13	0.0	4430.4	0.769	9200.9	4298.8	1.8	1.8	1	131.1	131.1	8.6	131.1	131.1	8.6
21073	DISTINCT	0.0	60081	69118	2	2	1	0	188.6	2.0	10.21	10.21	82.59	16	1	15	15	0.062	9510.4	1.0	9200.9	5720.7	1.8	1.8	1	19.72	26.92	47.03	20.97	28.23	46.85
21073	UNKNOWN	0.0	63100	69118	2	2	1	0	30.3	2.0	21.66	21.66	50.07	35	1	34	34	0.029	238.0	0.543	9200.9	6101.6	1.8	1.8	1	52.93	57.74	29.96	50.08	54.97	28.96
30504	DISTINCT	0.0	11068	11065	1	1	1	1	124.0	71.2	0.0	0.0	14.63	0	0	0	0	1.0	-1.0	-1.0	4248.9	5427.0	1.6	1.6	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
30504	DISTINCT	0.0	11065	11066	1	1	1	1	71.2	2.1	0.0	0.0	73.52	0	0	0	0	1.0	-1.0	-1.0	3749.6	4248.9	1.6	1.6	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
30504	DISTINCT	0.0	11068	11066	1	1	1	1	124.0	2.1	0.0	0.0	71.17	0	0	0	0	1.0	-1.0	-1.0	3749.6	5427.0	1.6	1.6	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
30504	DISTINCT	0.0	11069	11066	1	1	1	1	8.7	2.1	0.0	0.0	78.55	0	0	0	0	1.0	-1.0	-1.0	3749.6	3335.9	1.6	1.6	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
30504	DISTINCT	0.0	11008	11066	1	1	1	1	15.3	2.1	0.0	0.0	56.63	0	0	0	0	1.0	-1.0	-1.0	3749.6	1399.1	1.6	1.6	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
30504	DISTINCT	0.0	55037	11066	3	1	0	1	2.2	2.1	27.3	27.3	82.07	44	4	40	40	0.091	1364.5	0.773	3749.6	5314.5	1.6	1.6	1	81.49	81.49	27.61	81.49	81.49	27.61
30504	DISTINCT	0.0	63045	11066	2	1	1	1	4.1	2.1	15.34	15.34	79.59	25	3	22	22	0.12	2265.8	0.84	3749.6	5179.2	1.6	1.6	1	174.77	174.77	15.34	174.77	174.77	15.34
30504	DISTINCT	0.0	69060	11066	3	1	0	1	2.5	2.1	8.64	8.64	82.62	13	0	13	13	0.0	389.6	0.692	3749.6	6225.2	1.6	1.6	1	119.45	135.47	10.24	127.88	143.31	8.64
30504	DISTINCT	0.0	11065	11069	1	1	1	1	71.2	8.7	0.0	0.0	38.31	0	0	0	0	1.0	-1.0	-1.0	3335.9	4248.9	1.6	1.6	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
30504	DISTINCT	0.0	11068	11069	1	1	1	1	124.0	8.7	0.0	0.0	24.32	0	0	0	0	1.0	-1.0	-1.0	3335.9	5427.0	1.6	1.6	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
30504	DISTINCT	0.0	11008	11069	1	1	1	1	15.3	8.7	0.0	0.0	40.03	0	0	0	0	1.0	-1.0	-1.0	3335.9	1399.1	1.6	1.6	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
30504	DISTINCT	0.0	11065	11008	1	1	1	1	71.2	15.3	0.0	0.0	17.04	0	0	0	0	1.0	-1.0	-1.0	1399.1	4248.9	1.6	1.6	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
30504	DISTINCT	0.0	11068	11008	1	1	1	1	124.0	15.3	0.0	0.0	18.4	0	0	0	0	1.0	-1.0	-1.0	1399.1	5427.0	1.6	1.6	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
30504	DISTINCT	0.0	11065	41023	1	3	1	0	71.2	2.7	21.8	21.8	82.89	35	0	35	35	0.0	0.0	0.114	5059.1	4996.0	1.6	1.6	1	19.26	15.44	83.93	19.26	15.44	83.93
30504	DISTINCT	0.0	11065	42024	1	3	1	0	71.2	0.6	24.77	24.77	74.74	40	0	40	40	0.0	2177.0	1.0	4918.0	4996.0	1.6	1.6	1	33.55	30.33	67.23	33.55	30.33	67.23
30504	DISTINCT	0.0	11065	47029	1	3	1	0	71.2	0.6	6.57	6.57	75.91	10	1	9	9	0.1	4472.2	0.9	3844.6	4248.9	1.6	1.6	1	129.11	133.6	6.79	129.05	133.58	6.57
30504	DISTINCT	0.0	11066	47029	1	3	1	0	2.1	0.6	6.57	6.57	61.6	10	1	9	9	0.1	4472.2	0.9	3844.6	3749.6	1.6	1.6	1	156.78	156.78	6.79	155.05	155.05	6.57
30504	DISTINCT	0.0	11068	47029	1	3	1	0	124.0	0.6	4.88	4.88	89.22	7	0	7	7	0.0	2929.9	1.0	3844.6	5427.0	1.6	1.6	1	48.0	50.14	6.79	46.5	48.9	6.57
30504	DISTINCT	0.0	11069	47029	1	3	1	0	8.7	0.6	5.28	5.28	33.05	8	2	6	6	0.25	3704.4	0.875	3844.6	3335.9	1.6	1.6	1	58.31	58.31	6.79	54.79	54.79	6.57
30504	DISTINCT	0.0	11008	47029	1	3	1	0	15.3	0.6	4.58	4.58	82.39	7	0	7	7	0.0	4573.1	1.0	3844.6	1399.1	1.6	1.6	1	33.85	33.85	6.79	33.85	33.85	6.79
30504	DISTINCT	0.0	50032	47029	3	3	0	0	1.0	0.6	20.63	20.63	71.92	33	0	33	33	0.0	0.0	0.212	3844.6	2534.1	1.6	1.6	1	97.16	97.16	21.17	97.87	97.87	20.63
30504	DISTINCT	0.0	55037	47029	3	3	0	0	2.2	0.6	29.77	29.77	27.51	49	0	49	49	0.0	486.3	0.612	3844.6	5314.5	1.6	1.6	1	77.59	77.59	30.19	77.59	77.59	30.19
30504	DISTINCT	0.0	58040	47029	3	3	0	0	0.9	0.6	25.5	25.5	22.98	41	1	40	27	0.024	510.9	0.561	3844.6	12637.8	1.6	1.6	1	159.68	159.68	25.94	158.79	158.79	25.5
30504	DISTINCT	0.0	63045	47029	2	3	1	0	4.1	0.6	18.32	18.32	86.13	30	0	30	30	0.0	2689.3	0.6	3844.6	5179.2	1.6	1.6	1	155.03	155.03	18.42	155.43	155.43	18.32
30504	DISTINCT	0.0	67058	47029	3	3	0	0	0.7	0.6	4.31	4.31	30.16	6	1	5	5	0.167	2422.8	1.0	3844.6	2918.3	1.6	1.6	1	89.67	89.67	4.58	82.72	82.72	4.34
30504	DISTINCT	0.0	68059	47029	3	3	0	0	1.7	0.6	14.11	14.11	66.07	23	4	19	10	0.174	1139.1	0.739	3844.6	6781.6	1.6	1.6	1	122.13	122.13	14.3	123.81	123.81	14.11
30504	DISTINCT	0.0	69060	47029	3	3	0	0	2.5	0.6	16.67	16.67	66.8	27	3	24	16	0.111	1840.0	0.741	3844.6	6225.2	1.6	1.6	1	113.73	130.74	16.8	114.82	131.56	16.67
30504	DISTINCT	0.0	11065	48030	1	2	1	1	71.2	2.0	25.18	25.18	36.23	41	0	41	41	0.0	239.5	0.512	5973.2	4996.0	1.6	1.6	1	24.08	21.32	94.63	24.08	21.32	94.63
30504	DISTINCT	0.0	11065	50032	1	3	1	0	71.2	1.0	22.0	22.0	31.22	36	1	35	35	0.028	0.0	0.278	2534.1	4248.9	1.6	1.6	1	110.15	111.1	22.07	110.15	111.1	22.07
30504	DISTINCT	0.0	11066	50032	1	3	1	0	2.1	1.0	22.07	22.07	43.58	36	2	34	34	0.056	0.0	0.333	2534.1	3749.6	1.6	1.6	1	94.96	94.96	22.07	94.96	94.96	22.07
30504	DISTINCT	0.0	11068	50032	1	3	1	0	124.0	1.0	17.25	17.25	29.17	28	3	25	25	0.107	814.5	0.607	2534.1	2683.8	1.6	1.6	1	55.59	57.85	22.07	53.62	55.94	22.49
30504	DISTINCT	0.0	11069	50032	1	3	1	0	8.7	1.0	15.47	15.47	64.25	25	1	24	24	0.04	0.0	0.28	2534.1	3335.9	1.6	1.6	1	31.56	31.56	22.07	31.56	31.56	22.07
30504	DISTINCT	0.0	11008	50032	1	3	1	0	15.3	1.0	22.07	22.07	14.43	36	2	34	34	0.056	0.0	0.333	2534.1	1399.1	1.6	1.6	1	68.86	68.86	22.07	68.86	68.86	22.07
30504	DISTINCT	0.0	68059	50032	3	3	0	0	1.7	1.0	26.25	26.25	46.87	43	1	42	31	0.023	474.3	0.605	2534.1	6781.6	1.6	1.6	1	153.14	153.14	26.25	153.14	153.14	26.25
30504	DISTINCT	0.0	69060	50032	3	3	0	0	2.5	1.0	29.29	29.29	56.45	48	2	46	30	0.042	500.3	0.604	2534.1	6225.2	1.6	1.6	1	136.79	140.12	29.29	136.79	140.12	29.29
30504	DISTINCT	0.0	11065	55037	1	3	1	0	71.2	2.2	6.95	6.95	89.91	11	0	11	11	0.0	2040.9	1.0	5314.5	6447.7	1.6	1.6	1	27.09	30.52	27.61	27.09	30.52	27.61
30504	DISTINCT	0.0	11068	55037	1	3	1	0	124.0	2.2	27.3	27.3	76.04	44	4	40	40	0.091	1364.5	0.773	5314.5	5427.0	1.6	1.6	1	153.84	156.09	27.61	152.8	154.61	27.3
30504	DISTINCT	0.0	11069	55037	1	3	1	0	8.7	2.2	27.3	27.3	79.64	44	4	40	40	0.091	1364.5	0.773	5314.5	3335.9	1.6	1.6	1	148.07	148.07	27.61	150.72	150.72	27.3
30504	DISTINCT	0.0	11008	55037	1	3	1	0	15.3	2.2	26.35	26.35	70.79	43	0	43	43	0.0	1923.7	0.86	5314.5	1399.1	1.6	1.6	1	138.13	138.13	27.61	136.01	136.01	27.3
30504	DISTINCT	0.0	63045	55037	2	3	1	0	4.1	2.2	9.99	9.99	79.87	16	1	15	15	0.062	2419.2	1.0	5314.5	5179.2	1.6	1.6	1	30.29	30.29	13.02	30.29	30.29	13.02
30504	DISTINCT	0.0	69060	55037	3	3	0	0	2.5	2.2	22.35	22.35	89.9	36	0	36	36	0.0	271.3	0.528	5314.5	6225.2	1.6	1.6	1	30.47	41.54	24.87	28.19	41.22	24.55
30504	DISTINCT	0.0	11065	58040	1	3	1	0	71.2	0.9	18.36	18.36	81.24	30	2	28	28	0.067	559.4	0.533	12637.8	10854.3	1.6	1.6	1	86.11	82.67	20.77	86.11	82.67	20.77
30504	DISTINCT	0.0	11066	58040	1	3	1	0	2.1	0.9	18.94	18.94	38.68	31	0	31	31	0.0	0.0	0.355	12637.8	3749.6	1.6	1.6	1	29.3	29.3	20.77	29.3	29.3	20.77
30504	DISTINCT	0.0	11068	58040	1	3	1	0	124.0	0.9	20.61	20.61	75.49	33	3	30	29	0.091	0.0	0.394	12637.8	5427.0	1.6	1.6	1	89.92	88.89	20.77	89.92	88.89	20.77
30504	DISTINCT	0.0	11069	58040	1	3	1	0	8.7	0.9	19.09	19.09	59.96	31	2	29	24	0.065	778.8	0.548	12637.8	3335.9	1.6	1.6	1	75.58	75.58	20.77	75.58	75.58	20.77
30504	DISTINCT	0.0	11008	58040	1	3	1	0	15.3	0.9	20.77	20.77	60.36	34	3	31	30	0.088	0.0	0.412	12637.8	1399.1	1.6	1.6	1	107.87	107.87	20.77	107.87	107.87	20.77
30504	DISTINCT	0.0	50032	58040	3	3	0	0	1.0	0.9	23.26	23.26	56.04	38	1	37	37	0.026	1242.0	0.632	12637.8	2534.1	1.6	1.6	1	141.86	141.86	23.26	141.86	141.86	23.26
30504	DISTINCT	0.0	63045	58040	2	3	1	0	4.1	0.9	29.23	29.23	89.56	48	9	39	34	0.188	407.0	0.5	12637.8	5179.2	1.6	1.6	1	138.56	138.56	29.23	138.56	138.56	29.23
