set	sample	event	shower	matched	sites	had_cone_seat	conn	seg	seg_cluster	seg_is_main	q	verdict	cur_owner	detail
141	mcp1k	54341	96031	96031	from_vertices	1	2	96033	96	0	810652.2	SAME_CLUSTER	-1	
141	mcp1k	54341	101041	101041	from_vertices	1	2	34015	34	0	869057.4	ABSENT	-1	
141	mcp2k	54453	57050	57050	from_vertices	1	2	23026	23	0	713511.1	REJECT	58051	site=pass4_angle_early angle_v2=61.5 dis=76.6
141	mcp2k	54453	57050	57050	from_vertices	1	2	23028	23	0	373496.6	REJECT	-1	site=pass4_angle_early angle_v2=88.9 dis=75.9
141	mcp2k	91917	87053	87053	from_vertices	1	2	66021	66	0	171811.1	REJECT	66021	site=pass4_angle_cone angle_v2=17.4 dis=94.8
141	mcp2k	98844	70063	70063	from_vertices	1	2	66043	66	0	119906.2	OWNED	6013	owner=66043 site=pass4_angle
141	mcp2k	98844	70063	70063	from_vertices	1	2	69062	69	0	392500.4	OWNED	69062	owner=69062 site=pass4_angle
141	mcp2k	100135	14025	14025	in_main_cluster	0	1	14024	14	1	279728.6	SAME_CLUSTER	14024	
141	mcp2k	100222	113236	113236	in_main_cluster	0	1	14006	14	1	483542.8	MAIN_CLUSTER_SKIP	14006	
141	mcp1k	168432	49028	49028	from_vertices	1	2	50029	50	0	356007.6	REJECT	50029	site=pass4_angle_early angle_v2=32.9 dis=49.6
141	mcp2k	174771	85085	85085	from_vertices	1	2	85058	85	0	458333.1	SAME_CLUSTER	-1	
141	mcp2k	181050	15006	15006	examine_showers_retarget	0	1	54014	54	0	58953.2	NO_SEAT	68031	
141	mcp2k	181050	15006	15006	examine_showers_retarget	0	1	58018	58	0	89284.8	NO_SEAT	68031	
141	mcp2k	181050	15006	15006	examine_showers_retarget	0	1	68031	68	0	299605.2	NO_SEAT	68031	
141	mcp2k	181050	15006	15006	examine_showers_retarget	0	1	68032	68	0	90657.3	NO_SEAT	68031	
141	mcp2k	181050	15006	15006	examine_showers_retarget	0	1	68034	68	0	130079.4	NO_SEAT	68031	
141	mcp2k	181050	15006	15006	examine_showers_retarget	0	1	69039	69	0	827239.0	NO_SEAT	68031	
141	mcp2k	281325	42039	42039	examine_showers_retarget	0	1	27016	27	0	28591.0	NO_SEAT	41034	
141	mcp2k	281325	42039	42039	examine_showers_retarget	0	1	41034	41	0	277555.2	NO_SEAT	41034	
141	mcp2k	281325	42039	42039	examine_showers_retarget	0	1	41036	41	0	327692.4	NO_SEAT	41034	
141	mcp2k	282271	6063	6063	in_main_cluster	0	1	6004	6	1	166045.5	SAME_CLUSTER	6004	
141	mcp2k	284206	10051	10051	in_main_cluster	0	1	10052	10	1	490984.3	SAME_CLUSTER	10052	
141	mcp2k	284206	10051	10051	in_main_cluster	0	1	10054	10	1	1123908.5	SAME_CLUSTER	10054	
141	mcp2k	284206	10051	10051	in_main_cluster	0	1	10056	10	1	655902.8	SAME_CLUSTER	10056	
141	mcp2k	289246	63034	63034	from_vertices	1	2	77063	77	0	150209.3	REJECT	77063	site=pass4_angle_early angle_v2=59.5 dis=99.9
141	mcp2k	289246	63034	63034	from_vertices	1	2	77064	77	0	366974.7	REJECT	77063	site=pass4_angle_early angle_v2=51.7 dis=101.4
141	mcp1k	293149	4001	4001	examine_showers_retarget	0	1	27006	27	0	28444.5	NO_SEAT	31010	
141	mcp1k	293149	4001	4001	examine_showers_retarget	0	1	29008	29	0	32822.2	NO_SEAT	31010	
141	mcp1k	293149	4001	4001	examine_showers_retarget	0	1	30009	30	0	47970.5	NO_SEAT	31010	
141	mcp1k	293149	4001	4001	examine_showers_retarget	0	1	31010	31	0	21885.8	NO_SEAT	31010	
141	mcp2k	294174	71067	71067	from_vertices	1	2	64059	64	0	215058.6	REJECT	64065	site=pass4_angle_cone angle_v2=25.9 dis=131.5
141	mcp2k	294174	71067	71067	from_vertices	1	2	64065	64	0	421372.1	REJECT	64065	site=pass4_angle_cone angle_v2=27.4 dis=128.5
141	mcp2k	318769	19003	19003	in_other_clusters_A	1	3	19005	19	1	2732563.0	SAME_CLUSTER	-1	
141	mcp2k	395597	20004	20004	in_main_cluster	0	1	20006	20	1	665248.2	SAME_CLUSTER	-1	
141	mcp2k	396037	69026	69026	from_vertices	1	2	65017	65	0	191236.6	REJECT	65017	site=pass4_angle_early angle_v2=133.0 dis=17.9
141	mcp2k	397630	33038	19010	from_vertices	1	2	25015	25	0	44149.2	OWNED	33038	owner=33038 site=pass4_angle
141	mcp2k	397630	33038	19010	from_vertices	1	2	32022	32	0	120508.7	OWNED	33038	owner=33038 site=pass4_angle
141	mcp2k	397630	33038	19010	from_vertices	1	2	33028	33	0	148414.5	OWNED	33038	owner=33038 site=pass4_angle
141	mcp2k	397630	33038	19010	from_vertices	1	2	33029	33	0	215510.8	OWNED	33038	owner=33038 site=pass4_angle
141	mcp2k	397630	33038	19010	from_vertices	1	2	33037	33	0	184309.9	OWNED	33038	owner=33038 site=pass4_angle
141	mcp2k	397630	33038	19010	from_vertices	1	2	33038	33	0	633601.4	OWNED	33038	owner=33038 site=pass4_angle
141	mcp2k	397630	33038	19010	from_vertices	1	2	33039	33	0	283427.5	OWNED	33038	owner=33038 site=pass4_angle
141	mcp2k	397630	33038	19010	from_vertices	1	2	34041	34	0	291888.4	OWNED	33038	owner=33038 site=pass4_angle
141	mcp2k	397630	33038	19010	from_vertices	1	2	34042	34	0	92635.7	OWNED	33038	owner=33038 site=pass4_angle
141	mcp2k	408304	9039	9039	connecting_to_main_vertex	0	1	9038	9	1	897852.0	SAME_CLUSTER	-1	
141	mcp2k	412242	14007	14007	conn3_unreachable	0	3	50049	50	0	249523.3	NO_SEAT	64054	
