run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	349549	2.8932831	2.9818623	-1.5973585	-0.9341193	1218.0603	1189.6102		
18255	1	349879	4.281824	3.6020885						
18255	1	349945	4.0449777	2.8377697	-15.0	-4.300936	994.762	905.449	0.0	1.4996065300558061
18255	1	350935	2.1187716	1.8955871						
18255	1	352123	2.7171452	2.406456						
18255	1	353223	-0.17068867	0.09605255						
18255	1	353751	0.8955227	4.004252			748.33777	699.05853	0.0	120.39481404635472
18255	1	386332	0.62245196	0.5094169						
18255	1	386442	-1.3712523	-0.8855567	4.0551543	-3.8918219	267.24713	406.77707	0.0	5.175772220842024
18255	1	386948	-1.6453818	-0.89525837			1099.9458	1045.9131		
18255	1	387850	-1.1755825	-0.742025						
18255	1	388026					978.04596	987.9766		
18255	1	388224	3.5292664	4.109511			1235.1526	1228.9182		
18255	1	389588	-0.09390467	-1.1295542			82.02208	96.02165		
18255	1	390182	0.8386352	1.1568307			1312.2502	1146.5372	0.0	1.2109568524121403
18255	1	390842	2.9852526	4.301008					0.0	2.356871653739333
18255	1	390864	-0.8234373	1.5745755			538.2635	930.6368	0.0	80.71740480125834
18255	1	391260	3.42523	3.000891						
18255	1	391766					837.4163	845.8354		
18255	1	393042	3.6808636	4.0421476						
18255	1	393212					598.4704	590.0072		
18255	1	393608	1.3127859	1.4646025			250.58554	259.31		
18255	1	394532	-1.0390086	-1.867651			304.5575	170.13252	0.0	3.4282826721297344
18255	1	394642	-2.709045	-3.2399037						
18255	1	395962	2.0796783	1.6437821			659.4583	533.07166		
18255	1	397722	2.9918163	3.0834208						
18255	1	398260	3.6407053	4.074349			765.0328	839.859		
18255	1	399118					802.97076	797.465		
18255	1	399328	-1.5695848	-1.8043908						
18255	1	399702	2.8097835	2.701235			1063.8928	749.84393	0.0	198.71142461013366
18255	1	399856	1.1952411	0.78414315						
18255	1	399998	1.3461542	1.076204						
18255	1	400460	2.0945916	-0.08302095						
18255	1	400504	1.0374204	2.059221			485.9851	474.32477		
18255	1	400636	4.1301603	4.224378						
18255	1	400856	3.8074286	1.5812936			443.7115	437.9505	0.0	5.9900203910024326
18255	1	401054	-1.4568977	-1.6609509			313.76886	143.80426		
18255	1	402330	2.6421323	1.4678255			312.03268	394.31555	0.0	1.8469957496312692
18255	1	402880	-0.91729546	-0.5759227			314.59354	380.65555	0.0	5.176704103723626
18255	1	404684	0.51052094	0.4304835			665.6172	509.5529		
18255	1	406752	0.23256148	-1.3234087	-15.0	-4.300936	376.40805	263.16385		
18255	1	406796	2.523145	3.4471009			738.421	479.11862		
18255	1	407148	4.121788	3.2785623			927.8714	853.4132		
18255	1	407280	0.08354604	0.14390573			1139.9861	1258.6514	0.0	1.6978634913623083
18255	1	407918	1.4415096	1.7459586					0.0	83.00863830186712
18255	1	408534	-2.0511289	-1.753312			390.20953	395.3117		
18255	1	409634	-1.8410292	-1.5589793			368.89896	361.18552		
18255	1	409942	-1.5625211	-1.6747396			747.10657	656.32166		
18255	1	409964					796.0216	856.23975		
18255	1	410008	-0.7168541	0.6236216			419.73346	437.46786	0.0	174.23978736673743
18255	1	411460	0.13983525	-1.3548954			472.72964	192.19635	0.0	9.558464478052743
18255	1	412208	-0.39756957	-0.5852726						
18255	1	486247	0.7056696	1.5252271						
18255	1	486687	4.1617374	3.6506321						
18255	1	487853	-1.5877354	-0.45423734			342.58005	449.58	0.0	5.191862250780652
18255	1	488755					318.51535	334.95795	0.0	3.2210685420495095
18255	1	489327					1513.3552	1497.9551		
18255	1	489503	0.046540633	1.2214999			686.8114	580.1245		
18255	1	490361	3.1885846	3.094283			636.87085	650.6084	0.0	1.8838696794099068
18255	1	490581	3.531897	4.301008						
18255	1	491483	-1.8058507	-0.4876969			342.5686	408.93466	0.0	4.5372806160034855
18255	1	492803	4.2713227	4.1111293			934.1128	773.0706	0.0	1.5605333917721815
18259	1	66118	1.385732	0.9649095						
18259	1	66272	-1.6970642	-0.5510321			258.7412	373.3045	0.0	10.171139166116005
18259	1	66646					239.63477	217.38239		
18259	1	66712	3.5454035	2.007709			766.07544	780.7412		
18259	1	67394	1.3415799	0.37720346	0.17862076	-0.7651799	1148.0094	1015.2112		
18259	1	67746	3.9817302	2.397406						
18259	1	68648	-1.2609358	0.14570558			215.39719	277.00467		
18259	1	68714	2.3186533	2.4623752						
18259	1	68978	1.2545619	1.4230877						
18259	1	71046	3.69852	3.4691896			640.3542	652.5152		
18259	1	71178	-3.4232175	-2.9838643			254.8883	234.47005		
18259	1	71222	2.8526785	3.049249						
18259	1	72256	3.411619	3.294043						
18259	1	72586	0.9988881	0.58439976			981.6043	826.4089		
18259	1	73004	3.0696726	2.6441944			934.9478	673.34076		
18259	1	166738	3.9011607	3.9655528			1484.6187	1423.2837		
18259	1	166804	-1.2655905	-1.1808437						
18259	1	166870	-0.5403952	0.21448119			673.06396	893.3432	0.0	3.8464034752740024
18259	1	167112	3.560645	3.6181848			642.2927	557.32495		
18259	1	167684	-1.5693709	-2.5498319			157.91641	53.584442		
18259	1	168432	2.0067663	2.2349825			926.0504	954.11206	0.0	7.709920968654623
18259	1	168526	3.7231152	3.649084	-15.0	-4.300936	2414.9468	2066.644		
18259	1	168614	2.364878	3.1356316			548.6665	715.10486	0.0	1.5344141963550753
18259	1	169356	0.9956202	2.8036633			1098.7643	1050.4187		
18259	1	169598	-1.4645265	-1.740917						
18259	1	169620	3.6606324	3.8006027						
18259	1	169626	-1.0180897	-1.4261837			668.6667	659.5706	0.0	59.55544984320334
18259	1	170792	1.5955215	1.0800927			574.7589	819.3824		
18259	1	170808	2.1975102	1.9300427						
18259	1	170814	0.18841152	0.34666717						
18259	1	170880	-2.4729733	-2.9926062			187.44626	171.7809		
18259	1	170924	2.2257552	1.6483395						
18259	1	171358	0.16624634	-0.61223614			414.6126	476.32965		
18259	1	172090	-2.098174	-2.3038247						
18259	1	172266	1.0024275	2.6042905			779.34143	759.39526		
18259	1	172656	1.8752669	1.0973282			900.90155	878.80115		
18259	1	172788	0.8771717	0.5323445			975.9426	387.29565	0.0	182.10530204898632
18259	1	172794	1.8675599	1.9396545						
18259	1	172832							0.0	1.6808790839807646
18259	1	172942	-0.50198	0.25036976			506.22205	646.2799	0.0	3.577602998475381
18259	1	173146	3.7052538	3.5924358						
18259	1	173234	2.8321729	2.5559425			699.4163	716.6887		
18259	1	173498	2.9012775	3.0433269			779.35095	797.0755		
18259	1	174114	0.3664248	1.0246428						
18259	1	174224	4.301008	2.9712343			1042.8938	618.573	0.0	1.1726204632447181
18259	1	174576	2.6222816	2.288372			606.42834	646.3252		
18259	1	174752	-3.9824839	-3.6080766						
18259	1	174928	2.0771372	3.4194283						
18259	1	175808	4.1761518	-0.8683673			601.5785	127.352646	0.0	8.526877231114552
18259	1	175896	-0.99821514	-0.40354648	-15.0	-4.300936	431.15964	295.99963	0.0	44.84163732920827
