detector	arm	event	mains_evaluated	fitted	tagged	st0	st2	st3	st4	st5	st7	st8	nofit_nopass	nofit_contained	nofit_no_steiner_pc	nofit_few_points	nofit_other
PDVD	d48nu3	0	29	11	3	3	0	6	0	0	2	0	18	16	1	1	0
PDVD	d48nu3	10	24	7	3	3	1	3	0	0	0	0	17	15	1	1	0
PDVD	d48nu3	11	24	11	6	6	0	5	0	0	0	0	13	10	1	2	0
PDVD	d48nu3	12	30	14	8	8	2	1	0	0	3	0	16	13	2	1	0
PDVD	d48nu3	13	28	11	5	5	0	4	0	0	2	0	17	17	0	0	0
PDVD	d48nu3	14	31	9	1	1	2	5	0	0	1	0	22	22	0	0	0
PDVD	d48nu3	15	32	14	8	8	0	5	0	0	1	0	18	14	3	1	0
PDVD	d48nu3	16	38	12	2	2	0	4	0	0	6	0	26	24	1	1	0
PDVD	d48nu3	17	38	9	3	3	1	3	0	0	2	0	29	26	3	0	0
PDVD	d48nu3	18	40	26	12	12	2	9	0	2	1	0	14	14	0	0	0
PDVD	d48nu3	19	25	10	3	3	0	4	0	1	2	0	15	15	0	0	0
PDVD	d48nu3	1	30	8	2	2	0	5	0	1	0	0	22	21	1	0	0
PDVD	d48nu3	20	40	13	7	7	1	2	0	3	0	0	27	25	2	0	0
PDVD	d48nu3	21	26	17	3	3	2	8	0	1	3	0	9	9	0	0	0
PDVD	d48nu3	22	39	18	8	8	2	6	0	0	2	0	21	19	2	0	0
PDVD	d48nu3	23	29	16	3	3	4	5	0	2	2	0	13	12	0	1	0
PDVD	d48nu3	24	44	17	6	6	0	6	0	1	4	0	27	25	2	0	0
PDVD	d48nu3	25	36	15	3	3	1	7	1	1	2	0	21	20	1	0	0
PDVD	d48nu3	26	36	19	6	6	2	6	1	1	3	0	17	14	2	1	0
PDVD	d48nu3	27	33	18	4	4	0	12	0	0	2	0	15	13	1	1	0
PDVD	d48nu3	28	39	16	6	6	2	6	0	0	2	0	23	19	1	2	1
PDVD	d48nu3	29	34	14	5	5	1	7	0	0	1	0	20	18	1	1	0
PDVD	d48nu3	2	28	10	6	6	2	1	0	0	1	0	18	15	0	3	0
PDVD	d48nu3	30	39	16	6	6	1	7	0	0	2	0	23	22	1	0	0
PDVD	d48nu3	31	35	17	5	5	0	8	0	1	3	0	18	14	1	2	1
PDVD	d48nu3	32	24	11	6	6	0	5	0	0	0	0	13	11	1	0	1
PDVD	d48nu3	33	36	14	4	4	3	4	0	0	3	0	22	20	2	0	0
PDVD	d48nu3	34	28	10	3	3	0	5	0	0	2	0	18	16	2	0	0
PDVD	d48nu3	35	45	9	4	4	0	1	0	0	4	0	36	30	3	3	0
PDVD	d48nu3	36	33	9	5	5	0	3	0	1	0	0	24	20	2	2	0
PDVD	d48nu3	37	31	13	4	4	0	6	0	2	1	0	18	18	0	0	0
PDVD	d48nu3	38	31	18	7	7	0	9	1	0	1	0	13	11	2	0	0
PDVD	d48nu3	39	31	12	3	3	0	8	0	0	1	0	19	17	2	0	0
PDVD	d48nu3	3	29	13	5	5	0	6	1	1	0	0	16	16	0	0	0
PDVD	d48nu3	40	35	4	2	2	0	1	0	0	1	0	31	28	3	0	0
PDVD	d48nu3	41	30	11	2	2	0	7	0	0	2	0	19	14	4	1	0
PDVD	d48nu3	42	31	10	6	6	0	3	0	0	1	0	21	17	3	0	1
PDVD	d48nu3	43	26	10	6	6	1	3	0	0	0	0	16	15	1	0	0
PDVD	d48nu3	44	44	19	9	9	2	4	0	0	4	0	25	24	0	1	0
PDVD	d48nu3	45	32	12	3	3	1	4	0	1	3	0	20	19	1	0	0
PDVD	d48nu3	46	34	11	1	1	0	7	0	1	2	0	23	21	1	1	0
PDVD	d48nu3	47	45	17	5	5	2	7	0	1	2	0	28	24	3	1	0
PDVD	d48nu3	48	33	20	6	6	1	7	1	1	4	0	13	12	1	0	0
PDVD	d48nu3	49	36	11	3	3	0	7	0	1	0	0	25	18	6	1	0
PDVD	d48nu3	4	30	14	6	6	0	6	0	0	2	0	16	15	1	0	0
PDVD	d48nu3	50	31	13	5	5	1	5	1	0	1	0	18	17	1	0	0
PDVD	d48nu3	51	31	16	8	8	1	5	0	0	2	0	15	13	1	0	1
PDVD	d48nu3	52	26	13	3	3	0	7	1	0	2	0	13	13	0	0	0
PDVD	d48nu3	53	30	14	5	5	1	6	0	1	1	0	16	16	0	0	0
PDVD	d48nu3	54	35	19	8	8	1	5	0	0	5	0	16	14	2	0	0
PDVD	d48nu3	55	35	10	3	3	0	5	0	0	2	0	25	24	1	0	0
PDVD	d48nu3	56	38	25	10	10	0	14	0	0	1	0	13	12	1	0	0
PDVD	d48nu3	57	33	14	4	4	1	7	1	0	1	0	19	15	4	0	0
PDVD	d48nu3	58	37	6	3	3	0	2	0	0	1	0	31	30	1	0	0
PDVD	d48nu3	59	26	8	4	4	1	2	0	0	1	0	18	18	0	0	0
PDVD	d48nu3	5	34	12	2	2	0	8	0	2	0	0	22	22	0	0	0
PDVD	d48nu3	60	25	11	3	3	0	6	0	0	2	0	14	13	1	0	0
PDVD	d48nu3	61	33	16	7	7	0	6	0	1	2	0	17	17	0	0	0
PDVD	d48nu3	62	30	12	6	6	0	4	0	0	2	0	18	16	1	1	0
PDVD	d48nu3	63	26	10	6	6	0	1	1	1	1	0	16	14	2	0	0
PDVD	d48nu3	64	44	16	10	10	1	4	0	0	1	0	28	25	2	1	0
PDVD	d48nu3	65	24	9	1	1	1	5	0	0	2	0	15	13	2	0	0
PDVD	d48nu3	66	38	12	4	4	1	7	0	0	0	0	26	22	3	0	1
PDVD	d48nu3	67	37	9	6	6	0	2	0	0	1	0	28	25	2	1	0
PDVD	d48nu3	68	42	19	8	8	3	8	0	0	0	0	23	21	2	0	0
PDVD	d48nu3	69	29	9	2	2	1	4	0	0	2	0	20	19	1	0	0
PDVD	d48nu3	6	34	13	4	4	0	5	1	0	3	0	21	17	2	1	1
PDVD	d48nu3	70	41	18	4	4	2	7	1	0	4	0	23	20	1	2	0
PDVD	d48nu3	71	34	12	5	5	0	2	0	2	3	0	22	20	2	0	0
PDVD	d48nu3	72	46	22	6	6	1	9	0	1	5	0	24	22	1	1	0
PDVD	d48nu3	73	37	13	5	5	0	4	0	0	4	0	24	21	2	1	0
PDVD	d48nu3	74	38	13	2	2	1	5	0	2	3	0	25	24	1	0	0
PDVD	d48nu3	75	46	20	4	4	3	6	0	4	3	0	26	26	0	0	0
PDVD	d48nu3	76	33	13	3	3	0	5	1	2	2	0	20	18	1	1	0
PDVD	d48nu3	77	35	18	6	6	2	8	0	0	2	0	17	17	0	0	0
PDVD	d48nu3	78	24	5	1	1	0	2	0	0	2	0	19	18	1	0	0
PDVD	d48nu3	79	40	16	3	3	1	9	0	0	3	0	24	17	5	0	2
PDVD	d48nu3	7	36	17	7	7	1	7	0	0	2	0	19	19	0	0	0
PDVD	d48nu3	80	34	12	5	5	0	4	0	0	3	0	22	18	2	2	0
PDVD	d48nu3	81	32	17	10	10	0	4	0	0	3	0	15	12	2	0	1
PDVD	d48nu3	82	31	17	7	7	1	5	1	0	3	0	14	12	2	0	0
PDVD	d48nu3	83	44	19	6	6	2	8	0	1	2	0	25	24	0	1	0
PDVD	d48nu3	8	29	9	6	6	0	3	0	0	0	0	20	20	0	0	0
PDVD	d48nu3	9	32	14	4	4	0	7	0	0	3	0	18	17	1	0	0
