key	npts	len_cm	dpw	dpu	dpv	dpt	cm_w	cm_u	cm_v	q_med	q_rms	dirx	diry	dirz	f
029107_2/39	70	41.18	0.3667	1.017	1.633	0.1833	2.727	0.9836	0.6122	6.49e+04	2.614e+04	-0.009039	-0.9905	-0.1372	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_2-c39.json
029107_2/64	670	399.2	1.233	0.2667	1.35	0.35	0.8108	3.75	0.7407	1.808e+04	1.453e+04	-0.08946	-0.7838	-0.6146	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_2-c64.json
029107_20/108	184	109.6	1.242	0.4	1.933	0.7333	0.8054	2.5	0.5172	5.719e+04	1.105e+04	0.2691	-0.7337	0.6239	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_20-c108.json
029107_20/136	323	192.5	1.7	1.75	1.7	1.467	0.5882	0.5714	0.5882	5.204e+04	2.053e+04	0.5007	-0.2178	0.8378	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_20-c136.json
029107_20/139	532	319.4	0.3833	1.567	1.2	0.2	2.609	0.6383	0.8333	3.338e+04	2.37e+04	-0.05162	-0.9937	-0.09905	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_20-c139.json
029107_20/17	56	32.06	0.95	0.65	1.45	0.6379	1.053	1.538	0.6897	3.694e+04	2.043e+04	-0.162	-0.7598	-0.6297	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_20-c17.json
029107_20/22	188	114.4	0.5917	0.7	1.533	0.4167	1.69	1.429	0.6522	2.244e+04	1.851e+04	-0.1317	-0.9779	-0.1622	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_20-c22.json
029107_20/24	98	58.27	1.017	0.4	1.417	0.6	0.9836	2.5	0.7059	1.737e+04	1.353e+04	-0.1486	-0.8337	-0.5318	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_20-c24.json
029107_20/48	82	232.1	0.08333	0.2	0.3167	3.05	12	5	3.158	1.037e+04	2.281e+04	-0.9987	-0.02451	0.04504	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_20-c48.json
029107_20/57	185	110.5	1.5	0.5167	1.35	0.65	0.6667	1.935	0.7407	5.745e+04	1.658e+04	-0.2101	-0.6414	-0.7379	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_20-c57.json
029107_21/109	72	42.72	0.2333	1.75	1.133	0.4333	4.286	0.5714	0.8824	5.844e+04	2.619e+04	0.1179	-0.9901	-0.07666	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_21-c109.json
029107_21/32	156	94.53	0.9083	1.508	1.052	0.6726	1.101	0.663	0.9508	3.949e+04	2.79e+04	-0.2705	-0.8131	0.5154	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_21-c32.json
029107_21/41	181	107.4	0.5	1.233	0.9583	1.467	2	0.8108	1.043	4.532e+04	2.767e+04	-0.5182	-0.826	0.2217	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_21-c41.json
029107_21/43	784	471.3	1.842	1.717	1.567	0.7167	0.543	0.5825	0.6383	4.519e+04	2.229e+04	-0.2508	-0.1419	0.9576	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_21-c43.json
029107_21/51	122	253.8	0.2896	0.35	0.4288	3	3.453	2.857	2.332	8055	8329	0.9999	-0.006544	0.008486	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_21-c51.json
029107_21/53	70	41.28	0.4667	1.508	1.333	0.9167	2.143	0.663	0.75	5.526e+04	2.31e+04	-0.2984	-0.9251	0.2348	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_21-c53.json
029107_21/64	93	55.39	1.55	0.5833	1.3	0.6	0.6452	1.714	0.7692	4.619e+04	2.219e+04	-0.2256	0.6123	0.7578	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_21-c64.json
029107_21/65	491	294	0.4833	0.8333	1.6	0.2	2.069	1.2	0.625	5.26e+04	1.896e+04	0.03225	-0.9672	-0.2519	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_21-c65.json
029107_22/123	463	276.3	0.2167	1.983	1.3	1.117	4.615	0.5042	0.7692	5.97e+04	1.937e+04	-0.358	-0.9289	0.09494	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_22-c123.json
029107_22/40	317	189.5	0.737	1.748	0.7667	0.2167	1.357	0.5722	1.304	5.819e+04	1.523e+04	0.08112	-0.9191	0.3857	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_22-c40.json
029107_22/46	93	55.39	0.175	1.283	1.567	0.7083	5.714	0.7792	0.6383	6.892e+04	1.973e+04	-0.2734	-0.955	0.1148	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_22-c46.json
029107_23/108	1326	802.2	0.7	1.6	0.6	0.7333	1.429	0.625	1.667	5.137e+04	1.761e+04	-0.294	0.8265	0.4801	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_23-c108.json
029107_23/115	67	39.41	1.017	0.5167	1.817	0.65	0.9836	1.935	0.5505	6.708e+04	2.332e+04	-0.2637	-0.7983	0.5414	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_23-c115.json
029107_23/116	191	112.3	1.033	1.467	0.4333	0.9083	0.9677	0.6818	2.308	4.81e+04	2.269e+04	0.3693	-0.746	-0.5542	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_23-c116.json
029107_23/128	77	45.44	0.05	2.008	1.25	0.03333	20	0.4979	0.8	7.544e+04	2.368e+04	0.03965	-0.998	0.04864	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_23-c128.json
029107_23/35	168	100.6	0.85	0.45	1.483	0.3667	1.176	2.222	0.6742	3.614e+04	2.031e+04	-0.1095	0.8635	0.4923	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_23-c35.json
029107_23/55	52	31.21	0.4167	0.45	2.025	2.142	2.4	2.222	0.4938	6.517e+04	2.837e+04	-0.7127	-0.6788	-0.1769	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_23-c55.json
029107_24/19	139	82.78	0.2	0.7	1.967	1.95	5	1.429	0.5085	5.79e+04	1.114e+04	0.6243	-0.7703	-0.1297	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_24-c19.json
029107_24/33	246	146.7	1.467	0.5167	1.35	0.8417	0.6818	1.935	0.7407	6.177e+04	1.475e+04	0.287	-0.6282	-0.7232	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_24-c33.json
029107_24/47	30	17.4	1.108	1.775	1.492	0.5833	0.9023	0.5634	0.6704	7.27e+04	2.71e+04	-0.2075	0.8386	-0.5037	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_24-c47.json
029107_25/109	173	103.5	0.8333	1.583	0.4417	0.5667	1.2	0.6316	2.264	6.086e+04	2.307e+04	0.2534	-0.8587	-0.4454	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_25-c109.json
029107_25/110	265	157.6	1	1.617	0.3333	1.5	1	0.6186	3	5.422e+04	2.069e+04	-0.5046	-0.6903	-0.5185	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_25-c110.json
029107_25/123	460	282.8	0.2333	1.25	0.7	2.133	4.286	0.8	1.429	5.651e+04	2.837e+04	-0.7276	-0.678	-0.1046	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_25-c123.json
029107_25/27	66	61.89	0.375	1.117	1.708	0.4917	2.667	0.8955	0.5854	1.668e+04	8567	-0.02737	0.9996	0.003001	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_25-c27.json
029107_25/89	865	516.3	1.117	0.4333	1.851	0.8833	0.8955	2.308	0.5402	5.065e+04	1.794e+04	-0.3037	-0.7706	0.5604	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_25-c89.json
029107_25/93	61	38.3	0.2167	1.7	0.9833	0.4167	4.615	0.5882	1.017	1.287e+04	1.461e+04	0.03234	0.9906	0.133	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_25-c93.json
029107_26/27	249	148.7	0.9333	1.7	0.8167	0.3333	1.071	0.5882	1.224	2.041e+04	1.918e+04	0.0864	-0.8198	0.5661	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_26-c27.json
029107_26/35	328	191.5	0.9667	0.3833	1.617	1.333	1.034	2.609	0.6186	3.824e+04	2.526e+04	-0.4895	0.7332	0.4719	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_26-c35.json
029107_26/43	163	93.44	0.6606	1.55	0.9583	0.5833	1.514	0.6452	1.043	4.206e+04	2.556e+04	-0.2179	-0.9164	0.3357	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_26-c43.json
029107_26/50	42	111.3	0.08333	0.1158	0.1	3.117	12	8.635	10	6.116e+04	5.682e+04	0.9976	-0.02698	-0.06429	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_26-c50.json
029107_26/57	307	183.6	1.05	1.761	0.7	0.3167	0.9524	0.568	1.429	1.793e+04	1.216e+04	0.08009	-0.7738	0.6284	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_26-c57.json
029107_26/87	118	70.52	1	1.817	0.35	2.25	1	0.5505	2.857	4.911e+04	2.051e+04	0.7552	0.4228	0.5009	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_26-c87.json
029107_26/88	146	86.16	0.6	0.9417	1.583	0.55	1.667	1.062	0.6316	3.889e+04	1.774e+04	-0.2453	-0.9111	0.3311	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_26-c88.json
029107_27/39	104	62.11	1.083	0.5833	1.433	0.1667	0.9231	1.714	0.6977	2.155e+04	2.565e+04	-0.07374	-0.6639	-0.7442	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_27-c39.json
029107_27/64	70	39.96	1.658	1.367	1.6	0.7263	0.603	0.7317	0.625	6.007e+04	2.607e+04	-0.3202	0.07284	0.9446	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_27-c64.json
029107_27/99	98	58.1	0.3	1.683	0.95	0.5167	3.333	0.5941	1.053	6.989e+04	3.669e+04	0.05824	-0.9885	-0.1393	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_27-c99.json
029107_28/109	991	595.9	1.167	1.283	0.8167	0.45	0.8571	0.7792	1.224	5.476e+04	1.959e+04	0.1296	-0.7919	-0.5967	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_28-c109.json
029107_28/36	395	236.4	1.95	1.9	1.6	0.2083	0.5128	0.5263	0.625	5.509e+04	1.414e+04	0.03123	0.2228	-0.9744	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_28-c36.json
029107_28/54	93	54.22	0.9333	1.9	0.4833	0.15	1.071	0.5263	2.069	1.055e+04	9682	0.07112	-0.8461	0.5282	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_28-c54.json
029107_29/119	115	70.56	1.6	1.533	1.3	0.9667	0.625	0.6522	0.7692	5.638e+04	2.83e+04	0.4058	0.1322	0.9043	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_29-c119.json
029107_29/35	929	553.8	0.2833	1.1	1.367	1.417	3.529	0.9091	0.7317	3.794e+04	2.224e+04	0.5295	-0.8454	0.06968	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_29-c35.json
029107_29/68	127	107.3	0.1202	1.133	1.85	1.325	8.317	0.8824	0.5405	3.995e+04	1.114e+04	0.4054	-0.9141	0.002508	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_29-c68.json
029107_3/107	508	304.2	0.2167	1.85	1.1	0.2583	4.615	0.5405	0.9091	5.674e+04	1.492e+04	-0.1076	-0.9903	-0.08764	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_3-c107.json
029107_3/111	551	329.8	0.95	1.45	0.4	0.3667	1.053	0.6897	2.5	5.288e+04	2.07e+04	0.1153	-0.8777	-0.4651	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_3-c111.json
029107_3/23	200	123.9	0.8833	1.633	0.8167	1	1.132	0.6122	1.224	3.612e+04	2.333e+04	-0.375	0.8194	-0.4336	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_3-c23.json
029107_3/31	35	19.61	0.6167	1.633	1.083	0.4667	1.622	0.6122	0.9231	9599	8796	-0.05643	0.7708	-0.6345	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_3-c31.json
029107_3/86	277	176.7	0.5083	1.567	0.9833	0.3667	1.967	0.6383	1.017	6.403e+04	2.863e+04	0.0244	-0.9936	-0.1099	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_3-c86.json
029107_3/99	189	112.2	1.225	1	1.783	0.3917	0.8163	1	0.5607	3.435e+04	2.07e+04	0.156	-0.6492	0.7445	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_3-c99.json
029107_4/118	120	70.87	0.85	0.2	1.483	2.017	1.176	5	0.6742	5.813e+04	1.653e+04	0.6713	-0.6072	0.425	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_4-c118.json
029107_4/123	380	222.1	0.3667	1.075	1.4	1.033	2.727	0.9302	0.7143	5.587e+04	2.417e+04	0.3447	-0.9205	0.1841	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_4-c123.json
029107_4/24	248	146.9	0.4167	1.15	0.7917	2.283	2.4	0.8696	1.263	5.599e+04	2.415e+04	-0.7479	0.6237	-0.2274	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_4-c24.json
029107_4/56	124	84.65	0.01667	1.15	1.717	0.7667	60	0.8696	0.5825	4.385e+04	1.928e+04	-0.4426	0.8957	0.04394	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_4-c56.json
029107_4/58	364	218.1	1.833	1.825	1.55	0.6333	0.5455	0.5479	0.6452	4.748e+04	1.832e+04	0.1937	-0.2773	0.941	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_4-c58.json
029107_4/69	116	68.88	0.8167	0.35	1.55	0.8833	1.224	2.857	0.6452	5.741e+04	1.471e+04	0.2851	-0.8684	-0.4058	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_4-c69.json
029107_4/72	100	59.99	1.867	1.808	1.567	0.45	0.5357	0.553	0.6383	6.197e+04	5.215e+04	-0.1343	-0.2872	0.9484	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_4-c72.json
029107_5/28	55	32.4	0.4	1.3	1.367	0.3833	2.5	0.7692	0.7317	2.971e+04	1.616e+04	0.07028	0.9958	-0.05796	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_5-c28.json
029107_5/31	175	101.3	0.6417	0.8333	1.467	1.55	1.558	1.2	0.6815	3.797e+04	1.939e+04	0.6221	-0.7811	-0.05421	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_5-c31.json
029107_5/32	326	195.4	1.917	1.7	1.6	0.4917	0.5217	0.5882	0.625	4.634e+04	2.036e+04	-0.1686	-0.1024	0.9803	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_5-c32.json
029107_5/37	663	396.1	0.3167	0.7333	0.3833	2.783	3.158	1.364	2.609	5.552e+04	2.069e+04	-0.9083	-0.3856	0.1623	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_5-c37.json
029107_5/39	64	37.8	1.017	1.858	0.55	0.2667	0.9836	0.5381	1.818	2.111e+04	9032	0.1413	0.819	-0.5561	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_5-c39.json
029107_5/42	118	160.9	0.2	1.033	1.367	1.402	5	0.9677	0.7317	2.045e+04	6836	-0.5309	-0.8475	-6.456e-05	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_5-c42.json
029107_5/51	813	498.8	0.5	0.8167	1.617	0.2333	2	1.224	0.6186	4.233e+04	2.176e+04	-0.06177	-0.9729	-0.2227	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_5-c51.json
029107_6/122	133	78.35	0.9833	0.3667	1.667	1.467	1.017	2.727	0.6	5.723e+04	2.34e+04	-0.483	-0.7425	0.4642	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_6-c122.json
029107_6/124	307	180.5	0.5172	0.8167	1.567	0.9333	1.933	1.224	0.6383	5.081e+04	2.26e+04	0.3004	0.914	-0.2728	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_6-c124.json
029107_6/53	53	29.65	1.517	1.642	1.292	0.9594	0.6593	0.6091	0.7742	2.904e+04	1.745e+04	0.4952	-0.1497	0.8558	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_6-c53.json
029107_6/97	533	317.8	0.7	1.683	0.45	1.158	1.429	0.5941	2.222	5.056e+04	2.141e+04	0.4079	0.8491	0.3355	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_6-c97.json
029107_7/32	528	332.8	0.3833	1.283	1.117	1.292	2.609	0.7792	0.8955	4.612e+04	2.352e+04	0.4408	-0.878	0.1867	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_7-c32.json
029107_7/34	754	452.2	1.817	1.117	1.417	0.55	0.5505	0.8955	0.7059	4.717e+04	2.245e+04	-0.2049	-0.3155	-0.9265	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_7-c34.json
029107_7/40	158	109.9	1.2	1.842	0.85	0.1	0.8333	0.543	1.176	2.251e+04	2.435e+04	0.006532	0.9852	-0.1711	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_7-c40.json
029107_7/45	99	59.31	1.439	1.633	1.3	0.1167	0.6951	0.6122	0.7692	2.815e+04	1.668e+04	-0.04025	0.1412	0.9892	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_7-c45.json
029107_7/85	334	199.2	0.6	0.5667	1.483	1.442	1.667	1.765	0.6742	5.594e+04	1.56e+04	0.4444	-0.8457	0.2956	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_7-c85.json
029107_8/104	589	355.1	1.4	0.5833	1.967	0.85	0.7143	1.714	0.5085	5.362e+04	1.612e+04	0.2995	-0.6414	0.7064	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_8-c104.json
029107_8/117	840	502.5	0.08333	2.017	1.017	1.35	12	0.4959	0.9836	5.516e+04	1.625e+04	0.4407	0.8954	0.06387	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_8-c117.json
029107_8/136	1119	677	0.4	0.55	1.125	2.333	2.5	1.818	0.8889	5.584e+04	2.284e+04	-0.7545	-0.6259	-0.1973	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_8-c136.json
029107_8/39	30	17.17	1.417	0.6	1.408	0.7083	0.7059	1.667	0.7101	2.239e+04	2.357e+04	0.2792	0.4586	0.8436	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_8-c39.json
029107_8/44	623	436.2	0.2	0.8167	0.8833	2.4	5	1.224	1.132	4.526e+04	2.125e+04	0.7819	-0.6224	0.03412	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_8-c44.json
029107_9/109	405	242.2	0.4333	1.683	0.7833	0.45	2.308	0.5941	1.277	5.485e+04	1.987e+04	-0.1372	-0.9662	-0.2184	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_9-c109.json
029107_9/115	392	238.2	0.7667	1.667	0.3667	1.45	1.304	0.6	2.727	5.541e+04	1.753e+04	0.4827	-0.7703	-0.4166	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_9-c115.json
029107_9/117	696	416.6	0.7333	0.75	1.733	0.1333	1.364	1.333	0.5769	4.951e+04	1.67e+04	0.02231	-0.935	0.3539	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_9-c117.json
029107_9/37	161	96.32	0.7667	0.6083	1.592	0.7167	1.304	1.644	0.6283	3.684e+04	1.897e+04	-0.2506	0.8063	0.5357	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_9-c37.json
029107_9/61	1035	633.7	1.533	0.75	1.35	0.1833	0.6522	1.333	0.7407	3.746e+04	2.553e+04	0.03799	-0.5309	-0.8466	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_9-c61.json
029107_9/63	127	77.73	0.3667	0.9667	1.583	0.1667	2.727	1.034	0.6316	5918	1.52e+04	0.01382	0.9979	0.06309	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_9-c63.json
