key	npts	len_cm	dpw	dpu	dpv	dpt	cm_w	cm_u	cm_v	q_med	q_rms	dirx	diry	dirz	f
028084_15/28	93	54.72	0.95	0.3167	1.817	2.167	1.053	3.158	0.5505	4.528e+04	3.229e+04	-0.7235	0.5519	0.4146	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_15-c28.json
028084_15/31	64	34.7	0.7333	0.875	1.617	0.4	1.364	1.143	0.6186	1.142e+04	6988	-0.07213	0.8708	0.4862	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_15-c31.json
028084_15/50	423	254	1.05	1.9	0.5	0.2	0.9524	0.5263	2	4.821e+04	1.999e+04	-0.007635	0.8018	-0.5975	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_15-c50.json
028084_16/100	322	191.6	0.4167	1.983	0.4667	2.092	2.4	0.5042	2.143	5.511e+04	2.056e+04	0.6867	-0.6979	-0.2034	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_16-c100.json
028084_16/106	739	448.6	1.15	0.4	1.867	0.9083	0.8696	2.5	0.5357	5.078e+04	1.818e+04	-0.3099	-0.7679	0.5606	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_16-c106.json
028084_16/110	243	145.7	0.6522	1.6	0.5507	0.7167	1.533	0.625	1.816	5.154e+04	1.976e+04	0.2411	-0.9089	-0.3402	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_16-c110.json
028084_17/110	128	75.95	0.8417	1.567	0.3583	1	1.188	0.6383	2.791	5.219e+04	1.824e+04	0.3424	-0.826	-0.4478	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_17-c110.json
028084_17/113	226	133.2	0.85	1.6	0.3417	1.2	1.176	0.625	2.927	5.603e+04	2.12e+04	0.3988	-0.8142	-0.4219	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_17-c113.json
028084_17/29	369	216.4	0.3833	1.333	1.25	1.183	2.609	0.75	0.8	3.557e+04	2.169e+04	-0.4243	0.8831	-0.2001	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_17-c29.json
028084_17/35	622	372.3	1.183	0.3437	1.4	0.4167	0.8451	2.909	0.7143	1.905e+04	1.81e+04	-0.195	0.7525	0.6291	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_17-c35.json
028084_17/38	83	126.3	0.2439	0.375	0.2457	3.017	4.099	2.667	4.07	1.236e+04	1.619e+04	-0.9993	0.01622	0.03323	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_17-c38.json
028084_17/55	606	367.2	0.9833	0.3	1.467	0.4917	1.017	3.333	0.6818	4.682e+04	2.473e+04	0.1936	-0.8494	-0.491	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_17-c55.json
028084_17/97	594	355.3	0.3833	1.633	0.95	0.2	2.609	0.6122	1.053	4.84e+04	2.121e+04	-0.02318	-0.9796	-0.1997	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_17-c97.json
028084_18/104	590	351.1	0.4	0.45	1.108	2.367	2.5	2.222	0.9023	5.646e+04	1.636e+04	0.7625	-0.6154	0.1996	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_18-c104.json
028084_18/108	140	88.94	0.65	0.5	1.55	1.467	1.538	2	0.6452	5.618e+04	1.411e+04	-0.4783	-0.8069	0.3467	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_18-c108.json
028084_18/122	318	194.9	0.55	1.9	0.2667	2.65	1.818	0.5263	3.75	5.117e+04	2.009e+04	-0.8582	0.4367	0.2699	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_18-c122.json
028084_18/17	182	131.4	0.6292	0.9667	0.4	2.142	1.589	1.034	2.5	1.963e+04	2.008e+04	-0.83	0.419	-0.3681	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_18-c17.json
028084_18/50	470	278.5	0.2333	0.9	1.817	1.433	4.286	1.111	0.5505	4.861e+04	2.067e+04	-0.5022	-0.8582	-0.1061	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_18-c50.json
028084_19/59	471	282.3	0.06667	1.117	1.942	1.583	15	0.8955	0.515	5.817e+04	1.364e+04	-0.5104	-0.8579	0.05967	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_19-c59.json
028084_19/61	91	54.42	1.967	1.7	1.567	0.2333	0.5085	0.5882	0.6383	4.573e+04	2.239e+04	-0.008061	-0.04514	-0.9989	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_19-c61.json
028084_2/116	262	157	1.683	1.333	1.967	0.2333	0.5941	0.75	0.5085	4.661e+04	1.649e+04	0.01024	-0.5428	0.8398	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_2-c116.json
