arm	plane	metric	median	q25	q75	n
d02sig	-	dqdx:all_status0:hump_3_20	0.50534	nan	nan	0
d02sigb	-	dqdx:all_status0:hump_3_20	0.50218	nan	nan	0
d02fix	-	dqdx:all_status0:hump_3_20	0.5201	nan	nan	0
d02ref	-	dqdx:contrast_ge2:ntracks	19	nan	nan	19
d02sig	-	dqdx:contrast_ge2:ntracks	24	nan	nan	24
d02sigb	-	dqdx:contrast_ge2:ntracks	24	nan	nan	24
d02fix	-	dqdx:contrast_ge2:ntracks	24	nan	nan	24
d02ref	-	dqdx:contrast_ge2:k_pop	0.9691	nan	nan	19
d02sig	-	dqdx:contrast_ge2:k_pop	0.9048	nan	nan	24
d02sigb	-	dqdx:contrast_ge2:k_pop	0.8324	nan	nan	24
d02fix	-	dqdx:contrast_ge2:k_pop	0.9	nan	nan	24
d02ref	-	dqdx:contrast_ge2:chi2	148.17	nan	nan	19
d02sig	-	dqdx:contrast_ge2:chi2	1186.72	nan	nan	24
d02sigb	-	dqdx:contrast_ge2:chi2	1356.4	nan	nan	24
d02fix	-	dqdx:contrast_ge2:chi2	1457.99	nan	nan	24
d02ref	-	dqdx:contrast_ge2:k_med	0.7159	nan	nan	19
d02sig	-	dqdx:contrast_ge2:k_med	0.2486	nan	nan	24
d02sigb	-	dqdx:contrast_ge2:k_med	0.2728	nan	nan	24
d02fix	-	dqdx:contrast_ge2:k_med	0.2675	nan	nan	24
d02ref	-	dqdx:contrast_ge2:k_rms	0.4063	nan	nan	19
d02sig	-	dqdx:contrast_ge2:k_rms	0.3959	nan	nan	24
d02sigb	-	dqdx:contrast_ge2:k_rms	0.3411	nan	nan	24
d02fix	-	dqdx:contrast_ge2:k_rms	0.3608	nan	nan	24
d02ref	-	dqdx:contrast_ge2:contrast_med	2.561	nan	nan	19
d02sig	-	dqdx:contrast_ge2:contrast_med	2.439	nan	nan	24
d02sigb	-	dqdx:contrast_ge2:contrast_med	2.44	nan	nan	24
d02fix	-	dqdx:contrast_ge2:contrast_med	2.543	nan	nan	24
d02ref	-	dqdx:contrast_ge2:hump_3_20	0.81804	nan	nan	0
d02sig	-	dqdx:contrast_ge2:hump_3_20	0.50814	nan	nan	0
d02sigb	-	dqdx:contrast_ge2:hump_3_20	0.46164	nan	nan	0
d02fix	-	dqdx:contrast_ge2:hump_3_20	0.43966	nan	nan	0
d02ref	-	dqdx:doc55_cuts:ntracks	3	nan	nan	3
d02sig	-	dqdx:doc55_cuts:ntracks	3	nan	nan	3
d02sigb	-	dqdx:doc55_cuts:ntracks	1	nan	nan	1
d02fix	-	dqdx:doc55_cuts:ntracks	3	nan	nan	3
d02ref	-	dqdx:doc55_cuts:k_pop	1.0836	nan	nan	3
d02sig	-	dqdx:doc55_cuts:k_pop	1.0783	nan	nan	3
d02sigb	-	dqdx:doc55_cuts:k_pop	0.9869	nan	nan	1
d02fix	-	dqdx:doc55_cuts:k_pop	1.0678	nan	nan	3
d02ref	-	dqdx:doc55_cuts:chi2	15.61	nan	nan	3
d02sig	-	dqdx:doc55_cuts:chi2	13.58	nan	nan	3
d02sigb	-	dqdx:doc55_cuts:chi2	7.92	nan	nan	1
d02fix	-	dqdx:doc55_cuts:chi2	12.82	nan	nan	3
d02ref	-	dqdx:doc55_cuts:k_med	1.0755	nan	nan	3
d02sig	-	dqdx:doc55_cuts:k_med	1.0685	nan	nan	3
d02sigb	-	dqdx:doc55_cuts:k_med	1.0118	nan	nan	1
d02fix	-	dqdx:doc55_cuts:k_med	1.0602	nan	nan	3
d02ref	-	dqdx:doc55_cuts:k_rms	0.0371	nan	nan	3
d02sig	-	dqdx:doc55_cuts:k_rms	0.0275	nan	nan	3
d02sigb	-	dqdx:doc55_cuts:k_rms	0	nan	nan	1
d02fix	-	dqdx:doc55_cuts:k_rms	0.0245	nan	nan	3
d02ref	-	dqdx:doc55_cuts:contrast_med	2.392	nan	nan	3
d02sig	-	dqdx:doc55_cuts:contrast_med	2.603	nan	nan	3
d02sigb	-	dqdx:doc55_cuts:contrast_med	2.017	nan	nan	1
d02fix	-	dqdx:doc55_cuts:contrast_med	2.679	nan	nan	3
d02ref	-	dqdx:doc55_cuts:hump_3_20	1.01182	nan	nan	0
d02sig	-	dqdx:doc55_cuts:hump_3_20	1.01768	nan	nan	0
d02sigb	-	dqdx:doc55_cuts:hump_3_20	nan	nan	nan	0
d02fix	-	dqdx:doc55_cuts:hump_3_20	1.01786	nan	nan	0
d02ref	-	dqdx:doc55_muon:ntracks	3	nan	nan	3
d02sig	-	dqdx:doc55_muon:ntracks	3	nan	nan	3
d02sigb	-	dqdx:doc55_muon:ntracks	1	nan	nan	1
d02fix	-	dqdx:doc55_muon:ntracks	3	nan	nan	3
d02ref	-	dqdx:doc55_muon:k_pop	1.0836	nan	nan	3
d02sig	-	dqdx:doc55_muon:k_pop	1.0783	nan	nan	3
d02sigb	-	dqdx:doc55_muon:k_pop	0.9869	nan	nan	1
d02fix	-	dqdx:doc55_muon:k_pop	1.0678	nan	nan	3
d02ref	-	dqdx:doc55_muon:chi2	15.61	nan	nan	3
d02sig	-	dqdx:doc55_muon:chi2	13.58	nan	nan	3
d02sigb	-	dqdx:doc55_muon:chi2	7.92	nan	nan	1
d02fix	-	dqdx:doc55_muon:chi2	12.82	nan	nan	3
d02ref	-	dqdx:doc55_muon:k_med	1.0755	nan	nan	3
d02sig	-	dqdx:doc55_muon:k_med	1.0685	nan	nan	3
d02sigb	-	dqdx:doc55_muon:k_med	1.0118	nan	nan	1
d02fix	-	dqdx:doc55_muon:k_med	1.0602	nan	nan	3
d02ref	-	dqdx:doc55_muon:k_rms	0.0371	nan	nan	3
d02sig	-	dqdx:doc55_muon:k_rms	0.0275	nan	nan	3
d02sigb	-	dqdx:doc55_muon:k_rms	0	nan	nan	1
d02fix	-	dqdx:doc55_muon:k_rms	0.0245	nan	nan	3
d02ref	-	dqdx:doc55_muon:contrast_med	2.392	nan	nan	3
d02sig	-	dqdx:doc55_muon:contrast_med	2.603	nan	nan	3
d02sigb	-	dqdx:doc55_muon:contrast_med	2.017	nan	nan	1
d02fix	-	dqdx:doc55_muon:contrast_med	2.679	nan	nan	3
d02ref	-	dqdx:doc55_muon:hump_3_20	1.01182	nan	nan	0
d02sig	-	dqdx:doc55_muon:hump_3_20	1.01768	nan	nan	0
d02sigb	-	dqdx:doc55_muon:hump_3_20	nan	nan	nan	0
d02fix	-	dqdx:doc55_muon:hump_3_20	1.01786	nan	nan	0
