label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
length:L<100cm	share	V	4	1487.34	74	8.23381e+06	3.60263	3.12822	2.35035	6.53826	2.71254	8.71732	1.1205	0	0.518639
length:L<100cm	share	V	5	2017.52	111	8.50414e+06	3.37079	2.96288	2.5286	8.05039	1.46306	8.9774	0.529265	0	0.528048
length:L<100cm	rms	W	1	63.2575	163	6.82173e+06	4.07554	1.24806	0.32663	13.2324	6.92336	15.159	0.827354	0	0.642412
length:L<100cm	rms	W	2	183.242	86	3.46402e+06	5.08148	1.11741	0.55091	23.5437	11.8438	24.8763	0.390142	0	0.533261
length:L<100cm	rms	W	3	522.457	92	3.41902e+06	3.95948	1.32372	0.927324	13.7638	7.73402	14.7852	1.45519e-11	0	0.655873
length:L<100cm	rms	W	4	1569.62	91	3.43695e+06	3.79617	2.75312	1.6055	9.35324	8.81801	9.40887	1.23339	0	0.578309
length:L<100cm	rms	W	5	1944.27	93	3.44359e+06	4.45638	2.39979	1.78667	17.2374	8.75957	17.2925	0.563269	0	0.599231
length:L<100cm	share	W	1	63.2575	163	6.82173e+06	4.07554	1.24806	0.32663	3.29078	2.9688	15.159	0.827354	0	0.642412
length:L<100cm	share	W	2	183.242	86	3.46402e+06	5.08148	1.11741	0.55091	8.43979	12.2908	24.8763	0.390142	0	0.533261
length:L<100cm	share	W	3	522.457	92	3.41902e+06	3.95948	1.32372	0.927324	4.1235	6.50448	14.7852	1.45519e-11	0	0.655873
length:L<100cm	share	W	4	1569.62	91	3.43695e+06	3.79617	2.75312	1.6055	3.4608	7.28444	9.40887	1.23339	0	0.578309
length:L<100cm	share	W	5	1944.27	93	3.44359e+06	4.45638	2.39979	1.78667	5.41782	5.08894	17.2925	0.563269	0	0.599231
length:L>=100cm	rms	U	0	224.075	967	1.05745e+08	4.20596	2.35272	1.21571	13.5263	1.44909	13.6328	1.08817	0	0.453996
length:L>=100cm	rms	U	1	536.358	901	1.05899e+08	4.27181	2.50643	1.41074	13.8924	1.58105	13.9564	1.1339	0	0.444614
length:L>=100cm	rms	U	2	804.178	886	1.05765e+08	4.31808	2.67358	1.55869	13.8765	1.22734	13.9273	1.22665	0	0.435067
length:L>=100cm	rms	U	3	1098.56	858	1.05896e+08	4.23319	2.75432	1.70657	13.2005	1.15629	13.2461	1.21623	0	0.435035
length:L>=100cm	rms	U	4	1481.86	859	1.05684e+08	4.60128	3.03326	1.88179	15.4712	1.87082	15.5123	1.41409	0	0.414791
length:L>=100cm	rms	U	5	1957.31	766	1.05983e+08	4.45199	3.12827	2.07871	14.3187	1.18742	14.3552	1.37579	0	0.418304
length:L>=100cm	share	U	0	224.075	967	1.05745e+08	4.20596	2.35272	1.21571	10.7044	0.862461	13.6328	1.08817	0	0.453996
length:L>=100cm	share	U	1	536.358	901	1.05899e+08	4.27181	2.50643	1.41074	11.224	1.24125	13.9564	1.1339	0	0.444614
length:L>=100cm	share	U	2	804.178	886	1.05765e+08	4.31808	2.67358	1.55869	11.5426	1.11863	13.9273	1.22665	0	0.435067
length:L>=100cm	share	U	3	1098.56	858	1.05896e+08	4.23319	2.75432	1.70657	11.5997	1.06368	13.2461	1.21623	0	0.435035
length:L>=100cm	share	U	4	1481.86	859	1.05684e+08	4.60128	3.03326	1.88179	12.3123	1.06053	15.5123	1.41409	0	0.414791
length:L>=100cm	share	U	5	1957.31	766	1.05983e+08	4.45199	3.12827	2.07871	12.2096	1.03353	14.3552	1.37579	0	0.418304
length:L>=100cm	rms	V	0	256.981	798	8.83127e+07	4.15103	2.7888	1.87242	12.9187	1.69605	12.9596	1.12412	0	0.490038
length:L>=100cm	rms	V	1	656.167	822	8.84267e+07	4.0824	3.07925	2.03979	11.3022	1.19838	11.345	1.34817	0	0.484099
length:L>=100cm	rms	V	2	1059.11	803	8.82478e+07	4.11687	3.05715	2.19584	12.3884	1.39823	12.4242	1.18059	0	0.476242
length:L>=100cm	rms	V	3	1318.31	742	8.85325e+07	4.18292	3.08369	2.29061	13.1993	2.08532	13.2345	1.12077	0	0.471905
length:L>=100cm	rms	V	4	1584.66	731	8.84041e+07	3.80304	3.00251	2.38407	11.0959	0.850417	11.1318	0.876353	0	0.483904
length:L>=100cm	rms	V	5	1917.66	661	8.84211e+07	4.17288	3.27984	2.496	12.8511	1.3177	12.8856	1.18094	0	0.455537
length:L>=100cm	share	V	0	256.981	798	8.83127e+07	4.15103	2.7888	1.87242	8.1103	1.04476	12.9596	1.12412	0	0.490038
length:L>=100cm	share	V	1	656.167	822	8.84267e+07	4.0824	3.07925	2.03979	7.2161	1.56237	11.345	1.34817	0	0.484099
length:L>=100cm	share	V	2	1059.11	803	8.82478e+07	4.11687	3.05715	2.19584	8.6903	1.30666	12.4242	1.18059	0	0.476242
length:L>=100cm	share	V	3	1318.31	742	8.85325e+07	4.18292	3.08369	2.29061	9.28181	1.50369	13.2345	1.12077	0	0.471905
length:L>=100cm	share	V	4	1584.66	731	8.84041e+07	3.80304	3.00251	2.38407	9.52629	1.08827	11.1318	0.876353	0	0.483904
length:L>=100cm	share	V	5	1917.66	661	8.84211e+07	4.17288	3.27984	2.496	10.1402	1.0717	12.8856	1.18094	0	0.455537
length:L>=100cm	rms	W	0	252.207	1229	5.75562e+07	4.18313	1.4341	0.645468	15.0027	4.32013	15.8585	0.50742	0	0.623941
length:L>=100cm	rms	W	1	584.976	962	5.75757e+07	2.61288	1.5026	0.981062	4.8983	1.79598	5.53184	1.45519e-11	0	0.75068
length:L>=100cm	rms	W	2	852.969	1178	5.766e+07	3.40997	1.83235	1.1841	9.55609	2.21577	9.67247	0.242742	0	0.672237
length:L>=100cm	rms	W	3	1158.65	1224	5.76775e+07	4.43882	2.22375	1.37968	16.5568	2.89438	16.6616	0.756703	0	0.534227
length:L>=100cm	rms	W	4	1557.59	1145	5.75959e+07	4.08242	2.28947	1.59934	13.9114	3.89377	13.9824	0.617219	0	0.553511
length:L>=100cm	rms	W	5	1967.82	1179	5.76514e+07	3.63389	2.47269	1.79745	10.2622	2.91046	10.3218	0.686068	0	0.604159
length:L>=100cm	share	W	0	252.207	1229	5.75562e+07	4.18313	1.4341	0.645468	4.70574	2.0297	15.8585	0.50742	0	0.623941
length:L>=100cm	share	W	1	584.976	962	5.75757e+07	2.61288	1.5026	0.981062	2.01349	0.406599	5.53184	1.45519e-11	0	0.75068
length:L>=100cm	share	W	2	852.969	1178	5.766e+07	3.40997	1.83235	1.1841	3.68206	0.657264	9.67247	0.242742	0	0.672237
length:L>=100cm	share	W	3	1158.65	1224	5.76775e+07	4.43882	2.22375	1.37968	7.60187	1.78359	16.6616	0.756703	0	0.534227
length:L>=100cm	share	W	4	1557.59	1145	5.75959e+07	4.08242	2.28947	1.59934	7.0847	2.51251	13.9824	0.617219	0	0.553511
length:L>=100cm	share	W	5	1967.82	1179	5.76514e+07	3.63389	2.47269	1.79745	4.9356	1.05645	10.3218	0.686068	0	0.604159
rr:rr<10cm	rms	U	0	50.3077	61	4.85713e+06	4.98135	2.18315	1.0922	21.0932	12.5464	21.2406	0.975985	0	0.436635
rr:rr<10cm	rms	U	1	177.214	48	4.83505e+06	4.6185	2.05437	1.18367	18.384	5.94347	18.5112	0.740692	0	0.445855
rr:rr<10cm	rms	U	2	569.915	50	4.88269e+06	4.25741	2.54684	1.43012	13.6222	2.87317	13.6844	1.16829	0	0.397137
rr:rr<10cm	rms	U	3	1268.71	57	4.8702e+06	3.72966	2.42048	1.78648	11.188	2.90322	11.2432	0.66039	0	0.525721
rr:rr<10cm	rms	U	4	1746.1	43	4.8204e+06	4.24182	3.15596	1.99364	11.9682	1.63686	12.0075	1.47352	0	0.421783
rr:rr<10cm	rms	U	5	2079.34	58	4.95836e+06	3.97865	2.86431	2.12631	12.1084	2.09324	12.1466	0.976158	0	0.458862
rr:rr<10cm	share	U	0	50.3077	61	4.85713e+06	4.98135	2.18315	1.0922	12.575	6.8464	21.2406	0.975985	0	0.436635
rr:rr<10cm	share	U	1	177.214	48	4.83505e+06	4.6185	2.05437	1.18367	12.6242	2.47394	18.5112	0.740692	0	0.445855
rr:rr<10cm	share	U	2	569.915	50	4.88269e+06	4.25741	2.54684	1.43012	15.5615	8.01361	13.6844	1.16829	0	0.397137
rr:rr<10cm	share	U	3	1268.71	57	4.8702e+06	3.72966	2.42048	1.78648	7.88236	1.55441	11.2432	0.66039	0	0.525721
rr:rr<10cm	share	U	4	1746.1	43	4.8204e+06	4.24182	3.15596	1.99364	11.2412	1.50151	12.0075	1.47352	0	0.421783
rr:rr<10cm	share	U	5	2079.34	58	4.95836e+06	3.97865	2.86431	2.12631	10.8337	1.19405	12.1466	0.976158	0	0.458862
rr:rr<10cm	rms	V	0	50	51	4.43769e+06	4.11204	2.36352	1.77945	14.4383	3.91493	14.4891	0.555342	0	0.525564
rr:rr<10cm	rms	V	1	225.673	57	4.17084e+06	3.54568	2.70902	1.85865	8.64119	2.34591	8.68763	1.03066	0	0.553746
rr:rr<10cm	rms	V	2	845.576	61	4.93006e+06	4.60814	3.01651	2.11458	16.5711	4.56868	16.607	1.20452	0	0.468883
rr:rr<10cm	rms	V	3	1542.3	51	4.66032e+06	3.75002	2.65598	2.36945	12.2457	1.66876	12.6227	1.45519e-11	0	0.490726
rr:rr<10cm	rms	V	4	1763.81	30	4.3571e+06	3.49114	3.25742	2.44493	7.52167	1.73836	7.55494	1.20503	0	0.519733
rr:rr<10cm	rms	V	5	1999.54	58	4.80641e+06	4.0295	3.14431	2.52277	12.6806	2.58788	12.7145	0.930687	0	0.46568
rr:rr<10cm	share	V	0	50	51	4.43769e+06	4.11204	2.36352	1.77945	8.12602	5.32363	14.4891	0.555342	0	0.525564
rr:rr<10cm	share	V	1	225.673	57	4.17084e+06	3.54568	2.70902	1.85865	5.33337	2.27513	8.68763	1.03066	0	0.553746
rr:rr<10cm	share	V	2	845.576	61	4.93006e+06	4.60814	3.01651	2.11458	9.0584	1.5537	16.607	1.20452	0	0.468883
rr:rr<10cm	share	V	3	1542.3	51	4.66032e+06	3.75002	2.65598	2.36945	10.4206	1.05103	12.6227	1.45519e-11	0	0.490726
rr:rr<10cm	share	V	4	1763.81	30	4.3571e+06	3.49114	3.25742	2.44493	6.03507	2.66891	7.55494	1.20503	0	0.519733
rr:rr<10cm	share	V	5	1999.54	58	4.80641e+06	4.0295	3.14431	2.52277	10.5267	1.98457	12.7145	0.930687	0	0.46568
rr:rr<10cm	rms	W	1	73.885	102	4.15504e+06	4.36659	1.24601	0.352307	15.7643	7.33536	17.6386	0.805921	0	0.633483
rr:rr<10cm	rms	W	2	337.07	38	2.10745e+06	4.53017	1.31472	0.745542	18.5115	5.01191	19.3497	0.184128	0	0.60722
rr:rr<10cm	rms	W	3	1161.73	64	2.08638e+06	3.0364	2.21808	1.3815	6.10704	2.71642	6.20841	0.744048	0	0.679567
rr:rr<10cm	rms	W	4	1685.05	53	2.07669e+06	3.54568	2.31021	1.66342	9.93878	6.30898	10.0018	0.567698	0	0.659557
rr:rr<10cm	rms	W	5	1977.14	50	2.11665e+06	4.48115	2.65585	1.80169	16.219	2.63547	16.2733	0.96202	0	0.484492
rr:rr<10cm	share	W	1	73.885	102	4.15504e+06	4.36659	1.24601	0.352307	3.62576	3.49458	17.6386	0.805921	0	0.633483
rr:rr<10cm	share	W	2	337.07	38	2.10745e+06	4.53017	1.31472	0.745542	5.60543	6.37496	19.3497	0.184128	0	0.60722
rr:rr<10cm	share	W	3	1161.73	64	2.08638e+06	3.0364	2.21808	1.3815	2.58319	0.919379	6.20841	0.744048	0	0.679567
rr:rr<10cm	share	W	4	1685.05	53	2.07669e+06	3.54568	2.31021	1.66342	3.56527	1.58523	10.0018	0.567698	0	0.659557
rr:rr<10cm	share	W	5	1977.14	50	2.11665e+06	4.48115	2.65585	1.80169	9.66217	3.8813	16.2733	0.96202	0	0.484492
rr:rr>30cm	rms	U	0	259.565	903	9.81896e+07	4.22549	2.39837	1.23942	13.5486	1.37386	13.6387	1.12271	0	0.44958
rr:rr>30cm	rms	U	1	556.719	820	9.82553e+07	4.36636	2.50192	1.42253	14.7633	2.4152	14.8292	1.12174	0	0.438511
rr:rr>30cm	rms	U	2	827.117	816	9.83381e+07	4.20544	2.70244	1.57071	12.8023	0.826966	12.8496	1.25189	0	0.442164
rr:rr>30cm	rms	U	3	1112.06	824	9.82061e+07	4.20317	2.74407	1.71305	13.0295	1.39234	13.0713	1.19703	0	0.434956
rr:rr>30cm	rms	U	4	1491.3	795	9.83801e+07	4.6121	3.01637	1.8859	15.6931	2.06299	15.7296	1.39006	0	0.415934
rr:rr>30cm	rms	U	5	1960.19	748	9.82984e+07	4.43619	3.11576	2.07985	14.2609	1.27577	14.2976	1.36029	0	0.422367
rr:rr>30cm	share	U	0	259.565	903	9.81896e+07	4.22549	2.39837	1.23942	10.886	0.941516	13.6387	1.12271	0	0.44958
rr:rr>30cm	share	U	1	556.719	820	9.82553e+07	4.36636	2.50192	1.42253	11.7811	1.84708	14.8292	1.12174	0	0.438511
rr:rr>30cm	share	U	2	827.117	816	9.83381e+07	4.20544	2.70244	1.57071	10.8186	0.835605	12.8496	1.25189	0	0.442164
rr:rr>30cm	share	U	3	1112.06	824	9.82061e+07	4.20317	2.74407	1.71305	11.6953	1.24779	13.0713	1.19703	0	0.434956
rr:rr>30cm	share	U	4	1491.3	795	9.83801e+07	4.6121	3.01637	1.8859	12.3444	1.37403	15.7296	1.39006	0	0.415934
rr:rr>30cm	share	U	5	1960.19	748	9.82984e+07	4.43619	3.11576	2.07985	11.9233	1.23947	14.2976	1.36029	0	0.422367
rr:rr>30cm	rms	V	0	245.689	744	8.4159e+07	4.06274	2.80409	1.86747	12.0872	1.70397	12.1304	1.1478	0	0.493969
rr:rr>30cm	rms	V	1	626.508	775	8.42615e+07	4.04978	3.05021	2.02783	11.1722	1.20766	11.209	1.32221	0	0.484249
rr:rr>30cm	rms	V	2	1033.41	759	8.40881e+07	4.16636	3.03414	2.18622	12.896	1.64373	12.9321	1.1594	0	0.470116
rr:rr>30cm	rms	V	3	1282.11	706	8.4296e+07	4.15981	3.07732	2.27761	12.9875	1.99662	13.0217	1.12506	0	0.478316
rr:rr>30cm	rms	V	4	1554.51	684	8.41092e+07	3.88681	3.04733	2.37368	11.4209	1.0526	11.4554	0.967174	0	0.47649
rr:rr>30cm	rms	V	5	1920.59	657	8.4349e+07	4.16969	3.2865	2.49697	12.784	1.3158	12.8201	1.18962	0	0.456644
