# pr150 traj compare A=pr150s0 B=pr150p3bw samples=['mcp1k', 'mcp2k'] A=1315 B=1317 common=1285
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| control | 137 | R2D_V | 0.0140 | 0.0121 | -0.0019 | 24 / 16 | 0.268 |
| control | 137 | R2Dpm1_W | 0.0114 | 0.0079 | -0.0035 | 13 / 1 | 0.00183 |
| control | 137 | P1 | 0.0243 | 0.0186 | -0.0058 | 33 / 15 | 0.0133 |
| control | 137 | P1_2 | 0.0085 | 0.0078 | -0.0007 | 4 / 2 | 0.688 |
| control | 137 | P2 | 0.0240 | 0.0189 | -0.0051 | 20 / 14 | 0.392 |
| control | 137 | P3 | 0.5551 | 0.5754 | +0.0203 | 18 / 22 | 0.636 |
| control | 137 | P4 | 0.9569 | 0.9542 | -0.0026 | 19 / 27 | 0.302 |
| control | 137 | uncov | 0.2683 | 0.2767 | +0.0084 | 31 / 34 | 0.804 |
| control | 137 | qneg | 0.0258 | 0.0258 | -0.0000 | 25 / 20 | 0.551 |
| control | 137 | wig1 | 0.0941 | 0.0901 | -0.0039 | 47 / 21 | 0.00219 |
| control | 137 | med_d_W | 0.2438 | 0.2365 | -0.0073 | 49 / 45 | 0.757 |
| control | 137 | noslice_W | 0.0035 | 0.0036 | +0.0001 | 0 / 1 | 1 |
| control | 137 | len_cm (sum) | 165097.2 | 163925.2 | -1172.0 | | |
| control | 137 | rows (sum) | 33953.0 | 33779.0 | -174.0 | | |
| iso | 144 | R2D_W | 0.0059 | 0.0055 | -0.0004 | 9 / 9 | 1 |
| iso | 144 | R2D_U | 0.0094 | 0.0083 | -0.0011 | 14 / 12 | 0.845 |
| iso | 144 | R2D_V | 0.0130 | 0.0118 | -0.0013 | 25 / 16 | 0.211 |
| iso | 144 | R2Dpm1_W | 0.0030 | 0.0031 | +0.0001 | 3 / 5 | 0.727 |
| iso | 144 | P1 | 0.0297 | 0.0290 | -0.0007 | 45 / 28 | 0.0604 |
| iso | 144 | P1_2 | 0.0043 | 0.0045 | +0.0002 | 5 / 5 | 1 |
| iso | 144 | P2 | 0.0159 | 0.0155 | -0.0004 | 17 / 19 | 0.868 |
| iso | 144 | P3 | 0.8113 | 0.7680 | -0.0433 | 40 / 37 | 0.82 |
| iso | 144 | P4 | 0.6176 | 0.6193 | +0.0017 | 40 / 25 | 0.0817 |
| iso | 144 | uncov | 0.1840 | 0.1860 | +0.0020 | 43 / 30 | 0.16 |
| iso | 144 | qneg | 0.0281 | 0.0266 | -0.0015 | 38 / 28 | 0.268 |
| iso | 144 | wig1 | 0.0646 | 0.0651 | +0.0005 | 32 / 38 | 0.55 |
| iso | 144 | med_d_W | 0.2468 | 0.2445 | -0.0023 | 65 / 46 | 0.0871 |
| iso | 144 | noslice_W | 0.0016 | 0.0017 | +0.0001 | 0 / 0 | nan |
| iso | 144 | len_cm (sum) | 315509.8 | 310808.5 | -4701.3 | | |
| iso | 144 | rows (sum) | 77464.0 | 77367.0 | -97.0 | | |
| owner | 3 | R2D_W | 0.0094 | 0.0038 | -0.0056 | 1 / 0 | 1 |
| owner | 3 | R2D_U | 0.0019 | 0.0047 | +0.0029 | 0 / 1 | 1 |
| owner | 3 | R2D_V | 0.0121 | 0.0094 | -0.0027 | 0 / 1 | 1 |
| owner | 3 | R2Dpm1_W | 0.0037 | 0.0019 | -0.0019 | 0 / 0 | nan |
| owner | 3 | P1 | 0.0111 | 0.0028 | -0.0083 | 1 / 0 | 1 |
| owner | 3 | P1_2 | 0.0000 | 0.0000 | +0.0000 | 0 / 0 | nan |
| owner | 3 | P2 | 0.0149 | 0.0121 | -0.0027 | 0 / 0 | nan |
| owner | 3 | P3 | 0.4679 | 0.4782 | +0.0103 | 0 / 1 | 1 |
| owner | 3 | P4 | 0.8401 | 0.8421 | +0.0020 | 0 / 1 | 1 |
| owner | 3 | uncov | 0.3537 | 0.3515 | -0.0022 | 0 / 1 | 1 |
| owner | 3 | qneg | 0.0186 | 0.0168 | -0.0018 | 1 / 0 | 1 |
| owner | 3 | wig1 | 0.0641 | 0.0626 | -0.0015 | 0 / 0 | nan |
| owner | 3 | med_d_W | 0.2431 | 0.2422 | -0.0009 | 1 / 1 | 1 |
| owner | 3 | noslice_W | 0.0037 | 0.0038 | +0.0000 | 0 / 0 | nan |
| owner | 3 | len_cm (sum) | 5069.2 | 4995.8 | -73.4 | | |
| owner | 3 | rows (sum) | 1077.0 | 1071.0 | -6.0 | | |
| vtx_iso | 253 | R2D_W | 0.0111 | 0.0100 | -0.0011 | 40 / 19 | 0.00864 |
| vtx_iso | 253 | R2D_U | 0.0139 | 0.0120 | -0.0018 | 36 / 30 | 0.539 |
| vtx_iso | 253 | R2D_V | 0.0160 | 0.0146 | -0.0013 | 58 / 36 | 0.0298 |
| vtx_iso | 253 | R2Dpm1_W | 0.0072 | 0.0071 | -0.0002 | 16 / 10 | 0.327 |
| vtx_iso | 253 | P1 | 0.0298 | 0.0283 | -0.0015 | 73 / 61 | 0.342 |
| vtx_iso | 253 | P1_2 | 0.0035 | 0.0039 | +0.0005 | 6 / 8 | 0.791 |
| vtx_iso | 253 | P2 | 0.0231 | 0.0213 | -0.0017 | 48 / 30 | 0.0535 |
| vtx_iso | 253 | P3 | 0.7920 | 0.7411 | -0.0509 | 66 / 48 | 0.111 |
| vtx_iso | 253 | P4 | 0.8495 | 0.8487 | -0.0008 | 64 / 66 | 0.93 |
| vtx_iso | 253 | uncov | 0.2101 | 0.2133 | +0.0032 | 89 / 66 | 0.0769 |
| vtx_iso | 253 | qneg | 0.0314 | 0.0303 | -0.0011 | 71 / 44 | 0.015 |
| vtx_iso | 253 | wig1 | 0.1012 | 0.1015 | +0.0003 | 82 / 84 | 0.938 |
| vtx_iso | 253 | med_d_W | 0.2403 | 0.2397 | -0.0006 | 90 / 101 | 0.469 |
| vtx_iso | 253 | noslice_W | 0.0016 | 0.0014 | -0.0002 | 7 / 1 | 0.0703 |
| vtx_iso | 253 | len_cm (sum) | 400320.7 | 394244.1 | -6076.6 | | |
| vtx_iso | 253 | rows (sum) | 84073.0 | 83200.0 | -873.0 | | |
