# pr150 traj compare A=pr150s0 B=pr150csp3bw samples=['mcp1k', 'mcp2k'] A=1315 B=1314 common=1275
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| control | 135 | len_cm (sum) | 164574.6 | 164052.8 | -521.8 | | |
| control | 135 | rows (sum) | 33635.0 | 33223.0 | -412.0 | | |
| iso | 144 | R2D_W | 0.0058 | 0.0051 | -0.0008 | 17 / 14 | 0.72 |
| iso | 144 | R2D_U | 0.0093 | 0.0066 | -0.0027 | 30 / 10 | 0.00222 |
| iso | 144 | R2D_V | 0.0128 | 0.0091 | -0.0037 | 32 / 14 | 0.0114 |
| iso | 144 | R2Dpm1_W | 0.0030 | 0.0025 | -0.0005 | 7 / 9 | 0.804 |
| iso | 144 | P1 | 0.0305 | 0.0282 | -0.0023 | 44 / 39 | 0.661 |
| iso | 144 | P1_2 | 0.0043 | 0.0028 | -0.0014 | 11 / 6 | 0.332 |
| iso | 144 | P2 | 0.0158 | 0.0118 | -0.0040 | 36 / 17 | 0.0127 |
| iso | 144 | P3 | 0.7896 | 0.8301 | +0.0405 | 41 / 46 | 0.668 |
| iso | 144 | P4 | 0.6157 | 0.6178 | +0.0021 | 51 / 37 | 0.165 |
| iso | 144 | uncov | 0.1841 | 0.1808 | -0.0033 | 56 / 32 | 0.0138 |
| iso | 144 | qneg | 0.0279 | 0.0282 | +0.0003 | 44 / 30 | 0.13 |
| iso | 144 | wig1 | 0.0644 | 0.0679 | +0.0035 | 23 / 55 | 0.000378 |
| iso | 144 | med_d_W | 0.2467 | 0.2431 | -0.0036 | 63 / 46 | 0.125 |
| iso | 144 | noslice_W | 0.0015 | 0.0017 | +0.0002 | 1 / 1 | 1 |
| iso | 144 | len_cm (sum) | 316819.9 | 318220.9 | +1401.0 | | |
| iso | 144 | rows (sum) | 77936.0 | 77786.0 | -150.0 | | |
| owner | 3 | R2D_W | 0.0094 | 0.0019 | -0.0075 | 1 / 1 | 1 |
| owner | 3 | R2D_U | 0.0019 | 0.0038 | +0.0019 | 0 / 1 | 1 |
| owner | 3 | R2D_V | 0.0121 | 0.0056 | -0.0065 | 2 / 0 | 0.5 |
| owner | 3 | R2Dpm1_W | 0.0037 | 0.0019 | -0.0019 | 0 / 1 | 1 |
| owner | 3 | P1 | 0.0111 | 0.0056 | -0.0055 | 1 / 1 | 1 |
| owner | 3 | P1_2 | 0.0000 | 0.0000 | +0.0000 | 0 / 0 | nan |
| owner | 3 | P2 | 0.0149 | 0.0112 | -0.0036 | 1 / 0 | 1 |
| owner | 3 | P3 | 0.4679 | 0.4674 | -0.0005 | 0 / 0 | nan |
| owner | 3 | P4 | 0.8401 | 0.8327 | -0.0074 | 1 / 1 | 1 |
| owner | 3 | uncov | 0.3537 | 0.3363 | -0.0174 | 2 / 1 | 1 |
| owner | 3 | qneg | 0.0186 | 0.0168 | -0.0017 | 1 / 0 | 1 |
| owner | 3 | wig1 | 0.0641 | 0.0607 | -0.0033 | 1 / 1 | 1 |
| owner | 3 | med_d_W | 0.2431 | 0.2457 | +0.0026 | 0 / 1 | 1 |
| owner | 3 | noslice_W | 0.0037 | 0.0038 | +0.0000 | 0 / 0 | nan |
| owner | 3 | len_cm (sum) | 5069.2 | 5072.5 | +3.3 | | |
| owner | 3 | rows (sum) | 1077.0 | 1070.0 | -7.0 | | |
| vtx_iso | 249 | R2D_W | 0.0112 | 0.0080 | -0.0032 | 56 / 24 | 0.000452 |
| vtx_iso | 249 | R2D_U | 0.0139 | 0.0107 | -0.0031 | 56 / 27 | 0.00193 |
| vtx_iso | 249 | R2D_V | 0.0159 | 0.0117 | -0.0042 | 77 / 34 | 5.49e-05 |
| vtx_iso | 249 | R2Dpm1_W | 0.0073 | 0.0058 | -0.0014 | 38 / 16 | 0.00384 |
| vtx_iso | 249 | P1 | 0.0298 | 0.0266 | -0.0032 | 83 / 59 | 0.0532 |
| vtx_iso | 249 | P1_2 | 0.0035 | 0.0038 | +0.0003 | 11 / 12 | 1 |
| vtx_iso | 249 | P2 | 0.0231 | 0.0186 | -0.0045 | 81 / 38 | 0.000101 |
| vtx_iso | 249 | P3 | 0.7986 | 0.7958 | -0.0027 | 69 / 70 | 1 |
| vtx_iso | 249 | P4 | 0.8497 | 0.8503 | +0.0006 | 85 / 65 | 0.121 |
| vtx_iso | 249 | uncov | 0.2109 | 0.2104 | -0.0004 | 111 / 58 | 5.56e-05 |
| vtx_iso | 249 | qneg | 0.0316 | 0.0301 | -0.0015 | 84 / 67 | 0.193 |
| vtx_iso | 249 | wig1 | 0.1013 | 0.1043 | +0.0029 | 77 / 101 | 0.0844 |
| vtx_iso | 249 | med_d_W | 0.2403 | 0.2366 | -0.0037 | 116 / 91 | 0.0951 |
| vtx_iso | 249 | noslice_W | 0.0016 | 0.0014 | -0.0002 | 9 / 2 | 0.0654 |
| vtx_iso | 249 | len_cm (sum) | 395373.3 | 394858.2 | -515.1 | | |
| vtx_iso | 249 | rows (sum) | 83235.0 | 82630.0 | -605.0 | | |
