# pr150 STM margin A=pr150s0 B=pr150cs samples=['mcp1k', 'mcp2k']: evaluated candidates A 1183 B 1210 common 1181
A: T_stm_pass status of the deciding pass: accepted 450, eval-failed 333, left-charge 221, pre-fit-exit 118, mid-point-trk 34, proton 27
A: verdict 1 638 / 0 331; margin_shape p10/p50/p90 -0.0254 +0.0568 +0.0971; |margin_shape| < 0.02: 182 (18.8 %); verdict 1 with margin_shape < 0.02: 56; verdict 0 with margin_shape > 0 (failed later rules): 136
B: T_stm_pass status of the deciding pass: accepted 450, eval-failed 348, left-charge 219, pre-fit-exit 129, mid-point-trk 34, proton 30
B: verdict 1 653 / 0 347; margin_shape p10/p50/p90 -0.0269 +0.0556 +0.0966; |margin_shape| < 0.02: 192 (19.2 %); verdict 1 with margin_shape < 0.02: 51; verdict 0 with margin_shape > 0 (failed later rules): 131
paired on common clusters (1181): |d ks1| p50/p90 0.0097/0.0536; |d margin_shape| p50/p90 0.0105/0.0549; on the 1043 verdict-stable clusters |d margin_shape| p90 = 0.0439 (the refit noise)
verdict flips on common clusters: 138 (1->0 67, 0->1 71); evaluated only in A 2 (verdict 1: 1), only in B 29 (verdict 1: 12)
CANDIDACY flips (status 0 <-> other) on common clusters: 86 (lost 43, gained 43); candidates only in A 1, only in B 1
     19  accepted -> eval-failed
     18  eval-failed -> accepted
     14  proton -> accepted
     11  accepted -> proton
     10  accepted -> pre-fit-exit
      9  pre-fit-exit -> accepted
      2  accepted -> left-charge
      2  left-charge -> accepted
      1  accepted -> mid-point-trk
   of the eval-failed (status 3) candidacy flips 37: losing-arm margin_shape within the noise (0.0439) 5, beyond 4, positive (a residual/Michel rule) 28
flip mechanism (losing arm): shape boundary within the noise 0; shape fail beyond the noise 0; shape passes, a later rule (residual / Michel) decides 138
sample	event	cluster	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	kind
mcp1k	282979	18	1	0	+0.1013	+0.0298	+0.2846	+0.1627	+0.3859	+0.1926	later-rule
mcp1k	283009	23	1	0	+0.0963	-0.0185	+0.0746	+0.0843	+0.1709	+0.0658	later-rule
mcp1k	284200	6	1	0	+0.0805	+nan	+8.2254	+nan	+8.3060	+nan	later-rule
mcp1k	284211	14	1	0	+0.1013	+nan	+0.1268	+nan	+0.2281	+nan	later-rule
mcp1k	284769	16	1	0	+0.0207	-0.0419	+0.0616	+0.0771	+0.0834	+0.0352	later-rule
mcp1k	284791	4	0	1	-0.0121	+0.0829	+0.1259	+0.0583	+0.1138	+0.1412	later-rule
mcp1k	285443	7	0	1	+0.1020	+0.0993	+0.2857	+0.0746	+0.3877	+0.1739	later-rule
mcp1k	286021	8	0	1	-0.0334	+0.0157	+0.1397	+0.0346	+0.1063	+0.0503	later-rule
mcp1k	286353	9	1	0	+0.0553	+0.0795	+0.0944	+0.0341	+0.1497	+0.1382	later-rule
mcp1k	286655	19	0	1	+0.0833	+0.0796	+0.3989	+0.2975	+0.4822	+0.3771	later-rule
mcp1k	286681	10	0	1	+0.0687	+0.0459	+0.0632	+0.0926	+0.1319	+0.1385	later-rule
mcp1k	287013	15	0	1	+0.1031	+0.0928	+15.7763	+0.7258	+15.8794	+0.8185	later-rule
mcp1k	289295	15	1	0	+0.0127	+0.0034	+0.0301	+0.0330	+0.0427	+0.0364	later-rule
mcp1k	292027	12	0	1	+nan	+0.0958	+nan	+0.2455	+nan	+0.3413	later-rule
mcp1k	317543	15	1	0	+0.0463	+0.0132	+0.0607	+0.0793	+0.1069	+0.0925	later-rule
mcp1k	321525	5	1	0	+0.0208	+0.0468	+0.0337	+0.0148	+0.0545	+0.0615	later-rule
mcp1k	347085	4	0	1	+nan	+0.0886	+nan	+0.1139	+nan	+0.2025	later-rule
mcp1k	353223	15	1	0	+0.0241	+0.0238	+0.0637	+0.0140	+0.0877	+0.0517	later-rule
mcp1k	391766	25	1	0	+0.0985	+nan	+0.0966	+nan	+0.1951	+nan	later-rule
mcp1k	398690	18	0	1	+0.0126	+0.0856	+0.0500	+0.0661	+0.0710	+0.1536	later-rule
mcp1k	402330	1	0	1	+nan	+0.1007	+nan	+0.1693	+nan	+0.2700	later-rule
mcp1k	405740	14	0	1	+0.0127	+0.0108	+0.0343	+0.0386	+0.0470	+0.0494	later-rule
mcp1k	407148	15	1	0	+0.0047	-0.0095	+0.0391	+0.0474	+0.0566	+0.0516	later-rule
mcp1k	490361	20	1	0	+0.0117	-0.0490	+0.0360	+0.0812	+0.0477	+0.0322	later-rule
mcp2k	52121	11	0	1	+0.1094	+0.0831	+0.1207	+0.1003	+0.2301	+0.1834	later-rule
mcp2k	52352	24	1	0	+0.0960	+0.0951	+0.1131	+0.1328	+0.2091	+0.2280	later-rule
mcp2k	52693	29	0	1	-0.0276	+0.0279	+0.1942	+0.0775	+0.1666	+0.1054	later-rule
mcp2k	54475	20	0	1	-0.0319	+0.0472	+0.0790	+6.4968	+0.0471	+6.5440	later-rule
mcp2k	55220	17	0	1	+nan	+0.0854	+nan	+0.1418	+nan	+0.2273	later-rule
mcp2k	55322	18	1	0	+0.0481	-0.0305	+0.0726	+0.1030	+0.1316	+0.0725	later-rule
mcp2k	56180	22	0	1	+nan	+0.0884	+nan	+0.3507	+nan	+0.4391	later-rule
mcp2k	58072	15	0	1	+0.0017	+0.0338	+0.1085	+0.0884	+0.1102	+0.1222	later-rule
mcp2k	66718	11	1	0	+0.0145	+0.0309	+0.0336	+0.0465	+0.0848	+0.1121	later-rule
mcp2k	67942	22	0	1	+0.0128	+0.0913	+0.0435	+0.0532	+0.0949	+0.1516	later-rule
mcp2k	69232	20	1	0	+0.0968	+0.0950	+0.1444	+0.0473	+0.2411	+0.1423	later-rule
mcp2k	69922	9	1	0	+0.0318	+0.0383	+0.0349	+0.0447	+0.0666	+0.0830	later-rule
mcp2k	69922	14	0	1	+0.1031	+0.0966	+0.2840	+0.2061	+0.3871	+0.3027	later-rule
mcp2k	70124	18	1	0	+0.0686	+0.0409	+0.0822	+0.0812	+0.1508	+0.1224	later-rule
mcp2k	70766	21	0	1	-0.0123	+0.0284	+0.0458	+0.0574	+0.0335	+0.0858	later-rule
mcp2k	71022	28	1	0	+0.0952	-0.0171	+0.4674	+0.1595	+0.5626	+0.1425	later-rule
mcp2k	71092	4	1	0	+0.0274	-0.0252	+0.0598	+0.0743	+0.0872	+0.0491	later-rule
mcp2k	73838	13	0	1	-0.0375	+0.0459	+0.0604	+0.0702	+0.0447	+0.1161	later-rule
mcp2k	76059	9	0	1	+0.0334	+0.0304	+0.1061	+0.1049	+0.1396	+0.1353	later-rule
mcp2k	76147	5	1	0	+0.0259	+0.0156	+0.0325	+0.0647	+0.0584	+0.0996	later-rule
mcp2k	76866	9	1	0	+0.0600	+0.0103	+0.0618	+0.0712	+0.1290	+0.0833	later-rule
mcp2k	76866	17	0	1	+0.0625	+0.0618	+0.0038	+0.1399	+0.0663	+0.2016	later-rule
mcp2k	77328	16	0	1	+0.0022	+0.0480	+0.0731	+0.0248	+0.0753	+0.0947	later-rule
mcp2k	77702	21	0	1	-0.0463	+0.0357	+0.0867	+0.0590	+0.0404	+0.0947	later-rule
mcp2k	77878	8	0	1	-0.0504	+0.0628	+0.1277	+0.0872	+0.0773	+0.1500	later-rule
mcp2k	80672	2	0	1	-0.0455	+0.0137	+0.1100	+0.0648	+0.0645	+0.0785	later-rule
mcp2k	83048	9	0	1	+0.0466	+0.0507	+0.0379	+0.0663	+0.0845	+0.1170	later-rule
mcp2k	91653	13	0	1	+0.0000	+0.0679	+0.0000	+0.1003	+0.0000	+0.1682	later-rule
mcp2k	93105	9	1	0	+0.0706	+nan	+0.0587	+nan	+0.1479	+nan	later-rule
mcp2k	93655	6	1	0	+0.0343	+0.0304	+0.0280	+0.0250	+0.0705	+0.0553	later-rule
mcp2k	93776	9	0	1	-0.0220	+0.0226	+0.0545	+0.0400	+0.0545	+0.0980	later-rule
mcp2k	94392	12	1	0	+0.0999	+0.0954	+0.3241	+0.7891	+0.4240	+0.8846	later-rule
mcp2k	96864	21	0	1	+0.0084	+0.0988	+0.0601	+0.1199	+0.0685	+0.2188	later-rule
mcp2k	98353	13	0	1	-0.0340	+0.1059	+0.4162	+0.2462	+0.3822	+0.3520	later-rule
mcp2k	101828	18	1	0	+0.0158	+0.0029	+0.0317	+0.0430	+0.0475	+0.0459	later-rule
mcp2k	103545	18	0	1	-0.0497	+0.0862	+0.2788	+0.1499	+0.2291	+0.2361	later-rule
mcp2k	104260	10	0	1	+0.0492	+0.0439	+0.1115	+0.0901	+0.1607	+0.1341	later-rule
mcp2k	105404	4	1	0	+0.0247	-0.0147	+0.0612	+0.0730	+0.0860	+0.0582	later-rule
mcp2k	158689	8	1	0	+0.0223	+0.0038	+0.0370	+0.0599	+0.0974	+0.0743	later-rule
mcp2k	159569	12	0	1	-0.0420	+0.0704	+0.1119	+0.0743	+0.0699	+0.1447	later-rule
mcp2k	162143	8	1	0	+0.0586	+0.0551	+0.0674	+0.0640	+0.1259	+0.1272	later-rule
mcp2k	164466	6	1	0	+0.0223	+nan	+0.0463	+nan	+0.0686	+nan	later-rule
mcp2k	164576	24	1	0	+0.0711	-0.0471	+1.2638	+1.1126	+1.3349	+1.0655	later-rule
mcp2k	166185	8	1	0	+0.0080	+0.0363	+0.0639	+0.0256	+0.0719	+0.0619	later-rule
mcp2k	167612	27	0	1	+nan	+0.0507	+nan	+0.1068	+nan	+0.1575	later-rule
mcp2k	169900	21	1	0	+0.0979	+0.0000	+0.4685	+0.0000	+0.5664	+0.0000	later-rule
mcp2k	170076	10	0	1	-0.0016	+0.0658	+0.0482	+0.0622	+0.0712	+0.1298	later-rule
mcp2k	170739	15	1	0	+0.1021	+nan	+0.0215	+nan	+0.1236	+nan	later-rule
mcp2k	173048	17	1	0	+0.0083	+0.0804	+0.0647	+0.0904	+0.0796	+0.1708	later-rule
mcp2k	173912	2	0	1	-0.0481	+0.0673	+0.1017	+0.0983	+0.0536	+0.1656	later-rule
mcp2k	175057	13	1	0	+0.0080	-0.0140	+0.0525	+0.0578	+0.0617	+0.0439	later-rule
mcp2k	175094	4	0	1	-0.0010	+0.0006	+0.0473	+0.0465	+0.0463	+0.0471	later-rule
mcp2k	175959	19	1	0	+0.0450	-0.0230	+0.0533	+0.0466	+0.0982	+0.0350	later-rule
mcp2k	177521	8	0	1	-0.0448	+0.0723	+0.1031	+0.0524	+0.0584	+0.1268	later-rule
mcp2k	177939	11	0	1	+0.0201	+0.0041	+0.0235	+0.0317	+0.0436	+0.0358	later-rule
mcp2k	178225	9	0	1	+nan	+0.0968	+nan	+0.1442	+nan	+0.2410	later-rule
mcp2k	178645	15	0	1	+nan	+0.0874	+nan	+0.0147	+nan	+0.1021	later-rule
mcp2k	179054	27	1	0	+0.0315	+nan	+0.0941	+nan	+0.1256	+nan	later-rule
mcp2k	179369	17	1	0	+0.0141	+0.0876	+0.0204	+0.0477	+0.0743	+0.1352	later-rule
mcp2k	180117	12	1	0	+0.0390	+0.0432	+0.0729	+0.0812	+0.1119	+0.1243	later-rule
mcp2k	181050	21	1	0	+0.0582	-0.0310	+0.3212	+0.1692	+0.3794	+0.1382	later-rule
mcp2k	236610	12	0	1	+nan	+0.0941	+nan	+0.2261	+nan	+0.3202	later-rule
mcp2k	240196	2	1	0	+0.0627	+0.0543	+0.1783	+0.0516	+0.2410	+0.1058	later-rule
mcp2k	275011	11	1	0	+0.0038	+0.1034	+0.1140	+0.1337	+0.1178	+0.2371	later-rule
mcp2k	280819	21	1	0	+0.0727	-0.0439	+0.5343	+1.2041	+0.6069	+1.1603	later-rule
mcp2k	285680	13	0	1	-0.0282	+0.0522	+0.0491	+0.0450	+0.0426	+0.0972	later-rule
mcp2k	287794	5	0	1	+0.0814	+0.0237	+0.0931	+0.0717	+0.1745	+0.0986	later-rule
mcp2k	290654	28	1	0	+0.0530	-0.0178	+0.0587	+0.0327	+0.1117	+0.0451	later-rule
mcp2k	293536	17	1	0	+0.0311	+0.1056	+0.1835	+0.0456	+0.2146	+0.1512	later-rule
mcp2k	316021	5	0	1	+nan	+0.0992	+nan	+0.0208	+nan	+0.1199	later-rule
mcp2k	317407	12	0	1	+nan	+0.0620	+nan	+0.0267	+nan	+0.0888	later-rule
mcp2k	320091	9	0	1	+0.0000	+0.0180	+0.0000	+0.0596	+0.0000	+0.0777	later-rule
mcp2k	321367	3	1	0	+0.0053	-0.0257	+0.0352	+0.0795	+0.0653	+0.0576	later-rule
mcp2k	321849	28	0	1	-0.0261	+0.0196	+0.0740	+0.0658	+0.0480	+0.0854	later-rule
mcp2k	323171	22	1	0	+0.0485	+0.0110	+0.0394	+0.0646	+0.1115	+0.0949	later-rule
mcp2k	352796	10	1	0	+0.0872	+nan	+0.1460	+nan	+0.2332	+nan	later-rule
mcp2k	389225	19	1	0	+0.1030	+0.1038	+0.0825	+0.0433	+0.1854	+0.1470	later-rule
mcp2k	392900	10	0	1	+0.0218	+0.0152	+0.0537	+0.0286	+0.0756	+0.0438	later-rule
mcp2k	393089	19	0	1	-0.0251	+0.0673	+0.0791	+0.1077	+0.0586	+0.1750	later-rule
mcp2k	394396	7	0	1	+0.0589	+0.0094	+0.0763	+0.0543	+0.1352	+0.0703	later-rule
mcp2k	395837	22	0	1	+0.0642	+0.0210	+0.0647	+0.0738	+0.1474	+0.0947	later-rule
mcp2k	396222	16	1	0	+0.0444	-0.0499	+0.0753	+0.1370	+0.1197	+0.0870	later-rule
mcp2k	396222	17	1	0	+0.0309	+nan	+0.0866	+nan	+0.1174	+nan	later-rule
mcp2k	396420	17	0	1	+0.0977	+0.0906	+0.0488	+0.0261	+0.1465	+0.1167	later-rule
mcp2k	396551	13	0	1	+0.1182	+0.0732	+0.1274	+0.0719	+0.2456	+0.1451	later-rule
mcp2k	396816	26	1	0	+0.0290	-0.0400	+0.2657	+0.6850	+0.2947	+0.6451	later-rule
mcp2k	396829	27	1	0	+0.0841	-0.0390	+0.1598	+0.3426	+0.2439	+0.3035	later-rule
mcp2k	396882	12	1	0	+0.0650	+0.0968	+0.0923	+0.1918	+0.1573	+0.2886	later-rule
mcp2k	397487	10	0	1	+0.0000	+0.0140	+0.0000	+0.0058	+0.0000	+0.0198	later-rule
mcp2k	397630	19	0	1	+0.0000	+0.0667	+0.0000	+0.0658	+0.0000	+0.1325	later-rule
mcp2k	400073	11	1	0	+0.0126	-0.0503	+0.0396	+0.0000	+0.0522	+0.0000	later-rule
mcp2k	401637	13	0	1	+0.0182	+0.0655	+0.0247	+0.0315	+0.0429	+0.0970	later-rule
mcp2k	405707	17	0	1	+0.0201	+0.0462	+0.0511	+0.0420	+0.0711	+0.0882	later-rule
mcp2k	406367	12	0	1	-0.0160	+0.0405	+0.0802	+0.0449	+0.0642	+0.0854	later-rule
mcp2k	413580	11	1	0	+0.0132	+0.0021	+0.0393	+0.0627	+0.0939	+0.0816	later-rule
mcp2k	414240	17	1	0	+0.0993	+0.0824	+0.1189	+0.0781	+0.2182	+0.1606	later-rule
mcp2k	493659	29	0	1	+nan	+0.0889	+nan	+0.5216	+nan	+0.6105	later-rule
