section	cell	sample	quantity	value
A	tfull	ncpi0	nu_evaluated	19
A	tfull	ncpi0	nueCC	1
A	tfull	ncpi0	numuCC	3
A	tfull	ncpi0	both	0
A	tfull	mcp1k	nu_evaluated	465
A	tfull	mcp1k	nueCC	1
A	tfull	mcp1k	numuCC	271
A	tfull	mcp1k	both	0
A	tfull	mcp2k	nu_evaluated	890
A	tfull	mcp2k	nueCC	4
A	tfull	mcp2k	numuCC	512
A	tfull	mcp2k	both	0
A	tfull	ALL	nu_evaluated	1422
A	tfull	ALL	nueCC	42
A	tfull	ALL	numuCC	791
A	tfull	ALL	both	0
B	cs	nu_evaluated	A	1435
B	cs	nu_evaluated	B	1435
B	cs	nu_evaluated	both	1401
B	cs	nu_evaluated	lost_deval	34
B	cs	nu_evaluated	lost_eval	0
B	cs	nu_evaluated	gain_neweval	34
B	cs	nu_evaluated	gain_eval	0
B	cs	nu_evaluated	sign_p	1.0
B	p3bw	nu_evaluated	A	1435
B	p3bw	nu_evaluated	B	1435
B	p3bw	nu_evaluated	both	1407
B	p3bw	nu_evaluated	lost_deval	28
B	p3bw	nu_evaluated	lost_eval	0
B	p3bw	nu_evaluated	gain_neweval	28
B	p3bw	nu_evaluated	gain_eval	0
B	p3bw	nu_evaluated	sign_p	1.0
B	csp3bw	nu_evaluated	A	1435
B	csp3bw	nu_evaluated	B	1429
B	csp3bw	nu_evaluated	both	1397
B	csp3bw	nu_evaluated	lost_deval	38
B	csp3bw	nu_evaluated	lost_eval	0
B	csp3bw	nu_evaluated	gain_neweval	32
B	csp3bw	nu_evaluated	gain_eval	0
B	csp3bw	nu_evaluated	sign_p	0.55
B	tfull	nu_evaluated	A	1435
B	tfull	nu_evaluated	B	1422
B	tfull	nu_evaluated	both	1395
B	tfull	nu_evaluated	lost_deval	40
B	tfull	nu_evaluated	lost_eval	0
B	tfull	nu_evaluated	gain_neweval	27
B	tfull	nu_evaluated	gain_eval	0
B	tfull	nu_evaluated	sign_p	0.142
B	cs	nueCC	A	36
B	cs	nueCC	B	40
B	cs	nueCC	both	29
B	cs	nueCC	lost_deval	0
B	cs	nueCC	lost_eval	7
B	cs	nueCC	gain_neweval	0
B	cs	nueCC	gain_eval	11
B	cs	nueCC	sign_p	0.481
B	p3bw	nueCC	A	36
B	p3bw	nueCC	B	32
B	p3bw	nueCC	both	28
B	p3bw	nueCC	lost_deval	0
B	p3bw	nueCC	lost_eval	8
B	p3bw	nueCC	gain_neweval	0
B	p3bw	nueCC	gain_eval	4
B	p3bw	nueCC	sign_p	0.388
B	csp3bw	nueCC	A	36
B	csp3bw	nueCC	B	37
B	csp3bw	nueCC	both	29
B	csp3bw	nueCC	lost_deval	0
B	csp3bw	nueCC	lost_eval	7
B	csp3bw	nueCC	gain_neweval	0
B	csp3bw	nueCC	gain_eval	8
B	csp3bw	nueCC	sign_p	1.0
B	tfull	nueCC	A	36
B	tfull	nueCC	B	42
B	tfull	nueCC	both	32
B	tfull	nueCC	lost_deval	0
B	tfull	nueCC	lost_eval	4
B	tfull	nueCC	gain_neweval	0
B	tfull	nueCC	gain_eval	10
B	tfull	nueCC	sign_p	0.18
B	cs	numuCC	A	789
B	cs	numuCC	B	802
B	cs	numuCC	both	720
B	cs	numuCC	lost_deval	12
B	cs	numuCC	lost_eval	57
B	cs	numuCC	gain_neweval	7
B	cs	numuCC	gain_eval	75
B	cs	numuCC	sign_p	0.329
B	p3bw	numuCC	A	789
B	p3bw	numuCC	B	783
B	p3bw	numuCC	both	712
B	p3bw	numuCC	lost_deval	9
B	p3bw	numuCC	lost_eval	68
B	p3bw	numuCC	gain_neweval	5
B	p3bw	numuCC	gain_eval	66
B	p3bw	numuCC	sign_p	0.681
B	csp3bw	numuCC	A	789
B	csp3bw	numuCC	B	790
B	csp3bw	numuCC	both	713
B	csp3bw	numuCC	lost_deval	13
B	csp3bw	numuCC	lost_eval	63
B	csp3bw	numuCC	gain_neweval	8
B	csp3bw	numuCC	gain_eval	69
B	csp3bw	numuCC	sign_p	1.0
B	tfull	numuCC	A	789
B	tfull	numuCC	B	791
B	tfull	numuCC	both	712
B	tfull	numuCC	lost_deval	16
B	tfull	numuCC	lost_eval	61
B	tfull	numuCC	gain_neweval	6
B	tfull	numuCC	gain_eval	73
B	tfull	numuCC	sign_p	0.936
B	cs	pi0 accepted group (P1)	A	96
B	cs	pi0 accepted group (P1)	B	102
B	cs	pi0 accepted group (P1)	both	65
B	cs	pi0 accepted group (P1)	lost_deval	0
B	cs	pi0 accepted group (P1)	lost_eval	31
B	cs	pi0 accepted group (P1)	gain_neweval	0
B	cs	pi0 accepted group (P1)	gain_eval	37
B	cs	pi0 accepted group (P1)	sign_p	0.545
B	p3bw	pi0 accepted group (P1)	A	96
B	p3bw	pi0 accepted group (P1)	B	101
B	p3bw	pi0 accepted group (P1)	both	66
B	p3bw	pi0 accepted group (P1)	lost_deval	0
B	p3bw	pi0 accepted group (P1)	lost_eval	30
B	p3bw	pi0 accepted group (P1)	gain_neweval	0
B	p3bw	pi0 accepted group (P1)	gain_eval	35
B	p3bw	pi0 accepted group (P1)	sign_p	0.62
B	csp3bw	pi0 accepted group (P1)	A	96
B	csp3bw	pi0 accepted group (P1)	B	91
B	csp3bw	pi0 accepted group (P1)	both	61
B	csp3bw	pi0 accepted group (P1)	lost_deval	2
B	csp3bw	pi0 accepted group (P1)	lost_eval	33
B	csp3bw	pi0 accepted group (P1)	gain_neweval	1
B	csp3bw	pi0 accepted group (P1)	gain_eval	29
B	csp3bw	pi0 accepted group (P1)	sign_p	0.62
B	tfull	pi0 accepted group (P1)	A	96
B	tfull	pi0 accepted group (P1)	B	85
B	tfull	pi0 accepted group (P1)	both	57
B	tfull	pi0 accepted group (P1)	lost_deval	0
B	tfull	pi0 accepted group (P1)	lost_eval	39
B	tfull	pi0 accepted group (P1)	gain_neweval	1
B	tfull	pi0 accepted group (P1)	gain_eval	27
B	tfull	pi0 accepted group (P1)	sign_p	0.222
B	cs	ALL	common_evaluated	1401
B	p3bw	ALL	common_evaluated	1407
B	csp3bw	ALL	common_evaluated	1397
B	tfull	ALL	common_evaluated	1395
C	s0	nuecc48	P1_events	6
C	s0	nuecc48	P1_groups	7
C	s0	nuecc48	P2_kine_window	3
C	s0	ncpi0	P1_events	10
C	s0	ncpi0	P1_groups	13
C	s0	ncpi0	P2_kine_window	6
C	s0	mcp1k	P1_events	32
C	s0	mcp1k	P1_groups	33
C	s0	mcp1k	P2_kine_window	23
C	s0	mcp2k	P1_events	48
C	s0	mcp2k	P1_groups	59
C	s0	mcp2k	P2_kine_window	29
C	s0	ALL	P1_events	96
C	s0	ALL	P1_groups	112
C	s0	ALL	P2_kine_window	61
C	s0	pi0scan	P3_hand_pairs	28
C	cs	nuecc48	P1_events	5
C	cs	nuecc48	P1_groups	6
C	cs	nuecc48	P2_kine_window	9
C	cs	ncpi0	P1_events	10
C	cs	ncpi0	P1_groups	10
C	cs	ncpi0	P2_kine_window	3
C	cs	mcp1k	P1_events	35
C	cs	mcp1k	P1_groups	37
C	cs	mcp1k	P2_kine_window	25
C	cs	mcp2k	P1_events	52
C	cs	mcp2k	P1_groups	61
C	cs	mcp2k	P2_kine_window	35
C	cs	ALL	P1_events	102
C	cs	ALL	P1_groups	114
C	cs	ALL	P2_kine_window	72
C	cs	pi0scan	P3_hand_pairs	21
C	p3bw	nuecc48	P1_events	7
C	p3bw	nuecc48	P1_groups	7
C	p3bw	nuecc48	P2_kine_window	4
C	p3bw	ncpi0	P1_events	11
C	p3bw	ncpi0	P1_groups	12
C	p3bw	ncpi0	P2_kine_window	6
C	p3bw	mcp1k	P1_events	40
C	p3bw	mcp1k	P1_groups	44
C	p3bw	mcp1k	P2_kine_window	20
C	p3bw	mcp2k	P1_events	43
C	p3bw	mcp2k	P1_groups	55
C	p3bw	mcp2k	P2_kine_window	24
C	p3bw	ALL	P1_events	101
C	p3bw	ALL	P1_groups	118
C	p3bw	ALL	P2_kine_window	54
C	p3bw	pi0scan	P3_hand_pairs	22
C	csp3bw	nuecc48	P1_events	2
C	csp3bw	nuecc48	P1_groups	3
C	csp3bw	nuecc48	P2_kine_window	2
C	csp3bw	ncpi0	P1_events	11
C	csp3bw	ncpi0	P1_groups	13
C	csp3bw	ncpi0	P2_kine_window	4
C	csp3bw	mcp1k	P1_events	29
C	csp3bw	mcp1k	P1_groups	30
C	csp3bw	mcp1k	P2_kine_window	22
C	csp3bw	mcp2k	P1_events	49
C	csp3bw	mcp2k	P1_groups	55
C	csp3bw	mcp2k	P2_kine_window	34
C	csp3bw	ALL	P1_events	91
C	csp3bw	ALL	P1_groups	101
C	csp3bw	ALL	P2_kine_window	62
C	csp3bw	pi0scan	P3_hand_pairs	18
C	tfull	nuecc48	P1_events	3
C	tfull	nuecc48	P1_groups	6
C	tfull	nuecc48	P2_kine_window	6
C	tfull	ncpi0	P1_events	9
C	tfull	ncpi0	P1_groups	9
C	tfull	ncpi0	P2_kine_window	7
C	tfull	mcp1k	P1_events	34
C	tfull	mcp1k	P1_groups	34
C	tfull	mcp1k	P2_kine_window	23
C	tfull	mcp2k	P1_events	39
C	tfull	mcp2k	P1_groups	51
C	tfull	mcp2k	P2_kine_window	28
C	tfull	ALL	P1_events	85
C	tfull	ALL	P1_groups	100
C	tfull	ALL	P2_kine_window	64
C	tfull	pi0scan	P3_hand_pairs	20
D	all	ALL	labelled	878
D	s0	labelled	le1	659
D	s0	labelled	le3	724
D	s0	labelled	le10	766
D	s0	labelled	novtx	3
D	s0	labelled	away10	0
D	s0	labelled	toward10	0
D	s0	labelled	numu_le3	676
D	s0	all_shift	same	1385
D	s0	all_shift	lt1	0
D	s0	all_shift	lt3	0
D	s0	all_shift	lt10	0
D	s0	all_shift	gt10	0
D	s0	all_shift	lost	0
D	s0	all_shift	gained	0
D	cs	labelled	le1	567
D	cs	labelled	le3	669
D	cs	labelled	le10	739
D	cs	labelled	novtx	21
D	cs	labelled	away10	78
D	cs	labelled	toward10	44
D	cs	labelled	numu_le3	624
D	cs	all_shift	same	136
D	cs	all_shift	lt1	672
D	cs	all_shift	lt3	214
D	cs	all_shift	lt10	134
D	cs	all_shift	gt10	194
D	cs	all_shift	lost	35
D	cs	all_shift	gained	38
D	p3bw	labelled	le1	583
D	p3bw	labelled	le3	676
D	p3bw	labelled	le10	747
D	p3bw	labelled	novtx	16
D	p3bw	labelled	away10	62
D	p3bw	labelled	toward10	40
D	p3bw	labelled	numu_le3	629
D	p3bw	all_shift	same	264
D	p3bw	all_shift	lt1	627
D	p3bw	all_shift	lt3	184
D	p3bw	all_shift	lt10	122
D	p3bw	all_shift	gt10	159
D	p3bw	all_shift	lost	29
D	p3bw	all_shift	gained	30
D	csp3bw	labelled	le1	572
D	csp3bw	labelled	le3	664
D	csp3bw	labelled	le10	735
D	csp3bw	labelled	novtx	22
D	csp3bw	labelled	away10	76
D	csp3bw	labelled	toward10	42
D	csp3bw	labelled	numu_le3	619
D	csp3bw	all_shift	same	143
D	csp3bw	all_shift	lt1	688
D	csp3bw	all_shift	lt3	199
D	csp3bw	all_shift	lt10	130
D	csp3bw	all_shift	gt10	185
D	csp3bw	all_shift	lost	40
D	csp3bw	all_shift	gained	36
D	tfull	labelled	le1	576
D	tfull	labelled	le3	655
D	tfull	labelled	le10	725
D	tfull	labelled	novtx	21
D	tfull	labelled	away10	86
D	tfull	labelled	toward10	41
D	tfull	labelled	numu_le3	608
D	tfull	all_shift	same	136
D	tfull	all_shift	lt1	716
D	tfull	all_shift	lt3	169
D	tfull	all_shift	lt10	132
D	tfull	all_shift	gt10	190
D	tfull	all_shift	lost	42
D	tfull	all_shift	gained	30
E	s0	manifest626	nu_evaluated	626
E	s0	manifest626	nueCC	34
E	s0	manifest626	numuCC	388
E	s0	manifest626	P1_events	48
E	s0	manifest626	vtx_le3	405
E	csp3bw	manifest626	nu_evaluated	610
E	csp3bw	manifest626	nueCC	35
E	csp3bw	manifest626	numuCC	385
E	csp3bw	manifest626	P1_events	44
E	csp3bw	manifest626	vtx_le3	369
E	r1	manifest626	nu_evaluated	608
E	r1	manifest626	nueCC	31
E	r1	manifest626	numuCC	374
E	r1	manifest626	P1_events	51
E	r1	manifest626	vtx_le3	363
E	r2	manifest626	nu_evaluated	611
E	r2	manifest626	nueCC	33
E	r2	manifest626	numuCC	384
E	r2	manifest626	P1_events	51
E	r2	manifest626	vtx_le3	371
E	r3	manifest626	nu_evaluated	608
E	r3	manifest626	nueCC	31
E	r3	manifest626	numuCC	358
E	r3	manifest626	P1_events	54
E	r3	manifest626	vtx_le3	333
E	r4	manifest626	nu_evaluated	611
E	r4	manifest626	nueCC	32
E	r4	manifest626	numuCC	368
E	r4	manifest626	P1_events	50
E	r4	manifest626	vtx_le3	328
