sample	event	class	A_deg	A_stub3	A_stub5	A_stub10	A_shortest	B_deg	B_stub3	B_stub5	B_stub10	B_shortest
mcp1k	172794	non-mover	2	0	0	0	32.0	2	0	0	0	32.4
mcp1k	173058	non-mover	1	0	0	1	5.1	1	0	0	1	5.4
mcp1k	173146	non-mover	2	0	0	0	28.5	3	1	1	1	1.8
mcp1k	173234	non-mover	1	0	0	0	234.8	1	0	0	0	232.5
mcp1k	173498	non-mover	2	0	0	0	30.0	3	0	0	1	5.9
mcp1k	174114	non-mover	2	0	0	0	20.4	2	0	0	0	21.5
mcp1k	174576	non-mover	2	0	0	0	21.3	2	0	0	0	22.2
mcp1k	174752	non-mover	2	0	2	2	3.9	2	0	1	2	3.8
mcp1k	174928	non-mover	3	1	1	1	2.3	2	0	0	0	32.3
mcp1k	175016	non-mover	1	0	1	1	4.6	1	0	0	1	5.4
mcp1k	175808	non-mover	1	0	0	0	8.9	2	0	0	1	8.2
mcp1k	276836	toward	1	0	0	0	222.4	1	0	0	0	54.2
mcp1k	278046	non-mover	4	0	1	3	4.0	2	0	0	1	5.8
mcp1k	278420	non-mover	2	0	0	0	32.7	2	0	0	0	33.1
mcp1k	278684	non-mover	1	0	0	0	36.9	1	0	0	0	35.9
mcp1k	278794	away	1	0	0	0	22.7	2	0	0	0	16.5
mcp1k	279190	non-mover	1	1	1	1	2.6	1	1	1	1	2.8
mcp1k	279256	toward	1	0	0	0	3.6	1	0	0	0	29.5
mcp1k	279445	non-mover	1	1	1	1	0.9	2	0	0	0	12.6
mcp1k	279643	non-mover	2	1	1	2	2.0	2	1	2	2	1.6
mcp1k	280017	non-mover	2	0	0	2	6.1	3	0	2	3	3.4
mcp1k	280598	non-mover	4	0	0	0	18.2	3	0	0	0	19.2
mcp1k	280752	non-mover	2	1	1	1	2.6	2	0	1	1	3.3
mcp1k	280774	non-mover	2	1	1	1	2.7	3	2	2	2	2.6
mcp1k	280853	non-mover	3	0	0	0	10.1	3	0	0	1	9.6
mcp1k	280972	non-mover	3	0	0	0	41.0	4	0	0	1	6.1
mcp1k	280994	non-mover	1	0	0	0	120.7	1	0	0	0	121.4
mcp1k	281214	non-mover	6	1	3	5	2.0	5	0	2	4	4.2
mcp1k	281485	non-mover	1	1	1	1	0.4	1	1	1	1	0.3
mcp1k	281505	non-mover	2	0	0	0	10.2	2	0	0	0	10.1
mcp1k	281507	non-mover	2	0	0	1	8.8	2	0	0	1	8.6
mcp1k	281527	away	2	0	0	0	16.0	1	0	0	0	160.5
mcp1k	281595	non-mover	2	0	1	1	3.1	2	0	1	1	4.4
mcp1k	281639	away	1	1	1	1	1.0	2	1	1	1	2.7
mcp1k	281727	non-mover	1	1	1	1	0.3	1	1	1	1	0.7
mcp1k	281837	non-mover	3	0	1	1	3.8	3	0	0	0	22.5
mcp1k	282057	non-mover	1	0	0	0	5.0	2	0	0	1	5.5
mcp1k	282072	non-mover	2	0	0	0	47.7	2	0	0	0	40.5
mcp1k	282204	non-mover	3	0	1	1	3.6	3	1	1	1	1.7
mcp1k	282217	non-mover	2	0	0	0	30.7	2	0	0	0	30.5
mcp1k	282231	non-mover	1	0	0	0	51.7	2	1	1	1	2.5
mcp1k	282385	non-mover	2	0	0	1	8.0	2	0	0	1	7.7
mcp1k	282459	non-mover	2	0	0	0	22.7	2	0	0	0	22.4
mcp1k	282666	non-mover	3	0	0	0	13.2	3	0	0	0	13.8
mcp1k	282737	away	2	0	0	0	30.2	1	0	0	0	29.9
mcp1k	282899	non-mover	1	0	0	0	133.7	1	0	0	0	134.2
mcp1k	282979	non-mover	3	0	1	1	3.8	2	0	0	0	11.1
mcp1k	283009	non-mover	3	0	0	0	10.6	3	0	0	0	13.2
mcp1k	283040	non-mover	2	0	1	1	4.3	4	2	3	3	1.5
mcp1k	283091	non-mover	2	0	0	1	7.4	2	0	0	1	7.2
mcp1k	283229	non-mover	2	0	0	1	9.9	3	1	1	1	1.8
mcp1k	283463	non-mover	2	0	0	1	8.6	2	0	0	1	7.5
mcp1k	283595	non-mover	2	1	1	1	2.0	2	0	1	1	3.3
mcp1k	283691	away	2	0	0	0	14.3	1	0	0	0	16.2
mcp1k	283713	non-mover	3	0	0	0	6.1	2	0	0	0	25.8
mcp1k	283991	non-mover	2	0	0	0	15.6	2	0	0	0	16.4
mcp1k	284013	non-mover	1	0	0	0	7.8	2	1	1	1	1.7
mcp1k	284103	non-mover	2	0	0	0	20.8	2	0	0	0	20.1
mcp1k	284145	non-mover	5	1	1	1	2.8	4	0	1	1	4.3
mcp1k	284153	non-mover	2	0	0	0	17.9	2	0	0	0	17.5
mcp1k	284200	non-mover	3	0	0	0	9.2	4	0	0	1	7.4
mcp1k	284211	non-mover	2	0	0	0	21.9	2	0	0	0	22.1
mcp1k	284235	away	1	1	1	1	1.0	2	0	0	1	8.7
mcp1k	284637	non-mover	2	0	0	1	7.5	2	0	0	1	7.8
mcp1k	284657	non-mover	3	0	0	0	19.8	3	0	0	0	19.1
mcp1k	284769	non-mover	2	0	0	1	9.8	2	0	0	0	10.0
mcp1k	284791	non-mover	1	0	0	0	36.0	1	0	0	0	31.3
mcp1k	284794	non-mover	1	0	0	0	274.9	2	0	0	0	10.6
mcp1k	285069	non-mover	3	0	0	2	5.0	3	0	0	2	5.1
mcp1k	285311	non-mover	3	0	0	0	13.2	4	0	0	1	7.8
mcp1k	285467	non-mover	1	0	0	0	100.6	1	0	0	0	100.7
mcp1k	285531	non-mover	2	0	0	0	98.9	2	0	0	0	63.1
mcp1k	285665	toward	2	0	1	1	4.8	1	0	0	0	94.9
mcp1k	285753	non-mover	3	0	1	2	4.7	3	0	1	2	4.6
mcp1k	285929	non-mover	2	0	0	0	31.7	3	0	0	0	2.5
mcp1k	285971	non-mover	1	0	0	0	114.8	1	0	0	0	41.0
mcp1k	286177	non-mover	1	0	0	0	13.3	1	0	0	0	13.0
mcp1k	286180	non-mover	3	0	1	1	4.5	2	0	0	0	16.7
mcp1k	286191	non-mover	1	0	0	0	14.2	1	0	0	0	17.6
mcp1k	286241	non-mover	2	1	1	1	2.8	1	0	0	0	37.6
mcp1k	286268	non-mover	1	0	0	0	201.8	1	0	0	0	200.0
mcp1k	286400	non-mover	1	0	0	0	350.6	1	0	0	0	350.8
mcp1k	286527	non-mover	2	0	1	1	0.5	2	0	1	1	3.0
mcp1k	286655	toward	1	0	0	1	8.3	2	0	0	1	8.2
mcp1k	286681	toward	3	0	0	1	7.4	3	0	0	2	7.2
mcp1k	286818	non-mover	1	0	0	0	43.1	2	1	1	1	2.0
mcp1k	286906	non-mover	1	0	0	0	3.1	2	0	1	1	2.0
mcp1k	287211	non-mover	3	0	0	0	19.5	3	0	0	0	18.7
mcp1k	287249	non-mover	2	0	1	1	4.6	2	0	1	1	4.8
mcp1k	287517	non-mover	3	1	1	2	2.5	3	0	0	1	8.2
mcp1k	287555	non-mover	4	0	1	1	3.5	3	0	0	0	22.3
mcp1k	287621	non-mover	2	0	0	0	25.1	2	0	0	0	21.9
mcp1k	287825	non-mover	2	0	0	1	6.8	2	1	1	1	2.3
mcp1k	287830	non-mover	3	0	0	0	24.0	3	0	0	0	29.7
mcp1k	288067	non-mover	2	0	0	1	5.7	2	0	0	1	5.7
mcp1k	288358	non-mover	2	0	0	0	11.5	2	0	0	0	12.1
mcp1k	288639	non-mover	2	0	0	0	16.4	2	0	0	0	16.7
mcp1k	288745	non-mover	4	0	1	2	4.9	4	0	0	2	5.4
mcp1k	288859	non-mover	1	0	0	0	32.0	1	0	0	0	32.9
mcp1k	288947	non-mover	3	0	0	0	26.6	3	0	0	0	26.7
mcp1k	289251	non-mover	1	0	0	0	140.3	1	0	0	0	138.7
mcp1k	289559	non-mover	3	0	0	1	5.3	3	0	1	1	3.6
mcp1k	289832	non-mover	1	0	0	0	219.7	1	0	0	0	217.4
mcp1k	290052	away	3	1	1	1	2.0	2	0	0	0	15.9
mcp1k	290294	non-mover	2	0	1	1	4.6	2	0	1	1	3.8
mcp1k	290729	non-mover	2	0	0	1	8.5	2	0	0	1	8.2
mcp1k	291037	non-mover	1	0	0	0	110.7	1	0	0	0	107.5
mcp1k	291064	non-mover	1	0	0	0	166.0	1	0	0	0	165.0
mcp1k	291262	non-mover	2	1	1	1	2.7	2	0	0	0	21.0
mcp1k	291372	non-mover	1	0	0	1	6.5	1	0	0	1	6.5
mcp1k	291499	non-mover	1	0	0	0	40.5	1	0	0	0	39.6
mcp1k	291548	non-mover	3	0	0	1	9.3	3	0	0	1	8.6
mcp1k	291570	non-mover	1	0	0	0	220.1	1	0	0	0	212.0
mcp1k	291961	non-mover	4	0	0	1	4.6	4	0	0	1	6.2
mcp1k	292027	non-mover	2	0	0	0	25.0	2	0	0	0	25.6
mcp1k	292384	non-mover	2	0	0	0	29.7	2	0	0	0	31.4
mcp1k	292406	non-mover	1	0	0	0	47.3	1	0	0	0	45.6
mcp1k	292577	non-mover	1	0	0	0	66.4	1	0	0	0	65.9
mcp1k	292643	away	2	0	0	0	22.6	2	0	0	0	14.6
mcp1k	292687	non-mover	3	0	0	0	21.2	3	0	0	0	21.1
mcp1k	293149	away	2	0	1	1	4.1	2	1	1	1	2.9
mcp1k	313781	toward	2	0	1	1	1.9	1	0	0	1	9.4
mcp1k	313979	non-mover	2	0	0	0	25.9	2	0	0	0	24.6
mcp1k	314507	non-mover	1	0	0	0	32.1	1	0	0	0	32.0
mcp1k	314705	non-mover	1	0	1	1	3.6	1	0	1	1	3.2
mcp1k	315013	away	1	0	0	0	10.6	1	0	0	0	217.1
mcp1k	315167	non-mover	5	1	1	1	2.4	5	0	0	0	15.3
mcp1k	315343	toward	2	0	0	0	11.9	2	1	1	1	2.8
mcp1k	315497	non-mover	1	0	0	0	61.3	1	0	0	0	57.3
mcp1k	315849	non-mover	1	0	0	0	75.0	1	0	0	0	74.0
mcp1k	315871	non-mover	1	0	0	0	96.2	1	0	0	0	97.8
mcp1k	316025	non-mover	4	0	1	3	3.1	2	0	1	1	4.1
mcp1k	316311	non-mover	2	0	0	0	17.3	2	0	0	0	17.5
mcp1k	316553	non-mover	1	0	0	0	48.4	1	0	0	0	264.9
mcp1k	316729	non-mover	2	0	0	0	26.4	2	0	0	0	26.5
mcp1k	317741	non-mover	1	0	0	1	7.9	1	0	0	1	8.1
mcp1k	318731	non-mover	2	0	0	0	14.2	2	0	0	0	14.1
mcp1k	319039	non-mover	1	0	0	0	89.1	1	0	0	0	87.6
mcp1k	319611	non-mover	2	1	1	1	2.8	2	1	1	1	2.3
mcp1k	320029	non-mover	1	0	0	0	218.6	1	0	0	0	33.1
mcp1k	320667	non-mover	2	0	0	0	13.7	2	0	0	0	13.4
mcp1k	321107	non-mover	2	0	1	1	3.6	1	0	0	0	123.5
mcp1k	321173	toward	2	0	0	0	23.7	1	0	0	0	38.6
mcp1k	321371	away	2	0	0	0	60.4	2	0	1	1	3.0
mcp1k	321767	non-mover	1	0	0	0	36.0	1	0	0	0	242.9
mcp1k	321789	non-mover	1	0	0	0	31.1	1	0	0	0	30.8
mcp1k	345633	non-mover	3	0	0	1	6.3	3	0	0	1	6.2
mcp1k	346623	non-mover	2	0	0	1	5.2	2	0	0	1	5.1
mcp1k	347085	non-mover	3	1	1	2	2.9	3	1	1	2	1.7
mcp1k	347129	away	3	0	1	3	4.8	2	0	0	2	5.8
mcp1k	348471	non-mover	2	0	0	0	54.0	2	0	0	0	52.7
mcp1k	348515	toward	1	0	0	0	7.6	1	0	0	0	33.1
mcp1k	348691	non-mover	3	1	1	1	1.5	2	0	0	0	24.9
mcp1k	348713	away	1	0	0	0	90.1	2	0	0	0	27.6
mcp1k	348845	non-mover	2	0	0	0	30.6	2	0	0	0	31.1
mcp1k	349087	non-mover	2	1	1	1	2.9	1	0	0	0	33.9
mcp1k	349241	non-mover	2	0	0	1	9.5	2	0	0	1	9.3
mcp1k	349461	non-mover	2	0	0	0	69.4	2	0	0	0	71.5
mcp1k	349549	non-mover	3	0	0	0	35.2	3	0	0	0	38.6
mcp1k	349835	non-mover	2	0	0	0	32.7	2	0	0	0	33.3
mcp1k	349879	non-mover	2	0	0	0	45.6	2	0	0	0	45.5
mcp1k	350121	non-mover	2	0	0	0	30.8	2	0	0	0	31.9
mcp1k	350297	non-mover	2	0	1	1	3.2	2	0	1	1	3.1
mcp1k	350935	non-mover	2	0	0	0	69.1	2	0	0	0	68.8
mcp1k	351705	non-mover	1	0	0	0	121.1	1	0	0	0	118.4
mcp1k	351749	non-mover	1	0	0	1	8.2	1	0	0	1	7.7
mcp1k	352123	non-mover	2	0	0	0	22.8	2	0	0	0	23.5
mcp1k	352233	non-mover	1	0	0	0	92.6	1	0	0	0	92.3
mcp1k	353223	non-mover	2	0	0	0	30.2	2	0	0	0	29.9
mcp1k	386332	non-mover	2	0	0	1	6.1	2	0	0	1	6.3
mcp1k	386948	toward	2	0	1	2	4.7	2	1	1	1	2.1
mcp1k	387850	non-mover	1	0	0	0	123.5	1	0	0	0	121.5
mcp1k	388026	non-mover	2	0	0	0	29.9	2	0	0	0	27.2
mcp1k	388224	non-mover	4	1	2	2	2.2	5	1	2	2	1.6
mcp1k	389588	non-mover	1	0	0	0	1.0	1	0	1	1	4.3
mcp1k	389874	away	1	0	0	0	16.8	2	1	1	1	2.8
mcp1k	390864	toward	2	0	0	0	14.0	1	0	0	0	96.2
mcp1k	391260	non-mover	2	0	0	0	23.2	1	1	1	1	0.8
mcp1k	391766	toward	1	0	0	0	176.3	1	0	0	0	31.9
mcp1k	392552	non-mover	1	0	0	0	244.5	1	0	0	0	243.0
mcp1k	393042	non-mover	1	0	0	0	415.2	1	0	0	0	411.0
mcp1k	393212	away	2	0	0	0	1.5	2	1	1	1	2.8
mcp1k	393608	non-mover	2	1	1	1	2.9	2	1	1	1	2.2
mcp1k	394642	non-mover	2	0	1	1	5.0	3	0	2	2	3.0
mcp1k	394796	non-mover	2	0	0	0	59.2	2	0	0	0	58.7
mcp1k	395610	non-mover	1	0	0	0	208.9	1	0	0	0	136.2
mcp1k	395654	non-mover	1	0	0	0	208.7	1	0	0	0	207.6
mcp1k	395962	non-mover	3	1	1	1	2.2	3	0	0	0	0.9
mcp1k	397722	non-mover	2	0	1	1	4.9	2	0	1	1	4.7
mcp1k	397920	non-mover	2	0	1	1	4.1	2	0	1	1	4.3
mcp1k	398260	non-mover	2	0	0	0	52.2	2	0	0	0	51.9
mcp1k	398414	non-mover	1	0	0	0	15.7	1	0	0	0	15.8
mcp1k	399052	toward	3	1	1	1	1.3	1	0	0	0	63.3
mcp1k	399118	non-mover	1	0	0	0	153.7	1	0	0	0	152.4
mcp1k	399328	non-mover	1	0	0	0	12.1	1	0	0	0	12.7
mcp1k	399856	away	1	0	0	0	47.6	1	0	0	0	22.3
mcp1k	399998	non-mover	3	0	0	1	6.6	2	0	0	1	7.5
mcp1k	400054	non-mover	1	0	0	1	5.3	1	0	0	1	5.5
mcp1k	400460	non-mover	1	0	0	0	165.6	1	0	0	0	164.1
mcp1k	400504	non-mover	1	0	0	0	56.8	2	0	1	1	4.8
mcp1k	400592	non-mover	2	0	0	0	14.2	2	0	0	0	13.4
mcp1k	400636	non-mover	1	0	0	0	263.3	1	0	0	0	264.2
mcp1k	400856	non-mover	1	0	0	0	95.3	2	0	0	1	6.0
mcp1k	401054	non-mover	2	1	1	2	1.8	2	0	2	2	3.8
mcp1k	401516	non-mover	2	0	0	0	30.3	2	0	0	0	30.0
mcp1k	401626	non-mover	1	0	0	0	103.8	1	0	0	0	103.7
mcp1k	401780	toward	1	0	0	0	65.9	2	0	0	0	74.8
mcp1k	402880	non-mover	1	0	0	0	72.4	3	1	1	2	2.6
mcp1k	404244	non-mover	2	0	0	0	10.5	2	0	0	0	10.7
mcp1k	404684	non-mover	3	0	0	0	14.8	3	0	0	0	15.9
mcp1k	405234	non-mover	2	0	0	1	6.5	1	0	0	0	32.9
mcp1k	405432	non-mover	2	0	0	0	18.8	2	0	0	0	18.7
mcp1k	405674	non-mover	2	0	0	0	12.8	2	0	0	0	13.0
mcp1k	405740	non-mover	1	0	0	0	23.9	1	0	0	0	22.5
mcp1k	406796	non-mover	3	1	1	2	3.0	2	0	0	1	9.6
mcp1k	407148	non-mover	2	0	0	0	82.4	2	0	0	0	79.2
mcp1k	408534	non-mover	1	0	0	0	71.3	1	0	0	0	70.9
mcp1k	409546	away	1	0	0	0	1.9	1	0	0	0	15.7
mcp1k	409634	non-mover	1	1	1	1	1.4	1	1	1	1	2.0
mcp1k	409920	non-mover	1	0	0	1	7.4	1	0	0	1	7.3
mcp1k	409942	non-mover	5	1	1	3	2.0	4	0	0	2	5.8
mcp1k	409964	non-mover	2	0	0	0	97.9	2	0	0	0	97.0
mcp1k	410008	non-mover	2	0	0	1	8.9	2	0	0	1	8.9
mcp1k	412208	non-mover	1	0	0	0	27.6	1	0	0	0	25.4
mcp1k	48367	non-mover	1	0	0	0	178.1	1	0	0	0	173.9
mcp1k	486247	non-mover	1	0	0	0	46.8	1	0	0	0	45.9
mcp1k	486687	non-mover	2	1	1	1	2.8	2	1	1	1	2.9
mcp1k	487303	non-mover	2	0	0	1	5.8	2	0	0	1	6.2
mcp1k	487853	non-mover	1	0	0	0	16.6	3	0	0	1	6.1
mcp1k	488139	non-mover	2	0	0	1	5.5	1	0	0	0	5.8
mcp1k	48895	non-mover	1	0	0	0	180.8	1	0	0	0	177.0
mcp1k	489327	non-mover	3	0	1	1	4.4	2	0	0	0	21.9
mcp1k	489503	non-mover	2	0	0	1	8.3	2	0	0	1	8.9
mcp1k	490581	non-mover	1	0	0	0	187.9	2	1	1	1	2.7
mcp1k	490779	non-mover	1	0	1	1	3.5	1	0	1	1	3.6
mcp1k	490977	non-mover	1	0	0	0	75.2	1	0	0	0	75.3
mcp1k	491483	non-mover	1	0	0	0	60.8	1	0	0	0	60.5
mcp1k	492649	non-mover	1	0	0	0	80.5	1	0	0	0	79.6
mcp1k	492913	non-mover	1	0	0	0	50.1	1	0	0	0	49.2
mcp1k	493243	non-mover	1	0	0	0	188.6	1	0	0	0	189.1
mcp1k	49951	non-mover	3	0	0	0	16.8	3	0	0	0	16.0
mcp1k	50831	non-mover	2	0	0	1	6.0	2	0	0	1	5.6
mcp1k	51051	non-mover	2	0	0	1	8.9	2	0	0	1	9.1
mcp1k	51513	non-mover	2	0	0	1	6.7	2	0	0	1	6.9
mcp1k	52085	non-mover	2	0	0	0	35.2	2	0	0	0	38.3
mcp1k	52657	non-mover	1	0	0	0	101.9	1	0	0	0	101.2
mcp1k	52723	non-mover	2	0	0	1	9.0	2	0	0	1	9.0
mcp1k	53361	non-mover	1	0	0	0	114.1	1	0	0	0	114.0
mcp1k	53427	non-mover	3	0	0	2	7.2	3	0	0	2	7.0
mcp1k	54175	non-mover	2	0	0	0	7.5	2	0	0	1	5.5
mcp1k	54341	non-mover	2	0	0	0	22.6	2	0	0	0	22.4
mcp1k	54351	non-mover	2	0	0	0	42.3	2	0	0	0	41.4
mcp1k	55539	non-mover	1	0	0	0	197.6	1	0	0	0	198.4
mcp1k	55627	non-mover	2	0	0	0	13.7	2	0	0	0	13.6
mcp1k	55715	non-mover	3	0	0	0	17.0	3	0	0	0	18.1
mcp1k	56211	non-mover	2	0	0	1	7.1	1	0	0	0	21.9
mcp1k	56243	non-mover	2	0	0	0	32.0	2	0	0	0	31.4
mcp1k	57441	non-mover	1	0	0	0	101.9	1	0	0	0	101.2
mcp1k	57485	non-mover	4	1	2	2	1.7	2	0	0	0	40.8
mcp1k	57575	non-mover	1	0	0	0	84.2	1	0	0	0	75.4
mcp1k	57661	non-mover	2	0	0	0	11.6	2	0	0	0	12.6
mcp1k	57903	away	2	0	0	0	51.1	2	0	0	0	41.0
mcp1k	58321	non-mover	3	0	0	0	29.2	3	0	0	0	16.4
mcp1k	58345	non-mover	1	0	0	0	48.5	3	0	0	1	7.6
mcp1k	58607	non-mover	3	0	1	1	3.8	1	0	0	0	14.9
mcp1k	58653	non-mover	1	0	0	0	93.1	1	0	0	0	91.9
mcp1k	59003	non-mover	1	0	0	0	319.1	1	0	0	0	311.3
mcp1k	59025	non-mover	2	0	0	0	104.9	2	0	0	0	104.2
mcp1k	59085	non-mover	1	1	1	1	0.7	1	1	1	1	0.4
mcp1k	59093	non-mover	2	0	0	1	7.2	2	0	0	1	6.9
mcp1k	59179	non-mover	2	0	0	0	22.9	2	0	0	0	22.8
mcp1k	59335	toward	2	0	0	1	5.3	1	0	0	0	67.7
mcp1k	59371	non-mover	2	0	0	0	24.6	2	0	0	0	24.7
mcp1k	59685	non-mover	2	0	0	0	103.2	2	0	0	0	102.4
mcp1k	59899	non-mover	2	0	0	0	4.4	2	0	0	0	11.7
mcp1k	59929	non-mover	1	0	0	0	138.8	1	0	0	0	137.7
mcp1k	60017	non-mover	1	0	0	0	46.6	1	0	0	0	14.0
mcp1k	60669	non-mover	3	0	0	0	12.6	3	0	0	0	12.6
mcp1k	60933	non-mover	3	0	0	1	5.3	3	0	0	1	6.4
mcp1k	61351	non-mover	1	0	0	0	360.5	1	0	0	0	361.4
mcp1k	61417	non-mover	2	0	0	0	25.0	2	0	0	0	24.0
mcp1k	61579	non-mover	3	1	1	1	2.3	2	0	0	0	22.0
mcp1k	61843	toward	3	0	0	0	12.6	1	0	0	0	16.5
mcp1k	62149	non-mover	2	0	0	0	58.0	2	0	0	0	51.2
mcp1k	62281	toward	3	0	1	2	4.0	2	0	0	0	23.2
mcp1k	62459	non-mover	3	0	0	1	7.0	4	0	1	2	3.0
mcp1k	62495	non-mover	2	0	0	0	31.3	2	0	0	0	32.2
mcp1k	62613	non-mover	1	0	0	0	302.9	1	0	0	0	300.6
mcp1k	62721	non-mover	1	0	1	1	3.3	1	0	1	1	3.1
mcp1k	63163	non-mover	1	0	0	0	92.0	1	0	0	0	91.3
mcp1k	63359	non-mover	2	0	1	1	3.8	1	0	0	0	24.4
mcp1k	63427	non-mover	2	0	0	0	44.3	2	0	0	0	44.4
mcp1k	63551	non-mover	1	0	0	0	98.1	1	0	0	0	97.3
mcp1k	63559	non-mover	1	0	0	0	161.4	1	0	0	0	160.7
mcp1k	63603	non-mover	3	0	0	0	25.9	3	0	0	0	26.0
mcp1k	63669	non-mover	1	0	0	0	77.7	1	0	0	0	80.1
mcp1k	64409	non-mover	2	0	0	0	13.0	2	0	0	0	13.0
mcp1k	64591	non-mover	1	0	0	0	185.8	1	0	0	0	183.0
mcp1k	64717	non-mover	2	0	0	1	9.6	2	0	0	0	10.0
mcp1k	64921	non-mover	3	0	0	0	6.9	2	0	0	0	11.4
mcp1k	64959	non-mover	1	0	0	0	89.9	1	0	0	0	87.9
mcp1k	65053	non-mover	1	0	0	0	115.8	4	0	4	4	3.2
mcp1k	65267	non-mover	1	0	0	1	8.7	1	0	0	1	9.7
mcp1k	65289	non-mover	3	0	0	0	17.0	5	0	0	0	13.5
mcp1k	65295	non-mover	1	0	0	0	64.5	1	0	0	0	64.1
mcp1k	66118	away	2	0	0	0	12.9	2	0	0	1	5.5
mcp1k	66272	non-mover	4	2	2	2	1.7	2	0	0	0	11.0
mcp1k	66646	non-mover	2	0	1	1	3.2	2	1	1	1	2.9
mcp1k	66712	non-mover	3	0	0	0	5.2	3	0	0	0	20.9
mcp1k	68648	non-mover	1	0	0	0	28.4	2	1	1	1	1.8
mcp1k	68714	non-mover	2	0	0	1	7.1	2	0	0	1	6.8
mcp1k	68978	non-mover	2	0	0	0	10.8	2	0	0	0	11.1
mcp1k	71046	non-mover	2	0	1	1	3.6	2	0	1	1	4.1
mcp1k	71178	non-mover	2	1	1	2	2.5	2	1	1	2	3.0
mcp1k	71222	non-mover	2	0	0	0	66.6	2	0	0	0	52.2
mcp1k	71266	non-mover	1	0	0	0	94.8	1	0	0	0	94.9
mcp1k	71640	non-mover	1	0	0	0	244.7	1	0	0	0	240.3
mcp1k	72256	non-mover	2	0	0	1	9.7	1	0	0	0	11.4
mcp1k	72586	non-mover	2	1	1	1	1.9	2	1	1	1	2.2
mcp1k	73004	non-mover	2	0	0	0	9.7	3	0	0	1	6.7
mcp2k	100222	non-mover	3	0	0	0	30.0	2	0	0	0	35.5
mcp2k	100245	non-mover	2	0	0	0	12.0	2	0	0	0	11.7
mcp2k	100322	non-mover	1	0	0	0	148.0	1	0	0	0	146.9
mcp2k	100421	non-mover	1	0	0	0	246.7	1	0	0	0	247.4
mcp2k	100564	non-mover	2	0	0	0	15.7	2	0	0	0	15.4
mcp2k	101004	non-mover	1	0	0	1	7.9	1	0	0	1	7.8
mcp2k	101224	non-mover	1	0	0	0	51.8	1	0	0	0	51.3
mcp2k	101554	non-mover	2	0	0	0	45.9	2	0	0	0	47.1
mcp2k	101675	non-mover	2	0	0	0	10.5	3	0	0	1	6.7
mcp2k	102247	non-mover	1	1	1	1	2.4	1	1	1	1	2.2
mcp2k	102841	non-mover	2	0	0	0	23.2	2	0	0	0	22.9
mcp2k	103204	non-mover	2	0	0	0	53.7	2	0	0	0	53.5
mcp2k	103798	away	2	0	0	1	9.8	1	0	0	0	18.7
mcp2k	103952	non-mover	3	0	0	0	14.3	3	0	0	0	14.5
mcp2k	104216	non-mover	3	0	0	1	7.6	3	0	0	1	7.4
mcp2k	104260	non-mover	1	0	0	0	115.8	1	0	0	0	201.9
mcp2k	104304	non-mover	2	0	0	0	10.3	2	0	0	0	11.3
mcp2k	104920	non-mover	2	0	0	0	16.7	2	0	0	0	16.2
mcp2k	105140	non-mover	1	0	0	0	57.0	2	0	1	1	4.3
mcp2k	105316	non-mover	3	0	0	1	7.1	3	0	0	1	7.8
mcp2k	105426	non-mover	2	0	0	0	22.9	2	0	0	0	21.0
mcp2k	105492	toward	3	1	2	2	2.0	1	0	0	0	12.6
