event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
169152	1	22	9	222	1372.1	0.066421	0.15796	0.022523	0	0.1966	0.022523	0	0	0.55204	1865	0.009009	0.085586	0	0	0.29812	0	0	222	0.018018	0	0.24864	0	0	222	0	0	0.18605	0.022624	0.0045045	221
169160	0																																		
169182	0																																		
169204	0																																		
169221	1	69	4	171	471.48	0.04906	0.18752	0.017544	0	0.078057	0.02924	0	0	0.85466	936	0.011696	0.040936	0.0059172	0.0059172	0.26409	0.011834	0.011696	169	0	0	0.243	0.023392	0	171	0	0	0.26895	0.023669	0.011696	169
169240	1	19	4	639	2277.1	0.18833	0.47114	0.1205	0.021909	0.34515	0.014085	0.8783	2	0.21551	10693	0.029734	0.029734	0	0	0.24355	0	0	639	0.0099502	0.0066335	0.25234	0	0.056338	603	0.012638	0.012638	0.24838	0	0.0093897	633
169306	1	14	8	147	429.65	0.18555	0.22192	0	0	0.15874	0.0068027	0	0	1	718	0.034014	0.095238	0.0068027	0	0.25494	0	0	147	0.0068027	0.0068027	0.2658	0	0	147	0	0	0.22782	0	0	147
169331	0																																		
169622	0																																		
169658	1	7	7	531	2565.5	0.08017	0.17921	0.007533	0	0.15426	0.0037665	0.38978	1	0.96442	2888	0.0094162	0.039548	0.0037665	0.0018832	0.24779	0.0018832	0	531	0.0018832	0.0018832	0.24495	0.0018832	0	531	0	0	0.23044	0.0018975	0.007533	527
169724	1	12	6	151	2256.7	0.02347	0.35686	0.039735	0	0.09567	0.086093	1.3294	3	0.99901	601	0.11258	0.11921	0.0066225	0.0066225	0.23511	0.059603	0	151	0.02649	0.013245	0.24494	0.059603	0	151	0.033113	0.02649	0.2595	0.059603	0	151
169746	0																																		
169749	0																																		
169776	0																																		
169793	1	11	40	604	3520.2	0.051269	0.23006	0.023179	0	0.12845	0.014901	0.28407	1	0.98309	3027	0.011589	0.17053	0.0099338	0.0082781	0.25088	0	0	604	0.0082781	0.0066225	0.25912	0	0	604	0.0016584	0.0016584	0.23398	0	0.0016556	603
169886	0																																		
169900	0																																		
169966	1	16	14	61	829.1	0	0.063762	0	0	0.15677	0.065574	0	0	1	171	0.04918	0.44262	0.065574	0.065574	0.26701	0.032787	0	61	0.016393	0.016393	0.22212	0.032787	0	61	0.065574	0.065574	0.18614	0.032787	0	61
170076	1	10	16	675	2655.9	0.14819	0.18538	0.016296	0	0.30593	0.0059259	0	0	0.29756	13297	0.0044444	0.056296	0.0044843	0	0.25831	0.0014948	0.0088889	669	0.0045662	0.0045662	0.25762	0.0015221	0.026667	657	0	0	0.22763	0.0015552	0.047407	643
170098	1	16	35	488	2588.5	0.077658	0.25337	0.02459	0	0.15931	0.026639	0	0	0.97095	2546	0.02459	0.21926	0.012295	0.0081967	0.24417	0.0020492	0	488	0.032787	0.018443	0.2791	0	0	488	0.0082136	0.0020534	0.20681	0	0.0020492	487
170189	0																																		
170194	0																																		
170260	0																																		
170274	1	3	11	125	589.94	0.049606	0.20661	0	0	0.0724	0.016	0	0	1	554	0.048	0.144	0.024	0.016	0.26551	0	0	125	0	0	0.27618	0	0	125	0.008	0.008	0.17324	0	0	125
170326	1	33	5	230	409.47	0.28029	0.4718	0.013043	0	0.14906	0.021739	0	0	0.99632	1125	0.0086957	0.06087	0.021739	0.013043	0.24876	0.0086957	0	230	0.0043478	0.0043478	0.28503	0.0086957	0	230	0	0	0.26154	0.0086957	0	230
170365	1	12	3	196	615.87	0.19645	0.23541	0	0	0.080829	0.020408	1.6237	1	0.99297	961	0.02551	0.02551	0.010204	0.010204	0.23672	0	0	196	0.015306	0.015306	0.27326	0	0	196	0.010204	0.010204	0.24864	0	0	196
170414	0																																		
170428	1	14	5	518	1716.5	0.27171	0.37409	0	0	0.078215	0.0019305	0.58257	1	0.99978	2673	0.0096525	0.028958	0.0019417	0.0019417	0.25315	0	0.0057915	515	0.001938	0.001938	0.25679	0	0.003861	516	0	0	0.25499	0	0.0019305	517
170585	1	11	4	65	251.27	0.11144	0.29631	0	0	0.10938	0	0	0	1	278	0.030769	0.10769	0	0	0.21357	0	0	65	0.015385	0	0.31878	0	0	65	0	0	0.25988	0	0	65
170651	1	9	3	410	505.57	0.50913	0.28808	0	0	0.097724	0.012195	0	0	0.99972	2240	0	0.0073171	0.0073171	0	0.25686	0	0	410	0.012315	0.012315	0.24822	0	0.0097561	406	0	0	0.26257	0	0.002439	409
170739	0																																		
170761	1	8	21	780	3392.1	0.66455	0.22737	0.017949	0	0.13484	0.010256	0	0	0.85828	4926	0.0051282	0.073077	0.0064103	0.0025641	0.26354	0	0	780	0.0089859	0.0077022	0.25717	0	0.0012821	779	0.0052016	0.0013004	0.23776	0	0.014103	769
170898	0																																		
170915	0																																		
170942	0																																		
170978	0																																		
171096	0																																		
171099	0																																		
171143	1	8	11	297	898.96	0.22813	0.27835	0.043771	0	0.15258	0.010101	0	0	0.95983	1644	0.003367	0.12795	0.020202	0.010101	0.25094	0	0	297	0.003367	0	0.23186	0	0	297	0	0	0.24677	0	0.023569	290
171184	0																																		
171294	0																																		
171352	1	13	18	389	2531.5	0.079197	0.14129	0.03599	0	0.11475	0.010283	1.1851	3	0.92958	2090	0.03599	0.13625	0.0077121	0.0025707	0.23716	0.0025707	0	389	0.0077121	0.0051414	0.25917	0.0025707	0	389	0.0051414	0.0025707	0.22612	0.0025707	0	389
171404	0																																		
171421	0																																		
171426	0																																		
171440	0																																		
171473	1	3	2	11	28.042	0.00058426	0.064437	0	0	0.13965	0	0	0	1	55	0	0.090909	0	0	0.2227	0	0	11	0	0	0.30627	0	0	11	0	0	0.19138	0	0	11
171484	0																																		
171517	0																																		
171528	1	17	13	255	1002.1	0.30058	0.38197	0.14902	0.023529	0.30155	0.10588	1.9958	2	0.89057	1485	0.035294	0.22745	0.066667	0.058824	0.27358	0	0	255	0.07451	0.05098	0.27789	0	0	255	0.027451	0.023529	0.24179	0	0	255
171536	0																																		
171572	1	83	14	355	1736.2	0.19896	0.13854	0.014085	0	0.10585	0.022535	0.57598	1	0.97335	2005	0.025352	0.10141	0.014085	0.014085	0.25176	0	0	355	0.011268	0.0056338	0.23106	0	0	355	0.017341	0.014451	0.25169	0	0.025352	346
171616	1	3	24	369	1561.8	0.43148	0.085605	0	0	0.088128	0	0.64031	1	0.99996	1658	0.01626	0.13821	0.00271	0	0.2792	0	0	369	0.00271	0	0.23923	0	0	369	0.00271	0	0.17766	0	0	369
171729	1	9	13	511	2220.5	0.28682	0.253	0.21722	0.17221	0.28535	0.19765	2.7021	6	0.89125	3152	0.24266	0.099804	0.16471	0.16078	0.28706	0.0039216	0.0019569	510	0.06163	0.055666	0.26564	0.0039761	0.015656	503	0.18468	0.18271	0.29733	0.0039293	0.0039139	509
171748	0																																		
171770	0																																		
171778	0																																		
171792	0																																		
171866	1	15	4	237	952.32	0.23554	0.064152	0.0084388	0	0.10475	0.012658	0	0	0.95863	1230	0.012658	0.042194	0.033755	0.0042194	0.24686	0	0	237	0	0	0.22848	0	0	237	0.021097	0.0084388	0.25745	0	0	237
171935	0																																		
171990	0																																		
172012	1	24	4	162	607.55	0.020717	0.24977	0	0	0.054146	0.018519	0	0	1	738	0	0.055556	0.018519	0.018519	0.26363	0	0	162	0.0061728	0.0061728	0.2582	0	0	162	0.0061728	0.0061728	0.24212	0	0	162
172015	0																																		
172020	1	11	8	295	801.24	0.20602	0.078481	0.013559	0.0067797	0.077398	0.020339	2.4961	2	0.92445	1466	0.027119	0.084746	0.010169	0.010169	0.2246	0.0033898	0	295	0.013559	0.010169	0.2498	0	0	295	0.0034014	0	0.23492	0	0.0033898	294
172045	0																																		
172064	0																																		
172147	0																																		
172177	1	7	29	227	2670.7	0.077097	0.22967	0	0	0.10955	0.013216	1.8722	5	0.99004	976	0.17181	0.2511	0.026432	0.013216	0.25891	0	0	227	0.017621	0.0088106	0.24932	0	0	227	0.022026	0	0.1991	0	0	227
172232	0																																		
172235	0																																		
172262	1	30	6	168	445.3	0.33633	0.34826	0	0	0.12123	0	0	0	0.95794	1045	0	0.059524	0	0	0.24851	0	0	168	0.0059524	0	0.25274	0	0	168	0	0	0.20389	0	0	168
172298	0																																		
172344	1	6	2	121	187.59	0.087095	0.49289	0.066116	0	0.18473	0.016529	0	0	0.91072	786	0.0082645	0.090909	0	0	0.2418	0.0082645	0	121	0.0082645	0.0082645	0.23502	0.0082645	0	121	0.0082645	0.0082645	0.28903	0.0082645	0	121
172397	0																																		
172463	1	14	5	360	2193.4	0.57681	0.15368	0.0083333	0	0.079856	0.0027778	0.45592	1	0.92891	1698	0.027778	0.061111	0.0055556	0.0027778	0.2471	0	0	360	0.0083565	0	0.27959	0	0.0027778	359	0	0	0.2418	0	0.0027778	359
172485	0																																		
172498	1	5	2	86	166.52	0.10729	0.053643	0.17442	0	0.53311	0.046512	0	0	0.58497	882	0.081395	0.023256	0	0	0.25188	0	0	86	0.046512	0.046512	0.36096	0	0	86	0	0	0.27833	0	0.046512	82
172543	0																																		
172548	1	10	7	34	853.02	0.00010543	0.0034146	0	0	0.12107	0.029412	0	0	1	135	0	0.38235	0.029412	0	0.19407	0	0	34	0	0	0.29708	0.029412	0	34	0	0.029412	0.19738	0.029412	0	34
