tag	event	mode	stmfit	wall_s	node_core_s	vmhwm_gb	peak_gb	hwm_gap	nclus	nstm	nstm1	nfit	nseg	sum_npts	max_npts	load_gb	steiner_gb	stm_gb	ms_load	ms_scope	ms_flag	ms_unmerge	ms_steiner	ms_fv	ms_tgm	ms_stm	ms_fc	ms_protect	ms_refresh	ms_michel	ms_nu	ms_w_pr	ms_w_disp	ms_w_stm	ms_done	d_load	d_scope	d_flag	d_unmerge	d_steiner	d_fv	d_tgm	d_stm	d_fc	d_protect	d_refresh	d_michel	d_nu	d_w_pr	d_w_disp	d_w_stm	d_done
d119hnu	029107_11	nu	1	26	24.617	1.31	1.5241336822509766	0.2141336822509765	256	58	7	20	20	4503	711	0.21786117553710938	0.3183021545410156	0.10243606567382812	222.4	48.5	35.9	4.0	11506.9	0.2	1157.8	3643.9	69.9	61.1	644.3	5470.1	0.0	211.6	479.9	76.2	524.8	0.218	0.000	0.000	0.000	0.318	0.000	0.000	0.102	0.000	0.000	0.031	0.330	0.000	0.185	0.149	0.001	0.001
d119hnu	029107_12	nu	1	49	47.637	2.25	2.250518798828125	0.000518798828125	335	67	7	24	24	7882	1122	0.4683341979980469	0.4578437805175781	0.26557159423828125	463.6	97.3	72.0	7.5	24761.8	0.2	2748.8	9687.9	118.8	367.9	1937.2	4651.2	0.0	235.7	622.5	126.4	1013.5	0.468	0.000	0.000	0.000	0.458	0.000	0.000	0.266	0.000	0.000	0.000	0.444	0.000	0.176	0.178	0.001	0.072
d119hnu	029107_13	nu	1	21	20.557	1.14	1.557168960571289	0.41716896057128916	301	59	5	12	12	4080	884	0.28687286376953125	0.3190460205078125	0.16900253295898438	270.3	58.4	43.9	5.0	12235.2	0.2	1076.5	3694.1	80.2	91.2	282.6	1205.7	0.0	187.8	284.6	85.7	576.5	0.287	0.000	0.000	0.000	0.319	0.000	0.000	0.169	0.000	0.000	0.000	0.233	0.000	0.185	0.086	0.001	0.088
d119hnu	029107_14	nu	1	23	21.785	1.32	1.4180469512939453	0.09804695129394525	339	64	2	19	19	5252	873	0.27898406982421875	0.3211479187011719	0.203033447265625	275.0	58.3	42.8	5.5	13222.9	0.2	1226.4	4846.5	81.2	2.4	35.9	513.8	0.0	192.3	254.7	101.5	502.7	0.279	0.000	0.000	0.000	0.321	0.000	0.001	0.203	0.000	0.000	0.000	0.078	0.000	0.183	0.069	0.001	0.093
d119hnu	029107_15	nu	1	52	50.252	2.29	2.3554515838623047	0.06545158386230465	474	59	5	22	22	7209	801	0.5502243041992188	0.4407691955566406	0.2847633361816406	533.5	113.1	82.5	9.5	27816.5	0.2	3028.5	8507.8	159.0	1037.2	3509.9	2860.8	0.0	195.9	449.6	114.7	1044.5	0.550	0.000	0.000	0.000	0.441	0.000	0.067	0.285	0.000	0.000	0.020	0.339	0.000	0.182	0.135	0.001	0.133
d119hnu	029107_16	nu	1	59	58.005	2.63	2.63	0.0	350	75	9	32	32	10737	923	0.5296440124511719	0.5509414672851562	0.23206710815429688	496.0	105.0	78.7	6.8	23325.6	0.2	2042.9	12600.0	132.0	47.9	278.4	16217.6	0.0	209.7	539.6	151.3	1076.4	0.530	0.000	0.000	0.000	0.551	0.000	0.000	0.232	0.000	0.000	0.000	0.651	0.000	0.185	0.154	0.001	0.120
d119hnu	029107_17	nu	1	20	18.673	0.89	1.1923408508300781	0.3023408508300781	349	75	1	9	9	4261	892	0.22466659545898438	0.4781913757324219	0.006427764892578125	222.6	51.7	38.2	4.9	12601.9	0.2	1157.6	3071.2	69.6	4.2	50.1	234.9	0.0	167.6	159.5	75.6	411.2	0.225	0.000	0.000	0.000	0.478	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.158	0.036	0.000	0.100
d119hnu	029107_18	nu	1	75	73.381	3.43	3.43	0.0	507	69	12	31	31	12344	981	0.5671501159667969	0.5974349975585938	0.40352630615234375	527.5	113.0	82.8	9.9	32039.1	0.2	4080.0	14538.1	167.0	243.3	1141.6	16855.4	0.0	228.9	896.5	152.7	1373.2	0.567	0.000	0.000	0.000	0.597	0.000	0.005	0.404	0.000	0.000	0.001	1.128	0.000	0.186	0.314	0.001	0.007
d119hnu	029107_19	nu	1	30	28.756	1.2	1.5622520446777344	0.3622520446777344	248	66	6	15	15	6147	982	0.22826004028320312	0.37688446044921875	0.09595489501953125	220.3	49.2	36.3	4.3	13492.2	0.2	869.1	5300.6	76.8	27.3	288.3	6558.3	0.0	207.3	565.5	105.3	518.5	0.228	0.000	0.000	0.000	0.377	0.000	0.000	0.096	0.000	0.000	0.000	0.307	0.000	0.188	0.176	0.001	-0.000
d119hnu	029107_1	nu	1	33	32.058	1.81	1.902313232421875	0.09231323242187495	405	45	5	14	14	4297	537	0.3824577331542969	0.4678840637207031	0.130157470703125	353.8	75.0	55.6	7.0	20508.4	0.2	2047.2	3603.2	104.6	117.2	443.6	2733.9	0.0	200.7	415.4	80.9	723.3	0.382	0.000	0.000	0.000	0.468	0.000	0.000	0.130	0.000	0.000	0.000	0.334	0.000	0.184	0.120	0.000	0.097
d119hnu	029107_20	nu	1	35	33.909	1.96	1.9625663757324219	0.0025663757324219105	408	72	8	23	23	7018	889	0.3292350769042969	0.2995758056640625	0.2716255187988281	314.5	68.1	50.0	6.5	14650.7	0.2	1163.1	7831.6	95.7	158.4	682.5	6785.7	0.0	202.9	531.9	116.0	741.4	0.329	0.000	0.000	0.000	0.300	0.000	0.021	0.272	0.000	0.000	0.000	0.484	0.000	0.172	0.159	0.001	0.036
d119hnu	029107_21	nu	1	40	37.691	2.02	2.022409439086914	0.0024094390869140447	349	63	9	19	19	5823	1218	0.34175872802734375	0.4155731201171875	0.15521240234375	348.0	73.4	56.1	6.5	15183.2	0.2	1264.2	5965.3	98.1	17.6	104.1	12356.2	0.0	215.8	570.9	101.9	777.6	0.342	0.000	0.000	0.000	0.416	0.000	-0.001	0.155	0.000	0.000	0.000	0.533	0.000	0.187	0.178	-0.001	0.027
d119hnu	029107_22	nu	1	18	17.157	1.24	1.244668960571289	0.004668960571289071	258	68	5	16	16	5169	814	0.18462371826171875	0.21329116821289062	0.16975021362304688	197.9	43.8	32.4	3.8	8772.5	0.2	681.5	4157.5	54.9	82.3	641.3	1238.5	0.0	185.8	261.7	90.9	431.5	0.185	0.000	0.000	0.000	0.213	0.000	0.000	0.170	0.000	0.000	0.000	0.181	0.000	0.182	0.071	0.001	0.056
d119hnu	029107_23	nu	1	25	23.742	1.44	1.4506053924560547	0.01060539245605474	339	69	6	21	21	6920	1159	0.23557662963867188	0.2840995788574219	0.17303848266601562	248.7	55.1	42.3	4.9	10083.0	0.2	731.4	7270.3	70.4	3.4	31.2	3604.0	0.0	197.8	404.0	117.2	537.1	0.236	0.000	0.000	0.000	0.284	0.000	0.000	0.173	0.000	0.000	0.000	0.243	0.000	0.186	0.122	0.001	0.016
d119hnu	029107_24	nu	1	30	28.86	1.17	1.6099739074707031	0.4399739074707032	430	55	3	15	15	4962	1114	0.33890533447265625	0.5914764404296875	0.00067138671875	341.3	72.1	54.7	6.9	19173.6	0.2	1798.9	4788.4	89.5	2.1	31.5	830.0	0.0	186.0	284.0	90.9	612.4	0.339	0.000	0.000	0.000	0.591	0.000	0.001	0.001	0.000	0.000	0.000	0.105	0.000	0.184	0.086	0.001	0.113
d119hnu	029107_25	nu	1	44	42.632	1.96	2.090625762939453	0.13062576293945316	377	58	5	21	21	9197	960	0.4142341613769531	0.4039459228515625	0.37436676025390625	378.2	81.3	61.1	7.0	19894.3	0.2	1445.0	11086.7	104.6	84.1	762.1	6593.0	0.0	197.8	427.0	161.8	780.3	0.414	0.000	0.000	0.000	0.404	0.000	-0.000	0.374	0.000	0.000	0.000	0.296	0.000	0.177	0.121	0.003	0.111
d119hnu	029107_26	nu	1	32	30.587	1.66	1.8835830688476562	0.22358306884765633	362	62	7	21	21	7510	995	0.3532562255859375	0.426422119140625	0.16776275634765625	325.3	72.4	52.5	5.8	16848.5	0.2	1449.9	6426.9	79.5	56.1	212.8	3176.4	0.0	198.0	377.2	115.3	696.7	0.353	0.000	0.000	0.000	0.426	0.000	0.000	0.168	0.000	0.000	0.000	0.348	0.000	0.186	0.120	0.001	0.093
d119hnu	029107_27	nu	1	24	22.651	1.01	1.46240234375	0.45240234375	343	65	3	18	18	6227	1058	0.274688720703125	0.3055000305175781	0.21820831298828125	266.0	57.2	43.4	5.6	12923.7	0.2	1040.3	5669.1	72.9	4.1	31.0	1117.4	0.0	184.5	256.5	97.6	502.5	0.275	0.000	0.000	0.000	0.306	0.000	0.003	0.218	0.000	0.000	0.000	0.126	0.000	0.185	0.071	0.001	0.092
d119hnu	029107_28	nu	1	32	29.923	1.55	1.5581989288330078	0.008198928833007768	253	61	5	17	17	6040	863	0.2620506286621094	0.3578834533691406	0.16793060302734375	259.0	73.9	50.4	6.4	12501.6	0.2	1418.8	5601.3	78.2	6.0	56.0	8156.8	0.0	188.1	460.8	92.6	504.4	0.262	0.000	0.000	0.000	0.358	0.000	0.000	0.168	0.000	0.000	0.000	0.251	0.000	0.175	0.149	0.001	0.008
d119hnu	029107_29	nu	1	28	27.045	1.46	1.4644622802734375	0.0044622802734375355	361	80	3	15	15	5070	883	0.33068084716796875	0.3545494079589844	0.09250259399414062	336.5	76.5	58.5	5.0	12574.0	0.2	754.5	5294.0	81.3	45.0	31.3	6291.2	0.0	179.6	392.3	82.6	537.1	0.331	0.000	0.000	0.000	0.355	0.000	0.000	0.093	0.000	0.000	0.000	0.148	0.000	0.184	0.117	0.001	0.050
d119hnu	029107_2	nu	1	31	30.176	1.6	1.6945457458496094	0.09454574584960929	384	71	5	22	22	6521	740	0.3039665222167969	0.3683738708496094	0.19394302368164062	304.2	65.4	49.1	6.4	14045.8	0.2	1288.7	6379.0	89.6	5.4	36.3	6142.0	0.0	188.8	362.2	108.5	630.9	0.304	0.000	0.000	0.000	0.368	0.000	0.000	0.194	0.000	0.000	0.000	0.271	0.000	0.184	0.100	0.001	0.080
d119hnu	029107_3	nu	1	42	41.281	1.8	1.8033409118652344	0.0033409118652343306	338	70	9	19	19	4731	571	0.2676506042480469	0.3431968688964844	0.15958404541015625	287.1	63.8	47.6	6.0	14846.4	0.2	1526.3	4859.7	88.2	53.4	341.1	17071.1	0.0	225.8	555.2	86.0	682.2	0.268	0.000	0.000	0.000	0.343	0.000	0.000	0.160	0.000	0.000	0.000	0.484	0.000	0.185	0.172	0.001	-0.000
d119hnu	029107_4	nu	1	52	50.551	2.03	2.135028839111328	0.10502883911132832	382	72	6	28	28	8485	989	0.520263671875	0.5466804504394531	0.14281463623046875	532.2	110.1	83.9	7.6	25145.8	0.2	2506.1	12901.8	120.4	82.5	389.5	6236.7	0.0	212.8	465.0	132.8	1007.3	0.520	0.000	0.000	0.000	0.547	0.000	0.000	0.143	0.000	0.000	0.000	0.312	0.000	0.178	0.143	-0.000	0.101
d119hnu	029107_5	nu	1	37	35.12	1.96	1.96	0.0	284	56	9	21	21	6228	844	0.30517578125	0.351531982421875	0.22573089599609375	294.3	63.7	46.9	5.5	15918.9	0.2	1594.4	6818.7	87.4	29.2	142.3	7962.9	0.0	220.9	560.3	105.0	741.1	0.305	0.000	0.000	0.000	0.352	0.000	0.000	0.226	0.000	0.000	0.000	0.514	0.000	0.186	0.164	0.001	0.023
d119hnu	029107_6	nu	1	22	19.783	0.93	1.3234996795654297	0.39349967956542964	265	64	2	15	15	5682	879	0.24977874755859375	0.3062934875488281	0.17730331420898438	241.0	51.5	38.1	4.3	10913.0	0.2	934.9	5140.4	70.8	1.9	31.3	1001.7	0.0	196.1	251.4	101.7	456.5	0.250	0.000	0.000	0.000	0.306	0.000	0.000	0.177	0.000	0.000	0.000	0.062	0.000	0.183	0.066	0.001	0.089
