# PDVD per-event charge/trigger/light time bases (DTS clock, 16 ns ticks)
# charge_start_us / tc_us / fs_t0_us / light_t0_us are in the 40-bit-masked domain (same as the rawwf 'timestamp' branch); offsets wrapped to that period
# offset_us = charge_window_start - fs_light_window_start  (add to light times to land on charge time base)
# charge_tde_us / charge_bde_us: per-crate charge window starts (TDE=top, BDE=bottom CRPs)
# run subrun event rd_timestamp_ns tc_type n_tc tc_us charge_tde_us charge_bde_us fs_t0_us light_t0_us fs_nsamp offset_tde_us offset_bde_us
39253 1 49786 1756542022741152000 22 1 15022766878.912 15022764347.648 15022764378.800 15022761878.288 15022761865.088 468800 2469.360 2500.512
39253 1 49806 1756542023263680000 20 1 15023289403.152 15023286875.648 15023286902.960 15023284402.960 15023284386.976 468800 2472.688 2500.000
39253 1 49826 1756542024046912000 20 1 15024072608.336 15024070107.648 15024070108.336 15024067608.336 15024067562.096 468800 2499.312 2500.000
39253 1 49846 1756542024892288000 22 1 15024918013.344 15024915483.648 15024915513.520 15024913012.496 15024912906.672 468864 2471.152 2501.024
39253 1 49866 1756542025562432000 20 1 15025588128.736 15025585627.648 15025585628.848 15025583128.336 15025583112.432 468800 2499.312 2500.512
39253 1 49886 1756542034755520000 29 1 15034781215.744 15034778715.648 15034778715.824 15034776215.312 15034776200.128 468800 2500.336 2500.512
39253 1 49906 1756542036585696000 22 1 15036611395.424 15036608891.648 15036608895.664 15036606395.152 15036606384.816 468800 2496.496 2500.512
39253 1 49926 1756542037414272000 22 1 15037439973.760 15037437467.648 15037437473.968 15037434972.944 15037434972.944 468864 2494.704 2501.024
39253 1 49946 1756542038237696000 20 1 15038263391.808 15038260891.648 15038260891.824 15038258390.800 15038258377.440 468864 2500.848 2501.024
39253 1 49966 1756542039006976000 22 1 15039032678.000 15039030171.648 15039030177.968 15039027677.968 15039027677.968 468800 2493.680 2500.000
39253 1 49986 1756542039879616000 22 1 15039905332.144 15039902811.648 15039902832.304 15039900331.792 15039900317.104 468800 2479.856 2500.512
39253 1 50006 1756542041755520000 29 1 15041781215.744 15041778715.648 15041778715.824 15041776214.800 15041776201.232 468864 2500.848 2501.024
39253 1 50026 1756542050870688000 22 1 15050896405.376 15050893883.648 15050893905.584 15050891405.072 15050891225.360 468800 2478.576 2500.512
39349 1 19409 1757422783617696000 15 1 16174339090.720 16174338670.848 16174338690.736 16174336590.144 16174336195.920 331328 2080.704 2100.592
39349 1 19429 1757422783925792000 22 3 16174647195.904 16174646766.848 16174646795.952 16174644695.360 16174644377.520 331328 2071.488 2100.592
39349 1 19449 1757422784093760000 15 1 16174815135.616 16174814734.848 16174814735.536 16174812635.456 16174812282.096 331264 2099.392 2100.080
39349 1 19469 1757422805209664000 15 1 16195931049.632 16195930638.848 16195930649.776 16195928548.672 16195928416.688 331328 2090.176 2101.104
39349 1 19489 1757422806007232000 15 1 16196728613.552 16196728206.848 16196728213.680 16196726112.576 16196725878.192 331328 2094.272 2101.104
39349 1 19509 1757422806532512000 15 1 16197253911.952 16197253486.848 16197253511.856 16197251411.264 16197251140.832 331328 2075.584 2100.592
39349 1 19529 1757422807120544000 15 1 16197841934.240 16197841518.848 16197841534.128 16197839434.048 16197839209.376 331264 2084.800 2100.080
39349 1 19549 1757422807565088000 15 2 16198286487.680 16198286062.848 16198286087.856 16198283987.264 16198283780.080 331328 2075.584 2100.592
39349 1 19569 1757422807930368000 15 1 16198651772.976 16198651342.848 16198651373.232 16198649272.640 16198649144.080 331328 2070.208 2100.592
39349 1 19589 1757422808473984000 15 1 16199195376.496 16199194958.848 16199194976.432 16199192876.352 16199192732.640 331264 2082.496 2100.080
39349 1 19609 1757422808822464000 15 2 16199543840.080 16199543438.848 16199543440.048 16199541339.456 16199540957.520 331328 2099.392 2100.592
39349 1 19629 1757422809227328000 15 1 16199948707.632 16199948302.848 16199948307.632 16199946207.552 16199945795.616 331264 2095.296 2100.080
39349 1 19649 1757422830240000000 15 1 16220961399.616 16220960974.848 16220960999.600 16220958899.520 16220958575.008 331264 2075.328 2100.080
39349 1 19669 1757422830771520000 15 1 16221492905.328 16221492494.848 16221492505.264 16221490404.672 16221490029.232 331328 2090.176 2100.592
39349 1 19689 1757422831280288000 15 1 16222001687.136 16222001262.848 16222001287.344 16221999186.240 16221998836.352 331328 2076.608 2101.104
39349 1 19709 1757422831776480000 22 1 16222497860.768 16222497454.848 16222497460.912 16222495360.320 16222495076.016 331328 2094.528 2100.592
39349 1 19729 1757422832427296000 15 1 16223148687.696 16223148270.848 16223148287.664 16223146187.072 16223145810.288 331328 2083.776 2100.592
39349 1 19749 1757422832813600000 15 1 16223534992.992 16223534574.848 16223534593.200 16223532492.096 16223532141.792 331328 2082.752 2101.104
39349 1 19769 1757422833482784000 15 1 16224204163.520 16224203758.848 16224203763.376 16224201662.784 16224201379.072 331328 2096.064 2100.592
39349 1 19789 1757422834059360000 15 1 16224780763.344 16224780334.848 16224780363.440 16224778262.848 16224778123.648 331328 2072.000 2100.592
39349 1 19809 1757422834461632000 15 1 16225183015.440 16225182606.848 16225182615.728 16225180514.624 16225180164.672 331328 2092.224 2101.104
39349 1 19829 1757422855738048000 15 1 16246459450.976 16246459022.848 16246459051.184 16246456950.080 16246456711.760 331328 2072.768 2101.104
39349 1 19849 1757422856306144000 15 1 16247027531.984 16247027118.848 16247027132.080 16247025031.488 16247024741.872 331328 2087.360 2100.592
39349 1 19869 1757422856879968000 15 2 16247601358.592 16247600942.848 16247600958.640 16247598858.560 16247598655.584 331264 2084.288 2100.080
39349 1 19889 1757422857272320000 15 3 16247993726.768 16247993294.848 16247993326.768 16247991226.688 16247990984.288 331264 2068.160 2100.080
39349 1 19909 1757422857889600000 15 1 16248610984.064 16248610574.848 16248610584.240 16248608483.648 16248608064.112 331328 2091.200 2100.592
39349 1 19929 1757422858210624000 15 2 16248931999.632 16248931598.848 16248931599.536 16248929499.456 16248929305.392 331264 2099.392 2100.080
39349 1 19949 1757422858483392000 15 2 16249204787.728 16249204366.848 16249204388.016 16249202286.912 16249202147.328 331328 2079.936 2101.104
39349 1 22777 1757423234574528000 15 1 16625295914.512 16625295502.848 16625295514.800 16625293413.696 16625293054.000 331328 2089.152 2101.104
39349 1 22797 1757423235011168000 15 1 16625732570.192 16625732142.848 16625732170.416 16625730069.824 16625730054.288 331328 2073.024 2100.592
39349 1 22817 1757423235497344000 15 2 16626218733.600 16626218318.848 16626218333.872 16626216233.280 16626215913.184 331328 2085.568 2100.592
39349 1 22837 1757423236026656000 15 1 16626748040.336 16626747630.848 16626747640.496 16626745539.904 16626745257.744 331328 2090.944 2100.592
39349 1 22857 1757423236862784000 15 1 16627584175.040 16627583758.848 16627583774.896 16627581674.816 16627581302.336 331264 2084.032 2100.080
39349 1 22877 1757423237411296000 15 1 16628132676.624 16628132270.848 16628132276.912 16628130176.320 16628129990.768 331328 2094.528 2100.592
39349 1 22897 1757423258509152000 15 1 16649230542.960 16649230126.848 16649230143.152 16649228042.560 16649227785.712 331328 2084.288 2100.592
39349 1 22917 1757423258954240000 15 1 16649675645.568 16649675214.848 16649675245.744 16649673144.640 16649672879.328 331328 2070.208 2101.104
39349 1 22937 1757423259662656000 15 1 16650384057.024 16650383630.848 16650383657.136 16650381556.032 16650381197.264 331328 2074.816 2101.104
