det	run	evt	img_s	img_kb	img_rc	clus_s	clus_kb	clus_rc
pdhd	027425	21	45	485312	0	20	534464	0
pdhd	027305	20	148	1829764	0	217	1466748	0
pdhd	027425	32	52	452164	0	23	627688	0
pdhd	027425	12	55	448756	0	29	719636	0
pdhd	027425	9	37	411692	0	13	412648	0
pdhd	027425	33	48	558540	0	23	618584	0
pdhd	027425	6	42	446320	0	19	550688	0
pdhd	027980	1	37	409928	0	15	440716	0
pdhd	027425	5	48	428620	0	23	648500	0
pdhd	027980	13	32	409560	0	11	353092	0
pdhd	027980	12	37	409832	0	14	423396	0
pdhd	027980	10	41	412240	0	19	514752	0
pdhd	027980	11	41	409972	0	18	490388	0
pdhd	027980	0	52	518160	0	29	744512	0
pdhd	027980	14	44	409968	0	20	559660	0
pdhd	027980	15	42	411892	0	18	538712	0
pdhd	027980	2	35	409712	0	11	376476	0
pdhd	027980	20	33	411692	0	10	321108	0
pdhd	027305	11	174	1962676	0	265	1717940	0
pdhd	027980	18	44	410080	0	20	557552	0
pdhd	027980	19	42	411244	0	18	486960	0
pdhd	027980	16	47	419428	0	23	602680	0
pdhd	027980	25	32	411188	0	10	346604	0
pdhd	027980	17	48	467712	0	25	599440	0
pdhd	027980	24	35	412004	0	13	367148	0
pdhd	027980	21	45	428608	0	22	626344	0
pdhd	027980	22	50	447416	0	25	634584	0
pdhd	027980	27	37	411472	0	15	423040	0
pdhd	027980	30	31	411196	0	9	306512	0
pdhd	027980	23	52	415396	0	29	675468	0
pdhd	027980	26	50	439320	0	24	641640	0
pdhd	027980	3	44	410232	0	19	510896	0
pdhd	027980	8	37	411780	0	14	396752	0
pdhd	027980	9	35	411488	0	12	365136	0
pdhd	027980	4	43	412080	0	18	508876	0
pdhd	027980	29	53	452616	0	26	690208	0
pdhd	027980	28	54	607636	0	30	731176	0
pdhd	027980	7	47	409868	0	21	565480	0
pdhd	027980	5	59	638048	0	34	869080	0
pdhd	028084	11	51	628080	0	23	608952	0
pdhd	027980	6	69	647272	0	43	958436	0
pdhd	028084	0	66	1066308	0	36	710920	0
pdhd	028084	10	56	634200	0	27	668380	0
pdhd	028084	14	49	640256	0	23	563848	0
pdhd	028084	13	55	583524	0	26	622652	0
pdhd	027305	0	283	3473936	0	288	2052036	0
pdhd	028084	12	61	546984	0	32	774716	0
pdhd	028084	1	67	816560	0	38	805352	0
pdhd	028084	16	58	625576	0	29	634948	0
pdhd	028084	17	60	726676	0	33	717020	0
pdhd	028084	19	59	765368	0	29	664092	0
pdhd	028084	15	78	760808	0	42	821240	0
pdhd	028084	20	55	720940	0	31	752596	0
pdhd	028084	27	40	411612	0	15	448892	0
pdhd	028084	22	49	435324	0	23	581984	0
pdhd	028084	26	48	492300	0	21	603028	0
pdhd	028084	29	45	565688	0	20	516656	0
pdhd	028084	21	57	599460	0	29	677840	0
pdhd	028084	23	55	658936	0	28	723728	0
pdhd	028084	25	52	531196	0	25	619400	0
pdhd	028084	30	47	478656	0	21	565284	0
pdhd	028084	2	95	1286616	0	63	1165776	0
pdhd	028084	24	79	919824	0	47	1016604	0
pdhd	028084	3	69	783132	0	36	765424	0
pdhd	029107	11	37	409816	0	14	437896	0
pdhd	028084	28	77	843416	0	46	969304	0
pdhd	029107	0	42	411700	0	18	536052	0
pdhd	028084	8	51	754936	0	24	617460	0
pdhd	029107	10	45	409804	0	24	572480	0
pdhd	029107	1	48	410152	0	25	619728	0
pdhd	028084	9	55	591196	0	24	577128	0
pdhd	028084	7	57	623800	0	31	741252	0
pdhd	028084	4	78	945260	0	48	1149084	0
pdhd	028084	5	69	602284	0	37	822320	0
pdhd	029107	13	41	411836	0	17	499048	0
pdhd	028084	6	75	812732	0	46	930868	0
pdhd	029107	14	41	411448	0	18	544660	0
pdhd	029107	17	39	411260	0	15	491036	0
pdhd	029107	19	38	409896	0	15	437732	0
pdhd	029107	12	56	614244	0	37	821244	0
pdhd	029107	22	36	409488	0	13	405392	0
pdhd	029107	2	43	411828	0	19	548280	0
pdhd	029107	23	39	410004	0	16	475320	0
pdhd	029107	20	44	409796	0	21	574940	0
pdhd	029107	21	45	412088	0	22	572016	0
pdhd	029107	24	46	411848	0	28	585532	0
pdhd	029107	16	62	545580	0	44	841344	0
pdhd	029107	15	65	548316	0	46	875872	0
pdhd	029107	27	41	409924	0	18	526520	0
pdhd	029107	25	50	423696	0	24	650896	0
pdhd	029107	18	68	639084	0	45	932724	0
pdhd	029107	28	45	410244	0	20	497168	0
pdhd	029107	26	49	411564	0	26	598496	0
pdhd	029107	3	43	409992	0	20	524432	0
pdhd	029107	29	47	509824	0	29	644092	0
pdhd	029107	6	40	410080	0	15	455064	0
pdhd	028084	18	140	1986852	0	188	2136112	0
pdhd	029107	5	45	410300	0	20	538308	0
pdhd	029107	7	41	409632	0	17	456520	0
pdhd	029107	8	42	443276	0	18	524620	0
pdhd	029107	9	38	411676	0	18	446760	0
pdvd	039252	0	61	364672	0	18	577368	0
pdhd	029107	4	72	918548	0	45	873808	0
pdvd	039252	10	69	364720	0	24	696820	0
pdvd	039252	11	73	366648	0	27	740048	0
pdvd	039252	13	71	367608	0	26	681352	0
pdvd	039252	15	83	449672	0	33	908620	0
pdvd	039252	1	87	480644	0	50	950124	0
pdvd	039252	3	74	367040	0	29	752276	0
pdvd	039252	12	87	521760	0	49	925980	0
pdvd	039252	17	88	422604	0	41	964748	0
pdvd	039252	4	89	456152	0	52	931284	0
pdvd	039252	14	105	494988	0	61	1205700	0
pdvd	039252	7	76	366588	0	29	730052	0
pdvd	039252	6	94	510492	0	44	938792	0
pdvd	039252	2	103	622280	0	57	994024	0
pdvd	039252	9	75	404660	0	27	726112	0
pdvd	039252	16	108	483144	0	59	1163156	0
pdvd	039253	0	71	386880	0	25	713460	0
pdvd	039252	5	101	743928	0	82	1140024	0
pdvd	039253	10	68	366012	0	22	633604	0
pdvd	039253	13	72	364768	0	26	735292	0
pdvd	039253	12	78	387468	0	29	747728	0
pdvd	039253	1	91	452668	0	46	912792	0
pdvd	039253	16	61	366272	0	17	519372	0
pdvd	039253	3	59	366336	0	15	517664	0
pdvd	039253	14	78	412188	0	32	824736	0
pdvd	039253	15	74	364844	0	27	720792	0
pdvd	039252	8	118	759536	0	81	1176176	0
pdvd	039253	11	98	574320	0	52	1043984	0
pdvd	039253	4	76	366040	0	28	723336	0
pdvd	039253	6	78	366048	0	29	707192	0
pdvd	039324	1	46	258900	0	16	476208	0
pdvd	039253	17	91	638108	0	41	895068	0
pdvd	039324	0	51	276516	0	20	529840	0
pdvd	039253	7	72	385172	0	29	702412	0
pdvd	039324	5	38	241424	0	11	377580	0
pdvd	039324	10	50	266644	0	20	584828	0
pdvd	039324	3	52	272368	0	20	571580	0
pdvd	039324	6	44	241404	0	15	429032	0
pdvd	039253	2	99	601028	0	61	1006668	0
pdvd	039349	1	33	239292	0	7	256792	0
pdvd	039253	5	101	575380	0	59	1074420	0
pdvd	039253	8	95	416644	0	45	1068316	0
pdvd	039324	9	43	300304	0	13	421248	0
pdvd	039349	0	40	243536	0	13	412704	0
pdvd	039324	4	61	307620	0	30	716252	0
pdvd	039253	9	90	474704	0	47	965900	0
pdvd	039349	11	44	252900	0	15	418368	0
pdvd	039349	12	44	285076	0	15	449664	0
pdvd	039349	10	49	282752	0	19	565864	0
pdvd	039349	13	39	239372	0	11	388832	0
pdvd	039324	7	62	333108	0	33	680704	0
pdvd	039349	14	42	278680	0	14	460856	0
pdvd	039349	17	38	241260	0	9	318500	0
pdvd	039349	15	43	242212	0	15	481976	0
pdvd	039349	19	39	242316	0	11	359316	0
pdvd	039324	2	79	498300	0	69	862432	0
pdvd	039349	20	38	257268	0	11	366128	0
pdvd	039349	2	40	239572	0	12	373092	0
pdvd	039349	18	46	277568	0	16	536960	0
pdvd	039349	16	51	324976	0	20	529032	0
pdvd	039324	8	86	421668	0	46	903488	0
pdvd	039349	21	46	267728	0	16	473360	0
pdvd	039349	24	40	261980	0	12	389224	0
pdvd	039349	22	45	267944	0	17	529592	0
pdvd	039349	23	46	242516	0	16	508920	0
pdvd	039349	29	41	241464	0	13	418432	0
pdvd	039349	25	52	285740	0	22	614372	0
pdvd	039349	27	48	239672	0	18	495568	0
pdvd	039349	3	44	295972	0	14	459180	0
pdvd	039349	32	42	241008	0	14	396564	0
pdvd	039349	26	56	285796	0	25	588696	0
pdvd	039349	34	40	241548	0	13	391748	0
pdvd	039349	31	47	280688	0	17	528324	0
pdvd	039349	30	52	297344	0	20	542364	0
pdvd	039349	35	41	241004	0	13	402216	0
pdvd	039349	36	42	241404	0	12	406920	0
pdvd	039349	39	39	239616	0	11	374024	0
pdvd	039349	33	55	356976	0	25	630948	0
pdvd	039349	28	70	394720	0	38	915628	0
pdvd	039349	40	38	239464	0	10	314684	0
pdvd	039349	4	45	271364	0	17	505588	0
pdvd	039349	38	54	283792	0	22	623716	0
pdvd	039349	41	43	262968	0	14	423768	0
pdvd	039349	43	40	260788	0	11	361516	0
pdvd	039349	42	43	252952	0	13	375320	0
pdvd	039349	45	42	243436	0	13	439948	0
pdvd	039349	46	45	241228	0	14	434864	0
pdvd	039349	37	65	378704	0	35	763336	0
pdvd	039349	44	52	289836	0	20	607976	0
pdvd	039349	47	45	257364	0	17	491360	0
pdvd	039349	49	45	242416	0	14	442716	0
pdvd	039349	48	51	314636	0	20	601212	0
pdvd	039349	5	48	241400	0	18	507672	0
pdvd	039349	50	48	283240	0	15	431176	0
pdvd	039349	51	45	266136	0	16	496712	0
pdvd	039349	55	42	280576	0	13	454096	0
pdvd	039349	52	49	248884	0	18	532356	0
pdvd	039349	54	47	265188	0	16	485608	0
pdvd	039349	56	48	268196	0	18	534096	0
pdvd	039349	59	40	241084	0	13	404184	0
pdvd	039349	53	49	293568	0	20	588648	0
pdvd	039349	57	50	244152	0	18	510244	0
pdvd	039349	58	44	282796	0	18	450048	0
pdvd	039349	6	41	239332	0	14	430920	0
pdvd	039349	61	38	239392	0	11	377400	0
pdvd	039349	60	42	254148	0	14	425632	0
pdvd	039349	62	44	255008	0	15	458140	0
pdvd	039349	65	38	239272	0	11	365720	0
pdvd	039349	64	46	298540	0	16	478064	0
pdvd	039349	67	39	239392	0	11	382720	0
pdvd	039349	66	44	241008	0	15	430940	0
pdvd	039349	63	56	289436	0	22	597884	0
pdvd	039349	68	46	266812	0	16	497140	0
pdvd	039349	70	44	306612	0	14	487884	0
pdvd	039349	74	41	241200	0	12	389132	0
pdvd	039349	73	46	257832	0	16	502956	0
pdvd	039349	76	45	267120	0	16	460820	0
pdvd	039349	69	55	261032	0	22	572484	0
pdvd	039349	72	50	374036	0	21	609156	0
pdvd	039349	71	55	279688	0	21	577436	0
pdvd	039349	7	56	286124	0	25	680652	0
pdvd	039349	78	43	246812	0	13	429180	0
pdvd	039349	75	53	273316	0	23	632468	0
pdvd	039349	8	39	241012	0	10	320916	0
pdvd	039349	80	40	239336	0	12	399640	0
pdvd	039349	77	52	271264	0	21	593224	0
pdvd	039349	79	51	269044	0	19	581416	0
pdvd	039349	82	41	250828	0	13	436136	0
pdvd	039349	81	48	239740	0	16	479340	0
pdvd	039349	9	43	278660	0	14	448628	0
pdvd	039349	83	49	301304	0	17	535312	0
pdvd	040475	4	47	316288	0	14	438164	0
pdvd	040475	1	55	330684	0	19	567688	0
pdvd	040475	0	58	318620	0	23	636632	0
pdvd	040475	10	57	372828	0	22	613224	0
pdvd	040475	2	58	448332	0	22	567388	0
pdvd	040475	3	57	344576	0	23	644704	0
pdvd	040475	5	56	415776	0	21	592836	0
pdvd	040475	8	54	316392	0	18	559056	0
pdvd	040475	9	57	362628	0	19	512076	0
pdvd	040475	7	74	409260	0	20	649488	0
pdvd	040475	6	82	701268	0	38	854436	0
