# doc 81 sec 10 -- stage-A reference-side member-content hashes
# the reference half of doc 81 sec 7's 24536/24536 gate
# img=work-img-mcp2k ql=work-mcp2k-ql0819 events=2000 products=16000 missing=0
#evt	product	rollup_sha256	members
47894	ql/pctree-evt47894.tar.gz	e0fbc2e4cc2c84946321a90cc81a70d33e4e7da9eac0cd3b31d17168b8a6a105	410
47916	img/icluster-apa0-active	f78b139f12bf245509dddf56236af406b0ef920ecc85d7a3658212f44582268a	12
47916	img/icluster-apa0-masked	984a1a2932ee101c990ee9b5c60f2c325921ca63f5e9789c6668b2ad7d26325b	9
47916	img/icluster-apa1-active	0e7829b79b6f96185d2d6361a0bbeb23cb1a73d49f0ec73381f07ebded84e97f	12
47916	img/icluster-apa1-masked	39fa2cf69b61a5136beaa6591f3cca8e90b019deed8f93493ab9b9208406de2f	9
47916	ql/mabc-all-apa.zip	ab212d0be12714a4e6187322b88b33d8899cfc46f33395dfbab76f584c980eeb	5
47916	ql/mabc-apa0-face0.zip	6f5e8ad3128a79bd2e87addd58f8e0c8d7f069e05ed3a670b55e039ec74fb39b	2
47916	ql/mabc-apa1-face0.zip	d9e2587e98ce588ee370a12c10805e562250a56ce0cb8c2960c0a199df80b50c	2
47916	ql/pctree-evt47916.tar.gz	27eff1be4d452f5ae675c666f70bb8c3cd1327fbfc76af905cd4834f1c493194	410
47982	img/icluster-apa0-active	c0bed7ebfedab2983d076544dee713e39b83f2b1ed672513a806c5f6b0db6dc0	12
47982	img/icluster-apa0-masked	9212c383d7e968474f04131df49d38bc787dc22e7f709d4bc9d3a649d6025bda	9
47982	img/icluster-apa1-active	0b8f21c4781b5aa9c8754e6238a7018e7887e4749df5d21b785accbf79487028	12
47982	img/icluster-apa1-masked	0333e4272a9c75e06957cb4ff8a172587cd01d44ab1aa57bd4707fec889d77d1	9
47982	ql/mabc-all-apa.zip	997eb05864e8005aafbd12e6910ca581156de91071ab190da61c49c7c062af76	5
47982	ql/mabc-apa0-face0.zip	74ae114f109ff672969a0574ee82d5ab0094840da7aebecc671d1400cf0eeccc	2
47982	ql/mabc-apa1-face0.zip	59f84d1e9294ed791a4ebc17370f6f6c514c1603d8a19f89a9f31ed45eb7b3aa	2
47982	ql/pctree-evt47982.tar.gz	c5938cd96e962bc536eb21c7bd4d31524bd65003c6580a1f8b99c1fc5811afb0	410
48246	img/icluster-apa0-active	34ce9dd0a2bdde6d08b710e07bb0d4199dacb8760c49f6656afa2fc6a1bee91c	12
48246	img/icluster-apa0-masked	235cc6744be652b5721a43567596576dc5ebdc093b18e3084e7eb8c5a83c6310	9
48246	img/icluster-apa1-active	878bcc191fe3a38a1f5516878641a677bb74806cb4bbd719dcbd32fdabd70b0e	12
48246	img/icluster-apa1-masked	d31bf3889df5ed752b8bd416c4254c2154c20bd5016153045f3e59f1becb5164	9
48246	ql/mabc-all-apa.zip	9f9e720d0812f76f142f21ded3c0d3aa1af18dfc34797f0366710047eaae474b	5
48246	ql/mabc-apa0-face0.zip	ae0970aeedc4e942da85cf50a86ec2a5d4861b8417db16bd6881cb856ccfa0bc	2
48246	ql/mabc-apa1-face0.zip	ff8197ff08f0bcf0cb8d99c0ec0c403d279947333de334bd816aa8baf6a03240	2
48246	ql/pctree-evt48246.tar.gz	ead9b35e7e2937ae7d1aa2e701affbbf6717d558b0becdd23b5dcf80609b79df	412
48444	img/icluster-apa0-active	4acb236f4519fe1ca4a244362c154dcd5e5aa458949bbe76eaf006d15ad75b9f	12
48444	img/icluster-apa0-masked	c58c8861b13702281908bad5fe3f5403d89042213b3503358e75f5828f2443fe	9
48444	img/icluster-apa1-active	a9e6360ec6c3bd0dd88664e425a0038e1404d0fceadc1ac829ffd695fae34d42	12
48444	img/icluster-apa1-masked	9b3d0e47e74810ab6d8904359c96fd28b0dd628d520e988e199920cc373fcdd8	9
48444	ql/mabc-all-apa.zip	ca6bc09ea5967776c8cb8294e5c1fa8cd68f71c3ab035fa3790ff30518d8e25e	5
48444	ql/mabc-apa0-face0.zip	27e9a42075afe050812df7aa87530b65ef023adb18e736c85e7e11fa13c47fcd	2
48444	ql/mabc-apa1-face0.zip	cfd9787368b6c7af64e7d19231bada601b46d4884c534d82077dfe758e7a216c	2
48444	ql/pctree-evt48444.tar.gz	847654a9ae21c50d8986bce0d38e7d44d9a51fa99f4b8ebab0cc259ecb168bb2	412
48488	img/icluster-apa0-active	b3a49946fd6a24db343e431a4a744a2ede07d194eb33b7301b3d7c3136cd0750	12
48488	img/icluster-apa0-masked	746a1caac001d6574e32ca9076371eee6e4c920c6266eb483df6fd55a3d60a04	9
48488	img/icluster-apa1-active	aa0bbf437a73be19d9b750570af88999c5e629cfb84e5afb216f3f1d24904641	12
48488	img/icluster-apa1-masked	bb892066a8917117de18ea69df7ef12051557d25621aab68975289612b89d3ff	9
48488	ql/mabc-all-apa.zip	554b8eea4f891cda9ff4c351c04182a1867327696273436dbe106c2426a72f0b	5
48488	ql/mabc-apa0-face0.zip	63e4547c2978e8c9455a38fe236084e4bd22913765526f576629b3200d23eca3	2
48488	ql/mabc-apa1-face0.zip	e1dc104750a7e7386bacacabbc215eae0ba53ba307682b3d7e9d08afa71ab25a	2
