# doc pdvd/98 -- m3-200k-w predictions on the real-data Michel crops (d98_predict.py; bf16, CUDA)
# variants: Z = Michel only, muon zeroed; S = overlap cells scaled by (charge-pred_mu)/charge; M = muon left in; Zw = Z with the wider mask.  mu/sig in cm from the response plane.
# tier A = Bragg ratio>=0.8 & q2d_ovl<0.2 & n_stop_gammas==0 & frac_lost<0.2; inrange = 80<=drift_tick<=340
det	key	tier	inrange	drift_tick	drift_fit	mu_Z	sig_Z	mu_S	sig_S	mu_M	sig_M	mu_Zw	sig_Zw	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	ke_best	ke_region	ratio	q2d_ovl	n_stop_gammas	kind	source	conn_type	michel_len	kink_deg	apa	face	d97
pdvd	039252_17/88	B	1	136.5	136.9	133.6	33.76	93.36	12.71	115.6	23.38	133.6	33.76	1.016e+06	3.825e+05	0.3765	0.2065	306	24.45	37.95	1.578	0.1256	0	attached	flat	1	10.37	87.5	6	1	attached
pdvd	039252_2/55	B	0	63.01	62.4	74.22	3.938	72.66	3.317	71.88	3.369	74.22	3.938	9.468e+05	2.71e+05	0.2862	0.2119	293	33.79	37.7	0.8102	0.1089	0	both	flat	1	10.71	72.11	3	0	
pdvd	039252_2/83	B	0	27.44	27.27	85.94	8.209	85.55	7.358	87.5	7.358	85.94	8.209	1.148e+06	4.042e+05	0.3521	0.31	279	27.55	33.65	0.8593	0.3876	0	both	flat	1	4.641	79.8	6	0	
pdvd	039252_2/86	A	0	58.46	58.36	82.42	4.463	75.78	4.001	80.47	5.554	82.42	4.463	1.278e+06	2.938e+05	0.23	0.1656	501	34.84	31.58	0.913	0.09105	0	both	flat	1	13.78	82.73	4	1	
pdvd	039252_3/40	B	0	79.01	78.49	82.42	4.751	77.34	3.586	85.94	6.493	82.42	4.751	1.516e+06	9.099e+05	0.6003	0.5533	434	26.73	37.85	0.9259	0.6135	0	attached	flat	1	14.33	126.2	1	1	
pdvd	039252_3/68	A	1	189	188.8	203.1	34.83	158.6	33.76	212.5	23.75	203.1	34.83	1.101e+06	3.214e+05	0.292	0.1972	341	27.38	31.81	0.8372	0.1575	0	attached	flat	1	11.5	82.45	4	0	
pdvd	039252_8/32	B	1	123.4	123.7	86.72	5.821	83.2	6.294	83.98	7.358	86.72	5.821	1.183e+06	4.793e+05	0.4052	0.2942	426	30.4	38.49	0.8808	0.2001	0	both	flat	1	11.56	54.48	1	0	
pdvd	039253_0/110	B	0	71.32	71.34	107.8	145.8	88.67	14.86	91.8	11.4	107.8	145.8	4.697e+05	4.634e+05	0.9866	0.9832	11	4.347	15.91	0.8857	1.104	2	both	flat	1	1.798	71.25	5	0	
pdvd	039253_0/44	A	1	140.5	140.2	98.44	26.5	90.62	13.12	94.14	14.98	98.44	26.5	9.611e+05	5.143e+05	0.5352	0.1683	217	4.958	26.14	0.9382	0.06765	0	attached	flat	2	5.341	-1	1	1	
pdvd	039349_4/36	B	0	8.075	8.094	65.62	3.02	62.5	3.02	62.11	3.02	65.23	3.02	1.313e+06	3.476e+05	0.2648	0.2017	412	30.07	50.48	0.8397	0.08326	0	both	flat	1	8.917	72.52	3	1	
pdvd	039349_81/41	B	1	97.54	96.68	93.75	21.97	87.5	10.38	156.2	42.51	94.53	18.07	7.797e+05	4.848e+05	0.6218	0.6065	151	5.912	2.323	1.555	0.484	0	attached	flat	1	1.2	28.35	4	0	
pdvd	039349_81/62	A	0	45.4	45.56	91.02	4.751	84.38	4.259	85.16	4.533	93.36	5.554	1.73e+06	2.093e+05	0.121	0.1003	723	40.63	35.67	0.8014	0.05417	0	attached	flat	1	15.04	65.3	6	0	
