evt	tag	arm	runNo	subRunNo	n_cloud	n_vtx_points	n_seg_points	n_invalid_fit	truth_x	truth_y	truth_z	pick_kind	not_a_candidate	dis_to_main	corrective	label_source	sample	numu_score	prod_x	prod_y	prod_z	lockbox	label_saved_utc	label_mtime	npz
165157	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	249	61	188	-1	-101.000000	138.000000	189.000000	manual	1	18.0825	1	human	nuecc		-101.613503	120.684807	194.175385	0	2026-08-16T19:38:04+00:00	1786909084	evt165157.npz
165544	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	117	18	99	-1	-166.706772	170.965302	151.928818	candidate	0	0.0000	0	human	nuecc		-166.706772	170.965302	151.928818	0	2026-08-16T20:03:35+00:00	1786910616	evt165544.npz
165767	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	139	14	125	-1	138.374130	-62.615440	151.929855	candidate	0	44.6992	1	human	nuecc		180.197891	-60.625996	136.282745	0	2026-08-16T18:43:25+00:00	1786905806	evt165767.npz
166996	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	202	32	170	-1	-90.995354	75.361580	285.997589	candidate	0	19.5336	1	human	nuecc		-86.286537	58.625511	294.902191	0	2026-08-16T18:40:20+00:00	1786905620	evt166996.npz
167351	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	572	24	548	-1	-97.993317	16.112171	218.359406	candidate	0	134.8917	1	human	nuecc		-117.493858	85.520180	332.368317	0	2026-08-16T19:09:53+00:00	1786907393	evt167351.npz
167744	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	692	35	657	-1	-6.115370	94.965973	475.042297	candidate	0	0.0000	0	human	nuecc		-6.115370	94.965973	475.042297	0	2026-08-16T19:56:17+00:00	1786910178	evt167744.npz
168869	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	22	12	10	-1	86.846710	192.427643	325.277832	candidate	0	0.0000	0	human	nuecc		86.846710	192.427643	325.277832	0	2026-08-16T19:56:47+00:00	1786910208	evt168869.npz
169152	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	203	19	184	-1	-164.668793	-46.547714	435.003754	candidate	0	68.7324	1	human	nuecc		-126.664154	-103.439400	428.436340	0	2026-08-16T21:01:21+00:00	1786914081	evt169152.npz
169240	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	626	9	617	-1	-11.853230	-2.194837	166.724258	candidate	0	1.8573	1	human	nuecc		-11.919386	-1.254235	168.324371	0	2026-08-16T20:03:15+00:00	1786910596	evt169240.npz
169306	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	129	19	110	-1	175.300003	-124.300003	72.000000	manual	1	48.6907	1	human	nuecc		161.254242	-151.287003	33.984146	0	2026-08-16T19:54:41+00:00	1786910082	evt169306.npz
169724	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	129	13	116	-1	-9.915210	-63.466629	443.004059	candidate	0	28.5765	1	human	nuecc		16.506603	-59.045406	452.951691	0	2026-08-16T18:39:53+00:00	1786905594	evt169724.npz
170274	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	101	23	78	-1	-75.967140	-158.093918	29.842577	candidate	0	0.0000	0	human	nuecc		-75.967140	-158.093918	29.842577	0	2026-08-16T19:12:31+00:00	1786907552	evt170274.npz
170326	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	218	10	208	-1	-152.186569	164.453552	414.204681	candidate	0	2.1879	1	human	nuecc		-152.932983	166.485504	414.522491	0	2026-08-16T20:53:17+00:00	1786913598	evt170326.npz
171143	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	247	27	220	-1	-112.667442	-155.207916	74.764183	candidate	0	0.0000	0	human	nuecc		-112.667442	-155.207916	74.764183	0	2026-08-16T19:26:25+00:00	1786908385	evt171143.npz
171528	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	225	31	194	-1	40.119987	-177.235382	438.586243	candidate	0	33.3777	1	human	nuecc		32.673637	-196.273636	412.201294	0	2026-08-16T20:02:10+00:00	1786910530	evt171528.npz
171729	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	400	33	367	-1	-9.164713	127.765419	291.021820	candidate	0	1.2817	1	human	nuecc		-8.471157	128.739044	290.559418	0	2026-08-16T18:43:55+00:00	1786905836	evt171729.npz
172020	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	274	19	255	-1	-164.166809	-81.105003	353.202606	candidate	0	0.0000	0	human	nuecc		-164.166809	-81.105003	353.202606	0	2026-08-16T18:40:36+00:00	1786905637	evt172020.npz
173093	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	183	59	124	-1	-5.028775	-12.690782	299.040527	candidate	0	0.0000	0	human	nuecc		-5.028775	-12.690782	299.040527	0	2026-08-16T19:13:32+00:00	1786907613	evt173093.npz
173585	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	351	13	338	-1	-54.598034	-131.137360	231.576614	candidate	0	0.0000	0	human	nuecc		-54.598034	-131.137360	231.576614	0	2026-08-16T18:41:56+00:00	1786905717	evt173585.npz
173620	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	235	28	207	-1	36.730541	164.006897	247.595779	candidate	0	15.0180	1	human	nuecc		49.476395	162.201157	255.330215	0	2026-08-16T20:09:16+00:00	1786910956	evt173620.npz
173819	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	350	30	320	-1	91.540726	173.503494	381.981995	candidate	0	0.0000	0	human	nuecc		91.540726	173.503494	381.981995	0	2026-08-16T19:51:33+00:00	1786909893	evt173819.npz
174311	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	174	10	164	-1	-81.510986	5.958120	449.452850	candidate	0	0.0000	0	human	nuecc		-81.510986	5.958120	449.452850	0	2026-08-16T18:42:55+00:00	1786905775	evt174311.npz
174795	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	365	6	359	-1	-51.268620	-195.843994	381.610016	candidate	0	0.0000	0	human	nuecc		-51.268620	-195.843994	381.610016	0	2026-08-16T19:12:43+00:00	1786907563	evt174795.npz
174896	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	473	64	409	-1	-106.127121	-43.357632	288.966370	candidate	0	11.0421	1	human	nuecc		-99.236755	-41.777420	297.448914	0	2026-08-16T18:41:20+00:00	1786905680	evt174896.npz
174993	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	257	12	245	-1	104.248184	-157.726669	235.857025	candidate	0	0.0000	0	human	nuecc		104.248184	-157.726669	235.857025	0	2026-08-16T19:10:36+00:00	1786907436	evt174993.npz
175057	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	507	12	495	-1	128.356918	-24.338690	282.357605	candidate	0	0.0000	0	human	nuecc		128.356918	-24.338690	282.357605	0	2026-08-16T18:43:36+00:00	1786905816	evt175057.npz
176150	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	249	6	243	-1	-44.520168	-0.062390	0.945321	candidate	0	0.0000	0	human	nuecc		-44.520168	-0.062390	0.945321	0	2026-08-16T21:01:00+00:00	1786914060	evt176150.npz
176502	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	2190	253	1937	-1	127.863510	-31.918102	118.969467	candidate	0	0.0000	0	human	nuecc		127.863510	-31.918102	118.969467	0	2026-08-16T20:58:00+00:00	1786913880	evt176502.npz
176533	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	360	98	262	-1	-155.908646	-127.093658	378.617584	candidate	0	0.0000	0	human	nuecc		-155.908646	-127.093658	378.617584	0	2026-08-16T21:27:20+00:00	1786915640	evt176533.npz
176986	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	179	62	117	-1	9.802646	24.683905	320.083252	candidate	0	21.9607	1	human	nuecc		29.466904	15.501562	316.725372	0	2026-08-16T19:57:04+00:00	1786910225	evt176986.npz
177178	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	195	7	188	-1	-183.344757	-41.082542	158.957245	candidate	0	0.0000	0	human	nuecc		-183.344757	-41.082542	158.957245	0	2026-08-16T18:44:28+00:00	1786905869	evt177178.npz
177266	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	65	6	59	-1	-122.417252	-19.363911	185.760986	candidate	0	0.0000	0	human	nuecc		-122.417252	-19.363911	185.760986	0	2026-08-16T19:13:38+00:00	1786907619	evt177266.npz
177366	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	106	17	89	-1	98.973816	-127.495888	483.483521	candidate	0	0.0000	0	human	nuecc		98.973816	-127.495888	483.483521	0	2026-08-16T18:45:02+00:00	1786905902	evt177366.npz
177939	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	52	7	45	-1	-117.301598	116.359085	1.107916	candidate	0	4.1814	1	human	nuecc		-118.313858	116.629204	5.155982	0	2026-08-16T19:07:35+00:00	1786907255	evt177939.npz
178225	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	190	23	167	-1	-24.454037	134.128235	428.896423	candidate	0	0.0000	0	human	nuecc		-24.454037	134.128235	428.896423	0	2026-08-16T19:58:50+00:00	1786910330	evt178225.npz
178445	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	104	22	82	-1	22.500000	188.500000	386.000000	manual	1	18.9648	1	human	nuecc		7.961127	198.971542	379.784424	0	2026-08-16T18:38:47+00:00	1786905528	evt178445.npz
178535	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	32	6	26	-1	-190.412903	-198.679337	338.376068	candidate	0	15.1480	1	human	nuecc		-186.548370	-186.167206	330.762054	0	2026-08-16T19:14:05+00:00	1786907645	evt178535.npz
178865	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	383	6	377	-1	-164.880692	73.675385	244.169876	candidate	0	0.0000	0	human	nuecc		-164.880692	73.675385	244.169876	0	2026-08-16T19:29:16+00:00	1786908557	evt178865.npz
179048	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	605	19	586	-1	164.815384	105.286156	151.988892	candidate	0	37.2642	1	human	nuecc		160.508560	86.564507	183.919678	0	2026-08-16T19:33:47+00:00	1786908828	evt179048.npz
179246	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	284	22	262	-1	40.386944	-95.429451	275.923218	candidate	0	31.9086	1	human	nuecc		60.125919	-98.771133	300.770111	0	2026-08-16T18:42:12+00:00	1786905733	evt179246.npz
179604	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	799	16	783	-1	-180.628082	163.159744	35.067078	candidate	0	0.0000	0	human	nuecc		-180.628082	163.159744	35.067078	0	2026-08-16T19:31:09+00:00	1786908669	evt179604.npz
179912	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	181	19	162	-1	-184.596313	114.638840	347.608765	candidate	0	5.4965	1	human	nuecc		-182.588867	114.041466	352.690552	0	2026-08-16T18:41:50+00:00	1786905710	evt179912.npz
180117	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	722	12	710	-1	-181.252975	-26.098619	232.080963	candidate	0	0.0000	0	human	nuecc		-181.252975	-26.098619	232.080963	0	2026-08-16T18:45:27+00:00	1786905927	evt180117.npz
180645	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	268	13	255	-1	-116.751602	171.384872	468.897034	candidate	0	2.4918	1	human	nuecc		-115.449760	172.970200	470.311676	0	2026-08-16T18:43:10+00:00	1786905790	evt180645.npz
180698	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	491	21	470	-1	-158.460846	183.154587	1.060239	candidate	0	0.0000	0	human	nuecc		-158.460846	183.154587	1.060239	0	2026-08-16T19:32:29+00:00	1786908749	evt180698.npz
237292	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	211	47	164	-1	-78.280006	-69.484482	407.022583	candidate	0	32.9736	1	human	nuecc		-68.084938	-69.379623	375.664825	0	2026-08-16T20:05:02+00:00	1786910703	evt237292.npz
237798	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	906	20	886	-1	-121.823120	39.220497	68.419662	candidate	0	54.4031	1	human	nuecc		-126.496307	73.058258	110.761848	0	2026-08-16T18:39:20+00:00	1786905560	evt237798.npz
240636	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	489	17	472	-1	-21.970533	0.310990	262.099060	candidate	0	0.0000	0	human	nuecc		-21.970533	0.310990	262.099060	0	2026-08-16T20:13:32+00:00	1786911213	evt240636.npz
242022	vtxscan-mcp2k	work-mcp2k-harv3	18259	1	578	20	558	-1	-116.991707	-15.914607	192.459076	candidate	0	0.0000	0	human	nuecc		-116.991707	-15.914607	192.459076	0	2026-08-16T19:30:48+00:00	1786908649	evt242022.npz
275539	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	215	33	182	-1	-17.000000	-2.000000	453.000000	manual	1	14.6165	1	human	nuecc		-16.301714	-16.412714	455.329773	0	2026-08-16T19:09:37+00:00	1786907377	evt275539.npz
278509	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	168	21	147	-1	65.477493	-14.782638	2.182631	candidate	0	0.0000	0	human	nuecc		65.477493	-14.782638	2.182631	0	2026-08-16T19:35:55+00:00	1786908955	evt278509.npz
279213	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	90	20	70	-1	-126.832474	112.332306	471.876251	candidate	0	0.0000	0	human	nuecc		-126.832474	112.332306	471.876251	0	2026-08-16T19:34:08+00:00	1786908848	evt279213.npz
279955	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	423	9	414	-1	-99.773392	129.983231	264.548523	candidate	0	0.0000	0	human	nuecc		-99.773392	129.983231	264.548523	0	2026-08-16T20:56:19+00:00	1786913780	evt279955.npz
280709	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	130	39	91	-1	-173.703918	78.812904	173.441696	candidate	0	27.4307	1	human	nuecc		-191.532120	94.308830	187.387100	0	2026-08-16T19:59:18+00:00	1786910359	evt280709.npz
280945	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	190	14	176	-1	16.654339	108.992012	338.750580	candidate	0	105.7228	1	human	nuecc		-38.127419	174.222382	276.130554	0	2026-08-16T18:36:59+00:00	1786905420	evt280945.npz
281567	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	824	201	623	-1	-73.009048	-94.979752	75.437668	candidate	0	10.5847	1	human	nuecc		-72.708672	-104.698807	79.619270	0	2026-08-16T20:55:56+00:00	1786913756	evt281567.npz
281781	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	422	123	299	-1	-102.282646	143.610138	223.964417	candidate	0	0.0000	0	human	nuecc		-102.282646	143.610138	223.964417	0	2026-08-16T20:05:39+00:00	1786910739	evt281781.npz
282491	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	213	9	204	-1	-143.415176	32.340195	161.651093	candidate	0	0.0000	0	human	nuecc		-143.415176	32.340195	161.651093	0	2026-08-16T18:45:54+00:00	1786905955	evt282491.npz
282909	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	385	90	295	-1	-170.129303	-188.879837	92.933472	candidate	0	9.6639	1	human	nuecc		-176.845657	-187.031555	99.631607	0	2026-08-16T19:32:13+00:00	1786908733	evt282909.npz
283833	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	926	30	896	-1	-57.558502	-157.501587	1.411360	candidate	0	0.0000	0	human	nuecc		-57.558502	-157.501587	1.411360	0	2026-08-16T19:59:54+00:00	1786910394	evt283833.npz
283849	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	286	10	276	-1	46.663002	-17.833105	394.946960	candidate	0	0.0000	0	human	nuecc		46.663002	-17.833105	394.946960	0	2026-08-16T19:12:48+00:00	1786907569	evt283849.npz
284047	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	33	2	31	-1	140.948898	-67.856491	424.572998	candidate	0	0.0000	0	human	nuecc		140.948898	-67.856491	424.572998	0	2026-08-16T19:56:23+00:00	1786910184	evt284047.npz
284866	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	606	5	601	-1	108.306656	3.806312	180.216309	candidate	0	0.0000	0	human	nuecc		108.306656	3.806312	180.216309	0	2026-08-16T19:33:13+00:00	1786908793	evt284866.npz
286296	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	130	43	87	-1	-201.176682	-90.968597	41.332794	candidate	0	0.0000	0	human	nuecc		-201.176682	-90.968597	41.332794	0	2026-08-16T19:55:09+00:00	1786910109	evt286296.npz
287374	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	221	14	207	-1	-191.546951	-126.212524	421.973206	candidate	0	0.0000	0	human	nuecc		-191.546951	-126.212524	421.973206	0	2026-08-16T19:12:23+00:00	1786907544	evt287374.npz
287464	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	167	42	125	-1	117.070930	184.407501	239.219177	candidate	0	45.3594	1	human	nuecc		158.563660	181.974609	221.055725	0	2026-08-16T19:02:54+00:00	1786906975	evt287464.npz
287638	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	193	10	183	-1	-41.819283	-83.823097	497.404968	candidate	0	109.0507	1	human	nuecc		-106.110329	-117.828773	416.150177	0	2026-08-16T20:01:36+00:00	1786910497	evt287638.npz
289862	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	30	4	26	-1	-194.734009	-74.677872	20.844585	candidate	0	14.5202	1	human	nuecc		-195.664276	-63.281624	11.895005	0	2026-08-16T19:15:03+00:00	1786907704	evt289862.npz
292436	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	505	28	477	-1	90.782333	103.602753	299.350006	candidate	0	228.3695	1	human	nuecc		75.341255	-8.251411	497.851501	0	2026-08-16T19:05:44+00:00	1786907144	evt292436.npz
293470	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	309	24	285	-1	-67.185989	-170.812775	115.647324	candidate	0	0.0000	0	human	nuecc		-67.185989	-170.812775	115.647324	0	2026-08-16T19:33:07+00:00	1786908787	evt293470.npz
316021	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	296	8	288	-1	-62.002686	-41.716873	3.267898	candidate	0	0.0000	0	human	nuecc		-62.002686	-41.716873	3.267898	0	2026-08-16T18:46:13+00:00	1786905973	evt316021.npz
316197	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	63	6	57	-1	-25.320538	172.422729	493.902344	candidate	0	33.2334	1	human	nuecc		-30.943142	195.421295	470.580475	0	2026-08-16T19:03:04+00:00	1786906985	evt316197.npz
317077	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	69	29	40	-1	-90.826118	-70.073288	444.207001	candidate	0	0.0000	0	human	nuecc		-90.826118	-70.073288	444.207001	0	2026-08-16T19:07:22+00:00	1786907242	evt317077.npz
317407	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	676	26	650	-1	184.156509	-186.843735	67.567802	candidate	0	0.0000	0	human	nuecc		184.156509	-186.843735	67.567802	0	2026-08-16T18:42:27+00:00	1786905748	evt317407.npz
317427	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	507	11	496	-1	-1.553827	126.011047	165.023376	candidate	0	0.0000	0	human	nuecc		-1.553827	126.011047	165.023376	0	2026-08-16T19:08:13+00:00	1786907293	evt317427.npz
317957	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	106	5	101	-1	129.000000	176.000000	414.500000	manual	1	2.8964	1	human	nuecc		130.678360	173.641235	414.406952	0	2026-08-16T19:58:31+00:00	1786910312	evt317957.npz
318021	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	54	9	45	-1	-63.335777	-191.450729	90.890694	candidate	0	5.0810	1	human	nuecc		-63.869282	-188.789627	95.186111	0	2026-08-16T19:11:48+00:00	1786907509	evt318021.npz
318549	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	15	4	11	-1	-61.622780	172.263138	359.614868	candidate	0	0.0000	0	human	nuecc		-61.622780	172.263138	359.614868	0	2026-08-16T18:46:37+00:00	1786905997	evt318549.npz
318703	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	637	75	562	-1	-49.960506	-32.770504	252.298141	candidate	0	0.0000	0	human	nuecc		-49.960506	-32.770504	252.298141	0	2026-08-16T19:07:08+00:00	1786907229	evt318703.npz
318769	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	396	128	268	-1	84.960609	12.467620	201.521194	candidate	0	122.5395	1	human	nuecc		194.961914	-13.604829	248.806091	0	2026-08-16T20:09:06+00:00	1786910946	evt318769.npz
319475	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	200	46	154	-1	132.053909	164.050369	282.961884	candidate	0	1.1041	1	human	nuecc		131.193222	164.736954	283.044373	0	2026-08-16T20:58:36+00:00	1786913917	evt319475.npz
321169	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	164	50	114	-1	-85.388504	113.106201	220.551880	candidate	0	18.5474	1	human	nuecc		-84.633682	129.832611	228.530838	0	2026-08-16T19:33:36+00:00	1786908816	evt321169.npz
321235	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	469	11	458	-1	61.134521	33.697155	0.027977	candidate	0	0.0000	0	human	nuecc		61.134521	33.697155	0.027977	0	2026-08-16T20:59:25+00:00	1786913965	evt321235.npz
321849	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	566	54	512	-1	188.239746	62.971607	16.432911	candidate	0	0.0000	0	human	nuecc		188.239746	62.971607	16.432911	0	2026-08-16T20:54:51+00:00	1786913691	evt321849.npz
321937	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	418	11	407	-1	115.064201	33.320450	270.874146	candidate	0	0.0000	0	human	nuecc		115.064201	33.320450	270.874146	0	2026-08-16T19:08:33+00:00	1786907314	evt321937.npz
321983	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	99	42	57	-1	-43.466042	-2.604711	11.582036	candidate	0	0.0000	0	human	nuecc		-43.466042	-2.604711	11.582036	0	2026-08-16T19:35:46+00:00	1786908946	evt321983.npz
322707	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	369	29	340	-1	67.299500	-87.137573	329.512207	candidate	0	0.0000	0	human	nuecc		67.299500	-87.137573	329.512207	0	2026-08-16T19:34:47+00:00	1786908887	evt322707.npz
322907	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	323	16	307	-1	-110.737099	194.244919	29.190781	candidate	0	0.0000	0	human	nuecc		-110.737099	194.244919	29.190781	0	2026-08-16T19:59:30+00:00	1786910370	evt322907.npz
323171	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	328	19	309	-1	-157.019608	-56.843014	54.346935	candidate	0	0.0000	0	human	nuecc		-157.019608	-56.843014	54.346935	0	2026-08-16T20:14:38+00:00	1786911279	evt323171.npz
323369	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	440	11	429	-1	-24.910076	196.696274	215.690872	candidate	0	235.1511	1	human	nuecc		29.805300	-17.109674	134.516541	0	2026-08-16T20:04:09+00:00	1786910650	evt323369.npz
347890	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	383	19	364	-1	-11.539842	-51.666840	234.084290	candidate	0	0.0000	0	human	nuecc		-11.539842	-51.666840	234.084290	0	2026-08-16T19:06:44+00:00	1786907205	evt347890.npz
350354	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	501	107	394	-1	120.443558	143.834396	343.344086	candidate	0	61.7312	1	human	nuecc		117.949005	110.001633	394.917969	0	2026-08-16T20:05:58+00:00	1786910758	evt350354.npz
350596	vtxscan-mcp2k	work-mcp2k-harv3	18255	1	82	29	53	-1	193.598358	-40.074352	351.454926	candidate	0	0.0000	0	human	nuecc		193.598358	-40.074352	351.454926	0	2026-08-16T19:13:55+00:00	1786907635	evt350596.npz
