run	ch	type	group	x	y	z	n_flash	frac_nonzero	sum_pe	med_evt_max	peer_ratio	b_meas	b_pred	meas_pred_cur	type_factor	meas_pred_official
039349	21	1	z-wall PMT	-281.7	-221.0	409.0	15160	0.2559	66668.0	147.80	1.980	22299.7	7700.2	2.8960	0.352	1.0194
039349	22	1	z-wall PMT	-281.7	256.0	-96.1	15160	0.1743	33356.0	74.64	0.505	10300.8	37072.5	0.2779	0.352	0.0978
039349	23	1	z-wall PMT	-281.7	-221.0	-109.7	15160	0.2026	31357.5	59.33	0.401	10141.9	26553.2	0.3819	0.352	0.1344
039349	24	1	bottom PMT	-336.5	170.0	455.6	15160	0.0000	0.0	0.00	0.000	0.0	0.0	nan	0.352	nan
039349	25	1	bottom PMT	-336.5	0.0	455.6	15160	0.2125	33104.1	88.91	1.616	11670.9	6184.4	1.8872	0.352	0.6643
039349	26	1	bottom PMT	-336.5	-170.0	455.6	15160	0.1693	20123.3	55.03	0.995	7308.0	5269.1	1.3870	0.352	0.4882
039349	27	1	bottom PMT	-336.5	170.0	353.6	15160	0.0000	0.0	0.00	0.000	0.0	0.0	nan	0.352	nan
039349	28	1	bottom PMT	-336.5	0.0	353.6	15160	0.0000	0.0	0.00	0.000	0.0	0.0	nan	0.352	nan
039349	29	1	bottom PMT	-336.5	-170.0	353.6	15160	0.2142	25306.9	52.91	0.957	10120.0	0.0	nan	0.352	nan
039349	30	1	bottom PMT	-336.5	405.3	217.8	15160	0.1749	21661.0	55.30	1.005	7749.6	6922.2	1.1195	0.352	0.3941
039349	31	1	bottom PMT	-336.5	-405.3	217.8	15160	0.1716	14323.1	35.29	0.638	5096.7	7405.9	0.6882	0.352	0.2422
039349	32	1	bottom PMT	-336.5	405.3	149.7	15160	0.1799	26490.5	60.85	1.106	7831.7	0.0	nan	0.352	nan
039349	33	1	bottom PMT	-336.5	-405.3	149.7	15160	0.0524	2413.3	6.92	0.125	929.3	6434.2	0.1444	0.352	0.0508
039349	34	1	bottom PMT	-336.5	170.0	-54.4	15160	0.0000	0.0	0.00	0.000	0.0	0.0	nan	0.352	nan
039349	35	1	bottom PMT	-336.5	0.0	-54.4	15160	0.1665	34300.3	86.49	1.572	11585.6	11437.3	1.0130	0.352	0.3566
039349	36	1	bottom PMT	-336.5	-170.0	-54.4	15160	0.1509	13957.0	38.74	0.701	5806.6	11013.1	0.5272	0.352	0.1856
039349	37	1	bottom PMT	-336.5	170.0	-156.3	15160	0.1972	33740.4	78.19	1.421	12937.7	5602.6	2.3092	0.352	0.8129
039349	38	1	bottom PMT	-336.5	0.0	-156.3	15160	0.1859	39687.2	93.69	1.703	15039.5	6044.2	2.4882	0.352	0.8759
039349	39	1	bottom PMT	-336.5	-170.0	-156.3	15160	0.1885	18948.6	45.98	0.831	7060.4	0.0	nan	0.352	nan
