arm	evt	hit_base	hit_arm	moved	d_base	d_arm	adverse	rescued	nue_b	nue_a	numu_b	numu_a	agree	transferred	dual_d	has_vertex	off_ms	route
work-pr112i-snapD2-mcp1k	409920	1	1	0	6.145939597060584e-06	6.145939597060584e-06	0	0	-15.0	-15.0	-2.03989577293396	-2.03989577293396	True	True	0.0	True	1360.462002	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	409942	1	1	0	0.7460746714949826	0.7460746714949826	0	0	-15.0	-15.0	-1.5625211000442505	-1.5625211000442505	True	False	1.8111797924439343	True	1846.976467	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	409964	1	1	0	0.24636823509252537	0.24636823509252537	0	0	-15.0	-15.0	4.301008224487305	4.301008224487305	True	False	0.22965011346073702	True	2063.14998	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	410008	0	1	1	174.23979056275206	0.4458905664643903	0	1	-15.0	-15.0	-0.7168540954589844	1.4459961652755737	True	True	0.4780382730559342	True	1913.713921	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	411460	0	0	0	12.4004274289879	12.4004274289879	0	0	-15.0	-15.0	0.13983525335788727	0.13983525335788727	False	False	2.712379707105389	True	1266.79065	dl-dual-snap-reject
work-pr112i-snapD2-mcp1k	412208	1	1	0	6.971208613486655e-06	6.971208613486655e-06	0	0	-15.0	-15.0	-0.39756956696510315	-0.39756956696510315	True	True	0.0	True	1354.313512	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	48367	0	1	1	56.879565108812926	7.779400652913833e-06	0	1	-15.0	-15.0	0.6168683171272278	2.390007495880127	True	True	0.0	True	1928.233253	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	486247	0	0	0	14.379003969787828	14.379003969787828	0	0	-15.0	-15.0	0.7056695818901062	0.7056695818901062	True	True	0.0	True	1311.991998	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	486687	1	1	0	0.398410898968462	0.398410898968462	0	0	-15.0	-15.0	4.161737442016602	4.161737442016602	True	False	0.5424120177352931	True	3231.417359	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	487303	1	1	0	0.1415398897655735	0.1415398897655735	0	0	-15.0	-15.0	4.288616180419922	4.288616180419922	True	True	1.820526950791771	True	1702.684339	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	487853	1	1	0	2.2300544745992244e-06	2.2300544745992244e-06	0	0	-15.0	-15.0	-1.5877354145050049	-1.5877354145050049	False	False	2.2726943591274567	True	1374.151777	dl-dual-snap-reject
work-pr112i-snapD2-mcp1k	488139	1	1	0	0.24920159962145766	0.24920159962145766	0	0	-15.0	-15.0	3.708737373352051	3.708737373352051	True	True	1.3580739253932017	True	1823.358344	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	488755	1	1	0	3.2210739138900575	3.2210739138900575	0	0	-15.0	-15.0	1.3353163003921509	1.3353163003921509	True	True	0.3420634483709429	True	1199.047404	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	48895	1	1	0	0.0001044213846049744	0.0001044213846049744	0	0	-15.0	-15.0	2.810129165649414	2.810129165649414	True	True	0.00011222021322073396	True	1615.351015	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	489327	1	1	0	0.9377525204863547	0.9377525204863547	0	0	-4.300936222076416	-4.300936222076416	4.301008224487305	4.301008224487305	True	False	0.4663165327480092	True	3245.033302	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	489503	0	0	0	126.01307564759843	126.01307564759843	0	0	-15.0	-15.0	0.04654063284397125	0.04654063284397125	True	False	0.14121854988201163	True	1998.776262	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	490361	1	1	0	1.8838755491775137	1.8838755491775137	0	0	-15.0	-15.0	3.188584566116333	3.188584566116333	True	False	0.9544035810227397	True	1628.566112	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	490581	1	1	0	9.755856045140323e-06	9.755856045140323e-06	0	0	-15.0	-15.0	3.5318970680236816	3.5318970680236816	True	True	0.0	True	1888.631042	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	490779	1	1	0	6.784289819548231e-06	6.784289819548231e-06	0	0	-15.0	-15.0	-1.5541754961013794	-1.5541754961013794	True	True	0.0	True	1194.066199	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	490977	1	1	0	7.795440377774243e-06	7.795440377774243e-06	0	0	-15.0	-15.0	2.4550702571868896	2.4550702571868896	True	True	0.0	True	1569.623006	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	491483	1	1	0	0.04721821794279883	0.04721821794279883	0	0	-15.0	-15.0	-1.8058507442474365	-1.8058507442474365	True	False	4.537291246065463	True	1110.130854	dl-dual-snap-reject
work-pr112i-snapD2-mcp1k	492649	1	1	0	6.924945083683415e-06	6.924945083683415e-06	0	0	-15.0	-15.0	-0.014585073105990887	-0.014585073105990887	True	True	0.0	True	1277.811238	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	492803	1	1	0	1.560533877637975	1.560533877637975	0	0	-15.0	-15.0	4.271322727203369	4.271322727203369	True	False	2.0755144169016644	True	1746.570008	dl-dual-snap-reject-accept
work-pr112i-snapD2-mcp1k	492913	1	1	0	4.4551724035695145e-06	4.4551724035695145e-06	0	0	-15.0	-15.0	-0.8843085169792175	-0.8843085169792175	True	True	0.0	True	1236.238307	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	493243	1	1	0	6.085360700856517e-06	6.085360700856517e-06	0	0	-15.0	-15.0	2.5450782775878906	2.5450782775878906	True	True	0.0	True	1306.333489	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	49951	1	1	0	0.21804737240013378	0.21804737240013378	0	0	-15.0	-15.0	2.395705461502075	2.395705461502075	True	False	0.21804861853771454	True	1656.561421	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	50303	0	0	0	22.46568802298336	22.46568802298336	0	0	-15.0	-15.0	0.19626636803150177	0.19626636803150177	True	True	0.09928279507826879	True	1324.591942	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	50831	0	0	0	6.8425769441694575	6.8425769441694575	0	0	-15.0	-15.0	-2.037705421447754	-2.037705421447754	True	False	0.0	True	1217.877153	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	51051	1	1	0	0.25194792396446425	0.25194792396446425	0	0	-15.0	-15.0	4.030255317687988	4.030255317687988	True	True	0.7575270958549629	True	1806.270072	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	51513	1	1	0	0.5488497978565984	0.5488497978565984	0	0	-15.0	-15.0	2.834113836288452	2.834113836288452	True	True	0.5488499311146053	True	1236.943252	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	52657	1	1	0	1.0661708916753308e-05	1.0661708916753308e-05	0	0	-15.0	-15.0	1.1781224012374878	1.1781224012374878	True	True	0.0	True	1426.531896	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	52723	1	1	0	0.7804326321042483	0.7804326321042483	0	0	-15.0	-15.0	3.1397416591644287	3.1397416591644287	True	False	0.35007790207672435	True	1255.648745	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	53361	0	0	0	3.2507380457919544	3.2507380457919544	0	0	-15.0	-15.0	2.2801637649536133	2.2801637649536133	True	True	0.0	True	1350.581416	dl-dual-snap-accept
work-pr112i-snapD2-mcp1k	53427	1	1	0	0.2285341762467519	0.2285341762467519	0	0	-15.0	-15.0	3.4649581909179688	3.4649581909179688	True	False	0.2612390677261012	True	1997.014305	dl-dual-snap-accept
