evt	nofitx_id	nofitx_d	off_id	off_d	uniW0_id	uniW0_d	snapD2_id	snapD2_d
397401	1	1.271	1	0.889	1	0.889	1	0.889
397476	0	24.201	0	1.813	0	1.813	0	23.95
397487	0	5.819	0	5.819	0	5.819	0	5.819
397542	0	2.186	1	0.0	1	0.0	1	0.0
397599	1	0.448	1	0.289	1	0.289	1	0.289
397630	1	1.157	1	0.0	1	0.0	1	0.0
397927	1	0.34	1	0.612	1	0.612	1	0.612
398181	1	0.597	1	1.04	1	1.04	1	1.04
398268	1	1.821	1	0.964	1	0.964	1	0.964
398313	1	0.334	1	0.42	1	0.42	1	0.42
399061	1	0.0	1	0.0	1	0.0	1	0.0
399303	1	0.0	1	0.167	1	0.167	1	0.167
400029	1	0.0	1	0.0	1	0.0	1	0.0
400117	1	0.359	1	0.25	1	0.25	1	0.25
400185	1	0.0	1	0.0	1	0.0	1	0.0
400251	1	0.278	0	4.802	1	1.356	0	4.802
400779	1	0.0	0	5.1	0	5.1	0	5.1
401197	1	0.0	1	0.0	1	0.0	1	0.0
401241	0	17.277	0	17.277	0	17.277	0	17.277
402077	1	0.096	1	0.305	1	0.305	1	0.305
402209	1	0.164	1	0.2	1	0.2	1	0.2
403023	1	0.088	1	1.261	1	0.093	1	0.093
403397	1	0.759	1	0.674	1	0.674	1	0.674
404189	1	0.773	1	0.769	1	0.769	1	0.769
405201	1	0.474	1	0.269	1	0.269	1	0.269
405707	1	2.779	1	1.635	1	1.635	1	1.635
405927	0	5.876	0	5.938	0	5.938	0	5.938
406125	1	1.161	1	0.708	1	0.708	1	0.708
406147	1	1.176	1	1.027	1	1.027	1	1.027
406367	1	1.961	1	1.085	1	1.085	1	1.085
406631	0	205.51	1	0.0	1	0.0	0	206.175
407534	1	0.237	1	0.805	1	0.805	1	0.805
407886	0	103.973	0	104.188	0	104.188	0	104.188
408326	1	0.893	1	0.427	1	0.427	1	0.427
408678	1	1.809	0	19.374	0	19.374	1	0.0
409052	1	0.0	1	0.0	1	0.0	1	0.0
409140	1	1.707	0	10.211	0	10.211	0	10.211
409514	0	2.408	1	0.0	1	0.0	1	0.0
409624	1	3.505	1	3.6	1	3.6	1	3.6
409888	0	2.827	0	4.525	0	4.525	0	4.525
409906	0	4.444	0	4.365	0	4.365	0	4.365
410566	1	0.044	1	0.193	1	0.193	1	0.193
