evt	d_target_base	d_target_off	n_base	n_off	R0	R1	snap_cm	R2	target_gap	R3_uniW0
277298	1.162	0.0	22	22	1	0	1.784	0	1.162	1
278266	0.0	0.0	12	12	1	1	0.0	1	0.0	1
278420	4.353	4.459	71	69	1	1	4.353	1	0.385	1
278640	0.0	0.0	8	8	1	1	0.0	1	0.0	1
278684	0.0	0.0	31	31	0	0	0.0	0	0.0	0
278785	1.457	0.182	21	23	1	1	1.457	1	1.513	1
278794	0.0	0.0	63	61	1	1	0.0	1	0.0	1
279190	0.0	0.0	10	10	1	1	0.0	1	0.0	1
279256	0.0	0.0	20	20	1	0	3.206	0	0.0	0
279445	0.529	0.529	17	17	1	1	0.529	1	0.0	1
279643	0.448	0.097	13	13	1	1	0.448	1	0.445	1
280017	1.468	1.758	30	29	1	1	1.468	1	0.336	1
280598	0.101	0.169	32	31	1	1	0.101	1	0.078	1
280752	0.15	0.137	17	17	0	1	0.081	1	0.024	0
280774	0.188	0.0	20	20	0	0	0.894	0	0.188	0
280853	0.049	0.037	14	14	1	1	0.049	1	0.049	1
280972	0.15	0.268	142	139	1	1	0.189	1	0.2	1
280994	0.0	0.0	10	10	1	1	0.0	1	0.0	1
281214	0.391	0.948	39	37	1	1	0.391	1	0.66	1
281485	0.115	0.0	78	80	0	0	0.0	0	0.115	0
281505	0.216	0.217	17	17	1	1	0.216	1	0.027	1
281507	0.524	0.328	13	13	1	1	0.524	1	0.225	1
281527	0.284	0.483	7	7	1	1	0.284	1	0.357	1
281595	0.748	0.263	10	9	0	1	0.748	1	0.617	0
281639	0.0	0.0	37	36	0	1	0.0	1	0.0	0
281727	0.0	0.0	28	28	1	1	0.0	1	0.0	1
281837	0.265	0.293	49	49	1	1	0.485	1	0.083	1
281953	0.0	0.0	6	6	1	1	0.0	1	0.0	1
282057	0.152	0.0	5	5	1	0	0.0	0	0.152	0
282072	0.41	0.608	24	23	1	1	0.41	1	0.676	1
282204	2.902	0.472	11	11	1	1	2.619	1	3.2	1
282217	0.242	0.0	13	13	1	1	0.242	1	0.242	1
282231	0.0	0.0	7	7	0	1	0.0	1	0.0	0
282385	0.318	0.307	15	15	0	1	0.318	1	0.049	1
282459	0.344	0.341	15	15	1	1	0.344	1	0.066	1
282666	0.146	0.099	11	11	1	1	0.146	1	0.125	1
282737	0.31	0.259	12	11	1	1	0.31	1	0.272	1
282899	0.332	0.0	69	69	0	0	0.0	0	0.332	0
282979	0.335	0.0	68	67	0	0	1.329	0	0.335	0
283009	0.608	0.213	30	30	1	1	0.21	1	0.456	1
283229	1.497	1.687	13	13	1	1	1.497	1	0.245	1
283463	0.734	0.0	46	47	1	0	2.343	0	0.734	1
283595	0.734	0.589	41	42	0	1	0.734	1	0.88	0
283691	0.816	0.204	7	7	1	1	0.816	1	0.626	1
283713	0.596	0.129	72	73	1	1	0.987	1	0.657	1
283771	1.147	2.014	19	19	1	1	1.147	1	1.372	1
283905	0.0	0.0	2	2	1	1	0.0	1	0.0	1
283991	0.376	0.465	8	8	1	1	0.376	1	0.099	1
284013	0.441	0.171	25	26	1	0	6.952	0	0.502	1
284103	0.22	0.123	10	9	1	1	0.22	1	0.279	1
284145	0.233	0.307	32	33	1	0	1.446	0	0.352	1
284153	0.078	0.131	13	13	1	1	0.078	1	0.062	1
284200	0.239	0.344	46	46	1	1	0.239	1	0.243	1
284211	0.607	0.411	15	15	1	1	0.607	1	0.198	1
284235	0.0	0.0	38	37	0	1	0.0	1	0.0	0
284657	0.63	0.159	15	15	1	1	0.63	1	0.6	1
284769	6.507	0.469	28	30	1	1	7.049	1	6.474	1
284791	0.0	0.0	39	38	0	0	0.0	0	0.0	0
284794	0.613	0.343	19	19	1	1	0.966	1	0.574	1
285069	0.367	0.47	22	22	1	1	0.367	1	0.108	1
285311	0.305	0.198	27	27	1	1	0.305	1	0.316	1
285366	0.0	0.0	10	10	0	0	0.0	0	0.0	0
285443	0.0	0.0	50	48	1	1	0.0	1	0.0	1
285467	0.0	0.0	14	14	0	0	0.0	0	0.0	0
285531	0.77	0.223	8	8	1	1	0.77	1	0.606	1
285564	2.273	1.933	5	5	1	1	2.273	1	0.375	1
285665	0.113	0.0	42	42	0	0	0.234	0	0.113	0
285753	0.973	0.978	24	24	1	1	0.973	1	0.811	1
285929	1.212	1.027	7	7	1	1	1.212	1	0.192	1
285971	0.957	0.957	19	18	1	1	0.0	1	0.0	1
286177	0.0	0.0	7	7	1	1	0.0	1	0.0	1
286180	0.249	0.082	8	8	1	1	0.249	1	0.215	1
286191	0.473	0.0	21	21	0	0	0.0	0	0.473	0
286241	0.162	0.162	16	16	1	1	0.162	1	0.0	1
286268	0.0	0.0	22	22	1	1	0.0	1	0.0	1
286400	0.0	0.0	18	18	1	1	0.0	1	0.0	1
286527	1.145	1.629	29	29	1	1	1.145	1	0.575	1
286655	0.005	0.0	45	46	0	0	0.0	0	0.005	0
286681	0.598	0.125	64	63	0	0	2.588	0	0.686	0
286818	0.0	0.0	10	10	1	1	0.0	1	0.0	1
286906	0.0	0.0	12	12	0	0	0.0	0	0.0	0
287211	0.231	0.052	40	39	1	1	0.231	1	0.261	1
287249	0.4	0.43	21	21	1	1	0.4	1	0.132	1
287517	0.403	0.335	11	11	1	1	0.786	1	0.096	1
287555	0.548	0.249	31	30	0	1	0.548	1	0.354	0
287599	2.808	0.248	3	2	0	1	2.808	1	2.678	0
287621	0.779	0.663	18	18	1	1	0.779	1	0.761	1
287654	0.958	0.0	30	28	0	0	0.0	0	0.958	0
287825	0.229	0.182	27	27	1	1	0.229	1	0.081	1
287830	0.408	0.389	61	60	1	1	0.408	1	0.09	1
288067	0.709	0.471	5	5	1	1	0.709	1	0.248	1
288287	0.218	0.197	36	36	1	1	0.218	1	0.329	1
288358	0.444	0.468	5	5	1	1	0.444	1	0.184	1
288639	0.527	0.387	23	23	1	1	0.527	1	0.25	1
288745	0.806	0.521	37	37	1	1	0.806	1	0.385	1
288859	0.0	0.0	26	26	1	1	0.0	1	0.0	1
288947	0.171	0.075	24	24	1	1	0.171	1	0.209	1
289251	0.0	0.0	14	14	1	1	0.0	1	0.0	1
289559	0.84	1.482	12	11	1	1	0.84	1	1.338	1
289832	0.0	0.0	6	6	1	1	0.0	1	0.0	1
290052	0.439	0.733	29	30	1	1	0.439	1	0.313	1
290294	0.785	0.887	5	5	1	1	0.785	1	0.124	1
290729	1.248	1.139	10	11	1	1	1.248	1	0.165	1
291037	0.237	0.0	11	10	1	1	0.237	1	0.237	1
291064	0.0	0.0	8	8	1	1	0.0	1	0.0	1
291262	0.0	0.0	13	13	1	1	0.0	1	0.0	1
291372	0.0	0.0	16	16	1	1	0.0	1	0.0	1
291499	0.0	0.0	14	14	0	0	0.0	0	0.0	0
291548	0.201	0.28	26	26	1	1	0.201	1	0.372	1
291961	0.704	0.158	25	25	1	1	0.704	1	0.689	1
292005	1.884	1.767	37	37	1	1	1.884	1	0.19	1
292027	0.533	0.308	43	43	1	1	0.533	1	0.398	1
292384	0.424	0.37	21	21	1	1	0.386	1	0.111	1
292406	0.0	0.0	14	14	1	1	0.0	1	0.0	1
292533	0.557	0.792	11	11	1	1	0.557	1	0.291	1
292577	0.0	0.0	16	16	1	1	0.0	1	0.0	1
292643	0.512	0.729	46	44	1	1	0.512	1	1.222	1
292687	0.181	0.2	17	18	1	1	0.181	1	0.208	1
293149	0.0	0.0	44	42	0	0	1.267	0	0.0	0
313781	0.0	0.0	13	13	0	0	1.293	0	0.0	0
313979	1.71	1.489	3	3	1	1	1.71	1	0.541	1
314507	0.0	0.0	11	11	0	0	0.0	0	0.0	0
314705	0.0	0.0	22	22	1	1	0.0	1	0.0	1
315013	0.0	0.0	33	33	0	1	0.0	1	0.0	0
315167	0.326	0.188	38	40	1	1	0.326	1	0.4	1
315343	0.445	0.353	35	35	0	1	0.445	1	0.246	0
315497	0.0	0.0	21	21	1	1	0.0	1	0.0	1
315849	0.0	0.0	8	8	0	0	0.0	0	0.0	0
315871	0.418	0.473	17	17	1	1	0.418	1	0.075	1
316003	0.179	0.0	17	17	0	1	0.179	1	0.179	0
316025	1.233	1.017	48	47	1	1	1.233	1	0.22	1
316311	0.393	0.0	9	9	1	1	0.393	1	0.393	1
316553	0.0	0.0	12	12	1	1	0.0	1	0.0	1
316729	0.221	0.049	25	26	1	0	0.445	0	0.209	1
317191	0.533	0.202	30	30	1	1	0.533	1	0.37	1
317741	0.0	0.0	38	38	1	1	0.0	1	0.0	1
317939	1.749	1.553	63	65	1	1	1.749	1	1.147	1
318731	0.231	0.241	19	19	1	1	0.231	1	0.192	1
319039	0.0	0.0	22	22	1	1	0.0	1	0.0	1
319611	0.614	0.437	3	3	1	1	0.614	1	0.395	1
320029	0.0	0.0	11	11	1	1	0.0	1	0.0	1
320667	0.36	0.0	37	36	0	0	0.707	0	0.36	0
321107	0.629	0.629	12	12	1	1	0.629	1	0.0	1
321173	0.0	0.0	19	19	0	0	0.115	0	0.0	0
321371	0.175	0.669	23	23	1	1	0.175	1	0.56	1
321767	0.034	0.0	45	46	0	0	0.0	0	0.034	0
321789	0.0	0.0	6	6	1	1	0.0	1	0.0	1
345633	1.021	0.578	23	21	0	1	1.021	1	0.492	0
346623	0.237	0.109	23	23	1	1	0.237	1	0.17	1
347085	1.216	0.463	62	62	1	1	1.216	1	1.482	1
348471	1.475	2.018	47	47	1	1	1.475	1	0.792	1
348515	0.0	0.0	20	20	0	0	0.113	0	0.0	0
348691	0.52	0.0	88	85	1	1	0.52	1	0.52	1
348713	0.0	0.783	20	21	0	1	0.0	1	0.783	0
348845	0.471	0.0	5	5	1	1	0.471	1	0.471	1
349087	0.076	0.0	7	6	0	1	0.076	1	0.076	0
349241	0.672	0.557	41	41	1	1	0.672	1	0.697	1
349461	0.133	0.0	23	23	1	1	0.133	1	0.133	1
349549	1.449	0.0	86	90	1	1	1.449	1	1.449	1
349835	0.579	0.479	10	10	1	1	0.579	1	0.538	1
349879	0.382	0.336	5	5	1	1	0.382	1	0.184	1
350121	0.632	0.311	54	53	1	1	0.632	1	0.348	1
350297	0.65	0.746	11	11	1	1	0.65	1	0.116	1
350935	0.082	0.0	19	21	1	1	0.082	1	0.082	1
351705	0.0	0.0	2	2	1	1	0.0	1	0.0	1
351749	0.0	0.0	46	46	0	0	0.0	0	0.0	0
352123	0.933	1.046	3	3	1	1	0.933	1	0.136	1
352233	0.0	0.0	26	26	1	1	0.0	1	0.0	1
353223	1.565	1.289	8	8	1	1	1.565	1	0.412	1
353751	1.264	0.806	8	8	0	1	1.264	1	0.506	1
386332	0.827	0.56	19	19	1	1	0.827	1	0.491	1
386442	5.176	0.208	42	44	1	1	5.176	1	4.98	1
386948	0.828	0.0	82	82	0	0	0.329	0	0.828	0
387850	0.0	0.0	8	8	1	1	0.0	1	0.0	1
388026	0.462	0.358	16	15	1	1	0.462	1	0.107	1
388224	0.36	0.089	19	19	1	1	0.36	1	0.319	1
389588	0.0	0.0	26	26	0	0	0.0	0	0.0	0
389874	0.0	0.0	4	4	1	1	0.0	1	0.0	1
390182	0.798	1.524	22	21	1	1	0.798	1	1.029	1
390864	0.0	0.0	20	20	0	0	0.528	0	0.0	0
391260	0.59	0.363	13	13	1	1	0.59	1	0.287	1
391766	0.0	0.0	13	13	0	0	0.0	0	0.0	0
392552	0.0	0.0	18	18	1	1	0.0	1	0.0	1
393042	0.0	0.0	15	15	1	1	0.0	1	0.0	1
393212	0.127	0.0	67	66	1	1	0.127	1	0.127	1
393608	0.298	0.298	4	4	1	1	0.298	1	0.0	1
394532	1.638	0.0	31	32	0	0	1.309	0	1.638	0
394642	0.495	0.741	10	10	1	1	0.495	1	0.945	1
394796	0.236	0.396	21	21	1	1	0.236	1	0.619	1
395610	0.0	0.0	18	18	1	1	0.0	1	0.0	1
395654	0.0	0.0	3	3	1	1	0.0	1	0.0	1
395962	0.241	0.554	38	38	1	1	0.241	1	0.334	1
397722	0.792	0.792	7	7	1	1	0.792	1	0.0	1
397920	0.039	0.0	11	11	1	1	0.039	1	0.039	1
398260	0.451	0.483	16	16	1	1	0.451	1	0.057	1
398414	0.0	0.0	4	4	1	1	0.0	1	0.0	1
399052	0.0	0.0	41	48	1	1	0.0	1	0.0	1
399118	0.638	0.0	42	42	0	0	0.0	0	0.638	0
399328	0.366	0.265	6	6	1	1	0.366	1	0.116	1
399702	1.789	0.002	6	5	0	0	0.0	0	1.787	0
399856	0.0	0.0	5	5	1	1	0.0	1	0.0	1
399998	0.486	0.274	10	10	1	1	0.486	1	0.332	1
400054	0.0	0.0	12	12	1	1	0.0	1	0.0	1
400460	0.0	0.0	12	12	1	1	0.0	1	0.0	1
400504	0.0	0.0	19	18	1	1	0.0	1	0.0	1
400592	0.37	0.37	5	5	1	1	0.37	1	0.002	1
400636	0.0	0.0	12	12	1	1	0.0	1	0.0	1
400856	0.863	0.0	7	7	1	0	0.394	0	0.863	1
401054	1.917	0.472	15	15	1	1	1.917	1	1.45	1
401516	1.313	1.518	9	9	1	1	1.313	1	0.268	1
401626	0.0	0.0	24	24	1	1	0.0	1	0.0	1
401780	0.291	0.0	7	7	0	0	0.0	0	0.291	0
402330	2.231	1.808	7	7	1	1	2.231	1	0.492	1
402880	0.0	0.0	36	38	1	0	5.177	1	0.0	1
404244	0.205	0.0	41	43	1	1	0.205	1	0.205	1
404684	0.0	0.0	4	4	0	0	0.554	0	0.0	0
405234	0.599	0.352	13	13	1	1	0.599	1	0.297	1
405432	0.232	0.607	15	15	1	1	0.232	1	0.38	1
405674	0.436	0.382	7	7	1	1	0.436	1	0.139	1
405740	0.0	0.0	10	10	1	1	0.0	1	0.0	1
406752	0.856	2.148	7	7	0	0	1.979	0	1.729	0
407148	0.114	0.0	12	12	1	1	0.114	1	0.114	1
407280	1.698	1.698	12	12	1	1	1.698	1	0.0	1
407918	1.825	2.022	36	36	0	1	1.825	1	3.109	0
408534	0.415	0.0	15	14	0	0	0.0	0	0.415	0
409634	0.0	0.0	40	38	0	0	0.0	0	0.0	0
409920	0.0	0.0	22	22	1	1	0.0	1	0.0	1
409942	1.811	0.385	19	19	1	1	1.811	1	2.092	1
409964	0.23	0.363	28	28	1	1	0.23	1	0.462	1
410008	0.478	0.0	51	50	0	1	0.478	1	0.478	0
411460	0.243	0.071	15	17	0	0	2.712	1	0.309	0
412208	0.0	0.0	12	12	1	1	0.0	1	0.0	1
486247	0.071	0.0	19	18	0	0	0.0	0	0.071	0
486687	0.321	0.321	72	72	1	1	0.542	1	0.0	1
487303	1.821	1.515	11	11	1	1	1.821	1	0.309	1
487853	0.0	0.0	27	27	1	0	2.273	0	0.0	1
488139	1.358	1.372	5	5	1	1	1.358	1	0.145	1
488755	0.342	0.0	17	17	1	1	0.342	1	0.342	1
489327	0.466	0.304	51	49	1	1	0.466	1	0.407	1
489503	0.496	0.0	38	38	0	0	0.141	0	0.496	0
490361	0.954	0.172	28	28	1	1	0.954	1	1.031	1
490581	0.0	0.0	4	4	1	1	0.0	1	0.0	1
490779	0.0	0.0	28	28	1	1	0.0	1	0.0	1
490977	0.0	0.0	34	35	1	1	0.0	1	0.0	1
491483	0.047	0.0	12	13	1	0	4.537	1	0.047	1
492649	0.0	0.0	56	56	1	1	0.0	1	0.0	1
492803	2.076	0.0	12	11	1	1	2.076	1	2.076	1
492913	0.0	0.0	6	6	1	1	0.0	1	0.0	1
493243	0.0	0.0	18	18	1	1	0.0	1	0.0	1
