knob	state	value	tags
protect_cathode_rejoin_dyz	ON	4 * wc.cm	-
protect_cathode_rejoin_dis	ON	8 * wc.cm	-
protect_cathode_rejoin_perp	ON	3 * wc.cm	-
protect_cathode_rejoin_angle	ON	20.0	-
protect_cathode_rejoin_dir_radius	ON	15 * wc.cm	-
protect_cathode_rejoin_dir_npts	ON	20	-
stm_consistent_fv	ON	true	-
stm_accept_guards	ON	true	-
stm_proton_muon_guard	ON	true	-
stm_cathode_guard	ON	true	-
stm_anode_dist_fix	ON	true	-
stm_second_track_guard	ON	true	-
stm_deficit_guard	ON	true	-
stm_vertex_kink_guard	ON	true	-
stm_d66_cuts	ON	true	-
pr_y_top	ON	200.0	-
vertex_z_prior_scale	ON	100.0	-
ssm_target_dir	OFF	null	-
ssm_absorber_dir	OFF	null	-
kine_fudge_factor	OFF	null	-
kine_recom_factor	ON	0.87	-
kine_shower_fudge_factor	ON	0.86	-
kine_shower_recom_factor	ON	0.58	-
kine_proton_recom_factor	ON	0.51	-
kine_plane_weights	OFF	null	-
kine_plane_asym_switch	OFF	null	-
kine_w_value	OFF	null	-
kine_shower_pdg_live	ON	true	-
muon_dqdx_curve	ON	[0.8826, 1.0587, 18, 0.4745]	-
use_power_recomb	ON	true	-
sp_dedx_use_recomb_model	ON	true	-
sp_mean_dedx_cut	ON	2.23	-
dl_vtx_cut	OFF	null	-
fast_xgb_forest	ON	true	-
save_tensors	ON	''	-
dl_weights	ON	'uboone/scn_vtx/t48k-m16-l5-lr5d-res0.5-CP24.pth'	-
dl_vtx_min_accept_score	ON	10.0	-
dl_vtx_top_k	ON	5	-
dl_vtx_rerank	ON	true	-
beam_window_us	ON	[0.2, 2.2]	-
beam_window_only	ON	true	-
nu_skip_cosmic	ON	true	-
nu_skip_cosmic_bundle	ON	true	-
tgm_neutrino_candidate	ON	true	-
tgm_chord_charge	ON	true	-
tgm_chord_mode	ON	'path'	-
tgm_component_extremes	ON	true	-
tgm_component_rescue	ON	true	-
tgm_rescue_chord	ON	true	-
tgm_main_pair	ON	true	-
tgm_main_pair_mode	ON	'real'	-
tgm_exempt_demoted_main	ON	true	-
tgm_fv_zmax_margin	ON	5	-
tgm_fv_zmax_margin_interior	ON	3	-
tgm_fv_x_margin	ON	2.5	-
tgm_fv_y_margin	ON	3	-
save_stm_fit	OFF	false	-
pf_track_main_cluster_only	ON	true	-
pf_track_bridged_clusters	ON	true	-
pf_shower_vertex_barrier	ON	true	-
pf_shower_parent_precedence	ON	true	-
pf_pi0_node_per_id	ON	true	-
pf_pdg_name_prototype_fallback	ON	true	-
pf_orphan_track_parentage	ON	true	-
pf_orphan_audit_only	ON	true	-
pf_direct_when_touching	ON	true	-
pf_touch_max	OFF	null	-
pf_pseudo_gap_from_main	ON	true	-
pf_unique_node_ids	ON	true	-
pf_drop_stray_satellites	ON	true	-
pf_orphan_confident_track	ON	true	-
pf_orphan_track_min_cm	OFF	null	-
pf_orphan_guard_freed	ON	true	-
pf_orphan_near_cross_cluster	ON	true	-
pf_orphan_near_gap_cm	OFF	null	-
pf_orphan_near_min_len_cm	OFF	null	-
pf_orphan_near_end_tol_cm	OFF	null	-
pf_orphan_near_kink_deg	OFF	null	-
pf_conn4_near_candidate	ON	true	-
pf_conn4_near_gap_cm	OFF	null	-
pf_track_owns_loose_vertex	ON	true	-
unmerge_bundle_mode	ON	'real'	-
restore_demoted_mains	ON	true	-
require_provenance	ON	true	-
evaluate_demoted_mains	ON	true	-
skip_cosmic_companions	ON	true	-
cosmic_companion_min_length	ON	15	-
nu_fallback_demoted_mains	ON	true	-
sp_photon_flag	ON	true	-
neutrino_consistent_fv	ON	true	-
cosmic_consistent_fv	ON	true	-
nue_sp_consistent_fv	ON	true	-
sp_sce_correction	OFF	false	-
tagger_ordered_segment_sets	ON	true	-
stem_endpoint_wcpt_parity	ON	true	-
broken_muon_cluster_id_count	ON	true	-
neutrino_type_bitmask	ON	true	-
nu_per_bundle	ON	true	-
nu_per_bundle_min_length	ON	15	-
mcs_enable	ON	true	-
mcs_muon_source	ON	'long_muon_else_pf'	-
mcs_point_source	ON	'muon_segments'	-
mcs_cathode_xcut	ON	5	-
mcs_range_comparator_chain	ON	true	-
mcs_bridged_members	ON	true	-
nu_selected_as_main	ON	true	-
nu_selected_as_main_snapshot_all	ON	true	-
daughter_count_proto_main_vertex	ON	true	-
daughter_count_proto_examine_showers	ON	true	-
shower_pdg_from_start_segment	ON	true	-
shower_pdg_from_shower_type	ON	true	-
shower_pdg_exact_muon_test	ON	true	-
pi0_id_shared_allocator	ON	true	-
shower_flag_pdg_electron	ON	true	-
shower_less_id_tiebreak	ON	true	-
shower_endpoint_exclude_start_vertex	ON	true	-
shower_endpoint_skip_orphan_vtx	ON	true	-
shower_walk_visited_parity	ON	true	-
track_pid_persist_dqdx	ON	true	-
shower_reclass_dqdx_guard	ON	true	-
shower_topo_dqdx_guard	ON	true	-
track_pid_persist_4mom	ON	true	-
shower_proton_daughter_pion	ON	true	-
reclass_never_computed_ke_floor	ON	true	-
shower_proton_daughter_pion_dissolve	ON	true	-
muon_multi_proton_pion	ON	true	-
track_pid_persist_dqdx_electron_guard	ON	true	-
shower_connect_main_vertex_straight_guard	ON	true	-
shower_traj_straight_guard	ON	true	-
shower_absorb_track_guard	ON	true	-
michel_stem_muon_rescue	ON	true	-
shower_in_cascade_guard	ON	true	shower_in_cascade_guard
shower_in_max_len	OFF	null	-
shower_in_mip_hi	OFF	null	-
shower_connect_from_vertices_straight_guard	ON	true	-
shower_connect_start_seg_straight_guard	ON	true	-
examine_direction_dirsign_shower_in_guard	ON	true	-
daughter_shower_angle_reclass_straight_guard	ON	true	-
shower_topo_reexam_straight_guard	ON	true	-
sfv_kink_max	OFF	null	-
shower_nv_bridge_track	ON	true	-
shower_nv_bridge_max_gap	OFF	null	-
shower_nv_main_pi_init	OFF	false	-
kine_drop_stray_satellites	ON	true	-
kine_sat_min_energy	OFF	null	-
kine_sat_prox_max	OFF	null	-
kine_sat_angle_bad	OFF	null	-
kine_sat_angle_main	OFF	null	-
kine_sat_far_dis	OFF	null	-
kine_sat_axis_dis_cut	OFF	null	-
kine_sat_cont_kink	OFF	null	-
kine_sat_track_max_nseg	OFF	null	-
kine_sat_em_far_dis	OFF	null	-
michel_stem_michel_check	ON	true	michel_stem_michel_check
michel_stem_max_far_len	OFF	null	-
shower_stem_backfill	ON	true	stem_backfill
stem_backfill_max_len	OFF	null	stem_backfill
stem_backfill_mip_lo	OFF	null	stem_backfill
stem_backfill_mip_hi	OFF	null	stem_backfill
stem_backfill_min_shower_len	OFF	null	stem_backfill
shower_conn3_unreachable	ON	true	conn3_unreachable
conn3_unreachable_min_len	OFF	null	conn3_unreachable
conn3_stitch_max	ON	1	conn3_stitch
shower_dedup_start_seg	ON	true	shower_dedup
shower_traj_michel_stem	ON	true	-
michel_stem_traj_min_len	OFF	null	-
michel_stem_traj_max_len	OFF	null	-
michel_stem_traj_mip_lo	OFF	null	-
michel_stem_traj_max_far_len	OFF	null	-
michel_stem_traj_min_kink_deg	OFF	null	-
shower_long_muon_keep_type	ON	true	-
shower_bragg_protect_start_segment	ON	true	-
shower_reclass_case_b_dqdx_guard	ON	true	case_b_dqdx_guard
shower_accept_pid_guard	ON	true	accept_pid_guard
shower_pid_guard_min_len	OFF	null	-
shower_vote_track_pid_counts	ON	true	-
shower_cone_absorb_guard	ON	true	cone_absorb_guard
shower_detach_track_stem	ON	true	detach_track_stem
shower_ghost_member_drop	ON	true	ghost_member
shower_ghost_overlap_frac	OFF	null	-
shower_ghost_dqdx_ratio	OFF	null	-
shower_ghost_min_len	OFF	null	-
shower_pass4_best_owner	ON	true	-
shower_merge_relax	ON	true	merge_relax
shower_merge_relax_dis	OFF	null	merge_relax
shower_merge_relax_angle	OFF	null	merge_relax
shower_merge_relax_min_len	OFF	null	merge_relax
shower_merge_relax_continuity	ON	true	merge_relax
shower_merge_relax_cont_frac	OFF	null	merge_relax
shower_merge_relax_cont_gap	OFF	null	merge_relax
shower_merge_relax_cont_qmed	OFF	null	merge_relax
shower_merge_relax_cont_axis	OFF	null	merge_relax
shower_merge_relax_cont_dmax	OFF	null	merge_relax
shower_merge_relax_cont_t1_gap	OFF	null	merge_relax
shower_merge_relax_cont_t1_fold	OFF	null	merge_relax
stem_backfill_back_guard	ON	true	stem_backfill,stem_backfill_back_guard
stem_backfill_back_ang	OFF	null	stem_backfill
shower_ex1_dedup_rehome	ON	true	ex1_dedup_rehome,shower_dedup
shower_pass4_prune_detached	ON	true	pass4_prune
shower_pass4_prune_gap	ON	40	pass4_prune
shower_pass4_track_guard_len	ON	50	pass4_track_guard
shower_pass4_prox_guard_len	ON	50	pass4_prox_guard
shower_pass3_backfill_guard_len	ON	15	pass3_backfill_guard
pi0_mass_offset	OFF	null	-
pi0_assoc_angle_deg	OFF	null	-
pi0_attached_partner_min_mev	ON	29	-
pi0_nv_allow_type2	OFF	false	-
pi0_nv_max_prongs	OFF	null	-
pi0_readmit_retyped	ON	true	-
pi0_admit_type3	ON	true	-
pi0_crumb_assoc_mev	OFF	null	-
pi0_nv_max_vtx_shift_cm	OFF	null	-
pi0_nv_mass_window_mev	OFF	null	-
pi0_collinear_merge_deg	OFF	null	-
pi0_nv_partner_min_mev	OFF	null	-
pi0_nv_retry_paired	OFF	false	-
pi0_reseat_start_assoc	OFF	false	-
shower_em_collinear_deg	ON	10	-
shower_em_collinear_dis_cm	ON	120	-
shower_em_collinear_host_mev	OFF	null	-
shower_em_backext_perp_cm	OFF	null	-
shower_em_backext_len_cm	OFF	null	-
pi0_accept_merge_dis_cm	OFF	null	-
pi0_bp_vertex_miss_cm	ON	8	-
pi0_admit_muon_showers	ON	true	-
pi0_mu_shower_hypothesis	OFF	false	-
pi0_mu_shower_max_len	OFF	null	-
pi0_mu_shower_hyp_min_len	OFF	null	-
pi0_nc_sig_angle_deg	ON	15	-
pi0_nc_floor_mev	ON	5	-
pi0_nc_pf_assoc_deg	ON	20	-
pi0_nc_frag_merge	ON	true	-
pi0_pf_assoc_deg	OFF	null	-
pi0_prefer_main_vertex	ON	true	-
stem_backfill_back_dvtx	ON	45	stem_backfill,stem_backfill_back_dvtx
shower_pass4_prune_gap2	ON	25	pass4_prune
shower_pass4_prune2_ang	ON	40	pass4_prune2
shower_pass4_prune2_mdqdx	ON	2.5	pass4_prune2
shower_pass3_cone_guard_len	ON	15	pass3_cone_guard
shower_samevtx_track_absorb	ON	true	samevtx_absorb
shower_samevtx_absorb_gap	ON	6	samevtx_absorb
shower_samevtx_absorb_max_len	ON	50	samevtx_absorb
shower_samevtx_absorb_min_len	ON	5	samevtx_absorb
shower_satellite_absorb	ON	true	satellite_absorb
shower_satellite_absorb_max_mev	ON	10	satellite_absorb
shower_satellite_absorb_host_mev	ON	20	satellite_absorb
shower_split	ON	true	shower_split
shower_split_max_valley	ON	0.95	shower_split
shower_split_min_frac	ON	0.03	shower_split
shower_split_max_parts	ON	2	shower_split
shower_split_min_charge	ON	1e6	shower_split
shower_split_min_nseg	ON	3	shower_split
shower_split_bundle_gap	ON	4	shower_split
shower_split_snap	ON	0.80	shower_split
shower_split_skip_shared	OFF	false	shower_split
shower_split_shed_shared	OFF	false	shower_split
shower_split_max_seeds	ON	4	shower_split
shower_split_em_type_max_len	ON	0	shower_split
shower_split_max_impact	ON	0	shower_split
shower_split_em_start	ON	true	shower_split
shower_split_rehome	OFF	false	shower_split
shower_split_rehome_gap	ON	4	shower_split
shower_pass4_prefilter_v1_escape	ON	true	-
shower_pass4_prefilter_v1_max_v2	ON	90	-
shower_pass4_prefilter_v1_max_dis	ON	0	-
kine_charge_dedup	ON	true	-
kine_charge_rebuild	ON	true	-
kine_charge_track_ctx	ON	true	-
kine_mass_rules	ON	true	-
kine_hadronic_dqdx	ON	true	-
kine_long_muon_mode	ON	2	-
kine_long_muon_ratio_lo	OFF	null	-
kine_long_muon_ratio_hi	OFF	null	-
long_muon_range_empty_chain_fallback	ON	true	-
long_muon_members_geometry	ON	true	-
long_muon_cathode_bridge	ON	true	-
long_muon_cathode_bridge_x	OFF	null	-
long_muon_cathode_bridge_xcut	OFF	null	-
long_muon_cathode_bridge_gap	OFF	null	-
long_muon_cathode_bridge_angle	OFF	null	-
long_muon_cathode_bridge_lever	ON	15	-
long_muon_cathode_bridge_track_partner	ON	true	-
long_muon_cathode_bridge_short_gap	ON	8	-
long_muon_cathode_bridge_short_gap_angle	OFF	null	-
long_muon_cathode_bridge_short_gap_len	OFF	null	-
kine_mainvtx_used_guard	ON	true	-
shower_hadronic_tag	ON	true	-
shower_hadronic_min_len	OFF	null	-
shower_hadronic_scan_len	OFF	null	-
shower_hadronic_bin	OFF	null	-
shower_hadronic_r_cyl	OFF	null	-
shower_hadronic_r_core	OFF	null	-
shower_hadronic_growth_max	ON	0.7	-
shower_hadronic_growth_bragg	OFF	null	-
shower_hadronic_bragg_ratio	OFF	null	-
shower_hadronic_stem_ratio	ON	2.8	-
kine_count_orphan_tracks	ON	true	-
kine_orphan_track_min	OFF	null	-
kine_count_guard_freed	ON	true	-
kine_guard_freed_impact	ON	20	-
kine_guard_freed_miss_deg	ON	30	-
kine_count_near_cross_cluster	ON	true	-
kine_near_gap_cm	OFF	null	-
kine_near_min_len_cm	OFF	null	-
kine_near_end_tol_cm	OFF	null	-
kine_near_kink_deg	OFF	null	-
kine_count_conn4_near	ON	true	-
kine_conn4_near_gap_cm	OFF	null	-
straight_cont_cross_cluster	ON	true	-
sccc_bridge_body	ON	true	-
sccc_max_gap	ON	10	-
sccc_kink_max	ON	18	-
sccc_gap_aligned	OFF	null	-
sccc_kink_tight	OFF	null	-
single_muon_proton_chain_veto	ON	true	-
single_muon_long_muon_claim	ON	true	-
pid_flag_reconcile	ON	true	-
other_seg_empty_2d_guard	ON	true	-
pseudo_shower_track_paint	ON	true	-
long_muon_stub_bridge	ON	true	-
long_muon_stub_bridge_len	ON	7.5	-
long_muon_angle_relax_long	ON	true	-
long_muon_angle_relax_deg	OFF	null	-
two_end_break	ON	true	-
teb_turn_min_arm_frac	ON	0.4	-
teb_chain_topology	OFF	false	-
teb_r3_turn	OFF	null	-
teb_r3_hot	OFF	null	-
teb_bragg_veto_turn	ON	30.0	-
kink_walk_dqdx_stop	ON	true	-
kink_break_protect	ON	true	-
fit_blob_coverage	ON	0	-
fit_blob_coverage_defer	OFF	false	-
vertex_kink_snap	ON	true	-
vks_radius	OFF	null	-
vks_min_dis	OFF	null	-
vks_angle	OFF	null	-
vks_margin	OFF	null	-
vks_collinear	OFF	null	-
vks_skirt	OFF	null	-
vks_baseline	OFF	null	-
vks_min_arm	OFF	null	-
vks_fit_miss	OFF	null	-
vks_hot_ratio	OFF	null	-
vks_carry_prong	OFF	null	-
vertex_junction_snap	ON	true	-
vjs_radius	OFF	null	-
vjs_min_arm	OFF	null	-
vjs_min_prongs	OFF	null	-
vjs_collinear	OFF	null	-
vjs_fit_margin	OFF	null	-
vjs_fit_rms	OFF	null	-
vjs_override_kink_snap	ON	true	-
vjs_min_move	OFF	null	-
esva_ignore_empty_2d	ON	true	-
main_vertex_graph_audit	ON	true	-
mvga_radius	OFF	null	-
mvga_dup_tol	OFF	null	-
mvga_dup_frac	ON	0.8	-
mvga_dup_angle	OFF	null	-
mvga_bridge_mip	OFF	null	-
mvga_reconnect	OFF	null	-
mvga_stub	ON	2.5	-
mvga_stub_pts	ON	3	-
mvga_reseat_angle	ON	0	-
mvga_satellite	ON	3.0	-
mvga_interposed	ON	true	-
mvga_interposed_len	ON	10	-
mvga_interposed_angle	ON	130	-
mvga_sat_dup_frac	ON	0.7	-
mvga_interposed_deg1	ON	true	-
mvga_splice_straighten	ON	5	-
mvga_approach_collapse	ON	15	-
mvga_straighten_radius	ON	1.0	-
mvga_op1_radius	ON	-1	-
mvga_op1_dup_frac	ON	0.7	-
mvga_op1_post	ON	true	-
swap_orphan_dup_audit	ON	true	-
mvga_proj_dup_frac	ON	0.7	-
mvga_proj_dqdx_ratio	ON	0.55	-
mvga_proj_angle	ON	25	-
mvga_ac_veto_radius	OFF	null	-
mvga_ac_chord_max	ON	30	-
mvga_ac_no_cascade	ON	true	-
mvga_passthru	ON	4	-
mvga_passthru_tol	OFF	null	-
mvga_interposed_fallback	ON	true	-
mvga_interposed_fallback_min_angle	ON	45	-
mvga_dup_starved_asym	ON	0.55	-
mvga_dup_starved_mip	ON	0.8	-
mvga_dup_starved_span	ON	0.5	-
dl_vtx_cloud_no_exclusion	OFF	false	-
dl_vtx_dual_chain	ON	true	-
dual_chain_mode	ON	'snap'	-
dual_chain_transfer	ON	true	-
dual_chain_transfer_max	ON	2.0	-
dual_chain_allow_cluster_swap	OFF	null	-
dual_chain_vtx_weight	OFF	null	-
dqdx_fit_keep_all_points	OFF	false	-
main_vertex_swap_apply	OFF	false	-
rough_path_probe	OFF	false	do_rough_path
steiner_gap_penalty	ON	2.0	-
sgp_dead_alpha	OFF	null	-
sgp_min_edge	OFF	null	-
sgp_sample_step	OFF	null	-
sgp_point_radius	OFF	null	-
sgp_weak_scale	ON	5.0	-
sgp_weak_qref	ON	6000.0	-
sgp_edge_probe	OFF	false	-
sgp_max_sep	ON	3.0	-
break_seg_orient	ON	true	-
vertex_scoreboard	OFF	false	-
dl_vtx_harvest	OFF	false	-
mvfit_robust	ON	true	-
mvfit_main_only	OFF	null	-
mvfit_min_len	OFF	null	-
mvfit_rin_margin	OFF	null	-
mvfit_rout_frac	OFF	null	-
mvfit_rout_min	OFF	null	-
mvfit_rout_max	OFF	null	-
mvfit_angle	OFF	null	-
mvfit_min_pts	OFF	null	-
mvfit_min_aniso	OFF	null	-
mvfit_prior_range	OFF	null	-
other_seg_keep_isolated	ON	true	-
other_seg_keep_isolated_min_points	OFF	null	-
other_seg_keep_isolated_min_length	OFF	null	-
other_seg_keep_isolated_min_nnf	OFF	null	-
other_seg_keep_isolated_len_admit	ON	30.0	-
iso_snap_min_dir_mag	ON	4.0	-
shower_absorb_unreachable_main	ON	true	absorb_unreachable_main
assoc_full_recluster	ON	true	-
assoc_reassign_orphans	ON	true	-
assoc_clear_on_merge	ON	true	-
es3_stub_guard	ON	true	-
es3sg_stub_max	OFF	null	-
es3sg_len_ratio	OFF	null	-
es3sg_ang3_min	OFF	null	-
es3sg_ang_ratio	OFF	null	-
es3sg_require_terminal	OFF	null	-
