sample	event	cls	apa	plane	comp	ncell	Q	Qfrac	wmin	wmax	smin	smax	wext	sext	cw	cs	f_act	f_noblobslice	f_zsum	nplane_act	d_bundle	d_scope	Qbundle_plane	pca_rms	npartner_planes	qmax	f_topwire	f_topslice	nwire_q	floor	f_cov4	fq_cov4
mcp1k	50303	BUNDLE	1	1	21	99	1104658.0	0.10381749478042798	637	670	332	345	34	14	652.5	338.8	1.0	0.0	0.0	3.0	1.0	0.0	10640383.9	0.89	2	24091.3	0.049	0.087	0	2520.0	0.0	0.0
mcp1k	50303	BUNDLE	1	1	25	37	408280.6	0.03837085239001574	760	772	277	284	13	8	767.4	281.5	1.0	0.0	0.0	3.0	1.0	0.0	10640383.9	0.9	2	22154.3	0.126	0.189	11	2520.0	0.0	0.0
mcp1k	51051	BUNDLE	1	2	14	1464	18062071.0	0.8948152344097562	913	1135	555	826	223	272	1020.6	694.4	1.0	0.0	0.0	3.0	1.0	0.0	20185252.0	56.15	2	71871.0	0.014	0.012	0	3429.0	0.0	0.0
mcp1k	51051	BUNDLE	0	1	44	756	9701834.1	2.3484296792559527	827	946	571	694	120	124	875.7	660.3	1.0	0.0	0.0	3.0	20.12	0.0	4131200.6	19.15	1	44534.2	0.021	0.055	0	3009.1	0.0	0.0
mcp1k	51051	BUNDLE	0	2	39	663	8553931.0	2.130976916555662	739	831	566	697	93	132	791.9	615.3	1.0	0.0	0.0	3.0	9.43	0.0	4014089.0	22.04	1	52093.0	0.024	0.053	0	4275.8	0.0	0.0
mcp1k	51051	BUNDLE	1	0	18	900	8040350.6	0.397579424437201	1076	1206	610	768	131	159	1135.8	689.0	1.0	0.0	0.0	3.0	1.0	0.0	20223256.3	30.94	1	33733.9	0.021	0.016	0	2614.6	0.0	0.0
mcp1k	51051	BUNDLE	1	1	32	639	4873158.1	0.23776912348365925	1592	1801	297	406	210	110	1706.3	347.5	1.0	0.0	0.0	3.0	1.0	0.0	20495336.1	1.47	1	33756.3	0.021	0.04	0	2908.0	0.0	0.0
mcp1k	51051	BUNDLE	1	0	13	457	4121694.0	0.20380961101699532	899	1026	751	855	128	105	961.1	802.8	1.0	0.0	0.0	3.0	1.0	0.0	20223256.3	1.21	1	27395.6	0.015	0.015	0	2614.6	0.0	0.0
mcp1k	51051	BUNDLE	1	2	28	177	2325854.0	0.11522541308872439	1217	1262	350	406	46	57	1239.5	379.9	1.0	0.0	0.0	3.0	1.0	0.0	20185252.0	0.84	1	33676.0	0.046	0.041	0	3429.0	0.0	0.0
mcp1k	51051	BUNDLE	1	1	29	254	1617277.6	0.0789095427422632	1162	1251	580	626	90	47	1206.5	602.7	1.0	0.0	0.0	3.0	1.0	0.0	20495336.1	0.76	1	17208.3	0.022	0.038	0	2908.0	0.0	0.0
mcp1k	51051	BUNDLE	1	2	24	69	1181617.0	0.05853863008497491	1140	1152	772	808	13	37	1146.0	789.7	1.0	0.0	0.0	3.0	23.41	0.0	20185252.0	0.58	1	49829.0	0.133	0.07	13	3429.0	0.0	0.0
mcp1k	52657	BUNDLE	0	0	22	560	7861939.4	0.4722881472020205	994	1131	542	601	138	60	1072.7	573.0	1.0	0.0	0.0	3.0	20.62	0.0	16646488.9	3.33	2	47322.6	0.039	0.028	0	3115.9	0.0	0.0
mcp1k	52657	BUNDLE	0	1	5	1018	7352861.7	0.41168746885550633	242	590	638	685	349	48	402.2	663.0	1.0	0.0	0.0	3.0	1.0	0.0	17860300.0	2.52	1	28945.3	0.012	0.043	0	2805.1	0.0	0.0
mcp1k	52657	BUNDLE	0	2	27	676	7280824.0	0.6998101403123933	879	1091	549	601	213	53	970.3	578.6	1.0	0.0	0.0	3.0	1.0	0.0	10403999.0	1.17	2	38927.0	0.014	0.042	0	3868.0	0.0	0.0
mcp1k	52657	BUNDLE	0	0	37	420	6446311.4	0.3872475113956313	1287	1391	651	685	105	35	1345.0	667.8	1.0	0.0	0.0	3.0	1.0	0.0	16646488.9	2.58	1	61361.1	0.025	0.053	0	3115.9	0.0	0.0
mcp1k	52657	BUNDLE	0	1	16	318	2729267.1	0.15281194044892862	855	946	589	604	92	16	911.5	596.6	1.0	0.0	0.0	3.0	1.0	0.0	17860300.0	2.04	2	76920.4	0.072	0.129	1	2805.1	0.0	0.0
mcp1k	53361	BUNDLE	0	1	4	642	4365396.6	0.42805461586573984	497	732	382	403	236	22	625.6	393.1	1.0	0.0	0.0	3.0	1.0	0.0	10198223.4	1.32	1	26590.8	0.027	0.065	0	2659.8	0.0	0.0
mcp1k	53361	BUNDLE	0	0	29	273	2755970.4	0.2510955230380931	1457	1536	392	404	80	13	1489.9	398.7	1.0	0.0	0.0	3.0	1.0	0.0	10975784.7	1.88	1	24796.5	0.054	0.129	1	3085.9	0.0	0.0
mcp1k	53713	BUNDLE	0	0	89	288	1670930.6	1.3463341488756113	1336	1442	267	296	107	30	1389.6	281.1	1.0	0.0	0.0	3.0	1.0	0.0	1241096.5	0.79	1	14924.3	0.021	0.048	0	2544.0	0.0	0.0
mcp1k	53713	BUNDLE	0	2	41	149	1351230.0	1.5420722333873138	1051	1091	248	331	41	84	1073.0	291.3	1.0	0.0	0.0	3.0	18.6	0.0	876243.0	0.72	1	25474.0	0.05	0.027	0	4212.5	0.0	0.0
mcp1k	53713	BUNDLE	0	0	83	181	982261.3	0.7914463540909188	1228	1294	304	323	67	20	1259.3	313.9	1.0	0.0	0.0	3.0	1.0	0.0	1241096.5	0.77	1	13228.7	0.029	0.073	0	2544.0	0.0	0.0
mcp1k	53713	BUNDLE	0	0	79	101	633477.0	0.5104171996295211	1190	1224	323	333	35	11	1206.9	327.9	1.0	0.0	0.0	3.0	5.83	0.0	1241096.5	0.82	1	15785.7	0.058	0.125	1	2544.0	0.0	0.0
mcp1k	53713	BUNDLE	0	0	88	40	218744.3	0.17625083947944417	1307	1321	297	302	15	6	1314.2	299.6	1.0	0.0	0.0	3.0	1.0	0.0	1241096.5	0.75	1	9492.6	0.092	0.283	15	2544.0	0.0	0.0
mcp1k	54341	BUNDLE	1	0	47	2296	17951827.2	0.6978896883139136	1231	1458	387	716	228	330	1342.5	551.2	1.0	0.0	0.0	3.0	1.0	0.0	25723015.4	50.08	1	27614.2	0.036	0.012	0	2594.4	0.0	0.0
mcp1k	54341	BUNDLE	1	1	4	1070	10059697.3	0.4933752351971144	532	740	545	828	209	284	648.1	670.8	1.0	0.0	0.0	3.0	1.0	0.0	20389546.5	2.86	1	35019.9	0.018	0.01	0	3160.4	0.0	0.0
mcp1k	54341	BUNDLE	1	1	6	1033	9419507.4	0.46197728821482126	620	755	195	474	136	280	695.3	348.3	1.0	0.0	0.0	3.0	1.0	0.0	20389546.5	22.55	1	31271.2	0.015	0.019	0	3160.4	0.0	0.0
mcp1k	54341	BUNDLE	1	0	32	541	4202370.0	0.16337003786888843	1035	1163	313	436	129	124	1107.1	383.6	1.0	0.0	0.0	3.0	1.0	0.0	25723015.4	1.89	1	28156.8	0.028	0.022	0	2594.4	0.0	0.0
mcp1k	54341	BUNDLE	1	0	33	311	1932187.8	0.07511513599606989	1035	1149	459	476	115	18	1094.1	467.7	1.0	0.0	0.0	3.0	1.0	0.0	25723015.4	0.8	1	15912.5	0.019	0.072	0	2594.4	0.0	0.0
mcp1k	54341	BUNDLE	1	0	49	120	1237827.7	0.0481214072592749	1243	1278	538	559	36	22	1264.5	550.0	1.0	0.0	0.0	3.0	14.87	0.0	25723015.4	1.12	1	45574.3	0.11	0.105	5	2594.4	0.0	0.0
mcp1k	55539	BUNDLE	1	1	41	2061	18953037.9	0.4317441250290216	1202	1598	515	855	397	341	1339.4	690.2	1.0	0.0	0.0	3.0	1.0	0.0	43898774.3	65.8	2	33172.9	0.013	0.016	0	3075.9	0.0	0.0
mcp1k	55539	BUNDLE	1	2	21	266	5668098.0	0.12498765966660405	838	884	721	806	47	86	863.6	758.6	1.0	0.0	0.0	3.0	1.0	0.0	45349261.0	1.48	1	89216.0	0.081	0.05	1	3494.5	0.0	0.0
mcp1k	55539	BUNDLE	1	1	15	788	5632463.9	0.12830572128297443	458	727	326	491	270	166	598.5	412.5	1.0	0.0	0.0	3.0	1.0	0.0	43898774.3	0.9	1	28805.9	0.018	0.016	0	3075.9	0.0	0.0
mcp1k	55539	BUNDLE	1	1	22	455	3480982.7	0.07929566953763446	561	727	163	264	167	102	642.3	211.9	1.0	0.0	0.0	3.0	1.0	0.0	43898774.3	0.71	1	26903.6	0.016	0.019	0	3075.9	0.0	0.0
mcp1k	55539	BUNDLE	1	2	22	380	3398379.0	0.07493791354174438	848	963	721	856	116	136	908.3	787.9	1.0	0.0	0.0	3.0	1.0	0.0	45349261.0	1.69	1	30030.0	0.024	0.016	0	3494.5	0.0	0.0
mcp1k	55539	BUNDLE	1	0	23	366	2867073.2	0.05589240369009501	1096	1194	506	586	99	81	1143.6	542.9	1.0	0.0	0.0	3.0	1.0	0.0	51296294.5	1.11	2	29298.8	0.037	0.028	0	2712.8	0.0	0.0
mcp1k	55539	BUNDLE	1	0	34	339	2844087.3	0.05544430309678606	1231	1325	400	477	95	78	1277.7	439.4	1.0	0.0	0.0	3.0	1.0	0.0	51296294.5	0.88	1	30002.5	0.028	0.029	0	2712.8	0.0	0.0
mcp1k	55539	BUNDLE	1	1	33	198	2633501.3	0.059990315037110276	1162	1203	442	513	42	72	1184.2	481.3	1.0	0.0	0.0	3.0	1.0	0.0	43898774.3	1.04	1	37855.9	0.057	0.036	2	3075.9	0.0	0.0
mcp1k	55539	BUNDLE	1	0	20	310	2551121.0	0.0497330465068973	1035	1098	309	385	64	77	1069.5	351.6	1.0	0.0	0.0	3.0	1.0	0.0	51296294.5	2.04	1	34077.9	0.044	0.045	0	2712.8	0.0	0.0
mcp1k	55539	BUNDLE	1	0	33	298	2177636.0	0.042452111233882595	1231	1325	229	299	95	71	1277.1	263.5	1.0	0.0	0.0	3.0	1.0	0.0	51296294.5	0.78	1	26294.5	0.032	0.035	0	2712.8	0.0	0.0
mcp1k	55539	BUNDLE	1	0	35	305	2064707.9	0.040250624730798046	1231	1325	630	638	95	9	1276.7	632.5	1.0	0.0	0.0	3.0	1.0	0.0	51296294.5	1.29	2	22766.9	0.031	0.4	0	2712.8	0.0	0.0
mcp1k	55539	BUNDLE	1	0	24	307	1947801.5	0.037971582918138465	1096	1206	631	636	111	6	1150.1	632.8	1.0	0.0	0.0	3.0	1.0	0.0	51296294.5	0.89	2	23356.7	0.028	0.469	0	2712.8	0.0	0.0
mcp1k	55539	BUNDLE	1	2	20	155	1689913.0	0.03726439996453305	838	867	603	642	30	40	853.3	627.3	1.0	0.0	0.0	3.0	1.0	0.0	45349261.0	2.29	2	34508.0	0.095	0.061	3	3494.5	0.0	0.0
mcp1k	55627	BUNDLE	0	2	22	62	531568.0	0.0353656053042021	471	482	345	374	12	30	476.4	356.7	1.0	0.0	0.0	3.0	16.03	0.0	15030649.0	0.8	1	22456.0	0.169	0.069	10	3597.0	0.0	0.0
mcp1k	55715	BUNDLE	0	0	16	425	5148467.7	0.6403730548134415	1017	1114	276	327	98	52	1063.8	299.4	1.0	0.0	0.0	3.0	1.0	0.0	8039794.4	1.46	2	33619.3	0.022	0.046	0	2638.8	0.0	0.0
mcp1k	55715	BUNDLE	0	2	21	169	2411519.0	0.3167819828070774	781	831	358	410	51	53	806.1	382.5	1.0	0.0	0.0	3.0	1.0	0.0	7612551.0	0.76	1	45164.0	0.059	0.042	1	3803.0	0.0	0.0
mcp1k	55715	BUNDLE	0	0	21	295	2238919.0	0.27847963375779855	1190	1279	364	418	90	55	1231.8	386.8	1.0	0.0	0.0	3.0	24.52	0.0	8039794.4	1.25	1	26645.2	0.04	0.044	0	2638.8	0.0	0.0
mcp1k	55715	BUNDLE	0	2	17	72	857501.0	0.11264305487083108	739	761	313	338	23	26	750.1	325.2	1.0	0.0	0.0	3.0	1.0	0.0	7612551.0	0.62	1	25719.0	0.074	0.054	4	3803.0	0.0	0.0
mcp1k	55715	BUNDLE	0	1	26	34	592883.3	0.07557637404019031	827	834	275	285	8	11	829.7	280.2	1.0	0.0	0.0	3.0	14.14	0.0	7844823.3	0.99	1	54989.3	0.267	0.134	7	3198.3	0.0	0.0
mcp1k	56243	BUNDLE	1	2	12	693	6088111.0	0.30137866841273014	574	809	220	354	236	135	679.0	279.9	1.0	0.0	0.0	3.0	1.0	0.0	20200869.0	1.75	1	48376.0	0.019	0.025	0	3628.0	0.0	0.0
mcp1k	56243	BUNDLE	1	0	16	700	5519068.2	0.2728400229487312	800	1027	233	329	228	97	912.0	283.0	1.0	0.0	0.0	3.0	1.0	0.0	20228220.7	1.61	1	23690.3	0.011	0.022	0	2656.0	0.0	0.0
mcp1k	56243	BUNDLE	1	2	10	366	3235185.0	0.16015078361232876	426	558	134	212	133	79	492.1	173.4	1.0	0.0	0.0	3.0	1.0	0.0	20200869.0	0.9	1	21894.0	0.024	0.024	0	3628.0	0.0	0.0
mcp1k	56243	BUNDLE	1	0	27	178	1831762.6	0.09055480594000045	966	1003	177	203	38	27	985.0	188.8	1.0	0.0	0.0	3.0	10.82	0.0	20228220.7	3.98	1	44248.0	0.053	0.143	1	2656.0	0.0	0.0
mcp1k	56243	BUNDLE	1	0	8	127	1022117.1	0.05052926380222854	732	775	339	357	44	19	752.3	347.9	1.0	0.0	0.0	3.0	1.0	0.0	20228220.7	0.82	1	20803.2	0.034	0.075	0	2656.0	0.0	0.0
mcp1k	56463	BUNDLE	1	1	40	1224	10454370.8	0.36933516294838126	1029	1157	260	589	129	330	1091.6	448.8	0.998	0.0	0.0	3.0	1.0	0.0	28305917.9	29.13	1	34219.2	0.02	0.007	0	2798.4	0.0	0.0
mcp1k	56463	BUNDLE	1	2	4	676	8586805.0	0.24125452843656717	531	610	356	647	80	292	563.6	539.2	1.0	0.0	0.0	3.0	1.0	0.0	35592306.0	1.27	1	58844.0	0.053	0.022	2	3552.0	0.0	0.0
mcp1k	56463	BUNDLE	1	2	23	441	6047155.0	0.16990062402812564	779	831	0	194	53	195	804.6	98.6	1.0	0.0	0.0	3.0	17.72	0.0	35592306.0	0.92	1	41369.0	0.029	0.025	0	3552.0	0.0	0.0
mcp1k	56463	BUNDLE	1	2	12	393	5432302.0	0.15262573883243194	637	701	6	250	65	245	668.7	127.4	1.0	0.0	0.0	3.0	1.0	0.0	35592306.0	0.5	1	43972.0	0.031	0.011	0	3552.0	0.0	0.0
mcp1k	56463	BUNDLE	1	1	31	448	4498897.6	0.15893841054347155	953	1025	68	250	73	183	987.7	159.1	0.996	0.0	0.0	3.0	1.0	0.0	28305917.9	1.11	1	32632.2	0.028	0.018	0	2798.4	0.0	0.0
mcp1k	56463	BUNDLE	1	2	26	341	4232078.0	0.11890429352905653	1070	1135	308	407	66	100	1095.8	365.9	1.0	0.0	0.0	3.0	1.0	0.0	35592306.0	1.72	1	84249.0	0.061	0.043	1	3552.0	0.0	0.0
mcp1k	57661	BUNDLE	0	0	18	1649	21818175.1	0.9832502248404102	608	700	677	855	93	179	676.9	738.2	0.999	0.0	0.0	3.0	1.0	0.0	22189850.1	25.63	1	102831.9	0.051	0.032	1	3472.6	0.0	0.0
mcp1k	57661	BUNDLE	1	1	6	759	7215167.0	0.36112266137447446	486	755	478	494	270	17	632.6	485.1	1.0	0.0	0.0	3.0	1.0	0.0	19979823.4	1.45	1	40409.9	0.014	0.096	0	3124.6	0.0	0.0
mcp1k	57661	BUNDLE	0	0	21	499	6511196.7	0.2934313062349168	618	660	724	745	43	22	641.8	734.1	1.0	0.0	0.0	3.0	1.0	0.0	22189850.1	4.14	1	48375.7	0.044	0.101	0	3472.6	0.0	0.0
mcp1k	57661	BUNDLE	0	0	70	672	6051648.7	0.27272147728478796	802	960	734	819	159	86	870.0	773.2	1.0	0.0	0.0	3.0	21.0	0.0	22189850.1	4.22	1	48688.9	0.032	0.039	0	3472.6	0.0	0.0
mcp1k	57661	BUNDLE	0	1	139	279	3819659.9	0.09057233467080587	766	793	726	746	28	21	776.6	734.5	1.0	0.0	0.0	3.0	11.0	0.0	42172479.2	4.1	1	55886.3	0.082	0.135	5	3547.4	0.0	0.0
mcp1k	57661	BUNDLE	0	1	92	296	3684719.4	0.08737260578220879	644	708	754	855	65	102	676.1	808.7	1.0	0.0	0.0	3.0	1.0	0.0	42172479.2	2.36	1	35719.0	0.029	0.028	0	3547.4	0.0	0.0
mcp1k	57661	BUNDLE	0	0	22	235	3186159.3	0.14358633725065134	618	648	745	757	31	13	630.6	750.8	1.0	0.0	0.0	3.0	19.21	0.0	22189850.1	2.77	1	42747.5	0.075	0.155	3	3472.6	0.0	0.0
mcp1k	57661	BUNDLE	0	1	65	345	3181954.3	0.07545096613622847	567	677	758	784	111	27	630.7	769.6	1.0	0.0	0.0	3.0	14.42	0.0	42172479.2	1.85	1	26054.2	0.023	0.084	0	3547.4	0.0	0.0
mcp1k	57661	BUNDLE	1	2	9	147	2997336.0	0.21679212125284422	407	447	471	477	41	7	427.4	474.2	1.0	0.0	0.0	3.0	1.0	0.0	13825853.0	1.07	1	48350.0	0.041	0.301	0	4836.0	0.0	0.0
mcp1k	57661	BUNDLE	0	0	39	263	2885553.1	0.13003932369962246	739	756	709	751	18	43	747.1	728.3	1.0	0.0	0.0	3.0	1.0	0.0	22189850.1	3.51	1	42126.0	0.113	0.073	10	3472.6	0.0	0.0
mcp1k	57661	BUNDLE	0	1	103	207	2806778.5	0.06655474264837624	667	686	729	752	20	24	680.5	739.9	0.995	0.0	0.0	3.0	1.0	0.0	42172479.2	4.19	1	41082.1	0.129	0.073	11	3547.4	0.0	0.0
mcp1k	57661	BUNDLE	0	0	3	142	1341937.2	0.06047527107900562	398	444	763	777	47	15	419.1	768.3	1.0	0.0	0.0	3.0	14.87	0.0	22189850.1	1.49	1	28850.0	0.088	0.187	3	3472.6	0.0	0.0
mcp1k	57661	BUNDLE	1	0	14	220	1318790.0	0.07762721677476364	1035	1114	475	479	80	5	1076.5	476.8	1.0	0.0	0.0	3.0	1.0	0.0	16988758.0	0.8	1	21010.5	0.033	0.403	0	2484.3	0.0	0.0
mcp1k	57661	BUNDLE	1	0	16	80	1169566.5	0.06884355524988937	1388	1398	469	484	11	16	1393.3	477.4	1.0	0.0	0.0	3.0	1.0	0.0	16988758.0	2.12	2	57270.3	0.149	0.113	11	2484.3	0.0	0.0
mcp1k	57661	BUNDLE	0	0	10	126	987297.0	0.044493180240095444	493	542	732	736	50	5	518.6	734.2	1.0	0.0	0.0	3.0	5.0	0.0	22189850.1	0.75	1	24257.4	0.058	0.418	1	3472.6	0.0	0.0
mcp1k	57661	BUNDLE	1	2	11	23	520662.0	0.03765858063151691	498	505	479	483	8	5	502.3	480.7	1.0	0.0	0.0	3.0	1.0	0.0	13825853.0	0.85	2	42770.0	0.184	0.247	7	4836.0	0.0	0.0
mcp1k	57903	BUNDLE	1	1	39	33	233838.2	0.49564652652632285	576	583	406	416	8	11	580.3	411.4	1.0	0.0	0.0	3.0	21.63	0.0	471784.2	0.95	2	16006.0	0.285	0.139	7	2889.9	0.0	0.0
mcp1k	57903	BUNDLE	1	0	12	29	229443.5	0.5553857117199025	1186	1191	406	416	6	11	1188.4	411.2	1.0	0.0	0.0	3.0	12.65	0.0	413124.6	0.74	2	16123.5	0.238	0.147	6	2349.0	0.0	0.0
mcp1k	57903	BUNDLE	1	2	18	19	207781.0	0.5166188456317101	619	621	407	416	3	10	620.2	411.5	1.0	0.0	0.0	3.0	19.1	0.0	402194.0	0.72	2	23638.0	0.406	0.141	3	4541.0	0.0	0.0
mcp1k	58607	NOBLOB-INSLICE	1	1	12	46	679938.4	0.27167287941605817	805	810	604	622	6	19	807.9	616.4	1.0	0.304	0.0	3.0	0.0	1.0	2502783.5	0.97	1	46430.0	0.668	0.142	3	3897.6	0.261	0.316
mcp1k	58607	NOBLOB-INSLICE	1	0	86	57	521578.9	0.2854185444302088	978	980	600	622	3	23	979.3	614.7	1.0	0.368	0.0	3.0	0.0	1.0	1827417.7	0.86	1	23666.9	0.594	0.086	3	2631.2	0.158	0.237
mcp1k	58607	NOBLOB-INSLICE	1	1	13	16	142121.0	0.056785175385725535	824	833	621	622	10	2	828.3	621.7	1.0	0.0	0.0	3.0	0.0	1.0	2502783.5	0.48	1	17256.4	0.188	0.718	6	3897.6	1.0	1.0
mcp1k	58755	BUNDLE	0	0	7	2699	34757197.2	3.6459348172820296	308	542	418	803	235	386	418.1	683.2	1.0	0.0	0.0	3.0	1.0	0.0	9533137.3	35.66	2	79653.9	0.025	0.016	0	2850.0	0.0	0.0
mcp1k	58755	BUNDLE	0	2	20	1127	18303485.0	1.7491374476170962	520	644	614	775	125	162	593.6	705.3	0.996	0.0	0.0	3.0	1.0	0.0	10464292.0	5.25	2	66194.0	0.023	0.02	0	4362.5	0.0	0.0
mcp1k	58755	BUNDLE	0	1	25	1180	11679396.5	1.0035032148431224	827	946	419	718	120	300	893.8	580.1	0.997	0.0	0.0	3.0	1.0	0.0	11638623.9	27.46	2	37652.6	0.027	0.015	0	3029.3	0.0	0.0
mcp1k	58755	BUNDLE	0	0	47	1246	9305168.3	0.9760866761039936	759	960	591	743	202	153	825.3	658.6	1.0	0.0	0.0	3.0	25.0	0.0	9533137.3	41.47	2	35262.4	0.018	0.037	0	2850.0	0.0	0.0
mcp1k	58755	BUNDLE	0	1	66	887	6617111.1	0.56854754968068	1010	1247	737	855	238	119	1114.0	783.0	0.999	0.0	0.0	3.0	1.0	0.0	11638623.9	23.44	1	29130.4	0.015	0.029	0	3029.3	0.0	0.0
mcp1k	58755	BUNDLE	0	1	64	708	5348285.8	0.45952905136834943	1010	1247	611	645	238	35	1136.6	630.1	0.999	0.0	0.0	3.0	1.0	0.0	11638623.9	1.45	2	30961.9	0.015	0.054	0	3029.3	0.0	0.0
mcp1k	58755	BUNDLE	0	1	63	618	5140774.6	0.4416995208514298	1010	1201	441	591	192	151	1105.1	517.2	1.0	0.0	0.0	3.0	1.0	0.0	11638623.9	1.11	2	32354.0	0.032	0.029	0	3029.3	0.0	0.0
mcp1k	58755	BUNDLE	0	2	9	360	4289682.0	0.4099352349877087	407	505	462	592	99	131	455.3	527.0	1.0	0.0	0.0	3.0	1.0	0.0	10464292.0	0.84	2	39851.0	0.031	0.035	0	4362.5	0.0	0.0
mcp1k	58755	BUNDLE	0	1	110	318	3544851.2	0.30457648863453696	1328	1372	695	728	45	34	1352.8	712.7	1.0	0.0	0.0	3.0	1.0	0.0	11638623.9	3.87	2	33234.9	0.048	0.056	0	3029.3	0.0	0.0
mcp1k	58755	BUNDLE	0	0	34	404	3289817.5	0.34509284787076333	608	700	634	651	93	18	650.2	641.7	1.0	0.0	0.0	3.0	6.0	0.0	9533137.3	2.28	2	28050.6	0.029	0.084	0	2850.0	0.0	0.0
mcp1k	58755	BUNDLE	0	2	51	109	3163611.0	0.3023244190815776	739	755	658	680	17	23	747.6	667.2	1.0	0.0	0.0	3.0	5.83	0.0	10464292.0	1.93	2	82268.0	0.136	0.083	10	4362.5	0.0	0.0
mcp1k	58755	BUNDLE	0	0	55	402	2943920.1	0.30880915771558226	994	1131	556	585	138	30	1057.1	570.9	1.0	0.0	0.0	3.0	7.0	0.0	9533137.3	0.94	2	25067.3	0.025	0.055	0	2850.0	0.0	0.0
