sample	event	cls	apa	plane	comp	ncell	Q	wmin	wmax	smin	smax	f_cf0	f_qp2v4	fq_cf0	fq_qp2v4	verdict
mcp2k	393089	NOBLOB-SLICE	0	1	29	45	305714.3	1536	1551	121	128	0.0	nan	0.0		TILING
mcp2k	393089	NOBLOB-SLICE	0	1	28	29	183824.6	1523	1534	127	132	0.0	nan	0.0		TILING
mcp2k	75554	NOBLOB-INSLICE	0	0	5	134	1045662.2	392	429	369	406	0.0	nan	0.0		TILING
mcp2k	75554	NOBLOB-SLICE	0	0	7	202	1460091.6	432	486	409	465	0.074	nan	0.098		TILING
mcp2k	75554	NOBLOB-SLICE	0	0	10	105	718963.0	512	542	495	528	0.0	nan	0.0		TILING
mcp2k	75554	NOBLOB-SLICE	0	0	1	88	714175.3	333	358	307	332	0.0	nan	0.0		TILING
mcp2k	75554	NOBLOB-SLICE	0	1	6	86	664746.6	840	866	410	436	0.0	nan	0.0		TILING
mcp2k	75554	NOBLOB-SLICE	0	1	7	79	622132.9	868	892	383	406	0.0	nan	0.0		TILING
mcp2k	75554	NOBLOB-SLICE	0	1	3	65	506811.4	766	785	496	516	0.0	nan	0.0		TILING
mcp2k	409624	NOBLOB-INSLICE	0	2	33	70	592222.0	1102	1104	398	451	0.0	nan	0.0		TILING
mcp2k	414200	NOBLOB-INSLICE	0	0	17	161	1035600.1	1625	1678	617	659	0.0	nan	0.0		TILING
mcp2k	414200	NOBLOB-INSLICE	0	2	12	128	944680.0	1407	1457	620	659	0.0	nan	0.0		TILING
mcp2k	395695	NOBLOB-INSLICE	1	0	13	85	660557.2	604	611	192	233	0.212	nan	0.238		TILING
mcp2k	56972	NOBLOB-SLICE	1	1	1	67	821456.0	623	626	81	103	0.0	nan	0.0		TILING
mcp2k	97084	NOBLOB-SLICE	1	0	11	48	848399.1	944	945	635	659	0.0	nan	0.0		TILING
mcp2k	97084	NOBLOB-SLICE	1	1	5	47	447878.5	1336	1346	647	661	0.0	nan	0.0		TILING
mcp2k	98382	NOBLOB-INSLICE	0	0	6	93	630297.5	875	904	411	432	0.0	nan	0.0		TILING
mcp2k	98382	NOBLOB-INSLICE	0	2	3	76	590441.0	261	291	411	431	0.0	nan	0.0		TILING
mcp2k	178548	NOBLOB-SLICE	1	1	8	65	482414.4	1331	1346	411	438	0.0	nan	0.0		TILING
mcp2k	178548	NOBLOB-SLICE	1	2	15	50	417756.0	955	970	412	438	0.0	nan	0.0		TILING
mcp2k	91697	NOBLOB-INSLICE	0	0	8	42	580784.3	1247	1255	173	186	0.0	nan	0.0		TILING
mcp2k	91697	NOBLOB-INSLICE	0	2	29	37	566164.0	1620	1629	171	186	0.0	nan	0.0		TILING
mcp2k	95899	NOBLOB-INSLICE	0	0	11	122	908682.5	822	844	395	451	0.057	nan	0.064		TILING
mcp2k	95899	NOBLOB-INSLICE	0	2	17	101	878525.0	524	544	395	451	0.059	nan	0.065		TILING
mcp2k	293734	NOBLOB-INSLICE	0	0	17	29	287357.8	1924	1929	261	266	0.276	nan	0.336		TILING
mcp2k	293734	NOBLOB-INSLICE	0	2	27	22	241514.0	1580	1586	261	266	0.364	nan	0.351		TILING
mcp2k	294174	NOBLOB-SLICE	0	0	13	68	445129.4	1312	1334	106	124	0.0	nan	0.0		TILING
mcp2k	493659	NOBLOB-INSLICE	0	0	17	40	299612.9	1765	1769	444	462	0.0	nan	0.0		TILING
mcp2k	49742	NOBLOB-INSLICE	1	0	4	66	543065.6	804	815	195	224	0.0	nan	0.0		TILING
mcp2k	100157	NOBLOB-INSLICE	0	1	1	67	649199.5	675	678	83	102	0.0	nan	0.0		TILING
mcp2k	168209	NOBLOB-INSLICE	1	0	28	41	575723.5	1696	1705	306	318	0.0	nan	0.0		TILING
nuecc48	90055	NOBLOB-INSLICE	1	1	1	203	1816347.3	618	650	750	854	0.0	nan	0.0		TILING
