sample	event	cls	kind	gid	cluster	cl_class	cl_gid	npts	cl_npts	Q	Qfrac	ext	rms	dvtx	dheld	dcand	cx	cy	cz	n_cand_pts	Qcand	f_absorbed	dfit	dfit_max	dfit_p90	f_far12
mcp2k	100728	NEARBY-UNMATCHED	NEARBY	-1	9	UNMATCHED	1000004	3788.0	3788.0	21806318.7	12.3795	85.3	2.25	nan	nan	0.3	194.9	139.2	340.7	318.0	1761486.1	nan	nan	nan	nan	nan
mcp2k	100728	UNHELD-WIDE	UNHELD	0	-1	OWN	0	214.0	0.0	1236682.6	0.7021	6.9	1.98	nan	12.3	0.0	201.7	137.4	414.2	318.0	1761486.1	0.0	12.3	25.0	21.3	1.0
mcp2k	104172	NEARBY-COMPANION	NEARBY	-1	17	COMPANION	0	4969.0	4969.0	42802857.7	1.4145	54.0	15.1	6.6	nan	3.0	-136.6	175.5	451.2	3192.0	30259086.7	nan	nan	nan	nan	nan
mcp2k	157215	NEARBY-COMPANION	NEARBY	-1	14	COMPANION	1	8335.0	8335.0	57058783.1	70.9326	166.9	6.59	nan	nan	0.2	-146.6	-80.3	416.1	107.0	804408.2	nan	nan	nan	nan	nan
mcp2k	157215	UNHELD-TRACK	UNHELD	1	-1	OWN	0	51.0	0.0	381726.0	0.4745	9.3	0.41	nan	358.9	0.0	-142.0	-14.8	500.7	107.0	804408.2	0.0	358.9	364.6	363.9	1.0
mcp2k	157215	UNHELD-TRACK	UNHELD	0	-1	OWN	0	44.0	0.0	358797.2	0.446	6.8	0.4	nan	365.5	0.0	-141.4	2.2	500.7	107.0	804408.2	0.0	365.5	370.4	369.7	1.0
mcp2k	158227	NEARBY-OTHER	NEARBY	-1	5	OTHER	2	1734.0	1734.0	8899795.5	0.396	63.8	1.28	13.6	nan	4.9	-13.4	-159.1	52.7	4576.0	22474985.3	nan	nan	nan	nan	nan
mcp2k	169240	UNHELD-WIDE	UNHELD	19	-1	OWN	0	2270.0	0.0	8484915.4	0.1985	58.9	6.65	6.3	3.0	0.0	-15.1	-21.0	259.2	10693.0	42755452.8	1.0	3.0	36.4	23.0	0.441
mcp2k	169240	UNHELD-WIDE	UNHELD	0	-1	OWN	0	1327.0	0.0	5757232.5	0.1347	52.4	5.4	4.2	3.0	0.0	-15.1	6.7	249.5	10693.0	42755452.8	1.0	3.0	27.3	20.2	0.43
mcp2k	172463	NEARBY-COMPANION	NEARBY	-1	2	COMPANION	0	144.0	144.0	3950657.0	0.2941	5.3	1.58	0.7	nan	0.4	-201.7	-111.7	270.1	1698.0	13433610.7	nan	nan	nan	nan	nan
mcp2k	173340	UNHELD-WIDE	UNHELD	0	-1	OWN	0	1161.0	0.0	5986418.8	0.3125	41.3	3.87	4.3	3.0	0.0	-66.6	188.3	83.2	3425.0	19157666.3	1.0	3.0	16.8	13.5	0.17
mcp2k	174164	UNHELD-WIDE	UNHELD	0	-1	OWN	0	1597.0	0.0	10594121.0	0.2657	25.5	4.85	4.0	3.0	0.0	12.1	-92.2	261.0	6964.0	39873567.1	1.0	3.0	26.3	19.0	0.282
mcp2k	174164	UNHELD-WIDE	UNHELD	29	-1	OWN	0	408.0	0.0	1570575.0	0.0394	18.9	4.05	13.8	3.0	0.0	11.6	-111.9	273.1	6964.0	39873567.1	1.0	3.0	22.0	16.0	0.309
mcp2k	174771	NEARBY-UNMATCHED	NEARBY	-1	10	UNMATCHED	1000003	1479.0	1479.0	11875776.9	0.1524	70.8	1.0	12.6	nan	2.5	165.3	42.3	251.7	9147.0	77950576.1	nan	nan	nan	nan	nan
mcp2k	175952	UNHELD-WIDE	UNHELD	3	-1	OWN	0	3353.0	0.0	29134062.3	0.2837	137.3	5.19	3.5	3.0	0.0	-163.5	73.9	302.6	12382.0	102703682.0	1.0	3.0	27.5	15.7	0.192
mcp2k	179369	NEARBY-OTHER	NEARBY	-1	12	OTHER	0	8252.0	8252.0	56398225.3	1.6032	45.6	13.65	6.6	nan	2.5	-4.0	42.3	77.8	6105.0	35179466.8	nan	nan	nan	nan	nan
mcp2k	181050	NEARBY-OTHER	NEARBY	-1	18	OTHER	0	833.0	833.0	10238466.1	0.808	15.8	4.38	6.4	nan	4.1	-36.9	190.1	487.4	1574.0	12670629.5	nan	nan	nan	nan	nan
