event	kind	main_id	side	flash_t	label	k_npts	k_len	k_len_nusel	k_dcath	k_dirx	k_rms	p_cid	p_npts	p_len	p_ext	p_ncorr	p_dcath	p_rms	p_matched	p_beam	gap2d	angle	other_beam_flash_empty	y_cath	z_cath
285971	already-in-main	7	1	0.659	nu-candidate	723	119.1	323.8	0.8589	0.4827	0.5554	8	1939	226.1	175.2	1442	0.1293	0.6026	1	1	3.597	4.103	0	-25.08	269.2
280466	already-in-main	12	1	0.682	TGM	2528	196.6	298.4	1.173	0.9301	0.4898	3	1933	173.7	169.6	1069	2.63	0.6454	1	1	1.973	9.958	0	-98.95	48.05
292384	already-in-main	19	1	1.157	nu-candidate	1132	91.32	415.9	0.3099	0.3202	0.6062	7	3505	353.8	158.5	1255	0.1293	0.7022	1	1	2.546	7.612	0	-8.593	104.6
276836	already-in-main	11	0	1.139	nu-candidate	833	205.3	267.9	0.3083	0.9898	0.3863	16	1468	170.6	138.4	1152	1.067	0.34	1	1	2.396	6.128	0	-37.61	309.7
280972	already-in-main	7	1	1.349	nu-candidate	11461	136.4	493.7	0.9644	0.4991	0.5479	5	3657	379.9	135.7	1295	0.1293	0.7091	1	1	3.608	1.078	0	-159.8	161.6
290844	already-in-main	3	1	1.869	STM	628	66.18	206.6	3.236	0.5374	0.5397	5	1090	130.4	130.4	1089	3.255	0.5476	1	1	5.22	8.2	0	-101.5	111
169824	already-in-main	18	1	1.328	nu-candidate	2694	197.7	285.7	0.962	0.8798	0.458	11	1110	122.3	118.2	1096	0.4419	0.453	1	0	2.987	1.36	0	-115.4	107.9
288952	already-in-main	8	0	2.177	TGM	3114	311.6	429.6	0.4696	0.3478	0.5691	22	1405	118.1	118.1	1360	0.1293	0.5648	1	0	6.346	0.6942	0	-90.66	146.1
61579	already-in-main	20	1	1.016	nu-candidate	1485	199.1	174.4	0.6012	0.9331	0.4611	7	1116	137.8	112	763	0.4419	0.4324	1	1	5.67	2.635	0	-115.8	51.64
172656	already-in-main	10	0	0.697	nu-candidate	1697	165.3	263.9	0.2383	0.5864	1.915	15	1230	114.5	110.2	843	0.4419	0.4621	1	1	6.393	13.12	0	141.9	134.4
387102	already-in-main	10	1	1.659	TGM	3839	394.3	557.1	0.7013	0.3739	1.697	7	1607	201.7	101.8	981	0.1293	0.5837	1	1	3.269	9.761	0	-88.52	224.3
53427	already-in-main	14	1	1.732	nu-candidate	517	97.52	253.5	1.65	0.3883	0.8185	4	1475	161.6	101.7	892	0.1293	0.5698	1	1	4.419	6.545	0	44.72	438.7
59247	already-in-main	15	1	1.644	nu-candidate	178	130.2	159.5	0.6988	0.884	1.07	7	1409	144.2	101.4	1002	0.1293	0.5358	1	1	0.6623	12.17	0	155	146.2
169208	already-in-main	10	1	2.03	TGM	4324	293	395.9	0.7592	0.6828	0.4935	12	915	100.6	100.6	907	0.1293	0.4973	1	1	1.739	1.338	0	-138	153.7
398238	already-in-main	13	0	1.122	STM	2992	222.6	132.3	0.3044	0.6627	0.5685	16	925	100.6	100.5	925	1.067	0.5421	1	1	4.057	5.394	0	171.5	322.2
286400	already-in-main	11	0	0.628	nu-candidate	349	31.2	340.6	1.165	0.4566	0.6859	18	2879	305	100	885	1.38	0.6092	1	1	5.14	2.283	0	-162.9	57.65
285080	already-in-main	19	1	0.262	STM	301	28.96	321.6	1.111	0.6748	0.4881	3	2595	293.3	99.02	750	0.1293	0.4812	1	1	3.272	6.08	0	-82.54	341.1
395654	already-in-main	15	1	1.818	nu-candidate	636	64.37	200.3	1.038	0.3395	1.145	8	1830	133.7	95.05	1131	0.1293	0.8049	1	1	3.272	2.67	0	120.9	189.4
59025	already-in-main	19	1	1.605	nu-candidate	656	197.3	271.4	1.007	0.8735	0.5455	10	2739	207.7	94.35	845	0.1293	0.4818	1	1	0.3661	11.04	0	40.96	219.9
276836	already-in-main	11	1	1.139	nu-candidate	1468	170.6	267.9	1.245	0.9844	0.34	9	828	91.88	91.86	742	0.1293	0.3863	1	1	2.421	6.128	0	-37.49	309
173234	already-in-main	10	1	1.769	nu-candidate	1380	138.6	243.4	1.031	0.8387	0.4166	7	1007	98.42	91.55	958	0.1293	0.7099	1	1	2.6	3.415	0	22.51	368.3
280972	already-in-main	7	0	1.349	nu-candidate	3656	379.2	493.7	0.3402	0.4843	0.7091	19	11461	136.4	90.78	1127	0.7545	0.5479	1	1	3.625	1.078	0	-159.9	161.9
292643	already-in-main	18	0	1.796	nu-candidate	1646	106.8	237.8	0.7228	0.7456	0.4983	20	1406	127.8	90.55	803	0.4419	0.4706	1	1	1.321	2.836	0	-15.65	91.91
292797	already-in-main	27	0	0.694	STM	566	59.42	304	0.239	0.5535	0.5592	26	1968	244.1	88.08	717	0.1293	0.5536	1	1	1.73	8.13	0	142.4	139.9
172794	already-in-main	20	1	1.502	nu-candidate	935	77.68	308.5	0.9887	0.3059	0.5626	2	2648	221	83.86	1438	3.255	2.298	1	1	7.673	4.601	0	109.8	232.5
353751	already-in-main	10	0	1.004	nu-candidate	587	61.05	169.8	0.5995	0.6902	0.4945	17	1023	106.8	83.65	723	0.4419	0.5035	1	1	3.304	5.186	0	-13.02	109.3
284013	already-in-main	8	1	1.388	nu-candidate	597	330.3	171.1	0.6593	0.68	0.5284	10	954	108.2	82.01	694	0.1293	0.505	1	1	0.9553	6.122	0	-120.2	217.7
392552	already-in-main	12	1	1.572	nu-candidate	462	56.94	281.9	1	0.4453	0.5653	6	1736	222.8	81.59	632	0.1293	0.6425	1	1	2.981	9.133	0	-69.5	211.7
281214	already-in-main	15	0	0.687	nu-candidate	698	315.6	204.9	3.051	0.4165	0.5358	17	1415	86.55	79.1	1127	2.317	0.7011	1	1	7.056	1.607	0	1.156	356.3
352233	already-in-main	6	0	1.726	nu-candidate	606	137.7	232.4	1.338	0.9053	0.4204	15	814	92.05	77.35	762	1.067	0.4624	1	1	1.957	3.447	0	98.03	433.3
350297	already-in-main	18	1	1.436	nu-candidate	162	19.07	283.7	1.606	0.5312	1.581	12	2257	260.5	77.3	798	0.1293	0.8245	1	1	1.731	19.08	0	91.79	416.7
395610	already-in-main	22	1	1.276	nu-candidate	276	42.35	216.9	0.3284	0.3032	0.6515	3	1680	176.1	76.75	671	0.1293	0.6323	1	1	3.429	7.301	0	112.6	203.4
281214	already-in-main	15	1	0.687	nu-candidate	1431	133.4	204.9	2.425	0.4408	0.7011	9	677	98.12	74.29	639	2.943	0.5358	1	1	6.949	1.57	0	1.149	356
280466	already-in-main	12	0	0.682	TGM	1933	173.7	298.4	2.737	0.9252	0.6454	12	1183	120.6	71.94	710	1.067	0.4898	1	1	1.955	9.958	0	-99.06	48.68
173234	already-in-main	10	0	1.769	nu-candidate	1017	305.4	243.4	0.09298	0.8415	0.7099	15	1380	138.6	69.45	534	0.7545	0.4166	1	1	2.633	3.415	0	22.26	369.1
169620	already-in-main	13	0	1.854	nu-candidate	1162	111.9	191.3	1.044	0.7488	0.4949	18	1329	84.76	68.98	525	0.7545	0.4449	1	1	1.903	5.295	0	136.2	69.11
352233	already-in-main	6	1	1.726	nu-candidate	814	92.05	232.4	1.337	0.9261	0.4624	5	606	137.7	67.45	529	1.067	0.4204	1	1	1.943	3.447	0	98.18	432.8
289832	already-in-main	10	0	0.629	nu-candidate	338	25.45	214.2	1.791	0.3889	0.7051	15	1737	183.4	66.18	575	0.4419	0.6396	1	1	2.802	4.646	0	98.95	340.5
169824	already-in-main	18	0	1.328	nu-candidate	1106	122	285.7	0.962	0.8839	0.4521	13	2694	197.7	66.06	641	0.7545	0.458	1	1	3.053	1.25	0	-115.7	108.6
58321	already-in-main	19	0	0.561	nu-candidate	1518	119.4	224	0.217	0.9617	0.4332	16	561	103.3	65.15	412	2.005	0.4113	1	1	2.858	4.599	0	122	467.2
395654	already-in-main	15	0	1.818	nu-candidate	1828	133.5	200.3	0.1008	0.3313	0.8042	17	647	64.34	64.44	636	0.7545	1.145	1	1	3.608	2.642	0	121.3	189.3
407280	already-in-main	16	1	1.135	nu-candidate	286	73.56	398.2	0.9339	0.3765	0.5683	2	3468	321.8	60.37	540	0.1293	0.5892	1	1	3.334	4.906	0	-61.84	344.3
284013	already-in-main	8	0	1.388	nu-candidate	960	268.1	171.1	0.3463	0.6481	0.505	14	546	60.25	60.22	535	0.4419	0.5284	1	1	1.021	6.122	0	-120.1	218.3
58321	already-in-main	19	1	0.561	nu-candidate	561	103.3	224	2.092	0.9776	0.4113	6	1524	120	60.18	645	0.1293	0.4309	1	1	2.833	4.303	0	122	466.5
50765	already-in-main	15	1	0.626	STM	239	459.9	300.7	1.166	0.4083	0.5246	8	2661	300	59.81	487	0.1293	0.5586	1	1	4.977	5.025	0	-178	212.9
278640	already-in-main	17	1	0.639	nu-candidate	211	398.3	130.3	0.2289	0.4534	0.5553	5	1119	111.2	59.8	583	0.7545	0.5605	1	1	3.789	0.5714	0	-75.54	17.66
406796	already-in-main	11	1	0.699	nu-candidate	326	449	142.3	0.8645	0.7719	0.5151	7	748	85.65	58.94	607	1.38	0.4873	1	1	1.642	16.35	0	-156.5	113.2
292384	already-in-main	19	0	1.157	nu-candidate	3520	353.2	415.9	0.3101	0.3653	0.7024	16	1134	91.48	58.7	642	0.1293	0.6093	1	1	2.568	7.492	0	-8.411	104.6
290844	already-in-main	3	0	1.869	STM	1090	130.4	206.6	3.547	0.4785	0.5476	11	628	66.18	57.51	499	2.943	0.5397	1	1	5.241	8.2	0	-101.5	112.2
392552	already-in-main	12	0	1.572	nu-candidate	1736	222.8	281.9	0.375	0.5452	0.6425	15	462	56.94	56.91	434	0.7545	0.5653	1	1	2.853	9.133	0	-69.26	212.1
169620	already-in-main	13	1	1.854	nu-candidate	1345	140.6	191.3	1.044	0.7768	0.4449	7	1162	111.9	56.27	555	0.7545	0.4949	1	1	1.869	5.295	0	136.3	68.67
60933	already-in-main	18	1	1.693	nu-candidate	318	32.06	170.3	1.02	0.6809	0.5987	8	1312	151.5	56.13	470	0.1293	0.5397	1	1	0.6399	1.281	0	85.41	334.3
487545	already-in-main	9	0	1.117	TGM	1495	236.7	321.6	0.304	0.8986	0.3989	17	670	82.92	55.73	473	1.067	0.4467	1	1	0.9153	4.665	0	-61.72	444.1
285971	already-in-main	7	0	0.659	nu-candidate	1938	226.1	323.8	0.2324	0.5353	0.6111	19	723	119.1	53.96	550	0.7545	0.5554	1	1	3.623	4.039	0	-25.2	270
404244	already-in-main	12	0	1.484	nu-candidate	629	122.7	173.4	0.04911	0.5921	0.5158	20	1453	122.7	52.13	600	1.692	0.5645	1	1	4.023	4.384	0	36.52	326.6
63603	already-in-main	13	0	1.306	nu-candidate	253	302.4	117.1	0.3338	0.9413	0.5066	15	1048	91.83	51.02	499	0.4419	0.4195	1	1	1.591	15.68	0	189.6	140.7
169758	already-in-main	6	0	1.379	nu-candidate	272	28.99	68.9	0.03177	0.7244	0.5077	12	737	77.04	50.27	426	1.692	2.53	1	1	6.664	13.77	0	183.7	460.9
59025	already-in-main	19	0	1.605	nu-candidate	2713	206.7	271.4	0.06756	0.8062	0.4818	18	631	67.41	48.5	377	0.7545	0.5455	1	1	0.405	11.04	0	40.92	220.7
285531	already-in-main	15	0	1.767	nu-candidate	853	49.7	225.4	0.09353	0.412	1.445	15	1874	167.3	46.88	461	1.067	0.5778	1	1	5.186	3.208	0	-12.13	429.8
285531	already-in-main	15	1	1.767	nu-candidate	1874	167.3	225.4	1.343	0.3835	0.5778	9	855	50.07	46.55	797	0.1293	1.442	1	1	5.224	3.243	0	-12.18	429.8
68054	already-in-main	18	1	1.436	STM	302	193.1	74.1	0.3536	0.3647	0.6437	8	693	56.92	45.64	463	0.4419	0.7298	1	1	4.376	2.743	0	-123.5	14.66
292797	already-in-main	27	1	0.694	STM	4091	248.2	304	0.2377	0.4304	0.5536	7	568	59.69	45.41	390	0.1293	0.558	1	1	1.693	8.173	0	142.7	139.4
404244	already-in-main	12	1	1.484	nu-candidate	1453	122.7	173.4	1.924	0.5475	0.5645	10	629	122.7	42.84	410	0.1293	0.5158	1	1	4.051	4.383	0	36.36	326.1
353751	already-in-main	10	1	1.004	nu-candidate	1023	106.8	169.8	0.5988	0.6456	0.5035	12	587	61.05	42.34	440	0.4419	0.4945	1	1	3.33	5.186	0	-12.77	108.6
313979	already-in-main	12	1	1.54	nu-candidate	1802	216.7	266	1.308	0.4616	0.5619	14	718	92.5	41.59	436	0.1293	0.4972	1	1	3.902	2.142	0	-59.48	296
351551	already-in-main	5	0	1.322	TGM	188	20.55	63.2	0.336	0.407	0.6354	18	362	41.45	41.45	362	0.4419	0.5319	1	1	4.439	2.583	0	186.7	30.35
61579	already-in-main	20	0	1.016	nu-candidate	1100	121.6	174.4	0.6007	0.9433	0.4324	17	487	86.22	39.78	403	0.4419	0.4611	1	1	5.637	2.635	0	-116	52.34
51051	already-in-main	19	1	1.101	nu-candidate	1875	444.7	304	0.9266	0.4937	0.5562	9	400	91.16	37.18	361	0.1293	0.4756	1	1	2.373	0.2477	0	-45.18	327.8
169736	already-in-main	15	0	1.926	STM	466	299.1	70.4	1.056	0.5078	0.644	20	365	36.77	36.77	365	0.7545	0.6956	1	1	3.91	14.5	0	23.99	39.73
407280	already-in-main	16	0	1.135	nu-candidate	3468	321.8	398.2	0.3067	0.4511	0.5892	17	286	73.56	35.26	263	0.7545	0.5683	1	1	3.255	4.906	0	-61.82	345.3
406796	already-in-main	11	0	0.699	nu-candidate	748	85.65	142.3	1.489	0.9087	0.4873	14	316	32.19	32.12	316	0.7545	0.5151	1	1	1.576	16.35	0	-156.7	113.9
60933	already-in-main	18	0	1.693	nu-candidate	1299	133.4	170.3	0.08138	0.6691	0.5388	12	318	32.06	31.96	318	0.7545	0.5987	1	1	0.6735	1.288	0	85.55	335.2
286400	already-in-main	11	1	0.628	nu-candidate	2879	305	340.6	1.478	0.4275	0.6092	12	349	31.2	31.58	329	1.067	0.6859	1	1	5.159	2.283	0	-162.8	56.79
386816	already-in-main	11	0	1.424	TGM	802	52.24	105.6	0.6642	0.5501	1.417	20	602	57.46	31.13	341	0.7545	2.807	1	1	6.973	18.26	0	182.1	45.84
387102	already-in-main	10	0	1.659	TGM	1587	161	557.1	0.07804	0.4704	0.5837	16	3839	394.3	31.04	352	0.4419	1.697	1	1	3.124	9.761	0	-88.14	224.7
169758	already-in-main	6	1	1.379	nu-candidate	739	297.3	68.9	1.908	0.7747	0.5171	6	280	29.51	29.5	280	0.1293	0.507	1	1	6.036	4.15	0	184.3	460
53427	already-in-main	14	0	1.732	nu-candidate	1472	161.4	253.5	0.08743	0.387	0.5698	17	525	97.56	29.38	399	1.38	0.8163	1	1	4.496	6.568	0	45.37	439.2
285080	already-in-main	19	0	0.262	STM	2572	292.3	321.6	0.1702	0.6379	0.4808	14	301	28.96	28.92	301	1.067	0.4881	1	1	3.402	6.168	0	-82.77	341.7
487545	already-in-main	9	1	1.117	TGM	670	82.92	321.6	1.244	0.8917	0.4467	7	245	27.84	27.84	245	0.1293	0.3989	1	1	0.9288	4.665	0	-61.67	443.4
63603	already-in-main	13	1	1.306	nu-candidate	1048	91.83	117.1	0.6461	0.9518	0.4195	6	246	27.64	27.64	246	0.1293	0.5066	1	1	1.58	15.68	0	189.7	140
50765	already-in-main	15	0	0.626	STM	2661	300	300.7	0.2271	0.3754	0.5586	17	225	25.99	25.95	225	1.067	0.5246	1	1	4.998	5.025	0	-178.2	213.8
289832	already-in-main	10	1	0.629	nu-candidate	1737	183.4	214.2	0.5401	0.4242	0.6396	11	338	25.45	24.05	307	1.692	0.7051	1	1	2.794	4.646	0	99	339.7
488139	already-in-main	14	0	0.806	nu-candidate	1202	114.5	211.1	0.2553	0.3784	0.6506	27	379	95.16	23.72	268	1.692	0.76	1	1	1.995	5.002	0	42.14	482.6
351551	already-in-main	5	1	1.322	TGM	362	41.45	63.2	0.6486	0.4408	0.5319	6	188	20.55	20.55	188	0.1293	0.6354	1	1	4.395	2.583	0	187.1	30.02
350297	already-in-main	18	0	1.436	nu-candidate	2254	260.3	283.7	0.04112	0.4839	0.8239	16	162	19.07	18.57	156	1.38	1.581	1	1	2.036	19.28	0	91.73	417.9
278640	already-in-main	17	0	0.639	nu-candidate	1119	111.2	130.3	0.8544	0.4564	0.5605	14	182	16.96	16.96	182	0.1293	0.5553	1	1	3.834	0.5714	0	-75.63	18.15
68054	already-in-main	18	0	1.436	STM	693	56.92	74.1	0.6664	0.3362	0.7298	18	195	52.9	14.74	183	0.1293	0.6437	1	1	4.423	2.743	0	-123.7	14.74
353223	already-in-main	15	0	1.072	nu-candidate	575	61.36	67.6	0.2969	0.4688	0.5817	10	184	13.55	13.55	184	0.1293	0.7255	1	1	3.53	1.57	0	-133.4	492.1
59247	already-in-main	15	0	1.644	nu-candidate	1409	144.2	159.5	0.3862	0.8162	0.5358	17	147	13.5	13.5	147	0.4419	1.07	1	1	0.5907	12.17	0	155	146.9
171446	already-in-main	5	0	1.324	TGM	2999	321.1	338.7	2.212	0.6673	0.538	11	114	10.62	10.62	114	2.63	0.7463	1	1	1.99	12.5	0	-99.04	489
