event	kind	gid	apa	t0	dx	k_npts	k_len	k_dcath	k_dirx	p_cid	p_npts	p_len	p_ext	p_ncorr	p_dcath	p_dx	disp	p_inrange	gap2d	angle	y_cath	z_cath
71882	crosser-ok	1	0	264.9	-41.41	2504	261.6	7.466	0.5251	15	1795	197.7	176	1533	7.466	41.84	0.4259	1	3.983	5.234	23.66	341.9
287181	other-flash	1	0	-692.9	108.3	433	42.37	0.9264	0.6332	21	1662	202.7	173	1321	0.6136	-105.1	3.172	1	3.139	0.6598	169.5	106.7
62495	crosser-ok	7	0	-686.1	107.2	817	64.08	2.927	0.3757	19	3903	354.5	166.9	1736	4.49	-108.1	0.8507	1	12.83	4.322	-139.3	385.6
55539	other-flash	15	1	-703.8	-110	1449	151.5	1.412	0.6317	7	1671	189.9	161.9	1402	0.1607	100.5	9.495	1	2.995	5.454	-83.29	462.9
51051	crosser-ok	9	1	84.45	13.2	3147	328.9	1.763	0.4384	8	1561	158.7	158.7	1533	0.1123	-13.47	0.2715	0.9974	4.103	1.241	70.52	272.5
389588	other-flash	11	1	-1073	-167.7	505	53.26	1.235	0.3396	12	1962	172	153.5	1665	1.235	117.4	50.32	1	7.577	2.132	-163	45.28
282871	UNMATCHED	11	1	213.3	33.34	4112	248	0.3326	0.8966	11	2330	232.4	148.3	1345	0.6452	0	33.34	0.9871	1.823	4.247	40.7	132.8
167112	other-flash	12	1	-1048	-163.7	592	68.7	1.144	0.4088	7	2063	171.8	146.9	1956	1.144	72.25	91.47	0.9947	5.272	3.754	-153.2	92.76
62209	crosser-ok	21	1	-1.097	-0.1715	23411	418	0.2704	0.731	4	2426	219.9	144.3	1586	0.0422	-0.9863	1.158	0.9893	1.063	3.226	-91.64	235
285366	crosser-ok	10	1	239.1	37.37	1802	218.8	3.427	0.6112	2	1421	146.2	143.2	1295	3.427	-36.26	1.111	1	2.626	1.474	79.97	344.9
58755	other-flash	12	1	-989.5	-154.7	1787	126.9	0.8278	0.5378	11	1572	143.2	143.2	1491	0.5152	96.29	58.37	1	4.367	2.054	-26.45	191
66272	other-flash	18	1	-100.3	-15.68	1463	117.5	1.02	0.417	8	3249	303.8	141.9	1285	2.27	6.515	9.163	1	4.428	1.443	107.1	352.9
57355	other-flash	10	0	-741.9	116	585	112.5	1.392	0.8403	16	619	136.5	136.5	619	1.08	-127.4	11.39	1	2.624	1.483	40.53	52.38
284349	other-flash	1	0	-281	43.92	2009	203.6	3.407	0.9132	12	2159	206.1	133.5	1163	3.72	-37.32	6.605	1	1.028	0.4071	0.8865	436.8
284657	crosser-ok	25	0	-461.6	72.15	3639	423.1	0.1857	0.3533	20	4321	375.5	127.6	1239	0.4983	-71.34	0.8133	1	2.958	2.458	-85.82	463.6
285366	crosser-ok	17	0	232	-36.26	2420	436.9	2.317	0.6286	19	1802	218.8	127.3	1120	2.317	37.37	1.111	1	0.886	1.474	79.95	344.9
281595	other-flash	5	0	-914.4	142.9	734	66.92	1.004	0.7169	17	1161	124.7	124.7	1161	0.6917	-90.74	52.18	1	2.077	0.5643	-137	24.85
349087	crosser-ok	12	1	-176	-27.51	1841	215	0.44	0.487	2	2274	263.1	122.1	1026	0.1274	27.24	0.2701	1	0.8406	3.556	19.5	81.26
397392	crosser-ok	15	1	-898.9	-140.5	1196	406.2	0.9207	0.6352	7	1471	136.4	120.9	1184	0.2953	139.4	1.108	1	4.069	3.731	-135.8	207
405234	other-flash	5	1	-1022	-159.8	1040	112.5	1.944	0.5899	5	978	119.8	116.4	946	0.0689	127.9	31.9	0.998	2.447	1.688	67.72	481.7
286353	other-flash	5	1	-389.6	-60.9	1576	162.4	0.8126	0.325	6	2692	263.6	113.6	1215	0.1252	-0.3113	61.21	0.9978	4.147	4.232	46.41	373
72586	other-flash	2	0	-1204	188.2	282	29.85	3.816	0.3853	21	1124	113.1	113.1	1108	0.3773	-88.87	99.38	1	5.397	1.948	-99.3	27.7
409942	other-flash	1	0	-1170	182.9	337	33.95	3.188	0.4987	19	1168	107.2	107.1	1137	0.9998	-82.57	100.4	1	2.14	2.286	-169.9	245.2
388224	crosser-ok	18	1	-571.2	-89.28	6393	364.9	0.2513	0.7509	9	1713	176.3	105	1038	0.0614	86.8	2.483	0.9907	3.838	1.202	-29.5	200.8
71882	crosser-ok	5	1	267.7	41.84	1795	197.7	7.892	0.5166	4	2504	261.6	98.62	961	7.892	-41.41	0.4259	1	5.368	5.234	23.66	341.9
486093	other-flash	17	0	-1234	192.9	658	396.3	0.6837	0.4645	13	911	97.99	97.93	905	1.309	-147.3	45.65	1	4.62	6.614	-167.3	317
388224	crosser-ok	4	0	-555.3	86.8	1713	176.3	0.2338	0.7399	13	2062	207	95.68	927	1.484	-89.28	2.483	1	0.4605	1.408	-29.46	200.8
284657	crosser-ok	16	1	-456.4	-71.34	4321	375.5	1.312	0.3129	7	1014	93.65	93.59	993	0.3738	72.15	0.8133	1	7.113	2.936	-86.08	463.7
314199	other-flash	5	0	-840.1	131.3	2137	271.5	0.7357	0.3554	16	1671	292.3	92.87	1015	1.361	-94.65	36.66	1	5.934	2.812	-53.05	283.7
411790	other-flash	4	1	-991.8	-155	324	36.21	0.7819	0.4856	3	1100	135.9	91.75	706	0.1563	115	39.99	0.9945	2.632	9.772	9.824	425.5
59415	other-flash	15	0	-1258	196.6	976	186.9	0.768	0.3932	20	311	91.22	91.22	311	2.018	-175.1	21.52	1	7.686	1.715	-80.38	451
65289	crosser-ok	14	0	1.746	-0.2729	5590	242.5	2.59	0.7478	12	731	88.37	88.36	731	1.653	-0.4332	0.7061	1	6.147	13.18	157.4	386.2
397392	crosser-ok	4	0	-891.8	139.4	1471	136.4	1.403	0.6834	19	859	84.06	84.02	844	2.028	-140.5	1.108	1	6.541	3.731	-135.7	207
57883	crosser-ok	10	1	-234.9	-36.72	851	71.41	0.9237	0.6294	7	3131	293.4	82.53	815	0.6111	36.36	0.3546	1	4.576	16.94	-129.5	47.3
62943	crosser-ok	6	0	-571.7	89.36	1559	235.3	0.1707	0.4939	25	763	80.88	81.16	750	0.4833	-89.16	0.1993	0.983	2.117	2.514	157	173.4
292384	UNMATCHED	23	1	201.1	31.43	351	249	4.046	0.6038	1	2404	275.8	77.67	684	0.0183	0	31.43	0.9917	10.59	11.1	186.5	473.2
290223	other-flash	5	1	-1298	-202.9	369	37.13	1.005	0.4353	6	792	76.03	75.98	792	0.06755	194.7	8.245	0.9962	7.425	3.2	166.2	339.7
65289	crosser-ok	6	1	-2.772	-0.4332	731	88.37	0.9465	0.7609	5	1722	167.9	73.84	642	1.884	-0.2729	0.7061	1	4.949	13.18	157.4	386.2
65053	other-flash	9	1	0.7353	0.1149	561	46	0.8694	0.321	9	1005	117.2	73.51	696	1.182	-90.9	90.79	1	5.694	1.725	-139	47.51
50831	crosser-ok	1	0	177.5	-27.74	1362	189.4	1.923	0.7199	16	1566	150.6	72.66	745	1.61	27.18	0.5563	1	2.378	12.49	79.97	376.2
282204	other-flash	1	0	-1268	198.2	356	35.37	1.36	0.4819	14	659	69.86	69.85	659	0.735	-51.71	146.5	1	3.936	3.211	-170	20.51
348889	other-flash	6	0	-719.9	112.5	1957	211.5	2.332	0.4932	20	1141	86.7	68.62	744	4.52	-2.08	110.4	1	10	8.371	39.36	246
281527	other-flash	5	1	-737.4	-115.3	1966	121.1	1.161	0.5098	4	2368	218.8	68.51	705	0.09	109.5	5.716	0.997	4.69	2.741	117.6	340.5
290316	other-flash	8	0	-469.7	73.41	1195	114.8	0.1783	0.5691	17	1691	165.9	65.96	612	1.429	-27.12	46.29	1	2.236	4.516	117.7	439.8
279564	other-flash	10	1	-1070	-167.3	1396	197.9	1.307	0.4139	4	754	72.76	63.81	582	0.0559	162.8	4.483	0.9973	3.611	3.249	148.3	443.3
291499	other-flash	8	1	-1341	-209.6	304	35.85	1.241	0.3305	11	1294	94.91	63.27	916	0.3031	57.54	152	0.9845	6.201	3.594	-168	448.7
62495	crosser-ok	14	1	-691.5	-108.1	3903	354.5	3.639	0.3055	7	817	64.08	62.85	801	2.076	107.2	0.8507	1	8.17	4.322	-139.1	385.5
388752	crosser-ok	3	0	-764.9	119.5	3232	329.8	0.3069	0.347	19	532	61.47	61.46	532	0.9317	-118.7	0.816	1	7.719	0.3462	-139.8	226.1
59459	other-flash	4	0	264	-41.27	3646	408.2	7.325	0.4642	19	952	57.06	56.88	761	7.325	121.7	80.45	1	14.89	5.269	138.9	330.9
291768	other-flash	24	1	-204.8	-32.01	1090	117.3	1.876	0.4331	8	593	55.74	55.73	593	0.0006	-150.6	182.6	1	0.7237	3.593	155.2	446.9
284769	other-flash	6	1	-1303	-203.6	305	34.13	1.268	0.5524	5	502	53.21	53.2	502	0.0179	132.5	71.12	1	3.726	1.468	-167.3	280.4
285979	crosser-ok	6	1	-1301	-203.4	453	47.34	1.486	0.6058	2	504	50.14	50.14	504	0.2351	203.1	0.2827	1	3.802	0.8686	20.41	354.1
395654	other-flash	10	1	-1204	-188.2	491	52.77	0.4761	0.8537	4	563	50.01	49.98	563	5.79	133.1	55.02	1	4.048	13.28	-51.46	242.2
57487	crosser-ok	22	1	31.43	4.912	197	68.44	1.29	0.7216	6	1729	180	49.88	428	0.03996	-4.697	0.2156	1	3.127	11.91	93.97	344.1
353487	other-flash	10	1	-1163	-181.7	504	47.12	0.9744	0.9696	3	130	48.87	48.87	130	0.6618	-6.679	188.4	1	1.517	3.952	-165.6	453
285979	crosser-ok	1	0	-1300	203.1	504	50.14	0.5177	0.5939	13	453	47.34	47.35	453	1.768	-203.4	0.2827	1	4.544	0.8689	20.4	354.1
292533	crosser-ok	11	1	173.3	27.09	2434	205.5	0.958	0.4628	11	2902	269.3	46.14	426	0.0202	-26.45	0.6371	0.9997	3.102	7.19	27.87	403.6
313781	other-flash	6	1	-1348	-210.7	389	42.66	1.085	0.417	8	556	53.37	45.4	470	1.711	128.4	82.32	1	5.901	1.573	-162.9	24.86
349945	other-flash	12	1	-293.1	-45.81	4428	413.6	1.205	0.5154	7	379	44.21	44.21	379	0.8927	-0.2275	46.04	1	2.084	9.099	-161.7	81.11
287181	other-flash	17	1	-672.6	-105.1	6910	391.6	3.786	0.638	10	433	42.37	42.35	433	4.099	108.3	3.172	1	10.78	0.6597	169.4	106.7
277958	UNMATCHED	3	0	-699.2	109.3	1280	146.5	0.5616	0.8432	17	402	42.06	41.76	396	0.5618	0	109.3	1	0.1506	4.321	178.1	91.82
398084	crosser-ok	10	1	-349.4	-54.61	3492	392.5	1.16	0.4447	6	441	37.51	37.48	441	0.0903	54.77	0.1618	0.9887	2.959	5.475	-168.7	238.3
404772	crosser-ok	9	0	2.373	-0.3708	5314	520.6	3.939	0.3796	12	324	35.72	35.73	324	1.125	-0.4511	0.8219	1	4.99	4.036	-106.5	469.5
288327	other-flash	3	0	-1374	214.8	463	38.75	0.1116	0.3749	21	315	34.89	34.89	315	0.7372	-100.8	113.9	1	4.019	8.178	-93.51	480.7
57333	other-flash	8	1	-1401	-219	294	30.03	0.2493	0.4601	4	353	32.82	32.81	353	0.06354	215.7	3.273	0.915	11.81	1.321	101	156.1
284596	other-flash	5	0	-1365	213.4	335	38.3	0.2616	0.5305	19	491	32.57	32.59	491	1.825	-207.5	5.859	1	3.814	5.136	169.8	419.8
57333	other-flash	1	0	-1380	215.7	353	32.82	2.584	0.4805	15	308	31.08	32.17	271	2.271	-219	3.273	1	2.23	0.8169	101.2	156.3
401208	other-flash	9	1	-1332	-208.2	291	25.84	1.336	0.8876	4	237	27.99	27.99	237	1.649	153.8	54.43	1	1.287	8.976	99.1	485.2
284637	crosser-ok	15	1	-651.1	-101.8	2795	248.7	0.8943	0.5253	8	230	27.49	27.49	230	0.0439	102.6	0.8049	0.9957	2.163	2.99	-176.7	141.2
321371	other-flash	7	1	79.87	12.48	3739	343.2	0.4217	0.3957	4	286	27.02	27	286	3.235	-8.412	4.072	1	3.936	3.9	-98.36	13
59753	crosser-ok	7	0	51.83	-8.101	4371	445.4	0.1028	0.4163	12	259	26.57	26.57	259	1.353	7.408	0.6928	1	8.127	5.25	180.7	441.1
284596	crosser-ok	19	1	-1318	-206	252	46.37	4.539	0.8483	5	227	25.81	25.81	227	5.477	207.5	1.546	1	3.794	2.506	-157.1	382.6
59753	crosser-ok	19	1	47.4	7.408	509	152.6	0.6604	0.4335	5	4402	450.9	22.46	221	0.03522	-8.101	0.6928	0.9923	5.202	11.97	180.4	441.1
57883	crosser-ok	3	0	-232.6	36.36	3131	293.4	0.9658	0.7562	25	851	71.41	22.21	219	1.278	-36.72	0.3546	1	5.298	16.94	-129.4	47.39
167640	other-flash	9	1	2.463	0.385	3866	362.4	0.5143	0.3808	3	280	20.38	20.38	280	0.2017	-142.8	142.4	1	4.483	2.383	181.1	142.1
279432	other-flash	6	0	-1128	176.4	1530	103.4	0.07177	0.5533	15	170	18.69	18.69	170	1.635	-80.29	96.07	1	2.031	3.271	79.11	486.9
57487	crosser-ok	8	0	30.05	-4.697	1725	179.7	0.137	0.793	18	197	68.44	17.3	182	1.075	4.912	0.2156	1	2.807	12	93.92	344.1
169356	other-flash	5	0	-570.2	89.12	2261	257.4	0.4141	0.5293	12	191	16.03	16.03	191	0.7266	0.264	89.38	1	2.79	1.19	188.3	148.5
71376	crosser-ok	6	1	-87.51	-13.68	3454	325.3	3.332	0.4694	5	139	12.41	12.41	139	2.082	14.06	0.3779	1	1.37	9.847	181.4	380.7
172794	crosser-ok	22	1	-716.2	-111.9	3359	519.9	1.042	0.5215	7	89	11.63	11.63	89	1.042	112.8	0.8443	1	10.24	14.75	-9.032	11.7
