event	kind	main_id	side	flash_t	label	k_npts	k_len	k_len_nusel	k_dcath	k_dirx	k_rms	p_cid	p_npts	p_len	p_ext	p_ncorr	p_dcath	p_rms	p_matched	p_beam	gap2d	angle	other_beam_flash_empty	y_cath	z_cath
280769	already-in-main	11	1	0.836	TGM	2499	184.3	426.5	1.197	0.3275	0.606	4	2333	239.6	208.9	1370	0.1293	0.5907	1	1	3.142	1.2	0	24.97	300.4
53196	already-in-main	19	0	2.058	TGM	1931	186.2	462.2	0.1373	0.5397	1.684	19	7478	275.3	205.2	4143	0.4419	0.6988	1	1	3.61	4.233	0	36.97	371.3
82608	already-in-main	14	0	1.97	STM	1983	197.7	399.9	0.1246	0.9925	0.3734	25	1890	201.5	201.5	1882	0.4419	0.3589	1	0	0.9233	0.7986	0	145.4	55.53
175814	already-in-main	11	0	1.681	nu-candidate	1912	190.2	390.8	0.0809	0.4095	0.5675	13	2156	200.9	200.4	1743	1.067	0.6135	1	1	5.415	3.852	0	135	318.5
82608	already-in-main	14	1	1.97	STM	1887	200.6	399.9	0.7498	0.9935	0.3589	12	1983	197.7	197.7	1942	0.1293	0.3734	1	1	0.9086	0.7986	0	145.6	54.86
393823	already-in-main	18	0	0.705	TGM	2816	261.3	447	0.2395	0.8036	0.6617	22	1896	192.1	192.1	1871	1.067	1.327	1	1	1.674	1.417	0	88.48	331
175814	already-in-main	11	1	1.681	nu-candidate	2156	200.9	390.8	1.33	0.3582	0.6135	8	1903	187.8	186.7	1606	0.1293	0.5675	1	1	5.501	3.852	0	134.9	318.4
280769	already-in-main	11	0	0.836	TGM	2328	239	426.5	0.26	0.3437	0.592	17	2499	184.3	184.3	2359	1.067	0.606	1	1	3.401	1.131	0	25.36	301.1
90751	already-in-main	21	1	0.229	TGM	4158	226.7	450.3	0.4776	0.8345	2.427	12	2672	223.5	182.7	1882	0.1293	1.794	1	1	1.772	9.023	0	-14.2	145.9
172015	already-in-main	12	0	0.639	TGM	2289	229.3	442.9	0.2292	0.8658	0.4962	20	1574	211.3	177.3	1562	0.4419	0.5114	1	1	0.5232	1.893	0	119.7	163.1
165060	already-in-main	10	1	2.041	TGM	4107	384.8	560.3	0.4483	0.3967	0.5803	9	1916	173.9	173.7	1884	0.1293	0.5777	1	1	3.131	1.171	0	65.27	155.2
396663	already-in-main	18	1	0.454	TGM	3107	363.4	483.4	0.5129	0.4099	0.5478	11	2283	171.5	169.4	1596	0.1293	0.6914	1	1	10.91	0.631	0	-63.92	196.4
51890	already-in-main	15	0	0.618	nu-candidate	1273	120.9	286	0.2269	0.4249	0.7282	24	1649	163.5	162.5	906	0.7545	0.5504	1	1	3.319	4.913	0	74.19	179.3
82102	already-in-main	10	0	1.038	STM	2328	272.6	482	0.2915	0.4931	0.5285	22	1477	207.2	161.9	1285	0.7545	0.7503	1	1	2.899	3.965	0	-20.53	223.3
395003	already-in-main	16	0	1.717	TGM	3611	462.8	556.6	0.0851	0.691	0.4786	16	2921	262.9	155.6	1558	0.1293	0.4664	1	0	0.4141	0.8278	0	16.52	39.96
409888	already-in-main	13	0	0.723	nu-candidate	2130	149.1	372.5	0.241	0.4205	0.5865	24	2224	236	153.6	1384	1.38	0.8667	1	1	4.216	3.574	0	-54.11	223.5
391525	already-in-main	10	1	1.498	TGM	1431	135.1	542.8	0.04971	0.3489	0.8592	5	4716	404.1	151.4	1697	0.4419	0.9037	1	1	1.187	2.147	0	154.5	125.7
400117	already-in-main	15	1	1.648	nu-candidate	1233	145.2	305.3	1.325	0.5736	0.4727	7	1894	157.8	147.6	893	0.1293	0.4601	1	1	3.852	3.115	0	-64.23	272.7
348682	already-in-main	11	1	0.605	nu-candidate	1040	134.3	300.9	1.163	0.516	0.5374	10	1406	175.4	146.3	664	0.1293	0.5499	1	1	2.685	2.071	0	-55.07	214.6
393823	already-in-main	18	1	0.705	TGM	1893	191.9	447	1.175	0.7947	1.327	7	2765	253.8	143.9	1467	0.1293	0.6571	1	1	1.612	1.591	0	88.47	330.3
57577	already-in-main	13	1	1.651	nu-candidate	896	204.1	217.8	1.325	0.4773	0.6475	4	1435	159.2	143.7	1263	0.1293	0.5291	1	1	4.409	0.6317	0	-77.51	303
161725	already-in-main	13	1	1.002	TGM	6114	227.9	457.4	0.286	0.6406	0.8833	6	1469	148.7	142.2	1339	0.1293	0.5748	1	0	2.832	3.351	0	94.09	93.89
52693	already-in-main	18	0	1.459	nu-candidate	1218	106.9	249.7	0.9826	0.7581	0.5393	22	1022	154.7	139.3	978	0.7545	0.5143	1	1	0.5484	1.055	0	-129.3	33.62
398181	already-in-main	9	1	1.505	nu-candidate	1994	115.9	265.4	3.803	0.5213	0.5553	5	1111	136	135.4	1091	1.692	0.5291	1	1	4.415	4.767	0	100.1	405.1
391525	already-in-main	10	0	1.498	TGM	4713	403.5	542.8	0.676	0.3686	0.9034	14	1433	135.1	135	1433	0.1293	0.8592	1	1	1.118	2.07	0	154.4	125.8
103270	already-in-main	11	1	1.807	TGM	510	46.32	402.3	1.036	0.509	1.226	4	3358	353.7	134.6	1323	0.1293	0.8307	1	1	2.505	4.055	0	172.5	190.4
95162	already-in-main	11	1	1.943	TGM	303	37.62	198.1	0.4345	0.8018	0.4682	3	1580	159.3	133.7	1326	0.4419	0.5159	1	1	1.486	4.112	0	139.6	95.85
322907	already-in-main	20	1	1.488	nu-candidate	182	104.8	165.4	0.363	0.8546	0.575	4	1736	134.4	133.6	769	0.1293	0.732	1	1	1.206	12.05	0	185.3	98.48
400117	already-in-main	15	0	1.648	nu-candidate	1894	157.8	305.3	0.07435	0.5878	0.4601	20	1251	145.2	131.9	1107	1.067	0.4727	1	1	3.835	3.115	0	-64.55	273.7
54717	already-in-main	13	0	1.317	TGM	3232	343.7	476.7	0.02258	0.4858	0.6178	18	1083	130.8	130.8	1083	0.7545	0.5552	1	1	2.38	1.287	0	88.92	231.6
53793	already-in-main	12	0	1.102	nu-candidate	2374	251.5	424.8	3.74	0.5383	0.5772	20	2211	161.9	130	1228	3.568	0.5596	1	1	4.864	3.528	0	1.166	250.5
414200	already-in-main	6	1	0.88	nu-candidate	424	43.33	183.6	0.8927	0.5804	0.4554	3	1441	137.2	129.1	858	0.4419	0.4604	1	1	1.422	1.961	0	-147.7	469
66366	already-in-main	22	0	1.844	nu-candidate	1634	163.1	360.2	0.1049	0.4453	0.5299	24	1398	195.7	124.9	1234	1.38	0.5463	1	1	6.446	2.485	0	-141.9	361.4
322509	already-in-main	17	0	1.419	STM	1835	166.9	343.9	0.3515	0.3303	0.6903	9	2104	176.1	122.5	1165	0.4419	0.71	1	1	5.354	4.141	0	-117.9	169.7
390744	already-in-main	11	0	1.324	nu-candidate	234	35.04	303.8	0.02488	0.7458	2.708	13	1887	275.5	122.1	924	0.4419	0.48	1	1	4.409	6.579	0	-192.8	317.6
82102	already-in-main	10	1	1.038	STM	1477	207.2	482	0.9179	0.4661	0.7503	14	2306	272.7	121.8	992	0.1293	0.5295	1	1	2.798	3.929	0	-20.28	222.3
72848	already-in-main	18	0	0.403	TGM	2349	262	448.2	0.5049	0.6693	0.6017	26	1987	182.7	119.3	992	0.1293	0.5116	1	1	0.2815	8.559	0	90.55	113.3
283591	already-in-main	14	1	0.977	nu-candidate	2599	175.1	264.4	0.283	0.5904	0.5327	4	1361	144.3	118.1	960	0.1293	0.7021	1	1	1.374	2.726	0	163.2	139.8
176951	already-in-main	7	0	0.677	STM	112	41.72	131.2	0.2357	0.5635	0.5607	16	959	117.2	117	932	0.4419	0.528	1	1	2.358	13.13	0	12.96	92.47
77604	already-in-main	9	0	1.877	TGM	2099	193.3	508.8	0.4253	0.649	1.302	14	3548	312.6	116	1246	1.067	1.31	1	1	2.403	8.267	0	-49.54	422.6
72940	already-in-main	10	1	1.483	nu-candidate	1632	151.1	280.4	0.9863	0.761	0.4678	13	1015	141.2	114	977	0.1293	0.5775	1	1	1.212	5.741	0	-47.2	405
69952	already-in-main	15	1	1.996	TGM	710	80.01	310.2	1.381	0.8845	0.4529	12	2633	228.9	113.6	1209	0.1293	1.652	1	1	2.288	2.607	0	-165.9	200.2
294174	already-in-main	16	1	0.869	nu-candidate	5070	194.1	242.1	1.203	0.6917	0.4972	9	752	112.2	111.6	552	0.4419	0.4814	1	1	2.041	2.249	0	-28.01	285.9
72940	already-in-main	10	0	1.483	nu-candidate	1013	141	280.4	0.04884	0.7069	0.579	25	1632	151.1	110.9	875	0.7545	0.4678	1	1	1.171	5.729	0	-47.1	405.6
179246	already-in-main	14	1	0.533	nu-candidate	514	195.1	185.5	1.15	0.8732	0.4467	4	972	110	110.1	972	0.1293	0.437	1	1	1.336	4.792	0	-117.9	283.1
409888	already-in-main	13	1	0.723	nu-candidate	2224	236	372.5	1.493	0.4091	0.8667	10	2132	149.2	109.8	1340	0.1293	0.5866	1	1	4.137	3.619	0	-53.96	222.5
171770	already-in-main	15	0	0.84	TGM	2429	269.9	426.5	0.2605	0.4352	0.9861	19	1614	153.2	107.3	997	0.7545	0.6435	1	1	4.921	4.792	0	-19.81	271
51890	already-in-main	15	1	0.618	nu-candidate	1649	163.5	286	0.8512	0.3936	0.5504	9	1250	130.5	107.1	901	0.1293	0.728	1	1	3.272	4.892	0	74.19	178.9
52693	already-in-main	18	1	1.459	nu-candidate	1611	280.4	249.7	0.9799	0.7585	0.5143	11	1218	106.9	106.9	1206	0.7545	0.5393	1	1	0.5462	1.055	0	-129.4	32.95
160031	already-in-main	15	1	1.944	nu-candidate	1162	135.2	390.5	0.7473	0.4882	0.5877	13	2096	249.4	105.7	860	2.317	0.5274	1	1	4.525	5.788	0	-5.602	196.1
48444	already-in-main	11	1	0.52	TGM	1040	95.16	204.1	0.8362	0.3052	0.8091	7	1375	110.9	105.5	1340	0.1293	0.6824	1	1	4.166	4.234	0	111.8	39.28
294174	already-in-main	16	0	0.869	nu-candidate	1451	205.8	242.1	0.5789	0.7091	0.4814	19	5070	194.1	105.4	761	1.067	0.4972	1	1	2.037	2.249	0	-28.12	286.5
398181	already-in-main	9	0	1.505	nu-candidate	1111	136	265.4	1.928	0.5125	0.5291	12	1994	115.9	104.7	1145	3.568	0.5553	1	1	4.436	4.767	0	100.3	405.5
396761	already-in-main	15	1	1.466	nu-candidate	430	46.25	155.2	1.609	0.5672	0.4902	7	1036	107.6	104.7	832	0.1293	0.4799	1	1	1.84	1.925	0	25.59	462.9
394131	already-in-main	26	0	1.083	TGM	3530	367.4	497	0.2986	0.5453	0.5503	31	1058	129.3	101	1023	1.067	0.5754	1	1	3.575	0.3516	0	132.1	326.8
395870	already-in-main	16	1	0.909	nu-candidate	2344	209.3	314	1.522	0.4651	0.594	12	1506	156.4	100.1	956	0.1293	0.5245	1	1	3.763	1.525	0	-138.8	334.3
76998	already-in-main	17	1	1.955	nu-candidate	639	63.72	239.6	1.373	0.8012	0.526	5	1144	171.3	98.01	770	0.1293	0.4797	1	1	3.603	6.096	0	150.1	315.5
173180	already-in-main	15	1	1.269	STM	1751	195.6	557	0.956	0.5629	0.5679	6	3154	360.4	97.25	867	0.4419	0.7371	1	1	3.82	1.772	0	-56.21	197.8
72174	already-in-main	5	0	0.971	nu-candidate	660	72.4	173.5	0.2815	0.4789	0.5892	12	1034	97.1	96.88	989	1.067	0.5588	1	1	2.829	5.487	0	-39.46	323.4
158601	already-in-main	12	1	1.783	TGM	4168	263.5	415.6	1.658	0.611	0.4751	7	1984	192.8	95.23	921	0.1293	1.384	1	0	2.343	3.049	0	25.94	467.2
48444	already-in-main	11	0	0.52	TGM	1338	105.4	204.1	0.2105	0.3704	0.6757	15	1040	95.16	95.14	1040	0.7545	0.8091	1	1	4.382	4.085	0	111.3	39.83
99716	already-in-main	13	1	0.62	nu-candidate	508	230.7	326	0.2271	0.3575	0.5802	7	4311	312	93.6	1107	0.1293	0.6675	1	1	2.714	5.039	0	30.64	139.5
75554	already-in-main	4	1	1.889	nu-candidate	1805	222.9	514.3	0.7371	0.6882	0.5292	14	862	92.81	92.8	862	0.7545	0.4418	1	1	2.915	1.134	0	-34.12	46.4
283591	already-in-main	14	0	0.977	nu-candidate	1357	144.2	264.4	0.282	0.589	0.699	12	1134	119.7	92.76	769	0.1293	0.5327	1	1	1.477	2.754	0	163.2	140.8
173180	already-in-main	15	0	1.269	STM	3117	360.4	557	0.6402	0.5449	0.738	10	1751	195.6	89.81	738	0.7545	0.5679	1	1	3.874	1.747	0	-56.58	198.7
69144	already-in-main	13	1	0.634	nu-candidate	701	64.12	175.2	1.479	0.4929	0.6204	9	847	87.86	87.85	847	0.1293	0.6478	1	1	4.149	0.4772	0	80.05	425.6
66366	already-in-main	22	1	1.844	nu-candidate	1398	195.7	360.2	1.667	0.4151	0.5463	3	1642	163.9	87.21	880	0.1293	0.5299	1	1	6.554	2.485	0	-142	361.3
242726	already-in-main	20	1	1.836	nu-candidate	695	78.82	195.8	0.7293	0.6284	0.5313	10	1410	122.2	86.22	778	0.1293	0.5189	1	1	2.099	2.111	0	57.24	202.3
73732	already-in-main	15	1	1.94	TGM	736	65.47	289.3	1.372	0.8696	1.032	3	2377	224.6	86.1	982	0.1293	0.9452	1	1	2.083	7.702	0	-173	190.9
407798	MISSING-main-also-crosses	25	0	1.519	TGM	2946	314.9	473.2	0.05213	0.3825	0.589	17	1033	105.9	85.88	810	1.067	0.4778	1	0	13.01	13.25	0	109.9	318
388323	already-in-main	23	1	0.899	nu-candidate	1388	138.7	227.4	0.895	0.5074	0.5802	14	827	86.02	85.55	710	0.1293	0.7459	1	1	0.3151	5.834	0	-190.9	373.6
319057	already-in-main	13	1	1.552	TGM	3799	270.5	523.4	1.31	0.759	1.588	8	3003	252.2	85.23	978	0.1293	1.062	1	1	2.673	3.72	0	30.41	467.4
397873	already-in-main	17	0	0.849	STM	619	66.99	155.8	2.764	0.5717	0.5545	19	824	83.18	83.1	824	0.4419	0.5582	1	1	3.209	9.052	0	-97.93	73.19
53196	already-in-main	19	1	2.058	TGM	7972	433.9	462.2	0.7635	0.4993	0.6963	9	1931	186.2	81.54	823	0.1293	1.684	1	1	3.403	4.263	0	37.46	370.6
389225	already-in-main	9	1	2.016	nu-candidate	1068	386.1	198.2	1.07	0.7958	0.4763	8	1036	90.59	80.85	863	0.1293	0.4852	1	1	1.503	3.931	0	-121.7	435
348682	already-in-main	11	0	0.605	nu-candidate	1394	163	300.9	0.2239	0.4911	0.5499	19	1040	134.3	80.6	628	1.067	0.5374	1	1	2.69	2.071	0	-55.16	215.5
69952	already-in-main	15	0	1.996	TGM	2625	228	310.2	0.4413	0.903	1.652	23	710	80.01	80.26	694	1.067	0.4529	1	1	2.273	2.607	0	-166.2	200.8
70912	already-in-main	10	0	1.322	nu-candidate	857	89.85	354.8	0.02571	0.4621	0.5922	13	2540	266.1	79.97	650	0.4419	0.5528	1	1	3.13	12.68	0	79.31	393.1
160031	already-in-main	15	0	1.944	nu-candidate	2096	249.4	390.5	2.621	0.537	0.5274	19	1162	135.2	79.36	734	0.4419	0.5877	1	1	4.478	5.788	0	-5.725	197.3
394396	already-in-main	7	1	1.522	nu-candidate	395	45.11	199.5	1.618	0.7129	0.553	6	1294	153.4	79.27	704	0.1293	0.4718	1	1	0.7679	2.85	0	15	467.8
242726	already-in-main	20	0	1.836	nu-candidate	2281	118.4	195.8	0.1037	0.6387	0.5189	20	695	78.82	78.82	672	0.4419	0.5313	1	1	2.093	2.111	0	56.83	203.1
70186	already-in-main	11	1	1.035	nu-candidate	1281	127.4	247.9	1.541	0.5189	0.5176	8	800	123.1	78.53	696	1.38	0.5807	1	1	5.014	7.634	0	-150.7	55.07
57148	already-in-main	15	0	0.533	TGM	2963	320.6	432	3.026	0.6051	1.558	10	914	101.3	78.16	688	2.943	1.086	1	1	2.262	5.452	0	128.2	120.9
96130	already-in-main	18	0	0.203	TGM	1407	142.3	221	0.7862	0.4798	0.5013	19	689	77.96	77.93	689	0.4419	0.5272	1	1	4.43	0.7015	0	-131.3	20.61
388323	already-in-main	23	0	0.899	nu-candidate	1071	211.1	227.4	0.2691	0.5697	0.7364	23	1397	209.4	77.72	709	0.7545	0.5802	1	1	0.4539	5.55	0	-191	374.6
389225	already-in-main	9	0	2.016	nu-candidate	1046	242.2	198.2	0.4438	0.769	0.4852	21	899	95.6	76.75	645	0.7545	0.4763	1	1	1.546	3.931	0	-121.8	435.9
393515	already-in-main	16	1	1.36	TGM	478	371.1	123.5	0.9667	0.475	0.4428	7	672	76.03	75.95	672	0.1293	0.4793	1	1	4.861	1.208	0	-151	448.7
397379	already-in-main	13	1	1.63	nu-candidate	756	71.96	149.6	1.009	0.8539	0.4508	12	742	75.32	75.29	706	0.4419	0.4645	1	1	2.453	2.327	0	-60.01	140.9
70186	already-in-main	11	0	1.035	nu-candidate	800	123.1	247.9	1.542	0.4621	0.5807	16	1281	127.4	75.11	639	1.38	0.5176	1	1	5.048	7.634	0	-151	55.51
474678	already-in-main	17	0	1.987	nu-candidate	572	36.67	102.6	0.3978	0.4888	0.6732	14	672	74.85	74.85	672	0.1293	0.5609	1	1	2.036	1.802	0	192.8	60.22
319057	already-in-main	13	0	1.552	TGM	2996	251.8	523.4	0.05751	0.7768	1.072	19	3813	271.5	73.57	1532	1.067	1.588	1	1	2.654	3.694	0	30.1	468
174736	already-in-main	13	0	1.887	STM	198	166.7	200.3	0.4237	0.5136	0.6108	13	1363	172	72.9	637	0.1293	0.6416	1	1	2.053	2.55	0	-81.23	14.82
72174	already-in-main	5	1	0.971	nu-candidate	1034	97.1	173.5	1.219	0.4401	0.5588	6	660	72.4	72.45	659	0.1293	0.5892	1	1	2.87	5.487	0	-39.6	322.8
100564	already-in-main	8	0	1.593	nu-candidate	1005	92.22	166.7	0.06568	0.6718	0.5226	16	495	72.21	72.26	483	0.7545	0.4989	1	1	1.031	8.07	0	130.3	296.7
71466	already-in-main	9	1	1.078	STM	1062	115.1	186.7	1.548	0.3556	0.5696	9	650	71.8	71.73	650	1.067	0.5138	1	1	8.857	6.082	0	-169.3	62.74
397379	already-in-main	13	0	1.63	nu-candidate	742	75.32	149.6	0.6966	0.8415	0.4645	27	756	71.96	71.25	708	0.7545	0.4508	1	1	2.461	2.327	0	-60.28	141.6
280857	already-in-main	8	0	1.43	TGM	3164	317	372.6	0.04028	0.6611	0.535	18	869	67.95	67.94	844	0.4419	1.513	1	1	1.482	0.6019	0	151.3	210.4
67026	already-in-main	17	1	0.567	nu-candidate	760	212.1	333.7	0.8448	0.5011	0.5424	8	2736	269.6	66.89	569	0.1293	0.8441	1	1	6.376	1.271	0	178.7	286.8
397873	already-in-main	17	1	0.849	STM	824	83.18	155.8	0.5746	0.4992	0.5582	10	619	66.99	66.85	617	2.63	0.5545	1	1	3.209	9.052	0	-97.81	72.73
51208	already-in-main	11	0	1.487	TGM	3827	387.4	454.7	0.3618	0.4892	0.5582	13	759	66.63	66.63	759	0.7545	0.516	1	1	4.336	1.739	0	-140.3	172.3
392759	already-in-main	10	1	1.192	nu-candidate	506	116.3	235.3	0.941	0.8154	0.4571	7	937	122.1	66.43	676	0.4419	0.4815	1	1	0.9655	4.486	0	-117.2	93.56
317341	already-in-main	20	0	0.581	STM	422	32	348.7	0.222	0.4009	0.6616	22	3566	314.1	66.35	644	0.4419	0.5323	1	1	3.246	2.197	0	140.2	291.5
67026	already-in-main	17	0	0.567	nu-candidate	2724	269	333.7	0.218	0.5004	0.8592	14	610	66.08	66.06	610	0.7545	0.5424	1	1	6.562	1.785	0	178.7	287.7
77604	already-in-main	9	1	1.877	TGM	3536	312.6	508.8	1.361	0.548	1.31	6	2099	193.3	64.71	724	0.1293	1.302	1	1	2.485	8.267	0	-49.81	422
73732	already-in-main	15	0	1.94	TGM	2375	223.9	289.3	0.1199	0.9279	0.9452	19	736	65.47	64.62	651	1.067	1.032	1	1	2.128	7.702	0	-173.3	191.7
77922	already-in-main	17	0	0.554	STM	509	396	133.8	0.2156	0.6467	0.5805	23	714	83.82	64.45	655	1.067	0.4815	1	1	1.225	12.3	0	-166.5	283.1
52638	already-in-main	16	0	1.846	TGM	2352	280.1	402.4	0.7304	0.5808	0.8731	25	691	179.3	63.77	571	0.1293	0.5261	1	1	1.056	0.6952	0	157.7	110.3
76998	already-in-main	17	0	1.955	nu-candidate	1144	171.3	239.6	0.1222	0.7921	0.4797	14	639	63.72	63.63	639	1.067	0.526	1	1	3.633	6.096	0	150.2	316.3
54629	already-in-main	15	1	1.249	nu-candidate	1884	260.2	156	0.3253	0.5974	2.239	2	611	73.53	61.86	498	0.1293	0.5103	1	1	1.273	8.715	0	86.67	44.3
280225	already-in-main	15	0	1.304	STM	371	57.8	119.4	1.271	0.5578	0.5085	15	541	68.98	61.81	518	0.7545	0.496	1	1	3.346	7.213	0	-150.1	28.06
280945	already-in-main	5	1	1.994	nu-candidate	313	114.1	166.2	1.066	0.491	0.5643	9	740	76.66	61.32	541	0.1293	0.5504	1	1	0.5702	2.079	0	128.9	320.8
56257	already-in-main	13	0	1.057	STM	323	47.35	127.5	1.233	0.6984	0.5516	17	747	86.65	60.89	488	1.067	0.4955	1	1	2.518	8.821	0	-158.5	65.82
50182	already-in-main	10	0	1.956	nu-candidate	363	28.47	144.5	0.1223	0.7597	0.4463	17	885	120.6	59.58	545	1.067	0.4732	1	1	2.475	0.8331	0	-118.1	321.1
180117	already-in-main	12	0	1.266	nu-candidate	3128	295.1	419.6	2.203	0.6107	0.5893	11	1039	114.3	58.28	579	0.7545	0.4798	1	1	2.907	5.918	0	-107.2	433.7
79491	already-in-main	6	1	0.551	nu-candidate	159	15.25	82.2	0.841	0.9823	0.4017	7	1134	69.54	57.99	538	0.4419	0.5271	1	1	0.559	11.45	0	68.11	215.3
70912	already-in-main	10	1	1.322	nu-candidate	2547	266	354.8	0.6486	0.4063	0.5528	9	860	90.05	57.29	545	0.1293	0.5872	1	1	3.103	12.71	0	79.66	392.9
