mode,sample,apa,event,flash_index,time_ns,total_pe,n_active_pmt,n_zero_excl_chmask,n_zero_incl_chmask,min_pe_active,min_nonzero_pe
mc,10,0,12,15,1256.65,365.443,53,7,14,0,0.5496
mc,10,0,12,16,-973867,109.979,53,27,34,0,1.3916
mc,10,0,12,17,863490,81.4471,53,40,47,0,1.83702
mc,10,0,12,18,-648655,176.55,53,37,44,0,1.3418
mc,10,0,14,0,120557,12600,53,5,12,0,6.4132
mc,10,0,14,1,-837323,22378.9,53,4,11,0,194.851
mc,10,0,14,2,-225191,20054.4,53,4,11,0,7.451
mc,10,0,14,3,945833,1563.97,53,24,31,0,1.2744
mc,10,0,14,4,-1.1729e+06,2352.13,53,12,19,0,2.00045
mc,10,0,14,5,139641,7734.83,53,4,11,0,2.64
mc,10,0,14,6,688225,1376.54,53,13,20,0,1.6376
mc,10,0,14,7,381027,984.481,53,8,15,0,2.7317
mc,10,0,14,8,-495390,954.509,53,23,30,0,1.7248
mc,10,0,14,9,270459,162.978,53,29,36,0,1.2616
mc,10,0,14,10,227581,123.208,53,39,46,0,0.55275
mc,10,0,14,11,-1.30783e+06,58.2856,53,38,45,0,1.6233
mc,10,0,18,0,-188835,44924.2,53,4,11,0,127.976
mc,10,0,18,1,717270,28345.7,53,4,11,0,29.0048
mc,10,0,18,2,1187.12,24476.1,53,4,10,0,154.548
mc,10,0,18,3,863638,22652.6,53,4,11,0,196.578
mc,10,0,18,4,991709,13899.9,53,4,11,0,66.4605
mc,10,0,18,5,-1.20462e+06,9676.02,53,5,12,0,5.15895
mc,10,0,18,6,-1.09082e+06,3706.82,53,4,11,0,11.0468
mc,10,0,18,7,1.04499e+06,1153.25,53,36,43,0,2.10905
mc,10,0,18,8,-1.15805e+06,3746.57,53,4,11,0,15.113
mc,10,0,18,9,633185,2024.74,53,9,16,0,1.63375
mc,10,0,18,10,1.3879e+06,1818.61,53,6,13,0,1.731
mc,10,0,18,11,-392147,1525.17,53,5,12,0,1.24115
mc,10,0,18,12,-876248,1107.64,53,21,28,0,1.7705
mc,10,0,18,13,1.35592e+06,529.341,53,34,41,0,1.09738
mc,10,0,18,14,-37888,427.833,53,34,41,0,0.45135
mc,10,0,18,15,-1.10983e+06,633.515,53,29,36,0,1.89735
mc,10,0,18,16,94678.7,555.554,53,16,23,0,1.7692
mc,10,0,18,17,-569701,706.743,53,24,31,0,1.8843
mc,10,0,18,18,-1.21291e+06,531.238,53,16,23,0,1.24965
mc,10,0,18,19,-148486,306.808,53,32,39,0,0.85645
mc,10,0,18,20,611887,214.902,53,44,51,0,2.29
mc,10,0,18,21,-360365,28.9632,53,48,55,0,2.83225
mc,10,0,18,22,444291,68.8273,53,38,45,0,1.79742
mc,10,0,18,23,-180008,49.4144,53,35,42,0,0.8623
mc,10,0,31,0,-963073,30992.1,53,4,11,0,41.0808
mc,10,0,31,1,835694,20688.5,53,4,11,0,78.1076
mc,10,0,31,2,239347,14834.5,53,4,11,0,27.9247
mc,10,0,31,3,675200,5704.66,53,4,11,0,16.8931
mc,10,0,31,4,-1.49559e+06,636.48,53,19,26,0,2.272
mc,10,0,31,5,-422773,752.448,53,27,34,0,1.48615
mc,10,0,31,6,753221,294.077,53,31,38,0,1.65823
mc,10,0,31,7,-1.03804e+06,269.175,53,20,27,0,1.31162
mc,10,0,31,8,1.18196e+06,216.791,53,27,34,0,1.57733
mc,10,0,31,9,-716439,75.3455,53,35,42,0,1.48575
mc,10,0,31,10,1.4515e+06,103.513,53,41,48,0,2.0022
mc,10,0,31,11,853.913,120.367,53,21,27,0,0.8292
mc,10,0,35,0,30089.3,16376.7,53,5,12,0,3.0773
mc,10,0,35,1,600768,22159.8,53,4,11,0,37.5296
mc,10,0,35,2,-158740,15434.6,53,4,11,0,5.6672
mc,10,0,35,3,714953,19045.2,53,4,11,0,68.0524
mc,10,0,35,4,-430367,23527,53,4,11,0,156.337
mc,10,0,35,5,1.14948e+06,13264,53,4,11,0,55.9829
mc,10,0,35,6,-523257,14518,53,4,11,0,53.3529
mc,10,0,35,7,-104165,5258.36,53,7,14,0,4.95847
mc,10,0,35,8,438975,6217.65,53,4,11,0,28.3468
mc,10,0,35,9,906409,5869.7,53,4,11,0,23.3787
mc,10,0,35,10,-713367,5070.55,53,4,11,0,23.7298
mc,10,0,35,11,-1.37189e+06,1686.74,53,23,30,0,1.7985
mc,10,0,35,12,114244,995.515,53,18,25,0,1.7229
mc,10,0,35,13,-1.15151e+06,979.327,53,4,11,0,3.851
mc,10,0,35,14,1098.38,391.19,53,11,17,0,0.5393
mc,10,0,35,15,406997,499.434,53,20,27,0,1.58645
mc,10,0,35,16,-1.15973e+06,373.802,53,18,25,0,0.477825
mc,10,0,35,17,1.01521e+06,204.107,53,29,36,0,1.52245
mc,10,0,35,18,-210593,254.651,53,16,23,0,1.5748
mc,10,0,35,19,-1.29958e+06,190.107,53,21,28,0,1.4903
mc,10,0,35,20,167186,172.846,53,25,32,0,0.93495
mc,10,0,35,21,1.39959e+06,164.131,53,29,36,0,1.23455
mc,10,0,41,0,1.05303e+06,38201,53,4,11,0,65.8643
mc,10,0,41,1,1.40795e+06,33579.6,53,4,11,0,72.5304
mc,10,0,41,2,29465.4,29752,53,4,11,0,82.5381
mc,10,0,41,3,-67110.7,31057.2,53,4,11,0,43.006
mc,10,0,41,4,-1.41012e+06,21756.8,53,4,11,0,17.0047
mc,10,0,41,5,434992,22479.8,53,4,11,0,40.8523
mc,10,0,41,6,-1.17741e+06,24549.5,53,4,11,0,71.9728
mc,10,0,41,7,1.22885e+06,9984.32,53,4,11,0,8.6946
mc,10,0,41,8,-30124.8,19069.6,53,4,11,0,88.1816
mc,10,0,41,9,-836722,11030.5,53,4,11,0,61.2524
mc,10,0,41,10,764645,4782.24,53,4,11,0,20.7089
mc,10,0,41,11,-869657,4034.83,53,4,11,0,15.0322
mc,10,0,41,12,1.32609e+06,4813.64,53,4,11,0,15.3172
mc,10,0,41,13,-19699.1,713.076,53,18,25,0,0.8888
mc,10,0,41,14,-1.05486e+06,712.887,53,19,26,0,1.5671
mc,10,0,41,15,62171.7,1266.58,53,12,19,0,1.7178
mc,10,0,41,16,220734,363.418,53,15,22,0,2.34645
mc,10,0,41,17,-312986,335.498,53,23,30,0,1.09763
mc,10,0,41,18,-410649,170.504,53,36,43,0,1.34812
mc,10,0,41,19,1.23806e+06,212.36,53,27,34,0,0.6878
mc,10,0,41,20,-530641,217.616,53,37,44,0,1.2188
mc,10,0,41,21,96764.3,136.929,53,35,42,0,1.51087
mc,10,0,41,22,-667188,158.653,53,29,36,0,1.89428
mc,10,0,41,23,780176,149.395,53,28,35,0,1.27705
mc,10,0,41,24,-430839,272.217,53,38,45,0,1.94345
mc,10,0,41,25,1.0241e+06,116.31,53,35,42,0,1.858
mc,10,0,42,0,886234,26158.2,53,4,11,0,209.664
mc,10,0,42,1,-193390,12533.9,53,6,13,0,3.8789
mc,10,0,42,2,1.44965e+06,13981.7,53,4,11,0,18.8561
mc,10,0,42,3,-1.36794e+06,12615.7,53,4,11,0,25.8414
mc,10,0,42,4,-225408,8979.77,53,4,11,0,41.695
mc,10,0,42,5,256697,3735.13,53,7,14,0,1.48492
mc,10,0,42,6,-330085,4121.53,53,11,18,0,1.59338
mc,10,0,42,7,937038,4687.17,53,5,12,0,3.5966
mc,10,0,42,8,-906967,3673.32,53,4,11,0,6.3025
mc,10,0,42,9,1555.44,3125.48,53,4,10,0,5.0678
mc,10,0,42,10,12309.3,3688.65,53,8,15,0,0.50805
mc,10,0,42,11,-1.41719e+06,1434.13,53,20,27,0,1.35775
mc,10,0,42,12,1.23373e+06,1616.39,53,9,16,0,2.37968
mc,10,0,42,13,1.45766e+06,957.47,53,9,16,0,1.06437
mc,10,0,42,14,-949743,600.84,53,20,27,0,1.60145
mc,10,0,42,15,182540,186.29,53,34,41,0,1.2318
mc,10,0,42,16,420744,162.173,53,40,47,0,1.96498
mc,10,0,42,17,418810,112.848,53,39,46,0,2.7109
mc,10,0,42,18,569127,48.3635,53,41,48,0,1.6714
mc,10,0,42,19,629877,107.109,53,34,41,0,1.4765
mc,10,1,2,0,702990,31773.7,48,1,13,0,16.2296
mc,10,1,2,1,-725617,22981.3,48,1,13,0,101.653
mc,10,1,2,2,-13873.8,14464.4,48,1,13,0,14.4921
mc,10,1,2,3,-995713,5606.48,48,3,15,0,6.9444
mc,10,1,2,4,-1.19679e+06,4836.8,48,1,13,0,21.3125
mc,10,1,2,5,993550,2190.12,48,2,14,0,4.75953
mc,10,1,2,6,-393935,2089.88,48,2,14,0,7.114
mc,10,1,2,7,-1.39809e+06,2745.59,48,6,18,0,1.5222
mc,10,1,2,8,-1.17559e+06,1177.43,48,22,34,0,0.9339
mc,10,1,2,9,1.17178e+06,2715.56,48,19,31,0,1.6078
mc,10,1,2,10,-1.09979e+06,595.572,48,14,26,0,1.94288
mc,10,1,2,11,1.40861e+06,328.781,48,29,41,0,1.04185
mc,10,1,2,12,851456,172.279,48,26,38,0,0.89455
mc,10,1,2,13,-1.23539e+06,420.18,48,5,17,0,1.763
mc,10,1,2,14,-1.06076e+06,31.0365,48,35,47,0,1.0222
mc,10,1,2,15,-515330,34.1787,48,37,49,0,1.58805
mc,10,1,9,0,355167,88629,48,1,13,0,13.3472
mc,10,1,9,1,-1.27788e+06,46324.4,48,1,13,0,13.0108
mc,10,1,9,2,743115,25918.6,48,2,14,0,6.055
mc,10,1,9,3,-1.48196e+06,19444.3,48,1,13,0,12.1646
mc,10,1,9,4,-842502,22054.9,48,1,13,0,48.844
mc,10,1,9,5,-1.41961e+06,13267,48,1,13,0,61.9001
mc,10,1,9,6,-1.13546e+06,4300.39,48,4,16,0,2.23833
mc,10,1,9,7,-669455,1217.41,48,20,32,0,1.17313
mc,10,1,9,8,840446,559.06,48,23,35,0,2.3801
mc,10,1,9,9,1.18822e+06,449.572,48,15,27,0,1.2232
mc,10,1,9,10,382356,266.49,48,22,34,0,1.78363
mc,10,1,9,11,1.51247e+06,155.98,48,37,49,0,2.0474
mc,10,1,9,12,-512265,137.187,48,28,40,0,1.17038
mc,10,1,9,13,832976,67.2338,48,28,40,0,1.35612
mc,10,1,9,14,1.21288e+06,43.7612,48,39,51,0,1.1962
mc,10,1,11,0,354778,35308.7,48,1,13,0,105.658
mc,10,1,11,1,807394,19528.1,48,1,13,0,6.92855
mc,10,1,11,2,-221448,22504.3,48,1,13,0,19.3531
mc,10,1,11,3,1.40919e+06,18366.3,48,1,13,0,48.7169
mc,10,1,11,4,1.01829e+06,18134.8,48,1,13,0,127.785
mc,10,1,11,5,-375983,22112.7,48,5,17,0,1.396
mc,10,1,11,6,1.0094e+06,5905.32,48,1,13,0,27.3644
mc,10,1,11,7,-1.21167e+06,2316.56,48,13,25,0,1.02855
mc,10,1,11,8,173698,2543.72,48,6,18,0,2.98815
mc,10,1,11,9,530348,3434.7,48,1,13,0,13.8714
mc,10,1,11,10,511156,2699.31,48,2,14,0,4.06305
mc,10,1,11,11,16590.5,1686.81,48,18,30,0,1.1765
mc,10,1,11,12,-1.17357e+06,2785.33,48,2,14,0,2.8741
mc,10,1,11,13,-34821.3,1524.59,48,16,28,0,1.47725
mc,10,1,11,14,-1.34673e+06,1096.26,48,17,29,0,1.2956
mc,10,1,11,15,118110,518.52,48,10,22,0,1.45123
mc,10,1,11,16,-1.36108e+06,681.708,48,19,31,0,1.8838
mc,10,1,11,17,1.30092e+06,342.189,48,20,32,0,1.61392
mc,10,1,11,18,795.181,284.908,48,9,21,0,0.5511
mc,10,1,11,19,1.39186e+06,82.7764,48,36,48,0,1.88325
mc,10,1,11,20,-985613,77.3159,48,33,45,0,1.94303
mc,10,1,11,21,96540.1,106.544,48,30,42,0,0.9723
mc,10,1,11,22,775276,212.82,48,13,25,0,1.61555
mc,10,1,11,23,291496,75.9053,48,36,48,0,1.577
mc,10,1,11,24,1.21176e+06,63.9767,48,36,48,0,1.7055
mc,10,1,12,0,754556,23151.7,48,1,13,0,5.24518
mc,10,1,12,1,-641275,23851.6,48,1,13,0,5.92663
mc,10,1,12,2,863491,17645.9,48,1,13,0,26.7612
mc,10,1,12,3,1.22409e+06,19149,48,1,13,0,36.651
mc,10,1,12,4,671932,12759.8,48,1,13,0,66.0732
mc,10,1,12,5,-1.35066e+06,9291.51,48,1,13,0,39.8806
mc,10,1,12,6,1.20019e+06,6827.56,48,1,13,0,3.5471
mc,10,1,12,7,717208,1826.33,48,6,18,0,1.368
mc,10,1,12,8,484099,1649.66,48,1,13,0,3.7086
mc,10,1,12,9,-1.29871e+06,1421.77,48,5,17,0,1.9864
mc,10,1,12,10,533695,619.445,48,27,39,0,1.84815
mc,10,1,12,11,968298,1143.23,48,5,17,0,1.671
mc,10,1,12,12,837637,1047.82,48,12,24,0,1.24248
mc,10,1,12,13,-68390.2,893.385,48,10,22,0,1.7047
mc,10,1,12,14,-674798,166.25,48,30,42,0,1.168
mc,10,1,12,15,-17739,86.2417,48,34,46,0,1.6132
mc,10,1,12,16,-973862,151.971,48,24,36,0,1.001
mc,10,1,12,17,1.23697e+06,65.7416,48,37,49,0,2.2185
mc,10,1,12,18,-1.18994e+06,62.0751,48,32,44,0,1.23725
mc,10,1,14,0,-1.43021e+06,26540.5,48,1,13,0,21.0666
mc,10,1,14,1,1.42947e+06,29736.8,48,1,13,0,123.276
mc,10,1,14,2,1.16829e+06,17461.8,48,6,18,0,1.66597
mc,10,1,14,3,-115655,31530.8,48,1,13,0,98.617
mc,10,1,14,4,-1.21066e+06,15171.9,48,2,14,0,2.8325
mc,10,1,14,5,381019,20286.8,48,1,13,0,119.269
mc,10,1,14,6,-606499,8988.76,48,1,13,0,16.5348
mc,10,1,14,7,-78768.1,5090.45,48,10,22,0,1.38735
mc,10,1,14,8,-1.30786e+06,3992.19,48,12,24,0,1.33262
mc,10,1,14,9,270451,6693,48,1,13,0,26.2031
mc,10,1,14,10,116912,3931.13,48,3,15,0,5.077
mc,10,1,14,11,-423704,6599.09,48,1,13,0,20.4023
mc,10,1,14,12,-871088,5077.69,48,1,13,0,15.3717
mc,10,1,14,13,1300.35,2542.04,48,3,15,0,0.9771
mc,10,1,14,14,975868,1956.12,48,13,25,0,1.2755
mc,10,1,14,15,139661,853.618,48,10,22,0,2.1333
mc,10,1,14,16,1.27539e+06,688.06,48,31,43,0,1.91972
mc,10,1,14,17,1.46576e+06,319.023,48,25,37,0,1.4599
mc,10,1,14,18,177887,624.662,48,20,32,0,1.44758
mc,10,1,14,19,-225176,56.2941,48,36,48,0,1.2999
mc,10,1,14,20,-711114,585.777,48,35,47,0,1.4868
mc,10,1,14,21,471035,54.0402,48,36,48,0,1.36647
mc,10,1,18,0,-1.47897e+06,34987.2,48,1,13,0,50.0323
mc,10,1,18,1,-392142,15470.9,48,1,13,0,27.8529
mc,10,1,18,2,656399,9445.59,48,8,20,0,2.94592
mc,10,1,18,3,-1.15807e+06,18240.5,48,1,13,0,82.2358
mc,10,1,18,4,318287,8254.14,48,1,13,0,9.9864
mc,10,1,18,5,-1.09082e+06,6194.58,48,1,13,0,26.3127
mc,10,1,18,6,759505,5648.87,48,4,16,0,2.23232
mc,10,1,18,7,444275,2678.9,48,5,17,0,3.3791
mc,10,1,18,8,1.46244e+06,2645.17,48,6,18,0,2.28718
mc,10,1,18,9,-1.42443e+06,1567.22,48,8,20,0,1.704
mc,10,1,18,10,-1.21291e+06,1068.02,48,6,18,0,3.712
mc,10,1,18,11,340502,241.131,48,16,28,0,1.1126
mc,10,1,18,12,-1.2046e+06,131.752,48,21,33,0,0.5923
mc,10,1,18,13,1.36768e+06,153.29,48,32,44,0,1.05685
mc,10,1,18,14,1281.89,224.051,48,4,16,0,1.2224
mc,10,1,18,15,-529844,148.78,48,31,43,0,1.7178
mc,10,1,18,16,-1.50438e+06,64.185,48,32,44,0,1.85167
mc,10,1,18,17,1.46198e+06,45.5479,48,36,48,0,1.41903
mc,10,1,18,18,94688.1,60.763,48,37,49,0,2.2256
mc,10,1,31,0,-994708,20419,48,2,14,0,9.389
mc,10,1,31,1,-156317,14028.4,48,1,13,0,13.0061
mc,10,1,31,2,-716438,16950,48,1,13,0,43.2825
mc,10,1,31,3,442.959,14903.2,48,1,13,0,45.827
mc,10,1,31,4,530365,4251.03,48,1,13,0,4.93005
mc,10,1,31,5,-33178,2519.93,48,9,21,0,1.4948
mc,10,1,31,6,-1.49559e+06,446.047,48,14,26,0,1.32112
mc,10,1,31,7,-1.36116e+06,277.375,48,13,25,0,1.823
mc,10,1,31,8,675216,70.1175,48,35,47,0,1.7404
mc,10,1,31,9,313436,85.1301,48,32,44,0,1.7102
mc,10,1,31,10,835706,88.4701,48,35,47,0,1.79778
mc,10,1,35,0,1.40428e+06,33804.5,48,1,13,0,69.3636
mc,10,1,35,1,-1.18205e+06,23366,48,1,13,0,28.8416
mc,10,1,35,2,1.14747e+06,22437.2,48,1,13,0,46.8226
mc,10,1,35,3,-713360,22568,48,1,13,0,58.838
mc,10,1,35,4,-1.22318e+06,17095.6,48,1,13,0,6.9548
mc,10,1,35,5,-1.15152e+06,20617.6,48,1,13,0,175.248
mc,10,1,35,6,168566,11935.5,48,1,13,0,6.9602
mc,10,1,35,7,-210601,17478.4,48,1,13,0,88.6885
mc,10,1,35,8,906393,22599.7,48,1,13,0,125.013
mc,10,1,35,9,-1.29959e+06,8049.34,48,1,13,0,18.212
mc,10,1,35,10,438980,8116.76,48,1,13,0,36.0025
mc,10,1,35,11,1.34572e+06,4474.86,48,4,16,0,3.28525
mc,10,1,35,12,407004,2439.24,48,3,15,0,4.16742
mc,10,1,35,13,-1.15973e+06,2553.55,48,4,16,0,1.707
mc,10,1,35,14,416373,426.697,48,26,38,0,1.97623
mc,10,1,35,15,1.3256e+06,517.405,48,35,47,0,2.21172
mc,10,1,35,16,-913247,502.77,48,26,38,0,1.29195
mc,10,1,35,17,290624,167.377,48,26,38,0,1.381
mc,10,1,35,18,1101.74,232.266,48,10,22,0,0.4297
mc,10,1,35,19,462825,66.8968,48,34,46,0,0.97125
mc,10,1,35,20,-430346,82.1612,48,30,42,0,1.2702
mc,10,1,35,21,714945,87.3661,48,31,43,0,1.6782
mc,10,1,35,22,-522114,35.5295,48,38,50,0,1.5236
mc,10,1,41,0,764627,26900.8,48,1,13,0,74.8678
mc,10,1,41,1,-672914,25417.6,48,1,13,0,48.8745
mc,10,1,41,2,1.32607e+06,34734.7,48,1,13,0,144.526
mc,10,1,41,3,1.20443e+06,24176.5,48,1,13,0,50.3274
mc,10,1,41,4,-1.50601e+06,7793.89,48,13,25,0,1.824
mc,10,1,41,5,434977,17263.9,48,1,13,0,75.9377
mc,10,1,41,6,-869675,26124.4,48,1,13,0,80.5337
mc,10,1,41,7,780156,15549.3,48,1,13,0,58.2597
mc,10,1,41,8,-836730,12402.1,48,1,13,0,66.8837
mc,10,1,41,9,-1.36863e+06,5840.7,48,5,17,0,2.4496
mc,10,1,41,10,532.168,3430.69,48,1,13,0,1.7128
mc,10,1,41,11,-75140.1,3822.26,48,4,16,0,1.70705
mc,10,1,41,12,62167.2,1346.3,48,3,15,0,2.73855
mc,10,1,41,13,29489,1527.13,48,2,14,0,5.08945
mc,10,1,41,14,96754.4,1050.82,48,11,23,0,1.26087
mc,10,1,41,15,-859889,576.117,48,23,35,0,1.038
mc,10,1,41,16,-1.4199e+06,827.424,48,13,25,0,1.32662
mc,10,1,41,17,-1.15926e+06,928.785,48,21,33,0,2.10165
mc,10,1,41,18,-370174,511.038,48,26,38,0,2.18845
mc,10,1,41,19,-151847,340.827,48,24,36,0,1.3644
mc,10,1,41,20,998179,150.365,48,39,51,0,0.983375
mc,10,1,41,21,-1.16839e+06,422.122,48,29,41,0,1.57252
mc,10,1,41,22,-480747,108.868,48,40,52,0,2.59368
mc,10,1,41,23,220301,162.731,48,19,31,0,1.03188
mc,10,1,41,24,1.2129e+06,288.427,48,15,27,0,0.68635
mc,10,1,41,25,1.33441e+06,44.1731,48,33,45,0,0.4931
mc,10,1,42,0,209062,32450.7,48,1,13,0,26.699
mc,10,1,42,1,-1.06561e+06,20097.5,48,1,13,0,138.974
mc,10,1,42,2,495043,10755.1,48,4,16,0,3.835
mc,10,1,42,3,-225416,14246.4,48,1,13,0,60.7537
mc,10,1,42,4,-906961,8472.87,48,1,13,0,16.126
mc,10,1,42,5,543305,3134.77,48,7,19,0,1.7499
mc,10,1,42,6,1.18366e+06,2301.58,48,8,20,0,1.92785
mc,10,1,42,7,1.2302e+06,1890.71,48,1,13,0,4.1055
mc,10,1,42,8,1.17178e+06,255.89,48,30,42,0,2.004
mc,10,1,42,9,-173543,266.099,48,35,47,0,1.967
mc,10,1,42,10,199707,378.989,48,23,35,0,1.5208
mc,10,1,42,11,763860,157.377,48,29,41,0,1.5496
mc,10,1,42,12,344737,107.34,48,29,41,0,1.0032
mc,10,1,42,13,1.46812e+06,128.937,48,27,39,0,0.700625
mc,10,1,42,14,-1.43396e+06,245.692,48,27,39,0,1.6576
mc,10,1,42,15,886257,140.703,48,23,35,0,0.95755
mc,10,1,42,16,1569.49,130.251,48,20,32,0,0.682625
data,10,0,659242,0,1.51515e+06,17944.2,53,4,10,0,12.5357
data,10,0,659242,1,547291,8407.51,53,4,10,0,3.5708
data,10,0,659242,2,-1.43775e+06,13427.6,53,4,10,0,16.4587
data,10,0,659242,3,1.06386e+06,5317.02,53,4,10,0,5.84635
data,10,0,659242,4,-206671,16754.8,53,4,10,0,2.6877
data,10,0,659242,5,183457,3384.96,53,4,10,0,9.52125
data,10,0,659242,6,-102812,3712.08,53,4,10,0,7.45188
data,10,0,659242,7,-751.564,1327.28,53,4,10,0,2.60375
data,10,0,659242,8,117974,923.905,53,6,12,0,0.77625
data,10,0,659242,9,-196213,961.208,53,4,10,0,1.43667
data,10,0,659242,10,835588,690.687,53,15,21,0,0.70975
data,10,0,659242,11,-40706.8,548.615,53,11,17,0,0.585
data,10,0,659242,12,1.26075e+06,304.045,53,6,12,0,1.0674
data,10,0,659242,13,-909260,182.815,53,9,15,0,0.855
data,10,0,659242,14,1.49936e+06,190.153,53,6,12,0,0.391275
data,10,0,659242,15,1.34397e+06,143.858,53,12,18,0,0.72635
data,10,0,659286,0,650213,17838,53,4,10,0,36.641
