event	kind	gid	apa	t0	dx	k_npts	k_len	k_dcath	k_dirx	p_cid	p_npts	p_len	p_ext	p_ncorr	p_dcath	p_dx	disp	p_inrange	gap2d	angle	y_cath	z_cath
401527	crosser-ok	3	0	-209.6	32.76	699	65.25	0.1909	0.7665	15	2950	268.2	256	2695	0.8161	-33.72	0.9584	0.998	1.72	2.688	167.8	219.7
79418	crosser-ok	20	1	2.313	0.3616	5637	374.6	1.741	0.5727	6	2580	243.9	243.9	2580	0.8035	0.4312	0.7928	1	4.98	1.02	11.23	322.2
397476	other-flash	10	1	-215.8	-33.72	589	64.88	0.4801	0.6863	7	2430	233.2	233.2	2413	0.7927	-0.1714	33.89	1	0.8879	1.564	-41.86	23.33
317341	UNMATCHED	6	0	44.52	-6.959	2073	225.8	0.5232	0.8075	18	59699	592.3	233	850	0.102	0	6.959	0.9997	3.957	5.101	43.32	128.3
100245	crosser-ok	2	0	-75.48	11.8	1817	203.2	3.024	0.5303	24	3003	231.9	223.4	2171	0.2107	-11.58	0.2187	1	3.704	6.168	-82.76	128.6
78259	crosser-ok	7	0	127.4	-19.92	3125	332.6	0.6638	0.4219	22	2534	221.6	221.6	2427	0.3512	21	1.079	1	2.731	1.839	41.9	141.8
392900	crosser-ok	4	0	-443.9	69.38	2877	204.6	1.705	0.6601	14	2306	245	211.8	1793	0.7669	-70.17	0.7892	1	3.738	1.088	52.75	72.62
78259	crosser-ok	21	1	134.3	21	5965	312.6	1.431	0.4303	8	3125	332.6	210.6	1877	1.743	-19.92	1.079	1	7.344	1.839	41.89	141.7
69232	other-flash	11	1	81.65	12.76	2155	225.6	0.07467	0.4549	6	2707	221.8	210.3	1301	3.513	-101	88.2	1	2.487	4.986	5.419	115.7
77098	UNMATCHED	14	1	-386.9	-60.47	1911	208.8	0.2988	0.8312	10	2279	210.1	210.1	2235	0.2987	0	60.47	1	3.31	1.634	-1.743	459.3
91807	other-flash	13	1	-464.2	-72.55	1069	91.39	1.041	0.769	9	2338	208.4	208.4	2321	0.7285	39.18	33.37	1	0.8528	1.04	142.4	64.94
173108	other-flash	14	0	-1074	167.9	1507	108.3	3.262	0.3229	26	3486	203.6	203.7	3024	1.073	-135.3	32.55	1	5.328	6.705	-96.83	397.3
66718	other-flash	4	0	-830.2	129.8	1623	143.1	1.976	0.4389	14	2536	225.2	203.3	2083	1.976	-108.4	21.35	1	3.494	3.965	108.6	254.5
50801	other-flash	1	0	-350.5	54.79	529	56.83	0.6716	0.8738	18	1770	198.8	198.9	1686	1.297	-22.57	32.22	1	1.35	1.759	-168.9	332.1
172262	crosser-ok	17	0	184	-28.76	2747	292.6	2.943	0.9198	25	2092	223.8	198.3	1740	1.067	28.15	0.6067	0.9957	0.9832	7.862	37.09	114.7
74326	crosser-ok	11	1	-914.1	-142.9	1060	94.43	0.114	0.3894	9	3764	207.2	196.7	3218	0.1144	142.5	0.3841	0.9963	1.688	1.009	125.8	96.48
74810	crosser-ok	11	1	-208.5	-32.59	2705	219.6	1.611	0.3221	2	2031	207.8	194.1	1827	1.611	32.1	0.4957	1	3.362	3.586	1.808	397.5
99376	other-flash	9	1	-792	-123.8	1080	92.5	1.691	0.5602	2	1973	193.5	193.5	1925	0.1283	50.67	73.12	0.997	3.91	0.514	123	446.9
174230	other-flash	12	1	-835.8	-130.6	427	268.7	0.7872	0.5327	8	1555	213.2	192.3	1362	1.725	101.9	28.75	1	5.262	1.593	-165.8	22.02
499115	other-flash	3	0	-657.5	102.8	1547	204.3	0.8358	0.6886	11	1881	191.1	190.9	1799	0.523	-64.84	37.93	0.9926	1.382	2.088	26.69	108.9
394629	crosser-ok	15	0	-685.6	107.2	5800	452.6	0.186	0.3697	18	1989	189.8	189.8	1943	1.124	-108.1	0.9632	1	6.145	1.018	-17	403.1
394880	crosser-ok	10	0	119.6	-18.7	3367	282.1	0.0714	0.7084	19	1991	189.3	189.2	1955	1.322	17.9	0.798	1	1.901	0.9829	68.33	408.6
178350	other-flash	4	0	60.04	-9.385	290	25.51	0.4486	0.449	16	2043	192.9	188.2	1703	1.074	131	121.7	1	4.988	1.848	-175	463.1
401395	crosser-ok	8	0	-367.6	57.46	2264	218.4	0.1858	0.4752	14	2351	238.8	185.3	1359	1.124	-59.5	2.036	1	5.245	4.464	9.586	363.1
401395	crosser-ok	23	1	-380.7	-59.5	4387	237.8	0.0256	0.404	7	2268	218.5	183.4	1304	0.0256	57.46	2.036	0.9881	1.736	4.753	9.23	363.1
167744	other-flash	15	1	-28.31	-4.424	2092	147.2	2.895	0.3262	6	2922	305.1	180.3	1241	0.0814	-0.155	4.579	1	13.66	2.985	90.45	476.2
407886	UNMATCHED	10	1	-910.5	-142.3	414	434.3	0.9905	0.476	11	1920	179.4	179.5	1811	0.0525	0	142.3	0.9901	8.649	4.744	194.6	299
392637	crosser-ok	8	0	33.43	-5.225	1565	139.8	0.03976	0.6103	18	2838	337.3	179.2	1381	0.9776	5.466	0.2411	0.9884	1.822	3.816	-112.7	291.5
180000	other-flash	10	1	-8.743	-1.367	677	82.93	0.9509	0.5569	3	3644	239	177	1780	0.0131	-59.98	61.35	0.9931	7.196	2.566	189.3	309.9
94678	other-flash	12	1	-171.1	-26.74	3320	343.1	0.2694	0.4455	6	1493	173.3	173.3	1483	0.582	-20.49	47.24	1	3.018	4.576	-64.65	166.2
51722	other-flash	14	1	-437.1	-68.31	1823	175.8	0.9025	0.9467	9	2303	171.9	171.9	1980	0.9025	48.54	19.77	1	8.481	11.02	78.55	85.11
176159	other-flash	9	1	-674.1	-105.4	1692	167.7	1.049	0.7304	5	985	179.1	169.6	953	0.7364	87.09	18.27	1	3.43	2.859	-81.05	187
78120	other-flash	9	1	-545.6	-85.28	2960	317.4	3.942	0.5262	1	2226	251.9	168.1	1358	1.754	78.97	6.306	1	2.766	4.991	24.94	242
76059	crosser-ok	6	1	188.3	29.43	2015	214.3	3.616	0.9139	9	2269	228.7	168	1580	1.115	-30.65	1.214	0.9974	1.66	2.368	100.1	384
239932	other-flash	5	0	-601	93.93	1532	172.8	0.2875	0.7761	23	1287	169.7	167.9	1240	1.538	-31.49	62.44	1	1.251	3.389	12.32	348.5
76059	crosser-ok	11	0	196.1	-30.65	4476	394	2.329	0.9019	14	2021	215.1	166.5	1282	4.83	29.43	1.214	0.9916	2.722	2.368	100.1	384.1
286670	other-flash	17	1	-665.3	-104	1312	230.4	1.8	0.7788	6	1897	166	166	1856	0.0762	78.74	25.25	0.9979	5.526	0.6328	162.6	457.6
99218	other-flash	8	1	-921.9	-144.1	749	72.76	0.7746	0.5387	4	1748	163.9	163.9	1628	0.1494	73.01	71.08	0.9989	1.466	1.856	139.7	191.9
103270	crosser-ok	5	0	102.2	-15.98	3486	284.8	0.1641	0.3224	15	1864	166.5	159.1	1364	1.102	15.66	0.3176	1	7.168	3.493	-53.41	398
281743	other-flash	10	0	-952.3	148.8	630	201.6	1.018	0.4014	11	1371	160.3	159	1054	0.3933	-39.07	109.8	1	4.699	7.521	-89.21	7.561
389423	crosser-ok	6	0	-695.7	108.7	1282	175.2	1.421	0.8018	24	1473	156.4	156.1	1428	0.1702	-107.9	0.8798	1	2.465	0.8681	-107.4	331.8
74810	crosser-ok	16	0	-205.3	32.1	10724	416.6	2.107	0.3238	15	2705	219.6	153.3	1664	2.107	-32.59	0.4957	1	6.226	3.586	1.81	397.4
389423	crosser-ok	21	1	-690.1	-107.9	1473	156.4	1.05	0.8091	8	1282	175.2	153	1043	2.3	108.7	0.8798	1	3.702	0.8681	-107.4	331.8
178388	crosser-ok	9	0	-166.1	25.96	13247	394.5	0.1163	0.4905	13	1398	177.9	152.2	1336	1.054	-26.27	0.3115	1	2.798	2.183	66.26	210.8
76228	crosser-ok	15	1	-46.57	-7.279	2496	261.7	0.9781	0.7228	10	2654	264.7	150.2	1144	0.0403	6.159	1.12	0.9947	2.699	6.074	10.81	443.4
179325	other-flash	2	0	-1042	162.9	514	36.64	0.9918	0.4847	12	407	172.4	149.9	401	1.617	-7.141	155.8	1	5.423	2.671	166.7	52.37
285961	crosser-ok	8	1	-552.6	-86.37	3036	292.4	1.6	0.3638	4	1323	144.2	143.5	1292	0.0372	85.89	0.4753	1	5.619	0.05899	67.47	323.8
70112	other-flash	4	0	-778.1	121.6	1585	136.5	0.1159	0.7592	13	1241	142.5	142.5	1241	1.366	-56.41	65.21	1	1.226	0.959	-144.5	302.8
237798	crosser-ok	11	0	1.567	-0.245	5842	318	0.3743	0.7529	13	1505	164	140.9	1202	0.3743	0.0614	0.1836	1	1.121	4.724	118.7	105.7
392637	crosser-ok	20	1	34.97	5.466	3827	351.1	1.219	0.5723	9	1569	140	140	1548	0.0317	-5.225	0.2411	0.9975	1.986	4.118	-112.7	291.5
97539	crosser-ok	6	0	-344.5	53.85	3723	310	0.9883	0.4223	18	2244	150.5	139.8	1891	0.3631	-54.25	0.4075	1	3.904	12.64	-72.95	51.94
396805	crosser-ok	14	1	-784.6	-122.6	6514	302.7	0.3501	0.7792	4	1740	138.3	138.4	1535	0.037	121.8	0.8109	0.9989	0.867	1.854	96.44	334
78582	other-flash	4	1	-745.7	-116.5	1781	136.9	1.119	0.6123	9	619	173.4	138.3	451	1.433	85.98	30.57	1	1.778	4.032	96.74	224.9
72504	crosser-ok	13	1	-972.1	-151.9	822	76.33	0.1184	0.309	13	1232	133.6	133.6	1226	1.681	151.3	0.6639	1	0.3436	0.3755	167.7	123.2
164466	crosser-ok	6	1	-77.44	-12.1	2818	269.7	1.468	0.7587	6	1626	133.6	133.3	1513	3.343	12.99	0.8887	1	1.542	7.5	101.2	156.1
493659	other-flash	2	0	-851.1	133	660	63.05	0.8924	0.747	15	1122	133.1	133.1	1122	0.8922	-43.1	89.93	1	2.64	1.211	163.1	67.14
412396	other-flash	11	1	-1003	-156.7	1199	109.9	0.6376	0.5669	14	1225	134.6	131.4	1115	4.076	62.54	94.19	1	6.066	4.101	-109.1	93.96
392107	crosser-ok	17	1	-3.871	-0.605	9142	372.9	0.4622	0.4797	3	2436	241.3	130.5	1254	2.963	1.1	0.495	1	6.38	2.353	8.969	138.1
99284	other-flash	2	0	-1017	159	1386	119.4	0.2191	0.5804	15	1015	127.9	127.9	1015	0.8443	-51.02	108	1	2.411	2.561	71.75	397.8
396805	crosser-ok	13	0	-779.4	121.8	1791	454.3	0.5357	0.7995	16	1412	136.8	127.3	1259	1.161	-122.6	0.8109	1	1.977	1.991	96.53	334
175380	other-flash	5	1	-854	-133.5	929	110.4	1.382	0.5588	4	1937	190.2	125.4	1069	0.1316	47.62	85.85	0.999	5.704	4.379	-114.3	309.6
236610	other-flash	11	1	-945.7	-147.8	595	92.09	1.114	0.7205	4	3007	123.4	123.4	2710	0.1371	83.39	64.43	0.9953	5.06	1.255	170.3	395.7
181248	other-flash	7	0	-49.49	7.735	3430	315.2	0.2089	0.6341	19	1012	196.6	120.9	834	2.085	64.1	71.84	1	2.08	2.489	47.77	482.1
74414	crosser-ok	7	1	-366.5	-57.28	2131	210.7	0.05291	0.4455	3	3866	312.1	120.8	804	3.179	56.64	0.6445	1	2.852	9.787	-45.46	241.4
293536	UNMATCHED	20	1	-414.8	-64.83	2923	254.4	0.9463	0.6663	3	2215	267.5	119.1	1014	0.0085	0	64.83	1	2.491	3.043	-24.7	370.6
57731	crosser-ok	6	0	-949.8	148.5	2442	231.5	2.032	0.3133	22	2664	242.6	117.9	843	2.97	-148.1	0.3103	1	7.4	2.88	105	224.5
289818	UNMATCHED	22	1	195.9	30.61	955	105.3	2.297	0.8294	2	2194	273.5	115.4	937	3.234	0	30.61	0.9977	3.552	7.379	17.95	378.4
98760	other-flash	8	0	-6.543	1.023	1840	446.2	0.04445	0.4321	13	1799	192.6	114	991	0.6696	28.78	29.8	1	4.382	3.793	-92.99	349.9
237798	crosser-ok	9	1	0.3928	0.0614	1505	164	0.1907	0.7529	7	2208	252.2	112.7	856	0.1907	-0.245	0.1836	1	0.8453	4.724	118.7	105.7
474678	crosser-ok	3	0	154.7	-24.18	4701	326.8	0.8651	0.4458	12	1857	191	111.4	894	0.8651	25.37	1.187	1	5.974	1.155	-52.49	183
392107	crosser-ok	1	0	-7.038	1.1	2436	241.3	2.468	0.4469	8	2168	247.8	111.1	960	0.0329	-0.6049	0.4951	0.9885	4.573	2.353	8.884	138.1
98947	crosser-ok	18	1	159.3	24.9	3066	316.4	0.6502	0.6358	12	2369	214.1	109.5	987	0.6502	-26.02	1.114	1	1.83	1.033	25.46	105.8
73698	other-flash	2	0	-963.8	150.6	905	102.5	0.4745	0.7673	15	1042	107.3	107.2	1042	0.7873	-118.5	32.14	1	0.5438	2.536	56.7	364.6
168209	other-flash	13	0	-1200	187.5	2735	109	2.659	0.3298	15	1083	109.4	104.9	979	0.7829	-160.9	26.6	1	5.886	6.362	133.6	246.4
51546	other-flash	11	1	-181.6	-28.39	1802	163.7	0.8128	0.553	13	1215	117.9	102.8	1012	0.1876	-11.55	39.94	1	3.676	1.384	136	181.3
173582	other-flash	7	0	-441.2	68.96	1605	171.9	0.2573	0.5556	16	1053	102.7	102.7	1036	0.8825	6.2	75.16	1	1.173	2.647	121	60.5
411886	other-flash	18	1	-1092	-170.7	828	487.3	0.7018	0.6772	5	871	102.4	102.4	871	0.0766	69.84	100.9	1	1.725	4.239	-87.13	484.6
290938	crosser-ok	15	1	-221.5	-34.63	3237	319.9	0.2017	0.3853	2	1135	102	102	1135	3.015	35.1	0.4745	1	5.613	2.915	96.95	285.1
286049	crosser-ok	5	0	-579	90.5	1527	216.2	0.2822	0.6225	28	422	103	101.8	406	1.533	-92.3	1.798	1	3.936	3.822	120.3	440.2
73534	crosser-ok	7	0	-397.3	62.1	1475	145.9	0.2364	0.645	14	856	102.4	101.5	821	0.549	-62.5	0.3995	1	2.152	6.735	139.3	266.9
392723	other-flash	18	1	-789.9	-123.5	2665	315.7	1.391	0.5156	9	1022	115.3	98.26	836	0.4538	74.07	49.4	1	1.514	5.637	111.4	426.6
177917	other-flash	15	1	-1148	-179.4	628	69.97	1.059	0.5248	7	833	97.2	97.19	821	0.1212	107.1	72.32	1	3.733	2.52	-146.5	209.2
414240	other-flash	10	1	-984.5	-153.9	2634	246	1.3	0.3059	9	864	96.58	96.57	864	0.0499	38.34	115.5	1	7.621	0.2307	33.73	423.7
322113	other-flash	16	0	-1030	161	1126	439.7	2.024	0.7624	18	922	95.34	95.28	922	1.399	-142	18.94	1	1.89	8.152	-167.3	242.1
74326	crosser-ok	4	0	-911.6	142.5	3750	207.4	0.4981	0.3955	19	1060	94.43	94.8	1016	0.4985	-142.9	0.3841	1	3.382	0.9859	125.7	96.45
95713	other-flash	1	0	-1136	177.6	450	42.28	0.9954	0.5982	20	909	94.55	94.55	909	1.308	-163.6	14.06	1	1.443	1.666	-165.2	64.74
99232	UNMATCHED	10	1	-896.8	-140.2	2128	197.7	1.571	0.4329	6	2201	217.9	93.99	988	2.822	0	140.2	1	5.311	5.319	113.6	256.4
395223	other-flash	11	0	-456.1	71.29	5155	291	0.1144	0.7504	17	1392	101.9	91.85	1374	1.365	-31.04	40.25	1	2.732	1.622	-139.8	346.4
76228	crosser-ok	21	0	-39.4	6.159	6184	302.2	0.5353	0.7893	15	2530	305.3	91.55	866	2.098	-7.279	1.12	0.9822	4.204	6.035	10.82	443.4
165544	other-flash	2	0	-742.7	116.1	1250	118.8	2.838	0.5971	15	2055	207.3	91.52	863	0.9622	-103.4	12.63	1	1.925	4.64	-100.7	299.5
179303	other-flash	9	1	-1188	-185.7	520	58.31	0.0778	0.4317	6	513	90.69	90.66	513	0.703	114.8	70.89	1	3.708	5.36	-74.46	70.61
52880	other-flash	6	1	-595.5	-93.08	2585	283.7	0.8332	0.5284	9	893	90.64	90.66	869	0.8333	51.14	41.94	1	1.419	3.231	-124	106.3
100245	crosser-ok	17	1	-74.08	-11.58	14838	482.9	0.4294	0.5783	11	1817	203.2	89.54	756	3.243	11.8	0.2187	1	4.421	6.142	-82.73	128.6
72055	other-flash	5	1	-1070	-167.2	778	82.24	1.065	0.7478	4	762	89.27	89.26	762	0.1268	115	52.28	1	3.61	0.5036	-148.2	222.4
73534	crosser-ok	13	1	-399.9	-62.5	856	102.4	0.1495	0.6382	6	1527	213.9	88.64	734	0.1495	62.1	0.3995	0.9633	1.434	6.699	139.2	266.9
478594	other-flash	1	0	-1169	182.7	841	66.71	0.2506	0.3834	13	819	88.19	88.15	819	0.8764	-158.8	23.99	1	3.087	1.165	-154.1	439.1
71088	crosser-ok	14	1	-1151	-179.8	652	54.33	1.902	0.4032	3	922	87.73	87.66	922	0.02658	180.6	0.7501	0.9957	2.757	2.771	153.2	453.7
71646	other-flash	1	0	-517.5	80.88	2093	161.7	2.085	0.6717	16	2104	216.3	86.55	841	0.8347	-46.21	34.67	1	0.377	9.528	-84.85	243.5
95899	other-flash	4	0	-831.9	130	752	150	0.1392	0.6522	11	755	86.06	86.06	755	1.077	-45.48	84.55	1	2.134	1.272	80.71	402.7
169966	other-flash	12	1	-487.2	-76.15	1287	119.4	1.196	0.5857	10	2471	246.2	85.34	782	0.0548	64.46	11.69	0.9988	4.164	3.66	116	342.7
72254	other-flash	5	0	-1225	191.5	796	85.51	0.5405	0.3953	22	944	99.02	84.83	562	0.8529	-26.62	164.9	1	6.009	8.114	-95.46	431.1
355106	other-flash	15	1	-1179	-184.3	891	399.2	1.226	0.6519	7	798	84.76	84.75	767	0.024	98.34	85.94	0.9887	5.204	5.999	175.3	349.5
178388	crosser-ok	5	1	-168.1	-26.27	1398	177.9	0.7424	0.4773	7	2068	317.3	83.9	558	0.1172	25.96	0.3117	0.9623	1.711	2.182	66.28	210.8
414552	other-flash	2	0	-1218	190.4	242	27.14	0.7553	0.4088	16	913	98.16	83.88	778	1.068	-70.98	119.4	1	4.578	0.6712	173.3	45.8
283525	other-flash	3	1	-833.8	-130.3	889	88.48	0.7812	0.761	12	608	128.2	81.66	603	2.969	133.4	3.107	1	4.275	6.791	-142.2	127.7
287132	other-flash	3	0	-987.3	154.3	496	46.59	0.2356	0.8724	17	666	81.43	81.43	666	1.173	-98.88	55.44	1	4.338	2.7	173.5	316.9
71092	crosser-ok	8	1	-834.5	-130.4	2420	238.2	0.05509	0.4759	4	1835	186.2	81.03	785	0.0555	129.6	0.8019	0.9924	3.908	11.07	192.1	229.8
163507	other-flash	11	1	-1246	-194.7	873	129.1	0.5026	0.4228	14	1052	91.37	79.14	860	3.316	72.95	121.7	0.9943	4.265	5.48	-109.5	479.9
403419	other-flash	1	0	-618.4	96.66	1664	169.3	0.372	0.4619	13	1294	130.7	79.09	795	0.6845	-39.44	57.22	1	3.742	1.505	63.88	154.3
66278	other-flash	8	1	-1107	-173	791	83.49	0.633	0.6999	9	706	102.6	78.89	638	1.258	140.9	32.06	0.9235	2.211	2.43	63.46	74.39
493439	other-flash	11	0	0.9898	-0.1547	356	35.37	0.284	0.9391	18	1409	112.4	78.82	717	0.9092	92.15	91.99	1	1.405	1.206	-129.5	192.7
102643	other-flash	3	0	-1123	175.5	283	26.7	2.53	0.5089	24	1506	108.2	77.46	1001	0.9673	-61.5	114	1	6.068	11.05	-170.9	376.3
285680	other-flash	10	0	-242.9	37.97	1295	190.8	0.2977	0.6433	21	757	77.06	77.06	757	1.235	0.0854	38.05	1	2.288	1.013	137.6	27.02
72504	crosser-ok	17	0	-967.8	151.3	2728	369.1	2.345	0.3059	19	853	152.7	76.43	826	0.4695	-151.9	0.664	0.9683	3.418	0.4787	167.8	123.3
177477	crosser-ok	16	0	-295.2	46.14	8893	408.5	0.5619	0.7016	19	800	84.75	74.9	787	2.75	-47.3	1.15	1	3.266	0.9912	80	460
91653	other-flash	3	0	-1064	166.3	333	91.33	2.606	0.8186	11	698	74.49	74.48	698	0.4175	-131.2	35.17	1	0.5088	13	6.417	141.5
54450	other-flash	7	1	-1006	-157.3	724	77.03	0.7089	0.9783	10	774	112.5	74.24	751	1.021	54.65	102.6	0.9703	1.946	1.254	-138.4	13.86
78242	other-flash	8	0	1.907	-0.2981	2512	165.9	0.4274	0.5204	24	1542	164.7	74.2	734	0.74	134	133.7	1	3.252	1.525	18.48	197.6
473952	other-flash	19	0	-1311	204.9	1737	264	0.5861	0.3489	21	789	73.17	73.06	789	1.524	-170.7	34.2	1	8.142	1.953	-123	484.7
395223	other-flash	9	1	-676.7	-105.8	540	56.07	0.6376	0.4534	1	2962	286.8	72.64	769	0.0122	71.29	34.49	0.9953	4.654	7.251	151.6	373.1
398115	crosser-ok	6	1	0.5291	0.0827	4085	341.5	1.15	0.4051	8	846	97.09	72.17	830	0.212	-0.2902	0.2075	1	5.041	2.078	-81.57	472.5
68456	other-flash	6	1	-1333	-208.4	647	74.22	0.5482	0.3347	4	706	71.99	71.92	706	2.424	182.5	25.88	1	7.446	5.33	-76.24	113.4
53881	other-flash	16	1	-1291	-201.8	453	48.26	1.484	0.425	5	650	71.65	71.59	647	0.0793	45.79	156	0.9831	6.698	3.856	178.9	411.5
179928	other-flash	4	0	-1066	166.6	631	66.25	1.423	0.9106	11	460	70.11	70.08	460	0.7971	-83.49	83.08	1	1.906	2.991	60.5	84.87
97539	crosser-ok	16	1	-347.1	-54.25	2242	438.1	0.2682	0.4571	11	3723	310	69.09	898	0.5808	53.85	0.4075	1	3.264	12.47	-72.8	51.79
52693	crosser-ok	12	1	-1251	-195.5	199	53.68	0.9237	0.3124	9	578	69.04	68.87	565	0.01453	194.6	0.9327	0.9948	5.646	16.59	-175.1	274.4
397179	other-flash	28	0	-1176	183.8	2798	238.3	0.7453	0.6729	20	670	67.79	67.76	670	1.37	-97.14	86.67	1	1.069	4.48	-150	140.3
177156	other-flash	7	0	-724.9	113.3	1720	199.6	2.18	0.6312	20	1215	156.4	67.7	641	3.43	-28.18	85.12	1	3.938	12.34	68.01	385.4
396222	other-flash	3	0	-1130	176.6	355	33.24	0.1023	0.7272	17	309	67.22	67.19	309	1.353	0.3	176.9	1	0.8633	3.14	-188	49.4
72760	other-flash	18	1	-562.1	-87.86	5706	362	1.356	0.4404	7	1544	177.1	66.88	612	0.1059	35.51	52.35	1	3.005	2.149	-19.29	405.5
74414	crosser-ok	1	0	-362.4	56.64	3866	312.1	3.823	0.4193	10	2133	210.9	66.26	622	0.3848	-57.28	0.6445	1	4.618	9.984	-45.54	241.2
317911	other-flash	3	0	-842.7	131.7	257	31.22	0.9541	0.664	20	586	65.53	65.47	586	1.266	0.206	131.9	1	3.957	5.02	180.2	24.41
323917	other-flash	5	0	-136.7	21.36	4829	235.2	0.023	0.7111	22	1667	102.1	65.35	1088	1.273	129	150.4	1	3.464	9.587	45.29	493.3
322269	other-flash	17	1	-369.6	-57.76	142	485	1.447	0.4395	3	691	72.74	64.82	559	1.76	-38.43	96.19	1	10.8	11.06	199	474.1
71646	other-flash	23	0	-1029	160.8	833	368.1	0.2771	0.9189	18	189	64.19	64.18	189	3.091	0.619	161.5	1	1.85	3.416	-142.5	230.7
408678	other-flash	10	1	-991	-154.9	1992	204.5	1.218	0.3782	6	645	64.11	64.07	645	0.2797	147.3	7.634	1	4.442	1.632	-138.4	291.7
105074	other-flash	16	1	-622.7	-97.33	2921	261.9	2.21	0.4925	7	14648	442.8	64.04	737	3.46	-0.269	97.6	1	8.276	2.788	76.55	122.7
53658	other-flash	18	1	-1124	-175.7	609	143.8	0.7762	0.886	4	512	63.42	63.42	512	0.4636	121.3	54.39	1	0.7173	0.7835	181.4	164.2
73068	other-flash	16	0	-1192	186.3	907	407.8	0.7504	0.7202	16	558	62.7	62.69	558	1.375	-154.1	32.26	1	3.111	1.67	172.8	32.54
90597	crosser-ok	13	1	-1260	-196.9	315	33.59	0.4468	0.5922	14	587	62.32	62.37	573	0.134	196.4	0.4895	0.9659	1.764	0.03771	181	195.5
77328	other-flash	10	1	-1129	-176.5	412	62.54	1.855	0.888	4	467	61.09	61.08	467	0.0207	108.7	67.71	0.9957	4.184	1.567	160.6	322.3
394417	other-flash	2	0	-1320	206.3	343	38.55	1.114	0.4642	14	545	60.22	60.22	545	0.8013	-87.1	119.2	1	3.068	2.224	-164.6	18.95
49984	other-flash	18	0	-1239	193.7	832	163.7	0.2367	0.6631	24	590	60.28	60.07	578	0.5495	-75.65	118.1	1	3.072	8.444	14.89	372.6
71022	crosser-ok	14	1	-876.3	-137	1106	369.8	1.337	0.8982	8	1090	79.38	58.06	847	0.3996	137.1	0.1746	1	1.549	5.337	-164.9	416.6
93696	other-flash	4	1	-1322	-206.6	356	37.78	0.8076	0.4654	4	568	57.88	57.88	568	0.1824	198.6	8	1	2.13	0.2389	165.2	172.9
96636	other-flash	15	1	-1127	-176.1	1178	382	0.942	0.9779	9	499	57.09	57.09	499	0.317	134.1	42.06	1	1.551	3.621	-123.1	428.7
401527	crosser-ok	7	1	-215.7	-33.72	2942	255.7	0.1703	0.7777	5	700	65.46	56.21	541	0.1423	32.76	0.9584	0.9871	1.733	2.64	167.8	219.7
71088	crosser-ok	4	0	-1155	180.6	904	86.48	0.2147	0.3895	12	652	54.33	54.27	652	1.153	-179.8	0.7501	1	2.834	3.574	153.1	453.9
51128	crosser-ok	22	1	1.67	0.261	1097	296.8	0.07768	0.738	7	3089	283.3	54.21	546	0.0777	-1.044	0.7831	0.9981	2.534	9.031	196.3	39.03
319913	other-flash	8	1	28.88	4.514	129	380.8	5.269	0.7526	3	532	54.87	53.49	492	4.018	-0.1165	4.398	1	11.75	15.7	-112.5	355.1
70084	other-flash	2	0	-1236	193.2	626	55.97	2.029	0.703	19	548	53.27	53.24	485	1.091	-28.79	164.4	1	2.62	5.596	97.5	320.1
