mode,channel,apa_side,meas_sum,pred_sum,n_bundles
mc,220,0,20269.3,18518.2,56
mc,224,0,18200.9,16394.5,56
mc,225,1,19123,13073.7,47
mc,227,1,15372.3,11994.1,47
mc,240,0,13388.6,10240.1,56
mc,241,1,9945.41,6703.81,47
mc,242,0,18143.8,15144.8,56
mc,243,1,18553.7,10932.1,47
mc,244,0,20709.4,19579.1,56
mc,246,0,30470.7,22186.3,56
mc,247,1,17542.3,8040.39,47
mc,250,0,14542.5,11382,56
mc,251,1,11933.1,8595.37,47
mc,270,0,6379,12256.9,56
mc,271,1,4252.57,7711.21,47
mc,272,0,6424.39,16637.1,56
mc,273,1,4880.63,7771.29,47
mc,274,0,5217.16,12601,56
mc,275,1,4360.58,7778.62,47
mc,294,0,12021.4,8276.1,56
mc,295,1,15734.1,4999,47
mc,296,0,20018,17671.4,56
mc,297,1,44215,8982.7,47
mc,298,0,15411.6,13575.2,56
mc,299,1,23678.7,7317.11,47
mc,300,0,14732,12497.2,56
mc,301,1,20671.1,5899.79,47
mc,303,1,18792.5,5867.84,47
mc,304,0,15833.5,12209.5,56
mc,305,1,20886.4,6849.32,47
data,6,0,7991.33,9263.16,55
data,7,1,6935.94,6281.7,46
data,8,0,11320.4,11514.5,55
data,9,1,11252.2,10577,46
data,10,0,14612.3,11328.7,55
data,11,1,11182.1,11003.1,46
data,12,0,10122.5,10009.1,55
data,13,1,7509.22,9807.75,46
data,14,0,9904.9,12844.9,55
data,15,1,7845.51,8838.58,46
data,16,0,11688.6,8273.66,55
data,17,1,5701.61,6721.2,46
data,36,0,3724.41,13807,55
data,37,1,4179.05,9550.75,46
data,38,0,5100.3,13861.5,55
data,40,0,4375.81,14958,55
data,41,1,4186.11,9928.31,46
data,60,0,18605.4,14279,55
data,61,1,7563.49,7105.42,46
data,62,0,19279,19719.5,55
data,63,1,11145.4,11389,46
data,65,1,29228.5,13618.3,46
data,68,0,4687.93,12242.9,55
data,69,1,11574.1,12225.6,46
data,70,0,11256.9,9425.56,55
data,84,0,13295.5,17852.1,55
data,88,0,23279.4,27660.9,55
data,89,1,32385.3,18057.1,46
data,90,0,15354.9,17119.7,55
data,91,1,25418.7,23136.2,46
data,93,1,29503,23125.5,46
data,94,0,9488.2,12560.1,55
data,95,1,10599.5,11384,46
data,114,0,4431.91,19772.2,55
data,116,0,6056.08,20669.5,55
data,117,1,6443.32,18766.7,46
data,118,0,5212.86,16241.3,55
data,119,1,6019.82,16693,46
data,139,1,8882.42,9453.02,46
data,140,0,14925.8,20276.2,55
data,142,0,17648.2,21003.5,55
data,143,1,25449.1,20124.9,46
data,144,0,19678.3,18841.9,55
data,145,1,18183.4,18313.2,46
data,146,0,14282,17473.3,55
data,147,1,26808.5,18835.3,46
data,148,0,14676.8,14610.9,55
data,149,1,15300.3,16107.4,46
data,162,0,17449.2,15692.7,55
data,163,1,8341.16,10369.5,46
data,164,0,25536.5,22787,55
data,165,1,20496.3,16307.9,46
data,166,0,22597.3,22261.7,55
data,167,1,19923.2,17256.2,46
data,168,0,19681.6,21537.4,55
data,169,1,17035.3,16384.7,46
data,171,1,19755.3,20699.1,46
data,172,0,12335.2,14934.4,55
data,173,1,18059.2,17938.8,46
data,192,0,5736.83,25313.4,55
data,193,1,6891.12,13454.1,46
data,194,0,6204.65,24448.9,55
data,195,1,7203.46,15741.6,46
data,196,0,5362.89,18279,55
data,216,0,26919.7,19538.2,55
data,219,1,14689,13543.3,46
data,220,0,74045.9,31070.7,55
data,224,0,19734,19837.1,55
data,225,1,14325.5,15530.6,46
data,227,1,15009.3,13752.7,46
data,240,0,8202,10180.7,55
data,241,1,11836.2,7989.23,46
data,242,0,13122.1,14936.5,55
data,243,1,12846.9,10099.8,46
data,244,0,21962,20918.6,55
data,246,0,27874.3,23520.6,55
data,247,1,16018.3,16579.6,46
data,250,0,18148.5,15437.1,55
data,251,1,15577.3,13963.4,46
data,270,0,3784.9,11686.1,55
data,271,1,4434.49,9886.08,46
data,272,0,6700.51,22204.1,55
data,273,1,5606.54,13203.8,46
data,274,0,5227.12,20955.2,55
data,275,1,6483.85,16070.4,46
data,294,0,6807.64,7666.58,55
data,295,1,4212.91,7400.76,46
data,296,0,13987,12430.7,55
data,297,1,19452.9,14973.8,46
data,298,0,21920.4,21585.6,55
data,299,1,11089.2,8846.31,46
data,300,0,23622.2,18616.8,55
data,301,1,25231.8,14942.1,46
data,303,1,23142.2,15276.4,46
data,304,0,17937.8,13135.2,55
data,305,1,22762.4,10698.5,46
