mode,event,apa,flash_index,time_ns,total_pe,nchan_hit
mc,11,0,16,1253280.379288,1043.470500,43
mc,11,0,17,-1318355.721444,1010.367850,46
mc,11,0,18,-1332007.324997,952.331850,33
mc,11,0,19,463681.033333,187.417475,14
mc,11,0,20,-1011231.394414,282.247350,25
mc,11,0,21,973705.700000,181.585425,15
mc,11,0,22,291479.377007,286.223825,30
mc,11,0,23,500543.908908,121.429075,15
mc,11,0,24,-709073.532803,96.081425,19
mc,11,0,25,118115.160734,173.576275,21
mc,11,0,26,511735.325395,59.171250,17
mc,11,0,27,450789.445682,39.594525,14
mc,11,0,28,-1361068.091092,45.311175,9
mc,12,0,0,-962390.720828,68510.739325,49
mc,12,0,1,-942940.756524,31987.899975,49
mc,12,0,2,484106.230335,30910.130600,49
mc,12,0,3,818033.102063,21942.161575,49
mc,12,0,4,1224106.493645,15277.760700,49
mc,12,0,5,-1350658.123661,11980.822475,49
mc,12,0,6,-557878.932460,13457.445250,49
mc,12,0,7,671927.699327,6651.382725,49
mc,12,0,8,-289452.590741,7234.750875,49
mc,12,0,9,-416278.720828,4856.842150,37
mc,12,0,10,-71048.928712,2473.118600,43
mc,12,0,11,1162876.543513,2328.663125,43
mc,12,0,12,1387628.279172,1047.351650,29
mc,12,0,13,-1294454.490456,995.470750,34
mc,12,0,14,-1189997.621332,456.529775,39
mc,12,0,15,1256.653577,365.443475,46
mc,12,0,16,-973866.505806,109.978675,26
mc,12,0,17,863490.391461,81.447125,13
mc,12,0,18,-648655.363095,176.550100,16
mc,14,0,0,120557.069676,12600.012300,48
mc,14,0,1,-837322.875788,22378.919025,49
mc,14,0,2,-225191.262308,20054.381775,49
mc,14,0,3,945832.525644,1563.972175,29
mc,14,0,4,-1172901.325392,2352.127175,41
mc,14,0,5,139641.290098,7734.828575,49
mc,14,0,6,688225.488946,1376.535175,40
mc,14,0,7,381026.756323,984.480875,45
mc,14,0,8,-495390.334113,954.509375,30
mc,14,0,9,270459.217829,162.978050,24
mc,14,0,10,227580.563265,123.207750,14
mc,14,0,11,-1307832.103902,58.285575,15
mc,18,0,0,-188834.937373,44924.219500,49
mc,18,0,1,717270.312546,28345.745375,49
mc,18,0,2,1187.121121,24476.098575,50
mc,18,0,3,863638.068453,22652.604400,49
mc,18,0,4,991708.649008,13899.896875,49
mc,18,0,5,-1204624.308292,9676.023425,48
mc,18,0,6,-1090820.012101,3706.821125,49
mc,18,0,7,1044992.642780,1153.247125,17
mc,18,0,8,-1158053.818365,3746.573750,49
mc,18,0,9,633185.386343,2024.736675,44
mc,18,0,10,1387903.573840,1818.612250,47
mc,18,0,11,-392147.030506,1525.173125,48
mc,18,0,12,-876248.058464,1107.644275,32
mc,18,0,13,1355922.908908,529.340900,19
mc,18,0,14,-37887.966667,427.832575,19
mc,18,0,15,-1109825.598009,633.514750,24
mc,18,0,16,94678.730779,555.554125,37
mc,18,0,17,-569700.773838,706.743425,29
mc,18,0,18,-1212912.223016,531.237875,37
mc,18,0,19,-148485.747102,306.807525,21
mc,18,0,20,611887.033333,214.902375,9
mc,18,0,21,-360364.966667,28.963175,5
mc,18,0,22,444290.563966,68.827300,15
mc,18,0,23,-180008.035888,49.414450,18
mc,31,0,0,-963072.853743,30992.055550,49
mc,31,0,1,835693.905007,20688.480125,49
mc,31,0,2,239346.946286,14834.484525,49
mc,31,0,3,675200.460313,5704.658375,49
mc,31,0,4,-1495594.461033,636.479525,34
mc,31,0,5,-422773.062427,752.447575,26
mc,31,0,6,753221.234526,294.077450,22
mc,31,0,7,-1038039.479664,269.174725,33
mc,31,0,8,1181955.333658,216.791475,26
mc,31,0,9,-716438.526971,75.345475,18
mc,31,0,10,1451500.033333,103.512725,12
mc,31,0,11,853.913357,120.366900,33
mc,35,0,0,30089.279172,16376.650950,48
mc,35,0,1,600767.612854,22159.795450,49
mc,35,0,2,-158739.720828,15434.603375,49
mc,35,0,3,714952.509841,19045.223275,49
mc,35,0,4,-430366.682242,23526.970750,49
mc,35,0,5,1149480.647081,13263.952175,49
mc,35,0,6,-523257.141992,14517.956850,49
mc,35,0,7,-104165.425743,5258.355625,46
mc,35,0,8,438975.236301,6217.654975,49
mc,35,0,9,906409.135300,5869.703550,49
mc,35,0,10,-713367.199216,5070.548775,49
mc,35,0,11,-1371893.341717,1686.741150,30
mc,35,0,12,114243.768618,995.514600,35
mc,35,0,13,-1151506.450848,979.327150,49
mc,35,0,14,1098.379162,391.190075,43
mc,35,0,15,406996.624445,499.434475,33
mc,35,0,16,-1159732.907654,373.802050,35
mc,35,0,17,1015208.740445,204.107325,24
mc,35,0,18,-210592.856074,254.650900,37
mc,35,0,19,-1299577.343612,190.107175,32
mc,35,0,20,167186.049198,172.846375,28
mc,35,0,21,1399592.230255,164.131275,24
mc,41,0,0,1053027.501421,38201.030425,49
mc,41,0,1,1407950.595882,33579.630525,49
mc,41,0,2,29465.350319,29751.992025,49
mc,41,0,3,-67110.701883,31057.154775,49
mc,41,0,4,-1410120.119167,21756.819625,49
mc,41,0,5,434992.243322,22479.764000,49
mc,41,0,6,-1177407.023490,24549.514675,49
mc,41,0,7,1228848.419869,9984.315000,49
mc,41,0,8,-30124.767738,19069.645200,49
mc,41,0,9,-836721.950416,11030.515950,49
mc,41,0,10,764644.743675,4782.241325,49
mc,41,0,11,-869657.489943,4034.826875,49
mc,41,0,12,1326089.103530,4813.638225,49
mc,41,0,13,-19699.136512,713.075725,35
mc,41,0,14,-1054856.051134,712.887050,34
mc,41,0,15,62171.698676,1266.577100,41
mc,41,0,16,220733.765229,363.417625,38
mc,41,0,17,-312986.417572,335.497900,30
mc,41,0,18,-410648.966667,170.504225,17
mc,41,0,19,1238061.827656,212.360025,26
mc,41,0,20,-530641.111134,217.615650,16
mc,41,0,21,96764.254218,136.928550,18
mc,41,0,22,-667187.819911,158.652975,24
mc,41,0,23,780175.901088,149.394900,25
mc,41,0,24,-430839.456997,272.216800,15
mc,41,0,25,1024095.406480,116.309900,18
mc,42,0,0,886234.103463,26158.236550,49
mc,42,0,1,-193390.054161,12533.867625,47
mc,42,0,2,1449646.020299,13981.709725,49
mc,42,0,3,-1367936.662028,12615.678650,49
mc,42,0,4,-225408.135135,8979.765375,49
mc,42,0,5,256697.172124,3735.125475,46
mc,42,0,6,-330085.308801,4121.525375,42
mc,42,0,7,937037.932789,4687.172475,48
mc,42,0,8,-906966.939999,3673.319450,49
mc,42,0,9,1555.439310,3125.479550,50
mc,42,0,10,12309.279172,3688.653900,45
mc,42,0,11,-1417192.307042,1434.125250,33
mc,42,0,12,1233733.692361,1616.389625,44
mc,42,0,13,1457664.807691,957.469775,44
mc,42,0,14,-949742.980619,600.839525,33
mc,42,0,15,182540.159234,186.289700,19
mc,42,0,16,420744.400513,162.172975,13
mc,42,0,17,418810.366667,112.848325,14
mc,42,0,18,569127.033333,48.363550,12
mc,42,0,19,629877.065077,107.108875,19
mc,2,1,0,702989.997006,31773.735375,47
mc,2,1,1,-725616.647204,22981.340425,47
mc,2,1,2,-13873.828111,14464.435300,47
mc,2,1,3,-995712.972327,5606.482550,45
mc,2,1,4,-1196785.286081,4836.802650,47
mc,2,1,5,993549.729691,2190.115950,46
mc,2,1,6,-393935.203702,2089.881325,46
mc,2,1,7,-1398093.768406,2745.587475,42
mc,2,1,8,-1175594.091092,1177.434850,26
mc,2,1,9,1171783.279172,2715.560400,29
mc,2,1,10,-1099791.389553,595.571850,34
mc,2,1,11,1408610.033333,328.780625,19
mc,2,1,12,851456.300790,172.278675,22
mc,2,1,13,-1235390.904227,420.180450,43
mc,2,1,14,-1060760.091092,31.036500,13
mc,2,1,15,-515330.062835,34.178675,11
mc,9,1,0,355166.612505,88629.037625,47
mc,9,1,1,-1277884.054161,46324.420875,47
mc,9,1,2,743115.279172,25918.606225,46
mc,9,1,3,-1481957.799419,19444.302125,47
mc,9,1,4,-842502.288349,22054.856500,47
mc,9,1,5,-1419606.540469,13266.967225,47
mc,9,1,6,-1135455.392477,4300.387000,44
mc,9,1,7,-669454.720828,1217.415000,28
mc,9,1,8,840445.700000,559.060300,25
mc,9,1,9,1188216.672241,449.571900,33
mc,9,1,10,382355.528964,266.489700,26
mc,9,1,11,1512467.033333,155.979800,11
mc,9,1,12,-512265.421334,137.187050,20
mc,9,1,13,832975.750204,67.233800,20
mc,9,1,14,1212879.366373,43.761175,9
mc,11,1,0,354777.515743,35308.679275,47
mc,11,1,1,807394.250145,19528.117400,47
mc,11,1,2,-221448.092459,22504.323875,47
mc,11,1,3,1409191.962264,18366.287200,47
mc,11,1,4,1018288.661477,18134.777125,47
mc,11,1,5,-375982.720828,22112.737025,43
mc,11,1,6,1009396.908908,5905.320300,47
mc,11,1,7,-1211666.720828,2316.562350,35
mc,11,1,8,173698.210594,2543.718125,42
mc,11,1,9,530347.744043,3434.697125,47
mc,11,1,10,511156.181406,2699.305050,46
mc,11,1,11,16590.453227,1686.807175,30
mc,11,1,12,-1173570.584194,2785.328400,46
mc,11,1,13,-34821.323115,1524.587925,32
mc,11,1,14,-1346731.850232,1096.262825,31
mc,11,1,15,118109.935909,518.520025,38
mc,11,1,16,-1361078.438280,681.708075,29
mc,11,1,17,1300923.834961,342.189250,28
mc,11,1,18,795.180832,284.907550,39
mc,11,1,19,1391861.033333,82.776425,12
mc,11,1,20,-985613.091092,77.315875,15
mc,11,1,21,96540.138908,106.543900,18
mc,11,1,22,775276.227841,212.819675,35
mc,11,1,23,291495.908908,75.905300,12
mc,11,1,24,1211763.033333,63.976725,12
mc,12,1,0,754556.201880,23151.654200,47
mc,12,1,1,-641274.934288,23851.611075,47
mc,12,1,2,863490.665825,17645.861825,47
mc,12,1,3,1224090.490060,19149.020500,47
mc,12,1,4,671932.295025,12759.775075,47
mc,12,1,5,-1350661.625170,9291.505400,47
mc,12,1,6,1200190.137658,6827.558550,47
mc,12,1,7,717208.366727,1826.329425,42
mc,12,1,8,484099.443352,1649.663025,47
mc,12,1,9,-1298707.172877,1421.771500,43
mc,12,1,10,533694.505872,619.445225,21
mc,12,1,11,968298.392254,1143.226100,43
mc,12,1,12,837637.152625,1047.823875,36
mc,12,1,13,-68390.248481,893.385050,38
mc,12,1,14,-674798.310590,166.249675,18
mc,12,1,15,-17738.966667,86.241725,14
mc,12,1,16,-973861.630056,151.971300,24
mc,12,1,17,1236967.033333,65.741625,11
mc,12,1,18,-1189943.632749,62.075100,16
mc,14,1,0,-1430213.768460,26540.498025,47
mc,14,1,1,1429465.576505,29736.787400,47
mc,14,1,2,1168286.142611,17461.796125,42
mc,14,1,3,-115654.847312,31530.840375,47
mc,14,1,4,-1210659.156708,15171.893325,46
mc,14,1,5,381018.669326,20286.849975,47
mc,14,1,6,-606499.113660,8988.760725,47
mc,14,1,7,-78768.054161,5090.447025,38
mc,14,1,8,-1307855.946677,3992.186775,36
mc,14,1,9,270450.875790,6692.998800,47
mc,14,1,10,116911.773767,3931.127925,45
mc,14,1,11,-423703.588032,6599.089550,47
mc,14,1,12,-871088.009251,5077.690500,47
mc,14,1,13,1300.351134,2542.042600,45
mc,14,1,14,975868.279172,1956.118175,35
mc,14,1,15,139661.221994,853.617625,38
mc,14,1,16,1275389.033333,688.060450,17
mc,14,1,17,1465762.411576,319.023125,23
mc,14,1,18,177887.380820,624.661650,28
mc,14,1,19,-225175.757759,56.294125,12
mc,14,1,20,-711113.620232,585.776650,13
mc,14,1,21,471034.533333,54.040200,12
mc,18,1,0,-1478965.404538,34987.241125,47
mc,18,1,1,-392141.786823,15470.912150,47
mc,18,1,2,656399.279172,9445.594175,40
mc,18,1,3,-1158069.261534,18240.470975,47
mc,18,1,4,318286.503921,8254.136725,47
mc,18,1,5,-1090823.632250,6194.582450,47
mc,18,1,6,759504.566965,5648.871525,44
mc,18,1,7,444274.678034,2678.903050,43
mc,18,1,8,1462440.784002,2645.167225,42
mc,18,1,9,-1424428.556301,1567.222350,40
mc,18,1,10,-1212912.229399,1068.016900,42
mc,18,1,11,340501.940255,241.131300,32
mc,18,1,12,-1204602.424425,131.752450,27
mc,18,1,13,1367681.033333,153.289900,16
mc,18,1,14,1281.888648,224.050600,44
mc,18,1,15,-529844.168335,148.779850,17
mc,18,1,16,-1504378.240730,64.184975,16
mc,18,1,17,1461984.033333,45.547850,12
mc,18,1,18,94688.076036,60.763050,11
mc,31,1,0,-994708.251277,20418.961800,46
mc,31,1,1,-156317.130636,14028.380725,47
mc,31,1,2,-716437.739674,16950.022700,47
mc,31,1,3,442.958882,14903.237975,47
mc,31,1,4,530364.777186,4251.032800,47
mc,31,1,5,-33177.953641,2519.926375,39
mc,31,1,6,-1495587.590278,446.046675,34
mc,31,1,7,-1361159.071285,277.374625,35
mc,31,1,8,675216.276679,70.117550,13
mc,31,1,9,313435.700000,85.130125,16
mc,31,1,10,835705.848069,88.470075,13
mc,35,1,0,1404284.623055,33804.481475,47
mc,35,1,1,-1182046.550745,23365.974625,47
mc,35,1,2,1147468.796058,22437.204600,47
mc,35,1,3,-713359.898095,22567.952450,47
mc,35,1,4,-1223182.197113,17095.636325,47
mc,35,1,5,-1151516.417390,20617.559550,47
mc,35,1,6,168565.818635,11935.456100,47
mc,35,1,7,-210600.894912,17478.437225,47
mc,35,1,8,906392.547941,22599.654950,47
mc,35,1,9,-1299593.609979,8049.339575,47
mc,35,1,10,438980.301975,8116.755975,47
mc,35,1,11,1345718.263917,4474.863175,44
mc,35,1,12,407004.457179,2439.242700,45
mc,35,1,13,-1159727.861563,2553.545075,44
mc,35,1,14,416373.033333,426.696750,22
mc,35,1,15,1325601.033333,517.404550,13
mc,35,1,16,-913246.839145,502.770025,22
mc,35,1,17,290624.177066,167.377100,22
mc,35,1,18,1101.735230,232.266325,38
mc,35,1,19,462824.500875,66.896775,14
mc,35,1,20,-430345.668530,82.161250,18
mc,35,1,21,714945.307714,87.366125,17
mc,35,1,22,-522114.424425,35.529475,10
mc,41,1,0,764626.582016,26900.761950,47
mc,41,1,1,-672914.083192,25417.588025,47
mc,41,1,2,1326072.347277,34734.744100,47
mc,41,1,3,1204430.366869,24176.451900,47
mc,41,1,4,-1506010.720828,7793.892475,35
mc,41,1,5,434976.929911,17263.910625,47
mc,41,1,6,-869674.970727,26124.407550,47
mc,41,1,7,780155.638413,15549.288075,47
mc,41,1,8,-836729.943869,12402.105675,47
mc,41,1,9,-1368625.145785,5840.696550,43
mc,41,1,10,532.167750,3430.692750,47
mc,41,1,11,-75140.116905,3822.261775,44
mc,41,1,12,62167.159287,1346.295175,45
mc,41,1,13,29488.986041,1527.128175,46
mc,41,1,14,96754.423603,1050.822675,37
mc,41,1,15,-859888.966667,576.116675,25
mc,41,1,16,-1419897.959970,827.424200,35
mc,41,1,17,-1159260.498345,928.784775,27
mc,41,1,18,-370173.910453,511.038450,22
mc,41,1,19,-151847.045885,340.826550,24
mc,41,1,20,998179.033333,150.365400,9
mc,41,1,21,-1168388.966667,422.122025,19
mc,41,1,22,-480746.966667,108.867775,8
mc,41,1,23,220300.646208,162.731150,29
mc,41,1,24,1212900.963690,288.426850,33
mc,41,1,25,1334407.949238,44.173100,15
mc,42,1,0,209061.786515,32450.718550,47
mc,42,1,1,-1065614.598693,20097.515050,47
mc,42,1,2,495043.279172,10755.105050,44
mc,42,1,3,-225416.388515,14246.365300,47
mc,42,1,4,-906960.655429,8472.872050,47
mc,42,1,5,543304.646745,3134.771550,41
mc,42,1,6,1183659.161897,2301.578575,40
mc,42,1,7,1230200.825955,1890.708625,47
mc,42,1,8,1171775.033333,255.890175,18
mc,42,1,9,-173542.966667,266.098525,13
mc,42,1,10,199706.930493,378.988825,25
mc,42,1,11,763859.725189,157.376875,19
mc,42,1,12,344737.175737,107.340450,19
mc,42,1,13,1468123.411025,128.937275,21
mc,42,1,14,-1433958.091092,245.691900,21
mc,42,1,15,886257.396918,140.702525,25
mc,42,1,16,1569.494627,130.250625,28
data,659242,0,0,1515145.098287,17944.220250,50
data,659242,0,1,547291.012250,8407.514850,50
data,659242,0,2,-1437752.032358,13427.643150,50
data,659242,0,3,1063860.144809,5317.015700,50
data,659242,0,4,-206671.169258,16754.811575,50
data,659242,0,5,183457.006280,3384.961350,50
data,659242,0,6,-102811.721055,3712.083875,50
data,659242,0,7,-751.564362,1327.275675,50
data,659242,0,8,117974.099935,923.905225,48
data,659242,0,9,-196213.369463,961.208250,50
data,659242,0,10,835587.715416,690.687425,39
data,659242,0,11,-40706.792436,548.614975,43
data,659242,0,12,1260745.971692,304.045425,48
data,659242,0,13,-909260.237915,182.814950,45
data,659242,0,14,1499364.942129,190.153025,48
data,659242,0,15,1343972.833200,143.857850,42
data,659286,0,0,650213.042518,17838.015450,50
data,659286,0,1,-1348312.830716,13240.430300,50
data,659286,0,2,678333.224666,8528.493100,50
data,659286,0,3,-69662.126373,7671.271350,50
data,659286,0,4,1219244.238073,3819.101200,49
data,659286,0,5,1029723.720046,7034.082875,50
data,659286,0,6,-1033186.634410,5064.850325,50
data,659286,0,7,633547.431453,745.336125,50
data,659286,0,8,72458.458604,598.379325,49
data,659286,0,9,1424617.273068,271.314325,48
data,659286,0,10,946450.899694,399.491225,48
data,659286,0,11,-1454635.159588,183.020075,44
data,659286,0,12,373339.574340,297.143800,46
data,659286,0,13,-1340174.584375,54.182425,20
data,659286,0,14,-732789.690329,142.158275,46
data,659286,0,15,-1203666.564223,215.162550,47
data,659286,0,16,-900386.337609,201.385975,43
data,659374,0,0,-505346.614066,16094.842150,50
data,659374,0,1,-1068312.148153,11334.341725,50
data,659374,0,2,1131548.592568,13079.262325,49
data,659374,0,3,-554913.940476,13894.924175,50
data,659374,0,4,-663439.234336,6486.910525,49
data,659374,0,5,-1327553.200978,6906.560975,50
data,659374,0,6,23092.022729,13016.039900,50
data,659374,0,7,1236328.623967,9049.303175,50
data,659374,0,8,-224473.645000,6952.613150,50
data,659374,0,9,-724.203439,5063.452350,50
data,659374,0,10,-590861.215751,2442.373550,50
data,659374,0,11,-674177.117888,2014.844850,50
data,659374,0,12,471740.840194,1363.567625,50
data,659374,0,13,1032226.791533,204.395500,46
data,659374,0,14,173484.854531,285.849900,47
data,659374,0,15,1062254.737649,160.930650,43
data,659484,0,0,559114.991408,21593.791075,50
data,659484,0,1,-1299479.491506,14077.351950,50
data,659484,0,2,-636798.773180,12126.344925,50
data,659484,0,3,724194.821059,7901.718325,50
data,659484,0,4,-600831.788519,4645.185150,50
data,659484,0,5,46568.050484,3360.576875,50
data,659484,0,6,1167879.379451,203.511050,47
data,659484,0,7,1500391.221225,175.260675,47
data,659484,0,8,-704.744561,208.978775,46
data,659484,0,9,910353.281094,124.905125,42
data,659572,0,0,287932.790779,6991.333125,49
data,659572,0,1,-819060.494881,11769.883175,50
data,659572,0,2,646409.805575,14317.026800,50
data,659572,0,3,-855472.672421,7772.230375,50
data,659572,0,4,-170197.108740,6750.884350,50
data,659572,0,5,959381.737280,4566.819325,50
data,659572,0,6,58367.160934,6175.305025,50
data,659572,0,7,1124843.359234,2960.012050,50
data,659572,0,8,-1437494.525103,1411.149050,50
data,659572,0,9,462393.971481,620.398950,48
data,659572,0,10,-1029525.852688,299.008725,46
data,659572,0,11,137637.028849,337.809400,50
data,659572,0,12,489933.406584,191.532100,46
data,659572,0,13,-291138.813945,116.180150,43
data,659704,0,0,-732.942668,10351.566850,50
data,659704,0,1,401568.789434,5955.307500,50
data,659704,0,2,-457647.270220,4579.499175,50
data,659704,0,3,-523154.430670,2960.421200,49
data,659704,0,4,259789.828009,4918.279725,50
data,659704,0,5,44848.035982,7388.795975,49
data,659704,0,6,1205183.350072,514.677850,50
data,659704,0,7,-78543.264421,233.453350,49
data,659924,0,0,-775673.833650,16482.444825,50
data,659924,0,1,392379.403048,13197.297425,50
data,659924,0,2,716567.864979,10503.469525,50
data,659924,0,3,-969119.363953,11215.632775,50
data,659924,0,4,-743.623404,5884.544125,50
data,659924,0,5,-1028210.554482,7448.669350,50
data,659924,0,6,1232709.970867,4426.986275,50
data,659924,0,7,-1199027.239520,3264.044075,49
data,659924,0,8,-1163313.887380,1138.152100,50
data,659924,0,9,1039755.663305,654.782225,50
data,659924,0,10,85720.459091,366.566000,50
data,659924,0,11,-241385.059660,254.574775,48
data,659924,0,12,1484157.569980,168.660925,48
data,660496,0,0,-1366236.588802,16024.373325,50
data,660496,0,1,-303743.098380,15520.218300,50
data,660496,0,2,539803.719581,14703.549750,50
data,660496,0,3,-1500516.186180,10574.983250,50
data,660496,0,4,1296422.799361,6543.100325,50
data,660496,0,5,49052.900970,7982.107250,50
data,660496,0,6,-694991.003473,3266.300450,50
data,660496,0,7,626355.125833,442.041950,50
data,660496,0,8,-1357961.506133,309.888425,48
data,660496,0,9,-398942.479611,149.530000,42
data,660496,0,10,1095976.283270,117.904800,34
data,660496,0,11,-726.512841,198.941750,46
data,660496,0,12,237366.124919,183.708500,45
data,660826,0,0,1518427.682906,13856.664525,50
data,660826,0,1,672801.084188,7429.663175,50
data,660826,0,2,1165286.322233,6585.372125,50
data,660826,0,3,536783.317104,1403.097000,50
data,660826,0,4,-387777.081371,1125.902625,50
data,660826,0,5,-754.771996,289.776425,46
data,660826,0,6,-710015.914819,540.125125,48
data,660826,0,7,1256806.752735,351.330225,49
data,660826,0,8,-1518007.755667,331.877600,50
data,660826,0,9,292298.686582,233.152900,48
data,660826,0,10,1507052.993307,213.248250,50
data,660826,0,11,-1500258.502961,282.449600,48
data,660826,0,12,-982955.630709,109.363475,41
data,660892,0,0,-1143659.734975,18114.658800,50
data,660892,0,1,-942446.570784,5848.103675,49
data,660892,0,2,-736.426892,9760.251675,50
data,660892,0,3,315356.909287,662.796850,48
data,660892,0,4,-200105.993986,325.055375,47
data,660892,0,5,1487889.182629,290.388600,49
data,660892,0,6,-1482031.163810,254.008950,49
data,660892,0,7,509466.499108,223.019450,40
data,659242,1,0,-318907.468128,12908.873300,47
data,659242,1,1,-108064.637692,22343.544400,47
data,659242,1,2,-909273.126773,6699.574225,47
data,659242,1,3,1260727.093335,14633.581725,47
data,659242,1,4,1499355.890805,8130.576925,47
data,659242,1,5,1343963.147436,7075.264750,47
data,659242,1,6,1515135.879690,4323.506250,47
data,659242,1,7,183454.685621,1086.476750,47
data,659242,1,8,-675665.475908,841.043375,47
data,659242,1,9,-1373470.724655,1656.919675,43
data,659242,1,10,-99417.355620,646.429250,46
data,659242,1,11,-1437735.847215,254.062125,44
data,659242,1,12,-684.396304,298.871850,43
data,659242,1,13,547302.567683,208.679050,45
data,659242,1,14,-206657.859637,185.308375,42
data,659286,1,0,-1203672.848402,16674.001850,47
data,659286,1,1,1424597.891067,19442.102325,47
data,659286,1,2,678343.356458,14806.398200,47
data,659286,1,3,-732798.757751,10198.680050,47
data,659286,1,4,-1348324.722369,12710.138625,47
data,659286,1,5,-1454645.848161,5686.394575,47
data,659286,1,6,-734.442494,4828.536425,47
data,659286,1,7,-900399.662757,7206.972900,47
data,659286,1,8,947839.900852,9229.103775,47
data,659286,1,9,373339.454320,5194.837975,47
data,659286,1,10,72466.328497,913.925625,46
data,659286,1,11,-67951.060432,494.571675,45
data,659286,1,12,650226.435640,294.111925,43
data,659286,1,13,1029731.933846,207.443100,45
data,659286,1,14,-1033158.663761,173.961275,45
data,659286,1,15,633554.137231,160.980025,43
data,659374,1,0,1310284.806120,17260.309025,47
data,659374,1,1,1032217.188581,18855.371275,47
data,659374,1,2,1062236.875609,15230.829300,47
data,659374,1,3,737032.122548,8576.314900,47
data,659374,1,4,-738.262405,13972.016425,47
data,659374,1,5,-590856.471607,11411.691450,47
data,659374,1,6,1236338.334742,11271.439975,47
data,659374,1,7,173467.120934,11627.299900,47
data,659374,1,8,1492771.246739,4769.691700,47
data,659374,1,9,23106.965734,6594.426000,47
data,659374,1,10,471740.225983,2268.522350,47
data,659374,1,11,-206019.945413,1346.568025,47
data,659374,1,12,-505335.891340,591.849075,47
data,659374,1,13,-554904.909940,411.916475,47
data,659374,1,14,1131561.499056,224.685400,44
data,659374,1,15,-1068297.572401,212.044625,43
data,659374,1,16,-224461.747722,216.094025,47
data,659374,1,17,1041231.139221,36.201950,18
data,659484,1,0,-600826.289070,13282.540300,47
data,659484,1,1,1167847.010113,20257.850850,47
data,659484,1,2,910332.952210,7704.159800,47
data,659484,1,3,-728.808546,10089.800525,47
data,659484,1,4,1511784.139923,8789.210175,47
data,659484,1,5,-1303192.014892,11483.937975,47
data,659484,1,6,1500371.883559,4748.678925,47
data,659484,1,7,724200.347076,4878.495400,47
data,659484,1,8,638017.720013,2461.494575,47
data,659484,1,9,559136.284309,325.750300,47
data,659484,1,10,-636780.459067,312.971300,46
data,659572,1,0,-1029533.759044,16259.041075,47
data,659572,1,1,137627.911612,13728.010775,47
data,659572,1,2,-855477.100892,12093.427550,47
data,659572,1,3,-603748.893391,5960.154275,47
data,659572,1,4,489911.950565,14003.813975,47
data,659572,1,5,-170190.284186,13522.326350,47
data,659572,1,6,58361.279888,7732.623875,47
data,659572,1,7,-753.319994,2831.267350,47
data,659572,1,8,-291152.738729,1839.110850,47
data,659572,1,9,646419.364370,2493.553550,47
data,659572,1,10,1499358.925055,1286.321975,47
data,659572,1,11,959367.184419,903.436675,46
data,659572,1,12,-819039.879283,211.798575,44
data,659572,1,13,462404.768313,186.556425,44
data,659704,1,0,407020.683692,24509.760400,47
