# q31ctl -> q32tis: auto pairings that change (long clusters, 18 run-039252 events); class = first bundle field that separates the losing arm from the winning arm (see script docstring)
lost-in-cand: 92 pairings; railed flash (winning arm) 74; lasso-zero 81, other 4, no-bundle 3, ratio 3, c2n 1
   same-flash shifts losing - winning (median, n 89): ks +0.011  c2n +0.8  strength -0.840  log10(pred/meas) -0.026
gained-in-cand: 94 pairings; railed flash (winning arm) 0; lasso-zero 87, no-bundle 6, ratio 1
   same-flash shifts losing - winning (median, n 88): ks +0.017  c2n -0.2  strength -0.910  log10(pred/meas) +0.067

# per pairing: evt uid dir class | win ks c2n st pred/meas sat | lose ks c2n st pred/meas
298735 4000009 lost-in-cand lasso-zero | 0.100 1.9 0.840 0.32 1 | 0.100 15.6 0.000 0.32
298735 4000009 gained-in-cand lasso-zero | 0.182 0.5 0.513 1.55 0 | 0.182 0.5 0.000 1.55
298735 4000027 lost-in-cand lasso-zero | 0.057 0.8 0.984 0.48 1 | 0.066 2.4 0.000 0.46
298735 4000027 gained-in-cand lasso-zero | 0.099 4.3 0.991 0.69 0 | 0.099 4.3 0.005 0.69
298735 4000172 lost-in-cand lasso-zero | 0.066 16.6 0.979 0.02 1 | 0.083 642.9 0.000 0.02
298735 4000172 gained-in-cand lasso-zero | 0.093 0.3 0.919 1.01 0 | 0.093 0.3 0.000 1.01
298735 4000258 lost-in-cand lasso-zero | 0.120 26.1 0.981 0.19 1 | 0.096 61.6 0.000 0.18
298735 4000258 gained-in-cand lasso-zero | 0.131 6.2 0.000 0.73 0 | 0.131 6.2 0.000 0.73
298749 9 gained-in-cand lasso-zero | 0.330 0.3 0.961 1.98 0 | 0.469 0.3 0.000 2.52
298749 54 lost-in-cand lasso-zero | 0.134 0.9 0.000 0.98 1 | 0.041 1.2 0.000 0.50
298749 54 gained-in-cand no-bundle | 0.003 2.7 0.885 0.45 0 | no bundle
298749 4000001 lost-in-cand lasso-zero | 0.113 0.8 0.000 1.99 0 | 0.113 0.8 0.000 1.99
298749 4000001 gained-in-cand lasso-zero | 0.535 17.3 0.977 1.17 0 | 0.674 9.9 0.000 1.49
298749 4000172 gained-in-cand ratio | 0.114 0.7 0.987 0.55 0 | 0.280 0.4 0.960 2.48
298749 4000232 lost-in-cand lasso-zero | 0.176 0.4 0.978 1.42 0 | 0.176 0.4 0.000 1.42
298749 4000232 gained-in-cand lasso-zero | 0.028 1.7 0.934 0.79 0 | 0.200 1.8 0.000 1.53
298763 18 lost-in-cand lasso-zero | 0.096 2.5 0.982 0.17 1 | 0.659 1117.2 0.000 0.05
298763 18 gained-in-cand lasso-zero | 0.292 18.7 0.717 1.84 0 | 0.292 18.7 0.000 1.84
298763 4000001 lost-in-cand lasso-zero | 0.095 5.8 0.979 0.05 1 | 0.103 674.8 0.000 0.05
298763 4000001 gained-in-cand lasso-zero | 0.176 0.7 0.000 1.13 0 | 0.176 0.7 0.000 1.13
298763 4000004 lost-in-cand lasso-zero | 0.089 0.3 0.181 0.98 1 | 0.089 0.3 0.000 0.98
298763 4000174 lost-in-cand lasso-zero | 0.068 4.6 0.814 0.14 1 | 0.653 1258.1 0.000 0.04
298763 4000174 gained-in-cand lasso-zero | 0.320 21.4 0.547 1.49 0 | 0.320 21.4 0.000 1.49
298763 4000449 lost-in-cand lasso-zero | 0.099 9.1 0.980 0.10 1 | 0.149 246.7 0.000 0.09
298763 4000449 gained-in-cand lasso-zero | 0.246 7.8 0.976 0.73 0 | 0.246 7.8 0.000 0.73
298777 3 lost-in-cand lasso-zero | 0.193 2.5 0.987 1.00 0 | 0.193 2.5 0.000 1.00
298777 3 gained-in-cand lasso-zero | 0.077 29.2 0.983 0.19 0 | 0.131 1.0 0.000 3.64
298777 4 gained-in-cand lasso-zero | 0.161 1.9 0.838 0.40 0 | 0.160 1.1 0.000 1.61
298777 63 lost-in-cand lasso-zero | 0.069 0.6 0.000 1.95 0 | 0.069 0.6 0.000 1.95
298777 63 gained-in-cand lasso-zero | 0.160 3.8 0.843 0.40 0 | 0.287 3.2 0.000 2.11
298777 74 gained-in-cand lasso-zero | 0.096 56.1 0.985 0.33 0 | 0.471 31.0 0.000 1.04
298777 125 gained-in-cand lasso-zero | 0.039 154.0 0.981 0.10 0 | 0.597 11.1 0.000 0.66
298777 209 lost-in-cand lasso-zero | 0.057 0.7 0.901 0.69 1 | 0.109 1.7 0.000 0.42
298777 216 lost-in-cand lasso-zero | 0.100 1.2 0.392 0.48 0 | 0.100 1.2 0.006 0.48
298777 4000042 lost-in-cand lasso-zero | 0.092 0.3 0.911 1.33 1 | 0.086 179.8 0.000 0.07
298777 4000042 gained-in-cand lasso-zero | 0.112 0.8 0.000 1.14 0 | 0.112 0.8 0.000 1.14
298777 4000064 gained-in-cand lasso-zero | 0.101 8.4 0.987 0.47 0 | 0.358 6.5 0.000 1.92
298777 4000096 gained-in-cand lasso-zero | 0.094 133.8 0.982 0.19 0 | 0.469 43.3 0.000 0.59
298777 4000125 gained-in-cand lasso-zero | 0.071 23.4 0.984 0.29 0 | 0.494 11.5 0.000 1.56
298777 4000161 lost-in-cand lasso-zero | 0.127 0.6 0.000 1.60 0 | 0.127 0.6 0.000 1.60
298777 4000161 gained-in-cand lasso-zero | 0.782 8721.4 0.965 0.10 0 | 0.338 15.1 0.000 0.70
298777 4000257 lost-in-cand lasso-zero | 0.055 4.3 0.991 0.76 1 | 0.083 4.7 0.000 0.46
298791 20 lost-in-cand lasso-zero | 0.506 2.2 0.840 1.42 1 | 0.490 2.3 0.000 1.51
298791 51 lost-in-cand lasso-zero | 0.135 0.4 0.894 0.84 1 | 0.145 0.5 0.000 0.79
298791 51 gained-in-cand lasso-zero | 0.101 10.2 0.968 0.51 0 | 0.409 1.6 0.000 3.48
298791 87 lost-in-cand lasso-zero | 0.091 0.6 0.000 0.94 1 | 0.091 0.6 0.000 0.94
298791 87 gained-in-cand lasso-zero | 0.063 3.6 0.987 0.58 0 | 0.436 1.1 0.000 1.94
298791 93 lost-in-cand lasso-zero | 0.080 2.7 0.813 0.16 1 | 0.099 31.6 0.000 0.20
298791 93 gained-in-cand lasso-zero | 0.019 2.8 0.988 0.41 0 | 0.190 1.2 0.000 0.83
298791 276 lost-in-cand lasso-zero | 0.269 1.2 0.457 3.12 1 | 0.269 1.4 0.000 3.12
298791 276 gained-in-cand lasso-zero | 0.651 248.6 0.564 0.42 0 | 0.509 1.4 0.000 2.86
298791 4000001 lost-in-cand lasso-zero | 0.635 0.8 0.856 2.09 1 | 0.618 1.6 0.000 2.23
298791 4000003 gained-in-cand no-bundle | 0.138 0.4 0.892 1.35 0 | no bundle
298791 4000009 lost-in-cand ratio | 0.187 0.6 0.989 1.14 1 | 0.552 68.7 0.952 0.34
298791 4000009 gained-in-cand lasso-zero | 0.113 2.5 0.000 1.29 0 | 0.101 2.5 0.000 1.34
298791 4000010 lost-in-cand other | 0.189 4.7 0.896 3.11 1 | 0.151 4.8 0.901 3.19
298791 4000222 lost-in-cand lasso-zero | 0.119 45.9 0.977 0.08 1 | 0.119 98.1 0.000 0.08
298791 4000222 gained-in-cand lasso-zero | 0.634 3933.3 0.663 0.01 0 | 0.498 41.3 0.000 0.09
298791 4000304 lost-in-cand lasso-zero | 0.135 0.4 0.000 1.75 0 | 0.134 0.4 0.000 1.75
298791 4000304 gained-in-cand lasso-zero | 0.076 0.6 0.454 3.57 0 | 0.121 0.6 0.000 3.20
298791 4000648 lost-in-cand lasso-zero | 0.079 7.6 0.804 0.11 1 | 0.463 526.1 0.000 0.05
298791 4000648 gained-in-cand lasso-zero | 0.093 1.4 0.212 4.65 0 | 0.093 1.4 0.000 4.65
298805 4000008 lost-in-cand lasso-zero | 0.155 1.5 0.000 0.65 1 | 0.160 10.1 0.000 0.63
298805 4000012 lost-in-cand lasso-zero | 0.090 6.1 0.913 0.82 1 | 0.435 115.3 0.000 0.21
298805 4000012 gained-in-cand lasso-zero | 0.083 2.5 0.874 0.46 0 | 0.176 0.6 0.000 1.34
298805 4000013 lost-in-cand c2n | 0.180 14.8 0.982 0.31 1 | 0.505 454.1 0.971 0.08
298805 4000013 gained-in-cand lasso-zero | 0.239 7.3 0.000 0.64 0 | 0.236 2.5 0.000 0.66
298805 4000030 gained-in-cand lasso-zero | 0.062 1.2 0.993 0.80 0 | 0.332 2.2 0.000 2.84
