event	cluster	shift	ncl	nstm	base_x	base_y	base_z	base_d_charge	base_d_stm_end	base_d_stm_path	arm_x	arm_y	arm_z	arm_d_charge	arm_d_stm_end	arm_d_stm_path
039349_30	21	129.60	1896	445	-201.61	-168.02	219.38	0.64	131.04	0.18	-78.42	-128.48	211.69	0.21	1.47	0.22
039349_30	41	112.58	10539	720	299.77	-4.59	74.59	0.48	113.47	18.61	303.16	81.54	2.18	0.73	1.05	0.78
039349_30	44	87.06	303	33	322.72	-210.02	90.18	0.21	3.71	2.23	333.20	-175.72	10.86	74.27	86.31	86.31
039349_30	66	344.10	2624	711	116.21	-166.87	270.81	0.15	80.73	0.47	-221.81	-172.27	206.65	0.36	0.36	0.36
039349_31	20	116.75	3283	569	-316.60	18.74	196.78	0.65	34.20	0.74	-235.62	-28.44	127.16	0.25	150.91	0.41
039349_31	29	5.58	1442	307	-342.90	170.44	163.29	0.00	5.72	5.72	-339.89	167.97	167.29	0.37	0.20	0.20
039349_31	32	17.93	1601	437	-330.03	-52.29	122.27	0.23	17.80	0.12	-339.83	-37.55	119.44	0.30	0.24	0.24
039349_32	52	299.08	2169	495	202.92	-198.79	261.01	1.62	3.08	0.84	291.77	-318.13	1.57	0.40	0.09	0.09
039349_32	56	86.22	1299	312	257.93	150.55	77.91	0.40	86.13	0.43	339.73	177.45	73.37	0.60	0.09	0.09
039349_32	58	58.15	1482	385	159.67	209.80	131.58	0.62	58.49	0.22	200.06	168.68	123.86	0.60	0.38	0.24
039349_32	63	176.87	1271	317	339.38	206.26	224.04	0.58	0.22	0.22	198.70	305.70	183.98	0.55	6.57	3.49
039349_33	21	163.66	1206	297	-221.32	-262.69	219.62	0.29	16.56	0.24	-71.15	-323.54	196.48	0.13	0.23	0.23
039349_33	66	404.26	2665	864	-28.94	-228.55	25.80	0.65	132.65	0.15	-275.18	91.31	3.88	0.48	1.09	0.71
039349_34	48	294.93	7362	657	324.78	-19.66	203.61	0.43	100.23	2.64	339.91	219.84	32.16	0.78	0.94	0.94
039349_35	62	54.62	1438	344	261.30	167.71	56.44	0.31	86.62	0.24	310.49	144.27	52.67	0.50	32.02	0.33
039349_35	75	189.96	3342	845	156.58	210.68	60.07	0.63	189.68	0.65	339.72	177.56	22.00	0.35	0.30	0.30
039349_36	23	36.17	2358	502	-267.41	-166.79	26.25	0.62	36.23	0.26	-293.15	-172.10	1.40	1.02	0.07	0.07
039349_36	46	85.25	1475	217	281.31	-190.04	48.60	0.32	41.57	0.48	292.47	-119.23	2.45	0.10	2.15	1.39
039349_36	63	270.50	2483	523	84.00	192.84	225.61	0.77	53.68	0.21	339.89	248.23	157.60	0.35	0.12	0.12
039349_37	39	135.10	1660	424	279.10	-148.56	89.04	0.99	64.25	0.27	162.92	-190.45	34.27	0.43	33.40	0.40
039349_37	67	142.72	3855	1071	20.72	61.98	146.66	0.53	144.61	0.36	-70.69	169.07	123.32	1.47	2.00	0.71
039349_38	27	184.76	3032	582	-242.62	-246.60	151.57	0.53	175.76	0.37	-155.62	-145.68	23.58	0.67	1.68	0.46
039349_38	32	167.14	177	40	-319.44	335.46	118.70	166.88	166.30	166.30	-319.98	168.33	118.16	0.39	1.78	0.07
039349_38	57	205.31	1473	443	85.98	79.35	104.41	0.52	56.62	0.23	256.42	129.66	1.58	1.13	1.45	0.23
039349_38	61	6.37	952	167	130.12	312.21	57.26	0.56	12.58	0.28	125.79	310.95	61.76	0.38	7.13	0.38
039349_38	67	49.41	1197	328	8.45	-327.04	11.17	0.35	50.07	0.40	56.30	-334.56	1.42	0.68	0.68	0.13
039349_39	27	231.24	3236	608	-229.50	106.53	147.78	0.25	140.02	0.18	-323.24	-46.43	1.87	0.48	2.20	0.17
039349_39	46	220.36	1654	387	128.33	78.39	195.63	0.33	13.90	0.07	339.78	16.48	199.20	0.41	0.42	0.42
039349_39	56	132.43	893	217	319.77	43.15	194.19	0.51	0.96	0.13	237.67	41.29	298.09	0.09	0.08	0.08
039349_3	46	18.60	185	39	321.72	-126.99	107.17	0.74	5.70	0.27	339.88	-123.04	106.50	0.33	0.49	0.49
039349_3	47	67.64	465	110	69.04	262.49	69.28	0.53	1.06	0.46	3.05	276.76	65.19	0.53	0.42	0.42
039349_40	49	10.73	648	73	115.69	141.07	19.30	0.73	8.23	1.81	118.25	150.65	15.22	0.00	15.56	2.18
039349_41	23	116.92	1931	452	-227.08	14.44	217.58	0.76	141.21	0.27	-320.01	-49.21	248.94	0.20	24.29	0.24
039349_41	51	148.52	1260	267	260.44	-207.41	297.90	0.36	1.18	0.21	168.52	-169.17	187.69	0.49	9.31	1.59
039349_42	41	7.38	350	72	331.04	-19.97	118.75	0.59	7.62	1.41	330.35	-16.74	125.35	0.76	10.26	1.36
039349_42	43	150.35	1781	453	171.06	-241.46	70.81	0.06	104.18	0.27	298.95	-319.69	59.42	0.36	21.93	0.43
039349_42	48	149.81	1300	294	310.49	-12.16	295.07	0.09	4.96	0.05	213.06	-54.17	189.31	1.14	20.12	0.27
