sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
off-c1e	nue	-3.3			2	1000		0.00200
off-c1e	nue	-3.2			2	1000		0.00200
off-c1e	nue	-3.1			2	1000		0.00200
off-c1e	nue	-3.0			2	1000		0.00200
off-c1e	nue	-2.9			2	1000		0.00200
off-c1e	nue	-2.8			2	1000		0.00200
off-c1e	nue	-2.7			2	1000		0.00200
off-c1e	nue	-2.6			2	1000		0.00200
off-c1e	nue	-2.5			2	1000		0.00200
off-c1e	nue	-2.4			2	1000		0.00200
off-c1e	nue	-2.3			2	1000		0.00200
off-c1e	nue	-2.2			2	1000		0.00200
off-c1e	nue	-2.1			2	1000		0.00200
off-c1e	nue	-2.0			2	1000		0.00200
off-c1e	nue	-1.9			2	1000		0.00200
off-c1e	nue	-1.8			2	1000		0.00200
off-c1e	nue	-1.7			2	1000		0.00200
off-c1e	nue	-1.6			2	1000		0.00200
off-c1e	nue	-1.5			2	1000		0.00200
off-c1e	nue	-1.4			2	1000		0.00200
off-c1e	nue	-1.3			2	1000		0.00200
off-c1e	nue	-1.2			2	1000		0.00200
off-c1e	nue	-1.1			2	1000		0.00200
off-c1e	nue	-1.0			2	1000		0.00200
off-c1e	nue	-0.9			1	1000		0.00100
off-c1e	nue	-0.8			1	1000		0.00100
off-c1e	nue	-0.7			1	1000		0.00100
off-c1e	nue	-0.6			1	1000		0.00100
off-c1e	nue	-0.5			1	1000		0.00100
off-c1e	nue	-0.4			1	1000		0.00100
off-c1e	nue	-0.3			1	1000		0.00100
off-c1e	nue	-0.2			1	1000		0.00100
off-c1e	nue	-0.1			1	1000		0.00100
off-c1e	nue	0.0			1	1000		0.00100
off-c1e	nue	0.1			1	1000		0.00100
off-c1e	nue	0.2			1	1000		0.00100
off-c1e	nue	0.3			1	1000		0.00100
off-c1e	nue	0.4			1	1000		0.00100
off-c1e	nue	0.5			1	1000		0.00100
off-c1e	nue	0.6			1	1000		0.00100
off-c1e	nue	0.7			1	1000		0.00100
off-c1e	nue	0.8			1	1000		0.00100
off-c1e	nue	0.9			1	1000		0.00100
off-c1e	nue	1.0			1	1000		0.00100
off-c1e	nue	1.1			1	1000		0.00100
off-c1e	nue	1.2			1	1000		0.00100
off-c1e	nue	1.3			1	1000		0.00100
off-c1e	nue	1.4			1	1000		0.00100
off-c1e	nue	1.5			1	1000		0.00100
off-c1e	nue	1.6			1	1000		0.00100
off-c1e	nue	1.7			1	1000		0.00100
off-c1e	nue	1.8			1	1000		0.00100
off-c1e	nue	1.9			1	1000		0.00100
off-c1e	nue	2.0			1	1000		0.00100
off-c1e	nue	2.1			1	1000		0.00100
off-c1e	nue	2.2			1	1000		0.00100
off-c1e	nue	2.3			1	1000		0.00100
off-c1e	nue	2.4			1	1000		0.00100
off-c1e	nue	2.5			1	1000		0.00100
off-c1e	nue	2.6			1	1000		0.00100
off-c1e	nue	2.7			1	1000		0.00100
off-c1e	nue	2.8			1	1000		0.00100
off-c1e	nue	2.9			1	1000		0.00100
off-c1e	nue	3.0			1	1000		0.00100
off-c1e	nue	3.1			1	1000		0.00100
off-c1e	nue	3.2			1	1000		0.00100
off-c1e	nue	3.3			1	1000		0.00100
off-c1e	nue	3.4			0	1000		0.00000
off-c1e	nue	3.5			0	1000		0.00000
off-c1e	nue	3.6			0	1000		0.00000
off-c1e	nue	3.7			0	1000		0.00000
off-c1e	nue	3.8			0	1000		0.00000
off-c1e	nue	3.9			0	1000		0.00000
off-c1e	nue	4.0			0	1000		0.00000
off-c1e	nue	4.1			0	1000		0.00000
off-c1e	nue	4.2			0	1000		0.00000
off-c1e	nue	4.3			0	1000		0.00000
off-c1e	nue	4.4			0	1000		0.00000
off-c1e	nue	4.5			0	1000		0.00000
off-c1e	nue	4.6			0	1000		0.00000
off-c1e	nue	4.7			0	1000		0.00000
off-c1e	nue	4.8			0	1000		0.00000
off-c1e	nue	4.9			0	1000		0.00000
off-c1e	nue	5.0			0	1000		0.00000
off-c1e	nue	5.1			0	1000		0.00000
off-c1e	nue	5.2			0	1000		0.00000
off-c1e	nue	5.3			0	1000		0.00000
off-c1e	nue	5.4			0	1000		0.00000
off-c1e	nue	5.5			0	1000		0.00000
off-c1e	nue	5.6			0	1000		0.00000
off-c1e	nue	5.7			0	1000		0.00000
off-c1e	nue	5.8			0	1000		0.00000
off-c1e	nue	5.9			0	1000		0.00000
off-c1e	nue	6.0			0	1000		0.00000
off-c1e	nue	6.1			0	1000		0.00000
off-c1e	nue	6.2			0	1000		0.00000
off-c1e	nue	6.3			0	1000		0.00000
off-c1e	nue	6.4			0	1000		0.00000
off-c1e	nue	6.5			0	1000		0.00000
off-c1e	nue	6.6			0	1000		0.00000
off-c1e	nue	6.7			0	1000		0.00000
off-c1e	nue	6.8			0	1000		0.00000
off-c1e	nue	6.9			0	1000		0.00000
off-c1e	nue	7.0			0	1000		0.00000
off-c1e	nue	7.1			0	1000		0.00000
off-c1e	nue	7.2			0	1000		0.00000
off-c1e	nue	7.3			0	1000		0.00000
off-c1e	nue	7.4			0	1000		0.00000
off-c1e	nue	7.5			0	1000		0.00000
off-c1e	nue	7.6			0	1000		0.00000
