sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp2k	18255	1	398268	0	17.150	7.589	19	1193804	0	nu-candidate	10	1	1	1	0	1.901	177.3	10	187.78773	-61.061775	381.03632	2.8143446	-15.0	1.0	0.0	0.7	0.0	979.2785	3.418392	0.0	3.418392	3	16.333149
mcp2k	18255	1	398301	0	13.251	1.362	15	412096	0	cosmic-tagged	14	1	1	0	0																		
mcp2k	18255	1	398313	0	15.884	5.804	17	1202492	0	nu-candidate	10	1	1	1	0	1.621	101.4	9	46.245373	-147.75958	403.19147	1.4610422	-15.0	1.0	1.0	0.7	0.0	531.9852	14.277789	0.0	14.277789	8	1.2121829
mcp2k	18255	1	398369	0	13.172	0.833	15	344700	0	no-bundle	9	0	1	0	0																		
mcp2k	18255	1	398567	0	21.892	10.017	24	1270668	0	nu-candidate	11	1	1	1	0	1.048	345.0	3	-7.807461	-74.7776	174.37457	5.026759	-15.0	1.0	0.0	0.7	0.0	1084.3271	1.0656072	0.0	1.0656072	2	1.313904
mcp2k	18255	1	398743	0	13.274	1.230	15	426808	0	no-bundle	13	0	1	0	0																		
mcp2k	18255	1	398775	0	12.225	1.376	14	441252	0	cosmic-tagged	16	1	1	0	0																		
mcp2k	18255	1	398787	0	12.221	1.330	14	442508	0	cosmic-tagged	13	1	1	0	0																		
mcp2k	18255	1	398819	0	18.596	6.645	20	1367308	0	nu-candidate	17	1	1	1	0	1.834	5.2	4	75.60803	-54.03114	123.500565	-1.3902982	-15.0	1.0	0.0	0.7	0.0	158.29771	0.0	0.0	0.0	0	7.7014146
mcp2k	18255	1	398995	0	12.167	1.232	14	403228	0	cosmic-tagged	13	1	1	0	0																		
mcp2k	18255	1	399061	0	15.679	5.340	17	1142676	0	nu-candidate	6	1	1	1	0	1.890	79.2	7	77.14913	-141.29828	66.63433	0.95736593	-15.0	1.0	0.0	0.7	0.0	318.62817	1.5452588	0.0	1.5452588	2	7.5571737
mcp2k	18255	1	399073	0	17.117	4.809	19	827960	0	cosmic-tagged	12	1	1	1	0	0.754	2.5	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0	0.0
mcp2k	18255	1	399139	0	12.229	1.960	14	475856	0	cosmic-tagged	16	1	1	0	0																		
mcp2k	18255	1	399161	0	13.252	1.254	15	412532	0	no-beam-flash	11	0	0	0	0																		
mcp2k	18255	1	399215	0	13.316	1.542	15	452948	0	no-beam-flash	10	0	0	0	0																		
mcp2k	18255	1	399249	0	13.310	1.721	15	461588	0	cosmic-tagged	9	1	1	0	0																		
mcp2k	18255	1	399303	0	17.091	7.320	19	1300268	0	nu-candidate	13	1	1	1	0	0.580	190.8	5	33.15486	147.45465	101.185875	4.678638	-15.0	1.0	0.0	0.7	0.0	940.9103	0.0	0.0	0.0	0	4.021598
mcp2k	18255	1	399315	0	9.717	0.755	11	321020	0	cosmic-tagged	7	1	1	0	0																		
mcp2k	18255	1	399325	0	13.282	1.199	15	403572	0	cosmic-tagged	13	1	1	0	0																		
mcp2k	18255	1	399457	0	13.012	1.304	14	391220	0	cosmic-tagged	13	1	1	0	0																		
mcp2k	18255	1	399525	0	10.882	1.367	12	433336	0	no-bundle	12	0	1	0	0																		
mcp2k	18255	1	399743	0	12.081	1.169	14	416032	0	no-beam-flash	14	0	0	0	0																		
mcp2k	18255	1	399787	0	11.825	0.762	13	330448	0	no-beam-flash	8	0	0	0	0																		
mcp2k	18255	1	399853	0	15.745	6.186	17	1238996	0	nu-candidate	10	1	1	1	0	1.617	134.0	7	-51.554245	-75.967354	434.6236	0.38740528	-15.0	1.0	1.0	0.7	0.0	438.31824	3.1348157	0.0	3.1348157	2	4.564604
mcp2k	18255	1	399899	0	12.071	1.565	14	413536	0	cosmic-tagged	10	1	1	0	0																		
mcp2k	18255	1	399941	0	12.077	1.546	14	480168	0	cosmic-tagged	14	1	1	0	0																		
mcp2k	18255	1	399963	0	11.996	1.120	14	401992	0	nu-candidate	15	1	2	0	0																		
mcp2k	18255	1	400029	0	20.672	9.861	22	1202544	0	nu-candidate	11	1	1	1	0	1.635	206.6	13	35.366554	-136.50645	166.39955	3.7112477	-15.0	1.0	0.0	0.7	0.0	796.9606	18.59992	0.0	18.59992	8	1.121262
mcp2k	18255	1	400073	0	12.009	0.947	14	379960	0	cosmic-tagged	11	1	1	0	0																		
