arm	evt	row	cid	segid	ke_mcs	amb	tracklen	ke_mcs_range	ke_range_tk	ke_dqdx_tk	sel_len	isfc	stm	tgm	lm	act_sel	cdrop	cmask	nseg14
work-mcp1k-mcs80on	278420	0	18	18001	163.3966827392578	0.6872372627258301	61.41447067260742	168.34469604492188	170.4	245.0	62.0	1	0	0	0	1	0	0	4
work-mcp1k-mcs80on	278640	0	17	17002	285.292724609375	0.08217786997556686	128.56622314453125	310.5733947753906	312.2	300.2	128.6	0	0	0	0	1	2	2	9
work-mcp1k-mcs80on	278684	0	10	10005	1344.4833984375	0.9582552909851074	84.89686584472656	218.4532012939453	219.3	204.2	84.9	0	0	0	0	1	0	0	6
work-mcp1k-mcs80on	278785	0	5	5000	404.807861328125	0.0033978980500251055	198.51492309570312	460.6148986816406	464.0	444.8	198.8	1	0	0	0	1	0	0	13
work-mcp1k-mcs80on	278794	0	7	7001	364.55145263671875	0.6979153156280518	103.11946105957031	256.88031005859375	259.5	263.6	103.8	0	0	0	0	1	0	0	7
work-mcp1k-mcs80on	279190	0	17	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	279256	0	15	15005	455.8815002441406	0.03279680013656616	200.97251892089844	465.9986267089844	472.9	483.5	202.8	1	0	0	0	1	0	0	14
work-mcp1k-mcs80on	279445	0	84	19001	876.8350219726562	0.8211683034896851	123.55489349365234	299.9737548828125	302.0	273.4	123.8	0	0	0	0	1	0	0	9
work-mcp1k-mcs80on	279643	0	20	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	280017	0	8	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	280466	0	15	15005	272.4777526855469	0.5732707977294922	97.29551696777344	244.59901428222656	245.6	285.9	97.3	0	0	0	0	1	0	0	7
